,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Visite virtuelle,Surface habitable,Surface du salon,Salle à manger,Surface de la cuisine,Chambres,Salles de bains,Cave,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,À partir de,Quartier ou lieu-dit,Type de cuisine,Toilettes,Surface de bureau,Bureau,Accessible aux personnes avec un handicap,Interphone vidéo,Attestation as-built,Adresse,Référence externe,Combien de feux ouverts ?,Dressing,Surface de la cave,Grenier,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Terrasse,Concierge,Ascenseur,Parlophone,Accès sécurisé / alarme,Piscine,Attestation de conformité des citernes à mazout,Site internet,Parkings intérieurs,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Surface de l'espace professionnel,Largeur du terrain à rue,Permis de bâtir obtenu,Surface constructible totale au sol,Disponible le,Type d’environnement,Salles de douche,Surface du jardin,Parkings extérieurs,Salon,Nom du bien,Charges mensuelles,Revenu mensuel actuel,Nom de l'agent,Espace professionnel,Type de construction,Orientation du jardin,Climatisation,Jacuzzi,Sauna,Internet,Buanderie,Jardin,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Pourcentage loué,Description libre du PEB,Obligation de construire,Isolé,Orientation de la terrasse,Informations supplémentaires,Surface du grenier,Nombre d'annexes
84,1957,Bon,18.3 m,4,,,40 m²,Oui,27 m²,4,3,Oui,Non,,19 m²,Connecté,Non,,465 kWh/m²,G,20160302-0000328692-01-0,131 kg CO₂/m²,Non communiqué,,Mazout,,,,,,,,,,,4.000.000 €,,Non,Après la signature de l’acte,,Équipée,4,26 m²,Oui,,,,"Avenue Louise 366
1050 - Bruxelles-Quartier Louise",,,,,Oui,,,,,Oui,,,,,,,4195347,2,18 m²,20 m²,21 m²,20 m²,,,28.3 m,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,Bon,6 m,,,180 m²,50 m²,,14 m²,5,,Oui,Non,,,,Oui,,242 kWh/m²,E,20210901-0000111366-01-9,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,550.000 €,2.900 €,Non,Après la signature de l’acte,,Équipée,3,,,,,Non,"Venelle de la réserve 2
1300 - Wavre",,,,,,,,,,,,,,,,,4876 - 2890,,21 m²,19 m²,14 m²,10 m²,9 m²,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,À rénover,,,,220 m²,35 m²,,,6,1,Oui,Non,,140 m²,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,499.000 €,,Non,Après la signature de l’acte,,Semi-équipée,2,,,,,Non,"Rue Victor Hugo 81
1030 - Schaerbeek",,,,,,,,,,,,,,,,,1862 - 1931,,,,,,,,,,,,Urbain,,50 m²,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,
87,2015,Excellent état,,3,,140 m²,45 m²,,,2,2,Oui,,Oui,400 m²,Connecté,Oui,,120 kWh/m²,C,20170413-0000501904-01-2,23 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,,695.000 €,1.694 €,Oui,Après la signature de l’acte,,,2,,Oui,,,,"Avenue Louise 367
1050 - Ixelles",4401984,,,,,,,,,,,Oui,,,,,,1,20 m²,28 m²,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,Excellent état,,2,,225 m²,,,,4,4,,Oui,,,Connecté,Oui,10 m²,184 kWh/m²,D,20190124-0000542667-01-5,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",895.000 €,415 €,Oui,Selon le locataire,,Hyper équipée,4,,,Non,,,"Avenue François Sebrechts 26
1080 - Molenbeek",,,,,,,,,,,,Non,Oui,,Non,,4497483,,13 m²,14 m²,13 m²,13 m²,,,,,,,,4,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
89,,À rafraîchir,,2,,350 m²,,,,,,,Non,,,,,,927 kWh/m²,G,20210726-0000593097-01-1,Non communiqué,Non communiqué,,,,,,,,,,Non,,,1.149.000 €,2.491 €,Oui,,,,,,,,,,"Tour & Taxis - Havenlaan 86c 106c
1000 - Brussels",,,,,,,,,,,,,,,,,D1000-21104,,,,,,,,,Oui,,,Urbain,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,Bon,,,460 m²,Équipée,,,,Non,,Oui,294 m²,,Connecté,Oui,Non communiqué,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Non,Oui,,,,Zone non inondable,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1.250.000 €,Oui,,"rue de la Cambre 184
1200 - Bruxelles",À définir,,6,Oui,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1930,Bon,7 m,2,,450 m²,,,,6,6,Oui,Non,,192 m²,Connecté,Oui,,210 kWh/m²,D,Non communiqué,45 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,Parc résidentiel,1.595.000 €,3.829 €,Oui,Selon le locataire,,Américaine hyper-équipée,5,,,Non,,,"Rue Belliard 200
1000 - Bruxelles",,,,,,,,,,,,Non,Oui,,Non,,4519837,,20 m²,20 m²,15 m²,15 m²,14 m²,,,,191 m²,,,5,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
92,,Excellent état,,4,,1240 m²,,,,14,5,Oui,Non,,153030 m²,Connecté,Non,,594 kWh/m²,G,2379698,Non communiqué,Non communiqué,,,,,,,,,,,,,3.950.000 €,5.352 €,Non,À définir,,Hyper équipée,6,,Oui,Oui,,,"Rue des Sablons 19
1000 - Bruxelles",4403013,,,,Oui,,,,,Oui,,Non,,Oui,Non,,,5,,,,,,,,,,,,,150000 m²,10,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
93,1900,,,2,,320 m²,,,,5,3,,Non,,86 m²,,,,293 kWh/m²,F,20200625-000057047-01-49,58 kg CO₂/m²,Non communiqué,,Gaz,Non,Non,Non,,Non,,,,,,1.145.000 €,,Non,,,Équipée,4,,,,,Non,"Avenue Emile de Beco 89
1050 - Ixelles",1000RBV030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS BUILD,,,,,,,,,,,,,,,,,,,,,
