,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Cave,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Largeur de la façade à rue,Type d’environnement,Surface de la chambre 4,Surface de l'espace professionnel,Largeur du terrain à rue,Terrasse,Type de zone inondable,Site internet,Surface de bureau,Bureau,Surface du grenier,Surface constructible totale au sol,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Quartier ou lieu-dit,Salle à manger,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Piscine,Dressing,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation du jardin,Orientation de la terrasse,Concierge,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Disponible le,Jardin,Attestation as-built,Surface de la cave,Attestation de conformité des citernes à mazout,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Obligation de construire,Combien de feux ouverts ?,Isolé,Nombre d'annexes,Surface de la chambre 5,Nom du bien,Salon,Informations supplémentaires,Référence externe,Niveau E (performance énergétique globale),Charges mensuelles
0,Après la signature de l’acte,1960,Excellent état,2,2,2,150 m²,30 m²,Hyper équipée,12 m²,3,12 m²,14 m²,16 m²,1,1,2,Oui,Oui,Non,400 m²,Connecté,Non,90 m²,50 m²,635 kWh/m²,F,201009140000637653000000103,Non communiqué,Non communiqué,Mazout,Oui,245.000 €,396 €,Non,"Chaussée de Tirlemont 30
4520 - Wanze",4528872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Trekschurenstraat 245
3500 - Hasselt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,1900,À rafraîchir,2,1,2,,200 m²,40 m²,Semi-équipée,17 m²,4,19 m²,16 m²,14 m²,1,1,2,Oui,Oui,Non,647 m²,Connecté,Oui,,,321 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,349.000 €,,Non,"Nieuwstraat 32b1
1730 - Asse",12.32 m,Urbain,13 m²,20 m²,12.32 m,Oui,Zone non inondable,4433493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,1850,Bon,4,1,7,,190 m²,33 m²,Équipée,22 m²,3,22 m²,16 m²,15 m²,1,,2,,,Non,1612 m²,Non connecté,Oui,1458 m²,60 m²,266 kWh/m²,D,20210928009985,Non communiqué,63477 kWh/an,Mazout,Oui,350.000 €,845 €,Non,"116 boulevard d'Avroy
4000 - Liège",19 m,Isolé,,,28.65 m,,Zone non inondable,4518602,6 m²,Oui,27 m²,154 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,1951,Bon,4,1,2,,132 m²,23 m²,Équipée,10 m²,3,12 m²,18 m²,18 m²,1,,2,,,Non,317 m²,Connecté,Oui,100 m²,,487 kWh/m²,E,2466368,Non communiqué,Non communiqué,Gaz,,389.000 €,1.056 €,Non,"Brusselbaan 110
1790 - Affligem",7 m,Urbain,,,13 m,Oui,Zone non inondable,4533983,,,,107 m²,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Korenmarkt 55
2800 - Mechelen",,,,,,,,,,,,,,Oui,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,À définir,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Veemarkt 19
2800 - Mechelen",,,,,,,Zone non inondable,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,1937,Bon,2,1,,133 m²,30 m²,Oui,6 m²,3,15 m²,13 m²,20 m²,2,1,2,Oui,Oui,Non,105 m²,Connecté,Oui,45 m²,5 m²,Non,G,Non communiqué,76 kg CO₂/m²,Non communiqué,Gaz,549.000 €,,1.529 €,Non,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4528536,5.9 m,Isolé,,,,,,,,,,,,,,,,Bruxelles (19 communes),Hyper équipée,Non,Oui,Non,383 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,2000,Bon,4,1,3,,350 m²,43 m²,Hyper équipée,9 m²,2,17 m²,13 m²,,2,,2,,,Non,850 m²,Connecté,Oui,400 m²,24 m²,192 kWh/m²,C,20200210003019,36 kg CO₂/m²,60847 kWh/an,Gaz,Oui,695.000 €,3.299 €,Non,,11 m,"Zone d'habitat (résidentiel, urbain ou rural)",,110 m²,17 m,,Zone non inondable,,17 m²,Oui,70 m²,180 m²,Zone de récréation et de séjour,Oui,,Non,Non,,,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Sud-est,Sud-est,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Villa,,,,,,,,,,,,,,,,,,,,,,,,
9,À définir,1989,Bon,3,2,,,200 m²,,Semi-équipée,13 m²,3,13 m²,13 m²,13 m²,1,,2,Oui,Oui,Non,825 m²,Connecté,Oui,520 m²,,339 kWh/m²,D,20200915028538,83 kg CO₂/m²,83811 kWh/an,Mazout,,Faire offre à partir de 260.000 €,818 €,Non,"Chaussée Paul Houtart 232
7110 - Houdeng-Goegnies",,,,,,Oui,,4516807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,1930,Bon,3,,,,120 m²,,Équipée,,2,,,,1,,1,,,Non,164 m²,,,,,163 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,298.000 €,514 €,Non,"Roterijstraat, 202
8793 - Waregem",,,,,,Oui,,13479 - 3614,,,,,,,,,,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,15 mai 2022 - 00:00,Oui,Non,,,,,,,,,,,,,,,,,,,,,
11,,1930,Bon,3,,,,120 m²,,Équipée,,2,,,,1,,1,,,Non,164 m²,,,,,163 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,298.000 €,514 €,Non,"Roterijstraat, 202
8793 - Waregem",,,,,,Oui,,13478 - 3613,,,,,,,,,,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,15 mai 2022 - 00:00,Oui,Non,,,,,,,,,,,,,,,,,,,,,
12,Après la signature de l’acte,1957,Bon,4,3,,,407 m²,,Équipée,24 m²,4,23 m²,20 m²,18 m²,4,,2,,,Non,21451 m²,,,,,278 kWh/m²,C,20190211-0002131443-RES-1,Non communiqué,Non communiqué,Mazout,,795.000 €,2.473 €,Non,"Grote Markt 35
9600 - Ronse",,,,,,Oui,Bien immobilier situé tout ou en partie dans une zone inondable délimitée,13518 - VK 3659,,,,,Zone d'intérêt paysager,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,21 m²,"Oui, conforme",,,,,,,,,,,,,,,,,,,
13,Après la signature de l’acte,1850,Bon,2,1,2,,130 m²,12 m²,Équipée,12 m²,3,11 m²,12 m²,15 m²,1,,2,,,Non,229 m²,Connecté,Non,75 m²,20 m²,302 kWh/m²,D,20210927004204,8 kg CO₂/m²,40067 kWh/an,Pellets,Oui,209.000 €,384 €,Non,"Faubourg d'Arival 16
6760 - Virton",7 m,Pays,,,7 m,,,4496707,,,,,,,,,,Zone Sud Province du Luxembourg,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,1990,Bon,4,2,4,,90 m²,29 m²,Équipée,15 m²,1,15 m²,,,1,,1,Oui,Oui,,491 m²,,,,,432 kWh/m²,F,20180530001886,Non communiqué,Non communiqué,Mazout,Oui,,1.128 €,Non,"Specialiste Viager Wallonie
1410 - Waterloo",11 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,40.000 €,280 €,Oui,Oui,Oui,2,"62, 67",20 ans maximum,,,,,,,,,,,
15,À définir,2017,Excellent état,3,1,4,230 m²,31 m²,Américaine hyper-équipée,14 m²,4,16 m²,14 m²,11 m²,31 m²,3,,62 m²,,,473 m²,Connecté,Oui,235 m²,Oui,,B,20160604001634,22 kg CO₂/m²,239369 kWh/an,Gaz,Oui,,1.420 €,Non,"Chaussée Napoléon 3
4500 - Huy",4527869,8.2 m,Isolé,2,,,113 kWh/m²,,,,,Non,,Faire offre à partir de 319.000 €,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,1 décembre 2021 - 00:00,,,11 m²,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Brusselsesteenweg 690
9050 - Gentbrugge",,,,,,,Zone non inondable,PR21005,,,,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,
17,Après la signature de l’acte,1993,Bon,4,1,3,,165 m²,34 m²,Hyper équipée,14 m²,3,17 m²,20 m²,14 m²,2,,2,,,Non,586 m²,Connecté,Oui,300 m²,36 m²,331 kWh/m²,D,20210826006490,Non communiqué,54114 kWh/an,Électrique,Oui,350.000 €,1.390 €,Non,,11 m,Aménagé,,,,,Zone non inondable,,,Non,16 m²,140 m²,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Oui,,,,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Sud-ouest,Sud-ouest,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Villa,,,,,,,,,,,,,,,1,Oui,1,,,,,,,
18,Selon le locataire,1967,Excellent état,2,1,,,485 m²,55 m²,Hyper équipée,12 m²,6,21 m²,18 m²,18 m²,3,,4,Oui,Oui,Non,251 m²,Connecté,Non,,16 m²,524 kWh/m²,G,20180831-0000534375-01-7,138 kg CO₂/m²,Non communiqué,Mazout,Oui,990.000 €,5.334 €,Non,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",12.6 m,"Zone d'habitat (résidentiel, urbain ou rural)",14 m²,120 m²,12.6 m,,Zone non inondable,4368708,19 m²,Oui,,143 m²,,,Oui,Oui,,Est de Bruxelles + VL,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,30 octobre 2000 - 00:00,,,,,,,,,,,,,,,,,14 m²,,,,,,
19,À définir,1981,Bon,3,,1,,175 m²,,Équipée,15 m²,3,19 m²,15 m²,23 m²,2,,2,Oui,Oui,Non,165 m²,Connecté,Oui,,54 m²,305 kWh/m²,D,20210929006904,59 kg CO₂/m²,59872 kWh/an,Gaz,,Faire offre à partir de 195.000 €,535 €,Non,"Chaussée Paul Houtart 232
7110 - Houdeng-Goegnies",,,,,,,,4453808,,,,,,,,,,,,Non,Non,Oui,Non,,,,,,,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Après la signature de l’acte,1975,Excellent état,2,1,2,134 m²,24 m²,Hyper équipée,8 m²,2,11 m²,11 m²,1,,1,,1 m²,,,226 m²,Connecté,Oui,69 m²,Non,,C,20211005-0002472789-RES-1,Non communiqué,Non communiqué,"Oui, conforme",Oui,Oui,426 €,Non,"Hoogstraat 5
2800 - Mechelen",4514533,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,,365.000 €,Non,Non,Non,Zone non inondable,,,Oui,Non,,229 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,41 m²,Mazout,,,,,,,,,,,,,,,,,,,
21,Après la signature de l’acte,1907,À rafraîchir,2,,,,220 m²,20 m²,Pas équipée,9 m²,4,14 m²,14 m²,14 m²,4,4,4,Oui,,Non,65 m²,Connecté,Oui,,8 m²,326 kWh/m²,F,Non communiqué,65 kg CO₂/m²,Non communiqué,Gaz,Oui,450.000 €,,Oui,"Avenue d'Auderghem, 277
1040 - Etterbeek",5 m,Isolé,12 m²,,,,,4531338,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Oui,,Non,,,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Après la signature de l’acte,1965,Excellent état,2,1,1,,230 m²,40 m²,Hyper équipée,10 m²,4,35 m²,16 m²,14 m²,2,2,3,Oui,,Non,206 m²,Connecté,Oui,100 m²,35 m²,214 kWh/m²,E,Non communiqué,46 kg CO₂/m²,Non communiqué,Gaz,Oui,849.000 €,,Non,"avenue Brugmann 63
1190 - Forest",7 m,Isolé,13 m²,,7 m,,,4531126,,,,230 m²,,,,,,Bruxelles (19 communes),Oui,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,1 février 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,,,
23,Après la signature de l’acte,1970,À rafraîchir,4,1,2,115 m²,27 m²,Pas équipée,10 m²,3,16 m²,15 m²,13 m²,1,1,1,Oui,425 m²,,,14 m,Non,300 m²,16 m²,553 kWh/m²,G,20211002002708,Non communiqué,63334 kWh/an,Mazout,Oui,95 m²,830 €,Non,"Emile Mathieu 23
7333 - Tertre",4533470,7 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,Connecté,,200.000 €,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Après la signature de l’acte,1951,Bon,4,1,2,,132 m²,23 m²,Équipée,10 m²,3,12 m²,18 m²,18 m²,1,,2,,,Non,317 m²,Connecté,Oui,100 m²,,487 kWh/m²,E,2466368,Non communiqué,Non communiqué,Gaz,,389.000 €,1.056 €,Non,"Brusselbaan 110
1790 - Affligem",7 m,Urbain,,,13 m,Oui,Zone non inondable,4507515,,,,107 m²,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Après la signature de l’acte,1975,Bon,4,1,2,,223 m²,,Hyper équipée,,3,,,,1,1,2,,Oui,Non,578 m²,Connecté,Oui,457 m²,,297 kWh/m²,C,20210314-0002387189-RES-1,Non communiqué,Non communiqué,Gaz,Oui,425.000 €,941 €,Non,"Meeuwenlaan 30
8434 - Westende",15 m,Urbain,,,23 m,Oui,Zone non inondable,4533900,,,,120 m²,,Oui,Oui,Non,,Middelkerke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,
26,À définir,1890,À rafraîchir,3,,,,175 m²,30 m²,Semi-équipée,12 m²,4,25 m²,24 m²,18 m²,2,2,3,,,Non,920 m²,,,400 m²,,355 kWh/m²,E,20210908027886,65 kg CO₂/m²,48904 kWh/an,Gaz,,195.000 €,,Non,"Grand rue 191
4870 - Trooz",,Urbain,13 m²,,,Oui,,4528918,,,,,,,,,,Grand Liège,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,1 février 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,,,
27,Après la signature de l’acte,1960,À rénover,3,1,1,,165 m²,36 m²,Pas équipée,12 m²,3,15 m²,16 m²,12 m²,1,,2,,,Non,436 m²,Connecté,Oui,360 m²,10 m²,Non communiqué,G,201232802,Non communiqué,Non communiqué,Gaz,,199.000 €,1.132 €,,"44, Place Albert 1er
6061 - Montignies-sur-Sambre",5 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,9 m,,Zone non inondable,,,,30 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,,,,,,,,Oui,,,,Oui,,,Sud,Sud,,,,,,,,,,,,,,,,60 m²,Non,,,,,,,,,,1,,,,GRANDS LACS,,,,,
28,Après la signature de l’acte,1910,À rafraîchir,2,,,,550 m²,36 m²,Équipée,15 m²,3,18 m²,14 m²,13 m²,1,1,2,,,Non,845 m²,,,350 m²,70 m²,355 kWh/m²,E,20210908027886,65 kg CO₂/m²,48904 kWh/an,Gaz,Oui,230.000 €,,Oui,"Grand rue 191
4870 - Trooz",,Urbain,,300 m²,,,,4528986,10 m²,Oui,,,,,,,,Grand Liège,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 février 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,,,
29,Après la signature de l’acte,1994,Excellent état,4,2,3,,60 m²,30 m²,Américaine équipée,,2,,,,1,1,1,Oui,,Oui,970 m²,,Oui,970 m²,25 m²,440 kWh/m²,F,20210917001902,1000 kg CO₂/m²,22433 kWh/an,Gaz,Oui,229.000 €,344 €,Non,"Begijnenweide 55
9860 - Oosterzele Scheldewindeke",8 m,,,,21 m,,Zone non inondable,84 - 1346,,,,,Zone résidentielle récréative,Oui,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Les Mignées,,,,,
30,Après la signature de l’acte,1993,Fraîchement rénové,4,,,,216 m²,17 m²,Équipée,15 m²,4,15 m²,15 m²,16 m²,1,1,1,,,Non,999 m²,,Non,800 m²,48 m²,193 kWh/m²,C,20210826002247,46 kg CO₂/m²,Non communiqué,Mazout,Oui,365.000 €,1.375 €,Non,,12 m,Pays,15 m²,,18 m,,Zone non inondable,,,Non,15 m²,,,,,,,,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Sud,Sud,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Toutes sortes,,,,50 m²,,,,,,,,,,,1,,,,,,,,,
31,Après la signature de l’acte,1937,À rénover,4,1,2,,115 m²,30 m²,Semi-équipée,12 m²,3,15 m²,13 m²,9 m²,1,1,1,Oui,,Non,637 m²,,Non,500 m²,10 m²,650 kWh/m²,G,20211005005151,161 kg CO₂/m²,88845 kWh/an,Mazout,,189.000 €,562 €,Non,"Grand rue 191
4870 - Trooz",,Isolé,,,,,,4520945,9 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 octobre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Rue de la Besace, 14
6852 - Our-Paliseul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Après la signature de l’acte,1874,Bon,2,,,,150 m²,,Équipée,,4,16 m²,16 m²,15 m²,1,,2,,,Non,70 m²,,,,,180 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,194.500 €,391 €,Non,"Roterijstraat, 202
8793 - Waregem",,,8 m²,,,Oui,Zone non inondable,13411 - VK 3561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,20 m²,,,,,,,,,,,,,,,,,,,,
34,Après la signature de l’acte,1950,Bon,2,,,,180 m²,,Équipée,,4,19 m²,18 m²,24 m²,1,1,1,Oui,Oui,Non,348 m²,Connecté,Oui,300 m²,25 m²,261 kWh/m²,D,20210621033380,47 kg CO₂/m²,58603 kWh/an,Gaz,Oui,Faire offre à partir de 215.000 €,428 €,Non,"Place Communale 18
6230 - Pont-à-Celles",,Urbain,18 m²,,,,Zone non inondable,4516483,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 juillet 2021 - 00:00,,,,,,,,,,,,,,,,,,,Oui,,,,
35,Après la signature de l’acte,1874,Bon,4,4,3,,236 m²,,Équipée,,4,,,,1,1,2,,,Non,1416 m²,Connecté,,,,268 kWh/m²,D,20201005004646,66 kg CO₂/m²,63397 kWh/an,Mazout,,380.000 €,713 €,Non,"Route de Marche 143
6600 - Bastogne",,Pays,,,,Oui,,4527204,,,,,,,,,,BASTOGNE,,Non,Non,,Non,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Après la signature de l’acte,1960,Fraîchement rénové,3,1,1,90 m²,30 m²,Hyper équipée,6 m²,3,15 m²,13 m²,9 m²,1,1,1,7 m²,Non,,186 m²,Connecté,Oui,100 m²,15 m²,Non,E,20181116-0002108484-1,Non communiqué,Non communiqué,Gaz,Oui,186 m²,1.063 €,Non,"Avenue Louise 433
1050 - Bruxelles",4500139,,Isolé,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Oui,,Non,469.000 €,,,Non,Zone non inondable,,,Non,Oui,,430 kWh/m²,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,À définir,1961,Excellent état,2,,,,221 m²,34 m²,Équipée,14 m²,4,10 m²,12 m²,23 m²,1,,2,,,Non,386 m²,Connecté,Oui,240 m²,21 m²,Non communiqué,E,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,290.000 €,1.315 €,Non,,8 m,"Zone d'habitat (résidentiel, urbain ou rural)",12 m²,,,,,,,Non,,,,Oui,Oui,,,,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Sud,Sud,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,,,,,35 m²,"Oui, conforme",,,,,,,,,,,,,,,,division cadastrale 62314 Herstal 4 div,,,
38,Après la signature de l’acte,1950,Bon,3,,,,150 m²,40 m²,Équipée,16 m²,3,15 m²,8 m²,20 m²,1,1,2,Oui,Oui,Non,210 m²,Connecté,Oui,75 m²,10 m²,320 kWh/m²,D,20161219020632,59 kg CO₂/m²,85094 kWh/an,Gaz,Oui,Faire offre à partir de 149.000 €,580 €,Non,"Place Communale 18
6230 - Pont-à-Celles",6 m,Urbain,,,6 m,,Zone non inondable,4527864,,,,70 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 octobre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,
39,,1984,Bon,3,1,3,,223 m²,32 m²,Équipée,12 m²,3,14 m²,14 m²,13 m²,1,,1,,,Non,750 m²,,Oui,462 m²,30 m²,495 kWh/m²,E,Certificaat-20210901-0002458717-RES-1.pdf,Non communiqué,Non communiqué,Électrique,Oui,449.000 €,1.152 €,Non,"James Ensorlaan 39
1800 - Vilvoorde",8 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,14 m,,Zone d'inondation reconnue,1979842 - 1359,15 m²,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Oui,Non,,,Oui,,,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,1 mars 2022 - 00:00,,Non,,,,,,,,,,,,,,,,,,,,,
40,Selon le locataire,1965,À rafraîchir,3,,,700 m²,Semi-équipée,,10,,7,,,,9,,100 m²,,,602 m²,Connecté,Oui,200 m²,60 m²,204 kWh/m²,D,Non communiqué,40 kg CO₂/m²,Non communiqué,Gaz,Oui,999.000 €,6.685 €,Oui,"Av.de la Brise 46
1020 - Bruxelles",4270883,15 m,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Après la signature de l’acte,1967,À rafraîchir,3,1,1,,102 m²,303 m²,Semi-équipée,105 m²,3,177 m²,12 m²,107 m²,1,1,2,Oui,,Non,440 m²,Connecté,Oui,260 m²,21 m²,406 kWh/m²,E,202109280224107-,101 kg CO₂/m²,51847 kWh/an,Gaz,Oui,255.000 €,1.177 €,Non,"Grand rue 191
4870 - Trooz",,"Zone d'habitat (résidentiel, urbain ou rural)",,,11 m,,Zone non inondable,4518956,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Grand Liège,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 septembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,
42,Immédiatement,1995,À rafraîchir,4,2,15,,300 m²,,Semi-équipée,,5,,,,1,1,2,Oui,,Non,5000 m²,Connecté,Oui,3500 m²,100 m²,317 kWh/m²,D,20211002003261,Non communiqué,127083 kWh/an,Mazout,Oui,1.250.000 €,3.129 €,Non,,,Pays,,,,,Zone non inondable,,,Oui,,,,Oui,,,Non,,Oui,Non,Non,Oui,Non,Non,,Oui,Non,Non,Non,Oui,Oui,Sud,,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,,,,,,,,,,,,1,,,,,Oui,,,,
43,,1950,Bon,2,1,1,,140 m²,25 m²,Semi-équipée,11 m²,3,20 m²,15 m²,10 m²,1,,1,Oui,,Non,227 m²,,Oui,182 m²,8 m²,306 kWh/m²,D,20210928024520,55 kg CO₂/m²,41138 kWh/an,Gaz,Oui,230.000 €,1.088 €,Non,"Rue Pierre Henvard 2
4053 - Embourg",6 m,Urbain,,,6 m,,,1097 - 2108,,,,,,,,,,,,,,,,,,,,Non,,,,Ouest,,,,,Oui,,,,,,,,,,,Non,,Non,,,,,,,,,,,,,,,,,,,
44,Après la signature de l’acte,1955,À rénover,3,1,1,,224 m²,31 m²,Semi-équipée,12 m²,3,18 m²,16 m²,16 m²,2,,2,Oui,,Non,245 m²,,Oui,92 m²,,608 kWh/m²,F,20210413-0002400954-RES-1,Non communiqué,Non communiqué,Gaz,Oui,260.000 €,649 €,Non,"Dr. Persoonslaan 15 b
2830 - Willebroek",6 m,,,,8 m,,Zone non inondable,16682 - 3111TK,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Oui,,,,,,,,,,,,,Est,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,1,,,,,,,,,
