,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Cave,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Largeur de la façade à rue,Type d’environnement,Surface de la chambre 4,Surface de l'espace professionnel,Largeur du terrain à rue,Terrasse,Type de zone inondable,Site internet,Surface de bureau,Bureau,Surface du grenier,Surface constructible totale au sol,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Quartier ou lieu-dit,Salle à manger,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Piscine,Dressing,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation du jardin,Orientation de la terrasse,Concierge,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Disponible le,Jardin,Attestation as-built,Surface de la cave,Attestation de conformité des citernes à mazout,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Obligation de construire,Combien de feux ouverts ?,Isolé,Nombre d'annexes,Surface de la chambre 5,Nom du bien,Salon,Informations supplémentaires,Référence externe,Niveau E (performance énergétique globale),Charges mensuelles
82,Après la signature de l’acte,1996,Bon,2,1,,209 m²,Équipée,,3,,21 m²,17 m²,12 m²,1,3,,Oui,,Non,130 m²,Connecté,Oui,40 m²,,178 kWh/m²,B,20181009-0002096601-2,Non communiqué,Non communiqué,Gaz,Oui,Oui,1.725 €,Oui,"Zonnewende 3
8500 - Kortrijk",4447826,9 m,Urbain,,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,74 m²,,,320.000 €,Non,Non,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Selon le locataire,,Bon,2,,,361 m²,51 m²,Pas équipée,14 m²,6,10 m²,14 m²,4,,4,,15 m²,,,,8.16 m,Non,255 m²,30 m²,Oui,C,20140704005123,46 kg CO₂/m²,18934 kWh/an,Gaz,Oui,Oui,1.529 €,Oui,"Place Communale 8
1160 - Auderghem",4497268,7.3 m,Urbain,,,Connecté,,,,,,,Oui,379.000 €,115 m²,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Liège,,,,244 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,370 m²,,,,,,,,,,,,,,,,,,,,
84,Après la signature de l’acte,1985,Fraîchement rénové,3,,4,,161 m²,17 m²,Hyper équipée,13 m²,4,17 m²,15 m²,15 m²,1,,2,,,Non,512 m²,Non connecté,Oui,,,373 kWh/m²,E,20160613014339,Non communiqué,60155 kWh/an,Électrique,Oui,435.000 €,1.199 €,,"Square Bellevue 11
4052 - Beaufays",,"Zone d'habitat (résidentiel, urbain ou rural)",12 m²,17 m²,,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Oui,,,,,,Oui,Oui,,,,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,1985,Bon,4,1,,,250 m²,,Équipée,10 m²,3,22 m²,14 m²,11 m²,1,,2,,,Non,829 m²,,,,,284 kWh/m²,C,20211012-0002475927-res-1,Non communiqué,Non communiqué,Gaz,Oui,450.000 €,986 €,Non,"Roterijstraat, 202
8793 - Waregem",,,,,,Oui,,13517 - VK 3678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,
86,Après la signature de l’acte,2015,Excellent état,4,1,,,186 m²,66 m²,Équipée,,3,17 m²,16 m²,14 m²,1,,2,Oui,,Non,1259 m²,,Oui,,,94 kWh/m²,B,20170206505456,Non communiqué,27519 kWh/an,,Oui,465.000 €,1.385 €,Non,"Rue des Brasseurs (Grand' Place), 1
4500 - Huy",,,,,,Oui,,14693 - 111114227,,,,,,,,,,,,,,,,,,,,,,,,Nord-ouest,,,,,,,,,,,,,,,Oui,Non,,,,,,,,,,,,1,,,,,,,,,
87,Après la signature de l’acte,1987,Bon,4,2,5,,205 m²,,Équipée,24 m²,3,24 m²,18 m²,18 m²,1,,2,,,Non,1425 m²,,,,,331 kWh/m²,D,20210803-002447870-res-1,Non communiqué,Non communiqué,Électrique,Oui,499.500 €,669 €,Non,"Roterijstraat, 202
8793 - Waregem",,,,,,Oui,,13507 - 3619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"La Besace, 14
6850 - Paliseul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Après la signature de l’acte,1899,À rénover,2,,,,110 m²,,Pas équipée,7 m²,2,17 m²,15 m²,,1,,2,Oui,,Non,75 m²,,,,,516 kWh/m²,G,20200622014343,94 kg CO₂/m²,49686 kWh/an,Gaz,,69.000 €,329 €,Non,"Rue des Brasseurs (Grand' Place), 1
4500 - Huy",9 m,,,,9 m,,,14603 - 6090,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,49686,
90,Après la signature de l’acte,1850,À rénover,2,,,,188 m²,27 m²,Pas équipée,11 m²,4,16 m²,15 m²,24 m²,1,1,2,Oui,Oui,Non,210 m²,Connecté,Oui,124 m²,,395 kWh/m²,E,20111108015005,100 kg CO₂/m²,74464 kWh/an,Mazout,Oui,Faire offre à partir de 99.900 €,788 €,Non,"rue de Pont-à-Celles 10
6238 - Luttre",7.5 m,Urbain,,,7.5 m,,Zone non inondable,4397185,6 m²,Oui,,85 m²,Parc résidentiel,,Non,Non,Non,Charleroi,Oui,Non,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,
91,Après la signature de l’acte,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",,,,,,,,,,,,,,Oui,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,À la livraison,,,,1,2,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Rue de l'Yser 425
4430 - Ans",,,,,,,,4507571,,,,83 m²,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Rue de la Besace, 14
6852 - Our-Paliseul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Après la signature de l’acte,1874,Bon,3,,,,90 m²,25 m²,Équipée,8 m²,2,16 m²,23 m²,,1,1,1,Oui,Oui,Non,67 m²,Connecté,Oui,,9 m²,425 kWh/m²,E,20210506019206,81 kg CO₂/m²,38380 kWh/an,Gaz,Oui,Faire offre à partir de 109.900 €,276 €,Non,"rue de Pont-à-Celles 10
6238 - Luttre",4.4 m,Isolé,,,4.4 m,,Zone non inondable,4359189,,,,33 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Charleroi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580 €
95,Après la signature de l’acte,1888,À rénover,2,1,,,69 m²,14 m²,Pas équipée,11 m²,2,9 m²,7 m²,,1,1,2,Oui,Oui,Non,144 m²,Connecté,Non,80 m²,17 m²,516 kWh/m²,G,20210322022739,129 kg CO₂/m²,49870 kWh/an,Mazout,Oui,110.000 €,359 €,Non,"Grand rue 191
4870 - Trooz",5 m,Urbain,,,8.5 m,,Zone inondable potentielle,4363799,11 m²,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Grand Liège,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 mai 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,
96,Après la signature de l’acte,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Rue Maréchal Joffre, 26
7387 - Fayt-le-franc",,,,,,,,4330247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Après la signature de l’acte,1900,Bon,2,,,,172 m²,,Équipée,6 m²,4,6 m²,18 m²,8 m²,1,,2,Oui,Oui,Non,22 m²,Connecté,Oui,,,268 kWh/m²,D,20210702002254,53 kg CO₂/m²,18857 kWh/an,Gaz,Oui,Faire offre à partir de 129.900 €,889 €,Oui,"rue de Pont-à-Celles 10
6238 - Luttre",3.3 m,Urbain,17 m²,,3.3 m,,Zone non inondable,4403809,,,,22 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Charleroi,,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,
98,Après la signature de l’acte,1920,À rénover,2,1,,,129 m²,,Pas équipée,,2,16 m²,15 m²,,2,2,1,,,Non,91 m²,Connecté,Oui,,,558 kWh/m²,G,20200831025087,106 kg CO₂/m²,71892 kWh/an,Gaz,,130.000 €,612 €,Non,"Grand rue 191
4870 - Trooz",6 m,Urbain,,,6 m,,Zone non inondable,4284188,,,,91 m²,,,,,,Liège,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 juin 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,
