,État du bâtiment,Visite virtuelle,Type de cuisine,Chambres,Dressing,Salles de bains,Toilettes,Bureau,Meublé,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Année de construction,Nombre de façades,Parkings intérieurs,Surface habitable,Surface de la terrasse,Ascenseur,Attestation as-built,Niveau E (performance énergétique globale),Permis de bâtir obtenu,Site internet,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Cave,Revenu cadastral,Revenu mensuel actuel,Référence externe,Type d’environnement,Salon,Salle à manger,Surface de la cave,À partir de,Jardin,Orientation du jardin,Largeur de la façade à rue,Surface du salon,Surface de bureau,Surface de l'espace professionnel,Attestation de conformité des citernes à mazout,Pompe à chaleur,Buanderie,Surface du jardin,Type de construction,Parkings extérieurs,Surface du grenier,Accessible aux personnes avec un handicap,Piscine,Grenier,Nom du bien,Espace professionnel,Panneaux photovoltaïques,Porte blindée,Surface constructible totale au sol,Isolé,Orientation de la terrasse,Nombre d'annexes,Concierge,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Panneaux solaires,Chauffe-eau commun,Charges mensuelles,Salles de douche,Disponible le,Combien de feux ouverts ?,Quartier ou lieu-dit,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Description libre du PEB
24,,,,10,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,1.300.000 €,Oui,"Place du champ de Mars 5
1050 - Bruxelles",,2,,,,,,,,,,,,,,,,,,4501476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Excellent état,134 m²,8 m²,11 m²,,1,1 m²,,226 m²,Connecté,,,,,,Oui,69 m²,,C,20211005-0002472789-RES-1,Non communiqué,Non communiqué,"Oui, conforme",Oui,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",365.000 €,426 €,"Hoogstraat 5
2800 - Mechelen",4514533,1975,2,1,24 m²,,Oui,,,Non,,2,11 m²,1,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,41 m²,Après la signature de l’acte,,,,Hyper équipée,,,Mazout,,,Non,,2,Non,Non,229 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Fraîchement rénové,,Équipée,3,,1,2,,Non,838 m²,Non,,,,,,,,188 kWh/m²,B,20211005-0002471692-res-1,Non communiqué,Non communiqué,Mazout,Oui,,Non,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",495.000 €,Non,"Verbindingsweg 41
1880 - Kapelle-op-den-Bos",1962,4,1,170 m²,,,Non,,Oui,467 - LEEJUN,18 m²,20 m²,12 m²,10 m²,,,Oui,718 €,,,,,,,,Oui,Nord-est,,61 m²,,,"Oui, conforme",,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Bon,,Semi-équipée,2,Non,,1,,Non,1100 m²,,,,,,Connecté,Oui,,1151 kWh/m²,F,20210922-0002467276-RES-1,Non communiqué,Non communiqué,Électrique,Oui,,Non,Non,Non,Zone non inondable,,425.000 €,Non,"Veemarkt 19
2800 - Mechelen",,,,100 m²,,,Non,,,,6 m²,8 m²,14 m²,,,,Oui,357 €,,,,,,,À définir,,Sud,,24 m²,,,,Non,,700 m²,,1,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Excellent état,,Hyper équipée,3,Oui,1,2,Oui,,578 m²,Oui,,Oui,Oui,11.3 m,Connecté,Oui,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",461.200 €,,"Wateringstraat 40
2400 - Mol",2021,3,1,208 m²,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Oui,,À la livraison,,,8 m,,,,,,Oui,,,2,48 m²,,,,HALF OPEN BEBOUWING Lot 2,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Excellent état,,Hyper équipée,3,Oui,1,2,Oui,,749 m²,Oui,,Oui,Oui,14 m,Connecté,Oui,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",467.200 €,,"Wateringstraat 40
2400 - Mol",2021,3,1,208 m²,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Oui,,À la livraison,,,8 m,,,,,,Oui,,,2,48 m²,,,,HALF OPEN BEBOUWING Lot 1,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Excellent état,260 m²,4,1,,2,Non,Oui,Non,11.5 m,,,,,Connecté,Oui,Oui,,B,20210922-0002467690-RES-1,Non communiqué,Non communiqué,Non,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",515.000 €,1.111 €,"Veldonkstraat 5
3120 - Tremelo",T1332,1938,2,1,Oui,,,,,140 m²,,,,,,,,Non,Non,,,,Équipée,,,,Est,163 kWh/m²,11.5 m,,,,,,,,,1,,,,,,,,961 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,Équipée,4,Non,1,2,Non,,386 m²,Non,Non,Non,Non,,Non connecté,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,,,,Zone non inondable,Zone d'extension d'habitat,574.441 €,Non,"Tramlaan 249
1933 - Sterrebeek",,,,192 m²,,,,20,,696 - nr43C,,24 m²,16 m²,14 m²,,,,,,,,,Oui,,,,,,58 m²,,,,,Oui,246 m²,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,Équipée,4,Non,1,2,Non,,351 m²,Non,Non,Non,Non,,Non connecté,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,,,,Zone non inondable,Zone d'extension d'habitat,586.670 €,Non,"Tramlaan 249
1933 - Sterrebeek",,,,203 m²,,,,20,,696 - nr55C,,24 m²,16 m²,19 m²,,,,,,,,,Oui,,,,,,70 m²,,,,,Oui,235 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,Équipée,4,Non,1,2,Non,,325 m²,Non,Non,Non,Non,,Non connecté,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,,,,Zone non inondable,Zone d'extension d'habitat,591.221 €,Non,"Tramlaan 249
1933 - Sterrebeek",,,,200 m²,,,,20,,696 - nr51C,,24 m²,16 m²,19 m²,,,,,,,,,Oui,,,,,,70 m²,,,,,Oui,194 m²,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
