,État du bâtiment,Visite virtuelle,Type de cuisine,Chambres,Dressing,Salles de bains,Toilettes,Bureau,Meublé,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Année de construction,Nombre de façades,Parkings intérieurs,Surface habitable,Surface de la terrasse,Ascenseur,Attestation as-built,Niveau E (performance énergétique globale),Permis de bâtir obtenu,Site internet,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Cave,Revenu cadastral,Revenu mensuel actuel,Référence externe,Type d’environnement,Salon,Salle à manger,Surface de la cave,À partir de,Jardin,Orientation du jardin,Largeur de la façade à rue,Surface du salon,Surface de bureau,Surface de l'espace professionnel,Attestation de conformité des citernes à mazout,Pompe à chaleur,Buanderie,Surface du jardin,Type de construction,Parkings extérieurs,Surface du grenier,Accessible aux personnes avec un handicap,Piscine,Grenier,Nom du bien,Espace professionnel,Panneaux photovoltaïques,Porte blindée,Surface constructible totale au sol,Isolé,Orientation de la terrasse,Nombre d'annexes,Concierge,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Panneaux solaires,Chauffe-eau commun,Charges mensuelles,Salles de douche,Disponible le,Combien de feux ouverts ?,Quartier ou lieu-dit,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Description libre du PEB
82,Bon,,Équipée,3,,2,2,,Non,1500 m²,,,,,21.5 m,,Oui,,493 kWh/m²,E,Certificaat-20210910-0002462584-RES-1.pdf,Non communiqué,Non communiqué,Mazout,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,"Korenmarkt 55
2800 - Mechelen",,4,1,,,,Non,,Oui,36478 - MEC-21-BQU-0,22 m²,16 m²,16 m²,16 m²,,,,,,,,,Oui,,À définir,Oui,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.000 €,150.000 €,883 €,Non,Oui,Oui,1,
83,,200 m²,3,2,,3,Non,,2068 m²,Oui,,,,,,,Oui,,D,20210730-0002439753-RES-1,Non communiqué,Non communiqué,Non,Oui,835.000 €,,,,,,,Non,"Dorp 35
2820 - Bonheiden",1466 - 100,,4,5,1,,,Mazout,,,,,,,,,,,,,,,,,,Après la signature de l’acte,Ouest,312 kWh/m²,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,Équipée,,,,,,,,,,,,,
84,À rénover,,,2,Non,1,1,Non,Non,890 m²,Non,Non,Non,Non,,Connecté,Oui,,735 kWh/m²,F,20210415-0002399300-RES-1,Non communiqué,Non communiqué,Électrique,Oui,,,,,Zone non inondable,,420.000 €,Non,,1974,4,,159 m²,32 m²,,,,,,,,,,,,,1.130 €,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Après la signature de l’acte,,Sud-ouest,,,,,,Non,,812 m²,Toutes sortes,,,,,,,Non,Non,Non,,,Ouest,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,
85,À rénover,,Équipée,2,,1,1,,Non,129 m²,,,,,,Connecté,Oui,,635 kWh/m²,F,20210819-0002452126-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",229.000 €,Non,"Tervuursesteenweg 762 Bus 2
1982 - Elewijt",,3,,70 m²,,,Non,,,4491417,11 m²,10 m²,9 m²,,,,,245 €,,,,,,,,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
86,,,Américaine hyper-équipée,4,,2,3,,,1440 m²,,,,,,Connecté,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.345.000 €,Non,"Werchtersesteenweg 1
3150 - Haacht",2021,4,1,565 m²,,,,20,Oui,4514115,,,,,,,Oui,,,,,,,,À la livraison,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
87,Bon,,,6,,1,,,,2200 m²,,,,,,,,Oui,271 kWh/m²,C,2233822-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Non,Zone non inondable,Zone d'intérêt paysager,1.690.000 €,,"Graaf van Egmontstraat 18
2800 - Mechelen",,4,,1000 m²,,,Non,,Oui,,,,,,,,,,,,Pays,,,,,,,,,,,,,,,,3,,,,,,,,,,,Nord-ouest,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
88,,,Équipée,2,,1,2,,Non,332 m²,,,,,15.55 m,,,,385 kWh/m²,D,20210603-0002424438-RES-1,Non communiqué,Non communiqué,Électrique,Oui,,,,,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,Non,"Liersesteenweg , 394
2800 - Mechelen",1994,,1,162 m²,,,Non,,Oui,4126 - d6702,16 m²,21 m²,21 m²,,,,,1.060 €,,,,,,,Après la signature de l’acte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Excellent état,,Équipée,3,Oui,,3,,Non,1028 m²,,,,,,Connecté,Oui,,322 kWh/m²,D,20210828-0002456785-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",590.000 €,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,1,199 m²,69 m²,,Non,,,,16 m²,,,,,,Oui,1.782 €,,,,,,,À définir,,,,45 m²,,,,Non,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,6,,,,,Non,2200 m²,,,,,,,Oui,,271 kWh/m²,C,20200107-0002233822-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Non,Zone non inondable,Zone d'intérêt paysager,1.690.000 €,Non,"Korenmarkt 8
2800 - Mechelen",,4,,1000 m²,,,Non,,Oui,834754 - 93363950,,,,,,,Oui,319 €,,,Pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
91,,,Équipée,4,,1,2,,Non,3530 m²,,,,,54 m,,,,662 kWh/m²,F,20210519-0002417076-RES-1,Non communiqué,Non communiqué,,,,,,,Zone non inondable,Zone forestière,599.000 €,Non,"Liersesteenweg , 394
2800 - Mechelen",1959,4,1,,,,Non,,Oui,4106 - d6680,25 m²,16 m²,15 m²,14 m²,10 m²,,Oui,1.766 €,,,,,,,Après la signature de l’acte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,Équipée,6,,3,4,,Non,2096 m²,,,,,23 m,,,,116 kWh/m²,B,2399276,Non communiqué,Non communiqué,Gaz,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",998.500 €,Non,"Keizerstraat 18B
2800 - Mechelen",2013,4,4,460 m²,83 m²,Oui,"Oui, conforme",,Oui,,16 m²,17 m²,16 m²,16 m²,16 m²,15 m²,Oui,3.363 €,,1699166 - 2853,,,,,Après la signature de l’acte,,Nord-est,16 m,,,,,,,1500 m²,,4,,,,,,,,,,,,,,,Oui,,Oui,,,,,,,,,1,,,,,,,,,,,,,
93,,,Équipée,5,Non,2,,Oui,,281 m²,Non,Non,Non,Non,,Connecté,Oui,,133 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,399.000 €,Non,"Nijverheidsstraat 48
2570 - Duffel",,,,197 m²,,,,,,,,16 m²,16 m²,11 m²,15 m²,9 m²,,,,N2820/09001,,,,16 m²,,Oui,Sud,,56 m²,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,3,Non,1,2,Non,Non,339 m²,Non,Non,Non,Non,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Solaire,Non,,Oui,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",438.000 €,Non,,2020,3,1,176 m²,20 m²,,"Oui, conforme",,Oui,,,,,,,,,,,,Pays,,,,Après la signature de l’acte,,,,,,,,Oui,,,Toutes sortes,1,,,,,,Non,Non,Non,,,,,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,
95,,Oui,7,Non,3,Oui,,1600 m²,,Non,Non,Non,Non,22 m,Non connecté,Oui,Oui,,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,675.000 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",21/04 IRC,,,,,,,,,Toutes sortes,,,,,,,,,,,,,Oui,Hyper équipée,,,Sud,212 kWh/m²,13 m,,,,,,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Excellent état,Hyper équipée,3,Non,2,,Oui,,555 m²,Connecté,,,,,,Oui,Non communiqué,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",404.200 €,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,,,,,,Non,,,,,,,,,,,,,,,,,,À définir,,,,,,,,Oui,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Excellent état,Hyper équipée,3,Non,2,,Oui,,505 m²,Connecté,,,,,,Oui,Non communiqué,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",474.700 €,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,,,,,,Non,,,,,,,,,,,,,,,,,,À définir,,,,,,,,Oui,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,À rafraîchir,,Équipée,3,,1,2,,Non,1547 m²,,,,,15 m,,Oui,,630 kWh/m²,F,2021007-0002473950-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,Non,"Dr. Persoonslaan 15 b
2830 - Willebroek",1938,3,3,,26 m²,,Non,,Oui,16830 - 3196TK,,,,,,,,562 €,,,,,,,,,Nord,12 m,,,,,,,1200 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,31 octobre 2023 - 00:00,,,,,,,,,,,,,,
99,À rénover,,Équipée,2,,2,2,,Non,1287 m²,Non,,,,14 m,,,,1064 kWh/m²,F,20210826-0002456792-RES1,Non communiqué,Non communiqué,Gaz,Oui,,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",335.000 €,Non,"Dorpshart 10
2870 - Puurs",1938,3,4,257 m²,,,Non,,,9125 - TK/21073/9,,,,,,,Oui,624 €,,,,,,,Après la signature de l’acte,Oui,Nord,14 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Fraîchement rénové,,Équipée,3,,1,2,,Non,595 m²,,,,,,,Oui,Oui,387 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,Zone non inondable,,445.000 €,Non,"Amsterdamstraat 15 bus202
2000 - Antwerpen",1983,4,2,147 m²,,,Non,,,,13 m²,16 m²,16 m²,8 m²,,,,,,217 - 1376,,,,,Après la signature de l’acte,Oui,Sud,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Bon,,Équipée,3,,1,2,,Non,,,,,,8 m,,Oui,,559 kWh/m²,F,2143680,Non communiqué,Non communiqué,Mazout,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Non,"Dr. Persoonslaan 15 b
2830 - Willebroek",1969,2,,222 m²,5 m²,,Non,,Oui,16074 - 2690 TK,17 m²,,,,,,,1.090 €,,,,,Oui,,Après la signature de l’acte,,,8 m,67 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Bon,,Équipée,3,,1,2,,Non,,,,,,8 m,,Oui,,559 kWh/m²,F,2143680,Non communiqué,Non communiqué,Mazout,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Oui,"Dr. Persoonslaan 15 b
2830 - Willebroek",1969,2,,222 m²,5 m²,,Non,,Oui,16048 - 2690 TK,17 m²,,,,,,,1.090 €,,,,,Oui,,Après la signature de l’acte,,,8 m,67 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Bon,,Équipée,4,,1,2,,Non,1315 m²,,,,,77 m,,Oui,,438 kWh/m²,E,20210924-0002468318-RES-1,1000 kg CO₂/m²,Non communiqué,Gaz,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",440.000 €,Non,"Dr. Persoonslaan 15 b
2830 - Willebroek",1980,4,2,,,,Non,,Oui,16824 - 3190TK K,14 m²,14 m²,8 m²,8 m²,,,,1.132 €,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Après la signature de l’acte,Oui,Sud,22 m,47 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,Équipée,3,,1,2,,Non,243 m²,,,,,6 m,,Oui,,244 kWh/m²,C,20201014-0002357550-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",460.000 €,Oui,"Dr. Persoonslaan 15 b
2830 - Willebroek",1918,2,1,145 m²,44 m²,,Non,,Oui,16798 - 3156TK,14 m²,14 m²,12 m²,10 m²,,,Oui,708 €,,,,,,,Après la signature de l’acte,,Sud,6 m,38 m²,,,,,,50 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,Équipée,3,,1,2,,Non,243 m²,,,,,6 m,,Oui,,244 kWh/m²,C,20201014-0002357550-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",460.000 €,Non,"Dr. Persoonslaan 15 b
2830 - Willebroek",1918,2,1,145 m²,44 m²,,Non,,Oui,16777 - 3156TK,14 m²,14 m²,12 m²,10 m²,,,Oui,708 €,,,,,,,Après la signature de l’acte,,Sud,6 m,38 m²,,,,,,50 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,À rénover,,Semi-équipée,9,,1,,,Non,225 m²,,,,,15 m,,Oui,,623 kWh/m²,F,2359133,1000 kg CO₂/m²,Non communiqué,,,,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",499.000 €,Non,"Dr. Persoonslaan 15 b
2830 - Willebroek",1905,3,,516 m²,,,Non,,Oui,16637 - 3079TK,,,,,,,Oui,1.578 €,,,,,,,Après la signature de l’acte,,,11 m,,,,"Oui, conforme",,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,4,,1,,Oui,Non,695 m²,Non,,,,,,,,526 kWh/m²,F,20211002-0002471818-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",345.000 €,Non,"Verbindingsweg 41
1880 - Kapelle-op-den-Bos",1956,3,1,150 m²,,,Non,,Oui,466 - TISSCH,7 m²,14 m²,13 m²,9 m²,8 m²,,Oui,413 €,,,,,,,Après la signature de l’acte,Oui,Est,,31 m²,8 m²,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Bon,,Semi-équipée,,,,,,Non,295 m²,,,,,8 m,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",600.000 €,Oui,"Dr. Persoonslaan 15 b
2830 - Willebroek",1972,2,3,,,Oui,Non,,Oui,16347 - 2962 TK G,12 m²,18 m²,16 m²,16 m²,16 m²,14 m²,,2.592 €,2100,,,,,,,,,8 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Bon,,Équipée,2,,1,2,,Non,90 m²,,,,,,,,,348 kWh/m²,D,20170308-0000897924-4,Non communiqué,Non communiqué,Gaz,,,,,,,,249.000 €,Non,"Valkebeekstraat 24
1861 - Wolvertem",,2,1,140 m²,,,Non,,,311 - V21LON/070,15 m²,24 m²,18 m²,,,,,347 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,À rénover,,Semi-équipée,4,,1,2,,Non,194 m²,,,,,,,,Oui,637 kWh/m²,F,20200823-0002306525-RES-1,Non communiqué,Non communiqué,,,,,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,Non,"Valkebeekstraat 24
1861 - Wolvertem",1957,2,3,208 m²,,,Non,,Oui,241 - V21LON/017,9 m²,21 m²,21 m²,21 m²,21 m²,,Oui,907 €,,,,,,,Après la signature de l’acte,,,,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,À rénover,,,4,,2,,,Non,2790 m²,,,,,41 m,,,Oui,467 kWh/m²,E,20201120-0002341671-RES-1,Non communiqué,Non communiqué,Gaz,,,Non,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",475.000 €,Non,"Valkebeekstraat 24
1861 - Wolvertem",1964,4,3,190 m²,,,Non,,Oui,242 - V21LON/018,13 m²,20 m²,15 m²,15 m²,8 m²,,,1.051 €,,,,,,,Après la signature de l’acte,Oui,Sud-ouest,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Excellent état,,Hyper équipée,3,Non,1,3,Non,Non,387 m²,Oui,Non,Non,Non,,,Oui,,115 kWh/m²,B,20180116-0001798957-2,Non communiqué,Non communiqué,Gaz,Oui,,,,,Zone non inondable,,595.000 €,Non,,1990,1,,340 m²,50 m²,Non,,,,,,,,,,,,1.232 €,,,Urbain,Oui,Oui,,Après la signature de l’acte,,,8 m,,,,"Oui, conforme",Non,Oui,250 m²,Maison bel-étage,,,Non,Non,,,Non,Non,Non,387 m²,,,,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,,,,1,,,,,,,,,,,,,
113,Excellent état,,Hyper équipée,3,,1,,,,201 m²,,,,,,,,,248 kWh/m²,C,2381452,Non communiqué,Non communiqué,Gaz,Oui,,Non,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",289.000 €,Non,"Brusselsesteenweg 31
1980 - Zemst",1950,2,,105 m²,36 m²,,,,Oui,4430571,15 m²,9 m²,13 m²,16 m²,,,,,,,,,,,Après la signature de l’acte,,,,30 m²,,,,,,,,,,,,Oui,,,,,201 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Bon,,Équipée,2,Non,,1,,Non,105 m²,,,,,,Connecté,Oui,Oui,347 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",259.000 €,Non,"Orteliuskaai, 8
2000 - Antwerpen",,,,130 m²,,,Non,,Oui,,12 m²,16 m²,14 m²,,,,Oui,518 €,,,,,,,À définir,,,,42 m²,,,,Non,,,,,,,,,,,,,,,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Excellent état,260 m²,35 m²,28 m²,2,,Oui,,215 m²,Connecté,,,,,,Oui,50 m²,,B,20210728-0002445813-RES-1,Non communiqué,Non communiqué,Non,Non,Oui,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",367.000 €,1.207 €,"Leopoldstraat 37
2800 - Mechelen",,,,,50 m²,,,Gaz,,Oui,,3,20 m²,30 m²,Non,,,Non,Non,,,,,,,À définir,,147 kWh/m²,,Hyper équipée,,,,Oui,,Nord-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Excellent état,,Équipée,3,Non,2,2,Non,Non,270 m²,,,,,,,,,107 kWh/m²,B,20210907-000246137-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",344.000 €,Non,"Overwinningsstraat 87
2830 - Willebroek",1930,2,,155 m²,,,,,,spir629,11 m²,10 m²,16 m²,22 m²,,,,655 €,,,,,Oui,,,,Est,,26 m²,,,Non,Oui,,115 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,31 mai 2022 - 00:00,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Oui,Non,Non,Zone non inondable,,,Non,"Lange Lozanastraat 270 bus 3
2000",,,,,,,,,Oui,,,,,,,,,,,P0707_H,,,,,,,,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Fraîchement rénové,,Semi-équipée,3,Non,1,1,Non,Non,176 m²,,,,,,,,,298 kWh/m²,C,20201223-0002353615-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",264.000 €,Non,"Overwinningsstraat 87
2830 - Willebroek",1956,2,,134 m²,,,,,,spir611,,,,,,,,562 €,,,,Oui,,,Après la signature de l’acte,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Bon,,Équipée,4,Non,3,4,Non,Non,599 m²,,,,,,,,,256 kWh/m²,C,20210506-0002411360-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",469.000 €,Non,"Overwinningsstraat 87
2830 - Willebroek",1935,4,1,251 m²,,,,,,spir608,17 m²,11 m²,11 m²,16 m²,8 m²,,,906 €,,,,,,23 m²,Après la signature de l’acte,,Sud,,38 m²,,,Non,Non,,250 m²,,,36 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Excellent état,,Équipée,4,Non,1,1,Non,Non,603 m²,,,,,,,,,190 kWh/m²,B,20210831-0002458138-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,,Non,,Zone non inondable,Zone d'extension d'habitat,489.000 €,Non,"Overwinningsstraat 87
2830 - Willebroek",2000,4,1,157 m²,,,,,,spir623,10 m²,12 m²,22 m²,14 m²,14 m²,,,968 €,,,,,,,Après la signature de l’acte,,Sud,,32 m²,,,Non,Non,,468 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Fraîchement rénové,,Américaine hyper-équipée,3,Non,2,3,Oui,Non,100 m²,Oui,Non,Non,Oui,45 m,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,,,2,,160 m²,27 m²,,,,Oui,,18 m²,18 m²,13 m²,16 m²,,,,366 €,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,10 m²,Après la signature de l’acte,,,,27 m²,,,,Non,Oui,,,,,,,,,Oui,Non,Non,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,
122,À rénover,138 m²,7 m²,21 m²,,2,Oui,,54 m²,4 m,,,,,Oui,,207 kWh/m²,,C,1199203,Non communiqué,Non communiqué,40 m²,,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",199.500 €,371 €,"Rumstsestraat 1
2840 - Reet",4368715,1925,3,,32 m²,,,,,,,2,9 m²,1,,,,Oui,Oui,,,,,,,Après la signature de l’acte,,,4 m,Semi-équipée,,,,,,,,,,,,Non,,,,,Oui,,,,,,,,,,,,,,,,,,Willebroek,,,,,,,,,,,,
123,À rénover,,,2,,1,,,Non,561 m²,,,,,17 m,Connecté,Oui,,403 kWh/m²,E,20210910-000246795-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",389.000 €,Non,"F. De Merodestraat, 111
2800 - Mechelen",1990,4,,187 m²,,,,403,,,32 m²,,,,,,,,,,,,,,,,,11 m,37 m²,,,,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,
124,À rafraîchir,,Équipée,2,Non,1,2,Non,Non,60 m²,Non,Non,Non,Non,,Non connecté,Oui,,207 kWh/m²,C,20120904-0001199203-00000012-4,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",199.500 €,Non,"Molenstraat 10 bus 1
2840 - Reet",,,,117 m²,,,,,Oui,,7 m²,10 m²,23 m²,,,,,371 €,,Westvaartdijk 21,,,,9 m²,,,,,37 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,1,,1,1,,Non,72 m²,,,,,5.5 m,,Oui,,Non communiqué,Non communiqué,2364320,Non communiqué,Non communiqué,Gaz,Oui,,,,,Zone non inondable,,220.000 €,Oui,"Dr. Persoonslaan 15 b
2830 - Willebroek",,2,,142 m²,,,Non,,,16620 - 3064 TK G,7 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Excellent état,,Équipée,3,Non,1,2,Non,Non,,,,,,,,,,Non communiqué,Non communiqué,12040-G-2012/0216/EP07506/A001/D01/SD001,Non communiqué,Non communiqué,Gaz,Oui,Non,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",429.000 €,Non,"Overwinningsstraat 87
2830 - Willebroek",2014,3,1,115 m²,,,,,Oui,spir626,,8 m²,15 m²,26 m²,,,,661 €,,,,Oui,,,Après la signature de l’acte,Oui,Nord-est,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,Pas équipée,3,,1,2,,Non,218 m²,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,Oui,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",381.560 €,Non,"Dorpshart 10
2870 - Puurs",2021,3,1,153 m²,24 m²,,Non,34,Oui,9021 - TK/21020/4,,,,,,,,,,,,,,,,Oui,Est,,32 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
