,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Surface habitable,Salon,Chambres,Salles de bains,Salles de douche,Toilettes,Bureau,Cave,Meublé,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Disponible le,Parkings intérieurs,Type de zone inondable,Combien de feux ouverts ?,Type de cuisine,Buanderie,Grenier,Surface du terrain,Surface du jardin,Surface de la terrasse,Orientation de la terrasse,Nom de l'agent,Quartier ou lieu-dit,Type d’environnement,Attestation as-built,Référence externe,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Revenu cadastral,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,"Eau, gaz & électricité",Type de construction,Surface du salon,Salle à manger,Terrasse,Parkings extérieurs,Surface de bureau,Orientation du jardin,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Permis de bâtir obtenu,Surface de la chambre 4,Surface de la chambre 5,Parlophone,Raccordement à l'égout,Obligation de construire,Visite virtuelle,Surface de la cuisine,Surface de la cave,Surface du grenier,Surface constructible totale au sol,Surface de l'espace professionnel,Largeur du terrain à rue,Accès sécurisé / alarme,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Interphone vidéo,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Niveau E (performance énergétique globale),Chauffe-eau commun,Revenu mensuel actuel,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Isolé,Description libre du PEB,Attestation de conformité des citernes à mazout,Pourcentage loué,Charges mensuelles
139,1927,Bon,5.5 m,2,205 m²,Oui,3,3,3,3,,,Non,166 kWh/m²,D,Non communiqué,33 kg CO₂/m²,Non communiqué,Gaz,,,650.000 €,Oui,"Chaussée de Waterloo 1382
1180 - Uccle",4446699,Selon le locataire,,,Zone non inondable,,Équipée,,,79 m²,,29 m²,,,,,,,Non,Non,Non,,,,,,,,,,,,Oui,,,,,,,,12 m²,13 m²,12 m²,Oui,,,Oui,Connecté,,,,,,220 m²,,5.5 m,,Oui,Non,Non,,,,,,,,,,,,,,,,,,,
140,,Bon,5.85 m,2,236 m²,,4,2,1,3,Oui,,Non,313 kWh/m²,F,20210512-TEST,63 kg CO₂/m²,Non communiqué,Gaz,Oui,,795.000 €,Non,"Rue Belliard 200
1000 - Bruxelles",4363433,À définir,31 janvier 2022 - 00:00,,,,Hyper équipée,,,124 m²,53 m²,10 m²,,,,,,,Non,Non,Non,,,,1.535 €,,,,,,,,Oui,,40 m²,Oui,,,15 m²,,16 m²,16 m²,16 m²,,15 m²,,Oui,Connecté,,,8 m²,,,10 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,
141,,À rafraîchir,6 m,2,205 m²,,4,1,2,3,,Oui,Non,282 kWh/m²,F,Non communiqué,59 kg CO₂/m²,Non communiqué,Mazout,Oui,,425.000 €,Oui,"Place des chasseurs Ardennais 24-26
1030 - Schaerbeek",8224 - 654657913,,,,,,Pas équipée,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,À rafraîchir,6 m,2,205 m²,,4,1,2,3,,Oui,Non,282 kWh/m²,F,Non communiqué,59 kg CO₂/m²,Non communiqué,Mazout,Oui,,425.000 €,Oui,"Place des chasseurs Ardennais 24-26
1030 - Schaerbeek",8171 - 654657913,,,,,,Pas équipée,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1900,Bon,5 m,2,178 m²,Oui,4,1,,,Non,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,425.000 €,Non,,,Après la signature de l’acte,,,Zone non inondable,,Équipée,,,74 m²,,14 m²,,,,,,,Non,Non,Non,Non,Non,Non,594 €,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,18 m²,7 m²,17 m²,,8 m²,,Non,Connecté,,,12 m²,55 m²,10 m²,60 m²,,,Non,,,,Non,Non,Non,Non,Non,Oui,,Non,,,,,,,Oui,,,,
144,1979,À rafraîchir,,2,25 m²,,1,2,,Oui,,,Oui,E,20210901-0000594881-01-6,49 kg CO₂/m²,Non communiqué,Non,Oui,Zone non inondable,,1.829 €,"Avenue de Broqueville, 158
1200 - Woluwe-St-Lambert",218014 - 111114688,,Après la signature de l’acte,,1,525.000 €,,15 m²,Non,,,Sud,245 kWh/m²,,,,,Gaz,,,,,,,,Non,,,,,,,,40 m²,,Oui,Équipée,,,,11 m²,,,,,,,,,,202 m²,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1930,Excellent état,7 m,2,60 m²,,21 m²,1,2,12 m²,,,210 m²,E,Non communiqué,Non communiqué,Non communiqué,Non,Oui,600.000 €,,Non,"Venelle de la réserve 2
1300 - Wavre",4257 - 2587,,Après la signature de l’acte,,,,,38 m²,,,7 m,Sud,246 kWh/m²,,,,,Gaz,,,,,,,,,,,,,,,,65 m²,,Hyper équipée,,,,,65 m²,20 m²,20 m²,12 m²,,7 m²,1,,,,290 m²,6,Non,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
146,1918,Bon,,2,57 m²,,4,Non,,,,,Non,Non communiqué,20201019-0000576770-01-5,Non communiqué,Non communiqué,Gaz,Non,Non,1.100.000 €,Non,"Rue Archimède 17
1000 - Bruxelles ville",,,,,,Autre type de zone,,,,,Connecté,,,,,,,,,,,,Non,Non,Non,,,,480 m²,,,,,Oui,,9 m²,,Non communiqué,,,,,,,,,,,Oui,,300 m²,6,,,,,,,Non,Non,Zone non inondable,,,,,,,,Oui,,,,,,,,,,,
147,,À rénover,13.5 m,2,450 m²,Oui,7,4,5,5,,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,870.000 €,Oui,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4532615,Immédiatement,,,,,,,,160 m²,30 m²,20 m²,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,À rénover,,2,171 m²,,3,1,1,2,,Oui,Non,448 kWh/m²,G,20210802-0000593505-01-2,Non communiqué,Non communiqué,Gaz,,Zone d'habitat mixte (habitat & activité économique),Faire offre à partir de 299.000 €,Oui,"Brusselsesteenweg 65
1850 - Grimbergen",1816675 - VKV-2021-2,,,2,Bien immobilier situé entièrement ou partiellement dans une zone potentiellement inondable et dans une zone riveraine délimitée,,Semi-équipée,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,15 m²,,,1,,,27 m²,14 m²,13 m²,,,,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,À rafraîchir,6 m,2,386 m²,,,6,,6,Non,,Non,Non communiqué,Non communiqué,20161120-0000363670-01 2,Non communiqué,Non communiqué,Gaz,Non,,570.000 €,Oui,,,Après la signature de l’acte,,,Zone non inondable,,Équipée,,,100 m²,,4 m²,,,,,,,,,,Non,Non,Non,1.398 €,Non,Non,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,100,800 €
150,1890,À rénover,,2,230 m²,,6,2,,2,,Oui,Non,409 kWh/m²,G,20210922-TEST,102 kg CO₂/m²,Non communiqué,,Oui,,600.000 €,Non,"Rue de Stalle 288C
1180 - Uccle",14720 - 4138445,,,1,,,,,,340 m²,100 m²,20 m²,,,,,Non,,,,,,,,1.581 €,,,,,,,,Oui,,,Oui,,,,Nord,19 m²,18 m²,18 m²,,18 m²,14 m²,,,,,7 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1906,À rénover,,3,256 m²,,,,2,3,,Oui,Non,631 kWh/m²,G,Non communiqué,136 kg CO₂/m²,Non communiqué,Gaz,Oui,,359.000 €,Oui,"Avenue L. Mahillon , 58
1030 - Schaerbeek",,,,,,,Pas équipée,,,,,,,,,,Non,3444 - 1540,,,,,,,1.502 €,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,À rénover,,2,163 m²,,4,2,,4,,,Non,485 kWh/m²,G,20210318-0000584986-01-2,127 kg CO₂/m²,Non communiqué,Gaz,Oui,,380.000 €,Non,"Rue Basse 21-23 Bte15 b1
1180 - Uccle",4517872,Après la signature de l’acte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,Oui,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,Bon,,2,Oui,,,,,,Oui,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,4709 m²,,Oui,"Rue Basse 21-23 Bte15 b1
1180 - Uccle",4422840,,Après la signature de l’acte,,,,,,,2354 m²,Connecté,,,,,,Urbain,,,Non,,Non communiqué,,,,,,,,,,,,Oui,,,,,5,,,,,,,,,,Oui,,4709 m²,,,,3.200.000 €,,,,,,,,,,,,,,,,,,,,,,,,,
