,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Surface habitable,Salon,Chambres,Salles de bains,Salles de douche,Toilettes,Bureau,Cave,Meublé,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Disponible le,Parkings intérieurs,Type de zone inondable,Combien de feux ouverts ?,Type de cuisine,Buanderie,Grenier,Surface du terrain,Surface du jardin,Surface de la terrasse,Orientation de la terrasse,Nom de l'agent,Quartier ou lieu-dit,Type d’environnement,Attestation as-built,Référence externe,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Revenu cadastral,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,"Eau, gaz & électricité",Type de construction,Surface du salon,Salle à manger,Terrasse,Parkings extérieurs,Surface de bureau,Orientation du jardin,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Permis de bâtir obtenu,Surface de la chambre 4,Surface de la chambre 5,Parlophone,Raccordement à l'égout,Obligation de construire,Visite virtuelle,Surface de la cuisine,Surface de la cave,Surface du grenier,Surface constructible totale au sol,Surface de l'espace professionnel,Largeur du terrain à rue,Accès sécurisé / alarme,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Interphone vidéo,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Niveau E (performance énergétique globale),Chauffe-eau commun,Revenu mensuel actuel,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Isolé,Description libre du PEB,Attestation de conformité des citernes à mazout,Pourcentage loué,Charges mensuelles
51,,,,,,,183 m²,,,,,,,G,20210426-0000587562-01-9,Non communiqué,Non communiqué,"Zone d’hab., ZICHEE, en bordure d’un esp. struct.",,,,,"Boulevard de Waterloo, 16
1000 - Bruxelles",Isabelle DROMET,,3,,,,,,,,618 kWh/m²,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,(àpd 4/9 au 9/10 incl.) : sam. de 17-19h et mercr. de 17-19h.,Après la signature de l’acte,250.000 €,2.231 €,,,,,
52,,,,,245 m²,,3,2,2,3,,,Non,414 kWh/m²,G,Non communiqué,83 kg CO₂/m²,Non communiqué,,,,460.000 €,Oui,"Place des chasseurs Ardennais 24-26
1030 - Schaerbeek",8177 - 654657919,Immédiatement,,,,,Pas équipée,,,,,,,,,,Non,,,,,,,,1.492 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,75 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,PEB: G-F-F-F,,,,,"rue de Ligne, 13
1000 - Bruxelles ville",Marysia PARIS,,4,,,,,,,,Non communiqué,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"mardis 28/9, 5 et 12/10 de 18-20h et sam. 2, 9 et 16/10 de 11-13h. MASQUE OBLIGATOIRE.",À définir,370.000 €,1.542 €,,,,,
54,,Bon,,2,326 m²,,,,2,2,Oui,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,710.000 €,Oui,"Avenue François Sebrechts 26
1080 - Molenbeek",4401197,Selon le locataire,,6,,,Hyper équipée,,,,,20 m²,,,,,,,Non,Non,Non,,,,,,,,,,,,Oui,,21 m²,,,7,54 m²,,,,,,,,Oui,,,,5 m²,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
55,,,,,1055 m²,,6,3,,5,,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,850.000 €,Non,"Place des chasseurs Ardennais 24-26
1030 - Schaerbeek",8219 - 654657946,,,,,,Pas équipée,,,600 m²,,,,,,,Non,,,,,,,,5.878 €,,,,Non,,,,,,80 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,1055 m²,,6,3,,5,,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,850.000 €,Oui,"Place des chasseurs Ardennais 24-26
1030 - Schaerbeek",8218 - 654657946,,,,,,Pas équipée,,,600 m²,,,,,,,Non,,,,,,,,5.878 €,,,,Non,,,,,,80 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,E,,,,,,,20210825-0000594508-01-6,Non communiqué,Non communiqué,380.000 €,1.003 €,,,,,Myriam RIZZO,,,5,,,,,,,,,,,,,,,,,,,,,,,"Avenue Alfred Madoux, 129
1150 - Woluwe-Saint-Pierre",,,,,,,,,,,,,,,,,,,,,,,,,271 kWh/m²,,,,,,,,,,,,,,,,,,,,Non,(àpd. 22/9 au 23/10 inclus) : mercr. de 16-18h et sam. de 16-18h. MASQUE OBLIGATOIRE.,Après la signature de l’acte,,Non,,,,,
58,,,,,,,220 m²,,,,,,,G,20200616-0000569884-01-7,Non communiqué,Non communiqué,120.000 €,,,,,"Oude Graanmarkt 51
1000 - Brussel",Christine VAN DER VEKEN,,3,,,,,,,,361 kWh/m²,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"mercr. 6-13-20-27/10, 3/11 de 17-19h et sam. 9-16-23-30/10 de 14-16h. MASQUE OBLIGATOIRE.",Après la signature de l’acte,,582 €,,,,,
59,1967,Excellent état,,,900 m²,,,,,,Non,,Non,154 kWh/m²,D,594783-01-5,Non communiqué,Non communiqué,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",2.325.000 €,Oui,"Galgstraat 87
1600 - St-Pieters-Leeuw",Thiriarlaan 16,,,,,,Semi-équipée,,,,,,,,,Urbain,,,Non,Non,Non,,,,,Non,,,Non,Non,Non,Non,Oui,,,,,,,,,,,Oui,,,Oui,Connecté,Non,,,,,,,,Non,Non,,Non,Oui,Non,,,,,,,,,,,,,,,,,
60,1962,Bon,7 m,2,30 m²,,17 m²,3,4,Oui,32 m²,Oui,Oui,F,20210505­0000588204­01­8,63 kg CO₂/m²,Non communiqué,Gaz,Oui,749.000 €,,2.878 €,"Allée de la recherche 12
1070 - Anderlecht",4367715,,Après la signature de l’acte,,2,,,,,Non,Connecté,Oui,,,,Bruxelles (19 communes),Urbain,,,,,,,,,Non,,,Oui,,,,,400 m²,,7 m²,,Oui,2,,,13 m²,16 m²,16 m²,,15 m²,3,Oui,Oui,,310 m²,5,,,,Oui,,Oui,,,,322 kWh/m²,,,,,,,,,,,,,,,,,,
61,1926,Bon,,2,,,,1,1,3,Non,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,280.000 €,Non,,,Après la signature de l’acte,,,,,Équipée,,Oui,50 m²,,,,,,Urbain,,,Non,Non,Non,Non,Non,Non,612 €,Non,Non,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,,,,,,,,,,Oui,Connecté,,,,,,,,,Non,,,,Non,Non,Non,Non,Non,Oui,,Oui,,,,,,,,,,,
62,1950,,,2,280 m²,,8,,3,3,,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,449.900 €,Non,"Av. Houba de Strooper 618
1020 - Laeken",4375-1,,,,,,Équipée,Oui,,110 m²,,20 m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,Non,Non,Non,877 €,,,,,,,,,,35 m²,Oui,,,,,,,,,,,Oui,,,,1 m²,,,,,1 m,,,,,Oui,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3954592,,Immédiatement,30 décembre 2020 - 00:00,113,,,,,,,,,,,Bruxelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,33 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,À rafraîchir,,2,196 m²,,,2,,3,Non,,Non,Non communiqué,Non communiqué,N° 20210610-0000590500-01-3,Non communiqué,Non communiqué,Gaz,Oui,,385.000 €,Oui,,,Après la signature de l’acte,,,Zone non inondable,,Semi-équipée,,,100 m²,,25 m²,,,,Urbain,,,,,,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,
65,1938,,,2,237 m²,,5,2,,2,Non,,Non,Non communiqué,Non communiqué,20210610-0000590559,72 kg CO₂/m²,Non communiqué,Gaz,Non,,499.000 €,Non,,,Après la signature de l’acte,,1,Zone non inondable,1,,,,158 m²,60 m²,10 m²,,,,,,,Non,Non,Non,Non,Non,Non,1.926 €,Oui,Non,Non,Non,Non,Non,Non,Oui,,,,,2,,Nord-est,23 m²,14 m²,14 m²,Oui,8 m²,11 m²,Non,,,,,,,,,,Oui,,,Non,Non,Non,Non,Non,Non,Non,360,Non,,,,,,,,,,,
66,,Bon,5 m,2,,,2,,1,1,Non,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Toutes sortes,,352 €,,,,Après la signature de l’acte,,,,,Américaine semi-équipée,Oui,,75 m²,,10 m²,,,,,,,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,285.000 €,12 m²,Oui,,,,,14 m²,10 m²,,,,,Oui,Connecté,,,9 m²,,28 m²,,,5 m,Non,,,,Non,Non,Non,Non,Non,Non,,Oui,,,,,,,Oui,Non communiqué,,,
67,1950,,,2,160 m²,,6,1,1,3,,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,339.000 €,Non,"Av. Houba de Strooper 618
1020 - Laeken",4390,,,,,1,Équipée,,,96 m²,,30 m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,Non,Non,Non,775 €,,,,,,,,,,30 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1940,Excellent état,,4,660 m²,,6,3,,,Oui,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,1.350.000 €,Non,"de Limburg Stirumlaan 166
1780 - Wemmel",4410869,Après la signature de l’acte,,1,,,Hyper équipée,,,1487 m²,,,,,,,,,,,,,,,4.347 €,,,,,,,,,,,,Oui,4,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
69,,,,2,145 m²,,4,1,1,2,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,370.000 €,Non,"Av. Houba de Strooper 618
1020 - Laeken",4397,,,,,1,Équipée,Oui,,80 m²,,23 m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,Non,Non,Non,,,,,,,,,,,27 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,Fraîchement rénové,,2,130 m²,Oui,3,1,,2,Non,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,379.000 €,Non,,,Après la signature de l’acte,,,,,Hyper équipée,,,220 m²,120 m²,25 m²,Sud,,,,,,Non,Non,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,Toutes sortes,,Oui,,,,Sud,,,,,,,Oui,,,,16 m²,,,,,,Non,,,,Oui,Non,Non,Non,Non,Oui,,Non,,,,,,,,,,,
71,1958,,,2,135 m²,,2,,1,2,,,Non,540 kWh/m²,G,Non communiqué,107 kg CO₂/m²,Non communiqué,Gaz,Oui,,319.000 €,Oui,"Av. Houba de Strooper 618
1020 - Laeken",4370,,22 août 2022 - 00:00,,,,Équipée,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,Non,Non,Non,2.042 €,,,,,,,,,,22 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,À rénover,,2,180 m²,,1,,,,Non,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,395.000 €,Oui,,,Après la signature de l’acte,,,,,,,,110 m²,1 m²,,,,,,,,,,,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,
73,1962,Excellent état,12 m,4,395 m²,,6,2,,3,Oui,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,875.000 €,Non,,,Après la signature de l’acte,,1,Zone non inondable,1,,Oui,Oui,577 m²,450 m²,,,,,,,,Non,Non,Non,Non,Non,Non,,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Villa,32 m²,Oui,,1,10 m²,Sud,26 m²,15 m²,14 m²,,14 m²,12 m²,Oui,Connecté,,,23 m²,130 m²,,,,,Non,,,,Oui,Non,Non,Non,Non,Non,,Non,,,,,,,,,"Oui, conforme",,
74,,Bon,,2,,Oui,7,4,,,Non,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,500.000 €,Non,,,Après la signature de l’acte,,,Zone non inondable,,Équipée,Oui,,100 m²,,20 m²,,,,,,,,,,Non,Non,Non,,Oui,Non,Non,Non,Non,Non,Non,Oui,Toutes sortes,,Oui,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,
75,,À rénover,,2,241 m²,,5,3,3,3,,,Non,623 kWh/m²,G,20210522-0000589277-01-8,125 kg CO₂/m²,Non communiqué,,,,349.000 €,Non,"Boulevard Theo Lambert 94
1070 - Bruxelles",4367866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1926,,,,110 m²,,4,,2,,Non,Oui,,701 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,315.000 €,Non,"Rue de Laeken 91
1000 - Bruxelles",,Après la signature de l’acte,,,,,,,Oui,,,,,,,,,798/17493,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,Excellent état,,2,170 m²,,3,1,1,,Non,Oui,,372 kWh/m²,G,20121025-0000125014-01-0,80 kg CO₂/m²,Non communiqué,Gaz,Oui,,430.000 €,Non,"Rue de Laeken 91
1000 - Bruxelles",,Après la signature de l’acte,,,,,Hyper équipée,,,,,50 m²,,,,,,798/17183,Non,,,,,,,,,,,,,,,,32 m²,,,,,,22 m²,22 m²,13 m²,,,,Oui,,,,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,Fraîchement rénové,11 m,2,400 m²,,,2,1,2,Oui,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,800.000 €,Non,,,,,1,,2,,,,590 m²,300 m²,40 m²,Sud,,,,,,Non,Non,Non,Non,Non,Non,,Oui,Oui,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,1,140 m²,Sud,,,,,,,Non,,,,,,80 m²,,170 m²,,Non,,,,Non,Non,Non,Non,Oui,Non,,Oui,,,,,,,,,,,
79,,,,2,120 m²,,3,1,2,3,,,Non,296 kWh/m²,F,20210707-0000592226-01-7,Non communiqué,Non communiqué,Gaz,Non,,359.000 €,Oui,"Rue Fransman 15
1020 - Laeken",,,,,,,Équipée,,,100 m²,20 m²,,,,,,Non,11852-1-1-1,,,,Non,Non,Non,1.450 €,,,,,,,,,,3 m²,,,,,,14 m²,12 m²,10 m²,,,,,,,,14 m²,,,,,14 m,,,,,,,,,,,,,,,,,,,,,,,
80,,,,2,220 m²,,5,,,,,,Non,838 kWh/m²,G,Non communiqué,167 kg CO₂/m²,Non communiqué,Électrique,Oui,,549.000 €,Oui,"Rue Pierre Timmermans, 23
1090 - Jette",3006,,,,,,Pas équipée,,,,80 m²,4 m²,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,2,230 m²,,6,3,,3,,,Non,197 kWh/m²,D,20210409-0000586356-01-3,39 kg CO₂/m²,Non communiqué,Gaz,Non,,359.000 €,Oui,"Rue Fransman 15
1020 - Laeken",,,,,,,Équipée,,,,,5 m²,,,,,Non,11845-1,,,,Non,Non,Non,,,,,,,,,,,25 m²,Oui,,,,,20 m²,16 m²,15 m²,,15 m²,14 m²,,,,,18 m²,50 m²,,,,18 m,,,,,,,,,,,,,,,,,,,,,,,
82,,,,2,120 m²,Oui,5,,2,,,,Non,296 kWh/m²,F,20210707-0000592226-01-7,Non communiqué,Non communiqué,Gaz,Non,,359.000 €,Non,"Rue Fransman 15
1020 - Laeken",,,,,,,Équipée,,,100 m²,20 m²,,,,,,Non,11852-1-1,,,,Non,Non,Non,,,,,,,,,,,,,,,,,14 m²,12 m²,10 m²,,,,,,,,14 m²,,,,,14 m,,,,,,,,,,,,,,,,,,,,,,,
83,,,,2,600 m²,Oui,10,1,3,4,,Oui,Non,1054 kWh/m²,G,Non communiqué,166 kg CO₂/m²,Non communiqué,Gaz,Oui,,650.000 €,Oui,"Rue Pierre Timmermans, 23
1090 - Jette",2984,,,,,,,Oui,,,,10 m²,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,2,260 m²,,5,1,2,2,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,375.000 €,Non,"Avenue des Saisons 42
1050 - Ixelles",1955 B-2,,,3,,,Équipée,,,,30 m²,30 m²,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,25 m²,Oui,,1,,,,,,,,,,,,,1 m²,,,,,1 m,,,,,,,,,,,,,,,,,,,,,,,
85,1920,Bon,,2,195 m²,Oui,4,1,,2,,Oui,Non,293 kWh/m²,F,Non communiqué,58 kg CO₂/m²,Non communiqué,Gaz,Oui,,370.000 €,,"rue Toots Thielemans 43 Bt6
1190 - Forest",,Après la signature de l’acte,,,,,Semi-équipée,,Oui,103 m²,35 m²,,Sud-ouest,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,1.049 €,,,,,,,,Oui,,,Oui,,,,,16 m²,14 m²,15 m²,,16 m²,,Oui,Connecté,,,10 m²,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,
86,1930,Bon,,3,550 m²,Oui,4,1,1,3,Oui,Oui,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,775.000 €,Oui,,,Immédiatement,,1,,,Hyper équipée,Oui,,600 m²,180 m²,,,,,,,,Non,Non,Non,Non,Non,Non,,Oui,Oui,Non,Non,Non,Non,Non,Oui,Toutes sortes,,Oui,,1,,Sud,,,,,,,Oui,,,,,,,,,,Oui,,,,Oui,Non,Non,Non,Non,Oui,,Oui,3742,,,,,,,,,100,
87,1930,À rafraîchir,6 m,2,146 m²,,3,1,1,3,Non,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,329.000 €,Non,,,Après la signature de l’acte,,,Zone non inondable,1,Équipée,Oui,,70 m²,6 m²,12 m²,,,,,,,Non,Non,Non,Non,Non,Non,999 €,Oui,Non,Non,Oui,Non,Non,Non,Oui,Maison bel-étage,,,,,,,,,,,,,Oui,Connecté,Non,,,,,,,6 m,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Non,,,,,,,,"Jolie maison des années 30, située dans une rue calme à proximité d'écoles, parcs et transports en commun. La maison dispose d'un grand séjour avec salle à manger et cuisine ouverte. chaque étage est équipé d'un wc. la maison dispose d'une salle de bain et une salle de douche.",,,
88,1953,Bon,7 m,2,,,,2,1,3,Non,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,645.000 €,Non,,,Après la signature de l’acte,,1,Zone non inondable,,,,,245 m²,109 m²,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,Non,Non,Non,Non,1.948 €,Non,Non,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,2,,,,,,,,,Oui,Connecté,,,,,,,,,Non,,,,Oui,Non,Non,Non,Non,Oui,,Oui,,,,,,,,,,,
89,1970,Bon,,2,360 m²,,8,8,,8,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,815.000 €,Oui,,,Immédiatement,,,,,Semi-équipée,,,102 m²,,10 m²,,,Place Joseph Benoit Willems,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,Oui,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,Bon,,2,240 m²,Oui,8,3,,4,Non,,Non,330 kWh/m²,F,20140630-0000236111-01-4,Non communiqué,Non communiqué,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,Oui,"Avenue Général Mellier 20
5030 - Gembloux",spir1880,Après la signature de l’acte,,,Zone non inondable,,Équipée,,,115 m²,,,,,,,,,Non,Non,Non,Non,,,1.528 €,Non,,,,,,,,,,,,,,,16 m²,8 m²,16 m²,Oui,8 m²,16 m²,Oui,,Non,,11 m²,40 m²,30 m²,,,,Non,,,,Non,Non,,,,,,,,,,,,,,,Non,,
91,,Bon,,2,280 m²,Oui,4,1,1,2,Oui,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,395.000 €,Non,,,À définir,,3,Zone non inondable,,Équipée,Oui,,75 m²,,13 m²,Sud,,,Rue commerçante,,,Non,Non,Non,Non,Non,Non,,Non,Oui,Oui,Non,Non,Non,Non,Oui,,,Oui,,1,,,18 m²,9 m²,16 m²,Oui,17 m²,,Non,Connecté,,,,,,90 m²,,,Oui,,,,Oui,Non,Non,Non,Non,Oui,,Oui,,,,,,,,,,,
92,1926,Bon,,2,300 m²,,8,4,,4,Oui,Oui,,276 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,,,Faire offre à partir de 725.000 €,Non,"Voie des Chasseurs à Cheval 4
1300 - Wavre",,Après la signature de l’acte,,,,,Américaine équipée,,Oui,211 m²,,,,,,,,4411618,Non,,,,,,,,,,,,,,Oui,,20 m²,Oui,Oui,,10 m²,,23 m²,23 m²,23 m²,,20 m²,20 m²,Oui,Connecté,,,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1932,Bon,10 m,2,366 m²,,6,3,,,Oui,Oui,,411 kWh/m²,G,20210329-0000585583-01-3,82 kg CO₂/m²,Non communiqué,Gaz,,,795.000 €,Non,"Av. Albert 1er 2a
1342 - Ottignies (Limelette)",W6504,Après la signature de l’acte,,2,,1,,Oui,Oui,503 m²,327 m²,23 m²,,,,,,,Non,,,,,,3.827 €,,,,,,,,Oui,,64 m²,,,3,,Nord-ouest,,,,,,,,Connecté,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3954592,,Immédiatement,30 décembre 2020 - 00:00,113,,,,,,,,,,,Bruxelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,33 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1942,Bon,10 m,4,584 m²,,6,2,2,1,Oui,Oui,Non,510 kWh/m²,G,Non communiqué,41 kg CO₂/m²,Non communiqué,,Oui,,1.295.000 €,Non,"Rue de Tervaete 35
1040 - Etterbeek",,,,2,,,Pas équipée,Oui,,1642 m²,1500 m²,,,,,,Non,3113,Non,Non,Non,,,,5.054 €,Non,,Non,,,,,Non,,105 m²,,,2,,,41 m²,21 m²,13 m²,,25 m²,28 m²,Oui,Non connecté,,,20 m²,,,,,,Non,,,,Non,Non,,,,,,,,,,,,,,,,,
96,,À rafraîchir,,2,195 m²,,2,1,1,1,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,285.000 €,Oui,"Rue Wayez 1c
1070 - Anderlecht",4333762,Après la signature de l’acte,,,,,Semi-équipée,,,150 m²,,25 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,Bon,,2,,Oui,3,1,,,Non,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,395.000 €,Non,,,À définir,,,,,Équipée,,,70 m²,,,,,,,,,,,,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,
98,2021,,,2,570 m²,,6,3,,3,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,875.000 €,Oui,"Rue edith Cavell 3
1180 - Uccle",aediXia,,,,,,,,,,,6 m²,,15699,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,Non,Non,Non,3.230 €,,,,,,,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,À rafraîchir,,2,213 m²,,4,1,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,249.500 €,Non,"Avenue de la Toison-d'Or 19 boite75
1050 - Ixelles",,,,,,,,,,,46 m²,22 m²,,,Bruxelles (19 communes),,,4530658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1930,À rafraîchir,,2,,Oui,4,1,,1,Non,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Zone d'extension d'habitat,320.000 €,Non,"av Charles Quint, 305
1083 - Ganshoren",spir690,Après la signature de l’acte,,,,,Équipée,,,,,,,,,Urbain,,,,,,Non,,,,Non,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,
101,1942,,,4,450 m²,,5,2,2,4,,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,1.295.000 €,Non,"Avenue De Fré, 160
1180 - Uccle",3936,,,1,,2,Équipée,Oui,,1642 m²,1642 m²,,,,,,Non,,,,,Non,Non,Non,8.691 €,Oui,,,,,,,,,,,,1,,Sud,30 m²,30 m²,30 m²,,25 m²,14 m²,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
102,1942,,,4,450 m²,Oui,5,2,2,4,,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,1.295.000 €,Non,"Avenue De Fré, 160
1180 - Uccle",3911,,,1,,2,Équipée,Oui,,1642 m²,1642 m²,,,,,,Non,,,,,Non,Non,Non,8.691 €,Oui,,,,,,,,,,,,1,,Sud,30 m²,30 m²,30 m²,,25 m²,14 m²,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
