,À partir de,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Surface de la cave,Meublé,"Eau, gaz & électricité",Parlophone,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Année de construction,Cave,Surface du jardin,Revenu cadastral,Surface du terrain,Terrasse,Procédure pour violation de la réglementation urbanistique,Revenu mensuel actuel,Permis de bâtir obtenu,Parkings intérieurs,Surface de la terrasse,Ascenseur,Interphone vidéo,Niveau E (performance énergétique globale),Salon,Salle à manger,Surface de la chambre 4,Dressing,Buanderie,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,Orientation du jardin,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Surface de la cuisine,Salles de douche,Référence externe,Nom du bien,Surface du grenier,Orientation de la terrasse,Concierge,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Surface constructible totale au sol,Pourcentage loué,Nom de l'agent,Grenier,Quartier ou lieu-dit,Isolé,Type de construction,Surface de la chambre 5,Surface de bureau,Surface de l'espace professionnel,Visite virtuelle,Obligation de construire,Parkings extérieurs,Combien de feux ouverts ?,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Jardin,Attestation de conformité des citernes à mazout,Disponible le
0,Après la signature de l’acte,Fraîchement rénové,5 m,2,Urbain,141 m²,13 m²,Équipée,4,16 m²,10 m²,8 m²,4,4,24 m²,Non,Oui,Oui,247 kWh/m²,C,2437212-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,Non,"Plantin en Moretuslei 135A
2140 - Borgerhout",8839 - 1711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,Fraîchement rénové,5 m,2,Urbain,141 m²,,Équipée,3,16 m²,10 m²,8 m²,4,4,24 m²,Non,Oui,Oui,247 kWh/m²,C,2437212-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,Non,"Plantin en Moretuslei 135A
2140 - Borgerhout",8838 - 1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Fraîchement rénové,,2,,250 m²,38 m²,Équipée,4,,,,2,2,,Non,,,290 kWh/m²,C,0002451453-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,498.000 €,Non,"Britselei 42
2000 - Antwerpen",10139 - 3596241,1935,Oui,55 m²,1.110 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,2,,227 m²,,Semi-équipée,8,,,,8,8,,Non,Oui,Oui,124 kWh/m²,B,20160525-0001864553-1,Non communiqué,Non communiqué,Non,Gaz,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",600.000 €,Oui,"Museumstraat 50
2000 - Antwerpen",833789 - 93363818,2016,Oui,16 m²,924 €,98 m²,Oui,Non,3470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Bon,,,,150 m²,,Semi-équipée,4,,,,4,4,,Non,,,606 kWh/m²,F,0001949978-1,Non communiqué,Non communiqué,Non,Électrique,Oui,,,,,395.000 €,Oui,"Britselei 42
2000 - Antwerpen",10125 - 3596232,,Oui,,671 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Fraîchement rénové,,2,,190 m²,,Semi-équipée,3,,,,3,3,,Non,,,101 kWh/m²,A,0002318686,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,Oui,"Britselei 42
2000 - Antwerpen",9761 - 3595851,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Immédiatement,Bon,,2,,205 m²,,Semi-équipée,5,,,,1,2,,Non,,,228 kWh/m²,C,20201207-0002347968-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,,,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",425.000 €,Non,"Museumstraat 50
2000 - Antwerpen",834467 - 93364019,,Oui,20 m²,,83 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Fraîchement rénové,,2,,250 m²,38 m²,Équipée,4,,,,2,2,,Non,,,290 kWh/m²,C,0002451453-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,498.000 €,Non,"Britselei 42
2000 - Antwerpen",10168 - 3596241,1935,Oui,55 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,,,2,,88 m²,29 m²,Équipée,3,,,,1,1,,Non,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,321.580 €,Non,"Britselei 42
2000 - Antwerpen",9689 - 3594616,2017,Oui,,,,,,,,1,42 m²,Oui,Oui,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,À rénover,4 m,2,Urbain,160 m²,,,4,12 m²,15 m²,12 m²,1,2,,Non,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,,Oui,Zone non inondable,,195.000 €,Non,,,,Oui,32 m²,984 €,90 m²,,Non,,,,,,,,Oui,Oui,15 m²,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,4 m,Connecté,Nord,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,2,Urbain,315 m²,,Semi-équipée,4,,,,2,3,,Non,Oui,,262 kWh/m²,C,20210601-0002423149-res-1,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,598.000 €,Oui,"Paalstraat 70
2900 - Schoten",20251 - 449,,Oui,,3.463 €,138 m²,,,,,,73 m²,,,,,,,,,,,,,,,,4.5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Immédiatement,À rénover,,2,Urbain,64 m²,15 m²,,2,12 m²,15 m²,,1,1,,Non,,,1021 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,,Zone non inondable,,129.500 €,Non,"Korte Nieuwstraat 16
2000 - Antwerpen",4496995,1981,Oui,,223 €,37 m²,,,,Oui,,8 m²,,,,,,,,,,,,,,,,,,,,,,,8 m²,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,À rénover,,2,Rue commerçante,,,,,,,,,3,,Non,,,236 kWh/m²,C,2441232,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,299.000 €,Oui,"Pyckestraat 72
2018 - Antwerpen",,,Oui,,,69 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,639 - 1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Après la signature de l’acte,,5 m,2,,150 m²,,,2,,,,1,1,,Non,,,705 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,Oui,Zone non inondable,,190.000 €,Non,"Grote Markt 21
2850 - Boom",358 - 1594,,Oui,,640 €,67 m²,,Non,,,,,,,,,,,,,,,,,,,,5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Après la signature de l’acte,,,2,,47 m²,28 m²,Équipée,1,,,,1,1,,Non,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",180.000 €,Oui,"Plantin en Moretuslei 135A
2140 - Borgerhout",8861 - 1732,,,,,,,Non,,Oui,80,9 m²,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Après la signature de l’acte,,,2,,62 m²,26 m²,Équipée,1,,,,1,1,,Non,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",185.000 €,Oui,"Plantin en Moretuslei 135A
2140 - Borgerhout",8864 - 1733,,,,,,,Non,,Oui,80,6 m²,Oui,,54,,,,,,,,,,,,,,,,,,,,,,,Cityfy!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Immédiatement,Excellent état,5 m,2,Urbain,123 m²,28 m²,Hyper équipée,4,20 m²,19 m²,17 m²,1,1,40 m²,Non,Oui,Non,197 kWh/m²,B,Ep11824,5081 kg CO₂/m²,Non communiqué,,Gaz,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",255.000 €,Non,,,,,,394 €,93 m²,,,,,,1 m²,Non,Non,,,,15 m²,Oui,,Non,Non,Non,Oui,Non,Non,Non,,Connecté,,Non,Non,Non,Oui,7 m²,1,,,35 m²,Nord,Non,Non,Non,Non,Non,Non,Non,Oui,93 m²,,,,,,,,,,,,,,,,,,,,,
17,Après la signature de l’acte,Bon,,2,Urbain,155 m²,,,6,,,,2,3,19 m²,Non,Oui,Oui,491 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Solaire,Oui,,,,,335.000 €,Oui,"De Coninckplein 30
2060 - Antwerpen",,1900,,,1.301 €,54 m²,,Non,2000,Oui,,,,,,,,,,Oui,,,,,,,,4 m,Connecté,,,,,,,2,,,,,,,,,,,,,,7,Angel YU,,,,,,,,,,,,,,,,,,,
18,,Bon,,2,,129 m²,28 m²,,4,,,,1,,40 m²,Non,Oui,,350 kWh/m²,D,20210929-0002275318-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",249.800 €,Non,"Vrijheid 147
2320 - Hoogstraten",,,,,394 €,54 m²,,Non,,,,,,,350,,,,,,,,Non,,,,,,Non connecté,,Non,Non,Non,Non,7 m²,,21/195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Après la signature de l’acte,À rafraîchir,4.75 m,2,"Zone d'habitat (résidentiel, urbain ou rural)",160 m²,25 m²,Américaine équipée,3,14 m²,14 m²,8 m²,2,3,,,,,255 kWh/m²,C,20200702-0002289139-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,Zone non inondable,Zone d'activité économique,315.000 €,Non,"Asterlaan 5
2950 - Kapellen",4416668,,,,498 €,,,Non,,Oui,1,7 m²,,,,,,,,,,,,,,,,,,,,,,,8 m²,,,,,,,,,,,,,,61 m²,,,Oui,,,,,,,,,,,,,,,,,,
20,Après la signature de l’acte,Bon,,3,Urbain,367 m²,,Équipée,6,,,,6,6,,Non,Oui,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Oui,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),649.000 €,Oui,"Korte Nieuwstraat 16
2000 - Antwerpen",4323702,,Oui,,,140 m²,,Non,,Oui,,,Non,,,,,,,,Oui,,,,,,,17 m,Connecté,,,,,,,,,,,,,Non,,,,,Non,,,,,,Antwerpen centrum 2060,,,,,,,,,,,,,,,,,
21,Immédiatement,Excellent état,,1,Urbain,,,Hyper équipée,4,16 m²,12 m²,16 m²,1,2,,Non,Oui,Oui,348 kWh/m²,D,348,Non communiqué,Non communiqué,,Gaz,Oui,,,Zone non inondable,,405.000 €,Non,,,,Oui,,,175 m²,,,,,,4 m²,Non,Oui,,,,12 m²,Non,,Non,Non,Non,Oui,Non,Non,Non,,Connecté,,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,,,,Oui,,Oui,Maison bel-étage,,,,,,,,,,,,,,,
22,,,,2,Urbain,227 m²,32 m²,Équipée,5,18 m²,18 m²,13 m²,3,3,10 m²,,Oui,,436 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,Oui,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),489.500 €,Non,"Leopoldstraat 77
2000 - Anvers",4431111,,,,,55 m²,,Non,,,,9 m²,Non,Oui,1973487,,,13 m²,,,Oui,,,,,,,5 m,Connecté,,,,,,6 m²,,,,,,,,,,,,,,,,,,,,,12 m²,25 m²,25 m²,,,,,,,,,,,,
23,Après la signature de l’acte,À rénover,,2,,46 m²,1,,26 m²,1,,,1,48 m²,,,Oui,,E,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Oui,Oui,Non,,190.000 €,Non,"Frederik Van Eedenplein 8
2000 - Antwerpen",4531250,,,,,,Connecté,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,1,,,,,,,,,,,,,,,,,,Oui,,,,,,,1,,,,,,463 kWh/m²,,,,,,,,,,,2060 Noord-Station-St Janspl,,,,,,144 m²,,,,,,,,,,,
24,,,,,,182 m²,,Équipée,6,20 m²,14 m²,14 m²,4,,,,Oui,,253 kWh/m²,C,2333682,Non communiqué,Non communiqué,,Gaz,Oui,,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,Non,"Turnhoutsebaan 175
2110 - Wijnegem",,,,,780 €,62 m²,,,,Oui,,,,,,,Oui,10 m²,Non,,Non,,,Non,Non,Non,Non,,Connecté,,,,,,10 m²,,VKW0875,,,,,,,,,,,,63 m²,,,,,,,16 m²,,,,Non,,,,,,,,,,
25,,À rénover,,2,,161 m²,24 m²,,3,,,,1,,21 m²,Non,Oui,,690 kWh/m²,F,20181203-0002107596-1,Non communiqué,Non communiqué,,Mazout,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",270.000 €,Non,"Vrijheid 147
2320 - Hoogstraten",,,,,562 €,74 m²,,Non,,,,,,,690,,,,,,,,Non,,,,,,Non connecté,,Non,Non,Non,Non,18 m²,,2021/134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Bon,5.3 m,,,173 m²,30 m²,,4,,,,1,,40 m²,Non,Oui,,495 kWh/m²,E,2375243,Non communiqué,Non communiqué,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",278.000 €,Non,"Vanderpoortenlaan, 15
2500 - Lier",,,,15 m²,689 €,67 m²,,Non,,Oui,,,,,,,,,,,Non,,Non,,,,,5.3 m,Connecté,Sud-est,,,,,12 m²,,TK/0540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,À définir,Bon,,,,,,Hyper équipée,12,,,,,1,,Non,Oui,,227 kWh/m²,C,20210407-0002398398-RES-,Non communiqué,Non communiqué,,,,,,,,1.250.000 €,Oui,"Bordeauxstraat 10 bus 202
2000 - Antwerpen",,,,,,,Oui,,,,,,,,,,,,Non,,,,,,,,,,Connecté,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Après la signature de l’acte,,6 m,2,"Zone d'habitat (résidentiel, urbain ou rural)",185 m²,36 m²,Pas équipée,6,16 m²,13 m²,16 m²,2,3,45 m²,Non,Oui,,574 kWh/m²,F,20210319-0002390175-RES-1,Non communiqué,Non communiqué,,Gaz,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,,"Herentalsebaan, 2
2140 - Borgerhout",,,,,758 €,66 m²,,,,Oui,,,,,,,,13 m²,,,,,,,,,,6 m,Connecté,,,,,,15 m²,1,,,,,,,,,,,,,,,,,Park Spoor Noord,,,24 m²,,,,,,,,,,,,,,
29,Après la signature de l’acte,Bon,,2,,207 m²,,Équipée,4,,,,1,2,,Non,Oui,,228 kWh/m²,C,2347968,Non communiqué,Non communiqué,,Gaz,Oui,,,,,425.000 €,Non,"Korte Nieuwstraat 16
2000 - Antwerpen",4407408,,Oui,,,84 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Antwerpen centrum 2060,,,,,,,,,,,,,,,,,
30,À définir,,,2,,Oui,,,25 m²,17 m²,17 m²,17 m²,3,Oui,,,60 m²,,D,Non communiqué,Non communiqué,Non communiqué,Mazout,,Zone non inondable,,,,385.000 €,,927 €,"Goedehoopstraat 21
2000 - Anvers",4520724,,,Oui,348 kWh/m²,Non,Oui,,,,,,,,,,5,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154 m²,,,,2,,,268 m²,,,,,,,,,,,
31,,,,,,132 m²,,Équipée,2,,,,1,3,,,Oui,,264 kWh/m²,C,20190926-0002199477-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,Non,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",209.500 €,Non,"Broechemlei 24
2520 - Ranst",21920,,,,,59 m²,,Non,,Oui,,,,,,Oui,,,Non,,Non,,,Non,Non,Non,Non,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,
32,,À rafraîchir,,2,,190 m²,,,3,,,,3,,,,,,318 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",290.000 €,Non,"Verbondstraat 116
2000 - Antwerpen",4519045,,,,743 €,55 m²,,Non,,,,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antwerpen stad,,,,,,,,,,,,,,,,,
33,Après la signature de l’acte,,,2,,2,,,2,,,,Oui,,,42 m²,610 kWh/m²,,F,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Non,Oui,Non,,239.000 €,327 €,"Goedehoopstraat 21
2000 - Anvers",4519806,,,Non,,Non,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 m²,,,,,,,,,,,
34,Après la signature de l’acte,,,2,Urbain,187 m²,28 m²,Américaine semi-équipée,4,13 m²,19 m²,19 m²,1,,,Non,Oui,Oui,490 kWh/m²,E,1896361,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",370.000 €,Non,"Grote steenweg, 511
2600 - Berchem",,,Oui,,,90 m²,Oui,Non,,,,,,,,,Oui,13 m²,,,,,,,,,,,,,,,,,12 m²,,4418095,,,,,,,,,,,,,,,,Regio Centrum Antwerpen,,,,,,,,,,,,,,,,,
35,Après la signature de l’acte,Bon,,2,,376 m²,,,4,,,,4,4,,,Non,Oui,195 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,,,660.000 €,Oui,"Fehrenbachstraat, 53
2440 - Geel",4343025,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Après la signature de l’acte,,,2,,27 m²,,,,,,,1,,,Non,,,70.94 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,,,,Zone non inondable,,139.750 €,Oui,"Gitschotellei 153-157
2600 - Berchem",4517333,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,À définir,Excellent état,,,Urbain,170 m²,,Équipée,3,,,,1,,30 m²,,,,Non communiqué,Non communiqué,20210915-0002464596-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,Non,Oui,,,229.000 €,Non,"Van de Wervestraat, 63
2060 - ANTWERPEN",,,,,443 €,60 m²,,,,Oui,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,Astrid STORMS,,,,,,,,,,,,,,,,,,,
38,Immédiatement,Fraîchement rénové,20 m,4,,400 m²,,,4,,,,1,2,,Non,Non,Non,479 kWh/m²,E,202010060002294820res2,Non communiqué,Non communiqué,,Gaz,Oui,,,,,698.000 €,Non,,,1960,,800 m²,,1200 m²,,,,Oui,1,20 m²,Non,Non,,,,,Non,,Oui,Oui,Non,Oui,Non,Oui,Oui,,Connecté,,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,Toutes sortes,,,,,,4,1,1,,,,,,,
39,Après la signature de l’acte,Fraîchement rénové,5 m,2,,130 m²,15 m²,Équipée,4,18 m²,11 m²,106 m²,1,1,8 m²,Non,Oui,,239 kWh/m²,C,20210831-0002450496-RES-2,Non communiqué,Non communiqué,,Gaz,Oui,,,,,299.000 €,Non,,,,,1 m²,,110 m²,,,,,,1 m²,,,,,Oui,9 m²,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,5 m,Connecté,Nord-est,Non,Non,Non,Non,16 m²,,,,,Nord-est,,,,,,,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,
40,,Bon,,2,,,,Équipée,5,,,,2,,,Non,,,421 kWh/m²,E,20180521-0002060161-1,Non communiqué,Non communiqué,Non,Gaz,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",715.000 €,Non,"Valkebeekstraat 24
1861 - Wolvertem",258 - V20WOL/068 kop,,Oui,,,763 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
41,Après la signature de l’acte,À rafraîchir,7 m,2,,147 m²,25 m²,Équipée,4,17 m²,26 m²,13 m²,2,2,,,Oui,,221 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,,,,224.900 €,Non,"Mechelsesteenweg,157
2018 - Antwerpen",,,Oui,15 m²,552 €,90 m²,,,,,,,,,,,,13 m²,,,,,,,,,,7 m,Connecté,,,,,,25 m²,2,4500538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Après la signature de l’acte,Fraîchement rénové,20 m,4,"Zone d'habitat (résidentiel, urbain ou rural)",1200 m²,,,4,,,,1,2,,Non,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,,,,698.000 €,Non,,,1960,,1000 m²,,1200 m²,,,,Oui,1,230 m²,Non,Non,,Oui,Oui,,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,,Connecté,,Non,Non,Non,Non,,,,,,Sud,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,Toutes sortes,,,,,,6,1,1,,,,,,,
43,1900,,,90 m²,,Oui,,1,Oui,,,,Oui,,,,,,20210629-0002435679-RES-1,Non communiqué,Non communiqué,Oui,Non,,,,Zone non inondable,90.000 €,356 €,,,Charlotte LIPPENS,,,2,135 m²,,"Amerikalei, 163
2000 - ANTWERPEN",F,,,,Non,,,,,,Équipée,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825 kWh/m²,,,,,,,Oui,,,,,Non,"nl :
elke woe. van 14u-16u - elke zat. van 14u-16u - eerste bezoek 14/8 - laatste bezoek 25/9",Après la signature de l’acte,Non,,,
44,1956,3,,1,,,,,1,,,,Oui,Oui,,,,,20200610-0002279734-RES-1,Non communiqué,Non communiqué,Zone non inondable,190.000 €,,,,,,730 €,,,Ann-Sophie ICKROTH,,,À rénover,781 m²,,"Amerikalei, 163
2000 - ANTWERPEN",Sud-ouest,,,,,Oui,,,,,1,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,4,,,,,Non,"nl :
elke woensdag van 16u-18u; elke zaterdag van 11u-13u. Voor een 1e maal op 8 september. De ondergetekende notaris houdt zich het recht voor bijkomende bezoeken in te lassen en/of de bezoekuren te wijzigen in het belang van de verkoop.",Après la signature de l’acte,Non,891 kWh/m²,,
45,1986,,,1,,1,,,480 m²,,,,283 kWh/m²,,,,,,20140413-0001573609-00000039-3,Non communiqué,Non communiqué,Oui,Oui,,,,Zone non inondable,200.000 €,1.465 €,,,Michiel VAN WEZENBEECK,,,3,,,"Kapelsesteenweg, 338-340
2930 - Brasschaat",C,,,,Non,195 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,Non,"nl :
elke woe. en zat. van 14u-16u, vanaf woe. 13/10 tem zat. 30/10",Après la signature de l’acte,Non,,,
46,,À rafraîchir,,2,Urbain,178 m²,,Semi-équipée,6,,,,1,,,Non,,,466 kWh/m²,E,1844610,Non communiqué,Non communiqué,,Gaz,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,Non,"Bazelstraat 32
9150 - Kruibeke",D9150-21049,1966,,,733 €,171 m²,,Non,,Oui,,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Après la signature de l’acte,Excellent état,6 m,1,"Zone d'habitat (résidentiel, urbain ou rural)",150 m²,,,3,16 m²,12 m²,8 m²,1,2,,Non,Oui,Oui,359 kWh/m²,D,20160072300018818421,12056 kg CO₂/m²,Non communiqué,,Gaz,Oui,,,,,325.000 €,Non,,,1974,,30 m²,775 €,180 m²,,,,,,8 m²,Non,Non,,,,,Non,,Non,Non,Non,Non,Non,Non,Non,,,Sud,Non,Non,Non,Non,,,,,,Sud,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,,Toutes sortes,,,,,,,,,,,,,,,
48,Après la signature de l’acte,Bon,12 m,3,"Zone d'habitat (résidentiel, urbain ou rural)",186 m²,,Équipée,5,25 m²,18 m²,16 m²,1,2,,Non,Oui,,219 kWh/m²,C,20120204-0001030939-00000002-6,Non communiqué,Non communiqué,,Gaz,Oui,,Non,Zone non inondable,,480.000 €,Non,,,1995,,100 m²,1.105 €,356 m²,,Non,,,,,,,,,Oui,14 m²,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Connecté,,Non,Non,Non,Non,17 m²,,,,,,,,,,,,,,,,,,,,Toutes sortes,12 m²,,,,,,1,,,,,,,,
49,À définir,Bon,,,,234 m²,,Équipée,4,,,,,1,,Non,Oui,,203 kWh/m²,C,20210707-0002438958-RES-2,Non communiqué,Non communiqué,,Gaz,Oui,,,,,299.000 €,Non,"Blancefloerlaan 50
2050 - Antwerpen",,,Oui,,245 €,113 m²,,,,,,,,,,,,,Non,,,,,,,,,,Connecté,Sud,Non,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,Oui,,
