,À partir de,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Surface de la cave,Meublé,"Eau, gaz & électricité",Parlophone,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Année de construction,Cave,Surface du jardin,Revenu cadastral,Surface du terrain,Terrasse,Procédure pour violation de la réglementation urbanistique,Revenu mensuel actuel,Permis de bâtir obtenu,Parkings intérieurs,Surface de la terrasse,Ascenseur,Interphone vidéo,Niveau E (performance énergétique globale),Salon,Salle à manger,Surface de la chambre 4,Dressing,Buanderie,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,Orientation du jardin,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Surface de la cuisine,Salles de douche,Référence externe,Nom du bien,Surface du grenier,Orientation de la terrasse,Concierge,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Surface constructible totale au sol,Pourcentage loué,Nom de l'agent,Grenier,Quartier ou lieu-dit,Isolé,Type de construction,Surface de la chambre 5,Surface de bureau,Surface de l'espace professionnel,Visite virtuelle,Obligation de construire,Parkings extérieurs,Combien de feux ouverts ?,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Jardin,Attestation de conformité des citernes à mazout,Disponible le
130,,,,2,,392 m²,,Semi-équipée,7,,,,7,7,,Non,Oui,,140 kWh/m²,B,20201216-0002350327-RES-2,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",975.000 €,Oui,"Bredabaan, 896
2170 - Merksem",19769 - SIA/21/005,1974,,57 m²,4.015 €,250 m²,,Non,,Oui,2,2 m²,,,,,,,,,,,,,,,,9.1 m,,Sud,,,,,,,,,,,,,,,,,,,,,,,Bosuil,,,,,,,,2,,,,,,,,,
131,,,,2,,392 m²,,Semi-équipée,7,,,,7,7,,Non,Oui,,145 kWh/m²,B,20160811-0001886257-1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",975.000 €,Oui,"Bredabaan, 896
2170 - Merksem",19768 - SIA/21/003,1972,,53 m²,4.238 €,250 m²,,Non,,Oui,2,2 m²,,,,,,,,,,,,,,,,9.1 m,,Sud,,,,,,,,,,,,,,,,,,,,,,,Bosuil,,,,,,,,2,,,,,,,,,
132,Après la signature de l’acte,Bon,,2,,140 m²,,Semi-équipée,2,,,,1,2,,Non,Oui,,515 kWh/m²,F,202110050002472966RES1,Non communiqué,Non communiqué,Non,Gaz,,Non,Non,Zone non inondable,,315.000 €,Oui,"Bischoppenhoflaan 284
2100 - Deurne",39253 - DEU-21-LDD-1,1960,Oui,40 m²,1.275 €,200 m²,,,,Oui,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Après la signature de l’acte,Bon,5 m,2,"Zone d'habitat (résidentiel, urbain ou rural)",156 m²,36 m²,Semi-équipée,4,20 m²,18 m²,9 m²,1,2,,Non,Oui,,256 kWh/m²,C,20111206000098917000000061,Non communiqué,Non communiqué,Non,Gaz,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",355.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",38518 - DEU-21-LDD-0,1930,,40 m²,820 €,135 m²,,Oui,,Oui,,,,,,,,7 m²,,,,,,,,,,5 m,,Sud-est,,,,,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Après la signature de l’acte,À rénover,,2,,173 m²,34 m²,Pas équipée,3,,,,2,1,,Non,,,848 kWh/m²,F,202109300002470905RES1,Non communiqué,Non communiqué,Non,Électrique,,Non,Oui,Zone non inondable,,235.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",38802 - DEU-21-LDD-0,1934,Oui,,741 €,144 m²,,Non,,Oui,1,17 m²,,,,,,,,,,,,,,,,5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Après la signature de l’acte,Bon,,2,,149 m²,,Semi-équipée,3,,,,2,2,,Non,,,337 kWh/m²,D,20211008-0002474475-RES-1,Non communiqué,Non communiqué,Non,Gaz,,,,Zone non inondable,,350.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",36694 - DEU-21-NST-0,1955,,,,257 m²,,,,,1,,,,,,,,,,,,,,,,,6 m,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,
136,À définir,Bon,,2,,114 m²,,Américaine semi-équipée,2,,,,1,1,,Non,,,822 kWh/m²,F,202111012-0002470937-RES-1,Non communiqué,Non communiqué,Non,Gaz,,Non,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",199.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",39203 - DEU-21-NST-0,1937,,,379 €,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Après la signature de l’acte,À rafraîchir,5 m,2,,120 m²,30 m²,Semi-équipée,2,16 m²,12 m²,,1,2,,Non,Oui,,686 kWh/m²,F,2364073,Non communiqué,Non communiqué,Non,Électrique,,Non,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",215.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",38529 - DEU-21-LDD-0,1938,Oui,,,86 m²,,Non,,Oui,,16 m²,,,,,,,,,,,,,,,,,,Sud,,,,,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,
138,À définir,Excellent état,,2,,120 m²,,Semi-équipée,2,14 m²,13 m²,,2,2,,Non,Oui,,392 kWh/m²,D,20160725-0001876515-1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",35415 - DEU-21-LDD-0,1938,Oui,94 m²,639 €,200 m²,,Non,,Oui,,16 m²,,,,,,,,,,,,,,,,6 m,,Nord,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Après la signature de l’acte,Bon,,2,,182 m²,22 m²,Semi-équipée,5,13 m²,13 m²,9 m²,2,3,,Non,Oui,,156 kWh/m²,B,20210318-0002389039-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",385.000 €,Oui,"Bischoppenhoflaan 284
2100 - Deurne",34231 - DEU-21-LDD-0,1965,,44 m²,1.698 €,116 m²,,Non,,Oui,1,,,,,,,8 m²,,,,,,,,,,5.5 m,,Sud-est,,,,,7 m²,,,,,,,,,,,,,,,,,,,,,8 m²,,,,,,,,,,,,,,
