,À partir de,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Cave,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Lieu de la vente,Séance unique,Modalités de visite,Année de construction,Visite virtuelle,Salon,Salle à manger,Permis de bâtir obtenu,Autorisation de lotissement,Type de zone inondable,Mise à prix,Revenu cadastral,Grenier,Droit d'achat prioritaire possible,Toilettes,Type de chauffage,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Parkings intérieurs,Quartier ou lieu-dit,Parkings extérieurs,Bureau,Surface du jardin,Surface de la terrasse,Procédure pour violation de la réglementation urbanistique,Largeur du terrain à rue,Surface constructible totale au sol,Largeur de la façade à rue,Surface de la cuisine,Attestation as-built,Surface du salon,Orientation du jardin,Accès sécurisé / alarme,Référence externe,Salles de douche,Disponible le,Dressing,Espace professionnel,Surface de la cave,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Buanderie,Surface de bureau,Orientation de la terrasse,Type de construction,Attestation de conformité des citernes à mazout,Surface de la chambre 4,Surface de la chambre 5,Obligation de construire,Niveau E (performance énergétique globale),Isolé,Pourcentage loué,Revenu mensuel actuel,Jardin,Surface du grenier,Nom du bien,Combien de feux ouverts ?,Surface de l'espace professionnel,Nom de l'agent
25,Après la signature de l’acte,Bon,2,,110 m²,,2,,,,1,,Non,67 m²,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,275.000 €,Non,,,,,,,,,,,,,,443 €,,,2,Gaz,,,,,Non,,25 m²,,,,,,,,,Non,,,,Non,Non,,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,,,Toutes sortes,,,,,,,,,,,,,,
26,À définir,Excellent état,2,,188 m²,Équipée,3,23 m²,19 m²,20 m²,1,,Non,106 m²,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,510.000 €,Non,,,,,,,,,,,,,,,,,2,Gaz,,,,,Oui,40 m²,,,,,,22 m²,,32 m²,Sud,Non,,1,,Oui,Oui,20 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,12 m²,,,,,,,,,,,,,,,,
27,,,,,100 m²,,2,,,,1,Oui,Non,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,294.000 €,Non,"Gitschotellei 106
2600 - Berchem",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Non,,,,1720 - 1931,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,
28,,,,,105 m²,,2,,,,1,Oui,Non,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,298.000 €,Non,"Gitschotellei 106
2600 - Berchem",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Non,,,,1719 - 1931,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,
29,,,,,100 m²,,2,,,,1,Oui,Non,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,305.000 €,Non,"Gitschotellei 106
2600 - Berchem",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Non,,,,1712 - 1931,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,
30,,,,,100 m²,,2,,,,1,Oui,Non,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,312.000 €,Non,"Gitschotellei 106
2600 - Berchem",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Non,,,,1710 - 1931,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,
31,Après la signature de l’acte,À rafraîchir,2,Urbain,190 m²,Équipée,2,,,,2,Oui,Non,,Connecté,Oui,,420 kWh/m²,E,20090611-0000199974-00000003-1,Non communiqué,Non communiqué,Oui,375.000 €,Oui,"Nuchten 120
9506 - Geraardsbergen",4372383,,,,,,,,,,Zone non inondable,,694 €,,Non,3,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,2 m²,Non,9 m,63 m²,9 m,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,À définir,Bon,,,,Équipée,3,,,,,Oui,Non,,Connecté,Oui,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,399.000 €,Non,"Blancefloerlaan 50
2050 - Antwerpen",,,,,,,,,,,,,,,,2,,,1,,1,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,
33,À définir,Bon,,,,Équipée,3,,,,,Oui,Non,,Connecté,Oui,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,775.000 €,Non,"Blancefloerlaan 50
2050 - Antwerpen",,,,,,,,,,,,,,Oui,,2,,,1,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,
34,Après la signature de l’acte,Excellent état,2,,,Hyper équipée,9,,,,8,Oui,,205 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,1.650.000 €,Oui,"Gentplaats 7
2000 - Antwerpen",4284065,,,,,,,,,,,,,,,9,Gaz,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
