,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Type de cuisine,Chambres,Salles de bains,Cave,Grenier,Meublé,Surface du terrain,Terrasse,Ascenseur,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Visite virtuelle,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Toilettes,Attestation as-built,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Quartier ou lieu-dit,Largeur de la façade à rue,"Eau, gaz & électricité",Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Salon,Mise à prix,Revenu cadastral,Raccordement à l'égout,Combien de feux ouverts ?,Surface de bureau,Bureau,Largeur du terrain à rue,Surface du jardin,Orientation du jardin,Type d’environnement,Dressing,Jardin,Concierge,Accessible aux personnes avec un handicap,Attestation de conformité des citernes à mazout,Pompe à chaleur,Obligation de construire,Niveau E (performance énergétique globale),Salle à manger,Salles de douche,Porte blindée,Surface constructible totale au sol,Buanderie,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Surface de l'espace professionnel,Surface du grenier,Surface de la chambre 5,Surface de la terrasse,Orientation de la terrasse,Surface de la cave,Isolé,Nombre d'annexes,Climatisation,Jacuzzi,Sauna,Internet,Disponible le,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Nom du bien,Pourcentage loué,Revenu mensuel actuel
49,Après la signature de l’acte,1945,Excellent état,4,,,300 m²,Américaine hyper-équipée,3,1,,,Non,4862 m²,,,,,,,201 kWh/m²,B,20110814-0000897902-00000001-4,Non communiqué,Non communiqué,Mazout,Oui,775.000 €,Non,"Bredabaan 260
2930 - Brasschaat",34628 - TUR-21-GME-1,Oui,,,Non,Zone non inondable,,,,,,,,2,Non,Zone agricole,,,Oui,,,,,,,,,,,,,,Est,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,55 m²,,,,,,,,,,,,,,,,,,,
50,,1969,Excellent état,3,,,185 m²,Équipée,3,1,Oui,,Non,400 m²,,,,,,,155 kWh/m²,B,2422095,Non communiqué,Non communiqué,Gaz,Oui,359.000 €,Non,"Kempenlaan 32
2300 - Turnhout",37000 - TUR-21-AGH-0,Oui,Non,Non,Non,Zone non inondable,,32 m²,29 m²,16 m²,16 m²,8 m²,,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,,1,,,,,Est,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 novembre 2021 - 00:00,,,,,,,,,,
51,,2010,Bon,3,1,,35 m²,10 m²,16 m²,2,,,358 m²,92 kWh/m²,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,Non,"Parklaan 101
2300 - Turnhout",18917 - 126621027,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",190 m²,Équipée,4,13 m²,11 m²,1,,Non,59,365.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Après la signature de l’acte,,Bon,4,,,145 m²,,3,1,Oui,,Non,1330 m²,,,,,,,648 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,435.000 €,Non,"Kempenlaan 32
2300 - Turnhout",37140 - TUR-21-GME-1,Oui,Non,Non,Non,Zone non inondable,,,12 m²,15 m²,11 m²,9 m²,,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,,,,,,650 m²,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,94 m²,,,,,,,,,,,,,,,,,,,
53,,2009,Bon,3,1,,50 m²,,1,2,,,Non,12 m,,,,,,,B,20211004-0002471759-RES-1,Non communiqué,Non communiqué,Oui,,Oui,1.042 €,"PARKLAAN 46
2300 - Turnhout",04/14230,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",250 m²,17 m²,4,,,,,Non,,395.000 €,,8.5 m,Oui,,,,,,,Non,Oui,,,Non,Connecté,,115 kWh/m²,,,Nord-est,,,,,,,,,372 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"Merksplassesteenweg 18
2310 - Rijkevorsel",,Oui,Oui,Non,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,À définir,1971,Bon,4,2,7,,Équipée,3,1,,,Non,2525 m²,,Non,Non,Non,Non,Non,Non communiqué,Non communiqué,20210215-0002374223-RES-1,Non communiqué,Non communiqué,,Oui,469.000 €,Non,,,Oui,Non,Non,Non,Zone non inondable,,,,,,,,2,Non,,,,Oui,,,,,,,,Connecté,,,Non,,1 m²,,Pays,Non,,Non,Non,,Non,Non,540,,,Non,,,Non,Non,Non,Non,Non,Non,Non,Non,Toutes sortes,,,,1 m²,,,,,Non,Non,Non,Oui,,,,,,,,,,,
56,,2021,Excellent état,4,,,153 m²,Équipée,3,1,,Oui,Non,718 m²,,,,,,,Non communiqué,Non communiqué,EPB,Non communiqué,Non communiqué,Gaz,Oui,399.900 €,Non,,,Oui,Oui,Non,,Zone non inondable,,,,,,,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,10 m,Oui,,,,,Oui,,,Connecté,,,Non,,,,,Non,,,,,Non,,25,,,Non,,,Non,Non,Non,Non,Non,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,
57,À la livraison,2021,Excellent état,2,1,1,150 m²,Équipée,3,1,,,Non,412 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,322.000 €,Non,"Herdersstraat 5
2560 - Nijlen",spir2835,Oui,Oui,Non,Non,Zone non inondable,,,,,,,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,Non,Non,Non,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Après la signature de l’acte,,,4,,2,30 m²,,45 m²,Oui,1043 m²,,,12 m,257 kWh/m²,,,,,,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,604 €,"Grote Markt 22
2300 - Turnhout",4315569,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",310 m²,27 m²,6,15 m²,14 m²,17 m²,11 m²,,,447.000 €,Ravels,8 m,Oui,,,,,,,Non,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
59,Après la signature de l’acte,1976,,3,1,,Oui,3,1,733 m²,,,,Oui,312 kWh/m²,,,,,,D,20210508-0000151497-RES-2,Non communiqué,Non communiqué,Oui,,,820 €,"Parklaan 22 /10
2300 - Turnhout",Valerie HERMANS,,Oui,Non,Zone non inondable,,278.000 €,199 m²,,,,,,,,,,,,,,,,,Équipée,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,À définir,1995,Excellent état,4,4,5,645 m²,Hyper équipée,4,2,Oui,,Non,6258 m²,,,,Oui,Oui,,169 kWh/m²,B,2298021,Non communiqué,Non communiqué,,Oui,995.000 €,Non,"Bredabaan 260
2930 - Brasschaat",34143 - TUR-21-GME-0,,Non,Non,Non,Bien immobilier situé tout ou en partie dans une zone inondable délimitée,,68 m²,20 m²,59 m²,33 m²,26 m²,21 m²,4,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,2.526 €,,1,26 m²,Oui,45 m,,Sud-ouest,Pays,,Oui,,Oui,,,,,Oui,,,,,,,,,,,,,,,,20 m²,25 m²,,,,,,,,,,,,,,,,,,,
61,Après la signature de l’acte,1999,Excellent état,4,,,900 m²,Équipée,4,2,Oui,,Non,37810 m²,Oui,,,,,Oui,170 kWh/m²,B,20091115-0000354990-00000008-9,Non communiqué,Non communiqué,Gaz,Oui,1.495.000 €,Non,"Bredabaan 260
2930 - Brasschaat",33342 - TUR-21-GME-1,Oui,Non,,Non,Zone non inondable,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,,1,,,,,Sud-est,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,1996,Excellent état,4,1,4,70 m²,22 m²,2,3,,,Non,24 m,,Non,Oui,Non,Non,200 kWh/m²,B,20200927-0002320383-RES-1,Non communiqué,Non communiqué,Oui,,Oui,1.874 €,"weeldestraat, 93
2381 - WEELDE",05/9101,,177 m²,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",350 m²,Oui,5,,,,,Non,,749.000 €,,18 m,Oui,,,,,,,Non,Oui,,,36 m²,Connecté,,40 m²,Pays,,Nord-ouest,,Non,,,,,Équipée,,Non,Oui,,,,,,,,,,,Non,,,Non,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"Merksplassesteenweg 18
2310 - Rijkevorsel",,Oui,Oui,Non,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,2020,Bon,3,1,,Oui,4,1,2,,,Non,56 m,,,,,,,A,13035-G-DBA_2017044313/EP17801/A001/D01/SD001,Non communiqué,Non communiqué,Oui,,Oui,Non,"weeldestraat, 93
2381 - WEELDE",05/9364,,Non,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",170 m²,,,,,,,Non,,445.000 €,,6 m,Oui,,,,,Équipée,,,Oui,,,Non,Connecté,,73 kWh/m²,,,Ouest,,,,,,,,,623 m²,,,,,,,,,,,,,,,,,,,,,,,,1 juillet 2022 - 00:00,,,,,,,,,,
65,Selon le locataire,,,4,,,45 m²,,1,1,Oui,,Non,317 m²,Oui,,,,,,795 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,69.000 €,Non,"Kempenlaan 32
2300 - Turnhout",13115 - TUR-21-GME-0,Oui,Non,Non,Non,Zone non inondable,,,,,,,,,Non,Zone de récréation et de séjour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,1994,Bon,4,,,Oui,2,1,Non,,,Non,31 m,,,,,,,E,20210818-0002451007-RES-1,Non communiqué,Non communiqué,Oui,,Oui,647 €,"PARKLAAN 46
2300 - Turnhout",04/14147,,Non,,Non,Zone non inondable,Zone résidentielle récréative,159 m²,,,,,,,,,349.000 €,,,429 kWh/m²,,,,,Équipée,,Non,Non,,,Non,Non connecté,,,,,,,,,,,,,,1949 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,À définir,,Bon,4,1,3,430 m²,Américaine hyper-équipée,5,2,Oui,,Non,1095 m²,Oui,,,,,,243 kWh/m²,C,20210516-0002415677-RES-1,Non communiqué,Non communiqué,Gaz,Oui,595.000 €,Non,"Broekstraat 77
2460 - Tielen",,Oui,Non,Non,Non,Zone non inondable,,60 m²,36 m²,32 m²,26 m²,26 m²,19 m²,4,,"Zone d'habitat (résidentiel, urbain ou rural)",,12 m,Oui,4456352,,,,,,2.057 €,Connecté,,16 m²,Oui,30 m,650 m²,,Urbain,,,,,,,,,Oui,1,,300 m²,,,,,,,,,,,145 m²,,,,,,,,,,,,1 février 2022 - 00:00,,,,,,,,,,
68,À définir,,Bon,,1,1,,Équipée,5,,Oui,Oui,Non,947 m²,Oui,,,,,,248 kWh/m²,C,2313295,Non communiqué,Non communiqué,Gaz,Oui,495.000 €,Non,"Handelslei 93
2980 - Zoersel",,Oui,,Non,,,,,,,,,,1,,,,,Oui,,,,,,,1.856 €,Connecté,,,,,,Est,,Non,Oui,,,,Non,,,,,,,,,,,,,,,,,,,,,Est,,,,,,,,,,,,,,,,,,
69,À définir,2004,Excellent état,4,2,6,1000 m²,Équipée,6,3,,,,3206 m²,Oui,Oui,,Oui,,Oui,96 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,1.995.000 €,Non,"Grote Markt 22
2300 - Turnhout",,Oui,Non,Non,Non,Zone non inondable,,100 m²,32 m²,,,,,4,,"Zone d'habitat (résidentiel, urbain ou rural)",Ravels,14 m,,4403880,,,,,,3.811 €,,,,,,2500 m²,,,,,,,,,,,,,,232 m²,,,,,,,,,,,,,,,,300 m²,,,,,,,,,,,,,,,,,
70,,1994,,4,3,3,450 m²,Hyper équipée,5,3,,,,2273 m²,Oui,,,,,,240 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,879.000 €,Non,"Grote Markt 22
2300 - Turnhout",,Oui,Non,Non,Non,Zone non inondable,,,,,,,,,,Zone d'extension d'habitat,Ravels,30 m,Oui,4215131,,,,,,2.206 €,Connecté,,,,50 m,,,Isolé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,1983,,4,1,2,50 m²,16 m²,48 m²,3,24 m²,,,48 m,Oui,,,197 kWh/m²,,,B,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",Oui,Oui,Non,"Grote Markt 22
2300 - Turnhout",4330013,,Non,Non,Non,Zone non inondable,Zone agricole,382 m²,Hyper équipée,3,16 m²,1,,,18 m²,,1.225.000 €,,21 m,Oui,,,,,,,,Non,,Oui,50 m²,Connecté,,,Pays,,,,,Mazout,,,,,,,,,,,,,,,,,,Oui,4422 m²,,,,,,,,,,,,,,,,,,,,,
72,,2008,Excellent état,4,,,350 m²,Équipée,4,2,Oui,,Non,96947 m²,Oui,,,,,,68 kWh/m²,A,13035-G-2007/00112/EP05208/A001/D01/SD0001,Non communiqué,Non communiqué,,Oui,2.150.000 €,Non,"Aarschotsesteenweg 201
2500 - Lier",,Oui,Non,Non,Non,Zone non inondable,,,29 m²,,,,,4,,Zone agricole,,19 m,Non,IF-3042,,,,Oui,,2.587 €,Non connecté,,,Oui,460 m,,Sud-ouest,,,Oui,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Après la signature de l’acte,1988,Excellent état,4,,5,230 m²,Équipée,4,1,,,Non,1680 m²,,,,,,,230 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,500.000 €,Non,,,Oui,,,Non,Zone non inondable,,50 m²,20 m²,12 m²,12 m²,16 m²,16 m²,2,"Oui, conforme",,,23 m,Oui,,,,,,,1.088 €,Connecté,2,12 m²,Oui,35 m,1100 m²,Sud-ouest,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,"Oui, conforme",Non,,,Oui,1,Non,,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Villa,40 m²,12 m²,,200 m²,Sud,,Oui,1,,,,,,,,,,,,,,,
74,,1969,,4,2,10,5,,3,Oui,Oui,3478 m²,,Connecté,,,,Oui,Non communiqué,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,"Grote Markt 22
2300 - Turnhout",4343412,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,480 m²,,,,,,,,,990.000 €,,26 m,100 m²,,,,,,,,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,
75,,1925,,4,1,,,,5,,Oui,,Non,150000 m²,,,,,,,798 kWh/m²,F,2347391,Non communiqué,Non communiqué,,Non,1.850.000 €,Non,"Aarschotsesteenweg 201
2500 - Lier",,Oui,Non,Non,Non,Zone non inondable,,,,,,,,,,Zone agricole,,,Non,IF-2982,,,,Oui,,,Non connecté,,,Non,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,1 janvier 2022 - 00:00,,,,,,,,,,
76,À définir,,,4,,1,70 m²,,2,1,,,,256 m²,Oui,,,,,,676 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,115.000 €,Non,"Grote Markt 22
2300 - Turnhout",,Oui,Non,Non,Non,Zone non inondable,,23 m²,,8 m²,9 m²,,,,,Zone résidentielle récréative,Poppel,,,3805960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"PARKLAAN 46
2300 - Turnhout",01/4180,Oui,Oui,Non,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,2003,Bon,4,1,,235 m²,Équipée,3,1,,,Non,809 m²,Oui,,,Oui,Oui,,158 kWh/m²,B,2386903,Non communiqué,Non communiqué,Gaz,Oui,,Non,"Golflaan 41
9830 - Sint-Martens-Latem",,Oui,Non,Non,Non,Zone non inondable,,,,,,,,2,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,588 - 1704,,,,,,1.772 €,,,,,30 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.000 €,115.000 €,783 €,Oui,Oui,Non,2,,,
79,,2003,Bon,4,1,,235 m²,Équipée,3,1,,,Non,809 m²,Oui,,,Oui,Oui,,158 kWh/m²,B,2386903,Non communiqué,Non communiqué,Gaz,Oui,,Non,"Golflaan 41
9830 - Sint-Martens-Latem",,Oui,Non,Non,Non,Zone non inondable,,,,,,,,2,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,564 - 1704,,,,,,1.772 €,,,,,30 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.000 €,115.000 €,783 €,Oui,Oui,Non,2,,,
80,À définir,,Excellent état,,,1,410 m²,Hyper équipée,3,,Oui,,Non,1430 m²,,,,,,,121 kWh/m²,B,20151030-0001806956,Non communiqué,Non communiqué,Gaz,Oui,875.000 €,Non,"Orteliuskaai, 8
2000 - Antwerpen",,Oui,Oui,Oui,Non,Zone non inondable,,60 m²,38 m²,43 m²,20 m²,19 m²,,4,Non,,,,Oui,,,,,,,,Connecté,,,,,950 m²,Nord-est,,Non,,,,,Non,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,2011,Excellent état,4,,,289 m²,,4,2,,Oui,Non,709 m²,,Non,Non,Non,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,649.000 €,Non,,,,,,,,,,,18 m²,14 m²,14 m²,18 m²,2,,,,10 m,Oui,,,,,Oui,,2.060 €,Connecté,,,Oui,,,,,Oui,,Non,Non,,Non,,53,Oui,,Non,,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Toutes sortes,,,,,,,,,Non,Non,Oui,Oui,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,À définir,1964,Fraîchement rénové,4,4,4,154 m²,Équipée,3,1,,,Non,1023 m²,,,,,,,447 kWh/m²,E,20210331-0002395042-RES-1,Non communiqué,Non communiqué,Mazout,Oui,379.900 €,Non,"Lierselei 13/1
2390 - Oostmalle",34277 - MAL-21-JSM-0,Oui,Non,Non,Non,Zone non inondable,,40 m²,18 m²,15 m²,9 m²,9 m²,,2,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,1.293 €,,1,5 m²,Oui,,600 m²,Ouest,Urbain,,,,Oui,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,40 m²,,,,,,,,,,,,,,,,,,,
84,Après la signature de l’acte,1980,Bon,4,,,185 m²,,4,1,,,Non,2100 m²,,,,,,,522 kWh/m²,F,20210829- 0002457582-RES-1,Non communiqué,Non communiqué,Électrique,,549.900 €,Non,"Lierselei 13/1
2390 - Oostmalle",36576 - MAL-21-JSM-0,Oui,Non,Oui,Non,Zone non inondable,,36 m²,13 m²,20 m²,16 m²,15 m²,8 m²,2,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,12 m,,,,,,,,1.643 €,,,,,18 m,2000 m²,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,26 m²,,,,,,,,,,,,,,,,,,,
85,À définir,,Bon,4,,,214 m²,Équipée,5,1,,,Non,750 m²,,,,,,,295 kWh/m²,C,20210319-0002390123-RES-1,Non communiqué,Non communiqué,Gaz,Oui,399.900 €,Non,"Lierselei 13/1
2390 - Oostmalle",40184 - MAL-21-JSM-0,Oui,Non,Non,Non,Zone non inondable,,34 m²,13 m²,18 m²,18 m²,15 m²,12 m²,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,904 €,,,,,24 m,600 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,9 m²,,,8 m²,,,,,,,,,,,,,,,,,
86,Après la signature de l’acte,,À rénover,2,2,2,127 m²,Équipée,4,1,,,Non,389 m²,,,,,,,929 kWh/m²,F,20210707-0002438752-RES-1,Non communiqué,Non communiqué,Gaz,,269.900 €,Non,"Lierselei 13/1
2390 - Oostmalle",35482 - MAL-21-JSM-0,Oui,Oui,Non,,Zone non inondable,,32 m²,,,,,,2,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,738 €,,,,,12 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,2021,Excellent état,2,,,170 m²,Équipée,3,1,,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,367.000 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21030-W2,Oui,Oui,Non,Non,Zone non inondable,,,,,,,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,66 m²,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,19 m²,,,,,,,,,,,,,,,,,,,
88,,2021,Excellent état,3,,,170 m²,Équipée,3,1,,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,373.800 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21030-W1,Oui,Oui,Non,Non,Zone non inondable,,,,,,,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,46 m²,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,19 m²,,,,,,,,,,,,,,,,,,,
89,,2021,Excellent état,3,,,170 m²,Équipée,3,1,,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,374.500 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21030-W5,Oui,Oui,Non,Non,Zone non inondable,,,,,,,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,46 m²,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,25 m²,,,,,,,,,,,,,,,,,,,
90,,2021,Excellent état,3,,,170 m²,Équipée,3,1,,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,374.500 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21030-W6,Oui,Oui,Non,Non,Zone non inondable,,,,,,,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,46 m²,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,25 m²,,,,,,,,,,,,,,,,,,,
91,,2021,Excellent état,3,,,170 m²,Équipée,3,1,,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,381.300 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21030-W7,Oui,Oui,Non,Non,Zone non inondable,,,,,,,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,186 m²,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,21 m²,,,,,,,,,,,,,,,,,,,
92,,,Bon,2,,,130 m²,,3,1,,,Non,479 m²,,,,,,,430 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,,299.900 €,Non,"Lierselei 13/1
2390 - Oostmalle",36974 - MAL-21-JSM-0,Oui,Non,Non,Non,Zone non inondable,,30 m²,18 m²,16 m²,15 m²,12 m²,,2,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,386 €,,,,,6 m,300 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Selon le locataire,1995,Bon,3,2,4,196 m²,Équipée,4,1,,,Non,,,,,,,,283 kWh/m²,C,20160619-0001872851-1,Non communiqué,Non communiqué,,,419.900 €,Non,"Lierselei 13/1
2390 - Oostmalle",35419 - MAL-21-JSM-0,Oui,Non,Non,Non,Zone non inondable,,40 m²,22 m²,19 m²,18 m²,16 m²,15 m²,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,1.386 €,,,,,14.7 m,500 m²,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 août 2021 - 00:00,,,,,,,,,,
94,,,Bon,4,,,135 m²,Équipée,3,1,,,Non,,,,,,,,626 kWh/m²,F,20200304-0002253791-RES-1,Non communiqué,Non communiqué,Gaz,,424.900 €,Non,"Lierselei 13/1
2390 - Oostmalle",39923 - MAL-21-JSM-0,Oui,Non,Non,Non,Zone non inondable,,30 m²,11 m²,17 m²,17 m²,,,2,Non,Zone agricole,,,,,,,,,,,,,,,62 m,2800 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,1986,,4,,,204 m²,,3,2,Oui,,Non,3108 m²,Oui,,,,,,175 kWh/m²,B,2149315,Non communiqué,Non communiqué,,Oui,669.000 €,Oui,"Lierselei 13/1
2390 - Oostmalle",13744 - MAL-21-JSM-0,Oui,Non,Non,Non,Zone non inondable,,50 m²,18 m²,17 m²,14 m²,11 m²,,2,Non,Zone industrielle,,,,,,,,,,2.374 €,,,16 m²,Oui,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
