,À partir de,État du bâtiment,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Toilettes,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Double vitrage,Prix,Immeuble de rapport,Surface de la chambre 5,Cave,Grenier,Surface du jardin,Orientation du jardin,Terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accès sécurisé / alarme,Piscine,Jardin,Panneaux photovoltaïques,Panneaux solaires,Revenu cadastral,Nombre de façades,Type d’environnement,Salles de bains,Adresse,Site internet,Quartier ou lieu-dit,Année de construction,Largeur de la façade à rue,Salle à manger,Salles de douche,Bureau,Porte blindée,Attestation as-built,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Largeur du terrain à rue,Accessible aux personnes avec un handicap,Surface constructible totale au sol,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Parlophone,Référence externe,Combien de feux ouverts ?,Surface de bureau,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Chauffe-eau commun,Type de construction,Obligation de construire,Buanderie,Disponible le,Surface de l'espace professionnel,Attestation de conformité des citernes à mazout,Niveau E (performance énergétique globale),Nom de l'agent,Salon,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Description libre du PEB,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Charges mensuelles
110,Après la signature de l’acte,,1,,,155 m²,33 m²,,8 m²,3,15 m²,12 m²,8 m²,,,2,,210 m²,Connecté,Oui,,396 kWh/m²,E,20210626004467,98 kg CO₂/m²,Non communiqué,Mazout,,Oui,220.000 €,,,,,,,Oui,,,,,,,,,1.018 €,2,"Zone d'habitat (résidentiel, urbain ou rural)",1,"RUE ERNEST MARTEL 24
7190 - Ecaussinnes",,,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Après la signature de l’acte,Bon,,,,156 m²,,Équipée,,3,15 m²,11 m²,26 m²,,,2,Non,200 m²,Connecté,Oui,20 m²,502 kWh/m²,F,20210807003088,Non communiqué,99968 kWh/an,Gaz,,Oui,275.000 €,,,,Oui,,,,,,,,,,,,,3,"Zone d'habitat (résidentiel, urbain ou rural)",,"Rue de Mons 156
1480 - Tubize",,,,,,1,Oui,,,,,,,,,,Zone non inondable,,,,,13 m²,,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Après la signature de l’acte,Bon,2,2,,200 m²,40 m²,Semi-équipée,15 m²,5,22 m²,16 m²,10 m²,,,1,Non,479 m²,,,,330 kWh/m²,D,20210330017923,61 kg CO₂/m²,75588 kWh/an,Gaz,,,290.000 €,Non,,Oui,,,,,,,,,,,,,515 €,2,,1,"Rue De Mons 46
1480 - Tubize",2853 - 2314,,1903,,,,,,Non,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Après la signature de l’acte,Excellent état,1,,140 m²,Équipée,,3,,14 m²,14 m²,12 m²,1,,,Non,220 m²,Connecté,Oui,170 m²,552 kWh/m²,G,20200818012722,Non communiqué,Non communiqué,Gaz,Faire offre à partir de 330.000 €,,,911 €,"Rue du Virginal 83
7090 - Hennuyères",,,,40 m²,,,,,,,,,,,Non,4,,1,4450189,,,2012,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,À rafraîchir,,1,,60 m²,,Semi-équipée,6 m²,1,15 m²,,,,,1,Non,30 m²,Connecté,Oui,,365 kWh/m²,E,20210126008057,Non communiqué,22021 kWh/an,Gaz,,Oui,Faire offre à partir de 115.000 €,Non,,,,,,,,,,,,,,,,3,,1,"Rue du Virginal 83
7090 - Hennuyères",4252177,,1960,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,
115,Après la signature de l’acte,À rafraîchir,,,,240 m²,,Semi-équipée,,6,,,,,,6,Non,170 m²,Connecté,Oui,25 m²,196 kWh/m²,C,20160802019307,Non communiqué,6554 kWh/an,Gaz,,,Faire offre à partir de 295.000 €,Oui,,,,,,,,,,,,,,,,2,,6,"Rue du Virginal 83
7090 - Hennuyères",4278975,,1970,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,
116,Après la signature de l’acte,Excellent état,1,4,398 m²,30 m²,Américaine équipée,24 m²,5,18 m²,30 m²,18 m²,20 m²,25 m²,,18 m²,,Connecté,Oui,95 m²,,C,20190910006852,221 kg CO₂/m²,Non communiqué,Gaz,Oui,,Zone non inondable,Non,"Rue du Virginal 83
7090 - Hennuyères",2,,,Oui,,221 kWh/m²,,,,,,,,,,3,,2,4530112,,,,,,3,35 m²,,,,,,,,,,Faire offre à partir de 435.000 €,,,,,Oui,,,,,,,,,,,,,,,,,,,630 m²,,,,,,,,,,,,,,,,,,
117,Après la signature de l’acte,À rénover,1,2,120 m²,Semi-équipée,,3,,14 m²,12 m²,10 m²,1,,,Oui,537 m²,18 m,,,429 kWh/m²,F,2021062308727,107 kg CO₂/m²,48247 kWh/an,Non,Oui,,225.000 €,795 €,"Rue De Mons 46
1480 - Tubize",,Non,,40 m²,,,,,,,,,,,Non,3,,,2774 - 2311,,,1971,,,1,,,Mazout,,,,,150 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Après la signature de l’acte,Bon,1,,,130 m²,30 m²,Équipée,16 m²,3,16 m²,14 m²,12 m²,,,1,Non,216 m²,Connecté,Oui,20 m²,227 kWh/m²,C,20201005017119,Non communiqué,31126 kWh/an,Gaz,,Oui,Faire offre à partir de 250.000 €,Non,,,Oui,,,,,,,,,,,,608 €,2,,1,"Rue du Virginal 83
7090 - Hennuyères",4232918,,1960,,Oui,1,Oui,,,,Non,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Après la signature de l’acte,Excellent état,,,,,27 m²,Équipée,20 m²,4,19 m²,14 m²,12 m²,10 m²,,,,315 m²,Connecté,Oui,,193 kWh/m²,C,20210705012330,Non communiqué,30806 kWh/an,Gaz,,Oui,290.000 €,,,,,,Sud,Oui,,,,,,Oui,,,609 €,2,"Zone d'habitat (résidentiel, urbain ou rural)",1,"Place Cousin,2
7190 - Ecaussinnes",,,1930,4.75 m,,1,Oui,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
120,Après la signature de l’acte,Bon,2,1,135 m²,Équipée,,3,,1,,,,,,Oui,238 m²,12 m,,,421 kWh/m²,E,20210630022053,421 kg CO₂/m²,67865 kWh/an,Non,Oui,,325.000 €,1.018 €,"Rue De Mons 46
1480 - Tubize",,Non,,10 m²,,,,,,,,,,,Non,3,,,2852 - 2317,,,1949,,,2,,,Mazout,,,,,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,Bon,2,6,180 m²,1,,15 m²,4,21 m²,15 m²,15 m²,11 m²,1,,Oui,1389 m²,Oui,,,,E,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,450.000 €,Non,"Rue De Mons 46
1480 - Tubize",,Non,,,,414 kWh/m²,,,,,,,,,,4,,2,2776 - 2312,,,1994,22 m,,,,,Électrique,,,,,,,,,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Après la signature de l’acte,Bon,1,,,174 m²,40 m²,Hyper équipée,6 m²,4,13 m²,14 m²,15 m²,,,2,Non,341 m²,,Oui,,160 kWh/m²,B,20210226021289,Non communiqué,26696 kWh/an,Gaz,,Oui,365.000 €,Non,,,Oui,167 m²,,Oui,,,,,,,,,,3,,2,"Avenue du Japon, 2
1420 - Braine-l'Alleud",4530329,,2007,,,2,Oui,,,,,,,,,,Zone non inondable,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Après la signature de l’acte,Fraîchement rénové,,,,139 m²,,Équipée,,3,,,,,,2,Non,,,,,192 kWh/m²,C,20151019026322,Non communiqué,Non communiqué,Gaz,,Oui,259.000 €,Non,,Oui,,,,,,,,,,,,,670 €,2,,1,"Avenue des sept Bonniers 6
1180 - Uccle",507 - 411,,,,,1,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,Bon,,,,150 m²,,Équipée,,3,,,,,,2,Non,168 m²,,,,689 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,,,280.000 €,Non,,Oui,,,,Oui,,,,,,,,,535 €,3,,1,"Rue De Mons 46
1480 - Tubize",2948 - 2360,,,,,1,,,Non,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,Bon,,,150 m²,Équipée,,3,,2,,,,,,Non,324 m²,10 m,,,,D,20210610013173,82 kg CO₂/m²,53852 kWh/an,Non,Oui,,270.000 €,773 €,"Rue De Mons 46
1480 - Tubize",,,,Sud,324 kWh/m²,,,,,,,,,,Non,,,3,2722 - 2303,,,1950,8 m,,,,,Mazout,,,,,100 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Après la signature de l’acte,Bon,1,1,200 m²,Semi-équipée,,5,,20 m²,16 m²,15 m²,12 m²,10 m²,,Oui,720 m²,13.4 m,,,,G,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,270.000 €,887 €,"Rue De Mons 46
1480 - Tubize",1,Non,,Sud-est,530 kWh/m²,,,,,,,,,,Non,,,2,2694 - 2289,,,,8 m,,,,,Mazout,,,,,560 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Après la signature de l’acte,Excellent état,1,,,189 m²,30 m²,Hyper équipée,17 m²,3,11 m²,13 m²,12 m²,,,2,Non,250 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,330.000 €,,,,,,,Oui,,,,,,,,,,3,"Zone d'habitat (résidentiel, urbain ou rural)",,"Rue de Mons 156
1480 - Tubize",,,,,,1,Oui,,,Oui,,,Non,,,,,,Oui,,1,4 m²,Oui,57 m²,,,,,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
128,Après la signature de l’acte,Bon,1,4,,122 m²,41 m²,Hyper équipée,,3,,,,,,,Non,1116 m²,,Oui,,303 kWh/m²,D,20210915005489,Non communiqué,36986 kWh/an,Gaz,,Oui,395.000 €,Non,,Oui,,,Ouest,,,,,Oui,,Oui,,,1.405 €,4,,1,"rue Jean Duc 104
1480 - Saintes",,,1980,9 m,,,,,Non,,,,,17 m,,,,,,161 - V2101,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Après la signature de l’acte,Bon,4,4,200 m²,1,,4,,2,,,,,,Oui,1438 m²,26 m,,,Oui,C,Non communiqué,205 kg CO₂/m²,43824 kWh/an,Non,Oui,,525.000 €,Non,"Rue De Mons 46
1480 - Tubize",,Non,,35 m²,,,,,,,,,,,,4,,3,2777 - 2313,,,1990,,,,,,Mazout,,,,,750 m²,,,,,,,Équipée,,,,,,,,,,,214 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Après la signature de l’acte,À rafraîchir,1,,130 m²,35 m²,Équipée,10 m²,3,18 m²,14 m²,12 m²,1,,,Oui,490 m²,400 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,378 kWh/an,Gaz,Oui,,Faire offre à partir de 260.000 €,Non,"Rue du Virginal 83
7090 - Hennuyères",,Non,,25 m²,,,,,,,,,,,,3,,1,4366665,,,1980,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,À rafraîchir,1,3,,170 m²,35 m²,Semi-équipée,15 m²,4,13 m²,12 m²,11 m²,,,2,Non,755 m²,,,,420 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,,,290.000 €,Non,,,,,,,,,,,,,,,1.487 €,4,,1,"Rue De Mons 46
1480 - Tubize",2807 - 2327,,1968,13 m,,1,,,Non,,,,,20 m,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Après la signature de l’acte,À rafraîchir,1,2,,180 m²,,Américaine hyper-équipée,18 m²,3,,,,,Non,,Non,340 m²,Connecté,Oui,21 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Oui,285.000 €,Non,,,,135 m²,Sud,,Sud,,,,,,Non,Non,,3,,,,,,,6 m,,1,Non,Non,,,,,,9 m,,,,,,,,,Non,,,,Non,Non,Non,Non,,,,,,Oui,Maison bel-étage,,Oui,,,,,,,1,,,,,,,,,,,,,
133,Après la signature de l’acte,À rénover,,,,157 m²,32 m²,Pas équipée,,3,,,,,,1,Non,90 m²,,Oui,,402 kWh/m²,E,20210226002592,73 kg CO₂/m²,63149 kWh/an,Gaz,,Oui,120.000 €,Non,,,,,,,,,,,,,,,659 €,2,,1,"Rue des Frères Lefort 12
1480 - Tubize",2578 - V2106,,,4 m,,,,,Non,,,,,,,,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,Bon,,,120 m²,35 m²,Équipée,2,,19 m²,14 m²,1,,,,Non,75 m²,9 m²,,,1057 kWh/m²,G,20131206014894,11 kg CO₂/m²,66200 kWh/an,Non,Oui,,220.000 €,561 €,"Rue De Mons 46
1480 - Tubize",,,,,,,,,,,,,,,Non,2,,,2724 - 2305,,,1971,,,1,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Après la signature de l’acte,Bon,1,1,,135 m²,23 m²,Équipée,,3,12 m²,12 m²,10 m²,,,2,,788 m²,Connecté,Oui,,372 kWh/m²,E,20210622023274,68 kg CO₂/m²,46995 kWh/an,Gaz,,Oui,225.000 €,,,,Oui,,,Oui,,,,,,,,,617 €,3,,1,"Chaussée de Mons 35
1430 - Rebecq",casapoint,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Après la signature de l’acte,Bon,1,,,145 m²,28 m²,Équipée,17 m²,3,18 m²,14 m²,25 m²,,,2,Non,140 m²,Connecté,Oui,38 m²,450 kWh/m²,F,20140121019382,101 kg CO₂/m²,62469 kWh/an,Gaz,,Oui,250.000 €,,,Oui,,,,,,,,,,,,,451 €,2,,1,"Chaussée de Mons 35
1430 - Rebecq",casapoint,,,,,,,,,,,,,,,,Zone non inondable,,,,1,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
137,,À rafraîchir,1,2,130 m²,Semi-équipée,,2,,1,,,,,,Non,1277 m²,Oui,,,,C,20210510015316,Non communiqué,47807 kWh/an,Non,310.000 €,,,1.541 €,"Rue De Mons 46
1480 - Tubize",,,,,,238 kWh/m²,,,,,,,,,Non,4,,2,2706 - 2292,,,1991,,,2,,,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Après la signature de l’acte,Bon,1,2,200 m²,50 m²,Hyper équipée,5,,1,,,,,,Non,1199 m²,22 m,,,,B,Non communiqué,Non communiqué,Non communiqué,Non,,,495.000 €,Non,"Rue De Mons 46
1480 - Tubize",,,,Oui,,,,,,,150 kWh/m²,,,,,4,,1,2717 - 2298,,,2014,15 m,,2,,,Oui,,,,,700 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Après la signature de l’acte,À rafraîchir,,,,110 m²,,,,2,14 m²,13 m²,,,,1,,165 m²,Connecté,,,423 kWh/m²,E,20210818001668,Non communiqué,44302 kWh/an,Gaz,Non,Oui,Faire offre à partir de 179.000 €,Non,,,Oui,,,,,,,,,,,Non,436 €,2,Urbain,,"Chaussée de Mons, 288/1
1480 - Tubize",,,,,,,,,,,Non,Non,Non,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,20 m²,,,,,,Oui,,,,,,,,,,,,,,Freddy DRAMAIX,,,,,,,,,,,,,,,
140,Après la signature de l’acte,À rafraîchir,,,,,,,,3,,,,,,2,,209 m²,Connecté,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Oui,Faire offre à partir de 270.000 €,Non,,,Oui,,,Oui,,,,,,,,Non,909 €,2,,1,"Rue des Frcres Taymans, 34
1480 - TUBIZE",,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanessa POZZAN,Oui,,,,,,,,,,,,,,
141,Après la signature de l’acte,Bon,2,,,135 m²,32 m²,Équipée,17 m²,3,23 m²,11 m²,,,,2,Non,297 m²,,,,558 kWh/m²,G,20120615007522,Non communiqué,Non communiqué,Gaz,,Oui,250.000 €,Non,,Oui,,,,Oui,,,,,,,,,347 €,2,,,"Rue De Mons 46
1480 - Tubize",2802 - 1989,,,,,1,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,À rafraîchir,1,,160 m²,30 m²,Semi-équipée,3,,1,,,,,,Oui,457 m²,520 kWh/m²,,,,G,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,205.000 €,791 €,"Rue De Mons 46
1480 - Tubize",,Non,,,,,,,,,,,,,Non,3,,,2715 - 2296,,,,,,1,,,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,Bon,,,150 m²,Équipée,,3,,1,,,,,,Oui,153 m²,Oui,,,,G,20151208012155,Non communiqué,Non communiqué,Non,,,Zone non inondable,510 €,"Rue De Mons 46
1480 - Tubize",,Non,,,,529 kWh/m²,,,,,,,,,Non,2,,2,2657 - 1487,,,,,,,Oui,,Oui,,,,,,,,250.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Après la signature de l’acte,Bon,,,,170 m²,30 m²,Équipée,12 m²,4,20 m²,16 m²,15 m²,14 m²,,2,Non,471 m²,,,25 m²,340 kWh/m²,D,20210611003371,63 kg CO₂/m²,49179 kWh/an,Gaz,,Oui,275.000 €,Non,,Oui,,,,,,,,,,,,,506 €,2,,1,"Rue De Mons 46
1480 - Tubize",2727 - 1618,,,,,1,,,Non,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,Bon,,,200 m²,Pas équipée,,4,,1,,,,,,9 m²,575 m²,Oui,,,339 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,300.000 €,472 €,"Rue De Mons 46
1480 - Tubize",,Non,,,20 m²,,,,,,,Sud-est,,,Non,2,,1,2858 - 2337,,,,,,2,Oui,,Gaz,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Après la signature de l’acte,Bon,,10,160 m²,35 m²,Équipée,25 m²,4,17 m²,16 m²,13 m²,12 m²,1,,Oui,1603 m²,Oui,,,326 kWh/m²,D,20210302012378,82 kg CO₂/m²,64902 kWh/an,Non,Oui,,310.000 €,427 €,"Rue De Mons 46
1480 - Tubize",,Non,,,25 m²,,,,,,,Sud,,,Non,4,,1,2697 - 2238,,,,,,,,,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,1,,,200 m²,80 m²,Hyper équipée,20 m²,3,16 m²,14 m²,10 m²,,,1,Non,250 m²,,,50 m²,230 kWh/m²,C,20160902012507,Non communiqué,38990 kWh/an,Gaz,,Oui,378.900 €,Non,,Oui,Oui,150 m²,,,,,Non,Oui,,,,,,2,,1,"Rue du Virginal 83
7090 - Hennuyères",4252206,,2017,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 m²,,,,,,,,,,,,,,,,,,
148,,À rénover,2,,,240 m²,,Semi-équipée,,4,,,,,,2,Non,400 m²,,,,450 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,195.000 €,Non,,,,,,Oui,,,,,,,,,775 €,,,1,"Rue De Mons 46
1480 - Tubize",2793 - 2321,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,Bon,1,,250 m²,45 m²,Semi-équipée,6,,1,,,,,,Oui,707 m²,550 m²,,,,E,20210503005944,Non communiqué,Non communiqué,Non,Oui,,315.000 €,881 €,"Rue De Mons 46
1480 - Tubize",,Non,,358 kWh/m²,,,,,,,,,,,Non,,,2,2718 - 2299,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
