,À partir de,État du bâtiment,Nombre de façades,Parkings intérieurs,Salon,Type de cuisine,Salles de bains,Salles de douche,Toilettes,Cave,Meublé,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Disponible le,Quartier ou lieu-dit,Visite virtuelle,Permis de bâtir obtenu,Année de construction,Parkings extérieurs,Surface habitable,Surface du salon,Salle à manger,Combien de feux ouverts ?,Chambres,Buanderie,Surface de la cave,Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Nom de l'agent,Type d’environnement,Dressing,Bureau,Attestation de conformité des citernes à mazout,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Revenu cadastral,Référence externe,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Chauffe-eau commun,Surface de la cuisine,Niveau E (performance énergétique globale),Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Ascenseur,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Largeur de la façade à rue,Grenier,Largeur du terrain à rue,Parlophone,Piscine,Surface constructible totale au sol,Lieu de la vente,Séance unique,Modalités de visite,Isolé,Informations supplémentaires,Mise à prix,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Espace professionnel,Concierge,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Type de construction,Surface de bureau,Surface de l'espace professionnel,Surface du grenier,Vue sur mer,Pourcentage loué,Revenu mensuel actuel,Nombre d'annexes,Charges mensuelles,Jardin,Description libre du PEB
81,À définir,Excellent état,2,1,,,1,,2,,,260 m²,205 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,395.000 €,Non,"Oudesmidsestraat 20
1700 - Dilbeek",4505988,,,,,,1,169 m²,40 m²,,,3,,,,,21 m²,,,,,,,,,,,,,666 €,,,,,,,,Oui,,,14 m²,,,,,Zone non inondable,,,,5 m,,5 m,,,,,,,,,,20 m²,11 m²,20 m²,,,,,,,,,,,,,,,,,,,,
82,Après la signature de l’acte,Bon,2,1,,Équipée,2,1,2,Oui,Non,332 m²,388 kWh/m²,G,Non communiqué,100 kg CO₂/m²,Non communiqué,Mazout,Oui,515.000 €,Oui,"Rue Zeyp 17
1083 - Ganshoren",4309492,1 mars 2021 - 00:00,,,,1941,,230 m²,27 m²,Oui,,6,,,260 m²,,,,,,,,,,,Oui,,,,2.382 €,,,,,,,,,Oui,,7 m²,,,,,,,,,6 m,,,,,70 m²,,,,,,,14 m²,14 m²,13 m²,13 m²,6 m²,,,,Oui,,,,,16 m²,30 m²,,,,,,,,
83,Immédiatement,,2,,Oui,Hyper équipée,1,1,4,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,550.000 €,Oui,"Chaussee de la Hulpe 268
1170 - Watermael-Boitsfort",4311875,,Bruxelles (19 communes),,,1950,,265 m²,,,,1,,,,,111 m²,,,,,,,,,Oui,,,,2.484 €,,,,,,,,Non,,,,,,,,,,,,5 m,,5 m,,,365 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Après la signature de l’acte,Excellent état,3,,,Américaine hyper-équipée,1,1,2,Oui,Non,127 m²,Non communiqué,Non communiqué,20180330-0000525047-01-6,Non communiqué,Non communiqué,,Oui,450.000 €,Non,,,,,,Oui,1960,,240 m²,,,,3,,,25 m²,,14 m²,,,Non,Non,Non,,,Non,Non,,,,1.235 €,,Non,Non,Non,Non,Non,,Oui,,Oui,,,,,Non,Zone non inondable,Non,Non,Oui,,,,Non,Non,,,,,,,,29 m²,15 m²,13 m²,,,Non,Non,Non,Non,Non,Non,Non,,,90 m²,,,,,,,,
85,Selon le locataire,Bon,2,,Oui,Équipée,4,,4,Oui,,262 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,775.000 €,Oui,"Avenues Charles Quint 114
1083 - Ganshoren",,,,,,1953,,350 m²,,,,7,,,145 m²,,21 m²,,,,,,,,,,,,,3.021 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Après la signature de l’acte,Bon,3,,,Semi-équipée,1,,2,Oui,,252 m²,342 kWh/m²,F,Non communiqué,68 kg CO₂/m²,Non communiqué,Gaz,Oui,2.500 €,Non,"Avenues Charles Quint 114
1083 - Ganshoren",,,,,,1960,,165 m²,31 m²,,1,4,,,200 m²,,10 m²,,,,,,,,,,,,,1.343 €,,,,,,,,,,,11 m²,,,,,,,,,,,,,,,,,,,,,14 m²,11 m²,7 m²,,,,,,,,,,,,,25 m²,,,,,,,
87,Après la signature de l’acte,,2,,,Américaine semi-équipée,1,,2,Oui,,57 m²,328 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,289.000 €,Non,"Avenues Charles Quint 114
1083 - Ganshoren",,,,,,1930,,115 m²,33 m²,,,3,,,,,14 m²,,,,,,,,,,,,,587 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 m²,16 m²,12 m²,,,,,,,,,,,,,,,,,,,,
88,Après la signature de l’acte,Excellent état,2,,,Équipée,,2,3,Oui,Non,,209 kWh/m²,D,20121122-0000126858-01-0,45 kg CO₂/m²,Non communiqué,Gaz,Oui,480.000 €,Non,"Avenue Van Overbeke 55, B 7
1083 - Ganshoren",,,,,,,,193 m²,30 m²,,,4,,,63 m²,,60 m²,,Non,,,,,,,,,,,1.637 €,1508 - 2420,,,,,,,Oui,,,,,,,,,,,,6 m,,,Oui,,,,,,,,,21 m²,20 m²,14 m²,12 m²,,,,,,,,,,,,,,,,,,,
89,À définir,Excellent état,2,,,,4,3,4,Oui,,243 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,895.000 €,Oui,"Rue Zeyp 17
1083 - Ganshoren",4453604,,,,,1950,,590 m²,,,,4,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,12 m,Oui,12 m,,,640 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,À définir,Excellent état,2,,,,4,3,4,Oui,,243 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,895.000 €,Oui,"Rue Zeyp 17
1083 - Ganshoren",4453607,,,,,1950,,590 m²,,,,4,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,12 m,Oui,12 m,,,640 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Après la signature de l’acte,Excellent état,2,1,,Américaine hyper-équipée,2,2,2,,Non,198 m²,169 kWh/m²,D,D+,33 kg CO₂/m²,Non communiqué,,Oui,595.000 €,Non,"Avenue des Cerisiers, 95
1200 - Woluwe-St-Lambert",4288810,1 juin 2021 - 00:00,,,Oui,2002,3,249 m²,35 m²,Oui,,3,,,70 m²,,111 m²,,,,,,,Isolé,,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",2.469 €,,,,,,,Connecté,Oui,,,14 m²,,Oui,Non,Non,,Non,Non,Oui,12 m,Oui,12 m,,Non,249 m²,,,,,,,17 m²,14 m²,12 m²,,,,,,,,,,,9 m²,,,,,,,,,
92,,Bon,4,,,Semi-équipée,2,,2,,Non,156 m²,332 kWh/m²,F,20210709-0000592373-01-3,Non communiqué,Non communiqué,Gaz,Oui,275.000 €,Non,"chaussée de Liège 36
6900 - Marche-en-Famenne",Jette,,,,,,,125 m²,15 m²,,,3,,,156 m²,,15 m²,Nord,Non,,,,,,Non,Non,,,,540 €,,Non,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,À définir,Excellent état,2,,,Équipée,1,,2,Oui,Non,250 m²,136 kWh/m²,C,20121109-0000127526-01-6,Non communiqué,Non communiqué,Gaz,Oui,639.000 €,Non,"Avenue François Sebrechts 26
1080 - Molenbeek",4520209,,,,,2005,,170 m²,44 m²,,,5,,,135 m²,,13 m²,,,,,,,,,,,,,,,,,,,,,Oui,,,8 m²,,,,,,Non,Non,Oui,6.6 m,,,,Non,,,,,,,,16 m²,13 m²,13 m²,11 m²,10 m²,,,,Oui,,,,,,,,,,,,,,
94,Immédiatement,,,113,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3954592,,30 décembre 2020 - 00:00,Bruxelles,33 kWh/m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Après la signature de l’acte,Excellent état,3,1,,Équipée,2,,3,,Non,367 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,565.000 €,Non,"Brusselsesteenweg 65
1850 - Grimbergen",1816753 - VKG-2021-0,,,,,2008,3,178 m²,31 m²,,,4,,,,,,,Non,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,2.135 €,,,,,,,,Oui,,,,,,,,,,,Oui,630 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,À définir,Bon,4,2,Oui,Équipée,2,2,4,Oui,,951 m²,473 kWh/m²,G,202103030000583777-01-8,75 kg CO₂/m²,Non communiqué,Électrique,Oui,1.649.000 €,Non,"Cours St Michel 93
1040 - Etterbeek",4310270,,,,,1990,2,440 m²,,,,5,,,,,89 m²,,,,,,,,,Oui,,,,4.474 €,,,,,,,Connecté,Non,,,20 m²,,,,,Zone non inondable,,,Oui,10 m,Oui,,Oui,,,,,,,,,27 m²,17 m²,17 m²,16 m²,23 m²,,,,Oui,,,,,14 m²,14 m²,,,,,,,,
97,,,3,,,,27 m²,,,,Non,Non connecté,G,20190513-0000549289-01-5,118 kg CO₂/m²,Non communiqué,97197,Non,Non,Non,"Place du Châtelain 35
1050 - Ixelles",,,,,213 m²,,,,Oui,,4,,1,,Non,,,,,,Non,Non,Non,,,,,,,530.000 €,,,110 m²,,,,,Oui,97197 kWh/m²,,Oui,,Gaz,Non,Non,Zone non inondable,Autre type de zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,À définir,Bon,2,,,Équipée,1,,1,Oui,Non,120 m²,480 kWh/m²,G,20210920­0000595951­01­6,Non communiqué,Non communiqué,Gaz,Oui,345.000 €,,"rue Bruyère Saint-Jean 142
1410 - Waterloo",Pascal Lauriers,,,,Oui,1947,,150 m²,36 m²,Oui,,3,Oui,,,,,,,,,,,,,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",1.103 €,,,,,,Oui,Connecté,Oui,Oui,,12 m²,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,19 m²,18 m²,12 m²,,,,,,,,,,,12 m²,,,,,,,,,
99,Après la signature de l’acte,Fraîchement rénové,2,,,Américaine hyper-équipée,,,2,Oui,,,439 kWh/m²,G,20161102-0000360526-01-5,Non communiqué,Non communiqué,,Oui,429.000 €,Non,"Avenue Louise 54
1050 - Bruxelles",,,,,,,,140 m²,,,,3,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,Fraîchement rénové,2,1,,Semi-équipée,4,,5,,Non,247 m²,323 kWh/m²,F,585372,Non communiqué,Non communiqué,Gaz,Oui,875.000 €,Non,"James Ensorlaan 39
1800 - Vilvoorde",1979739 - 1264,1 octobre 2021 - 00:00,,,,1949,1,387 m²,36 m²,Oui,1,5,,30 m²,102 m²,Sud-ouest,2 m²,,Non,,,,,,,,,,,3.130 €,,,,,,,,,,,19 m²,,,,,,,,Oui,,,7.5 m,,,,,,,,,,26 m²,21 m²,16 m²,14 m²,14 m²,,,,,,,,,,,,,,,,,,
101,,À rénover,2,,,Semi-équipée,1,,3,Oui,Non,220 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,595.000 €,Oui,"Meyskensstraat 222
1780 - Wemmel",1781912 - 2021/058/Y,,,,,,,335 m²,1 m²,,,2,,,,,1 m²,,Non,,,,,,,,,,,2.716 €,,,,,,,,Oui,,,,,,,,,,,,,,11.5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Après la signature de l’acte,Excellent état,2,2,,Hyper équipée,3,2,3,,Non,160 m²,373 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,549.000 €,Non,"Chausée de Wavre 1004
1160 - Auderghem",,,,,,,2,235 m²,60 m²,,,3,,,,,45 m²,,,,,,,,,,,,,,4365309,Oui,,,,,Connecté,Oui,,,8 m²,,,,,,,Non,,13 m,,13 m,,,150 m²,,,,,,,16 m²,12 m²,100 m²,,,,,,,,,,,,,,,,,,,,
103,Selon le locataire,Excellent état,2,,,,2,2,4,Oui,,,275 kWh/m²,E,1807012,55 kg CO₂/m²,Non communiqué,Gaz,Oui,399.000 €,Non,"Chausée de Wavre 1004
1160 - Auderghem",,,,,,1954,,155 m²,14 m²,,,4,,,,,25 m²,,,,,,,,,Oui,,,,,4506108,,,,,,Connecté,Oui,,,13 m²,,,,,,,,,5 m,,5 m,Oui,,70 m²,,,,,,,14 m²,14 m²,12 m²,11 m²,,,,,,,,,,8 m²,,,,,,,,,
104,Après la signature de l’acte,Excellent état,4,4,,Hyper équipée,4,,,Oui,Non,1952 m²,150 kWh/m²,C,20190708-000055865-01-2,30 kg CO₂/m²,Non communiqué,Gaz,,2.260.000 €,Non,"Avenue Capouillet 58 A
1410 - Waterloo",,,,,,2000,,1176 m²,69 m²,Oui,1,6,,,,,28 m²,Sud,,,,,,,Oui,Oui,,,,,,,,,,,,Oui,,,35 m²,,,,,,Oui,,Oui,,,,,Oui,,,,,,,,42 m²,33 m²,24 m²,26 m²,12 m²,Oui,,,,,,,,21 m²,63 m²,,,,,,,,
105,,À rafraîchir,3,1,,Semi-équipée,2,2,2,,,303 m²,166 kWh/m²,D,20130314-0000152737-01-4,166 kg CO₂/m²,Non communiqué,Gaz,,439.000 €,Non,"Avenue François Sebrechts 26
1080 - Molenbeek",4225510,,,,,,2,200 m²,30 m²,,,5,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,Oui,Oui,,8 m²,,Non,Non,,Zone non inondable,Non,,Oui,,,,,Non,24 m²,,,,,,,23 m²,16 m²,19 m²,17 m²,12 m²,,,,,,,,,,,,,,,,,,
106,,,2,,,Équipée,1,,2,Oui,Non,80 m²,769 kWh/m²,G,20170109-0000359887-01-3,164 kg CO₂/m²,Non communiqué,,Non,595.000 €,Oui,"Rue F. Vekemans 121
1120 - Neder-over-Heembeek",1886,,,,,,,160 m²,41 m²,Oui,,2,,,,,6 m²,,Non,Non,Non,Non,,,,,,,,2.350 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Après la signature de l’acte,,,1,,,3,,4,Oui,Non,290 m²,342 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Oui,650.000 €,Oui,"Venelle de la réserve 2
1300 - Wavre",5439 - 5123,,,,,,,300 m²,,,,7,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,15 m²,,,,,,,,,,,,,,,,,,,,,20 m²,20 m²,18 m²,17 m²,17 m²,,,,,,,,,,,,,,,,,,
108,5,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,PEB: E-F,420.000 €,,,,Marysia PARIS,,,,,132 m²,,,,,,,,Non communiqué,,,,,,,,,,,,,,,,,,"rue de Ligne, 13
1000 - Bruxelles ville",,,,,,,,,,,,,,,,,,,,,,,,,,Non,"mardi 28/9, 5 et 12/10 de 18-20h et sam. 2, 9 et 16/10 de 11-13h. MASQUE OBLIGATOIRE.",À définir,,1.375 €,Non,,,,,,,,,,,,,,,,,,,,,,,
109,Après la signature de l’acte,À rafraîchir,2,1,,Pas équipée,1,,2,Oui,Non,,353 kWh/m²,G,Non communiqué,69 kg CO₂/m²,Non communiqué,Gaz,,399.000 €,Non,"Place de l'ancienne Barrière 1
1090 - Jette",4418416,1 novembre 2021 - 00:00,,,,1930,,170 m²,27 m²,,,4,,,35 m²,,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,,13 m²,,,,,,,,,,,,,,,,,,,,,13 m²,13 m²,19 m²,10 m²,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,695.000 €,Oui,"Romeinsesteenweg 566
1853 - Strombeek-Bever",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chaussée de Wemmel 5,,Non,Non,Non,Non,Non connecté,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Après la signature de l’acte,À rénover,2,,,Équipée,1,1,1,Oui,Non,,536 kWh/m²,G,593749,Non communiqué,Non communiqué,Gaz,Oui,185.000 €,Non,"Brusselsesteenweg 594
1731 - Zellik",4448976,,,,,1899,,115 m²,26 m²,,,2,,,,,,,,,,,,Urbain,,,,,,384 €,,,,,,,,Oui,,,9 m²,,,,,,,,,3.15 m,Oui,3.15 m,,,,,,,,,,13 m²,12 m²,,,,,,,,,,,,,,,,,,,,,
112,,,2,,,Équipée,,1,1,,Non,85 m²,428 kWh/m²,G,Non communiqué,83 kg CO₂/m²,Non communiqué,Gaz,Oui,320.000 €,Non,"Av. Houba de Strooper 618
1020 - Laeken",4391,,,,,,,140 m²,27 m²,,,3,,,,,18 m²,Sud-ouest,Non,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,969 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Après la signature de l’acte,Fraîchement rénové,2,,,Équipée,2,1,4,Oui,,186 m²,193 kWh/m²,D,20110919-0000015674-01-9,40 kg CO₂/m²,Non communiqué,Gaz,Oui,475.000 €,Non,"Chée de Vleurgat, 177
1050 - Ixelles",63973,,,,,1926,,238 m²,50 m²,Oui,,5,,,115 m²,Ouest,10 m²,Ouest,,,,,,,,,,,,1.105 €,,,,,,,,Oui,,Oui,,,,,,,,,,55 m,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Après la signature de l’acte,Excellent état,2,,,,,,,Oui,Non,1 m²,Non communiqué,Non communiqué,20210427-0000587605-01-4,Non communiqué,Non communiqué,,,378.000 €,Non,,,,,,,,,161 m²,,,,4,,,,,,,,,,,,,Non,Non,,,,760 €,,Non,Non,Non,Non,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,Toutes sortes,,,,,,,,,,"Située au coeur de Jette, nous vous proposons cette maison unifamiliale (141 m2) rénovée avec une cave (+/- 20m2). Maison divisée : Le Rez-de-chaussée se compose d’un petit appartement et le premier et deuxième étage d’un duplex.La maison se situe à proximité d’écoles, de commerces, de transports en commun et d’un parc. L’appartement (+/- 56m2) se compose d’un salon spacieux avec cuisine ouverte, une chambre et une salle de bain. Le duplex est composé d’un hall d’entrée, d’une cuisine, d’un salon, 2 chambres, salle de bain, wc séparé et terrasse arrière (+/- 6m2). Contact - 0477863031"
115,Après la signature de l’acte,Bon,3,1,,Hyper équipée,2,2,2,,Non,423 m²,Non communiqué,Non communiqué,20200929­0000575643­01­6,Non communiqué,Non communiqué,Gaz,Oui,690.000 €,Non,,,,,,Oui,2008,2,,,,,4,Oui,,300 m²,Sud,20 m²,Sud,,Non,Non,Non,,,Non,Non,,Non,,4.545 €,,Non,Non,Non,Non,Non,Connecté,Oui,,Oui,,,Oui,Non,Non,Zone non inondable,Non,Non,Non,6 m,,,Oui,Non,,,,,,,,40 m²,15 m²,12 m²,9 m²,,Non,Non,Non,Oui,Non,Non,Oui,Maison bel-étage,,,,,,,,,,
116,Après la signature de l’acte,Excellent état,,,,Équipée,1,1,,Oui,,,268 kWh/m²,E,20120530-0000090364-01-4,58 kg CO₂/m²,Non communiqué,Gaz,Oui,555.000 €,Oui,"Avenue de Woluwe-Saint-Lambert 35
1200 - Woluwe-Saint-Lambert",798/17449,,,,,1932,,195 m²,,,,3,,,,,,,,,,,,,,Oui,,,,1.517 €,,,,,,,Connecté,Oui,,,6 m²,,,,,,Non,,Oui,,Oui,,,,,,,,,,,13 m²,10 m²,8 m²,,,,,,Oui,,,,,,,,,,,,,,
117,,,3,1,,Équipée,1,1,2,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,449.999 €,Non,"Av. Houba de Strooper 618
1020 - Laeken",4376-1,1 février 2022 - 00:00,,,,1913,1,150 m²,45 m²,Oui,,4,,1 m²,40 m²,Est,16 m²,,Non,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,1.306 €,,,,,,,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Après la signature de l’acte,Excellent état,2,,,Hyper équipée,1,2,3,Oui,Non,115 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,449.000 €,Non,,,,,,,,,,38 m²,Oui,,5,Oui,,1 m²,,1 m²,,,Non,Non,Non,,,Non,Oui,,,,,,Non,Non,Non,Non,Non,,Oui,,Non,11 m²,,,,,,Non,Non,Non,,Oui,,Oui,Non,,,,,,,,17 m²,17 m²,16 m²,16 m²,10 m²,Oui,Non,Non,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,
119,,,2,,,Équipée,3,,3,,Non,,390 kWh/m²,G,Non communiqué,78 kg CO₂/m²,Non communiqué,Gaz,Oui,475.000 €,Oui,"Av. Houba de Strooper 618
1020 - Laeken",4356-1,,,,,1970,,150 m²,23 m²,,,3,,1 m²,70 m²,Est,,,Non,Non,Non,Non,,,,,,,,1.708 €,,,,,,,,,Oui,,1 m²,,,,,,,,,,,1 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
120,,,3,,,Équipée,1,,2,Oui,Non,80 m²,769 kWh/m²,G,Non communiqué,164 kg CO₂/m²,Non communiqué,Gaz,Oui,595.000 €,Oui,"Rue Pierre Timmermans, 23
1090 - Jette",3005,,,,,,,160 m²,41 m²,Oui,,2,,,,,6 m²,Sud,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,3,,,Pas équipée,1,,1,Oui,Non,,1184 kWh/m²,G,Non communiqué,189 kg CO₂/m²,Non communiqué,Électrique,Non,289.000 €,Non,"Rue Pierre Timmermans, 23
1090 - Jette",2999,,,,,,,96 m²,25 m²,,,2,,,133 m²,,,,Non,Non,Non,Non,,,,,,,,907 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,2,,Oui,Équipée,1,1,2,Oui,Non,,336 kWh/m²,F,Non communiqué,67 kg CO₂/m²,Non communiqué,Gaz,Oui,415.000 €,Oui,"Rue Pierre Timmermans, 23
1090 - Jette",2997,,,,,,,220 m²,,,,4,,,,,,,Non,Non,Non,Non,,,,,,,,3.335 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,2,,,Équipée,,1,2,Oui,Non,,614 kWh/m²,G,20210329-0000585604-01-7 G,123 kg CO₂/m²,Non communiqué,Gaz,Non,285.000 €,Non,"Rue Fransman 15
1020 - Laeken",,,,,,,,120 m²,45 m²,,,3,,,,,,,Non,Non,Non,Non,,,,Oui,,,,869 €,11838-1-1,,,,,,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,13 m²,12 m²,9 m²,,,,,,Oui,,,,,4 m²,,,,,,,,,
124,,,2,,,Pas équipée,,1,2,,Non,,609 kWh/m²,G,Non communiqué,96 kg CO₂/m²,Non communiqué,Gaz,Oui,349.000 €,Non,"Rue Pierre Timmermans, 23
1090 - Jette",2986,,,,,,,210 m²,31 m²,Oui,,5,,,92 m²,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Immédiatement,,,113,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3954592,,30 décembre 2020 - 00:00,Bruxelles,33 kWh/m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,2,,,Équipée,1,,2,Oui,Non,,525 kWh/m²,G,Non communiqué,105 kg CO₂/m²,Non communiqué,Gaz,Oui,419.000 €,Non,"Rue Pierre Timmermans, 23
1090 - Jette",2951,,,,,,,150 m²,26 m²,,,4,,,40 m²,,,,Non,Non,Non,Non,,,,,,,,1.167 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Après la signature de l’acte,,2,,,,,,,,,472 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,2.300.000 €,Oui,,,,,,Oui,,,,,,,,,,255 m²,Sud,,,,Non,Non,Non,,Urbain,,,,,,,,Non,Non,Non,Non,Non,Connecté,Oui,,Non,,,,,,Zone non inondable,Oui,Non,Non,,,,Non,Non,,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Immeuble à appartements,,,,,,,,,,
128,,,2,,,Pas équipée,1,,2,Oui,Non,,492 kWh/m²,G,Non communiqué,96 kg CO₂/m²,Non communiqué,Gaz,Oui,449.000 €,Non,"Rue Pierre Timmermans, 23
1090 - Jette",2965,,,,,,,230 m²,37 m²,,,4,,,40 m²,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,À définir,Excellent état,2,,,Hyper équipée,1,1,2,,Non,65 m²,473 kWh/m²,G,20151015-0000308757-01-7,102 kg CO₂/m²,Non communiqué,Gaz,Oui,328.000 €,Non,,,,,,,1928,,120 m²,21 m²,,,3,,9 m²,14 m²,Sud-est,,,,Non,Non,Non,,,Oui,Non,,,,860 €,,Non,Oui,Non,Non,Oui,Connecté,Oui,,Non,11 m²,,,,,Zone non inondable,Non,Non,Non,5 m,,,Oui,Non,,,,,,,,16 m²,8 m²,14 m²,,,Non,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,12 m²,,,,,,,
130,Après la signature de l’acte,Bon,2,1,,Semi-équipée,2,2,3,,Non,154 m²,242 kWh/m²,E,Non communiqué,48 kg CO₂/m²,Non communiqué,Gaz,,499.000 €,Non,"Place Colignon 47
1030 - Schaerbeek",4358527,,,,,1985,1,240 m²,40 m²,,,5,,,50 m²,,30 m²,,,,,,,Urbain,,Oui,,,,2.471 €,,,,,,,,,,,16 m²,,,,,,Non,Non,,,,,Oui,Non,,,,,,,,13 m²,14 m²,14 m²,13 m²,21 m²,,,,,,,,,8 m²,,,,,,,,,
