,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Salles de douche,Surface de bureau,Bureau,Cave,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Adresse,Site internet,Visite virtuelle,Immeuble de rapport,Disponible le,Toilettes,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Piscine,Largeur de la façade à rue,Surface de la cave,Largeur du terrain à rue,Niveau E (performance énergétique globale),Charges mensuelles,Revenu cadastral,Référence externe,Pourcentage loué,Revenu mensuel actuel,Nom de l'agent,Surface de la chambre 5,Attestation as-built,Interphone vidéo,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Accès sécurisé / alarme,Climatisation,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Surface constructible totale au sol,Type de construction,Autorisation de lotissement,Jardin,Terrasse,Salon,Surface de l'espace professionnel,Type de zone inondable,Droit d'achat prioritaire possible,Salle à manger,Grenier,Attestation de conformité des citernes à mazout,Buanderie,Description libre du PEB,Nom du bien,Surface du grenier,Isolé,Obligation de construire,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix
54,,,,,2,,,,200 m²,15 m²,,Équipée,,3,18 m²,18 m²,12 m²,,1,1,,,Oui,Non,90 m²,,,,,15 m²,,Non communiqué,Non communiqué,C,Non communiqué,Non communiqué,Gaz,Oui,,,,780.000 €,"Rue Des Carmélites 88
1180 - Uccle",14881DB,,Oui,,2,,,Oui,,,,,,,1.484 €,,,,,,Non,,,,,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,
55,Après la signature de l’acte,,1918,Bon,2,,,Urbain,178 m²,,,Semi-équipée,,4,15 m²,15 m²,15 m²,10 m²,1,3,,,Oui,,10 m²,,Oui,10 m²,,,,338 kWh/m²,F,Non communiqué,65 kg CO₂/m²,Non communiqué,Gaz,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",520.000 €,"Avenue Louise 160 Rez
1050 - Bruxelles",4430675,,Non,24 juin 2021 - 00:00,1,,,,,5.3 m,,,,,1.065 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,Zone d'inondation reconnue,,,,,,,,,,,,,,,
56,Selon le locataire,,1975,Bon,2,1,,,327 m²,,,,,8,,,,,4,,,,,Non,212 m²,,Oui,,,,,653 kWh/m²,G,590322,Non communiqué,Non communiqué,Gaz,,,,,897.000 €,"Sint-Annalaan 209
1853 - Strombeek-Bever",4498152,,Oui,,,,,,,,,,,,2.221 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
57,Après la signature de l’acte,Bruxelles (19 communes),1950,Bon,2,,,Urbain,1250 m²,,,Pas équipée,,25,10 m²,10 m²,10 m²,10 m²,1,,,,,,348 m²,Connecté,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,1.350.000 €,"Rue Franklin 90
1000 - Bruxelles ville",4497894,,Oui,,,Oui,Non,,Non,,,,,,,,,,,10 m²,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,
58,Après la signature de l’acte,Bruxelles,1920,À rénover,2,,,,14 m²,,,,6,22 m²,15 m²,11 m²,15 m²,11 m²,3,,,,,,,75 m²,,328 kWh/m²,,,,F,Non communiqué,65 kg CO₂/m²,Non communiqué,Gaz,499.000 €,,,,,941 €,4519229,,220 m²,"Rue Archimède 93b
1000 - Bruxelles ville",,Oui,,,,,5.5 m,,,,,Non,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,
59,Selon le locataire,,1918,À rénover,2,,,Urbain,198 m²,,,Pas équipée,,4,,,,,4,,,,Oui,Non,38 m²,,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,429.750 €,"Brusselsesteenweg 594
1731 - Zellik",4431399,,Oui,,6,,,,,,,6 m,,,745 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
60,Immédiatement,,,Excellent état,2,,,Urbain,220 m²,,,Américaine équipée,,3,30 m²,30 m²,11 m²,,,3,,Non,,Non,100 m²,Connecté,Oui,,,50 m²,,Non communiqué,Non communiqué,20130402-0000154768-01-6,43 kg CO₂/m²,Non communiqué,Gaz,Oui,Oui,,,570.000 €,,,,Non,,,Non,Non,Oui,Non,,,,,,,,,,,,,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,,,,,,Oui,,Zone non inondable,,Oui,,,Oui,,,,,,,,,,
61,Après la signature de l’acte,,1865,Bon,2,,,Aménagé,,,,,,,,,,,,,,,,,150 m²,,Non,40 m²,Nord-est,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,,,845.000 €,,,,Oui,,,,,,,6 m,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,,Immeuble à appartements,,,,,,,,,,,,,,,,,,,,,
62,Immédiatement,,,À rénover,2,,,Urbain,240 m²,,,Pas équipée,,5,12 m²,12 m²,12 m²,12 m²,5,5,,,,,85 m²,,,30 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,695.000 €,"Avenue Louise 160 Rez
1050 - Bruxelles",4500344,,Oui,10 septembre 2021 - 00:00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Après la signature de l’acte,,1902,,2,,,,260 m²,,,,,,,,,,,,,Non,,Non,90 m²,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,,,775.000 €,,,,Non,,,,,,,6 m,,,,,2.456 €,,,,,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,,,,,,,,Zone non inondable,,,,,,En cours,,,,,,,,,
64,Selon le locataire,,1906,À rafraîchir,2,,,,200 m²,,,,,4,9 m²,9 m²,9 m²,9 m²,4,4,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,485.000 €,"Parvis St-Pierre, 15
1180 - Uccle",4520775,,Non,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,
65,Selon le locataire,Saint-gilles,1918,Bon,2,,,,280 m²,,,,,8,,,,,7,,,Non,Oui,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,599.000 €,"Rue de Laeken 91
1000 - Bruxelles",,,Oui,,,,,,,,,,,,,798/17191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Après la signature de l’acte,,1892,À rafraîchir,2,,,,450 m²,46 m²,,Équipée,11 m²,5,24 m²,21 m²,24 m²,22 m²,2,,,,Oui,Non,243 m²,Connecté,Oui,135 m²,,10 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,,,1.300.000 €,"RUE FRANZ MERJAY 148 C
1050 - Ixelles",,,Non,,3,Non,Non,Oui,,,,6.8 m,,,2.017 €,3664386,,,,8 m²,,,,,,,,,,,,,,,,,,,,111 m²,,Non,,,,,,Non,Oui,Oui,,,,,,,,,,,,
67,Immédiatement,,,À rénover,2,,,,297 m²,,,,,5,,,,,3,,,Non,,Non,70 m²,,Non,,,14 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,545.000 €,,,,Non,,,,,,,5 m,,,,,1.142 €,,,,,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,
68,Après la signature de l’acte,,,Excellent état,2,,,,300 m²,,,,,4,,,,,,3,,Oui,Oui,,140 m²,,,,,,,164 kWh/m²,D,20201203-0000579176-01-2,32 kg CO₂/m²,Non communiqué,,,,,,1.095.000 €,"Rue de Laeken 91
1000 - Bruxelles",,,Oui,,,Non,,Oui,,,,,,,884 €,798/17165,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,Oui,,,,,,,,,,,,
69,,,1920,À rénover,2,,,,368 m²,,,Équipée,,14,14 m²,,,,,14,,,Oui,,91 m²,,,,,,,662 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,550.000 €,"RUE FRANZ MERJAY 148 C
1050 - Ixelles",,,Oui,,14,,,,,6 m,,,,,,4520842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
70,,,1932,,2,1,,,485 m²,,,,,6,,,,,1,4,,,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,1.250.000 €,"Rue Pierre Timmermans, 23
1090 - Jette",2966,,Oui,,5,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,
71,Selon le locataire,,,,,1,,,170 m²,31 m²,,,9 m²,5,22 m²,12 m²,12 m²,12 m²,,2,,Non,,Non,170 m²,Non connecté,Non,,,15 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,Non,,439.000 €,"Avenue de la Chasse, 164
1040 - Etterbeek",5922169,,Non,,,,,,,,10 m²,,,,,,,,,12 m²,Non,,Non,,Non,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,170 m²,,Non,,,,,,Non,,,Non,,,,,,,,,,,
72,Après la signature de l’acte,Brussel,1918,À rafraîchir,2,,,Urbain,240 m²,32 m²,,Semi-équipée,12 m²,5,15 m²,6 m²,15 m²,15 m²,4,4,,,Oui,Non,65 m²,Connecté,Oui,,,,,357 kWh/m²,G,20210504-0000588103-01-5,71 kg CO₂/m²,Non communiqué,Gaz,Oui,,Non,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",Faire offre à partir de 520.000 €,"Parklaan 59/1
1930 - Zaventem",4437582,,Oui,,4,Non,Non,Oui,,,,6 m,,,971 €,,,,,15 m²,,,,,,,,,,,,,,,,,,,,65 m²,,,,,,,Zone non inondable,Non,Oui,Oui,,,,,,,,,,,,
73,,,1880,À rénover,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",227 m²,20 m²,,Semi-équipée,21 m²,5,21 m²,20 m²,20 m²,18 m²,1,,,Non,Oui,Non,120 m²,Connecté,Oui,51 m²,,2 m²,Nord-ouest,309 kWh/m²,F,20210726-0000593099-01-7,61 kg CO₂/m²,Non communiqué,,Oui,,,,595.000 €,"Rue de Tervaete 35
1040 - Etterbeek",,,Non,,4,,,,,4.21 m,,,,,835 €,3785,,,,19 m²,Non,,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,
74,Selon le locataire,Bruxelles (19 communes),,Bon,2,,,Urbain,,17 m²,,Semi-équipée,,,,,,,3,3,,,,Non,94 m²,,Non,,,,,181 kWh/m²,D,20200730-0000572498-01-0,36 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,695.000 €,"rue de Flandre 197
1000 - Bruxelles ville",4533786,,Oui,1 août 2020 - 00:00,1,Non,Non,Oui,Non,,,,,20 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Immédiatement,,,Excellent état,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",192 m²,,,Hyper équipée,,3,,,,,2,1,,,Oui,,170 m²,Connecté,Oui,,,20 m²,,297 kWh/m²,F,20200624­-0000570393­-01­-0,59 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,645.000 €,"Avenue Château de Walzin 5 bte 16
1180 - Bruxelles",,,,,3,,,,,,,,,,,,,,Zalc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,
76,,,,Fraîchement rénové,2,,,,120 m²,,,Équipée,,4,,,,,,2,,,Oui,Oui,28 m²,,,,,,,243 kWh/m²,E,Non communiqué,48 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,449.000 €,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",3879 - 1889,,Non,,4,,,,,,,,,,384 €,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Après la signature de l’acte,,,,2,1,2,"Zone d'habitat (résidentiel, urbain ou rural)",400 m²,40 m²,,Américaine équipée,18 m²,5,17 m²,12 m²,17 m²,16 m²,1,3,,Oui,Oui,Non,,Connecté,Oui,450 m²,Sud-est,,,399 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,,,880.000 €,"rue Toots Thielemans 43 Bt6
1190 - Forest",,,,,4,,,Oui,,,,,,,,,,,,17 m²,,,,Oui,,,Oui,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,
78,,,,,,,,,325 m²,30 m²,,Équipée,,,,,,,,7,,,Oui,Non,85 m²,,,,,,,250 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,850.000 €,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",4026 - 2027,,Oui,,9,,,,,,,,,,1.896 €,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Selon le locataire,,1907,À rénover,2,,,,323 m²,,,Pas équipée,,5,,,,,5,,,,Oui,Non,100 m²,,,15 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,695.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Oui,,,,,,,6 m,,,,,1.901 €,4309182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Selon le locataire,,,,2,,,,300 m²,,,,,8,,,,,4,5,,,,,,Connecté,Oui,,,,,247 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,850.000 €,"Rue Du Postillon 3
1180 - Uccle",,,Oui,,5,,,,,,,,,,,4454278,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,
81,Après la signature de l’acte,,,Excellent état,2,,,,,,,,,,,,,,,,,,,,70 m²,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Oui,,,980.000 €,,,,Oui,,,,,,,,,,,,1.980 €,,5,4850,,,,,,,,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,
82,Après la signature de l’acte,,,Bon,2,,,,235 m²,37 m²,,,16 m²,2,18 m²,18 m²,,,2,,,Non,Oui,,,Connecté,Oui,,,,,255 kWh/m²,E,20161117-0000363429-01-6,54 kg CO₂/m²,Non communiqué,Gaz,,,,,475.000 €,"Av. Albert 1er 2a
1342 - Ottignies (Limelette)",W6518,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,
83,Après la signature de l’acte,,1900,Excellent état,2,,,,192 m²,,,,,3,,,,,3,,,Non,Oui,,,,,,,20 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,645.000 €,"Rue Edith Cavell 111
1180 - Bruxelles",307/12993,,Non,,,,,,,,,,,,698 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Après la signature de l’acte,,,Bon,2,,,,315 m²,,,,,5,,,,,4,,,,,Non,140 m²,,,40 m²,,20 m²,,262 kWh/m²,E,Non communiqué,52 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,870.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Non,,,,,,,,,,,,,4290808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Après la signature de l’acte,,1934,Bon,2,,,,330 m²,,,,,6,10 m²,15 m²,20 m²,,5,5,,,,,123 m²,Connecté,Oui,30 m²,,30 m²,,127 kWh/m²,C,Non communiqué,28 kg CO₂/m²,Non communiqué,,,,,,720.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Oui,,5,,,Oui,,,,,,,,4400979,,,,,,,,,,,,,,,,,,,,,,,,330 m²,,,,,,,,,,,,,,,,,,,,,,
86,Après la signature de l’acte,,,À rénover,2,,,,220 m²,,,,,4,,,,,1,,,,,Non,96 m²,,,20 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,499.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Non,,,,,,,,,,,,,4416672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
87,Selon le locataire,,,À rafraîchir,2,,,,440 m²,,,,,5,,,,,4,,,,,Non,188 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,650.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Oui,,,,,,,,,,,,,4348777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Après la signature de l’acte,,1900,,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,4,,,,,,,,,,,1 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,700.000 €,"Boulevard de Waterloo 16
1000 - Bruxelles",,,Oui,,,,,,,,,,,,,,,,GOFFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint-Bernard,,,,,,,,
89,Après la signature de l’acte,,,Fraîchement rénové,,,,,,,,,,4,,,,,,,,Non,,Oui,,Non connecté,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,1.095.000 €,"Chaussée de Waterloo 256
1060 - Saint-Gilles",4547105,,Non,,,Non,Non,Non,Non,,,,,,,,,,,,Non,Oui,Non,,Non,Non,Non,Non,Non,Non,Non,,,,,Non,Non,Non,Non,,,,,,,,,,,,Non,,,,,,,,,,,
90,Après la signature de l’acte,,1899,À rénover,2,,,,420 m²,20 m²,,Pas équipée,10 m²,8,20 m²,22 m²,16 m²,13 m²,2,,22 m²,Oui,,Non,252 m²,,,145 m²,,10 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,995.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Non,,,,,,,,,,,,,4380303,,,,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,
91,Selon le locataire,,,À rénover,2,10,10,,600 m²,,,,,5,,,,,3,,,,,Non,300 m²,,,,,25 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,725.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Oui,,,,,,,,,,,,,4405915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Après la signature de l’acte,,,Bon,2,,,,210 m²,,,,,6,,,,,2,,,,,Non,92 m²,,,25 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,750.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Non,,,,,,,,,,,,,4363312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
93,Après la signature de l’acte,,,Bon,2,1,2,,502 m²,,,,,8,,,,,4,,,,,Non,169 m²,,,55 m²,,25 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,1.095.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Non,,,,,,,,,,,,,4346977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,
94,Après la signature de l’acte,,,Bon,2,,,,468 m²,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,650.000 €,"Avenue de Tervueren 175
1150 - Woluwé-St-Pierre",4211035,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Après la signature de l’acte,,,À rénover,2,,,,230 m²,,,Semi-équipée,,4,14 m²,14 m²,14 m²,14 m²,1,,,,Oui,,138 m²,Connecté,Oui,56 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,635.000 €,,,,Oui,,3,,,,,,,,,,1.254 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55 m²,,,,,,,
96,,,,À rénover,2,,,,110 m²,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,285.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Oui,,,,,,,,,,,,,4355864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
97,Selon le locataire,,,Bon,2,,,,962 m²,,,,,21,,,,,21,,,,,Non,220 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,1.650.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Oui,,,,,,,,,,,,,4256375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Selon le locataire,,,À rénover,2,,,,125 m²,,,,,4,,,,,4,,,,,Non,25 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,280.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Non,,,,,,,,,,,,,4405758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Après la signature de l’acte,,1907,À rafraîchir,2,,,Isolé,220 m²,20 m²,,Pas équipée,9 m²,4,14 m²,14 m²,14 m²,12 m²,4,4,,,Oui,Non,65 m²,Connecté,Oui,,,8 m²,,326 kWh/m²,F,Non communiqué,65 kg CO₂/m²,Non communiqué,Gaz,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",450.000 €,"Avenue d'Auderghem, 277
1040 - Etterbeek",4531338,,Oui,,4,Non,Non,Oui,Non,5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
100,Après la signature de l’acte,,1891,À rénover,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",150 m²,31 m²,,Pas équipée,6 m²,4,16 m²,13 m²,12 m²,10 m²,1,1,,,Oui,Non,74 m²,Connecté,Oui,,,14 m²,,498 kWh/m²,G,Non communiqué,99 kg CO₂/m²,Non communiqué,Gaz,,,,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,"Rue Potaerdenberg 31
1070 - Anderlecht",4508328,,Non,15 mars 2021 - 00:00,2,,,,,4.93 m,,4.93 m,,,734 €,,,,,,,,,,,,,,,,,,,,,,,,,64 m²,,,,,,,Zone non inondable,,,,,,,,,,,,,,,
101,À définir,PORTE D'ANDERLECHT - ABATTOIRS,1900,À rénover,2,,,Urbain,370 m²,50 m²,1,Hyper équipée,12 m²,6,20 m²,20 m²,20 m²,16 m²,1,,,,,Non,185 m²,Connecté,Oui,80 m²,Sud-est,15 m²,Sud-est,296 kWh/m²,F,202102260000583462010,58 kg CO₂/m²,Non communiqué,Gaz,,Oui,Non,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",699.000 €,"Avenue René Gobert 26
1180 - Uccle",,,Oui,,2,,,Oui,,7 m,,7 m,,,2.027 €,,,,Cédric Mathonnet,14 m²,,,Oui,Oui,,Oui,Oui,,Oui,,,,,,,,,,,,,Non,,,,100 m²,Zone riveraine délimitée,Non,Oui,Oui,,Oui,,PORTE D'ANDERLECHT - ABATTOIRS,,,,,,,,
102,Après la signature de l’acte,,1909,À rénover,,,,"Zone d'habitat (résidentiel, urbain ou rural)",252 m²,,,Pas équipée,,5,,,,,,2,,,Oui,Non,155 m²,,Oui,65 m²,Sud-est,,,414 kWh/m²,G,20211011-0000597296-01-1,Non communiqué,Non communiqué,Gaz,,,,,370.000 €,"Avenue van Volxem 302/5
1190 - Forest",550 - 1111956,,Non,,2,,,,,,,,,,924 €,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Après la signature de l’acte,,,Excellent état,3,2,1,Aménagé,192 m²,,1,Américaine hyper-équipée,,4,,,,,1,1,,Oui,,Non,335 m²,Connecté,Oui,250 m²,Sud,6 m²,Sud,334 kWh/m²,F,260189,72 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,465.000 €,,,,Non,,2,Non,Non,Non,Non,,,,,,,,,,,,,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,,Maison bel-étage,,,,Oui,,Zone non inondable,,Oui,Oui,,,,,,Oui,,,,,,
104,À définir,,1952,Excellent état,2,,,,127 m²,12 m²,,Équipée,7 m²,4,12 m²,13 m²,12 m²,11 m²,2,,7 m²,Oui,,Non,70 m²,Connecté,Oui,60 m²,,10 m²,,277 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,395.000 €,,,,Non,,3,Non,Non,Non,Non,,25 m²,,,,826 €,,,,,,,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,,,,,,,,,,Oui,,,,,,,,,,,,,
105,,Bruxelles,1935,Bon,2,,,Isolé,300 m²,,,Semi-équipée,,4,,,,,3,3,,,Oui,,150 m²,Connecté,Oui,80 m²,,,,497 kWh/m²,G,20190506-0000548866-01-5,Non communiqué,Non communiqué,Gaz,Oui,,,,505.000 €,"Avenue François Sebrechts 26
1080 - Molenbeek",4520607,,Oui,,3,,,Oui,,6 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,Oui,,,,,,,,,,,,
106,Après la signature de l’acte,,,À rafraîchir,2,,,,120 m²,,,Équipée,8 m²,4,14 m²,14 m²,14 m²,14 m²,2,,,Non,,Non,165 m²,,,,Est,,,434 kWh/m²,G,20210720-0000592859-01-8,Non communiqué,Non communiqué,Gaz,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,"Avenue Général Mellier 20
5030 - Gembloux",spir1984,,Non,,3,Non,Non,Oui,Non,,32 m²,,,,971 €,,,,,,,Non,Non,,,,,,,Non,Non,,,,,Non,,,,,,,Oui,,Oui,,Zone non inondable,,Oui,,Non,,,,,,Non,,,,,
