,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Salles de douche,Surface de bureau,Bureau,Cave,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Adresse,Site internet,Visite virtuelle,Immeuble de rapport,Disponible le,Toilettes,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Piscine,Largeur de la façade à rue,Surface de la cave,Largeur du terrain à rue,Niveau E (performance énergétique globale),Charges mensuelles,Revenu cadastral,Référence externe,Pourcentage loué,Revenu mensuel actuel,Nom de l'agent,Surface de la chambre 5,Attestation as-built,Interphone vidéo,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Accès sécurisé / alarme,Climatisation,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Surface constructible totale au sol,Type de construction,Autorisation de lotissement,Jardin,Terrasse,Salon,Surface de l'espace professionnel,Type de zone inondable,Droit d'achat prioritaire possible,Salle à manger,Grenier,Attestation de conformité des citernes à mazout,Buanderie,Description libre du PEB,Nom du bien,Surface du grenier,Isolé,Obligation de construire,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix
133,Selon le locataire,,,Excellent état,2,,,,165 m²,55 m²,,Hyper équipée,11 m²,4,12 m²,8 m²,13 m²,12 m²,2,2,,,,Non,,,Oui,,,25 m²,,561 kWh/m²,G,20210929-0000596540-01-7,111 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,425.000 €,"Avenue d'Itterbeek, 60
1070 - Anderlecht",4526887,,Oui,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,
134,À définir,,,Excellent état,2,,,,120 m²,,,Équipée,,3,12 m²,12 m²,7 m²,,3,,,,Oui,Non,,,Oui,,,15 m²,,215 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,310.000 €,"Avenue François Sebrechts 26
1080 - Molenbeek",4403141,,Oui,,2,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,À définir,,,Bon,2,,,,175 m²,28 m²,,Américaine équipée,13 m²,3,16 m²,12 m²,25 m²,,2,2,,,,Non,,Connecté,Oui,35 m²,,,,412 kWh/m²,G,20210911-0000595515-01-8,82 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,399.000 €,"Avenue d'Itterbeek, 60
1070 - Anderlecht",4499287,,Oui,,2,Non,Non,Oui,Non,,34 m²,,,,1.048 €,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,,,,,Oui,,,,,,,,,,,,,
136,,,1951,À rafraîchir,,2,,Urbain,310 m²,15 m²,,Semi-équipée,11 m²,2,19 m²,14 m²,,,1,,,Non,,Non,531 m²,Connecté,Oui,,,,,444 kWh/m²,G,20210912-0000595522-01-2,Non communiqué,Non communiqué,Gaz,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",648.000 €,"Galgstraat 87
1600 - St-Pieters-Leeuw","Anderlecht, Boulevar",,Non,,1,,,,,,59 m²,,,,,,,,,,,,Non,,,Non,Non,Non,Non,,,,,,,,,,,437 m²,,Non,,,,,,Non,Oui,,,Oui,,,39 m²,,Non,,,,,
137,,,1925,Excellent état,,,,Urbain,138 m²,75 m²,,Semi-équipée,13 m²,1,18 m²,,,,3,,,Non,,Non,,Connecté,Oui,,,,,311 kWh/m²,F,20200927-0000.575526-01-7,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,"Galgstraat 87
1600 - St-Pieters-Leeuw",Bergensesteenweg 103,,Oui,,,,,,,,,,,,,,,,,,,,Non,,,Non,Non,Non,Non,,,,,,,,,,,,,Non,,,,,,,,,,Oui,,,,,Non,,,,,
138,Après la signature de l’acte,,,Bon,2,,,,110 m²,28 m²,,Américaine hyper-équipée,10 m²,3,17 m²,16 m²,9 m²,,1,1,,,,Non,,,Oui,,,5 m²,,365 kWh/m²,G,Non communiqué,73 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,339.000 €,"Avenue d'Itterbeek, 60
1070 - Anderlecht",4367741,,Non,,1,,,,,,5 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,12 m²,,,,,,,
139,Selon le locataire,,,Bon,2,,,,250 m²,,,,,6,,,,,6,,,,,Non,,Connecté,Oui,,,,,264 kWh/m²,E,527396,Non communiqué,Non communiqué,Gaz,Oui,,,,459.000 €,"Avenue François Sebrechts 26
1080 - Molenbeek",4382063,,Oui,,5,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Après la signature de l’acte,,1959,Bon,2,1,1,,210 m²,,,Américaine hyper-équipée,,7,,,,,3,3,,,,Non,,,,70 m²,,10 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,555.000 €,"Avenue René Gobert 26
1180 - Bruxelles",,,Non,,3,,,,,,,,,,,4528659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Selon le locataire,,,Excellent état,2,,,,190 m²,28 m²,,Hyper équipée,10 m²,3,21 m²,14 m²,13 m²,,2,,11 m²,Oui,,Non,,Connecté,Oui,,,27 m²,,270 kWh/m²,E,20191206-0000561377-01-1,Non communiqué,Non communiqué,Gaz,Oui,,,,389.000 €,"Avenue d'Itterbeek, 60
1070 - Anderlecht",4285453,,Oui,,2,,,Oui,Non,,5 m²,,,,1.041 €,,,,,,,,,,,,,,,,,,,,,,,,,27 m²,,,,,,,,,Oui,,,,,,29 m²,,,,,,,
142,À définir,,,Bon,,,,,165 m²,25 m²,,Équipée,22 m²,5,18 m²,14 m²,21 m²,11 m²,,,,,Oui,Non,,Connecté,Oui,2500 m²,Sud-ouest,21 m²,Sud-ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,415.000 €,"Avenue Louise 367
1050 - Bruxelles",,,Non,,3,,,,,,,,,,,,,,,11 m²,,,Non,,,,,,,,,,,,,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,
143,Après la signature de l’acte,,1953,,,,,,253 m²,,,,,6,,,,,1,,,,Oui,Non,159 m²,,,67 m²,Ouest,17 m²,,284 kWh/m²,F,20200908-0000574489-01-9,57 kg CO₂/m²,Non communiqué,,Oui,,,,370.000 €,"Rue de Stalle 288C
1180 - Uccle",14650 - 4138398,,Non,,,,,,,,,,,,1.266 €,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oui, pas conforme",,,,,,,,,,,
144,,,,Excellent état,2,,,,147 m²,32 m²,,Hyper équipée,11 m²,4,14 m²,12 m²,19 m²,14 m²,1,,,,Oui,,,,,40 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,379.000 €,"Avenue François Sebrechts 26
1080 - Molenbeek",4493278,,Non,,2,Non,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,Oui,,,,,,,,,,,,
145,1,,,,,Oui,,,,,,1,,1,,,,,Oui,,,,Oui,,Non communiqué,,,,,,,Non communiqué,Non communiqué,Non communiqué,260.000 €,929 €,,,,,,,,,Équipée,Olivier POSKIN,,Oui,,,,,,,,,,"Rue de la Gendarmerie 10
1380 - Lasne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,3,,,,,,,110 m²,,,,,,,Non,mardis de 16-18h et samedis de 13-15h (sans rendez-vous ou rendez-vous à prendre avec l’étude). MASQUE OBLIGATOIRE - GEL hydro-alcoolique non fourni,Après la signature de l’acte,Non
146,,,,,2,,,,285 m²,,,,,,,,,,,,,Non,,Non,54 m²,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,495.000 €,,,,Oui,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,
147,,,,Bon,,,,Urbain,271 m²,50 m²,,,26 m²,6,15 m²,16 m²,21 m²,16 m²,3,,,Non,,,469 m²,Connecté,Oui,,,,,248 kWh/m²,E,20210613-0000590618-01-7,Non communiqué,Non communiqué,,Oui,,,,599.000 €,"Galgstraat 87
1600 - St-Pieters-Leeuw",rue de la Démocratie,,Oui,,3,,,,,,,,,,,,,,,15 m²,,,Oui,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,Oui,,,Oui,,,,,,,,,,
148,,,2005,,2,1,,,315 m²,160 m²,,Hyper équipée,,2,,,,,1,1,,,,Non,,,,,,120 m²,Sud-est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,,,750.000 €,"Chausse de St. Job, 546
1180 - Bruxelles",Nathalie Haim,,Non,,,,,,,,,,,,2.000 €,,,,1014941SBnH - M,,Non,,,,,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,
149,Après la signature de l’acte,,,À rénover,2,,,,279 m²,,,,,7,20 m²,20 m²,13 m²,,1,1,,Non,,Non,,Non connecté,Non,,,,,543 kWh/m²,G,G,109 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,374.000 €,"Chaussée de Waterloo 256
1060 - Saint-Gilles",3988827,,Non,,2,,,,,,,,,,,,,,,,Non,,Non,,Non,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,Non,,,,,,,,,,,
150,Selon le locataire,,,Bon,2,,,,,,,,,2,,,,,,,,Non,,Non,250 m²,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Oui,,,1.450.000 €,,,,Oui,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,,Immeuble à appartements,,,,,,,,,,,,,,,,,,,,,
