,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Salon,Salle à manger,Chambres,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Cave,Grenier,Surface du terrain,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Adresse,Nom du bien,Surface du salon,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la cave,Surface du grenier,Meublé,Terrain à front de rue,Terrain arrière,Orientation de la terrasse,Attestation as-built,Type de zone inondable,Dressing,Porte blindée,Terrain boisé,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de construction,Procédure pour violation de la réglementation urbanistique,Immeuble de rapport,Combien de feux ouverts ?,Surface de la chambre 5,Salles de douche,Surface de bureau,Surface de l'espace professionnel,Nombre d'annexes,Site internet,Terrasse,Référence externe,Attestation de conformité des citernes à mazout,Surface constructible totale au sol,Visite virtuelle,Jardin,Obligation de construire,Quartier ou lieu-dit,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Isolé
79,À la livraison,2022,,7 m,2,1,,"Zone d'habitat (résidentiel, urbain ou rural)",239 m²,,,3,2,2,,,,,,,,,Connecté,Non,71 m²,,18 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",452.500 €,,"Ringlaan 117A
2170 - Antwerpen",,37 m²,Hyper équipée,,19 m²,11 m²,11 m²,,,,,,,,,Zone non inondable,,,,,,,,,,,Oui,,,,,12,,,Oui,,Oui,,Non,Non,,,,,,,,,4318097,,,,,,Antwerpen Stad en Districten,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,Non,,Non connecté,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.520.000 €,,"Britselei, 24
2000 - Anvers",,,,,,,,,,,,Non,Non,,,Zone non inondable,,,Non,,,,,,,,,,,,,30,,,,,Non,,Non,Oui,,,,,,,VILLERMONTSTRAAT 6A,,,,,,,Non,,,,,,,,
81,Après la signature de l’acte,,Fraîchement rénové,7 m,2,,,,188 m²,,,3,2,3,,,,,,160 m²,,7 m,,Oui,70 m²,Nord-ouest,121 kWh/m²,B,20210629-0002434143-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,449.000 €,686 €,"Strijdersstraat 8
2650 - Edegem",,58 m²,Équipée,,28 m²,14 m²,14 m²,,,,Non,,,,Non,Zone non inondable,,,,16 m²,,,,,,,,,,,,,,,,,,,,Non,,,,,,,1863 - 21-20055,,,,,,,,,,,,,,,
82,Après la signature de l’acte,,À rafraîchir,12 m,3,1,,,203 m²,,,5,1,2,,,,Oui,,320 m²,,,,Oui,200 m²,Sud-est,712 kWh/m²,F,20210413-0002389329-RES-1,Non communiqué,Non communiqué,Gaz,,,,,449.000 €,1.231 €,"Strijdersstraat 8
2650 - Edegem",,68 m²,,10 m²,17 m²,14 m²,12 m²,10 m²,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,,Non,1,8 m²,,,,,1860 - 21-20044bis,,,,,,,,,,,,,,,
83,Après la signature de l’acte,,Bon,,2,,,,205 m²,,,4,1,1,,,,Oui,,155 m²,,5.5 m,,Oui,55 m²,Sud-ouest,548 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",280.000 €,,"Oude-Godstraat 8
2650 - Edegem",,50 m²,Semi-équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,,Non,,,,,,,,Oui,449 - 1665567,,,,,,,,,,,,,
84,Après la signature de l’acte,1959,Bon,5 m,2,1,,"Zone d'habitat (résidentiel, urbain ou rural)",135 m²,,,2,2,2,Oui,,,,,306 m²,Oui,5 m,Connecté,Oui,150 m²,Sud-est,302 kWh/m²,D,20210815-0002451689-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,570 €,"Landstraat 71
2560 - Kessel",,20 m²,Équipée,7 m²,14 m²,12 m²,,,,16 m²,Non,Oui,,Sud-est,Non,Zone non inondable,,,,10 m²,,,Oui,,,,,,,,,,,,,,Oui,,Non,,1,,,,,,Marc Coppieters,,,,,,,,Kontich Kazerne,,,,,,,
85,Après la signature de l’acte,1956,À rafraîchir,,2,,,Isolé,177 m²,,,2,2,2,,,,Oui,,146 m²,,,,,,,635 kWh/m²,F,20210629-0002435062-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,778 €,"Gemeenteplein 6
2550 - Kontich",,54 m²,Équipée,15 m²,16 m²,16 m²,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,4528623,Oui,,,,,,,,,,,,,,
86,À définir,1957,Fraîchement rénové,5 m,2,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",190 m²,,,3,1,2,Oui,Oui,,,,169 m²,,,Connecté,Oui,72 m²,Sud-est,200 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,1.476 €,"Blauwesteenstraat 67
2550 - Kontich",,20 m²,Équipée,20 m²,8 m²,11 m²,14 m²,,,,,,,Sud-est,,,,,,13 m²,,,,,,,,,,,,,,,,,Oui,,,,1,,1,17 m²,,,Marc Claes,,,,,,,,,,,,,,,
87,,1952,Excellent état,9 m,3,,2,"Zone d'habitat (résidentiel, urbain ou rural)",320 m²,Oui,Oui,6,4,5,Oui,Oui,Oui,Oui,,950 m²,Oui,,Connecté,Oui,700 m²,Sud-est,406 kWh/m²,E,20161122-0001907487-1,Non communiqué,Non communiqué,Gaz,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",895.000 €,,,,,Équipée,,,,,,,,Non,Non,Non,Sud-est,,Zone non inondable,Oui,Non,Non,40 m²,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,,Oui,Oui,Non,Non,Oui,,Non,Non,1,,,,,1,,,,,950 m²,,,,,,,,,,,
88,Après la signature de l’acte,1955,À rénover,6 m,2,1,,,137 m²,,,2,1,2,,Non,,,,155 m²,,,,,42 m²,Nord-ouest,306 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,"Zone d'habitat (résidentiel, urbain ou rural)",260.000 €,696 €,"Antwerpsesteenweg, 88
2550 - Kontich",,17 m²,Équipée,5 m²,11 m²,15 m²,,,,,Non,,,,,Zone non inondable,Non,,,,,,,,,,,,,,,,Non,,,,Oui,,,Non,,,,,,,,,K4-K-1673B,Non,85 m²,,,Non,,,,,,,,
89,À définir,2000,Excellent état,8.79 m,4,1,5,,48 m²,,1,39 m²,3,15 m²,,142 m²,,,,14.5 m,,1000 m²,,,Est,Non,B,Non communiqué,Non communiqué,Non communiqué,Non,Non,200 m²,,,1.350.000 €,2.843 €,Non,K73-K-1786,,Oui,27 m²,6,16 m²,15 m²,11 m²,15 m²,Non,,1586 m²,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",3,,,,Non,Non,Non,Oui,Non,,Oui,,,168 kWh/m²,,,Oui,,,,Oui,,,"Antwerpsesteenweg, 88
2550 - Kontich",Hyper équipée,Oui,3,Oui,,,,,,Gaz,Non,492 m²,,Zone non inondable,,,,,,,,
90,Après la signature de l’acte,1955,À rafraîchir,6.5 m,3,,,,150 m²,Oui,,3,1,2,,Non,,,,269 m²,,10 m,,,,,263 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,"Zone d'habitat (résidentiel, urbain ou rural)",371.500 €,592 €,"Antwerpsesteenweg, 88
2550 - Kontich",,,Équipée,,,,,,,,Non,,,,,Zone non inondable,Non,,,,,,,,,,,,,,,,Non,,,,Oui,,,Non,,,,,,,,,E26-K-1744B,Non,90 m²,,,Non,,,,,,,,
91,,1980,Excellent état,12 m,,,,,220 m²,,,3,1,1,Oui,Oui,,,,810 m²,Non,20 m,Connecté,Oui,,Sud-est,515 kWh/m²,F,2415072,Non communiqué,Non communiqué,Gaz,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",499.000 €,1.145 €,"Turnhoutsebaan 175
2110 - Wijnegem",,,Équipée,18 m²,15 m²,18 m²,10 m²,,,,,Non,Non,,,Zone non inondable,Oui,,Non,,,,,,,,,,,,,,,,,,Oui,Toutes sortes,Non,Non,,,,34 m²,,,,Oui,VKW0932,,,,Oui,Non,,,,,,,,
92,Après la signature de l’acte,,À rénover,,4,1,3,Isolé,182 m²,,,4,1,1,,,,,,528 m²,,,,,,,507 kWh/m²,F,20210907-0002460956-RES-1,Non communiqué,Non communiqué,Mazout,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",398.500 €,1.098 €,"Gemeenteplein 6
2550 - Kontich",,,Équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,13 m²,,,,,,,,,,,,,,,,,,,,Non,,,,,,,4516429,,,,,,,,,,,,,,,
93,À définir,1999,,12 m,4,1,5,Isolé,230 m²,,,4,2,2,,,,,Oui,770 m²,,26 m,Connecté,Oui,350 m²,,153 kWh/m²,B,2468101,Non communiqué,Non communiqué,Gaz,,,,,685.000 €,1.361 €,"Kapelstraat 71
2540 - Hove",,42 m²,,18 m²,16 m²,11 m²,16 m²,15 m²,,,,,,,,Zone non inondable,,,,,,,,,Oui,,,,,,,,,,Oui,,Oui,,,Non,,,,,,,4507494,Oui,,,115 m²,,,,Kontich,,,,,,5 août 2022 - 00:00,
94,Après la signature de l’acte,2021,Excellent état,5.85 m,3,,1,"Zone d'habitat (résidentiel, urbain ou rural)",190 m²,,Oui,4,1,2,,Non,,,,520 m²,,6.65 m,,,450 m²,Sud-est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",550.000 €,559 €,"Oudekerkstraat 38
2018 - Antwerpen",,30 m²,Équipée,28 m²,15 m²,10 m²,10 m²,16 m²,,,Non,,,,,Zone non inondable,Non,,,20 m²,,,,,,,,,,,,,Non,,,,Oui,,Non,Non,,,,,,,,,spir672,Non,92 m²,,,Non,,,,,,,,
95,À définir,,Bon,14 m,4,,,Urbain,254 m²,Oui,,4,,,,Oui,,Oui,,998 m²,,20 m,,Non,,,245 kWh/m²,C,2452495,Non communiqué,Non communiqué,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",685.000 €,1.504 €,"Grote steenweg, 511
2600 - Berchem",,,Américaine hyper-équipée,12 m²,,,,,,,,,,,,Zone non inondable,,,,,,Non,,,Oui,,,,,,,,,,,,Oui,,Non,Oui,,,,,,,,Oui,4453915,"Oui, conforme",,,,,Regio Zuidrand Antwerpen,,,,,,,
96,Après la signature de l’acte,,,,3,,,,,,,1,1,2,,Non,Non,,,450 m²,Non,,Connecté,Non,1 m²,,357 kWh/m²,D,20210615-0002429534-res-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,,,350.000 €,860 €,,,,Équipée,,,,,,,,Non,Non,Non,,,,Oui,Non,Non,1 m²,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Oui,Toutes sortes,,Non,,,,,,,,,,,,,,,,,,,,,,
97,Après la signature de l’acte,,Bon,,,1,,,200 m²,,,3,2,2,,,,,,,,,,Oui,,,433 kWh/m²,E,20151008-0001800401-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,,"Antwerpsestraat 36/38
2850 - Boom",,,Pas équipée,,,,,,,,Non,,,,Non,,,,,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,2252 - 21/21041/123,Oui,,,,,,,,,,,,,,
98,Après la signature de l’acte,,À rénover,5.2 m,2,,,,182 m²,,,3,1,,,Non,,,,155 m²,,5.2 m,,,56 m²,Sud-ouest,548 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",280.000 €,,"Antwerpsesteenweg, 88
2550 - Kontich",,47 m²,Semi-équipée,,25 m²,14 m²,12 m²,,46 m²,22 m²,Non,,,,,Zone non inondable,Non,,,,,,,,,,,,,,,,Non,,,,Oui,,,Non,,,,,,,,,M67-K-1442C,Non,94 m²,,,Non,,,,,,,,
99,,,À rafraîchir,,,,,,,,,10 m²,Oui,,20 m²,20 m²,,,,,Connecté,,Oui,Oui,,279 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,,Non,Non,Non,359.000 €,Non,,2601 TB,,11 m²,,3,12 m²,18 m²,Non,,,Non,,Non,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",1,,Non,,,,,,,,,,,,,,,,,,Oui,,Zone inondable potentielle,"Dorpsstraat 34 Bus 1
2590 - Berlaar",,,,Oui,,,,,,,,30 m²,Sud,Non,,,,,,,,
100,,1958,À rénover,6 m,,,,,3,,,Non,Non,,,Oui,,Non,,Non,15 m,Connecté,Non,Oui,,830 kWh/m²,F,202110819-0002453256-RES-1,Non communiqué,Non communiqué,Mazout,Oui,Toutes sortes,Non,Zone non inondable,295.000 €,503 €,Non,JC 2776,,,,,,,,,,,680 m²,Non,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",1,,Non,,,,,,,,,,,,,,,,,,Oui,107 m²,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",,,,,,,,,,,Non,153 m²,Sud-ouest,Non,,,,,,,,
101,Après la signature de l’acte,1973,À rafraîchir,,4,6,,,,,,2,2,Oui,,,,Non,,25 m,,Oui,,,,,F,20210830-0002443386-RES-2,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,565.000 €,1.073 €,Non,283 - 1463,,,4,,,,,,,,2030 m²,,,,Mazout,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,Oui,,Zone inondable potentielle,"Maasfortbaan 241
2500 - Lier",Équipée,,,,,,,570 kWh/m²,,,,1,,,,,,,,,,
102,À la livraison,2021,,,2,1,,,196 m²,,,3,1,2,,,,,,126 m²,,,,Oui,30 m²,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",333.000 €,,"Antwerpsesteenweg 359
2500 - Lier",,,Équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,11 m²,,,,,,,,,,,,20,,,,,Oui,,Non,Non,,,,,,,37831 - NWB-21-DHE-2,,,,,,,,,,,,,,,
103,À la livraison,2021,,,2,,1,,197 m²,,,3,1,2,,,,,,126 m²,,,,Oui,33 m²,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,,"Antwerpsesteenweg 359
2500 - Lier",,,Équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,11 m²,,,,,,,,,,,,20,,,,,Oui,,Non,Non,,,,,,,37834 - NWB-21-DHE-2,,,,,,,,,,,,,,,
104,À la livraison,2021,,,2,,1,,207 m²,,,3,1,2,,,,,,136 m²,,,,Oui,42 m²,Ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",341.000 €,,"Antwerpsesteenweg 359
2500 - Lier",,,Équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,11 m²,,,,,,,,,,,,20,,,,,Oui,,Non,Non,,,,,,,37824 - NWB-21-DHE-2,,,,,,,,,,,,,,,
105,À la livraison,2021,,,2,1,,,200 m²,,,3,1,2,,,,,,149 m²,,,,Oui,52 m²,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",348.000 €,,"Antwerpsesteenweg 359
2500 - Lier",,,Équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,12 m²,,,,,,,,,,,,20,,,,,Oui,,Non,Non,,,,,,,37819 - NWB-21-DHE-2,,,,,,,,,,,,,,,
106,À définir,2015,Excellent état,7 m,3,,,,217 m²,,,3,1,2,Oui,Non,Non,,,551 m²,Non,10 m,Connecté,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,,535.000 €,823 €,,,35 m²,Hyper équipée,27 m²,18 m²,10 m²,29 m²,,,,Non,Non,Non,,,Zone non inondable,Non,Non,Non,,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,53,Non,Non,Non,Non,Oui,Toutes sortes,Non,Non,,,,,,,,,,,,,,Non,,,,,,,,
107,,,Bon,,4,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Oui,3,1,1,Oui,Non,Non,,Oui,322 m²,Oui,,Connecté,Oui,40 m²,Sud-ouest,579 kWh/m²,F,20210930-0002470864-RES-1,Non communiqué,Non communiqué,Gaz,,,,,310.000 €,,,,,Équipée,,,,,,,,Non,Oui,Non,,,Zone non inondable,Non,Non,Non,20 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Oui,Toutes sortes,Non,Non,,,,,,,,,,Non,,,,,,,,,,,,
108,À la livraison,2021,Excellent état,7 m,3,1,2,"Zone d'habitat (résidentiel, urbain ou rural)",168 m²,,,3,,2,Oui,Oui,,,,278 m²,Oui,7 m,Connecté,Oui,,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,,"Wateringstraat 40
2400 - Mol",HALF OPEN BEBOUWING Lot 7,,Hyper équipée,,,,,,,42 m²,,Oui,Oui,,,Zone non inondable,Oui,,,,,,,,,,,,,,,,,Oui,,,Oui,,Non,,,,,8 m²,,,,,,,,,,,Groengebied Grote Nete,,,,,,,
109,À définir,1965,Fraîchement rénové,,3,1,3,"Zone d'habitat (résidentiel, urbain ou rural)",,,,3,2,2,Oui,Non,Non,,,595 m²,Oui,,Connecté,Oui,300 m²,,Non communiqué,Non communiqué,20211002-0002471651-RES-1,330 kg CO₂/m²,Non communiqué,Gaz,,,,,435.000 €,,,,33 m²,Équipée,,16 m²,16 m²,55 m²,,15 m²,,Non,Non,Non,,,Zone non inondable,Non,Non,Non,38 m²,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Oui,,Non,Non,1,,1,,,1,,,,"Oui, conforme",,,,,,,,,,,,
110,,1938,Fraîchement rénové,,,,,,Oui,Équipée,,Non,Non,,,Oui,,494 m²,,Non,Connecté,,Oui,586 kWh/m²,,,F,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,339.000 €,Non,,JD/2803,,,2,,,,,,,,,Non,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",1,,Non,,,,,,,,,,,,,,,,,,Oui,,Zone non inondable,"Dorpsstraat 34 Bus 1
2590 - Berlaar",,,,,,,,,,,,140 m²,,Non,,,,,,,,
111,À la livraison,2021,Excellent état,6.25 m,2,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",156 m²,,,3,1,2,Oui,,,,,312 m²,Oui,6.25 m,Connecté,Oui,,Sud,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",373.800 €,,"Wateringstraat 40
2400 - Mol",Gesloten bebouwing LOT 2,,Hyper équipée,,,,,,,37 m²,,Oui,Oui,,,Zone non inondable,Oui,,,,,,,,,,,,,,,,,Oui,,,Oui,,Non,,,,,,,,,,,,,,Oui,,,,,,,,,
112,À la livraison,2021,Excellent état,6.25 m,3,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",156 m²,,,3,,2,Oui,,,,,538 m²,Oui,625 m,Connecté,Oui,,Sud,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",466.200 €,,"Wateringstraat 40
2400 - Mol",HALF OPEN BEBOUWING Lot 1,,Hyper équipée,,,,,,,37 m²,,Oui,Oui,Sud,,Zone non inondable,Oui,,,,,,,,,,,,,,,,,Oui,,,Oui,,Non,,,,,,,,,,,,,,Oui,,,,,,,,,
113,Immédiatement,1957,,,3,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",120 m²,,,2,1,1,,,,Oui,,315 m²,,,,Non,,,565 kWh/m²,F,20210410-0002399733-RES-1,Non communiqué,Non communiqué,Mazout,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",285.000 €,530 €,"Noordstraat 2A
2220 - Heist op den Berg",,,,,,,,,,,Non,,,,,Zone inondable potentielle,,,,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,4336463,Oui,,,,,,,,,,,,,,
114,,,Excellent état,,2,1,2,"Zone d'habitat (résidentiel, urbain ou rural)",150 m²,,Oui,3,1,2,Oui,Non,Non,,,270 m²,Oui,9 m,Connecté,Oui,60 m²,Sud,295 kWh/m²,C,2021097-0002459206-RES-1,Non communiqué,Non communiqué,,Oui,,,,299.000 €,,,,30 m²,Équipée,25 m²,30 m²,25 m²,20 m²,,,,Non,Oui,Oui,Sud,Non,,Non,Non,Non,16 m²,,,,,,,,,,,,,Non,Non,Non,Non,Oui,,Non,Non,,,,,,1,,,,,,,,,,,,,,,,
115,Après la signature de l’acte,,À rafraîchir,,2,,,,147 m²,Oui,,3,1,1,Oui,Non,,,,176 m²,,,,,,Sud-est,614 kWh/m²,F,20200925-0002319815-RES-2,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",209.000 €,319 €,"Mechelbaan 500
2580 - Putte",,,Équipée,,,,,,,,Non,,,,Non,Zone non inondable,Non,,,,,,,,,,,,,,,,Non,,,,Oui,,Non,Non,,,,,,,spir1774,,,Non,,,Oui,Non,,,,,,,,
116,À définir,,Bon,,2,1,1,,161 m²,Oui,,3,1,1,Oui,Non,,,,295 m²,,,,,,Nord,369 kWh/m²,D,20210408-0002399043-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",285.000 €,551 €,"Mechelbaan 500
2580 - Putte",,,Équipée,,,,,,,,Non,,,,Non,Zone non inondable,Non,,,,,,,,,,,,,,,,Non,,,,Oui,,Non,Non,,,,,,,spir1698,,,Non,,,Oui,Non,,,,,,,,
117,À définir,1984,Bon,14 m,4,1,3,,230 m²,,,4,1,2,,Oui,,,,1047 m²,,,,Oui,,Sud-ouest,429 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",485.000 €,,"Antwerpsesteenweg 359
2500 - Lier",,45 m²,Semi-équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,39677 - LIE-21-GLE-0,Oui,,,,,Oui,,,,,,,,,
118,Après la signature de l’acte,,Fraîchement rénové,,3,,,,126 m²,,Oui,2,1,2,,,,Oui,,464 m²,,8 m,,Oui,,Est,497 kWh/m²,E,Certificaat-20211004-0002472123-RES-1.pdf,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,,379.000 €,,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",,,Équipée,9 m²,18 m²,9 m²,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,40176 - HEI-21-FVD-1,Oui,,,,,Oui,,,,,,,,,
119,Après la signature de l’acte,1962,À rénover,,3,,,,155 m²,,,3,1,1,,,,Oui,,880 m²,,,,Oui,,Sud,1052 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,"Zone d'habitat (résidentiel, urbain ou rural)",215.000 €,,"Antwerpsesteenweg 359
2500 - Lier",,,,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,36517 - LIE-21-LVD-0,,,,,,Oui,,,,,,,,,
120,,2021,,,,,1,,148 m²,,,3,1,2,,,,,,312 m²,,7.05 m,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",373.800 €,,"Bredabaan, 896
2170 - Merksem",,,Équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,20,,,,,,,,Non,,,,,,,19642 - SIN/20/156,,,,,,,,,,,,,,,
121,À la livraison,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,,,,"Antwerpsesteenweg 359
2500 - Lier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,,,,,,,,
122,À définir,,Bon,,2,2,2,,271 m²,,,5,2,,,,,Oui,,297 m²,,,,Oui,,,286 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",398.000 €,,"Antwerpsesteenweg 359
2500 - Lier",,25 m²,Semi-équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,40378 - LIE-21-GLE-0,,,,,,,,,,,,,,,
123,Après la signature de l’acte,1964,À rafraîchir,,,,,,285 m²,,,3,2,,,,,,,190 m²,,,,Oui,,,535 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,,"Antwerpsesteenweg 359
2500 - Lier",,,Équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,33599 - LIE-21-LVD-0,,,,,,,,,,,,,,,
124,Après la signature de l’acte,1950,À rénover,11.5 m,4,,,Urbain,26 m²,,Semi-équipée,10 m²,1,Oui,,Oui,,Oui,Non,,,Connecté,Oui,50 m²,650 kWh/m²,,F,20141104-0001694783-00000001-6,Non communiqué,Non communiqué,Gaz,Oui,93 m²,Non,Non,165.000 €,Non,,4328140,,Oui,8 m²,3,9 m²,8 m²,1,,,,11.5 m,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,Oui,,Zone d'inondation reconnue,"Oudstrijderslaan 38
3140 - Keerbergen",,,,,,,,,,,Non,110 m²,,,,,,,,,,
