,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Salon,Salle à manger,Chambres,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Cave,Grenier,Surface du terrain,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Adresse,Nom du bien,Surface du salon,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la cave,Surface du grenier,Meublé,Terrain à front de rue,Terrain arrière,Orientation de la terrasse,Attestation as-built,Type de zone inondable,Dressing,Porte blindée,Terrain boisé,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de construction,Procédure pour violation de la réglementation urbanistique,Immeuble de rapport,Combien de feux ouverts ?,Surface de la chambre 5,Salles de douche,Surface de bureau,Surface de l'espace professionnel,Nombre d'annexes,Site internet,Terrasse,Référence externe,Attestation de conformité des citernes à mazout,Surface constructible totale au sol,Visite virtuelle,Jardin,Obligation de construire,Quartier ou lieu-dit,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Isolé
20,Après la signature de l’acte,1991,,10.17 m,4,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",294 m²,,Oui,5,2,2,Oui,,,,,700 m²,Oui,,Connecté,Oui,360 m²,Ouest,165 kWh/m²,B,20210806-0002447471-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",689.000 €,3.282 €,"Mussenhoevelaan 101
2530 - Boechout",,27 m²,Équipée,14 m²,20 m²,19 m²,16 m²,12 m²,85 m²,56 m²,Non,,,Ouest,,,,,,,,,,,,,,,,,,,,,,,Oui,,Non,,,12 m²,,,,,,Oui,,,,,,,,,,,,,,
21,À définir,,Excellent état,5 m,2,,,,170 m²,,,4,1,2,Oui,Non,Non,,,270 m²,Non,,Connecté,Oui,170 m²,Sud-est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,449.000 €,,,,,Équipée,10 m²,12 m²,11 m²,13 m²,14 m²,20 m²,,Non,Non,Non,Sud-est,,Zone non inondable,Oui,Non,Non,20 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Oui,Toutes sortes,,Non,,,,,,,,,,,,,,,,,,,,,,
22,Après la signature de l’acte,1958,Bon,8 m,3,1,,"Zone d'habitat (résidentiel, urbain ou rural)",152 m²,,,3,1,2,,Non,,,,342 m²,,20 m,,,155 m²,Sud-est,418 kWh/m²,E,20210915-0002463041-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,,"Ringenhofweg 12
2500 - Lier",,,Hyper équipée,,,,,,,,Non,,,,,Zone non inondable,Non,,,,Non,Non,Non,Oui,Non,,Non,,,Non,,,Non,,,,Oui,,Non,Non,1,,1,,,,Jan Frans Gellynckla,,,Non,120 m²,,,Non,,,,,,,,
23,Après la signature de l’acte,1962,À rafraîchir,7 m,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",176 m²,Oui,,3,1,,,Non,Non,,,153 m²,Non,7 m,Connecté,Oui,35 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,,293.000 €,723 €,,,,,9 m²,14 m²,115 m²,8 m²,,10 m²,49 m²,Non,Oui,Non,,,Zone non inondable,Non,Non,Non,,,,,,,,,,,,,450,Non,Non,Non,Non,Oui,,,Non,,,,,,,,,,,68 m²,,,,,,,,,,,
24,Après la signature de l’acte,1918,Bon,,2,,,,190 m²,,,5,2,,,,,Oui,,360 m²,,,Connecté,Oui,,,258 kWh/m²,C,20210623-0002406085-RES-2,Non communiqué,Non communiqué,Gaz,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",450.000 €,825 €,"Heistraat 73
2610 - Wilrijk",,57 m²,Équipée,9 m²,,,,,,,Non,,,,,Zone non inondable,,Non,,,,,,,,,,,,,,258,Non,Non,Non,Non,Oui,,Non,Non,,,,,,,,,VK2021-106,,,,,,,,,,,,,
25,,1967,À rafraîchir,,4,1,2,,256 m²,,,6,2,,,,,,Oui,880 m²,,,Connecté,Oui,,Ouest,290 kWh/m²,C,2462634,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",750.000 €,,"Hovestraat 19
2650 - Edegem",,,Semi-équipée,,,,,,,,,,,,Non,Zone non inondable,,,,,,,,,Oui,,,,,,,,,,,,Oui,,Non,,,,1,,,,Engel & Völkers Antwerpen-Zuid,,,,,,Oui,,,,,,,,,
26,,,Excellent état,,,,,,120 m²,,,3,1,1,,Non,,,,211 m²,Non,,Connecté,Oui,,Ouest,232 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,,439.000 €,,"Nijverheidsstraat 48
2570 - Duffel",,48 m²,Équipée,,14 m²,11 m²,24 m²,,17 m²,,,Non,Non,,,Zone non inondable,Non,,Non,,,,,,,,,,,,,,,,,,Oui,,,Non,,,,,,,,,N2650/09001,,,,Oui,Non,,,,,,,,
27,,1991,Bon,10.95 m,4,1,3,,266 m²,,,4,2,3,,Non,,,,768 m²,,17 m,Connecté,Oui,,Est,224 kWh/m²,C,20210527-0002420987-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",940.000 €,3.238 €,"Bredabaan 661
2930 - Brasschaat",,70 m²,Équipée,22 m²,,,,,,,Non,,,,,Zone non inondable,,Non,,,,,,,,,,,,,,,,,,,Oui,Villa,Non,Non,,,,,,,,,3567,,165 m²,,Oui,,,,,,,,,
28,,,,,,1,,,208 m²,,,3,1,,,Oui,,,,885 m²,Non,12 m,Connecté,Oui,,Ouest,259 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,,660.000 €,,"Nijverheidsstraat 48
2570 - Duffel",,66 m²,,,16 m²,17 m²,12 m²,,,,,Non,Non,,,Zone non inondable,Non,,Non,,,,,,,,,,,,,,,,,,Oui,,,Non,,,,16 m²,,,,,N2540/08001,,,,Oui,Non,,,,,,,,
29,À définir,,,9 m,3,1,2,"Zone d'habitat (résidentiel, urbain ou rural)",239 m²,Oui,,4,,,,,,,,477 m²,,12 m,Connecté,Oui,,Est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,,446.500 €,,"Frederik Peltzerstraat 76
2500 - Lier",Elzenstraat,,,,,,,,,54 m²,,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,Oui,,,Kets,,,,,,
