,À partir de,État du bâtiment,Nombre de façades,Salon,Salle à manger,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Grenier,Surface du terrain,Raccordement à l'égout,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Nom de l'agent,Surface habitable,Meublé,Attestation as-built,Type de chauffage,Double vitrage,Site internet,Parkings intérieurs,Largeur du terrain à rue,Surface du jardin,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Pompe à chaleur,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Type d’environnement,Combien de feux ouverts ?,Parkings extérieurs,Visite virtuelle,Surface du salon,Salles de douche,Surface de la terrasse,"Eau, gaz & électricité",Type de zone inondable,Jardin,Orientation du jardin,Année de construction,Largeur de la façade à rue,Surface de la cuisine,Surface de la chambre 5,Surface constructible totale au sol,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Dressing,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation de la terrasse,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Buanderie,Surface de la cave,Surface du grenier,Concierge,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Lieu de la vente,Séance unique,Modalités de visite,Attestation de conformité des citernes à mazout,Droit d'achat prioritaire possible,Mise à prix,Surface de bureau,Permis de bâtir obtenu,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Durée maximale de la rente,Informations supplémentaires,Quartier ou lieu-dit,Disponible le,Isolé,Surface de l'espace professionnel,Obligation de construire,Niveau E (performance énergétique globale)
52,Après la signature de l’acte,Excellent état,4,,,10 m²,15 m²,2,Oui,Oui,Non,51 m,Non,442 kWh/m²,F,20130712011154,126 kg CO₂/m²,27081 kWh/an,Oui,1.805 €,Non,"Rue Pichelin 46
5140 - Sombreffe",,,38 m²,1759 m²,,,Oui,,2,Connecté,Oui,15 m²,12 m²,2,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",540.000 €,,,6,161 m²,Américaine équipée,2,,1380 m²,,,,1975,15.5 m,4,,Oui,,,,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,Non,,,180 m²,,,,,,,,,,,,,,,
53,Après la signature de l’acte,,3,,,Équipée,3,1,2,,,660 m²,,,97 kWh/m²,B,20210507502263,Non communiqué,Non communiqué,365.000 €,,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",,140 m²,Non,Non,Gaz,Oui,,,,,14 m²,11 m²,11 m²,,,,,,,,3,,40 m²,,,Oui,,Oui,Est,2021,8 m,9 m²,,,,,,,,,,,,,,,,,,,362 - 3391287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,Bon,4,,,15 m²,14 m²,2,Oui,Non,,Oui,,Oui,C,20120906009531,Non communiqué,Non communiqué,Non,1.458 €,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",427 - 3391293,,45 m²,980 m²,Mazout,Oui,425.000 €,,1,,,13 m²,12 m²,12 m²,1,,,,,,Américaine hyper-équipée,4,154 m²,1,,,Oui,,,,2001,,4,,,,,,,Oui,,,,,,,,,,,,,,,,,,193 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,1 avril 2022 - 00:00,,,,
55,Après la signature de l’acte,À rénover,,,Oui,Pas équipée,1,1,2,Oui,,789 m²,,,1241 kWh/m²,G,20110806002592,Non communiqué,Non communiqué,200.000 €,540 €,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",,143 m²,Non,Non,Mazout,Oui,,,14.46 m,,15 m²,,,,,,,,,,3,,,,,Oui,,Oui,Sud-est,1890,,15 m²,,,,,,,,,,,,,,,,,,,347 - 3391281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,2,,,,16 m²,2,Oui,Oui,1600 m²,391 kWh/m²,,,E,20190820011315,Non communiqué,84536 kWh/an,Mazout,,Non,"Rue de Clairvaux, 40 / 3
1348 - Louvain-La-Neuve",Veronique DEMAEGD,,,,,Non,Non,,,,,16 m²,1,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",180.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,samedi de 10h à 12h (du 11/9/2021 au 02/10/2021 inclus) - sans rendez-vous,4,,Non,642 €,,,,,,,,,,,,,,,,,
57,Après la signature de l’acte,,2,,,,1,1,Non,,,7 m,,,E,20210819017808,72 kg CO₂/m²,49051 kWh/an,Non,508 €,Oui,"Chaussée de Bruxelles 23 (sur N5)
1472 - Vieux Genappe",3696 - 650216,,52 m²,230 m²,Gaz,Oui,Faire offre à partir de 249.999 €,,2,150 m²,Sud,,,,,,,,,,3,,116 m²,1,,348 kWh/m²,,,,20 m²,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Après la signature de l’acte,Bon,4,,,,3,2,2,Oui,,4841 m²,,Oui,308 kWh/m²,D,20210615025940,Non communiqué,113136 kWh/an,685.000 €,,Non,"rue de la Gendarmerie 1
1380 - Lasne",,245 m²,Non,,Pellets,Oui,4398207,3,,,,,,,,,,,,,4,,,2,,Non,,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,Excellent état,4,,,,1,1,Oui,Non,,2636 m²,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,Non,1.611 €,Non,"Chaussée de Bruxelles 23 (sur N5)
1472 - Vieux Genappe",3703 - 650223,,43 m²,2784 m²,Oui,,525.000 €,,2,,Oui,,,,,,,,,,4,4,210 m²,1,2,,,,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,À définir,Bon,,,,13 m²,12 m²,,Oui,,Non,Connecté,Oui,239 kWh/m²,C,2021°810013371,Non communiqué,Non communiqué,Électrique,1.655 €,Non,"Chaussée de Bruxelles 2
1470 - Genappe",,,67 m²,1400 m²,,Non,525.000 €,,1,,,19 m²,28 m²,15 m²,Non,Oui,,,,,,1,191 m²,Équipée,1,,Oui,,,,,,4,,,,,,1,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Après la signature de l’acte,Bon,4,,,,4,2,,,,1500 m²,,,334 kWh/m²,D,20210920007489,Non communiqué,77263 kWh/an,585.000 €,,Non,"rue de la Gendarmerie 1
1380 - Lasne",,171 m²,,,Mazout,Oui,4519259,2,,,,,,,,,,,,,3,,,1,,,,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
