,À partir de,État du bâtiment,Nombre de façades,Salon,Salle à manger,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Grenier,Surface du terrain,Raccordement à l'égout,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Nom de l'agent,Surface habitable,Meublé,Attestation as-built,Type de chauffage,Double vitrage,Site internet,Parkings intérieurs,Largeur du terrain à rue,Surface du jardin,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Pompe à chaleur,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Type d’environnement,Combien de feux ouverts ?,Parkings extérieurs,Visite virtuelle,Surface du salon,Salles de douche,Surface de la terrasse,"Eau, gaz & électricité",Type de zone inondable,Jardin,Orientation du jardin,Année de construction,Largeur de la façade à rue,Surface de la cuisine,Surface de la chambre 5,Surface constructible totale au sol,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Dressing,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation de la terrasse,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Buanderie,Surface de la cave,Surface du grenier,Concierge,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Lieu de la vente,Séance unique,Modalités de visite,Attestation de conformité des citernes à mazout,Droit d'achat prioritaire possible,Mise à prix,Surface de bureau,Permis de bâtir obtenu,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Durée maximale de la rente,Informations supplémentaires,Quartier ou lieu-dit,Disponible le,Isolé,Surface de l'espace professionnel,Obligation de construire,Niveau E (performance énergétique globale)
112,,Bon,,,Oui,Équipée,4,3,,,,298 m²,Connecté,,420 kWh/m²,E,201904210001031371-RES6,Non communiqué,Non communiqué,585.000 €,1.633 €,Oui,"Galgstraat 87
1600 - St-Pieters-Leeuw",,202 m²,Non,,Gaz,Oui,Nijvelsesteenweg 189,,,,16 m²,13 m²,15 m²,16 m²,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Urbain,,,,49 m²,,7 m²,Oui,Zone non inondable,,,1925,,34 m²,,,,,,Non,Oui,,,Non,Non,Non,Non,,,,,,,Oui,,,,,,,,,,,,,,,Non,,12 m²,Oui,,,,,,,,,,,,,,Non,
113,,,4,,,Équipée,3,1,2,,,722 m²,Connecté,Oui,465 kWh/m²,E,2471928,Non communiqué,Non communiqué,487.000 €,1.593 €,Non,"Basiliekstraat 136
1500 - Halle",,203 m²,Non,,,Non,5333,1,,,,,,,,,Non,,,,,,36 m²,,,Oui,Zone non inondable,Oui,Sud-est,1973,,11 m²,,,Non,Non,Non,,Non,,Non,,,,,,,,,Bungalow,,,,,,Non,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,4,,,Équipée,3,1,2,,,722 m²,Connecté,Oui,465 kWh/m²,E,2471928,Non communiqué,Non communiqué,487.000 €,1.593 €,Non,"Basiliekstraat 136
1500 - Halle",,203 m²,Non,,,Non,5333,1,,,,,,,,,Non,,,,,,36 m²,,,Oui,Zone non inondable,Oui,Sud-est,1973,,11 m²,,,Non,Non,Non,,Non,,Non,,,,,,,,,Bungalow,,,,,,Non,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,4,,,Équipée,3,1,2,,,722 m²,Connecté,Oui,465 kWh/m²,E,2471928,Non communiqué,Non communiqué,487.000 €,1.593 €,Non,"Basiliekstraat 136
1500 - Halle",,203 m²,Non,,,Non,5333,1,,,,,,,,,Non,,,,,,36 m²,,,Oui,Zone non inondable,Oui,Sud-est,1973,,11 m²,,,Non,Non,Non,,Non,,Non,,,,,,,,,Villa,,,,,,Non,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,4,,,Équipée,3,1,2,,,722 m²,Connecté,Oui,465 kWh/m²,E,2471928,Non communiqué,Non communiqué,487.000 €,1.593 €,Non,"Basiliekstraat 136
1500 - Halle",,203 m²,Non,,,Non,5333,1,,,,,,,,,Non,,,,,,36 m²,,,Oui,Zone non inondable,Oui,Sud-est,1973,,11 m²,,,Non,Non,Non,,Non,,Non,,,,,,,,,Villa,,,,,,Non,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,3,,,,2,,,,,584 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,235.000 €,433 €,Non,"Volpestraat 18
1500 - Halle",,102 m²,Non,Non,,,2499 -,,,,,,,,,,,,,,,,,,,,,,,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,2,,,,2,,,,,87 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,239.000 €,544 €,Non,"Volpestraat 18
1500 - Halle",,102 m²,Non,Non,,,2544 -,,,,,,,,,,,,,,,,,,,,,,,1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,4,,,,2,,,,,697 m²,,,Non communiqué,Non communiqué,1174691,Non communiqué,Non communiqué,349.000 €,1.703 €,Non,"Volpestraat 18
1500 - Halle",,210 m²,Non,Non,,,2590 -,,,,,,,,,,,,,,,,,,,,,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,2,,,,4,,,,,229 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,550.000 €,2.729 €,Non,"Volpestraat 18
1500 - Halle",,474 m²,Non,Non,,,2486 -,,,,,,,,,,,,,,,,,,,,,,,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,4,,,,4,,,,,3299 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,745.000 €,2.399 €,Non,"Volpestraat 18
1500 - Halle",,300 m²,Non,Non,,,2602 -,,,,,,,,,,,,,,,,,,,,,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,4,,,,,229 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,550.000 €,2.729 €,Oui,"Volpestraat 18
1500 - Halle",,474 m²,Non,Non,,,2485 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
123,À définir,Bon,4,,Oui,Hyper équipée,6,3,,Oui,Oui,1138 m²,,,252 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,850.000 €,3.621 €,Non,"Rue Emile Feron 153
1060 - Saint-Gilles",,360 m²,,,Mazout,Oui,4512680,2,,,26 m²,22 m²,14 m²,14 m²,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,4,,70 m²,1,61 m²,Non,,,,,,19 m²,13 m²,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,15 m²,,,,,,,,,,,,20 mars 2022 - 00:00,,35 m²,,
124,,À rafraîchir,,,Oui,,4,,,,,556 m²,Connecté,,538 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,310.000 €,485 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",,105 m²,,,,Oui,"Kasteelstraat 176, H",,,,13 m²,15 m²,11 m²,11 m²,,,,,Urbain,,,,15 m²,,,Oui,,Oui,Sud-ouest,1896,,10 m²,,153 m²,,,,Non,Non,,,Non,Non,Non,Non,,,,,,,Oui,15 m²,38 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,
125,22 m²,,,,Équipée,12 m²,11 m²,1,Oui,,315 m²,950 kWh/m²,,,F,Non communiqué,Non communiqué,Non communiqué,Gaz,,Non,"Brusselsesteenweg, 73
1500 - Halle",Kristine VANCUTSEM,,,,,Non,,,,,,12 m²,8 m²,1,,112.500 €,,,,,,,,Oui,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
woens. 22-29/9 en 6/10 van 14-16u en zat. 25/ en 2-9/10 van 15-17u. MASKER VERPLICHT.",Après la signature de l’acte,,,307 €,,,,,,,,,,,,,,,,,
126,,,,,,,1,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,160.000 €,,Oui,"Volpestraat 18
1500 - Halle",,55 m²,Non,Non,,,2530 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,305.000 €,,Oui,"Volpestraat 18
1500 - Halle",,188 m²,Non,Non,,,2488 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
128,,,,,,,1,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,196.000 €,,Oui,"Volpestraat 18
1500 - Halle",,72 m²,Non,Non,,,2510 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
129,,,,,,,1,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,235.000 €,,Oui,"Volpestraat 18
1500 - Halle",,83 m²,Non,Non,,,2441 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
130,,,,,,,2,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,238.000 €,,Oui,"Volpestraat 18
1500 - Halle",,96 m²,Non,Non,,,2520 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
131,,,,,,,2,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,253.000 €,,Oui,"Volpestraat 18
1500 - Halle",,93 m²,Non,Non,,,2522 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
132,,,,,,,2,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,271.500 €,,Oui,"Volpestraat 18
1500 - Halle",,95 m²,Non,Non,,,2439 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
133,,,,,,,2,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,278.000 €,,Oui,"Volpestraat 18
1500 - Halle",,109 m²,Non,Non,,,2571 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
134,,,,,,,2,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,280.443 €,,Oui,"Volpestraat 18
1500 - Halle",,103 m²,Non,Non,,,2518 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
135,,,,,,,2,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,289.000 €,,Oui,"Volpestraat 18
1500 - Halle",,109 m²,Non,Non,,,2573 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
136,,,,,,,2,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,299.000 €,,Oui,"Volpestraat 18
1500 - Halle",,103 m²,Non,Non,,,2569 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
137,,,,,,,2,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,299.000 €,,Oui,"Volpestraat 18
1500 - Halle",,94 m²,Non,Non,,,2567 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
138,,,,,,,2,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,305.000 €,,Oui,"Volpestraat 18
1500 - Halle",,90 m²,Non,Non,,,2443 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
139,,,,,,,2,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,313.500 €,,Oui,"Volpestraat 18
1500 - Halle",,113 m²,Non,Non,,,2445 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
140,,,,,,,2,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,324.000 €,,Oui,"Volpestraat 18
1500 - Halle",,118 m²,Non,Non,,,2450 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
141,À la livraison,,2,,,,3,1,,,,555 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,360.972 €,,Non,"Kerkstraat, 38
1755 - Oetingen",,176 m²,,,,,4407957,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,1,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,204.500 €,,Oui,"Volpestraat 18
1500 - Halle",,70 m²,Non,Non,,,2452 -,,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
143,,,2,,,Équipée,3,1,2,,,210 m²,Non connecté,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,325.000 €,732 €,Non,"Basiliekstraat 136
1500 - Halle",,,Non,,,Oui,,,,,14 m²,14 m²,13 m²,,,,Non,,,,,,44 m²,,18 m²,Non,Zone non inondable,,,1958,,,,,,,,,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,2,,,Équipée,3,1,1,,,104 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,315.000 €,307 €,Non,"Basiliekstraat 136
1500 - Halle",,120 m²,Non,,Électrique,Non,,,,,,,,,,,,,,,,,42 m²,,,Non,,,,,,,,,,,,,Non,,Non,,,,,,,,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,3,,,,3,,,Oui,,120 m²,Connecté,,752 kWh/m²,F,1987144,Non communiqué,Non communiqué,269.000 €,743 €,Non,"Basiliekstraat 136
1500 - Halle",,,Non,,,Non,5296,1,,,,,,,,,,,,,,,36 m²,,,Oui,,,,,,13 m²,,,,,,,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,4,,,Oui,,226 m²,Non connecté,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,349.000 €,2.074 €,Non,"Basiliekstraat 136
1500 - Halle",,,Non,,,Non,5335,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1925,,,2,690 kWh/m²,,F,,,,,,,,20210331-0002395395-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,"Brusselsesteenweg, 273 / 1, 20
1500 - HALLE",Jonathan GHEYS,,,,,,,,,Oui,,,,,,,,,,,,,,Oui,,,,,523 €,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
Het goed zal door de kandidaat-kopers kunnen bezocht worden elke woensdag van 14u-16u en elke zaterdag van 10u-12u, en dit vanaf woensdag 20 oktober 2021 tot en met zaterdag 6 november 2021.",Après la signature de l’acte,,,Non,,170.000 €,,,,,,,,,,,,,,,
148,,Excellent état,,,,,4,,,Oui,,,Connecté,Oui,345 kWh/m²,D,20151126-0001814787-1,Non communiqué,Non communiqué,395.000 €,733 €,Non,"Koolmijnlaan 236
3582 - Beringen",,,Non,,,Oui,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Urbain,,,,,,,Oui,,Oui,Sud-est,,,,,,,,,Oui,Non,,,Non,Non,Non,Non,Nord-ouest,,,,,DnA_20,Oui,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,Non,
149,,Bon,2,,,,3,,,,,127 m²,Non connecté,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,338.000 €,1.804 €,Oui,"Basiliekstraat 136
1500 - Halle",,,Non,,,Non,4929,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
