,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Ascenseur,Permis de bâtir obtenu,Procédure pour violation de la réglementation urbanistique,Référence externe,Disponible le,Largeur de la façade à rue,Type d’environnement,Combien de feux ouverts ?,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Accès sécurisé / alarme,Parkings extérieurs,Salle à manger,Surface de la cuisine,Surface de la chambre 4,Salles de douche,Surface de bureau,Bureau,Grenier,Raccordement à l'égout,Terrasse,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Surface de la terrasse,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Buanderie,Surface de la cave,Surface constructible totale au sol,Obligation de construire,Quartier ou lieu-dit,Salon,Surface de l'espace professionnel,Surface du grenier,Nombre d'annexes,Attestation de conformité des citernes à mazout,Charges mensuelles,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Mise à prix,Surface de la chambre 5,Pourcentage loué,Revenu mensuel actuel,Isolé
116,Après la signature de l’acte,1992,À rafraîchir,4,2,230 m²,50 m²,Équipée,4,2,2,,Non,3978 m²,,Oui,,Nord-est,428 kWh/m²,E,20190524-0002162258-RES-1,Non communiqué,Non communiqué,Non,Électrique,Oui,,,Zone d'inondation reconnue,,675.000 €,2.280 €,Non,"Britselei 42
2000 - Antwerpen",10071 - 3596197,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1,,,,,,,,,,,,,,,,,,,,,,,,,,3000 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,1930,,3,,135 m²,30 m²,Semi-équipée,3,1,2,Oui,Non,313 m²,6.5 m,Oui,Oui,Ouest,448 kWh/m²,E,20200208-0002245707-RES-1,Non communiqué,Non communiqué,Non,Gaz,,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,,Non,"Zegeplein 3
2930 - Brasschaat",,,,,3365 - 1825,,6 m,,1,16 m²,15 m²,13 m²,,,,15 m²,6 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,À définir,,Bon,,1,35 m²,Semi-équipée,8 m²,11 m²,,Oui,,467 m²,Connecté,,360 m²,,20 m²,B,20210915-0002464453-RES-1,Non communiqué,Non communiqué,Non,Gaz,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",390.000 €,1.219 €,Non,"Leopold Gillislaan 32/8
2100 - Deurne",,,,,,,,,,,12 m²,18 m²,11 m²,,,,5,12 m²,,,,Non,Oui,,,,,Sud-ouest,2,,,,,,,Sud-ouest,201 kWh/m²,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,163 m²,,Non,,,
119,,1968,Bon,3,,140 m²,56 m²,Équipée,3,1,2,Oui,Non,354 m²,,Oui,,Sud,256 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,,,,520.000 €,640 €,Non,,,Non,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1,15 m²,17 m²,9 m²,Non,,,18 m²,,,,Non,Oui,Connecté,,Non,Oui,Oui,20 m²,Oui,Non,Non,Oui,Non,Non,Oui,150 m²,Sud,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Toutes sortes,Oui,,,,,,,,,,,,,,,,,,,Oui
120,Après la signature de l’acte,2001,,4,2,436 m²,,,6,2,,Oui,Non,2193 m²,,,,,259 kWh/m²,C,20210915-0002464282-RES-1,Non communiqué,Non communiqué,Non,Gaz,,Oui,Non,Zone non inondable,Parc résidentiel,1.049.000 €,4.470 €,Non,"Heidestatiestraat 2
2920 - Kalmthout-Heide",9520 - 3719560,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,À définir,1941,Bon,4,,281 m²,,Hyper équipée,3,2,3,Oui,,2535 m²,76 m,Non,,,357 kWh/m²,D,2356682,Non communiqué,Non communiqué,,Mazout,Oui,,,,,1.390.000 €,2.752 €,Non,"Jordaenskaai, 21
2000 - Antwerpen",4427966,,,,,,,,,,,,Oui,,,,,2,,Oui,Oui,,Oui,,Oui,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Après la signature de l’acte,2005,,2,1,240 m²,40 m²,,3,2,3,,,163 m²,,Oui,,,128 kWh/m²,B,20150412-0001749380-1,Non communiqué,Non communiqué,,Gaz,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,,Non,"Bredabaan 505
2930 - Brasschaat",4533833,,,,,,6.35 m,,,18 m²,22 m²,24 m²,,,,40 m²,,1,,,Oui,Connecté,,,Oui,,20 m²,,,,,,,,50 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,1960,À rénover,4,1,140 m²,30 m²,Équipée,3,1,2,,Non,665 m²,14 m,Oui,,Nord-ouest,1276 kWh/m²,F,20210517-0002416266-RES-1,Non communiqué,Non communiqué,,Mazout,Oui,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",362.000 €,897 €,Non,"Bredabaan 661
2930 - Brasschaat",,,Oui,Non,3561,,7 m,,,11 m²,9 m²,7 m²,,3,,8 m²,,,,Non,,Connecté,,,,,,,,Non,,,,,500 m²,,,,,,,,,,,,,,,6 m²,76 m²,,,,,,,,,,,,,,,,,
124,Après la signature de l’acte,,Fraîchement rénové,4,3,750 m²,,Hyper équipée,5,4,5,,Non,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,2.750.000 €,,Non,"Pyckestraat 72
2018 - Antwerpen",,,,,650 - 1714,,,,1,,,,Oui,3,,,,,,,,,,,,,,,,Oui,,,,,150 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,1955,Bon,2,,171 m²,,Équipée,4,1,,Oui,Non,228 m²,5 m,Oui,,,381 kWh/m²,D,2011010-00000940590-00000001-5,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,1.023 €,Non,"Vrijheid 147
2320 - Hoogstraten",,,Oui,Non,,,,,,,,,,,,,,,,Oui,,Non connecté,,,,,,,Oui,Non,,,,,,,,,,,,,381,Non,Non,Non,Non,,,,,,,,,,,"Oui, conforme",,,,,,,,,,
126,Après la signature de l’acte,1969,Excellent état,2,,212 m²,,Équipée,3,3,3,,Non,78 m²,,Oui,,,79 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",588.000 €,1.420 €,Oui,"Vorstemanstraat 11 bus 31
2000 - Antwerpen",Jan Ooms,,Oui,Non,,,5 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,Oui,,25 m²,,,,,,,,,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,2050,
127,,1989,Excellent état,,2,625 m²,,Équipée,4,3,5,,,3000 m²,30 m,Oui,Oui,Sud,177 kWh/m²,B,20210915-0002464539-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,Zone non inondable,Parc résidentiel,965.000 €,7.940 €,Non,"Donksesteenweg 212
2930 - Brasschaat",,Oui,Oui,Non,TK/BBB,,24 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Oui,,Oui,,,,,Oui,,Connecté,Oui,Non,Non,Non,,Non,,,Non,Non,Non,Non,,,Non,,,,Oui,,,,,,,Toutes sortes,Oui,,625 m²,Non,,Oui,,,,,,,,,,,,,,
128,,1974,,,1,199 m²,,Hyper équipée,3,2,1,,,540 m²,,Oui,,Sud-ouest,180 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,,Non,"Turnhoutsebaan 175
2110 - Wijnegem",,Non,Oui,Non,VKW0986,,6.2 m,,,14 m²,8 m²,16 m²,Non,,,11 m²,,,5 m²,Oui,,Connecté,,Non,Oui,Oui,39 m²,Non,,,Non,Non,Non,Non,450 m²,,Non,,,,Non,,,,,,,,,,95 m²,Non,,,,,,,,,,,,,,,,
129,,,Bon,3,1,125 m²,47 m²,Pas équipée,3,1,2,,Non,605 m²,15 m,,,Sud-est,548 kWh/m²,F,20210831-0002458285-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,469.000 €,,Non,"Frans de L'arbrelaan, 57
2170 - Merksem",1314317 - 1314201,,,,,,10 m,,1,,,,,3,,,,,,,,,,,,,25 m²,,,,,,,,310 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,Bon,3,,Oui,,9 m²,14 m²,1,Non,,393 m²,7 m,Oui,Oui,Est,Oui,C,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,310.000 €,,,,,297 €,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",1314304 - 1314200,,,,,,,6 m,,,10 m²,9 m²,1,,4,Hyper équipée,3,,,,,,,258 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 m²,,,,,
