,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Ascenseur,Permis de bâtir obtenu,Procédure pour violation de la réglementation urbanistique,Référence externe,Disponible le,Largeur de la façade à rue,Type d’environnement,Combien de feux ouverts ?,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Accès sécurisé / alarme,Parkings extérieurs,Salle à manger,Surface de la cuisine,Surface de la chambre 4,Salles de douche,Surface de bureau,Bureau,Grenier,Raccordement à l'égout,Terrasse,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Surface de la terrasse,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Buanderie,Surface de la cave,Surface constructible totale au sol,Obligation de construire,Quartier ou lieu-dit,Salon,Surface de l'espace professionnel,Surface du grenier,Nombre d'annexes,Attestation de conformité des citernes à mazout,Charges mensuelles,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Mise à prix,Surface de la chambre 5,Pourcentage loué,Revenu mensuel actuel,Isolé
0,Après la signature de l’acte,1965,Bon,2,1,202 m²,38 m²,Équipée,3,1,2,Oui,Non,294 m²,5.9 m,Oui,Oui,Sud,304 kWh/m²,D,20210817-0002452822-RES1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,1.048 €,Non,"Markt 21
2900 - Schoten",3130 - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,1966,À rénover,2,1,258 m²,44 m²,Semi-équipée,4,2,3,,Non,212 m²,,Oui,,,721 kWh/m²,F,20210618-0002431143-RES-11,Non communiqué,Non communiqué,Non,Gaz,,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,,Non,"Sint Cordulastraat 19/1
2900 - Schoten",,Oui,Oui,Non,1609 - 1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,À rénover,2,1,131 m²,,Semi-équipée,3,1,1,Oui,Non,190 m²,5 m,Oui,Oui,Ouest,734 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Électrique,,,,,,160.000 €,,Non,"Paalstraat 70
2900 - Schoten",20466 - 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,1989,,4,1,310 m²,65 m²,Hyper équipée,4,2,2,,Non,610 m²,15 m,Oui,,,291 kWh/m²,C,20210601-0002423232-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",745.000 €,2.815 €,Non,"Coquilhatstraat, 37-39
2000 - Antwerpen",5266 - 1061,,Oui,Non,,1 décembre 2021 - 00:00,11 m,"Zone d'habitat (résidentiel, urbain ou rural)",1,30 m²,20 m²,14 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,2010,Excellent état,4,1,300 m²,40 m²,Hyper équipée,4,3,4,Oui,,1774 m²,,Oui,,,160 kWh/m²,B,1326555-00000037-3,Non communiqué,Non communiqué,,,Oui,Non,Non,Zone non inondable,Parc résidentiel,1.095.000 €,3.104 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4531280,Non,Oui,Non,,,,Pays,,38 m²,21 m²,16 m²,Oui,3,Oui,50 m²,14 m²,2,14 m²,Oui,Oui,Connecté,Oui,Non,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,2019,,2,,120 m²,,Équipée,2,1,2,,Non,,5.5 m,Oui,,,22 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,298.000 €,,Oui,"Paalstraat 70
2900 - Schoten",20514 - 798,,,,,,,,,,,,,,,,,1,,,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,2019,,2,,120 m²,,Équipée,2,1,2,,Non,,5.5 m,Oui,,,22 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,298.000 €,,Non,"Paalstraat 70
2900 - Schoten",20509 - 798,,,,,,,,,,,,,,,,,1,,,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,2019,,2,,120 m²,,Équipée,2,2,2,,Non,,8.14 m,Oui,,,20 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,299.000 €,,Oui,"Paalstraat 70
2900 - Schoten",20515 - 799,,,,,,,,,13 m²,11 m²,,,,,,,,,,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,2019,,2,,120 m²,,Équipée,2,2,2,,Non,,8.14 m,Oui,,,20 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,299.000 €,,Non,"Paalstraat 70
2900 - Schoten",20505 - 799,,,,,,,,,13 m²,11 m²,,,,,,,,,,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,1980,Bon,2,1,180 m²,44 m²,Équipée,4,1,2,,Non,300 m²,,Oui,,Sud-ouest,Non communiqué,Non communiqué,20171121-0002012444-1,Non communiqué,Non communiqué,,Gaz,Oui,Oui,,Zone non inondable,,395.000 €,1.142 €,Non,,,Non,Oui,,,,6 m,"Zone d'habitat (résidentiel, urbain ou rural)",,18 m²,18 m²,13 m²,Non,2,,9 m²,10 m²,,,Non,,Connecté,,Non,Non,Non,24 m²,Oui,Non,Non,Non,Non,Non,Non,150 m²,Sud-ouest,Non,Non,Non,Non,Non,Oui,170,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,
10,,1932,Excellent état,2,,170 m²,28 m²,Américaine hyper-équipée,3,1,2,,,111 m²,5 m,,,,190 kWh/m²,B,20140910-0001658176-00000004-6,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,739 €,Non,"Turnhoutsebaan 175B
2970 - SCHILDE",4492721,,Oui,Non,,1 juillet 2022 - 00:00,5 m,Urbain,,10 m²,14 m²,40 m²,,1,,24 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Après la signature de l’acte,,Fraîchement rénové,2,,156 m²,31 m²,Équipée,2,1,1,,Non,212 m²,6 m,Oui,,Nord-ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,Non,Zone non inondable,Zone résidentielle récréative,309.000 €,329 €,Non,,,Non,,Non,,,6 m,"Zone d'habitat (résidentiel, urbain ou rural)",,25 m²,14 m²,,Non,,Oui,13 m²,,,,Non,,Connecté,,Non,Non,Non,35 m²,Oui,Non,Non,Non,Non,Non,Non,50 m²,Nord-ouest,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,,Oui,29 m²,92 m²,Non,,,,,,,,,,,,,,,,
12,Après la signature de l’acte,1934,Fraîchement rénové,2,,129 m²,,,3,1,2,Oui,Non,200 m²,4.95 m,Oui,,,177 kWh/m²,B,00020826501,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,423 €,Non,"Dr. Roosensplein 47
2930 - Brasschaat",,Non,Oui,Non,4508997,,4.95 m,,,,,,Oui,1,,,,,,,,Connecté,,,,,11 m²,,,,,,,,73 m²,,,,,,Non,,,,,,,,,,73 m²,,Schoten,,,,,,,,,,,,,,,
13,Après la signature de l’acte,1993,Excellent état,4,2,550 m²,,Hyper équipée,4,3,,,Non,5000 m²,,,,,255 kWh/m²,C,20201001-0002322126-RES-1,Non communiqué,Non communiqué,,,Oui,,,Zone non inondable,,2.250.000 €,,Non,"Heidestatiestraat 53
2920 - Kalmthout",4438059,,,,,,,,,,,,,2,,,,,,,,,Oui,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,
14,,1996,Excellent état,4,,450 m²,100 m²,,4,1,3,,,3700 m²,50 m,,,,260 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,1.100.000 €,3.400 €,Non,,,,,,,,50 m,"Zone d'habitat (résidentiel, urbain ou rural)",,16 m²,28 m²,,,,Oui,20 m²,,2,16 m²,Oui,Oui,,,,,,,Oui,Oui,,Oui,,Oui,Oui,,,,,,,,,,,,,,,,200 m²,,,,,,,,,,,,,,,,,,
15,,2012,,4,2,670 m²,,,6,4,,,Non,5125 m²,,Non,,,140 kWh/m²,B,003023,Non communiqué,Non communiqué,,,Oui,,Non,Zone non inondable,Parc résidentiel,2.195.000 €,5.568 €,Non,"Dr. Roosensplein 47
2930 - Brasschaat",,,Oui,Non,4408407,,25 m,Isolé,,,,,Oui,2,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,Oui,,91,,,,,,,,257 m²,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,Non,,,,,Oui,"Paalstraat 70
2900 - Schoten",,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Après la signature de l’acte,,,4,,460 m²,,Américaine hyper-équipée,4,2,,,Non,2816 m²,,Oui,,,256 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,,,,1.195.000 €,5.666 €,Non,"Dr. Roosensplein 47
2930 - Brasschaat",,,,,4375072,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,Oui,,,,,,,,,,,,2816 m²,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Après la signature de l’acte,,À rafraîchir,2,,,,,4,,,,,220 m²,,Oui,,,408 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,,Non,"De Hulsten 33
2980 - Zoersel",Luc Faes,,Oui,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Après la signature de l’acte,1970,À rafraîchir,4,,240 m²,42 m²,Équipée,4,3,4,,Non,2521 m²,,Oui,,Sud-ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,Non,,,Zone non inondable,Zone d'intérêt paysager,895.000 €,1.497 €,Non,,,Non,Oui,Non,,,15 m,Pays,1,22 m²,15 m²,15 m²,Oui,7,,12 m²,11 m²,,9 m²,Oui,,Non connecté,,Non,Non,Non,250 m²,Oui,Oui,Non,Oui,Non,Non,Oui,2260 m²,,Non,Non,Non,Oui,Oui,Oui,,Non,Non,Non,Non,Toutes sortes,Oui,110 m²,,Non,,,18 m²,100 m²,1,"Oui, conforme",,,,,,,,,,
20,,2021,,2,,160 m²,,,5,1,,,Non,,,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",272.000 €,,Oui,"Karamelstraat en Nollekensstraat
2910 - Essen",2510 - 2534,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,Non,,,,,,,,,,
21,,2021,,2,1,190 m²,,Équipée,5,1,2,,Non,,,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,,Oui,"Karamelstraat en Nollekensstraat
2910 - Essen",2528 - 2534,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,Non,,,,,,,,,,
22,Après la signature de l’acte,1930,À rafraîchir,3,,194 m²,,Semi-équipée,2,1,,Oui,Non,110 m²,,Oui,,,766 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,,,,172.400 €,739 €,Oui,"Mechelsesteenweg,157
2018 - Antwerpen",,,,,4365947,,,Urbain,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Après la signature de l’acte,2019,Excellent état,2,1,,,Équipée,3,1,2,,Non,246 m²,,Oui,,,54 kWh/m²,A,EPC id. Code: 11016-G-DBA_2017040365/EP06313/A006/D03/SD001,Non communiqué,Non communiqué,,Électrique,Oui,Oui,,Zone non inondable,,395.000 €,,Non,,,Non,Oui,Non,,,15 m,Pays,,15 m²,10 m²,8 m²,Non,,,,,1,,Non,,,,Non,Oui,Non,21 m²,Non,Non,Non,Non,Non,Non,Non,120 m²,,Non,Non,Non,Oui,Oui,Oui,54,Oui,Non,Non,Non,Toutes sortes,,12 m²,,Non,,Oui,,10 m²,,,87 €,,,,,,,,,
24,À rafraîchir,,3,1,132 m²,Oui,,,Oui,Oui,,,,F,,,,,20160404-0001850007-1,Non communiqué,Non communiqué,Oui,Oui,,,,,130.000 €,669 €,,,"Spijker 2
2910 - Essen",Lynn VANDERMAST,,,,Zone non inondable,,,,,,,,,,,,1,,,,,,680 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,335 m²,,,,,3,,,,,,Non,"nl :
woensdag van 16u-18u en op zaterdag van 10u-12u, en dit vanaf woensdag 06 oktober tot en met zaterdag 23 oktober 2021",Après la signature de l’acte,Oui,Non,,,,
25,,1976,À rafraîchir,4,,70 m²,,,2,1,1,,Non,2557 m²,,,,,627 kWh/m²,F,20210614-0002428624-RES-1,Non communiqué,Non communiqué,,Mazout,,Oui,Non,Zone inondable potentielle,Zone résidentielle récréative,325.000 €,788 €,Non,"Kapellensteenweg 49
2920 - Kalmthout",D2920-21081,Non,Oui,Non,,,,Urbain,,,,,,1,,,,,,,,,,Non,,,30 m²,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Après la signature de l’acte,2001,Bon,4,2,375 m²,52 m²,Équipée,4,2,3,,Non,761 m²,15 m,Oui,Oui,Nord-ouest,144 kWh/m²,B,Non communiqué,3 kg CO₂/m²,Non communiqué,Non,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",570.000 €,1.854 €,Non,"Roggebos 8
2920 - Kalmthout",,,Oui,Non,,,9 m,"Zone d'habitat (résidentiel, urbain ou rural)",,19 m²,14 m²,10 m²,Oui,4,,,10 m²,,9 m²,Oui,,Connecté,,,,,,,Oui,,Oui,,,Oui,,,,,,,Oui,,,Oui,Oui,,,,Oui,,,,,,,29 m²,1,,,,,,,,,,,
27,Après la signature de l’acte,1972,Bon,2,1,178 m²,33 m²,Équipée,5,1,2,,Non,216 m²,,Oui,,Ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,Non,,,Zone non inondable,,284.500 €,,Non,,,Non,,,,,8 m,"Zone d'habitat (résidentiel, urbain ou rural)",1,18 m²,15 m²,12 m²,Non,1,,12 m²,6 m²,,8 m²,Oui,Oui,,,Non,Non,Non,10 m²,Non,Oui,Non,Non,Non,Non,Non,38 m²,,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,,Oui,,,,,,,,,"Oui, conforme",,,,,,,23 m²,,,
28,,1966,Bon,3,,154 m²,,,3,1,1,,Non,1704 m²,,,,,591 kWh/m²,F,202.10504-0002410910,Non communiqué,Non communiqué,,Mazout,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",389.000 €,1.048 €,Non,"Kapellensteenweg 49
2920 - Kalmthout",D2920-21092,,Oui,Non,,,,Urbain,,,,,,,,,,,,,,,,,,,24 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,1976,,,1,170 m²,,,4,1,1,,,234 m²,,Oui,Oui,Sud,246 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",285.000 €,,Non,"Kortrijksesteenweg 626
9000 - Gand",Essen woning,,Oui,Non,,,6.5 m,,,14 m²,15 m²,15 m²,,,,12 m²,8 m²,,,Non,,Connecté,,,,,,Non,,,Non,Non,Non,Non,,,,,,,,,,,,,,,Oui,,,Non,,,,,,,,,,,,,,,,
30,Selon le locataire,1957,Excellent état,2,,223 m²,20 m²,Équipée,1,,,Oui,,574 m²,8 m,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",368.000 €,1.049 €,Oui,"Driesheide 99
2980 - Halle",,,Oui,Non,,,8 m,,,15 m²,,,,8,,7 m²,,,,,,Connecté,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88 m²,,Non,,,,,,,,100,,
31,,1977,Bon,4,1,180 m²,,Semi-équipée,3,1,1,Oui,Non,1123 m²,,,,,465 kWh/m²,E,202110617-0002430215-RES1,Non communiqué,Non communiqué,Non,Gaz,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",435.000 €,1.611 €,Non,"Kapelstraat 62
2910 - Essen",,,Oui,,2650 - 1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,1960,À rafraîchir,4,,266 m²,48 m²,Équipée,5,1,2,,Non,1250 m²,,,,,544 kWh/m²,F,20130409-0001346323-00000006-7,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",590.000 €,1.700 €,Non,"Paalstraat 70
2900 - Schoten",20238 - 834,,Oui,Non,,,14 m,,,,,,,,,,,,,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,1973,Bon,4,1,240 m²,39 m²,Équipée,3,1,2,,Non,928 m²,,,,Sud-ouest,487 kWh/m²,E,20120423-0001101555-00000003-7,Non communiqué,Non communiqué,Non,Mazout,Oui,,,,,475.000 €,,Non,"Britselei 42
2000 - Antwerpen",9992 - 3596056,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,700 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,1984,Bon,4,1,250 m²,36 m²,Équipée,4,1,2,,Non,600 m²,15 m,Non,Oui,Nord-ouest,541 kWh/m²,F,20210731-0002446901-RES-1,Non communiqué,Non communiqué,,Électrique,Oui,,Non,Zone non inondable,Autre type de zone,545.000 €,1.509 €,Non,"Bredabaan 661
2930 - Brasschaat",,,Oui,Non,3614,,9 m,,,18 m²,14 m²,12 m²,,2,,18 m²,12 m²,,,Non,,Connecté,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,150 m²,,,,,,,,,,,,,,,,,
35,,1918,Bon,3,,171 m²,,Équipée,4,1,1,Oui,Non,250 m²,,,,,571 kWh/m²,F,20210603-0002423314-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,,,Zone non inondable,,289.500 €,,Non,"Kapelstraat 62
2910 - Essen",,,Oui,,2641 - 1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Après la signature de l’acte,1918,Fraîchement rénové,2,,110 m²,,Équipée,2,2,2,,Non,72 m²,4.4 m,Oui,,,364 kWh/m²,D,20150907-0001790122-1,Non communiqué,Non communiqué,Non,Électrique,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.500 €,,Oui,"Theo Verellenlaan 19
2990 - Wuustwezel",1313834 - 1308303,,Oui,,,,,,,16 m²,14 m²,,,,Oui,16 m²,,,,,,,,,Oui,,6 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,
37,Après la signature de l’acte,,,3,2,170 m²,30 m²,Pas équipée,4,1,2,,Non,600 m²,15 m,,,Sud-est,312 kWh/m²,D,20210728-0002445765-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,,Non,"Frans de L'arbrelaan, 57
2170 - Merksem",1314301 - 1314200,,,,,,10 m,,1,,,,,2,,,,,,,,,,,,,30 m²,,,,,,,,250 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,À définir,1996,,4,2,176 m²,,Semi-équipée,3,1,1,,Non,1573 m²,25 m,Oui,,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Électrique,Oui,,,,Zone forestière,480.000 €,,Non,,,Non,Oui,,,,9 m,,1,,,,Non,5,Oui,,,,,Oui,,Non connecté,,Non,Non,Non,150 m²,Non,Oui,Non,Oui,Non,Non,Oui,1200 m²,Sud,Non,Oui,Non,Non,Oui,Oui,,Oui,Oui,Oui,Non,,Oui,,,,,Oui,48 m²,,2,,,,,,,,,,,
39,Après la signature de l’acte,1976,Bon,4,3,275 m²,37 m²,Américaine équipée,4,1,2,Oui,Non,1999 m²,37 m,Oui,Oui,Sud,309 kWh/m²,D,20181106-0002104485-2,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",635.000 €,2.350 €,Non,"Bredabaan 260
2930 - Brasschaat",31872 - EKE-21-JDH-0,,,Non,,,14 m,"Zone d'habitat (résidentiel, urbain ou rural)",1,20 m²,18 m²,18 m²,,,Oui,15 m²,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Après la signature de l’acte,1895,Bon,4,,510 m²,,Semi-équipée,6,3,,,Non,3840 m²,52 m,Oui,Oui,Nord-ouest,454 kWh/m²,E,20191021-0002208350-RES-2,Non communiqué,Non communiqué,Non,Gaz,,Non,Non,Zone non inondable,Zone d'intérêt paysager,1.249.000 €,976 €,Non,"Bredabaan 260
2930 - Brasschaat",39791 - BRA-21-RDA-0,,Oui,Non,,,18 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Après la signature de l’acte,1965,Bon,4,,120 m²,25 m²,Équipée,2,1,1,,Non,3500 m²,35 m,Oui,,,413 kWh/m²,E, ,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,Zone non inondable,,385.000 €,350 €,Non,,,Non,,Non,,,,,,,,,Non,3,,,,1,,Oui,Oui,Connecté,,Non,Oui,Non,,Non,Oui,Non,Oui,Oui,Oui,Oui,3500 m²,,Non,Non,Non,Non,Non,Oui,,Non,Non,Oui,Non,,Oui,,,,,,,,1,,,,,,,,,,,Oui
42,,2021,,,,184 m²,,Équipée,3,1,2,,Non,470 m²,11.4 m,Oui,Oui,Est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,,Non,"Lage Kaart 371
2930 - Brasschaat",,,Oui,Non,EKLM0200,,6.5 m,Pays,,,,,,,,,,,,Non,,Connecté,Oui,,,,,Non,,,Non,Non,Non,Non,,,,,,,,,40,,,,,,,,,Non,,Oui,,,,,,,,,,,,,,
43,,2021,,,,184 m²,,Équipée,3,1,2,,Non,470 m²,11.4 m,Oui,Oui,Est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,,Non,"Lage Kaart 371
2930 - Brasschaat",,,Oui,Non,EKLM0200C,,6.5 m,Pays,,,,,,,,,,,,Non,,Connecté,Oui,,,,,Non,,,Non,Non,Non,Non,,,,,,,,,40,,,,,,,,,Non,,Oui,,,,,,,,,,,,,,
44,,1997,Excellent état,4,,184 m²,,,3,1,1,,Non,1269 m²,,,,,275 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,1.579 €,Non,"Kapellensteenweg 49
2920 - Kalmthout",D2920-21140,Non,Oui,Non,,,,Urbain,,,,,,4,,,,,,,,,,Non,,,30 m²,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,1956,Bon,4,,283 m²,,,6,3,,,Non,599 m²,,,,,281 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",450.000 €,,Oui,"Kapellensteenweg 49
2920 - Kalmthout",D2920-21027,,Oui,Non,,,,Urbain,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Après la signature de l’acte,1961,À rénover,4,1,180 m²,,,3,1,1,Oui,Non,1005 m²,15 m,Oui,,Ouest,753 kWh/m²,F,20210817-0002452347-RES-1,Non communiqué,Non communiqué,,Gaz,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",259.000 €,1.228 €,Non,,,,,Non,,,15 m,,,15 m²,15 m²,15 m²,,1,Oui,,,1,,Oui,Oui,Connecté,,,,,,Non,Oui,Non,Oui,Non,Non,Oui,825 m²,,,,,,,,,Non,Non,Non,Non,,Oui,,,Non,,Oui,70 m²,,,,,,,,,,,,,
47,,2016,,,,215 m²,48 m²,Équipée,4,1,2,,Non,400 m²,,Oui,,Sud,87 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",575.000 €,,Non,"Van Breestraat 3
2018 - Antwerpen",spir430,Non,,,,,,,,13 m²,15 m²,18 m²,Oui,2,,,6 m²,,,Non,,Connecté,,Non,Non,Non,,Oui,,,Non,Non,Non,Non,185 m²,,Non,,,,Non,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
