,État du bâtiment,Nombre de façades,Chambres,Bureau,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Année de construction,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Salles de bains,Toilettes,Surface de bureau,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Salon,Cave,Terrasse,Nom de l'agent,Surface de la cave,Niveau E (performance énergétique globale),Référence externe,Salles de douche,Grenier,Quartier ou lieu-dit,Dressing,Buanderie,Surface du grenier,Disponible le,Largeur du terrain à rue,Attestation as-built,Surface constructible totale au sol,Visite virtuelle,Isolé,Attestation de conformité des citernes à mazout,Jardin,Nombre d'annexes,Obligation de construire,Combien de feux ouverts ?,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Surface de l'espace professionnel,Nom du bien,Description libre du PEB,Pourcentage loué,Revenu mensuel actuel
87,,4,2,,Non,,1090 m²,,Non,937 kWh/m²,F,20210723-000244494-RES-1,Non communiqué,Non communiqué,,Faire offre à partir de 275.000 €,515 €,Non,"Ninoofsesteenweg 4 bus A
1540 - Herne",4418243,Après la signature de l’acte,1930,10.75 m,1,3,,161 m²,15 m²,Oui,,10 m²,17 m²,20 m²,,,,1,1,,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,,,Non,Non,Non,Zone non inondable,Zone agricole,,,Oui,,30 m²,,,,,,,,31 m²,,15 m,,,,,,,,,,,,,,,,,,
88,,4,3,Non,Non,Non,3063 m²,Connecté,Oui,328 kWh/m²,D,20210609-0002426803-RES-1,Non communiqué,Non communiqué,Oui,895.000 €,,Non,"Edingsesteenweg 296
9400 - Ninove",SK482,,,13 m,1,,,,65 m²,,Équipée,28 m²,27 m²,20 m²,24 m²,,,,3,,,,,,,,Sud-ouest,,,,,,,,,,,,,,Mazout,,,,,,Villa,,,Non,,,,Oui,,,,,,,,,,,,,30 m,,,,,,Oui,,,,,,,,,,,,
89,À rafraîchir,3,4,Oui,Non,,1718 m²,Connecté,Non,267 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,449.000 €,1.866 €,Non,"Winderickxplein 25
1652 - Alsemberg",,,1993,,2,,,210 m²,13 m²,Oui,,19 m²,11 m²,17 m²,12 m²,27 m²,,2,2,,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,,,,,,,,,Oui,,,,,4398915,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Fraîchement rénové,2,3,,Non,,444 m²,,Oui,144 kWh/m²,B,20210428-0002407749-RES-1,Non communiqué,Non communiqué,Oui,299.000 €,373 €,Oui,"Geraardsbergenstraat 13A
9570 - Lierde",974 - DS21/037,Après la signature de l’acte,,,,,,132 m²,,Oui,Hyper équipée,7 m²,16 m²,15 m²,11 m²,,,1,2,,,Non,,,,,,,,,,,,,,Oui,,,,,Gaz,,,,,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,
91,Fraîchement rénové,2,3,,Non,,444 m²,,Oui,144 kWh/m²,B,20210428-0002407749-RES-1,Non communiqué,Non communiqué,Oui,299.000 €,373 €,Non,"Geraardsbergenstraat 13A
9570 - Lierde",973 - DS21/037,Après la signature de l’acte,,,,,,132 m²,,Oui,Hyper équipée,7 m²,16 m²,15 m²,11 m²,,,1,2,,,Non,,,,,,,,,,,,,,Oui,,,,,Gaz,,,,,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,
92,Bon,4,6,,Non,,3466 m²,,Oui,442 kWh/m²,E,2060623-1,Non communiqué,Non communiqué,Oui,1.290.000 €,3.062 €,Non,"Boekvijverstraat 20
9506 - Zandbergen",1740 - 365,,,,7,5,,1100 m²,,,Hyper équipée,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,Non,Non,,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,
93,Bon,4,6,,Non,,3466 m²,,Oui,442 kWh/m²,E,2060623-1,Non communiqué,Non communiqué,Oui,1.290.000 €,3.062 €,Non,"Boekvijverstraat 20
9506 - Zandbergen",1737 - 365,,,,7,5,,1100 m²,,,Hyper équipée,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,Non,Non,,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,
94,À rafraîchir,3,3,,Non,,,,Oui,416 kWh/m²,E,20210803-0002446871-res-1,Non communiqué,Non communiqué,,325.000 €,,Non,"Edingsesteenweg 341
1755 - Kester",2795 - 21/000057/506,Après la signature de l’acte,1952,,2,1,,150 m²,37 m²,,Équipée,14 m²,23 m²,13 m²,13 m²,,,1,2,,,,,,,,Sud-ouest,60 m²,,,,,,,,,,,,,Mazout,,,,,,,,,,Zone inondable potentielle,Zone agricole,,Oui,,,,,,,,,,,,,13.41 m,Non,,,,,Oui,,,,,,,,,,,,
95,Bon,4,4,Oui,Non,,986 m²,Connecté,Non,845 kWh/m²,F,20210929-0002470173-Res-1,Non communiqué,Non communiqué,,Faire offre à partir de 319.000 €,1.388 €,Non,"Boesmolenstraat 16C
1540 - Herne",4526717,Après la signature de l’acte,1972,10 m,2,9,,351 m²,39 m²,,Hyper équipée,18 m²,14 m²,13 m²,8 m²,18 m²,,1,1,13 m²,,,,,,400 m²,,66 m²,,,,,,,,,,,,,Mazout,,,,,Oui,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,1,Oui,,,,,1 décembre 2021 - 00:00,22.5 m,,160 m²,,,,,,,,,,,,150 m²,,,,
96,Bon,4,4,Oui,,,4470 m²,Connecté,,298 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,649.000 €,705 €,Non,"Ninoofsesteenweg 84
1750 - Lennik",4491156,,1861,,,,,279 m²,53 m²,,Américaine hyper-équipée,11 m²,34 m²,11 m²,13 m²,21 m²,,2,2,20 m²,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,,,Non,Non,Non,Zone inondable potentielle,Zone agricole,,,,,23 m²,,,,,Herne,,,,,49.52 m,,,,,,,,,,,,,,,,,,
97,,2,3,,,,270 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,354.107 €,,,"Naamsestraat 37
3000 - Leuven",Dyls,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,Woonbuurt Fondatel,,,
98,,3,3,,,,525 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,482.868 €,,Non,"Naamsestraat 37
3000 - Leuven",Dyls,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Oui,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woonbuurt Fondatel,,,
99,,2,3,,,,240 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,342.088 €,,Non,"Naamsestraat 37
3000 - Leuven",Dyls,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,Woonbuurt Fondatel,,,
100,,3,3,,,,295 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,408.713 €,,Non,"Naamsestraat 37
3000 - Leuven",Dyls,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,Woonbuurt Fondatel,,,
101,À rafraîchir,4,3,,,,1043 m²,,Non,527 kWh/m²,F,20210628-0002434730-RES-1,Non communiqué,Non communiqué,,325.000 €,1.313 €,Non,"Ninoofsesteenweg 4 bus A
1540 - Herne",4398401,,1970,13 m,1,2,,240 m²,16 m²,Oui,Américaine semi-équipée,20 m²,12 m²,14 m²,14 m²,,,1,2,,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,,,,,,,,,,Oui,,,,,,,,,,,,18 m,,,,,,,,,,,,,,,,,,
102,À rénover,4,5,,Non,,16000 m²,,,456 kWh/m²,E,20210108-0002355423-RES-1,Non communiqué,Non communiqué,,Faire offre à partir de 595.000 €,,Non,"Rue de Mons 63
1480 - Tubize",,Après la signature de l’acte,,,2,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,4519959,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Bon,4,3,,Oui,,1070 m²,,,363 kWh/m²,D,20210918-0002465910-RES-1,Non communiqué,Non communiqué,Oui,450.000 €,,Non,"Grote Markt 35
9600 - Ronse",13504 - VK 3636,Après la signature de l’acte,1974,,1,,,215 m²,,,Équipée,,14 m²,9 m²,9 m²,,,2,2,,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,
104,À rénover,3,3,,Non,,1302 m²,,,719 kWh/m²,F,20211008-0002474925-RES-1,Non communiqué,Non communiqué,,205.000 €,250 €,Non,"Grote Markt 35
9600 - Ronse",13516 - VK 3677,Après la signature de l’acte,,,,,,155 m²,,,Semi-équipée,15 m²,15 m²,15 m²,,,,1,1,,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,
105,,4,3,,,,2381 m²,,,393 kWh/m²,D,20120207010716,Non communiqué,Non communiqué,,349.000 €,708 €,Non,"Ninoofsesteenweg 4 bus A
1540 - Herne",4424952,Après la signature de l’acte,2004,,1,3,,116 m²,38 m²,,Américaine semi-équipée,,12 m²,10 m²,12 m²,,,1,2,,,,,,,,,,,,,,,,,,,,,,Électrique,,,Oui,,,,,,,Zone non inondable,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,3,1,Oui,Non,,187 m²,,,266 kWh/m²,C,2364649-KNR-1,Non communiqué,Non communiqué,Oui,235.000 €,986 €,Oui,"Marktplein 16
1570 - Galmaarden",spir1426,,1967,,,,,225 m²,16 m²,,Équipée,,15 m²,,,,,1,,17 m²,,,,,,,,,,,,,,,,,,,,,Gaz,Non,,,,Oui,,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,20 m²,,,,,,Non,,,,,,,,,Non,,,Non,,,,,,,,,,
107,,4,3,,Non,,537 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,365.891 €,,Non,"Kerkstraat, 38
1755 - Oetingen",4499537,À la livraison,,,,1,,156 m²,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,4,3,,,,537 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,402.397 €,,Non,"Kerkstraat, 38
1755 - Oetingen",4375513,À la livraison,,,,1,,174 m²,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,À rénover,4,1,,Non,,800 m²,,,629 kWh/m²,F,20190517-0002155975-res-1,Non communiqué,Non communiqué,,248.000 €,,Non,"Edingsesteenweg 341
1755 - Kester",2631 - 21/000051/505,Après la signature de l’acte,1930,,3,2,,150 m²,,Oui,Semi-équipée,13 m²,35 m²,,,,,1,1,,,,,,,,Nord,,,,,,,,,,,,,,,,,,,,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,Non,,,,,Oui,,,,,,,,,,,,
110,À rafraîchir,4,3,,Non,,1585 m²,,Oui,700 kWh/m²,F,20210413-0002401142-RES-1,Non communiqué,Non communiqué,Oui,350.000 €,679 €,Non,"Edingsesteenweg 341
1755 - Kester",2732 - 21/000032/506,Après la signature de l’acte,,,6,,,180 m²,35 m²,,Semi-équipée,30 m²,22 m²,19 m²,10 m²,,,1,1,,,,,,,,Sud-est,15 m²,,,,,,,,,,,,,Mazout,,,,,,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,10 m²,,,,,,,,,,17.5 m,Non,,,,,Oui,,,1,,,,,,,,,
111,Bon,2,3,Oui,Non,,1957 m²,,,566 kWh/m²,F,20150410-0001747485-1,Non communiqué,Non communiqué,Oui,370.000 €,,Non,"Edingsesteenweg 341
1755 - Kester",2718 - 21/000050/506,,,15 m,,7,,214 m²,50 m²,,Hyper équipée,29 m²,30 m²,23 m²,16 m²,,,1,1,16 m²,,,,,,,Est,15 m²,,,,,,,,,,,,,Électrique,,,,,,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,Non,,,,,Oui,,,1,,,,,,,,,
112,,,3,Non,,Non,140 m²,Non connecté,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,338.000 €,,Non,"206 Moorselestraat
8930 - Menen",,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,,,,,,,,DVL-Bever-201028-054,,,,Non,,,,,,,,,,,,Non,,,,,,,,,,
113,Excellent état,4,4,Oui,Non,,1408 m²,Connecté,Oui,289 kWh/m²,C,20160615-0001869009-1,55 kg CO₂/m²,Non communiqué,Oui,989.000 €,4.962 €,Non,"Drève de Limauges 11/B
1470 - Genappe",4509323,Après la signature de l’acte,1988,15.5 m,2,3,"Zone d'habitat (résidentiel, urbain ou rural)",400 m²,55 m²,Oui,Hyper équipée,26 m²,42 m²,22 m²,19 m²,13 m²,,2,3,,,,,,,1000 m²,,88 m²,,,Non,Oui,,Oui,,Oui,,,Non,,Gaz,,,,,Oui,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,2,,Brabant Flamand,,,,,23.5 m,,242 m²,,,,,,,,,,,,,,,,
114,Bon,3,4,Oui,Non,,420 m²,Connecté,Oui,359 kWh/m²,D,20210519-0002417265,25 kg CO₂/m²,Non communiqué,,685.000 €,,Non,"Avenue Orban 240
1150 - Woluwe-St-Pierre",,Après la signature de l’acte,1920,8.5 m,,,Pays,215 m²,35 m²,,Équipée,20 m²,18 m²,16 m²,17 m²,45 m²,,2,3,,,,,,,85 m²,,25 m²,,,,,,,,,,,,,,,,Oui,,,,,,,Zone non inondable,,,Oui,,,,,4400285,2,,Est et périphérie bruxelloise,,,,1 septembre 2021 - 00:00,,,,,,,,,,,,,,,18 m²,,,,
115,Fraîchement rénové,4,12,Oui,,Oui,10002 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,2.700.000 €,8.000 €,Non,,,Après la signature de l’acte,1938,100 m,,,,950 m²,70 m²,,Hyper équipée,,18 m²,24 m²,21 m²,25 m²,25 m²,6,13,25 m²,Oui,,,,Oui,10002 m²,,,,,,,Oui,,,,,Oui,,,Gaz,,,,,Oui,,Oui,Non,Non,Zone non inondable,,,,,,190 m²,,,6,,,Oui,,180 m²,,,"Oui, conforme",,,Oui,,,,,4,,,,,200 m²,,,,
116,Excellent état,3,16 m²,18 m²,183 m²,,14.57 m,Oui,122 m²,F,20170127-0001929193-1,80 kg CO₂/m²,Non communiqué,Gaz,61 m²,Non,,"Place Communale 8
1160 - Auderghem",4449054,,Immédiatement,,6.5 m,1,2,Isolé,15 m²,Américaine équipée,,15 m²,3,13 m²,1,,,,2,7 m²,Oui,,,,,,9 m²,,553 kWh/m²,,,,,,,,,,,,,Oui,,,,,,,,,,399.000 €,,,,,,Non,,,,,,,,,1 octobre 2021 - 00:00,Connecté,,Zone non inondable,100 m²,,,,,,,,,,,,,,,
117,Bon,4,6,,Non,,1003 m²,,,263 kWh/m²,C,20.130.507,Non communiqué,Non communiqué,Oui,789.000 €,3.621 €,Non,"Brusselsesteenweg 415
3090 - Overijse",4407733,Après la signature de l’acte,1995,,1,4,,350 m²,25 m²,Oui,Américaine semi-équipée,20 m²,11 m²,14 m²,16 m²,28 m²,23 m²,2,3,,,,,,,500 m²,,,,,Oui,Non,Oui,,,,,,Non,,Gaz,,,,,,,,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Oui,,,,,1,,,,,17 m²,,,,,,,,,,,,,,,,,,,,
118,Bon,4,4,Oui,Non,,2500 m²,Connecté,Oui,537 kWh/m²,F,20160712-0001879516-1,61 kg CO₂/m²,Non communiqué,Oui,1.180.000 €,3.706 €,Non,"Avenue Orban 240
1150 - Woluwe-St-Pierre",,Après la signature de l’acte,1939,,2,6,,390 m²,50 m²,Oui,Hyper équipée,18 m²,27 m²,20 m²,19 m²,16 m²,,3,4,20 m²,,,,,,1800 m²,,25 m²,,,Non,Non,,Oui,,,,,Non,,Mazout,,,,,,,,,,Zone non inondable,,,Oui,,,,,4345560,3,Oui,,,,,1 juin 2021 - 00:00,,,,,,,,,,,,,,,,,,,
119,Excellent état,4,5,Oui,,,2053 m²,Connecté,Oui,49 kWh/m²,A,20190206-0001974722-RES-2,Non communiqué,Non communiqué,,1.595.000 €,,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/27638,Après la signature de l’acte,1969,40 m,3,5,,400 m²,75 m²,,Hyper équipée,22 m²,40 m²,14 m²,14 m²,13 m²,13 m²,3,1,13 m²,,,,,,,,30 m²,,,,,,,,,,,,,Gaz,,,,,,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,13 m²,,,,
120,Excellent état,4,5,Oui,Non,Oui,2240 m²,Connecté,Oui,43 kWh/m²,A,20190206-0001974722,10 kg CO₂/m²,Non communiqué,,1.595.000 €,3.755 €,Non,"Avenue Orban 240
1150 - Woluwe-St-Pierre",,Après la signature de l’acte,1968,40 m,3,3,,500 m²,78 m²,,Hyper équipée,16 m²,40 m²,18 m²,15 m²,15 m²,15 m²,3,4,,,,,,,2000 m²,,120 m²,,,Non,Non,Oui,Oui,,Oui,,,Non,,,,,Oui,,,,,Non,Non,Zone non inondable,,,Oui,,,,,4509780,3,,,,,,16 septembre 2021 - 00:00,80 m,,500 m²,,,,,,,,,,,,20 m²,,,,
121,Bon,3,1,,Non,55 m²,3 m,Oui,534 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,534,Oui,Non,,"Stationsplein 7A
3090 - Overijse",,,,,3 m,,,,Hyper équipée,,,2,,,,,,,15 m²,,,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,Oui,Non,,Non,Non,Zone non inondable,Autre type de zone,295.000 €,,,,,Non,Gaz,,,,,,,,,Connecté,,,115 m²,,,,,,,,,,,,,,,
122,Fraîchement rénové,2,1,,Non,100 m²,4 m,Oui,Oui,E,Nietingegeven,Non communiqué,Non communiqué,468,Non,513 €,Non,"Stationsplein 7A
3090 - Overijse",,,,,4 m,,,,Oui,,4,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,,,468 kWh/m²,,,Gaz,,,,,,,,,Non connecté,,,115 m²,,,,,,,,,,,,,,,
123,Bon,4,4,Oui,Non,,2500 m²,Connecté,Oui,537 kWh/m²,F,201607120001879516-1,Non communiqué,Non communiqué,Oui,1.180.000 €,3.706 €,Non,"Chaussée de Louvain 433
1380 - Lasne",4361207,Après la signature de l’acte,1939,,1,,,390 m²,50 m²,Oui,Hyper équipée,,31 m²,20 m²,18 m²,16 m²,,3,,20 m²,,,,,,1800 m²,,25 m²,,,Non,Non,,Oui,,,,,Non,,Mazout,,,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,Oui,,,,,1 juin 2021 - 00:00,,,450 m²,,,,,,,,,,,,,,,,
124,Bon,4,4,Oui,Non,,314 m²,,Non,631 kWh/m²,F,20151005-0001799370-1,Non communiqué,Non communiqué,Oui,485.000 €,1.668 €,Non,"Brusselsesteenweg 415
3090 - Overijse",4505773,Après la signature de l’acte,1962,,1,1,,145 m²,29 m²,,Américaine hyper-équipée,10 m²,10 m²,10 m²,12 m²,23 m²,,1,2,11 m²,,,,,,10 m²,,7 m²,,,,,,,,,,,,,,,,,,,,,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,À rafraîchir,4,3,,Non,,2368 m²,,Non,487 kWh/m²,E,20210617-0002430251-RES-1,Non communiqué,Non communiqué,Oui,549.000 €,2.294 €,Non,"Brusselsesteenweg 415
3090 - Overijse",4391450,Après la signature de l’acte,1963,,4,1,,205 m²,33 m²,,Hyper équipée,14 m²,15 m²,19 m²,24 m²,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
126,Fraîchement rénové,4,5,Oui,Non,Oui,2053 m²,Connecté,Oui,Non communiqué,Non communiqué,20190206-0001974722-RES-2,Non communiqué,Non communiqué,Oui,1.595.000 €,,Non,"Rue Paul Devigne 70 boite 33
1030 - Schaerbeek",ANTOINE D.,Après la signature de l’acte,1972,40 m,3,5,,505 m²,50 m²,,Hyper équipée,20 m²,40 m²,14 m²,14 m²,13 m²,13 m²,3,4,13 m²,Oui,Oui,,,,1500 m²,Sud,30 m²,Sud,,,,Oui,Oui,,Oui,Oui,Oui,,,Gaz,,Oui,Oui,,Oui,,Oui,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,10 m²,,,,,,Oui,Oui,,,55 m,"Oui, conforme",,,,,,,,1,,,,,20 m²,,,,
127,À rénover,3,,,Non,,,,,766 kWh/m²,F,202104408-0002396337-KNR-1,Non communiqué,Non communiqué,Oui,350.000 €,1.762 €,Oui,"Brusselsesteenweg 415
3090 - Overijse",4457950,Après la signature de l’acte,1919,,,,,218 m²,,,Pas équipée,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,Oui,,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
128,Bon,4,4,Oui,Non,,830 m²,,,305 kWh/m²,D,20210613-0002428386-RES-1,Non communiqué,Non communiqué,Oui,850.000 €,2.684 €,Non,"GEMEENTEPLEIN 7
1560 - Hoeilaart",1816488 - 1239213,Après la signature de l’acte,1900,,2,2,,300 m²,36 m²,,Équipée,12 m²,24 m²,22 m²,20 m²,16 m²,,2,3,,,,,,,830 m²,,50 m²,,,,,,,,,,,,,Gaz,,,,,,,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,
129,À rafraîchir,2,2,Oui,Non,,235 m²,,,Non communiqué,Non communiqué,20210604-0002417386-KNR-1,Non communiqué,Non communiqué,Oui,475.000 €,2.736 €,Oui,"GEMEENTEPLEIN 7
1560 - Hoeilaart",1816738 - 1239236,,1930,,,,,292 m²,,,Semi-équipée,13 m²,,,,,,,2,70 m²,,,,,,,,90 m²,,,,,,,,,,,,,Gaz,,,,,Oui,,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,
130,Excellent état,3,4,,,,515 m²,Connecté,Non,93 kWh/m²,A,B,23 kg CO₂/m²,Non communiqué,Oui,880.000 €,,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4535154,Après la signature de l’acte,2021,10.3 m,2,2,,310 m²,58 m²,,Américaine hyper-équipée,,33 m²,12 m²,21 m²,21 m²,,2,3,,,,,,,400 m²,,60 m²,,,Non,Oui,,Oui,,,,,Non,,,,,,,,,,,,Zone non inondable,,,,,,,,,,Oui,,,,,1 octobre 2021 - 00:00,,,,,,,,,,,,,,,,,,,
131,,,2,,,,C,,,20210727-0002445521-RES-1,Non communiqué,Non communiqué,285.000 €,3.200 €,,,"Avenue Eugcne Plasky, 144/1
1030 - Schaerbeek",Michel DE FRESART,,,Oui,,,,,,,,,2,,,,,,,2,972 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,287 kWh/m²,,,,,,Oui,,,,,,,,,,Équipée,,,,,,,Non,"(àpd 1/9 au 25/9) : sam. de 9-11h et mercr. de 10-12h, MAX 2 PERS., MASQUES (OBLIGATOIRE) ET GEL non fourni.",Après la signature de l’acte,Non,,,,,
132,Excellent état,3,3,Non,Non,,373 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,557.000 €,,Non,"Landegemstraat 10
9031 - Drongen",Hoeilaart lot 5,,2021,,1,,,242 m²,,,Équipée,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,Non,,,,Oui,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,20,,,,,Non,,,,,,,,,Non,,,Non,,,,,,,,,,
133,Excellent état,3,3,Non,Non,,399 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,560.000 €,,Non,"Landegemstraat 10
9031 - Drongen",Hoeilaart lot 1,,2021,,1,,,242 m²,,,Équipée,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,Non,,,,Oui,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,20,,,,,Non,,,,,,,,,Non,,,Non,,,,,,,,,,
