,État du bâtiment,Nombre de façades,Chambres,Bureau,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Année de construction,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Salles de bains,Toilettes,Surface de bureau,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Salon,Cave,Terrasse,Nom de l'agent,Surface de la cave,Niveau E (performance énergétique globale),Référence externe,Salles de douche,Grenier,Quartier ou lieu-dit,Dressing,Buanderie,Surface du grenier,Disponible le,Largeur du terrain à rue,Attestation as-built,Surface constructible totale au sol,Visite virtuelle,Isolé,Attestation de conformité des citernes à mazout,Jardin,Nombre d'annexes,Obligation de construire,Combien de feux ouverts ?,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Surface de l'espace professionnel,Nom du bien,Description libre du PEB,Pourcentage loué,Revenu mensuel actuel
25,,2,4,,,,250 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,450.000 €,1.772 €,Oui,"Bevrijdingsplein 2
1500 - Halle",4448590,Selon le locataire,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,À rénover,2,3,,Non,,85 m²,Connecté,Oui,704 kWh/m²,F,0002458325,Non communiqué,Non communiqué,,198.000 €,681 €,Non,"Clément Behnplein 7
9400 - Ninove",,Après la signature de l’acte,,5.2 m,,,Urbain,135 m²,24 m²,Oui,Américaine semi-équipée,13 m²,22 m²,12 m²,7 m²,,,,1,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,Oui,,,,,4492359,,Oui,,,,,,5.2 m,,,,,,,,,,,,,,,,,,
27,,2,3,,Non,,57 m²,,Oui,112 kWh/m²,B,20210531-0002142904-RES-2,Non communiqué,Non communiqué,Oui,269.000 €,423 €,Non,"Brusselsesteenweg 45
1500 - Halle",395 - 158,,1850,4 m,,,Urbain,105 m²,,,,,15 m²,10 m²,8 m²,,,2,2,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,Non,Non,,Zone non inondable,,,Oui,,,,,,,,,,,,,4 m,Non,,,,Non,,,,,,,,,,,,,
28,À rénover,2,4,,Non,,482 m²,,,304 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Oui,445.000 €,,Oui,"Rue de Neerpede 370
1070 - Anderlecht",2333 - 1070,,,,,,,245 m²,,,Semi-équipée,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,Oui,,,,,,3,,,,,,,,Non,,,,,,,,,,,,,,,,,
29,À rénover,3,2,,Non,,690 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,195.000 €,675 €,Non,"Brusselsesteenweg 45
1500 - Halle",509 - 247,Après la signature de l’acte,1924,,1,,,150 m²,45 m²,Oui,Semi-équipée,13 m²,15 m²,10 m²,,,,1,1,,,,,,,,Est,,,,,,,,,,,,,,Gaz,,,,,Oui,,Non,Oui,,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,Essenbeek,,,,,10.4 m,Non,,,,,Oui,,,,,,,,,,,,
30,Bon,3,2,,Non,,490 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,66 kg CO₂/m²,Non communiqué,,387.000 €,1.898 €,,"Patattestraat 66
1755 - Kester",Rudi Van Driessche,Après la signature de l’acte,1960,,4,,"Zone d'habitat (résidentiel, urbain ou rural)",240 m²,,,Équipée,,17 m²,17 m²,,,,1,2,,,Oui,,,Oui,,,,,,,,,,,,,,,,Mazout,,,,,,,,,,,,,,,,,,,,Oui,,,,,,30 m,,,,,,,1,,,,,,,,,,,
31,À rénover,2,2,Non,Non,Non,65 m²,Connecté,Oui,422 kWh/m²,E,20210710-0002440303-RES-1,Non communiqué,Non communiqué,Oui,200.000 €,361 €,Non,,,Immédiatement,1919,4 m,,,Urbain,65 m²,16 m²,Oui,Semi-équipée,9 m²,16 m²,15 m²,,,,,1,,Non,Oui,Non,Non,Non,,,,,,,,,,,,,,,,Gaz,Non,Non,Non,Non,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,16 m²,,,,,,Non,Oui,37 m²,,,,65 m²,,,"Oui, pas conforme",,,Non,,,,,,,,,,
32,,3,3,,Non,,115 m²,,Oui,326 kWh/m²,D,20210710-0002440250-RES-1,Non communiqué,Non communiqué,Oui,309.000 €,723 €,Non,"Brusselsesteenweg 45
1500 - Halle",532 - 261,Après la signature de l’acte,1918,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",190 m²,36 m²,Oui,,14 m²,33 m²,16 m²,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Oui,,,,,,,,,,,,6.2 m,Non,,,,,,,,,,,,,,,,,
33,À rénover,,4,,Non,,,,,304 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Oui,389.000 €,,Oui,"Rue de Neerpede 370
1070 - Anderlecht",2334 - 1071,,,,,,,245 m²,,,Semi-équipée,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,Oui,,,,,,3,,,,,,,,Non,,,,,,,,,,,,,,,,,
34,Bon,2,5,Non,Non,Non,96 m²,Connecté,Oui,206 kWh/m²,C,20120224-0001049040-00000022-1,Non communiqué,Non communiqué,Oui,280.000 €,656 €,Non,"Bergensesteenweg 89
1500 - Halle",RS/0071/TK/04/2021,,1925,4 m,,,,136 m²,34 m²,,,9 m²,,,,,,1,1,,,,,,,48 m²,Sud-est,8 m²,,,,,,,,,,,,,Gaz,,,,,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,16 m²,,,,,,,,,,4 m,,48 m²,,,,,,,,,,,,,,,,
35,Bon,4,6,Oui,Non,,8656 m²,,Oui,736 kWh/m²,F,20180717026149,182 kg CO₂/m²,Non communiqué,,1.200.000 €,2.936 €,Non,"Rue d’Hérinnes 18
7850 - Enghien",,Après la signature de l’acte,1880,,2,15,,420 m²,55 m²,,Équipée,,,,,,,3,,25 m²,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,736,1477 - 20121903,,,,,,,,,Non,,,,"Oui, conforme",,,,1,,,,,,,,,
36,À rafraîchir,2,4,Non,Non,Non,210 m²,Connecté,Oui,290 kWh/m²,C,20190121-0002125613-RES-1,Non communiqué,Non communiqué,Oui,299.000 €,821 €,Non,"Bergensesteenweg 89
1500 - Halle",NM/0137/TK/08/2021,,,5 m,1,,,177 m²,33 m²,,,15 m²,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,20 m²,,,,,,,,,,5 m,,,,,,,,,,,,,,,,,,
