,À partir de,État du bâtiment,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de douche,Toilettes,Cave,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Année de construction,Nombre de façades,Salles de bains,Surface de bureau,Bureau,Grenier,Porte blindée,Concierge,Ascenseur,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Adresse,Site internet,Accessible aux personnes avec un handicap,Piscine,Terrasse,Buanderie,Salle à manger,Combien de feux ouverts ?,Droit d'achat prioritaire possible,Lieu de la vente,Séance unique,Mise à prix,Surface du jardin,Attestation de conformité des citernes à mazout,Disponible le,Type d’environnement,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Climatisation,Jacuzzi,Sauna,Internet,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Attestation as-built,Surface constructible totale au sol,Largeur de la façade à rue,Largeur du terrain à rue,Salon,Surface de l'espace professionnel,Nombre d'annexes,Quartier ou lieu-dit,Permis de bâtir obtenu,Autorisation de lotissement,Modalités de visite,Nom de l'agent,Charges mensuelles,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Durée maximale de la rente,Âge du rentier,Niveau E (performance énergétique globale),Obligation de construire,Informations supplémentaires
88,Après la signature de l’acte,,,,,,,,,4,,,,,,,,,,Non,11700 m²,,,,,,,266 kWh/m²,D,20171003000627,Non communiqué,Non communiqué,Mazout,,Oui,1.980.000 €,,Non,,4,4,,,,,,,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)","Sint-Laurentuisstraat 50D
9130 - Verrebroek",4091 - 4008,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Oui,,,,,,,,,,,,,,,,
89,,Excellent état,2,2,,179 m²,50 m²,,,3,,,,,,,,,Oui,,,Connecté,Oui,Oui,Sud,,,214 kWh/m²,C,20150109000244,40 kg CO₂/m²,57785 kWh/an,Gaz,,Oui,750.000 €,3.098 €,Non,1998,2,2,10 m²,Oui,Oui,,,Non,,Oui,,,,,"Av. Albert 1er 2a
1342 - Ottignies (Limelette)",W6553,,,Oui,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 m,,,,,,,,,,250 €,,,,,,,,,,,,
90,Après la signature de l’acte,À rafraîchir,1,1,,128 m²,24 m²,Semi-équipée,17 m²,3,10 m²,12 m²,6 m²,,,,1,1,,Non,312 m²,Connecté,Non,,,,,377 kWh/m²,E,20210905005580,93 kg CO₂/m²,48244 kWh/an,Mazout,,Oui,Faire offre à partir de 259.000 €,1.341 €,Non,,3,1,4 m²,Oui,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)","Place Communale 18
6230 - Pont-à-Celles",4536307,,,,,Oui,,Non,,,,100 m²,,,Isolé,,,,,,,,,,,,,,,,,,,55 m²,6 m,18 m,,,,,Oui,Oui,,,,,,,,,,,,,,,
91,Après la signature de l’acte,Excellent état,,,,130 m²,35 m²,Américaine hyper-équipée,16 m²,3,16 m²,15 m²,21 m²,,,,1,1,Oui,Non,185 m²,Connecté,Oui,,,25 m²,,254 kWh/m²,C,20160918001283,50 kg CO₂/m²,36873 kWh/an,Gaz,,Oui,Faire offre à partir de 275.000 €,737 €,Non,1920,2,1,,Oui,,,,,,,,,,,"Place Communale 18
6230 - Pont-à-Celles",4515834,,,,,,,,,,,120 m²,,1 janvier 2022 - 00:00,Urbain,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Après la signature de l’acte,Bon,1,2,,130 m²,40 m²,Équipée,9 m²,3,11 m²,28 m²,10 m²,,,,1,2,,Non,1000 m²,,Non,,,50 m²,,379 kWh/m²,E,20210708000595,108 kg CO₂/m²,63435 kWh/an,Électrique,,Oui,Faire offre à partir de 425.000 €,1.497 €,Non,1989,4,1,,,,,,,,,,,,,"Place Communale 18
6230 - Pont-à-Celles",4402153,,,,,Oui,,,,,,920 m²,,1 octobre 2021 - 00:00,Isolé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Après la signature de l’acte,Excellent état,,,,225 m²,43 m²,Hyper équipée,,4,,,,,,,1,1,Oui,Non,104 m²,,Oui,,,60 m²,,281 kWh/m²,D,20170222002405,52 kg CO₂/m²,64465 kWh/an,Gaz,,Oui,270.000 €,1.273 €,Non,,3,1,,,,,,,,,,,,,"Rue de Namur 93
1400 - Nivelles",2734 - 1287,,,,,,,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,Non,,4 m,4 m,,,,,,,,,,,,,,,,,,,,,
94,Après la signature de l’acte,À rafraîchir,1,,,118 m²,31 m²,Hyper équipée,,3,,,,,,,,1,Oui,Non,794 m²,,Oui,,Sud-ouest,18 m²,,652 kWh/m²,G,20210614009112,162 kg CO₂/m²,67494 kWh/an,Mazout,,,300.000 €,711 €,Non,1968,4,1,6 m²,Oui,,,,,,,,,,,"Rue de Namur 93
1400 - Nivelles",2726 - 1272,,,,,,1,,,,,600 m²,,,,,,,,,,,,,,,,,,,,,Non,,12 m,19.7 m,,,,,,,,,,,,,,,,,,,,,
95,Après la signature de l’acte,Bon,,,,320 m²,39 m²,Semi-équipée,,3,,,,,,,1,2,Oui,Non,170 m²,,Oui,,,,,474 kWh/m²,F,20190517010330,119 kg CO₂/m²,76130 kWh/an,Mazout,,Oui,325.000 €,2.813 €,Oui,1958,2,1,,,,,,,,Oui,,,,,"Rue de Namur 93
1400 - Nivelles",2741 - 1080,,,,,,,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
96,Après la signature de l’acte,Bon,,,,320 m²,39 m²,Semi-équipée,,5,,,,,,,1,2,Oui,Non,170 m²,,Oui,,,,,474 kWh/m²,F,20190517010330,119 kg CO₂/m²,76130 kWh/an,Mazout,,Oui,325.000 €,2.813 €,Non,1958,2,1,,,,,,,,Oui,,,,,"Rue de Namur 93
1400 - Nivelles",2483 - 1080,,,,,,,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,203 m²,35 m²,Équipée,,3,,,,,,,2,2,,Non,260 m²,,Oui,,Nord-est,,,90 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,357.000 €,1 €,Non,2023,3,1,,,,,,,,,,,,,"Rue du fond Cattelain 1 bt1
1435 - Mont St Guibert",3289 - 1570,,,,,,,,,,,170 m²,,1 mars 2023 - 00:00,,,,,,Non,,,,,,,,,,,,,Non,,10 m,10 m,,,,,,,,,,,,,,,,,,,,,
