,À partir de,État du bâtiment,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de douche,Toilettes,Cave,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Année de construction,Nombre de façades,Salles de bains,Surface de bureau,Bureau,Grenier,Porte blindée,Concierge,Ascenseur,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Adresse,Site internet,Accessible aux personnes avec un handicap,Piscine,Terrasse,Buanderie,Salle à manger,Combien de feux ouverts ?,Droit d'achat prioritaire possible,Lieu de la vente,Séance unique,Mise à prix,Surface du jardin,Attestation de conformité des citernes à mazout,Disponible le,Type d’environnement,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Climatisation,Jacuzzi,Sauna,Internet,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Attestation as-built,Surface constructible totale au sol,Largeur de la façade à rue,Largeur du terrain à rue,Salon,Surface de l'espace professionnel,Nombre d'annexes,Quartier ou lieu-dit,Permis de bâtir obtenu,Autorisation de lotissement,Modalités de visite,Nom de l'agent,Charges mensuelles,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Durée maximale de la rente,Âge du rentier,Niveau E (performance énergétique globale),Obligation de construire,Informations supplémentaires
0,À définir,Bon,1,1,257 m²,62 m²,Équipée,19 m²,5,16 m²,10 m²,12 m²,24 m²,18 m²,Non,1,3,Oui,Non,5912 m²,Connecté,Oui,Oui,Sud,100 m²,Sud,302 kWh/m²,D,20210811017473,Non communiqué,Non communiqué,Mazout,Non,Oui,595.000 €,2.555 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,Excellent état,,4,,500 m²,50 m²,Équipée,28 m²,4,34 m²,33 m²,27 m²,24 m²,17 m²,,,6,Oui,,2400 m²,,Oui,,,54 m²,,54 kWh/m²,A+,20170313501357,Non communiqué,26 kWh/an,,,Oui,1.680.000 €,5.900 €,Non,2013,4,5,108 m²,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Zone riveraine délimitée,"Zone d'habitat (résidentiel, urbain ou rural)","Rue Darwin 56
1050 - Ixelles",V80000598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Immédiatement,Bon,,3,,500 m²,,Équipée,,5,,,,,,,3,3,Oui,Non,2200 m²,Connecté,Oui,,,,,299 kWh/m²,D,20211006025986,Non communiqué,84899 kWh/an,Mazout,,Oui,1.150.000 €,,Non,,4,3,,Oui,Oui,,,Non,,Oui,,,,,"rue de la Gendarmerie 1
1380 - Lasne",4517738,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,Bon,1,4,,250 m²,,Hyper équipée,,5,,,,,,,,,Oui,Non,2500 m²,,,,,,,335 kWh/m²,D,20210707014169,Non communiqué,Non communiqué,,,Oui,1.185.000 €,,Non,,4,2,,Oui,Oui,,,Non,Oui,,,,,,"Avenue Legrand 30
1050 - Ixelles",4519140,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,391 m²,62 m²,Équipée,,7,22 m²,18 m²,17 m²,17 m²,13 m²,,,4,,Non,3480 m²,,,,,,,193 kWh/m²,C,20210920012907,48 kg CO₂/m²,72395 kWh/an,Mazout,,Oui,1.475.000 €,5.713 €,Non,1990,4,4,23 m²,Oui,Oui,Non,Non,Non,Oui,Non,Oui,,,,"Rue des Saules, 31
1380 - Ohain",102925,Non,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,1,,125 m²,36 m²,,,2,16 m²,14 m²,,,,,,1,,Non,595 m²,,,,,,,611 kWh/m²,G,2020120816384,152 kg CO₂/m²,96677 kWh/an,Mazout,,Oui,350.000 €,1.072 €,Non,1959,4,1,15 m²,Oui,Oui,Non,,,,,,,,,"Rue des Saules, 31
1380 - Ohain",102890,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,6,,200 m²,60 m²,Équipée,,5,11 m²,11 m²,11 m²,11 m²,,,,2,,Non,2116 m²,,,,,,,350 kWh/m²,E,20170217014684,89 kg CO₂/m²,105073 kWh/an,Mazout,,Oui,685.000 €,,Non,1966,4,3,,Oui,,Non,Non,Non,Non,Oui,Non,,,,"Rue des Saules, 31
1380 - Ohain",102893,Non,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,Bon,2,4,,275 m²,21 m²,Équipée,26 m²,4,21 m²,16 m²,17 m²,15 m²,,Oui,,,,Non,2200 m²,,Oui,,,,,247 kWh/m²,C,20121121012131,61 kg CO₂/m²,Non communiqué,Mazout,,,950.000 €,,Non,,4,4,17 m²,Oui,,,,,,,,,,,"Avenue Capouillet 58 A
1410 - Waterloo",,,,Oui,,Oui,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,À rafraîchir,,8,,,,,,7,,,,,,,4,4,,Non,9000 m²,,Oui,,,,,328 kWh/m²,D,20210721006325,Non communiqué,132147 kWh/an,Gaz,,,950.000 €,,Non,,3,4,,,,,,,,,,,,,"rue de la Gendarmerie 1
1380 - Lasne",4405148,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,Excellent état,4,,,,,,,7,,,,,,,,,Oui,,10500 m²,,,,,,,166 kWh/m²,B,20210612002985,Non communiqué,143216 kWh/an,Mazout,,,2.750.000 €,11.415 €,Non,2000,4,6,,Oui,Oui,,,,,,,,,,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/27647,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Après la signature de l’acte,À rafraîchir,,,,120 m²,12 m²,,11 m²,2,12 m²,10 m²,,,,,,1,,Non,242 m²,Connecté,Non,,,20 m²,,436 kWh/m²,F,20201129002600,109 kg CO₂/m²,40272 kWh/an,,,Oui,150.000 €,267 €,Non,,2,1,,Oui,Oui,,,,,,,Non,Zone non inondable,,"Avenue du centenaire 53/4
1400 - Nivelles",4211671,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5,,,,8549 m²,,,,,306 kWh/m²,,,,,,,,,,,D,,,,,,,Non communiqué,Non communiqué,Non communiqué,Zone d'habitat mixte (habitat & activité économique),500.000 €,,,,,"Rue de la Gendarmerie 10
1380 - Lasne",Juliette BOURDEAUX,,,,,,,,,,,,,,,9.816 €,,,,,,,,,,Non,À définir,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Après la signature de l’acte,Bon,1,10,,430 m²,,,30 m²,3,37 m²,37 m²,32 m²,,,,,4,Oui,Non,4250 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,3.600.000 €,,Non,2018,4,3,,Oui,,,,,,,,,,,"rue de la Gendarmerie 1
1380 - Lasne",4186288,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Après la signature de l’acte,Excellent état,1,2,,130 m²,33 m²,Hyper équipée,11 m²,3,15 m²,85 m²,8 m²,,,,,2,,Non,560 m²,Connecté,Non,,,25 m²,,250 kWh/m²,C,20190212018338,Non communiqué,38961 kWh/an,Mazout,,Oui,525.000 €,2.310 €,Non,1975,3,2,,Oui,Oui,,,,,,,,,,"Chaussée de Bruxelles, 352
1410 - Waterloo",4516945,,,,,,,,,,,350 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Après la signature de l’acte,Excellent état,1,,,180 m²,,,,4,15 m²,15 m²,17 m²,,,,1,2,,Non,462 m²,,,,,,,383 kWh/m²,E,Non communiqué,Non communiqué,86695 kWh/an,,,,Faire offre à partir de 395.000 €,,Non,,3,1,,,,,,,,,,,,,"rue de la Gendarmerie 1
1380 - Lasne",4346634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Après la signature de l’acte,,,4,,460 m²,,Équipée,,8,,,,,,,,3,Oui,Non,8500 m²,Connecté,Non,,,,,297 kWh/m²,D,20200707034019,Non communiqué,145444 kWh/an,Gaz,,Oui,Faire offre à partir de 800.000 €,,Non,,2,2,,Oui,Oui,,,Non,,Oui,,,,,"rue de la Gendarmerie 1
1380 - Lasne",4369321,,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,4,,221 m²,45 m²,Équipée,,4,15 m²,19 m²,19 m²,27 m²,,,1,3,,Non,5945 m²,,,,,,,Non communiqué,Non communiqué,20111127012989,222 kg CO₂/m²,252891 kWh/an,Mazout,,Oui,850.000 €,3.584 €,Non,,,1,,Non,,Non,,,,,,,Zone non inondable,,"Rue des Saules, 31
1380 - Ohain",102916,,,Oui,Oui,,,,,,,5945 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,10,,490 m²,63 m²,Équipée,,6,24 m²,16 m²,16 m²,15 m²,13 m²,,,5,,Non,2511 m²,,,,,,,270 kWh/m²,D,20201229006611,67 kg CO₂/m²,121077 kWh/an,Mazout,,Oui,1.250.000 €,6.545 €,Non,,4,4,27 m²,Oui,,Oui,Non,Non,Oui,Oui,Non,,,,"Rue des Saules, 31
1380 - Ohain",1000849,Non,Non,Oui,Oui,,,,,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Après la signature de l’acte,À rafraîchir,2,2,,220 m²,50 m²,Hyper équipée,16 m²,5,22 m²,18 m²,16 m²,13 m²,10 m²,,,2,Oui,Non,1437 m²,Connecté,Non,,,10 m²,,523 kWh/m²,G,202108170012541,Non communiqué,99506 kWh/an,Mazout,,Oui,595.000 €,3.381 €,Non,1977,4,2,,Oui,Oui,,,Non,,,,,,,"Chaussée de Bruxelles, 352
1410 - Waterloo",4506502,Oui,Non,,,,,,,,,800 m²,,14 décembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,À définir,Excellent état,1,2,,280 m²,73 m²,Hyper équipée,21 m²,5,27 m²,25 m²,16 m²,14 m²,18 m²,,,4,Oui,Non,827 m²,Connecté,Non,,,40 m²,,157 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Mazout,,Oui,795.000 €,4.692 €,Non,1989,4,4,26 m²,Oui,Oui,,,Non,,Oui,,,,,"Chaussée de Bruxelles, 352
1410 - Waterloo",4453592,Non,Oui,,,Oui,,,,,,200 m²,,27 août 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,6,,260 m²,44 m²,Équipée,,4,26 m²,19 m²,19 m²,11 m²,,,,,,Non,1999 m²,,,,,,,357 kWh/m²,E,20211005010159,88 kg CO₂/m²,173137 kWh/an,Mazout,,Oui,1.050.000 €,2.543 €,Non,,4,2,11 m²,Oui,,Non,Non,Non,Oui,Oui,Non,,,,"Rue des Saules, 31
1380 - Ohain",1000873,Non,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,5,,399 m²,55 m²,Équipée,,4,30 m²,30 m²,12 m²,,,,,3,,Non,4496 m²,,,,,70 m²,,385 kWh/m²,E,20170124014453,95 kg CO₂/m²,143304 kWh/an,Mazout,,Oui,1.075.000 €,,Non,,4,2,12 m²,Oui,Oui,Oui,Non,Non,Non,Oui,Non,,,,"Rue des Saules, 31
1380 - Ohain",102280,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Après la signature de l’acte,Fraîchement rénové,,2,,175 m²,40 m²,Hyper équipée,16 m²,3,12 m²,13 m²,13 m²,,,,,2,Oui,Non,900 m²,,,,,30 m²,,214 kWh/m²,C,20210521021803,26 kg CO₂/m²,37893 kWh/an,,,Oui,599.000 €,815 €,Non,1910,4,2,6 m²,Oui,,,,Non,,,,,,,"Chaussée de Bruxelles, 352
1410 - Waterloo",4496030,Oui,Non,,,,,,,,,900 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Après la signature de l’acte,,1,4,,1015 m²,146 m²,Équipée,20 m²,3,34 m²,34 m²,16 m²,,,,,4,,,4200 m²,,,Oui,Sud,185 m²,,256 kWh/m²,D,20210430003239,Non communiqué,131 kWh/an,,,,3.300.000 €,,Non,,4,3,15 m²,Oui,,Oui,,Oui,,Oui,,,,,"Rue Darwin 56
1050 - Ixelles",V80000283,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Excellent état,8,5,,,,,,3,,,,,,,,,Oui,,29000 m²,,,,,,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,,,Oui,3.600.000 €,,Non,2017,4,3,,Oui,,Oui,,Oui,,Oui,Oui,,,,"Avenue J. Burgers, 2 b24
1180 - Uccle",010/15205,,,Oui,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Excellent état,2,2,,184 m²,,,,4,,,,,,,,,,,1136 m²,,,,,,,239 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,595.000 €,,Non,,4,2,,,,,,,,,,,,,"rue de la Gendarmerie 1
1380 - Lasne",4278736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,380 m²,,,,1,,,,,,,,,,Non,1184 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,575.000 €,,Oui,,4,,,Non,,Non,,,,,,,,,"Rue des Saules, 31
1380 - Ohain",102923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Après la signature de l’acte,Bon,2,4,,170 m²,30 m²,Équipée,11 m²,4,22 m²,16 m²,12 m²,11 m²,,Non,1,2,,Non,1245 m²,Connecté,Non,,Sud-ouest,100 m²,Sud-ouest,278 kWh/m²,D,20210930020391,Non communiqué,Non communiqué,Mazout,Non,Oui,695.000 €,2.949 €,Non,1971,4,1,11 m²,Oui,,Non,Non,Non,Non,Oui,Non,,Zone non inondable,,,,Non,Non,,,Oui,1,,,,,1000 m²,"Oui, conforme",,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,12 m²,60 m²,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Après la signature de l’acte,Bon,2,2,,530 m²,,Hyper équipée,,5,22 m²,16 m²,20 m²,15 m²,25 m²,,3,5,,Non,3147 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,,,1.350.000 €,8.673 €,Non,2001,4,3,,,,,,Non,,,,,,,"Av. d’Hougoumont, 9 bte 2
1180 - Bruxelles",,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,4519209,,,,,,,,,,,,,,,,,,,,,,,,,
29,Après la signature de l’acte,À rafraîchir,3,5,490 m²,80 m²,4,,,2,,,,,,,4,Oui,Non,2000 m²,Oui,,,Sud-ouest,50 m²,164 kWh/m²,,B,20170610000694,Non communiqué,83180 kWh/an,Non,Oui,,Zone non inondable,Non,,"chaussée de Wavre n°373
1390 - Grez-Doiceau",1970,4,1,,Oui,,,,,,,,,850.000 €,,8104285 - 996367,,,,,,,,,,,,,Mazout,,,,,,,,,,,,,,,,,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,,,,
30,Immédiatement,Bon,1,3,,250 m²,45 m²,Équipée,,4,,,,,,,1,3,Oui,,5600 m²,,Non,,,,,504 kWh/m²,F,20210625006398,125 kg CO₂/m²,125826 kWh/an,Mazout,,,850.000 €,,Non,,4,2,,Oui,Oui,Oui,,Non,,,,,,,"Av. d’Hougoumont, 9 bte 2
1180 - Bruxelles",,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,4370281,,260 m²,,,,,,,,,,,,,,,,,,,,,,,
31,,Excellent état,2,15,,754 m²,100 m²,,,,,,,,,,,6,,Non,2230 m²,,,,,30 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,,Oui,1.650.000 €,,Oui,1975,,,350 m²,Oui,,,,,,,,,,,"Avenue Reine Astrid, 54
1410 - Waterloo",25499 - 111136103,,,,,,,,,,,2000 m²,,1 septembre 2022 - 00:00,,,,,,,,,,,,,,,,,,,Non,,23 m,30 m,,,,,,,,,,,,,,,,,,,,,
32,Après la signature de l’acte,,2,4,,275 m²,21 m²,Hyper équipée,26 m²,4,21 m²,16 m²,17 m²,15 m²,,Oui,1,4,Oui,Non,2200 m²,,Oui,,,1 m²,Sud-est,Non communiqué,C,20121121012131,61 kg CO₂/m²,Non communiqué,,Non,Non,950.000 €,,Non,,4,3,17 m²,Oui,,Non,Non,Non,Oui,Oui,Non,,,,,,Non,Non,,Oui,Oui,1,,,,,1 m²,,,Pays,Oui,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,À rénover,,,,,,,,2,,,,,,Non,,,,Non,400 m²,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,Non,420.000 €,,Non,,3,1,,Non,,Non,,,,,,,,,,,,,,,,,,,,,1 m²,,,,Non,,,,Non,Non,Non,Non,,,,,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Après la signature de l’acte,Excellent état,1,4,,133 m²,,Hyper équipée,12 m²,1,35 m²,,,,,,1,2,,,1300 m²,Connecté,Oui,Oui,Sud,20 m²,Sud,596 kWh/m²,G,20170623009494,Non communiqué,79386 kWh/an,Gaz,,Oui,499.900 €,1.241 €,Non,1954,4,,,,,,,,Oui,Oui,,,,,"Avenue Lallemand 7
1050 - Bruxelles",,,,,Oui,Oui,1,,,,,,,,,,,,,,Oui,,Oui,Oui,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
35,Après la signature de l’acte,Bon,,3,,245 m²,35 m²,Hyper équipée,30 m²,4,15 m²,13 m²,18 m²,20 m²,,,,,,Non,1107 m²,Connecté,Oui,Oui,Sud-ouest,,,486 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Mazout,,Oui,650.000 €,,,,4,2,,,Oui,,,,,,,,,,"Rue d'Anogrune 140
1380 - Lasne",,,,,,,1,,,,,,,,,Oui,10 m²,,,,,,,,,,,,,,,,,,17 m,,,75 m²,1,,,,,,,,,,,,,,,,,,
36,Après la signature de l’acte,Excellent état,2,6,1746 m²,100 m²,9,,,7,,,,,,,,,Oui,,Oui,,,,,,,E,20170113008280,85 kg CO₂/m²,463315 kWh/an,Mazout,6.500.000 €,,,13.836 €,Non,"Rue Pechère 25
1380 - Ohain",1918,4,Oui,,Oui,80978 m²,,,,,,,,,,386/0144,,,,342 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Après la signature de l’acte,À rénover,,,,170 m²,43 m²,,19 m²,2,15 m²,12 m²,,,,,,,Oui,,1084 m²,Connecté,Oui,,,,,729 kWh/m²,G,20210813007204,Non communiqué,Non communiqué,,,,410.000 €,1.289 €,,,3,1,14 m²,Oui,,,,,,,,,,,"Rue Lambermont 14
1330 - Rixensart",,,,,,Oui,,,,,,900 m²,,,,,,30 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Selon le locataire,Bon,2,2,,210 m²,57 m²,Américaine équipée,,4,20 m²,15 m²,11 m²,11 m²,,,1,2,Oui,,1136 m²,Connecté,Non,,,50 m²,,333 kWh/m²,D,20130506015458,82 kg CO₂/m²,75090 kWh/an,Mazout,,Oui,595.000 €,2.231 €,Non,1980,4,2,,,Oui,,,Non,,,,,Zone non inondable,,"Rue de Namur 167
1300 - Wavre",4457419,,Oui,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,Wavre et alentours,,,,,,,,,,,,,,,,,
39,Après la signature de l’acte,Bon,1,5,,270 m²,30 m²,Équipée,30 m²,4,15 m²,13 m²,11 m²,9 m²,,,,2,Oui,Non,2441 m²,Connecté,Non,,,40 m²,,367 kWh/m²,E,20210804011359,91 kg CO₂/m²,80632 kWh/an,Mazout,,Oui,649.000 €,,Non,1978,4,2,,,,,,Non,,Oui,,,Zone non inondable,,"Place Ernest Dubois 6
1390 - Grez-Doiceau",,Non,Non,,,Oui,,,,,,,,30 septembre 2021 - 00:00,Isolé,,,,,,,,,,,,,,,,,4454703,,,20 m,,,,,,,,,,,,,,,,,,,,,,
40,,Bon,2,5,270 m²,45 m²,1,30 m²,4,9 m²,12 m²,13 m²,15 m²,2,,,,Oui,Non,2441 m²,Oui,,,Sud-ouest,40 m²,367 kWh/m²,,E,20210804011359,Non communiqué,80632 kWh/an,Non,Oui,,649.000 €,2.595 €,Non,"chaussée de Wavre n°373
1390 - Grez-Doiceau",1978,4,2,,,,,,,,,,,,,8104276 - 996483,,,,,Oui,,Équipée,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,Mazout,,20 m,,,,,Calme et résidentiel,,,,,,,,,,,,,,,,,
41,Après la signature de l’acte,Excellent état,,2,,170 m²,14 m²,Hyper équipée,10 m²,3,18 m²,11 m²,10 m²,,,,,2,,Non,870 m²,Connecté,Oui,,Sud-ouest,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,480.000 €,,Non,2021,3,1,18 m²,Oui,Oui,,,,,,,,,,"Rue Xavier De Bue 1
1180 - Uccle",jeremy maitre,,,,Oui,Oui,,,,,,620 m²,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,,Oui,,,,,,,,,,,,,,,,,,,18 m²,,,,,,,,,,,,,,,,,,,
42,Après la signature de l’acte,À rafraîchir,,3,,193 m²,14 m²,Semi-équipée,10 m²,2,13 m²,15 m²,,,,,,1,Oui,Non,1085 m²,Non connecté,Non,,,,,404 kWh/m²,E,20210921012732,101 kg CO₂/m²,45028 kWh/an,Mazout,,Oui,Faire offre à partir de 275.000 €,,Non,1950,2,1,,,,,,,,,,,Zone non inondable,,"Chaussée de la libération, 3
1390 - Grez-Doiceau",4531717,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Après la signature de l’acte,Bon,2,2,252 m²,67 m²,Oui,17 m²,4,38 m²,34 m²,11 m²,11 m²,2,,,3,Oui,Non,1674 m²,Connecté,Non,1200 m²,,,,,C,20200127002610,Non communiqué,Non communiqué,Mazout,Oui,,Zone non inondable,2.463 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",1992,4,1,,,,,,,,,,,675.000 €,,4321240,,,,252 kWh/m²,,Hyper équipée,,,,,,Oui,,1 novembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,19 m,,,,,,,,,,,,,,,,,,,,,,
44,Après la signature de l’acte,Bon,4,6,,424 m²,,Équipée,25 m²,5,24 m²,15 m²,13 m²,13 m²,11 m²,,,5,Oui,Non,5436 m²,,Oui,Oui,Sud-est,,,324 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,1.395.000 €,6.512 €,Non,1999,4,4,22 m²,Oui,,,,,,Oui,,,,,"Vismarkt 10 c
3000 - Leuven",2679 - 2991604,,Oui,,,Oui,1,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Oui,,,,,,,,,,,,,,,,
45,Après la signature de l’acte,Fraîchement rénové,1,4,,215 m²,30 m²,Équipée,16 m²,4,18 m²,16 m²,14 m²,42 m²,,,,2,Oui,Non,879 m²,,Non,,,30 m²,,661 kWh/m²,G,20121014006662,Non communiqué,132964 kWh/an,Mazout,,Oui,450.000 €,840 €,Non,1927,4,1,,Oui,Oui,,,,,,,,Zone non inondable,,"Place Ernest Dubois 6
1390 - Grez-Doiceau",,,,,,Oui,,,,,,,,1 août 2021 - 00:00,,,,,,,,,,,,,,,,,,4403959,,210 m²,,25 m,,33 m²,,,,,,,,,,,,,,,,,,,
46,Après la signature de l’acte,À rénover,2,6,,364 m²,,Équipée,,10,,,,,,,,,Oui,,12700 m²,,,,,,,496 kWh/m²,F,20181123013555,Non communiqué,189999 kWh/an,Mazout,,,700.000 €,3.904 €,Non,1981,4,5,,,,,,,,,,,,,"Chaussée de Collines 102
1300 - Wavre",,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,4456369,,540 m²,,,,,,,,,,,,,,,,,,,,,,,
47,Après la signature de l’acte,Bon,,,550 m²,125 m²,1,,,70 m²,45 m²,24 m²,22 m²,Non,,Non,,,,Non,Non,Non,Non,,,,,B,20191022001303,29 kg CO₂/m²,4 kWh/an,Non,Non,Non,Oui,6.388 €,Non,"Drève Richelle, 118
1410 - Waterloo",1996,4,,,Non,,Non,Non,Non,Oui,Non,Oui,1.375.000 €,,,5347656,,Oui,157 kWh/m²,,,,4,Non,,,,,Gaz,,,,,,,Non,Non,Non,Connecté,,,,,Non,Non,Oui,,,Non,Non,25 m,,,,,,645 m²,Non,,,,,,,,,,,,,,,
48,Après la signature de l’acte,À rafraîchir,2,,660 m²,61 m²,Oui,,,24 m²,14 m²,17 m²,15 m²,3,,,,Oui,Non,5857 m²,Connecté,Non,51 m²,,,,,G,20190611016852,244 kg CO₂/m²,649930 kWh/an,Mazout,Oui,,Zone non inondable,10.862 €,Non,"Chaussée de Louvain 433
1380 - Lasne",1976,4,4,,64 m²,,,,Non,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1.650.000 €,4204250,,Oui,985 kWh/m²,Non,,4,,,,,,Oui,,1 juin 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,
