,À partir de,Année de construction,Nombre de façades,Type d’environnement,Surface habitable,Salon,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Surface du terrain,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Panneaux solaires,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Surface de la chambre 4,Parkings extérieurs,Surface du salon,Surface de la chambre 5,Type de chauffage,Type de zone inondable,Revenu cadastral,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Parkings intérieurs,Bureau,Cave,Mise à prix,État du bâtiment,Meublé,"Eau, gaz & électricité",Jardin,Orientation du jardin,Attestation as-built,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Largeur du terrain à rue,Buanderie,Terrain plat,Raccordement à l'égout,Niveau E (performance énergétique globale),Dressing,Parlophone,Pourcentage loué,Pompe à chaleur,Obligation de construire,Accès sécurisé / alarme,Piscine,Surface de la cuisine,Grenier,Surface du jardin,Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Interphone vidéo,Largeur de la façade à rue,Salles de douche,Surface de la cave,Surface du grenier,Surface constructible totale au sol,Disponible le,Combien de feux ouverts ?,Visite virtuelle,Salle à manger,Surface de bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Type de construction,Espace professionnel,Porte blindée,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Nombre d'annexes,Nom de l'agent,Isolé,Surface de l'espace professionnel,Quartier ou lieu-dit,Date de la vente,Nom du bien,Charges mensuelles
111,À définir,1991,4,Pays,359 m²,Oui,Équipée,4,,,,1,2,1137 m²,Oui,204 kWh/m²,C,20210920-0002466417-RES-1,Non communiqué,Non communiqué,Oui,Oui,559.000 €,Non,"Oudstrijderslaan 38
3140 - Keerbergen",4515634,Oui,Non,Non,Non,,3,,,,Zone non inondable,1.117 €,,,,,2,Oui,,,Bon,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Connecté,,,,,,,,Oui,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,À définir,,3,Rue commerçante,,,Équipée,,,,,,4,,,668 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,948.000 €,Oui,"Antwerpsesteenweg 359
2500 - Lier",4315 - LIE-21-GLE-05,Oui,Non,Non,Non,,,,,Gaz,Zone non inondable,,,,,,,,Oui,,À rénover,Non,Oui,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,30 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,2015,3,,250 m²,,,3,,,,1,,600 m²,Oui,Non communiqué,Non communiqué,13012-G-2013/0027/EP05035/A001/D01/SD001,Non communiqué,Non communiqué,Oui,Non,489.000 €,Non,"Fraikinstraat 7
2200 - Herentals",,Oui,Non,Non,Non,,,37 m²,,,,,,,,,,,,,Bon,Non,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",10 m,,,Connecté,,,,,Non,,,,13 m²,,,,,,,7 m,,,,,,,,Oui,,,,,,,Non,,,,,,,Non,Non,,,,,,,,
114,,1874,,,Oui,Oui,3,Oui,,,,2,Non,Non,Non,D,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,1.514 €,"Dorpsstraat 34 Bus 1
2590 - Berlaar",TE220321,,Non,Non,Non,Zone non inondable,,,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,,,,,Oui,Non,,Bon,165 m²,Oui,Nord,Oui,,,339.000 €,Connecté,,11 m,Oui,,1,Oui,,,Non,Non,340 kWh/m²,,,,,Non,Non,Non,11 m,,,,,,,298 m²,Équipée,,Non,Non,Non,,,,,Non,,,,,,,,,,,,,,
115,À définir,1966,4,Urbain,239 m²,,Équipée,3,20 m²,16 m²,15 m²,1,2,1100 m²,Oui,490 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,,349.000 €,Non,"Vonckstraat 3
2270 - Herenthout",4429895,Oui,Non,Non,Non,,2,33 m²,,Gaz,Zone non inondable,,,,,,1,,Oui,,À rénover,Non,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",25 m,,,Connecté,,,,,,,,,20 m²,Oui,,,,,,10.12 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herenthout,,,
116,À définir,,3,Urbain,143 m²,,Équipée,4,,,,1,1,325 m²,,622 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,195.000 €,Non,"Vonckstraat 3
2270 - Herenthout",4527504,Oui,Oui,,Non,,,,,Gaz,Zone non inondable,483 €,,,,,,Oui,Oui,,À rénover,Non,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herenthout,,,
117,Après la signature de l’acte,1980,4,"Zone d'habitat (résidentiel, urbain ou rural)",195 m²,,Américaine hyper-équipée,3,21 m²,13 m²,7 m²,1,1,1452 m²,Oui,246 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Oui,519.000 €,Non,"Rechtestraat 40
2500 - Lier",,Oui,Oui,Non,Non,,3,51 m²,,Mazout,Zone non inondable,,4498701,,,,1,,,,Bon,,Non,,,,,Zone agricole,,,,Connecté,,,,,,,,,21 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,1930,,,Oui,Oui,4,Non,,,,1,Non,Non,,F,Non communiqué,Non communiqué,Non communiqué,Non,,Toutes sortes,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",TD/080321,,,Non,Non,Zone non inondable,,5,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,2,Oui,Non,,À rénover,1400 m²,Oui,Nord-ouest,719 kWh/m²,,,349.000 €,Non connecté,,25 m,Non,,1,,,,Non,,,,,,,,,,,,,,,,,201 m²,Semi-équipée,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,
119,À définir,1874,2,,298 m²,,Américaine équipée,3,10 m²,20 m²,15 m²,1,2,165 m²,Oui,340 kWh/m²,D,0002281106,Non communiqué,Non communiqué,,Oui,339.000 €,Oui,"Koningsplein 5
2500 - Koningshooikt",4370190,,,,,,,43 m²,,Gaz,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,Oui,,,,,,11 m,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,48 m²,,,,
120,Après la signature de l’acte,1980,4,,280 m²,,Semi-équipée,4,12 m²,12 m²,12 m²,2,3,540 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,370.000 €,Non,,,Oui,,,,12 m²,1,40 m²,,Électrique,Zone non inondable,,,,,,1,Non,,,,Non,Oui,,,,,,23 m,Oui,Oui,,,Non,Non,,Non,,Non,Non,15 m²,Oui,,,Non,Non,Non,15 m,2,3 m²,,,,,,,,Non,Non,Non,Toutes sortes,Non,Non,,Non,Non,Non,Oui,Non,Non,Non,1,,Oui,,,,,
121,À définir,2008,4,,266 m²,,Équipée,3,,,,1,2,675 m²,,147 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Oui,535.000 €,Non,"Bredabaan 260
2930 - Brasschaat",38612 - HER-21-BST-1,Oui,Oui,Non,Non,,,,,Gaz,,1.222 €,,,,,1,,,,Excellent état,Non,Oui,Oui,Sud-est,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",16 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,1993,4,Pays,352 m²,,Équipée,4,,,,1,,1434 m²,Oui,244 kWh/m²,C,20210818-0002452775-RES-1,Non communiqué,Non communiqué,,Oui,525.000 €,Non,"PARKLAAN 46
2300 - Turnhout",04/14136,Oui,,Non,Non,,,48 m²,,Gaz,,1.207 €,,,,,2,Non,,,Bon,Non,Non,Oui,Sud-ouest,,,"Zone d'habitat (résidentiel, urbain ou rural)",68 m,,,Non connecté,,,Non,,,,Non,Oui,19 m²,,,,Non,Non,Non,18.79 m,,86 m²,,168 m²,1 septembre 2022 - 00:00,,,,,,,,Villa,,Non,,,,,,,,,,,,,,,,
123,Après la signature de l’acte,1956,4,,,3,,1,,,,1,Oui,Oui,747 kWh/m²,F,20190703-0002174984-RES-1,Non communiqué,Non communiqué,Oui,,,,,Yati VINCKX,,Non,Non,Zone non inondable,,,,,,,"Antoine Coppenslaan, 12 bus 2
2300 - Turnhout",,,"Kerkplein 3, 2275 Lille",Oui,"nl :
Elke zaterdag van 10u-12u, en dit vanaf zaterdag 09 oktober 2021 tot en met zaterdag 30 oktober 2021.",1,,,,,,,,,,,,,,,,,,,,,,,,,1573 m²,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,04/11/2021 - 17:00,,
124,Après la signature de l’acte,,4,"Zone d'habitat (résidentiel, urbain ou rural)",470 m²,,,7,,,,2,,45000 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,1.300.000 €,,"Leopoldstraat 49
2000 - Antwerpen",,,,,,,,,,,,,,,,,,,,,,Non,,,,,"Oui, conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johannahoeve,
125,À définir,2008,3,,180 m²,,Équipée,3,,,,1,2,116 m²,Oui,187 kWh/m²,B,1713458,Non communiqué,Non communiqué,,Oui,349.000 €,Non,"Kempenlaan 32
2300 - Turnhout",33693 - TUR-21-AGH-0,Oui,Non,Non,Non,,,,,Gaz,Zone non inondable,743 €,,,,,1,,,,Excellent état,Non,Oui,Oui,Sud,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Oui,,,,,,,,Oui,,,,,,30 avril 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,60 €
126,Après la signature de l’acte,1982,4,,252 m²,,,2,,,,1,2,759 m²,Oui,525 kWh/m²,F,20210905-0002460369-RES-1,Non communiqué,Non communiqué,,Oui,395.000 €,Non,"Grote Markt 10
2200 - HERENTALS",38580 - HER-21-BST-1,Oui,Non,Non,Non,,2,45 m²,,Gaz,Zone non inondable,1.085 €,,,,,1,,Oui,,Excellent état,Non,Oui,,Sud-ouest,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Oui,,,,300 m²,,,,,13 m,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
127,Après la signature de l’acte,2013,3,Urbain,213 m²,,Pas équipée,3,16 m²,8 m²,8 m²,1,2,617 m²,Oui,327 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Oui,310.000 €,Non,"Grote Markt 10
2200 - HERENTALS",32309 - HER-21-BST-0,Oui,Non,Non,Non,,,56 m²,,Bois,Zone non inondable,,,,,,2,,Oui,,À rafraîchir,Non,Oui,Oui,Nord,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,16 m²,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Selon le locataire,1970,4,Urbain,198 m²,,Pas équipée,4,19 m²,19 m²,9 m²,1,1,1314 m²,,695 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,299.000 €,Non,"Grote Markt 10
2200 - HERENTALS",34352 - HER-21-PME-0,Oui,Non,Non,Non,8 m²,,38 m²,,Mazout,Zone non inondable,,,,,,2,,Oui,,À rafraîchir,Non,Oui,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,23 m²,,,,,,,8 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,1938,2,,194 m²,,Hyper équipée,3,,,,1,2,445 m²,Oui,189 kWh/m²,B,0002421562,Non communiqué,Non communiqué,,Oui,429.000 €,Non,"Antwerpsesteenweg 209
2390 - Westmalle",,Oui,Non,Non,,,2,,,Gaz,Zone non inondable,792 €,4511871,,,,,Oui,Oui,,Bon,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Oui,,,Oui,,,,,Oui,,1,,,,30 juin 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,2014,3,"Zone d'habitat (résidentiel, urbain ou rural)",155 m²,,Équipée,3,,,,1,2,330 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,350.000 €,Non,,,Oui,,,Non,,2,,,Gaz,Zone non inondable,,,,,,1,Non,,,Excellent état,Non,Oui,,,,,,,Oui,Non,Connecté,53,Non,,,Non,,,,,Oui,,,,,,9 m,,,,,,,,,,Non,Non,Non,,Non,Non,,,,,,,Non,Non,,,Oui,,,,,
131,À la livraison,2021,2,,276 m²,,Équipée,3,,,,1,2,297 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,364.000 €,Non,"Kempenlaan 32
2300 - Turnhout",37128 - TUR-21-SSC-0,Oui,Non,Non,Non,,1,,,,Zone non inondable,,,,,,1,,,,,Non,,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",7.83 m,,,,30,,,,,,,,,,,22 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,2001,4,Pays,Oui,3,,Non,,,,,,20 m,,C,20120124-0001020866-00000027-3,Non communiqué,Non communiqué,Oui,,Oui,1.418 €,"PARKLAAN 46
2300 - Turnhout",04/8257,,Villa,,Non,Zone non inondable,,,,,,Zone d'extension d'habitat,Non,,,,,1,Non,,,Bon,Non,Oui,Sud-ouest,212 kWh/m²,,,625.000 €,Non connecté,,,Non,,,,,,,,,,,,,,,,16 m,,,,Non,,,290 m²,,,,,,155 m²,,800 m²,,,,,,,,,,,,,,,,
133,Après la signature de l’acte,,4,Pays,,,,3,,,,1,,3270 m²,,379 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Oui,499.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",26964 - LIE-21-KDR-0,Oui,Non,Non,Non,,,,,,Zone inondable potentielle,1.901 €,,,,,1,Oui,,,Excellent état,Non,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,À définir,2001,4,Urbain,399 m²,,Hyper équipée,4,32 m²,16 m²,14 m²,2,2,2117 m²,,175 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Oui,649.000 €,Non,"Belgïelaan 4
2200 - Herentals",,Oui,,Non,,8 m²,,56 m²,,Gaz,Zone non inondable,,4455395,,,,2,Oui,Oui,,,,Oui,,,,,,23.4 m,,,Connecté,,,,,,,,,19 m²,Oui,,,,Oui,,17.4 m,2,,,187 m²,,,,,12 m²,,,,,,,,,,,,,,,,,,12 m²,,,,
135,,1977,4,,178 m²,,,4,13 m²,17 m²,17 m²,1,,1414 m²,,579 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,399.000 €,Non,"Kempenlaan 5
2300 - Turnhout",4515220,Oui,Oui,Non,,,5,35 m²,,Gaz,Zone non inondable,,,,,,1,Oui,Oui,,,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Connecté,,,,,,,,,15 m²,Oui,,40 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,3,,,,,4,,,,1,,435 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,275.000 €,Non,,,Oui,,,,,,,,Gaz,Zone non inondable,,,,,,,Non,,,À rénover,Non,Oui,,Sud,,,,,,Non,Connecté,,Non,Non,,Non,,Non,Non,,,180 m²,20 m²,Non,Non,Non,7 m,,,,,,,,,,Oui,Non,Oui,Toutes sortes,Non,Non,Sud,Non,Non,Non,Non,Oui,Non,Non,,,,,,,,
137,,,3,,179 m²,,,,,,,,,,,447 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Oui,269.000 €,Oui,"Bisschopslaan 16
2340 - Beerse",,,Non,Non,,,,,,,Zone non inondable,,4298574,,,,,Oui,Oui,,Bon,Non,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,75 m²,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,3,,,,,,569 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,417.521 €,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9718,,,,,,,,,,,,,,,,,Non,,,,Non,,,,,Non,Autre type de zone,13 m,,,,,Non,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,3,,,,,,591 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,442.294 €,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9717,,,,,,,,,,,,,,,,,Non,,,,Non,,,,,Non,Autre type de zone,13 m,,,,,Non,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Après la signature de l’acte,1974,4,,65 m²,,Équipée,2,8 m²,5 m²,,1,1,1063 m²,,1716 kWh/m²,F,2322955,Non communiqué,Non communiqué,,,90.000 €,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",1314312 - 1307887,,Non,Non,Non,,1,17 m²,,Électrique,Zone non inondable,118 €,,,,,,,,,Bon,Non,,Oui,Sud-ouest,Non,,Zone résidentielle récréative,41 m,,,,,,,,,,Oui,,5 m²,,,,,,,7 m,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
141,Après la signature de l’acte,1991,4,,60 m²,,Pas équipée,2,10 m²,6 m²,,1,1,2500 m²,,2205 kWh/m²,F,2416786-RES-1,Non communiqué,Non communiqué,,,169.000 €,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",1314179 - 1307879,,Oui,Non,Non,,,23 m²,,,Zone non inondable,,,,,,,,,,Bon,Non,Oui,,,Non,,Zone de loisirs,49 m,,,,,,,,,,,,6 m²,,1000 m²,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Après la signature de l’acte,1979,4,"Zone d'habitat (résidentiel, urbain ou rural)",39 m²,,15 m²,16 m²,36 m²,20 m²,17 m²,2,10 m²,18 m,220 kWh/m²,C,0002460612,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,"Antwerpsesteenweg 51/5
2350 - Vosselaar",4490733,,Oui,Non,Non,Zone non inondable,2,2,Équipée,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,2,Oui,,,Bon,,Oui,,,,,435.000 €,Connecté,,,Oui,,,,,,,,,5,Non,,,,,,17 m,,,,,,,281 m²,,Oui,,,,,,846 m²,,,,,,,,,,,,,,,,
143,À définir,2012,3,,163 m²,,Équipée,4,15 m²,15 m²,16 m²,1,,442 m²,,Non communiqué,Non communiqué,13019-G-2011_12797/EP07477/A001/D01/SD001,Non communiqué,Non communiqué,Non,Oui,425.000 €,Non,,,Oui,Non,Non,Non,7 m²,,38 m²,,,Zone non inondable,,,,,,,Non,,,Excellent état,Non,Oui,,Nord-ouest,,,,,Oui,Non,Connecté,16,Oui,Non,,Oui,Non,Non,Non,16 m²,Oui,260 m²,335 m²,Non,Non,Non,12 m,,66 m²,,,,,,Oui,,Oui,Non,Non,Toutes sortes,Non,Non,Nord-ouest,Non,Non,Non,Non,Oui,Oui,Non,,,,,,,,
144,À la livraison,1925,3,Isolé,38 m²,,,14 m²,8 m²,1,,Non,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,404 €,"Grote Markt 22
2300 - Turnhout",4515192,,Non,,Non,Zone non inondable,,1,14 m²,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,1,,,,À rénover,766 m²,,,,,,239.000 €,,,,,,,,,,,,,2,,,,,,,,,,,,,,177 m²,,,,,,,,,,,,,,,,,,,,,,,,
145,,1918,4,,3,,,1,,,,Oui,,Connecté,511 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,511,Non,Non,Non,"Stationstraat 125
2440 - Geel",,,,Non,Non,Zone non inondable,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Oui,Non,,Bon,Non,Oui,,,,,435.000 €,,,,Oui,Gaz,,,,Non,,,,,,,,,,,,,,,,,,207 m²,,,,,,,Oui,1520 m²,,,,,,,Non,Oui,,,,,,,,
146,Après la signature de l’acte,,4,,470 m²,,,7,,,,2,,45000 m²,,665 kWh/m²,F,0002451208-RES-1,Non communiqué,Non communiqué,,,1.300.000 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4451355,Oui,Non,Non,Non,,,,,,,,,,,,,,,,À rénover,,,,,,,Zone d'intérêt paysager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Après la signature de l’acte,,4,Pays,,,Semi-équipée,3,11 m²,11 m²,11 m²,1,1,968 m²,Oui,670 kWh/m²,F,20210705-0002438009-RES-1,Non communiqué,Non communiqué,,Oui,325.000 €,,"Kerkstraat 25
2275 - Lille",,Oui,,,Non,,,,,Gaz,Zone non inondable,,,,,,2,,,,À rafraîchir,Non,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,Connecté,,,,,,,,,30 m²,Oui,,,,,,,,11 m²,,,,,,,,Oui,,,,,,,,,,,,,,1,,,,,,,
148,Immédiatement,,3,Pays,,,,4,,,,,,438 m²,,Non communiqué,Non communiqué,20140416-0001575667-00000001-2,Non communiqué,Non communiqué,,,275.000 €,,"Rechtestraat, 29
2275 - Lille",,,,,Non,,,,,,Zone non inondable,490 €,,,,,,,,,,Non,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
149,Après la signature de l’acte,,3,,,,,3,,,,1,,300 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,279.000 €,Non,,,,,,,,,,,,,,,,,,,Non,,,À rénover,Non,Non,,,,,,,,Non,,,Non,,,Non,,,,,Oui,1 m²,,,,,,,,,,,,,,,Oui,Non,Non,Toutes sortes,Non,Non,,,,,,,Non,Non,,,,,,,,
150,Après la signature de l’acte,,3,,,,,4,,,,1,,1970 m²,,Non communiqué,Non communiqué,20210122-0002363048-RES-1,Non communiqué,Non communiqué,,,495.000 €,,"Augustijnelaan, 87 bus 104
2200 - Herentals",,,Non,Non,,,,,,,Zone non inondable,,,,,,,,,,,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,Connecté,,,,,,,,,,,1090 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bellens Eddy,,,Centrum Poederlee,,,
