,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Année de construction,Visite virtuelle,Salon,Type de cuisine,Chambres,Salles de bains,Surface du terrain,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Procédure pour violation de la réglementation urbanistique,Adresse,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Toilettes,Buanderie,Bureau,Meublé,Jardin,Orientation du jardin,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Double vitrage,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Site internet,Cave,Grenier,Panneaux solaires,Parkings intérieurs,Surface habitable,"Eau, gaz & électricité",Terrasse,Disponible le,Combien de feux ouverts ?,Surface de bureau,Largeur du terrain à rue,Surface du jardin,Surface de la terrasse,Accès sécurisé / alarme,Surface de la chambre 4,Surface de la cave,Raccordement à l'égout,Type d’environnement,Salle à manger,Parlophone,Interphone vidéo,Surface constructible totale au sol,Porte blindée,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Nombre d'annexes,Panneaux photovoltaïques,Chauffe-eau commun,Référence externe,Type de construction,Salles de douche,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Surface du grenier,Niveau E (performance énergétique globale),Surface de la chambre 5,Surface de l'espace professionnel,Isolé,Orientation de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Nom de l'agent,Quartier ou lieu-dit
139,,,,,1998,,,Équipée,3,1,600 m²,,201 kWh/m²,B,20210629-0002433749-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,,,,Non,,"Bevelsesteenweg 40 B
2560 - Nijlen",Bon,,3,,,,,,,,2,,,Non,,,Non,"Oui, conforme",Mazout,,,,"Zone d'habitat (résidentiel, urbain ou rural)",430.000 €,,Oui,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049 - 1647,,1,,,,,,,,,,,,,,,,,,,,,,,
140,,,,À définir,,,,Équipée,3,,120 m²,,181 kWh/m²,B,20151126-0001814811-1,Non communiqué,Non communiqué,,,,Zone non inondable,,,Non,,"Veemarkt 19
2800 - Mechelen",Bon,,,,,,,,,Non,1,,,Non,Oui,Ouest,,,Gaz,Non,Oui,,,289.000 €,,,Oui,,1,165 m²,Oui,Oui,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,Ouest,,,,,,,,,,,,,,
141,,,,Immédiatement,1964,,,Équipée,3,1,1147 m²,,381 kWh/m²,D,20210611-0002428033-RES-1,83 kg CO₂/m²,Non communiqué,,,,,,889 €,,,"Blauwesteenstraat 67
2550 - Kontich",Bon,12 m,4,,35 m²,15 m²,13 m²,9 m²,23 m²,,2,Oui,,,,Nord,,,Gaz,,Oui,,,350.000 €,Kris Verstrepen,Oui,Oui,,1,140 m²,Oui,Oui,,,,,995 m²,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
142,,,,Après la signature de l’acte,1997,370 m²,,20 m²,23 m²,3,27.6 m,,D,0002469256,Non communiqué,Non communiqué,Mazout,145 m²,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,"Koningsplein 5
2500 - Koningshooikt",,4499775,,15 m,4,7,Hyper équipée,4,18 m²,14 m²,2,,32 m²,,32 m²,,,,,,Oui,,Oui,,695.000 €,2.379 €,,,,,1,46 m²,,Oui,,,Oui,Oui,,,318 kWh/m²,,55 m²,,Pays,,,,Non,,,,,,,,,,,,,,Oui,,2000 m²,,,168 m²,,,,,,,,,,,,,,,,
143,,,,Après la signature de l’acte,1945,,,Américaine équipée,4,2,680 m²,,465 kWh/m²,E,20210316-0002388227-RES-1,Non communiqué,Non communiqué,,,Oui,Zone non inondable,,,Non,Non,"Schrieksebaan 51
3120 - Tremelo",À rafraîchir,,2,5,16 m²,20 m²,20 m²,20 m²,13 m²,,2,,,Non,,,,,Gaz,,,,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,4508705,Oui,Oui,,1,300 m²,Oui,,,,,,,,,10 m²,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,Après la signature de l’acte,1980,,,Équipée,4,1,475 m²,Non,287 kWh/m²,C,20210824-0002455697-KNR-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Non,Non,"Pastoor Mellaertstraat 60
2220 - Heist-op-den-Berg",Excellent état,,3,,,,,,,Non,3,,Non,Non,Oui,Nord-ouest,Non,Non,Gaz,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",390.000 €,,,,,1,270 m²,,,,2,,,,,Oui,,,,,,Non,Non,,,,,,,,,,,spir1154,,1,Non,Non,Non,,,,,,,,,,,,,,,,,,,,
145,,,,Après la signature de l’acte,1965,,,,4,1,310 m²,,970 kWh/m²,F,20210501-0002409724-RES-1,Non communiqué,Non communiqué,Oui,,Non,Zone non inondable,,,Non,Non,"Pastoor Mellaertstraat 60
2220 - Heist-op-den-Berg",À rénover,,3,,,,,,,Non,1,,Non,Non,,,Non,Non,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",190.000 €,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,spir1159,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,Hyper équipée,4,1,606 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Zone non inondable,,,Non,Non,"Schrieksebaan 51
3120 - Tremelo",Excellent état,8 m,4,,,,,,,,2,,,Non,,,,,Gaz,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",293.420 €,4310664,,,Oui,,160 m²,Oui,,,,,15 m,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,Après la signature de l’acte,,,,Hyper équipée,3,1,,,227 kWh/m²,C,20150829-0001788457-1,Non communiqué,Non communiqué,,,,,,,Non,,"Bergstraat 11
2220 - Heist-op-den-Berg",Excellent état,,3,3,,,16 m²,12 m²,16 m²,,2,,Oui,,,,,,Mazout,,Oui,,,295.000 €,,Oui,Oui,,1,,Non,Oui,,,6 m²,,,,,,,,Isolé,,,,,,,,,,,,,,4499018,,1,,,,,,,,,,,,,,,,,,,,,,,Antwerpen
148,,,,,,Équipée,,3,Non,Non,Non,,D,Non communiqué,Non communiqué,Non communiqué,Mazout,,Oui,Non,Zone agricole,,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",Zone non inondable,20338/01TK,,,,,,,,,,2,,,Non,15007 m²,,,,,Non,,Toutes sortes,Non,795.000 €,1.925 €,,,,,,,380 kWh/m²,,,,,,,,,,,Non,,,,,,,,Non,Non,Non,Non connecté,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,3,,483 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Zone non inondable,,,Non,Non,"Impulsstraat 8
2220 - Heist-op-den-Berg",,7 m,,,,,,,,Non,,,Non,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",306.085 €,,,,,,126 m²,Non,,,,,10 m,,,,,,Non connecté,,,,,63 m²,,,Non,Non,Non,Non,,,,NPL 20 / 060,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,À définir,,,,Semi-équipée,4,,5307 m²,,459 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,,Non,Zone d'inondation reconnue,,1.883 €,Non,Non,"Orteliuskaai, 8
2000 - Antwerpen",À rafraîchir,,,1,,,,,,Non,3,,,Non,,,Non,,Mazout,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",650.000 €,,Oui,,,,405 m²,Oui,Oui,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,
151,,,,Après la signature de l’acte,,,,Américaine hyper-équipée,5,2,29361 m²,Oui,638 kWh/m²,F,0002462382-RES-1,Non communiqué,Non communiqué,,,,,,,Non,,"Chaussée de Louvain 433
1380 - Lasne",Excellent état,,4,10,,,,,,,,,Oui,,,,,,Mazout,,,,,2.975.000 €,4501754,Oui,Oui,,2,,Non,Oui,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,À la livraison,2022,,Oui,Hyper équipée,4,1,367 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Non,,"Ring 46
2200 - Herentals",,,3,,,,15 m²,11 m²,11 m²,,2,,,,,,,,,,Oui,,,450.300 €,4390355,,,Oui,,156 m²,,Oui,,,,,,,,10 m²,,,Isolé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,À la livraison,2022,,Oui,Hyper équipée,3,1,371 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Non,,"Ring 46
2200 - Herentals",,,3,,,,20 m²,11 m²,11 m²,,2,,,,,,,,,,Oui,,,453.400 €,4390654,,Oui,Oui,,195 m²,,Oui,,,,,,,,,,,Isolé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,À la livraison,2022,,Oui,Hyper équipée,4,1,362 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Non,,"Ring 46
2200 - Herentals",,,3,,,,14 m²,11 m²,11 m²,,2,,,,,,,,,,Oui,,,469.500 €,4390354,,,Oui,,154 m²,,Oui,,,,,,,,9 m²,,,Isolé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
