,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Année de construction,Visite virtuelle,Salon,Type de cuisine,Chambres,Salles de bains,Surface du terrain,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Procédure pour violation de la réglementation urbanistique,Adresse,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Toilettes,Buanderie,Bureau,Meublé,Jardin,Orientation du jardin,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Double vitrage,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Site internet,Cave,Grenier,Panneaux solaires,Parkings intérieurs,Surface habitable,"Eau, gaz & électricité",Terrasse,Disponible le,Combien de feux ouverts ?,Surface de bureau,Largeur du terrain à rue,Surface du jardin,Surface de la terrasse,Accès sécurisé / alarme,Surface de la chambre 4,Surface de la cave,Raccordement à l'égout,Type d’environnement,Salle à manger,Parlophone,Interphone vidéo,Surface constructible totale au sol,Porte blindée,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Nombre d'annexes,Panneaux photovoltaïques,Chauffe-eau commun,Référence externe,Type de construction,Salles de douche,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Surface du grenier,Niveau E (performance énergétique globale),Surface de la chambre 5,Surface de l'espace professionnel,Isolé,Orientation de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Nom de l'agent,Quartier ou lieu-dit
80,,,,À la livraison,2020,,,,4,1,1165 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,,Non,Non,"Achiel Cleynhenslaan 19
3140 - Keerbergen",Excellent état,9.05 m,4,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",402.000 €,4006536,,,,,146 m²,,,,,,14.9 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,
81,,,,,1936,,,Équipée,3,1,1450 m²,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Zone non inondable,,,Non,,,Excellent état,14 m,4,3,32 m²,10 m²,16 m²,16 m²,16 m²,Oui,2,,Oui,Non,,Sud-ouest,,"Oui, conforme",Mazout,Non,Oui,,,515.000 €,,,,Non,1,250 m²,Oui,,,,12 m²,24 m,1300 m²,24 m²,Non,,40 m²,Connecté,,Oui,Non,Non,,Non,Oui,Oui,Non,Non,Oui,1,Non,Non,,Toutes sortes,,Non,Non,Non,80 m²,,,,,Sud,Non,Non,Non,Oui,,,,,,,,,,
82,,,,Après la signature de l’acte,1970,,,,2,,919 m²,,992 kWh/m²,F,20210804-0002447960-RES-1,Non communiqué,Non communiqué,,,Non,Zone non inondable,,359 €,Non,Non,"Valkebeekstraat 24
1861 - Wolvertem",À rafraîchir,,4,5,,8 m²,10 m²,9 m²,,,1,,,Non,Oui,Sud,Non,,Électrique,,,,Zone de loisirs,65.000 €,330 - V21LON/083,,,,1,75 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
83,,,,Après la signature de l’acte,1985,,,Équipée,3,1,1132 m²,Non,345 kWh/m²,D,20210112-0002358387-RES-1,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,,Non,Non,"Pastoor Mellaertstraat 60
2220 - Heist-op-den-Berg",Bon,16 m,4,4,,,,,,Non,2,,Non,Non,,,Non,Non,Gaz,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,,,,,1,189 m²,,,,1,,22 m,,,Non,,,,,,Oui,Non,,,,,,,,,,,spir1166,,1,Non,Non,Non,,,,,,,,,,,,,,,,,,,,
84,,,,À définir,2017,,,Équipée,4,1,502 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Zone non inondable,,,Non,,,Excellent état,,3,3,,10 m²,25 m²,12 m²,12 m²,Non,2,,Non,Non,,Nord,,,Gaz,Non,Oui,,,379.000 €,,,,Non,,180 m²,Non,,,,,,300 m²,,,8 m²,,Connecté,,,,,,Non,Non,Non,Non,Non,Non,,Non,Non,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,1988,,Oui,Équipée,2,1,1280 m²,,497 kWh/m²,E,20210628-0002431126-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Non,Non,"Stationsstraat 41
9900 - Eeklo",À rafraîchir,14 m,,,,,,,,Non,,,Non,Non,Oui,Sud-ouest,,,,,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,,,,,1,114 m²,Oui,,,,,20 m,,,,,,Connecté,,,,,114 m²,,,Non,Non,Non,Non,,,,TK/Ramsel/Houtvenses,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,
86,Non,"nl :
zat. 9/10, 23/10 en 6/11 telkens van 10u00-11u30",Après la signature de l’acte,1950,À rénover,Oui,Pas équipée,1,Oui,Oui,F,,20210217-0002374970-RES-1,Non communiqué,Non communiqué,Non,Non,,Zone non inondable,100.000 €,504 €,Non,"Voorteinde, 2
2260 - WESTERLO",Sanne KNEVELS,,,3,,Oui,,,,,,,,,,,,,,,,,,,,,,,1200 m²,791 kWh/m²,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Non,"nl :
elke zat. tssn 10u-12u: vanaf zat. 16/10 tem zat. 6/11",Après la signature de l’acte,1946,4,Oui,Pas équipée,Oui,3828 m²,,F,,20210911-0002463048-RES-1,Non communiqué,Non communiqué,Mazout,Non,,180.000 €,,428 €,Non,"Herentalsesteenweg, 9
2230 - HERSELT",Debbie DIERCKX,,,,,Oui,,,,,,,,,,,,,,,,Non,Zone d'inondation reconnue,,,,,,,979 kWh/m²,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Non,"nl :
Elke zat. tss. 10u-12u, vanaf zat. 11/9 tem zat. 2/10",Après la signature de l’acte,1961,4,Équipée,3,1,Oui,1018 m²,F,,20210616-0002429776-RES-1,Non communiqué,Non communiqué,Mazout,Non,,,,485 €,Non,"Herentalsesteenweg, 9
2230 - HERSELT",Debbie DIERCKX,,,,,1,,,,,,,,,,,,,,,,Zone non inondable,160.000 €,,,,,,636 kWh/m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Non,"nl :
elke zat. tussen 10u©12u: vanaf zat. 23/10 tem zat. 13/11",Après la signature de l’acte,1956,1,,,,535 m²,,Non communiqué,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Non,Zone non inondable,185.000 €,449 €,Non,"Herentalsesteenweg, 9
2230 - HERSELT",,Debbie DIERCKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
