,État du bâtiment,Largeur de la façade à rue,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de bains,Toilettes,Surface de bureau,Bureau,Surface de la cave,Surface du grenier,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Disponible le,Quartier ou lieu-dit,Parkings intérieurs,Visite virtuelle,Permis de bâtir obtenu,Salles de douche,Cave,Meublé,Surface du terrain,Orientation du jardin,Attestation as-built,Revenu cadastral,Année de construction,Nombre de façades,Salle à manger,Porte blindée,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Salon,Terrasse,Surface constructible totale au sol,Combien de feux ouverts ?,Espace professionnel,Grenier,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Buanderie,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Jardin,Orientation de la terrasse,Référence externe,Obligation de construire,Type d’environnement,Attestation de conformité des citernes à mazout,Nom de l'agent,Isolé,Type de construction,Charges mensuelles,Parkings extérieurs,Pourcentage loué,Revenu mensuel actuel,Surface de l'espace professionnel
133,Excellent état,10 m,50 m²,Oui,8 m²,6,25 m²,26 m²,14 m²,14 m²,12 m²,5,,1,Oui,,,,,,,,,,Non,15 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Zone non inondable,Oui,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4455051,,Après la signature de l’acte,1 septembre 2021 - 00:00,,2,420 m²,,6,Oui,,Connecté,,,,1915,2,Hyper équipée,,,,,,,,,,1.850.000 €,,,,,,,180 m²,,,,,,,,Non,Non,,,,,,,Non communiqué,,,,,,,,,,,,2,,,
134,Excellent état,10 m,50 m²,Oui,8 m²,6,25 m²,26 m²,14 m²,14 m²,12 m²,5,,1,Oui,,,,,,,,,,Non,15 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Zone non inondable,Oui,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4360686,,Après la signature de l’acte,1 septembre 2021 - 00:00,,2,420 m²,,6,Oui,,Connecté,,,,1915,2,Hyper équipée,,,,,,,,,,1.850.000 €,,,,,,,180 m²,,,,,,,,Non,Non,,,,,,,Non communiqué,,,,,,,,,,,,2,,,
135,À rénover,5.2 m,290 m²,40 m²,Pas équipée,9 m²,5,10 m²,14 m²,15 m²,16 m²,23 m²,,1,1,,,,,,,,,,Connecté,Oui,75 m²,10 m²,285 kWh/m²,F,Non communiqué,57 kg CO₂/m²,Non communiqué,Gaz,Oui,599.000 €,Non,"Boulevard du Souverain 105
1160 - Auderghem",4426817,Après la signature de l’acte,,,,,,,Oui,Non,175 m²,,,,,2,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,À rénover,,350 m²,,,,6,,,,,,,1,,,,,,,,,,,Non connecté,Non,,20 m²,Non communiqué,Non communiqué,201610190000358944018,84 kg CO₂/m²,Non communiqué,Gaz,Oui,999.000 €,Non,"Rue Archimède 17
1000 - Bruxelles ville",,,,,,,,,,Non,230 m²,,,,1918,2,,Non,,Non,Non,Non,Non,Non,Non,Non,Zone non inondable,Autre type de zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,8.1 m,50 m²,Oui,12 m²,5,25 m²,25 m²,15 m²,11 m²,9 m²,3,,1,Oui,,,,,,,,,,Non,100 m²,12 m²,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Zone non inondable,1.765 €,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4506524,,À définir,1 juin 2022 - 00:00,,,320 m²,,3,Non,210 m²,Connecté,,,Non,1906,2,Américaine hyper-équipée,,,,,,,,,,1.090.000 €,,,,,,,,,,,,,,,Non,Oui,,Non,,,,,Non communiqué,,,,,,,,,,,,,,,
138,Bon,6 m,320 m²,38 m²,Équipée,6 m²,5,26 m²,17 m²,16 m²,12 m²,12 m²,,2,3,9 m²,Oui,,,,,,,6 m,Connecté,Oui,,20 m²,272 kWh/m²,E,E,Non communiqué,Non communiqué,Gaz,Oui,1.155.000 €,Non,"Av. du Prince de Ligne, 18
1180 - Uccle",4516641,Après la signature de l’acte,,,1,,,2,Oui,Non,180 m²,,,884 €,1874,2,Oui,,,,,Oui,,,,,Zone non inondable,,,,380 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 m²
139,Excellent état,,409 m²,,Équipée,7 m²,,20 m²,14 m²,12 m²,12 m²,,,,,,,,,,,,,,,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,1.990.000 €,Oui,"Chaussée de Louvain 521
1380 - Ohain",,,,,,,,,,Non,190 m²,Nord-est,Non,3.477 €,1912,2,Oui,Oui,,,,,,,,,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,Oui,,,,,,,,,,,,,,Oui,,,,,,,,Oui,,1037228 - 1037225,,,,,,,,,,4475,
140,,8 m,,,,,,,,,,,Non,,,,Non,,,Non,Non,Non,Non,75 m,,Oui,95 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,1.240.000 €,Oui,,,,,,,,Oui,,Oui,Non,185 m²,,,2.773 €,1951,2,Oui,Non,,Non,Non,Non,Non,,,,,,Oui,,,,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,Toutes sortes,,,,29568,
141,,,400 m²,,Équipée,,11,,,,,,,9,9,,Oui,,,,,,,,Connecté,Oui,,,552 kWh/m²,G,20200724013648,Non communiqué,Non communiqué,Gaz,Oui,1.249.000 €,Oui,"Rue de Herve 659
4030 - Grivegnée",4529066,,,Bruxelles,,,,9,,Non,190 m²,,,,,2,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
142,À rénover,,Oui,,3,,14 m²,18 m²,8 m²,2,,,,2,Non,,,,,,,,,,,,20 m²,439 kWh/m²,G,20210624-0000591399-01-0,Non communiqué,Non communiqué,Gaz,459.000 €,,Oui,"Chaussée d'Alsemberg 4
1420 - Braine-l'Alleud",4492668,,Après la signature de l’acte,,,,120 m²,,2,,145 m²,50 m²,,,,,2,,,,,,,,,,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Bon,,280 m²,40 m²,Équipée,,7,,,,,,,2,3,7 m²,Oui,,,,,,,,,Oui,20 m²,,177 kWh/m²,D,20210713-0000592572-01-2,36 kg CO₂/m²,Non communiqué,Gaz,Oui,845.000 €,Non,"Chaussée de Tervuren 149/3
1410 - Waterloo",876 - 1624,Après la signature de l’acte,,,,,,,Oui,Non,105 m²,,Non,,1910,2,,,177,,,,,,,,,,,,,1,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
144,Bon,6 m,420 m²,100 m²,,,5,28 m²,27 m²,16 m²,16 m²,16 m²,Non,4,10,,Non,70 m²,,Non,Non,Non,Non,,Connecté,Non,,16 m²,305 kWh/m²,F,Non communiqué,64 kg CO₂/m²,Non communiqué,Gaz,Oui,1.850.000 €,Non,"Avenue Louise 404a
1050 - Ixelles",6012122,À définir,,,1,,,1,,Non,,,Non,,1910,2,,Oui,,Non,Non,Non,Non,Non,Non,Non,,,,,600 m²,,,Oui,,,,,,,Non,Oui,Oui,Oui,Non,,Non,,,Non,,,Ouest,,,,Non,,,,,,,,
145,Bon,7.09 m,500 m²,44 m²,,,6,25 m²,20 m²,15 m²,14 m²,11 m²,,5,7,,,,,,,,,,,,40 m²,,527 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,875.000 €,Oui,"105 avenue Seghers
1081 - Bruxelles",360-000000,Immédiatement,,,,,,,Oui,Non,220 m²,,Non,,,2,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
146,,12 m,485 m²,70 m²,Hyper équipée,30 m²,7,20 m²,19 m²,18 m²,17 m²,14 m²,,3,4,,,,,,,,,,,Non,365 m²,,603 kWh/m²,G,Non communiqué,155 kg CO₂/m²,Non communiqué,,,1.980.000 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4147485,Après la signature de l’acte,,,1,,,,Oui,Non,565 m²,,,,1890,3,,,,,,,,,,,Zone non inondable,,,Oui,652 m²,,,,,,,,,,,Non,Non,Oui,,,,,,Non,,,,,,,,,,,,1,,,
147,,,270 m²,40 m²,Équipée,,6,27 m²,16 m²,15 m²,14 m²,,,,3,,,,,,,,,,,,80 m²,10 m²,474 kWh/m²,G,20201214-0000579752-01-7,95 kg CO₂/m²,Non communiqué,Gaz,Non,679.000 €,Non,"Avenue de Busleyden 21
1020 - Laeken",JUST - V21/129,,,,,,,2,,Non,200 m²,Sud,Non,1.888 €,1914,2,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Bon,,30 m²,Hyper équipée,9 m²,6,23 m²,23 m²,15 m²,14 m²,14 m²,2,,1,,,,Non,,,,,,,,338 kWh/m²,,,F,20200910-0000574578-01-5,67 kg CO₂/m²,Non communiqué,Non,725.000 €,,2.800 €,"Venelle de la réserve 2
1300 - Wavre",4367 - 2643,,Après la signature de l’acte,,,,250 m²,,63 m²,,80 m²,Oui,,Gaz,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Bon,8 m,366 m²,,,,5,,,,,,,2,,,Oui,,,,,,,,Connecté,Oui,120 m²,24 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,,1.350.000 €,Non,"avenue Montjoie 156
1180 - Uccle",,À définir,,,1,,,1,Oui,,265 m²,,,3.145 €,1921,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215/1616,,,,,,,,,,,
150,Excellent état,,Oui,,3,,20 m²,20 m²,13 m²,1,,,,1,Oui,,,,,,,,,,Non,35 m²,,Non,F,Non communiqué,67 kg CO₂/m²,Non communiqué,Gaz,595.000 €,,1 €,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4512661,,Après la signature de l’acte,1 août 2021 - 00:00,,,150 m²,,2,Non,Connecté,,,,Non,,2,,,,,,,,,,,,,Hyper équipée,,,,,,,,,,,,,Non,Oui,,Non,,,,,336 kWh/m²,,,,,,,,,,,,,,,
151,À rénover,7 m,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,Non,,50 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,845.000 €,Oui,,,Immédiatement,,,,,Oui,,,,169 m²,,,2.726 €,,2,,,,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,IMMEUBLE DE RAPPORT + PERMIS PROJET POUR INVESTISSEUR / PROMOTEUR BONNE RENTABILITÉ Un permis d’urbanisme auprès de la commune d’Etterbeek a été octroyé en 2020.,,,,,,,,,,,,,,,,,,,,,,Immeuble à appartements,,,,,
152,,,280 m²,,,,4,,,,,,,3,,,,,,,,,,,,,,,294 kWh/m²,F,20210715-0000592702-01-0,Non communiqué,Non communiqué,Gaz,Oui,745.000 €,Oui,"Rue des Combattants 98
1310 - La Hulpe",4501045,,,,,,,,Oui,,85 m²,,,2.736 €,1898,3,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
153,,,280 m²,,,,4,,,,,,,3,,,,,,,,,,,,,,,294 kWh/m²,F,20210715-0000592702-01-0,Non communiqué,Non communiqué,Gaz,Oui,745.000 €,Oui,"Rue des Combattants 98
1310 - La Hulpe",4501043,,,,,,,,Oui,,85 m²,,,2.736 €,1898,3,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
