,État du bâtiment,Largeur de la façade à rue,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de bains,Toilettes,Surface de bureau,Bureau,Surface de la cave,Surface du grenier,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Disponible le,Quartier ou lieu-dit,Parkings intérieurs,Visite virtuelle,Permis de bâtir obtenu,Salles de douche,Cave,Meublé,Surface du terrain,Orientation du jardin,Attestation as-built,Revenu cadastral,Année de construction,Nombre de façades,Salle à manger,Porte blindée,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Salon,Terrasse,Surface constructible totale au sol,Combien de feux ouverts ?,Espace professionnel,Grenier,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Buanderie,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Jardin,Orientation de la terrasse,Référence externe,Obligation de construire,Type d’environnement,Attestation de conformité des citernes à mazout,Nom de l'agent,Isolé,Type de construction,Charges mensuelles,Parkings extérieurs,Pourcentage loué,Revenu mensuel actuel,Surface de l'espace professionnel
58,Bon,11 m,268 m²,,,,9,,,,,,,,,,,,,,,,,,Connecté,Oui,,,473 kWh/m²,G,Non communiqué,95 kg CO₂/m²,Non communiqué,Gaz,Oui,630.000 €,Oui,"Chemin de la Justice 1
1300 - Limal",,Selon le locataire,,,,,,,,,67 m²,,,3.453 €,1937,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Fabrice Huberty,,,,,,4350,
59,À rafraîchir,,Oui,,4,,2,,,,,,,2,Oui,,,,,,,,,,,Oui,,,G,202105010000587922015,Non communiqué,Non communiqué,660.000 €,,,1.585 €,,,,Après la signature de l’acte,,Cinquantenaire,,250 m²,,,Non,115 m²,Oui,Oui,,"Place Des Maïeurs 4/20
1150 - Woluwé-St-Pierre",1926,3,Équipée,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,Oui,490 kWh/m²,,,,,,,Sud-ouest,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,
60,Fraîchement rénové,,230 m²,,Américaine équipée,,4,,,,,,Non,2,2,,Non,,,Non,Non,Non,Non,,Connecté,Oui,1 m²,1 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,595.000 €,Non,,,Après la signature de l’acte,,,,,,,Oui,Non,200 m²,,,,1930,2,Oui,Non,,Non,Non,Non,Oui,,,,Zone non inondable,,Oui,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,
61,Bon,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,,Connecté,Non,,,424 kWh/m²,G,20210803-­0000593584­-01­-5,85 kg CO₂/m²,Non communiqué,Gaz,Oui,725.000 €,Oui,"3B, RUE DES ROMAINS
7264 - Helmsange",,Selon le locataire,,,,,,,,,,,Non,1.544 €,,,,Non,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,Non,Non,Non,Oui,Non,,Non,,,Non,,,,6154848,,,Non,,,,,,,2800,
62,Excellent état,7.2 m,235 m²,,,,4,,,,,,,,,25 m²,Oui,,,,,,,,Connecté,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,825.000 €,Oui,"Rue de Pervyse, 37
1040 - Etterbeek",18316,Après la signature de l’acte,,,,,,5,Oui,,66 m²,,,1.241 €,1914,2,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3954592,,Immédiatement,30 décembre 2020 - 00:00,Bruxelles,113,33 kWh/m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,503 m²,,,,,,,,,,Non,,,,Non,,,,,,,,Connecté,Oui,,,309 kWh/m²,F,20210331-00004147001-5-4,61 kg CO₂/m²,Non communiqué,,Non,899.000 €,Oui,"Rue de Tervaete 35
1040 - Etterbeek",,,,,,,,,,Non,144 m²,,Non,3.509 €,1922,,,Non,,,,,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,Non,Non,Oui,Non,,Non,,,Non,,,Nord-est,3796,,,,,,,,,,,
65,À rénover,5.84 m,140 m²,23 m²,,12 m²,4,18 m²,11 m²,11 m²,11 m²,,,2,,,,,,,,,,,,,80 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Faire offre à partir de 299.900 €,Non,"Voie des Chasseurs à Cheval 4
1300 - Wavre",,Après la signature de l’acte,,,,,,,,,184 m²,,,,,4,Oui,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,4496568,,Urbain,,,,,,,,,
66,Fraîchement rénové,,260 m²,50 m²,Américaine hyper-équipée,,6,,,,,,,1,3,,,,,,,,,6 m,,,125 m²,,309 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,615.000 €,Non,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",4137 - 2082,,1 novembre 2021 - 00:00,,,,,1,Oui,Non,335 m²,,Non,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,5.5 m,152 m²,36 m²,Semi-équipée,,4,,,,,,Non,1,2,,Non,,,,,,,,Non connecté,Non,190 m²,20 m²,370 kWh/m²,G,Non communiqué,74 kg CO₂/m²,Non communiqué,,Oui,405.000 €,Non,"Rue Colonel Bourg 110, Bte 4
1030 - Bruxelles",30537,,,,,,,1,,Non,258 m²,,Non,1.160 €,1950,2,,Non,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,Sud-est,,,,,,,,,,,,
68,À rénover,,325 m²,,,,5,18 m²,18 m²,15 m²,14 m²,,,3,3,,Oui,,,,,,,,Connecté,Oui,65 m²,,394 kWh/m²,G,20210217-0000582921-01-5,101 kg CO₂/m²,Non communiqué,Gaz,Oui,495.000 €,Oui,"Rue du Virginal 83
7090 - Hennuyères",4252186,Après la signature de l’acte,,,,,,3,Oui,Non,180 m²,,,,,2,,,,,,,,,,,Zone non inondable,,,,,,,Oui,,,,,,,,Non,Oui,,,,,,,Non,,,,,,,,,,,,,,,
69,Bon,,260 m²,94 m²,Équipée,35 m²,7,10 m²,12 m²,16 m²,9 m²,10 m²,Non,,1,,,,,,,,,,Non connecté,Oui,,,263 kWh/m²,E,20190318-0000545797-01-5,Non communiqué,Non communiqué,Gaz,Oui,529.000 €,Non,"avenue Rogier 128
1030 - Schaerbeek",,À définir,,,,,,,Oui,Non,,,,1.835 €,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,À rénover,4.9 m,15 m²,Équipée,12 m²,3,19 m²,19 m²,Non,,,,1,1,Non,,Oui,,,,,,,,Non,100 m²,10 m²,Nord-est,G,Non communiqué,Non communiqué,Non communiqué,Non,,300.000 €,Non,"Rue Colonel Bourg 110, Bte 4
1030 - Bruxelles",30540,,,,,,115 m²,,,Non,Non,,,Oui,,,2,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632 kWh/m²,,,Urbain,,,,,,,,,
71,À rafraîchir,6 m,265 m²,,,,6,,,,,,,3,,,Non,,,,,,,,,,,,348 kWh/m²,G,20131010-000190482-01-9,75 kg CO₂/m²,Non communiqué,Gaz,Oui,590.000 €,Oui,"Rue Gérard 50
1040 - Etterbeek",,Selon le locataire,,,,,,,Oui,,141 m²,,,1.914 €,1930,2,,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,764/5013,,,,,,,,,,1515,
72,Bon,,210 m²,42 m²,Hyper équipée,,3,,,,,,,1,2,40 m²,Oui,,,Non,,,,,,,,3 m²,114 kWh/m²,C,Non communiqué,23 kg CO₂/m²,Non communiqué,Gaz,Oui,515.000 €,Non,"Place des chasseurs Ardennais 24-26
1030 - Schaerbeek",7905 - 654657685,,,,,,,,Oui,Non,,,Non,3.086 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,300 m²,,,,5,,,,,,,6,,,Oui,,,,,,,,,Oui,,50 m²,357 kWh/m²,G,001047944,73 kg CO₂/m²,Non communiqué,Gaz,Oui,650.000 €,Oui,"Rue Alexandre Markelbach 78
1030 - Schaarbeek",1477 - 0991,,,,,,,,Oui,Non,135 m²,,Non,2.359 €,1913,2,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,3435,
74,,,170 m²,,,,6,15 m²,10 m²,15 m²,15 m²,18 m²,Non,,3,,Non,,,Non,Non,Non,Non,,,Non,,,Non communiqué,Non communiqué,Non communiqué,384 kg CO₂/m²,Non communiqué,Gaz,Non,399.000 €,Oui,,,,,,,,,3,,Oui,45 m²,,,693 €,,2,,Non,,Non,Non,Non,Non,,,Non,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,Toutes sortes,,,100,2170,
75,À rafraîchir,5.55 m,210 m²,,Semi-équipée,,4,14 m²,14 m²,14 m²,14 m²,,,3,4,,,,,,,,,5.55 m,Connecté,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,590.000 €,Oui,"Avenue Jules du Jardin 43
1150 - Woluwe-St-Pierre",4535774,,,Bruxelles (19 communes),,,,4,,Non,102 m²,,,,1936,2,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Non,Non,Oui,,,,,,Non,,,,,,,,,,,,,,,
76,Bon,,,30 m²,Équipée,6 m²,3,,,,,,,3,3,,,,,,,,,,,,65 m²,,233 kWh/m²,E,Non communiqué,38 kg CO₂/m²,Non communiqué,,,415.000 €,Oui,"Avenues Charles Quint 114
1083 - Ganshoren",,Selon le locataire,,,,,,,Oui,,162 m²,,,1.569 €,1951,2,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Fraîchement rénové,,200 m²,16 m²,Américaine équipée,16 m²,9,16 m²,16 m²,16 m²,16 m²,16 m²,,9,4,16 m²,Oui,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,990.000 €,Oui,"Av. Louise 523
1050 - Bruxelles",,Après la signature de l’acte,,,,,,9,Oui,Non,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4368468,,,,,,,,,,,
78,À rénover,,185 m²,,Semi-équipée,6 m²,5,18 m²,18 m²,16 m²,13 m²,12 m²,,2,2,,,,,,,,,,,,,,502 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,448.000 €,Oui,"Square Ambiorix, 32/11B
1000 - Bruxelles",1699086 - 2686,Après la signature de l’acte,,,1,,,,,Non,,,Non,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,À rénover,,270 m²,,Semi-équipée,6 m²,5,18 m²,18 m²,16 m²,13 m²,12 m²,,2,2,,,,,,,,,,,,,,502 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,,448.000 €,Oui,"Square Ambiorix, 32/11B
1000 - Bruxelles",1697565 - 2685,Après la signature de l’acte,,,1,,,,,Non,,,Non,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,275 m²,,Équipée,10 m²,4,18 m²,16 m²,16 m²,15 m²,,,,4,,,12 m²,,,,,,10 m,,,90 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,479.000 €,Non,"Chaussée de Helmet 239
1030 - Schaerbeek",2350,,,,,,,4,,Non,,,Non,1.090 €,1910,2,Oui,,,Non,Non,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
