,À partir de,Disponible le,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Type d’environnement,Surface habitable,Chambres,Salles de bains,Toilettes,Bureau,Grenier,Meublé,Surface du terrain,"Eau, gaz & électricité",Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Panneaux solaires,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Parkings extérieurs,Surface du salon,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de bureau,Surface du jardin,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Porte blindée,Raccordement à l'égout,Type de chauffage,Combien de feux ouverts ?,Type de cuisine,Cave,Largeur de la façade à rue,Salon,Nom de l'agent,Surface de l'espace professionnel,Surface du grenier,Largeur du terrain à rue,Surface de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Surface constructible totale au sol,Quartier ou lieu-dit,Salles de douche,Orientation du jardin,Attestation as-built,Visite virtuelle,Buanderie,Référence externe,Dressing,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Jardin,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Espace professionnel,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Chauffe-eau commun,Obligation de construire,Nom du bien,Nombre d'annexes,Type de construction,Niveau E (performance énergétique globale),Orientation de la terrasse,Charges mensuelles,Isolé,Pourcentage loué,Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente
31,Après la signature de l’acte,,,À rafraîchir,2,,,150 m²,3,1,2,,Oui,,,Non,Oui,,,,427 kWh/m²,E,20210924-00024682617-RES,Non communiqué,Non communiqué,,Oui,Oui,,,249.000 €,,Non,"Eeuwfeestwal 32
3700 - Tongeren",4520152,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,Mazout,,Équipée,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,À définir,,,À rénover,4,1,Urbain,,3,1,,,Oui,,540 m²,Non,Oui,,,,968 kWh/m²,F,20210527-0002421441-RES-1,Non communiqué,Non communiqué,,,,Non,Zone d'inondation reconnue,255.000 €,495 €,Non,"Hoogstraat 20
9340 - Lede",,,,2,35 m²,,21 m²,15 m²,13 m²,7 m²,,,,,,,,,,,Américaine équipée,,,,,,,,,,,,,Vlaams Brabant,,,,,,4344882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,1983,,,1,,,3,1,2,Oui,,,,Non,,,,,435 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,399.000 €,,Non,"Keizersplein 21
9300 - Aalst",tetul19,,,1,,Oui,,,,,,,,,,,,Connecté,,,,Oui,,Oui,,,,,,,,,,,,Sud-ouest,,,,,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3,,,,,,,,417 kWh/m²,,,,,,,,,,,,E,20210321-0002390493-RES-1,Non communiqué,Non communiqué,Non,,,,Zone non inondable,250.000 €,,Non,"Hogeweg 3b
9320 - Aalst",Lindsay LIEVENS,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
Te bezichtigen op zaterdagen 23 oktober, 30 oktober en 6 november, telkens van 10.00 uur tot 12.00 uur",Après la signature de l’acte,716 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Après la signature de l’acte,,1933,À rénover,3,,Pays,145 m²,2,1,1,,Oui,Non,271 m²,Non,Oui,,,,1299 kWh/m²,F,20160826-0001889073-1,Non communiqué,Non communiqué,,,,Non,,209.000 €,473 €,Non,"Brusselsesteenweg 594
1731 - Zellik",4492776,Non,Non,,33 m²,,11 m²,17 m²,10 m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,Électrique,,Semi-équipée,Oui,5 m,,,,,5 m,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Après la signature de l’acte,,1973,Bon,3,2,,224 m²,3,1,,Oui,,,309 m²,Oui,Oui,,,,333 kWh/m²,D,2434746,Non communiqué,Non communiqué,,Oui,Oui,Non,Zone non inondable,349.000 €,815 €,Non,"Assesteenweg 228
1742 - Ternat",4453690,Oui,Non,,36 m²,,21 m²,18 m²,14 m²,10 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,48 m²,,Connecté,Gaz,,Équipée,,,,,,24 m²,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Après la signature de l’acte,,1930,À rafraîchir,3,1,,284 m²,4,1,,,,,872 m²,Oui,Oui,,,,512 kWh/m²,F,2392161,Non communiqué,Non communiqué,,Oui,,Non,Zone non inondable,375.000 €,862 €,Non,"Assesteenweg 228
1742 - Ternat",4420738,Non,Non,,18 m²,Oui,10 m²,11 m²,11 m²,15 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",17 m²,,10 m²,,Connecté,Gaz,,Semi-équipée,,,,,,68 m²,16 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Après la signature de l’acte,,2019,Excellent état,4,,"Zone d'habitat (résidentiel, urbain ou rural)",340 m²,4,2,2,Oui,,Non,2000 m²,Oui,,,Non,Oui,Non communiqué,Non communiqué,23105-G-DBA_2017059463/EP17512/A001/DO1/SD001,Non communiqué,Non communiqué,Oui,Oui,,,Zone non inondable,1.500.000 €,,Non,"de Limburg Stirumlaan 166
1780 - Wemmel",4515225,,,2,38 m²,,31 m²,14 m²,14 m²,14 m²,20 m²,1400 m²,,14 m²,,,,Connecté,,,Américaine équipée,,18 m,,,,,25 m,35 m²,,Oui,,193 m²,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,À la livraison,,1811,Excellent état,3,,Pays,400 m²,3,2,2,Oui,,Non,4300 m²,Oui,,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Oui,Non,Zone non inondable,1.150.000 €,361 €,Non,,,Oui,Non,,40 m²,,10 m²,90 m²,,,12 m²,3000 m²,,,,100 m²,Non,Connecté,Gaz,1,,,22 m,,,,140 m²,,,Non,Non,Non,2500 m²,,,Sud,,,,,Non,Oui,Non,Oui,Oui,,,,,,Oui,Non,Non,Non,Non,Oui,"Oui, conforme",Non,Non,Non,,,,,,,,,,,,,,,,,,,
40,Après la signature de l’acte,,1870,À rénover,,,,130 m²,1,1,1,,,Non,156 m²,Oui,,,,,1607 kWh/m²,F,2011003-0002471989-RES-1,Non communiqué,Non communiqué,,,,,,147.000 €,,Non,"Edingsesteenweg 341
1755 - Kester",2866 - 21/000074/463,,,,34 m²,Oui,6 m²,11 m²,,,,,,,,,,,,,Pas équipée,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
