,À partir de,Disponible le,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Type d’environnement,Surface habitable,Chambres,Salles de bains,Toilettes,Bureau,Grenier,Meublé,Surface du terrain,"Eau, gaz & électricité",Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Panneaux solaires,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Parkings extérieurs,Surface du salon,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de bureau,Surface du jardin,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Porte blindée,Raccordement à l'égout,Type de chauffage,Combien de feux ouverts ?,Type de cuisine,Cave,Largeur de la façade à rue,Salon,Nom de l'agent,Surface de l'espace professionnel,Surface du grenier,Largeur du terrain à rue,Surface de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Surface constructible totale au sol,Quartier ou lieu-dit,Salles de douche,Orientation du jardin,Attestation as-built,Visite virtuelle,Buanderie,Référence externe,Dressing,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Jardin,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Espace professionnel,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Chauffe-eau commun,Obligation de construire,Nom du bien,Nombre d'annexes,Type de construction,Niveau E (performance énergétique globale),Orientation de la terrasse,Charges mensuelles,Isolé,Pourcentage loué,Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente
86,Après la signature de l’acte,,,Bon,3,,,210 m²,7,2,3,Oui,,Non,,Oui,,Non,Non,Non,354 kWh/m²,D,202011230002342859RES1,Non communiqué,Non communiqué,,Oui,,,,395.000 €,1.000 €,Non,"Avenue Van Overbeke 134
1083 - Ganshoren",4416806,,,,37 m²,,20 m²,18 m²,9 m²,14 m²,,,,13 m²,8 m²,,,Connecté,Gaz,,Hyper équipée,Oui,,,,,,,32 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,À la livraison,,,Excellent état,3,,,170 m²,5,1,,,,Non,389 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,529.369 €,,Non,"Kerkstraat, 38
1755 - Oetingen",4455935,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1966,,3,,,,,,1,138 m²,,,,,781 kWh/m²,,,,,,F,20191212-0002227808-RES-1,Non communiqué,Non communiqué,Non,,,,Zone non inondable,93.000 €,,Non,"Grote Markt, 21
1800",Nancy DE BELEYR,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
Zaterdagen van 15u30 -16u30 op 28/08, 4/09 en 18/09/2021 - woensdagen van 15u30 -16u30 op 25/08, 1/09 en 15/09/2021",Après la signature de l’acte,651 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,À rafraîchir,,,4,,,,,211 m²,,,,,,416 kWh/m²,,,,,,E,20191211-0002227548-RES-1,Non communiqué,Non communiqué,Oui,,,Non,Zone non inondable,108.000 €,,Non,"Grote Markt, 21
1800",Nancy DE BELEYR,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
Zaterdagen van 14u-15u op 28/08, 04/09 en 18/09/2021 - woensdagen van 14u-15u op 25/08, 01/09 en 15/09/2021",Après la signature de l’acte,798 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,4,,,Oui,,,,2,Oui,Oui,,Oui,,392 kWh/m²,,D,,,,20210920-0002466345-RES-1,Non communiqué,Non communiqué,Oui,Oui,,,Zone non inondable,190.000 €,912 €,,"Van Helmontstraat 2
1800 - Vilvoorde",Jean-Luc PEERS,,,,,,,3,,,,,,,,,,,,,,,1,196 m²,,Équipée,,,,,,,,,,,,,,Oui,,,,,,,,,Non,"nl :
woensdag van 18u-19u en zaterdag van 16u-17u (van zaterdag 9 oktober 2021 tot en met woensdag 24 november 2021 )",30 novembre 2021 - 00:00,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2,,,,Oui,,,,1,Oui,Oui,,250 kWh/m²,,C,,,,,,20210519-0002417364-RES-1,Non communiqué,Non communiqué,Oui,Non,,,Oui,240.000 €,555 €,,"Grote Markt, 21
1800",Shanah VANGAMPELAERE,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,160 m²,,1,,,,,,,,,,,,,,2,,,,,,,,,Non,"nl :
Woensdagen 15, 22 en 29 september van 14u-15u / Zaterdagen 18, 25 september en 2 oktober van 14-15u",Après la signature de l’acte,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,2,,Urbain,171 m²,3,,,Non,,Non,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,Non,Zone non inondable,388.000 €,,Non,"Kortrijksesteenweg 62
9830 - St-Martens-Latem",GROENL/GB3SLK,Oui,Non,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,Non connecté,,,,,,,,,,,19 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,3,,Urbain,171 m²,3,,,Non,,Non,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,Non,Zone non inondable,420.500 €,,Non,"Kortrijksesteenweg 62
9830 - St-Martens-Latem",GROENL/HOB3SLK,Oui,Non,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,Non connecté,,,,,,,,,,,19 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,3,,Urbain,187 m²,3,,,Non,,Non,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,Non,Zone non inondable,435.500 €,,Non,"Kortrijksesteenweg 62
9830 - St-Martens-Latem",GROENL/HOB3+SLK,Oui,Non,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,Non connecté,,,,,,,,,,,19 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,1959,2,,Oui,,,,228 m²,537 kWh/m²,,,,,F,,,,,,20130317-0001331492-00000002-3,Non communiqué,Non communiqué,Non,Zone non inondable,,,,,741 €,,"Grote Markt, 21
1800",Nancy DE BELEYR,,,120.000 €,,,,3,,,,,,,,,,,,,,,1,,,Équipée,,,,,,,,,,,,,,Oui,,,,,,,,,Non,"nl :
woe. 22/9, 29/9, 6/10 en 13/10 van 14u-15u en zat. 25/9, 2/10, 9/10 en 16/10 van 14u-15u",3 décembre 2021 - 00:00,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Immédiatement,,1991,Excellent état,2,,Urbain,310 m²,2,1,2,Non,,Non,179 m²,Oui,,Non,Non,Non,225 kWh/m²,C,20150312-0001740111-1,Non communiqué,Non communiqué,Non,Oui,,,,439.000 €,1.875 €,Oui,,,,,,26 m²,,9 m²,14 m²,50 m²,,,,,,,,Non,Connecté,Gaz,,Américaine équipée,,35 m,,,,50 m²,9 m,35 m²,Non,Non,Oui,179 m²,,,,,,,,Non,Non,Non,Non,Oui,,,,,,Non,Non,Non,Non,Non,Oui,,Oui,Non,Oui,,,,,,Nord,,Oui,100,1880,,,,,,,,,
97,Après la signature de l’acte,,1936,Excellent état,2,,"Zone d'habitat (résidentiel, urbain ou rural)",246 m²,4,1,2,Non,,Non,180 m²,Oui,,Non,Non,Non,279 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,,Zone non inondable,445.000 €,1.239 €,Non,,,,,,23 m²,Oui,18 m²,40 m²,17 m²,15 m²,,1 m²,,11 m²,,20 m²,Non,Connecté,Gaz,,Équipée,,6 m,,,,,,1 m²,Oui,Non,Oui,,,1,,,,,,Oui,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Oui,,Non,Non,Oui,,,,Toutes sortes,,,,,,,,,,,,,,,
98,,,1976,Bon,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",150 m²,3,1,2,Oui,,Non,180 m²,Oui,,Non,Non,Non,366 kWh/m²,D,20210430-0002409095-RES-1,11 kg CO₂/m²,Non communiqué,Non,Oui,Oui,Non,Zone non inondable,385.000 €,1.167 €,Non,,,Non,Non,2,24 m²,Oui,9 m²,12 m²,8 m²,6 m²,11 m²,84 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,Connecté,Gaz,1,Américaine hyper-équipée,,6 m,,,,24 m²,,4 m²,Non,Oui,Oui,,,,Nord-est,"Oui, conforme",,Oui,,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Oui,,Non,Non,Oui,Non,,,Maison bel-étage,2,Nord-est,,,,,,,,,,,,,
99,Après la signature de l’acte,,1931,Bon,2,,,200 m²,4,,1,Non,,Non,80 m²,Oui,,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,,,Zone non inondable,359.000 €,634 €,Non,,,,,,16 m²,Oui,8 m²,16 m²,25 m²,16 m²,,,,25 m²,,25 m²,Non,Connecté,Gaz,,Équipée,,5 m,,,,,,,Oui,Non,Oui,,,1,,,,,,Non,Non,Non,Non,Oui,,,,,,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,,,,Toutes sortes,,,,,,,,,,,,,,,
100,À définir,,1930,Bon,2,,Urbain,394 m²,4,2,6,Oui,Oui,,590 m²,Oui,Oui,,Oui,,243 kWh/m²,C,201404070001569318-00000019-2,Non communiqué,Non communiqué,,Oui,,,Zone non inondable,594.000 €,,Non,"Sint-Annalaan 209
1853 - Strombeek-Bever",4427063,,,,22 m²,Oui,9 m²,22 m²,12 m²,,,430 m²,,,,,Oui,Connecté,Gaz,,Américaine équipée,Oui,11.5 m,,,168 m²,,11.5 m,,,Oui,,,Vilvoorde,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Après la signature de l’acte,,1936,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",156 m²,3,1,,Non,,Non,146 m²,Oui,,Non,Non,Non,395 kWh/m²,D,20210914-0002463283-RES-1,Non communiqué,Non communiqué,Non,Oui,,,Zone non inondable,379.000 €,,Non,,,,,,34 m²,Oui,21 m²,22 m²,14 m²,22 m²,,51 m²,,,,45 m²,Non,Connecté,Gaz,,Équipée,,,,,,14 m²,,,Non,Non,Non,,,,,,,Oui,,Oui,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,,,,Toutes sortes,,,,,,,,,,,,,,,
102,,,1990,Excellent état,4,1,"Zone d'habitat (résidentiel, urbain ou rural)",175 m²,3,,,,,,1100 m²,,,,,,508 kWh/m²,F,20210831-0002458537-RES-1,Non communiqué,Non communiqué,,Oui,,,,,,Non,"2 Rue Solleveld
1200 - Bruxelles",,,,,,,,,,,,,,,,,,,Électrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.000 €,35.000 €,1.800 €,Oui,Oui,Oui,2,"67, 72",20 ans
103,À définir,,1950,Excellent état,2,,,123 m²,3,1,,Non,,Non,181 m²,Oui,,Non,Non,Non,Non communiqué,Non communiqué,20190401-0002146722-RES-1,Non communiqué,Non communiqué,Non,Oui,,,Zone non inondable,369.000 €,607 €,Non,,,,,,26 m²,Oui,14 m²,20 m²,20 m²,9 m²,,93 m²,,,,15 m²,Non,Connecté,Gaz,1,Américaine équipée,,7 m,,,,,,24 m²,Non,Non,Oui,,,,Sud,,,,,Non,Oui,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,,,,Toutes sortes,217,Sud,,,,,,,,,,,,,
104,À la livraison,,,Bon,4,1,,166 m²,3,1,2,,,Non,,Oui,,,,,269 kWh/m²,C,20211005-0002472962-RES-1,Non communiqué,Non communiqué,,,Oui,Oui,Zone non inondable,425.000 €,,Non,"Korenmarkt 55
2800 - Mechelen",36769 - MEC-21-BQU-0,Oui,Non,,36 m²,,14 m²,16 m²,14 m²,12 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Gaz,,Équipée,,,,,,,,,,,,,,,Ouest,Non,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,À rafraîchir,2,,"Zone d'habitat (résidentiel, urbain ou rural)",200 m²,3,,2,,,,85 m²,Oui,,,,,299 kWh/m²,C,2312941,Non communiqué,Non communiqué,,Oui,Oui,Oui,Zone non inondable,250.000 €,951 €,,"Schoolstraat 101
1745 - Opwijk",Anoeshka,Non,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,Gaz,,Semi-équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Immédiatement,,,Bon,2,,,320 m²,5,2,2,,,Non,1235 m²,Oui,Oui,,,,708 kWh/m²,F,20210302002379083,Non communiqué,Non communiqué,,Oui,,,,600.000 €,,Non,"Rue Royale 178
1000 - Bruxelles",4265801,,,1,,Oui,,31 m²,19 m²,15 m²,,990 m²,,20 m²,15 m²,16 m²,,Connecté,,,,,8 m,,,,,12 m,,,,,145 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Après la signature de l’acte,,2016,Excellent état,3,,"Zone d'habitat (résidentiel, urbain ou rural)",,4,2,4,Oui,,Non,437 m²,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,,Zone non inondable,679.000 €,1.800 €,Non,,,,,1,,,,,,,9 m²,250 m²,,,,,Non,Connecté,Gaz,,Américaine équipée,,10 m,,,,,,1 m²,,,,100 m²,,1,,,,,,Oui,Non,Non,Non,Oui,,,,,,Oui,,,,,,,Non,Non,Oui,,,,Villa,,,,,,,,,,,,,,,
108,Immédiatement,,,Fraîchement rénové,2,,"Zone d'habitat (résidentiel, urbain ou rural)",252 m²,4,2,2,Non,Oui,Non,300 m²,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,,Zone non inondable,480.000 €,,Non,,,,,,,Oui,,,,,,1 m²,,,,,Non,,Gaz,,Équipée,Oui,,Oui,,,,,,,,,,,,,,,,,Non,Non,Non,Non,Non,,,,,,Non,,,,,,Non,Non,Non,Non,,,,,,,,Oui,,,,,,,,,,,
109,,,,,2,,,180 m²,5,1,2,,,Non,,,,,,,544 kWh/m²,F,20210927-0002469120-RES-1,Non communiqué,Non communiqué,Non,Non,,,,399.000 €,,Non,"Chaussée de Haecht 1697
1130 - Haren",11860,,,,30 m²,,26 m²,20 m²,14 m²,14 m²,,50 m²,,11 m²,11 m²,,,,Mazout,1,Équipée,Oui,,,,,,26 m,20 m²,Oui,,Oui,,,1,Nord-ouest,Non,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,Ouest,,,,,,,,,,,,,
110,À définir,,,Bon,2,,,185 m²,4,,,Non,,Non,160 m²,Oui,,Non,Non,Non,192 kWh/m²,B,20210709-0002439940-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,,,405.000 €,871 €,Non,,,,,,,,,,,,,50 m²,,,,,Non,Connecté,Gaz,,,Oui,,,,,,,20 m²,Non,Non,Non,,,,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Oui,Non,Non,Non,,Non,Non,Non,,,,Toutes sortes,192,,,,,,,,,,,,,,
111,Après la signature de l’acte,,,,2,,,,4,1,,Non,Oui,Non,120 m²,Oui,,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,Oui,,305.000 €,,Non,,,,,,,Oui,,,,,,,,,,,Non,,Gaz,,Équipée,Oui,,Oui,,,,,1 m²,Non,Non,Oui,,,,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Oui,"Oui, conforme",Non,Non,Non,,,,,,,,,,,,,,,,,,,
112,Après la signature de l’acte,,,À rénover,2,,,,2,,,Non,,Non,385 m²,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,,,Zone non inondable,295.000 €,,Non,,,,,,16 m²,Oui,,16 m²,16 m²,,,300 m²,,,,24 m²,Non,Connecté,,1,,,,,,,40 m²,,,,,,,,1,,,,,,Non,Non,Non,Oui,Oui,,,,,,Non,,,,,,,Non,Non,Oui,,,,,,,,,,,,,,,,,,,
113,,,1950,Bon,2,,"Zone d'habitat (résidentiel, urbain ou rural)",160 m²,4,1,2,Oui,Oui,Non,125 m²,Oui,,Non,Non,Non,407 kWh/m²,E,20201020-0000576847-01-9,118 kg CO₂/m²,Non communiqué,,Oui,,Non,,390.000 €,1.229 €,Non,"Rue de Tervaete 35
1040 - Etterbeek",,Non,Non,,34 m²,,13 m²,30 m²,16 m²,11 m²,,54 m²,"Zone d'habitat (résidentiel, urbain ou rural)",11 m²,,,Non,Connecté,,,Hyper équipée,Oui,5.84 m,,,,,,4 m²,Oui,Non,Non,,,,,Non,,,3814,Non,,,,,,,,,,,Non,,,,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,
114,À définir,31 janvier 2022 - 00:00,2009,Excellent état,2,,"Zone d'habitat (résidentiel, urbain ou rural)",150 m²,3,1,2,,,Non,175 m²,,,,,,118 kWh/m²,B,B,118 kg CO₂/m²,Non communiqué,,Oui,,,Zone non inondable,449.000 €,,Non,"Meeuwenlaan 4
1800 - Vilvoorde",4380339,,,,33 m²,,8 m²,22 m²,17 m²,17 m²,,30 m²,,,,,,,,,Hyper équipée,,6 m,,,,10 m²,,15 m²,,,,15 m²,Brabant flamand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Après la signature de l’acte,,1950,À rénover,2,,"Zone d'habitat (résidentiel, urbain ou rural)",108 m²,3,1,1,,,Non,155 m²,Oui,,,,,484 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Zone non inondable,225.000 €,480 €,,"F. Campionlei 6
1800 - Vilvoorde",,Non,Non,,27 m²,,8 m²,13 m²,10 m²,8 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Gaz,,Pas équipée,,5.5 m,,,,25 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Après la signature de l’acte,,1930,Bon,2,,Urbain,170 m²,3,2,2,Non,,Non,90 m²,,,,,,464 kWh/m²,E,20160728-0001882903-1,Non communiqué,Non communiqué,,Oui,Oui,,Zone non inondable,375.000 €,704 €,Non,"Avenue Général Mellier 20
5030 - Gembloux",spir1907,,,,27 m²,Oui,6 m²,14 m²,19 m²,12 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,38 m²,,,Gaz,,Équipée,,,,,,,,10 m²,,,,,,,Sud-ouest,,,Oui,,Non,,,,,Oui,,,,,,,,,,,Non,Non,,,Non,,,,,,,,,,,,,,,,,,
117,Après la signature de l’acte,,1949,À rafraîchir,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",100 m²,1,1,1,,,Non,63 m²,Oui,,,,,658 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,205.000 €,504 €,,"F. Campionlei 6
1800 - Vilvoorde",,,,,26 m²,,8 m²,16 m²,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,Gaz,,Semi-équipée,Oui,4.5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,À définir,,1931,Excellent état,2,,,168 m²,3,2,2,,,Non,125 m²,Oui,,,,,333 kWh/m²,D,2407495,Non communiqué,Non communiqué,,Oui,Oui,Oui,Zone non inondable,Faire offre à partir de 400.000 €,907 €,Non,"Hendrik I lei 5
1800 - Vilvoorde",4348443,Non,Non,,28 m²,,23 m²,18 m²,20 m²,13 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,45 m²,,Connecté,Gaz,,,,,,,,,,30 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,1932,Bon,3,1,,135 m²,3,1,2,Non,,Non,400 m²,Oui,,Non,Non,Non,241 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,,Zone non inondable,385.000 €,1.003 €,Non,,,,,2,23 m²,Oui,10 m²,11 m²,11 m²,25 m²,,200 m²,,,,13 m²,Non,Connecté,Gaz,,Semi-équipée,,,,,,,,15 m²,Non,Non,Non,,,,Sud,,,Oui,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,,,,,,,,,,,,,,,,,,,
120,Après la signature de l’acte,,1900,À rénover,2,5,"Zone d'habitat (résidentiel, urbain ou rural)",257 m²,3,1,1,,Oui,Non,567 m²,Oui,,,,,547 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Zone d'inondation reconnue,350.000 €,,,"F. Campionlei 6
1800 - Vilvoorde",,,Non,,39 m²,,19 m²,15 m²,15 m²,8 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,14 m²,,Connecté,Gaz,,Pas équipée,,9 m,,,,,,,,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
121,Après la signature de l’acte,,1960,À rénover,2,,,106 m²,3,1,,Non,,Non,164 m²,Oui,,,,,928 kWh/m²,F,20210603-0002424212-RES-1,Non communiqué,Non communiqué,Non,Oui,,,Zone non inondable,240.000 €,,Non,,,,,,40 m²,Oui,8 m²,13 m²,12 m²,6 m²,,,,,,13 m²,Non,Connecté,Électrique,,Équipée,,6 m,,,,30 m²,,15 m²,,,,,,,,,,Oui,,Non,Oui,Non,Non,Oui,,,,,,Non,,,,,,,Non,Non,Non,,,,Toutes sortes,,,,Oui,,,,,,,,,,,
122,,,,,2,,,176 m²,2,1,1,,,,140 m²,Oui,Oui,,,,599 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,315.000 €,265 €,Non,"Chaussée de Waterloo 33
1060 - St-Gilles",,,,,,,,,,,,80 m²,,,,,,Connecté,Gaz,,Américaine équipée,Oui,4.39 m,,,,,,,,,,,,1,,,,,4157046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,À rafraîchir,2,,Urbain,88 m²,2,1,,,,Non,80 m²,Non,,,,,755 kWh/m²,F,20210621-0002431853-RES-1,Non communiqué,Non communiqué,,,,Oui,Zone non inondable,255.000 €,731 €,Non,"Hendrik I Lei 22
1800 - VILVOORDE",4418352,Non,,,,,,,,,,,,,,,,Connecté,,,,,,Oui,,,,,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,À définir,,1982,Excellent état,3,1,,,4,1,1,Non,,Non,216 m²,Oui,,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,,Zone non inondable,349.000 €,832 €,Non,,,,,1,26 m²,,10 m²,13 m²,11 m²,5 m²,,175 m²,,,,,Non,Connecté,Gaz,,Américaine équipée,,7 m,,,,,,25 m²,Non,Non,Non,,,,Sud-ouest,,,Oui,,Non,Non,Non,Oui,Non,,,,,,Non,Non,Non,Non,Non,Oui,,Non,Non,Oui,,,,,,Sud-ouest,,,,,,,,,,,,,
125,,,1992,,3,1,,170 m²,3,1,2,Non,,Non,1002 m²,Oui,,,,,290 kWh/m²,C,20211007-0002340791-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Oui,Zone non inondable,475.000 €,1.380 €,Non,"Grote Markt 16
1800 - Vilvoorde",,Oui,Non,4,38 m²,,15 m²,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,1 avril 2022 - 00:00,2013,Excellent état,2,1,,,3,1,,,,,,,Oui,,,,76 kWh/m²,A,23088-G-2010/00251/EP07317/A001/D01/SD001,Non communiqué,Non communiqué,,Oui,Oui,Non,Zone non inondable,475.000 €,1.283 €,Non,"Beiaardlaan 40
1850 - Grimbergen",,Oui,,,,,,,,,,,,,,,,,Gaz,,Équipée,,,,Caroline BOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,
127,,,1918,À rénover,,,,310 m²,3,2,2,Non,,Non,180 m²,Non,,,,,Non communiqué,Non communiqué,in aanvraag,Non communiqué,Non communiqué,,Non,,Non,Zone non inondable,395.000 €,768 €,Non,"Dublinstraat 37 Bus 118
9000 - Gent",,,Non,,35 m²,,30 m²,,,,,65 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,50 m²,Non,Non connecté,Gaz,,,,6 m,,,,,6 m,,,,,115 m²,,,,,,,HdAubremestr9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Après la signature de l’acte,,1958,Excellent état,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",145 m²,3,,1,Oui,,Non,80 m²,Oui,,,,,695 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,,,310.000 €,,,"Daalstraat 100
1852 - Beigem",,,Non,,20 m²,Oui,,22 m²,12 m²,8 m²,16 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,28 m²,,Connecté,Gaz,,Équipée,,,,,,,,20 m²,,,,,,1,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,Bon,3,,,150 m²,4,1,2,Non,,Non,200 m²,Oui,,,,,236 kWh/m²,C,20211007-0002262521-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Oui,Zone non inondable,365.000 €,864 €,Non,"Grote Markt 16
1800 - Vilvoorde",,Non,Non,,50 m²,,10 m²,,,,,,Zone d'extension d'habitat,,,,Non,Connecté,,,,,,,,,,,,,,,,,,Sud-ouest,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,1964,,,,,135 m²,4,1,2,Non,,Non,393 m²,Oui,,,,,226 kWh/m²,C,20210730-0002446577-RES-1,Non communiqué,Non communiqué,,Non,Oui,Oui,Zone non inondable,365.000 €,1.003 €,Non,"Grote Markt 16
1800 - Vilvoorde",,Non,Non,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,Connecté,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
