,À partir de,Année de construction,Nombre de façades,Parkings intérieurs,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Cave,Meublé,Porte blindée,Surface du terrain,"Eau, gaz & électricité",Surface du jardin,Terrasse,Accès sécurisé / alarme,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Surface du salon,Toilettes,Orientation du jardin,Surface de la terrasse,Niveau E (performance énergétique globale),État du bâtiment,Parkings extérieurs,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Buanderie,Bureau,Surface du grenier,Jardin,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Obligation de construire,Revenu cadastral,Lieu de la vente,Séance unique,Modalités de visite,Surface de la cave,Panneaux solaires,Mise à prix,Salon,Grenier,Largeur de la façade à rue,Visite virtuelle,Surface de la chambre 4,Surface de la chambre 5,Surface de bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,Surface constructible totale au sol,Combien de feux ouverts ?,Orientation de la terrasse,Ascenseur,Climatisation,Sauna,Piscine,Nom de l'agent,Salle à manger,Largeur du terrain à rue,Espace professionnel,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Salles de douche,Disponible le,Concierge,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Jacuzzi,Internet,Surface de l'espace professionnel,Nombre d'annexes,Isolé,Nom du bien,Référence externe,Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Quartier ou lieu-dit
107,À la livraison,2021,3,,,223 m²,Américaine équipée,4,1,,Non,,385 m²,Oui,160 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",495.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",40348 - NWB-21-KLU-0,35 m²,3,Nord-ouest,29 m²,30,,1,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
108,À la livraison,2021,3,,,223 m²,Américaine équipée,4,1,,Non,,385 m²,Oui,160 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",495.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",36330 - NWB-21-CVH-0,35 m²,3,Nord-ouest,29 m²,30,,1,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
109,,1990,4,2,,238 m²,Hyper équipée,3,1,,Non,,1128 m²,Oui,,Oui,,266 kWh/m²,C,20210805-0002448558-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,"Uitbreidingstraat 84
2600 - Antwerpen",999646 - 29268009,,2,,,,,,,,,,,,,,,,Mazout,,,1.070 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 m,,,,,1,,,,,,,,,,,,,,595.000 €,50.000 €,2.500 €,Oui,Oui,Oui,2,"77, 77",
110,Après la signature de l’acte,1978,3,1,Urbain,Hyper équipée,20 m²,37 m²,2,Oui,,,Connecté,Oui,,286 kWh/m²,,C,0002449063,Non communiqué,Non communiqué,Gaz,,Non,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",469.000 €,356 €,"Nerviërslei 6
2900 - Schoten",4521251,,,Oui,,,,,4,4,22 m²,13 m²,10 m²,,,,,,,Oui,,,Non,,,,,,,,1326 m²,,244 m²,2,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,3,,,,Équipée,,,Oui,Non,,,,,Oui,,970 kWh/m²,F,20211005-0002472739,Non communiqué,Non communiqué,Non,,,,,,,,355.000 €,Oui,"Grootbrug 1
2800 - Mechelen",,,,,,,,,,,,,,,,,,,Gaz,,,1.891 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16791 - 3009TK BM,,,,,,,,,,
112,Immédiatement,1961,4,2,Pays,425 m²,Pas équipée,4,3,,Non,Non,6787 m²,Non,6586 m²,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Oui,,Non,Non,,Zone agricole,698.000 €,Non,,,,,,80 m²,,À rénover,4,,,,,Non,,Non,,,,,Non,Non,,,,,,Non,,,,,,,,,Non,Non,Oui,Oui,,,,,Non,Non,Non,Oui,,,,Non,Non,Non,Villa,,,Non,Non,Non,Non,Non,Non,,1,,,,,,,,,,,,,
113,1911,3,1,1,,,1,Oui,779 m²,,,,E,,,,,20190921-0002197769-RES-1,Non communiqué,Non communiqué,Oui,Non,,Non,,Zone non inondable,290.000 €,,627 €,,,Peggy GOOSSENS,,,,,,,,,Équipée,,,,,,,,,,,,,,"Wijngaardstraat, 40
2280 - GROBBENDONK",Non,"nl :
woe. 6/10, 13/10, 20/10 en 27/10 van 14u-16u - zat. 9/10, 16/10, 23/10 en 30/10 van 14u-16u - zon. 10/10, 17/10, 24/10 en 31/10 van 10u-12u",Après la signature de l’acte,,,Non,,476 kWh/m²,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1967,Oui,,,,,Oui,579 m²,,732 kWh/m²,,,F,,,,,20210525-0002419871-RES-1,Non communiqué,Non communiqué,Oui,Non,,,Non,Zone non inondable,190.000 €,,451 €,,,Evelyn AVAERT,,,,,,,,,,,,,,,,,,,,,,,"Van den Nestlaan, 32
2520 - RANST-BROECHEM",Non,"nl :
Vanaf 7/09/2021 t.e.m. 16/10/2021 - elke di. van 17u-19u en zat. van 10u-12u, zonder afspraak.",Après la signature de l’acte,,,Non,3,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Après la signature de l’acte,1963,4,,,162 m²,Pas équipée,4,1,Oui,Non,,845 m²,Oui,,Oui,,832 kWh/m²,F,20210923-0002467843-RES-1,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",362.000 €,Non,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",39663 - HEI-21-FVD-1,35 m²,1,,,,À rénover,,,,,,,,,,,,Charbon,,,565 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Après la signature de l’acte,1977,3,2,,122 m²,Semi-équipée,2,1,,Non,,400 m²,,,Oui,,969 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",36311 - LIE-21-GLE-0,25 m²,1,Nord-ouest,,,À rénover,,4 m²,16 m²,14 m²,,,,,,Oui,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
