,À partir de,Année de construction,Nombre de façades,Parkings intérieurs,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Cave,Meublé,Porte blindée,Surface du terrain,"Eau, gaz & électricité",Surface du jardin,Terrasse,Accès sécurisé / alarme,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Surface du salon,Toilettes,Orientation du jardin,Surface de la terrasse,Niveau E (performance énergétique globale),État du bâtiment,Parkings extérieurs,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Buanderie,Bureau,Surface du grenier,Jardin,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Obligation de construire,Revenu cadastral,Lieu de la vente,Séance unique,Modalités de visite,Surface de la cave,Panneaux solaires,Mise à prix,Salon,Grenier,Largeur de la façade à rue,Visite virtuelle,Surface de la chambre 4,Surface de la chambre 5,Surface de bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,Surface constructible totale au sol,Combien de feux ouverts ?,Orientation de la terrasse,Ascenseur,Climatisation,Sauna,Piscine,Nom de l'agent,Salle à manger,Largeur du terrain à rue,Espace professionnel,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Salles de douche,Disponible le,Concierge,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Jacuzzi,Internet,Surface de l'espace professionnel,Nombre d'annexes,Isolé,Nom du bien,Référence externe,Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Quartier ou lieu-dit
0,À définir,2015,4,2,"Zone d'habitat (résidentiel, urbain ou rural)",800 m²,Hyper équipée,8,5,Oui,Non,Oui,3644 m²,Oui,2200 m²,Oui,Oui,67 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",2.875.000 €,Oui,"Bredabaan 260
2930 - Brasschaat",37085 - HEI-21-FVD-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À la livraison,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,,,,Oui,"Antwerpsesteenweg 359
2500 - Lier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2021,2,1,,162 m²,,3,1,,Non,,167 m²,Oui,91 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",336.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",34787 - NWB-21-DHE-2,18 m²,2,Sud-est,14 m²,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,1972,3,1,,150 m²,Équipée,3,1,,Non,,299 m²,,,,,427 kWh/m²,E,20150104-0001719803-1,Non communiqué,Non communiqué,Non,Oui,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",365.000 €,Non,"Mechelbaan 500
2580 - Putte",spir1806,22 m²,2,Sud-ouest,38 m²,,Bon,2,6 m²,14 m²,12 m²,8 m²,Non,Oui,Non,30 m²,Oui,Non,Gaz,Non,Non,681 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1938,À rénover,98 m²,,,Pas équipée,2,1,1,,,,,,,,,F,20210708-0002439575-RES-1,Non communiqué,Non communiqué,Non,,,,Non,Zone non inondable,,140.000 €,,,"Mechelsesteenweg, 92
2500 - LIER",Charlotte LEYSEN,,,25 m²,14 m²,1059 kWh/m²,,2,,,,,,,,,,Sud-est,,,,,Non,Non,"nl :
Het goed zal door de kandidaat-kopers kunnen bezocht worden elke woensdag van 16 tot 18 uur en elke zaterdag van 14 tot 16 uur, en dit vanaf woensdag 13 oktober 2021 tot en met zaterdag 30 oktober 2021.",Après la signature de l’acte,Oui,Non,409 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,,2,,,91 m²,Équipée,2,1,,Non,,115 m²,,,,,227 kWh/m²,C,20210620-0002431265-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",310.000 €,Non,"Mechelbaan 500
2580 - Putte",spir1833,,1,Nord-est,,,Bon,,,,,,Non,Oui,Non,,Oui,Non,Gaz,Non,Non,265 €,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1961,À rénover,4,,,,,1,,,,,872 kWh/m²,,,,,F,20210729-0002446502-RES-1,Non communiqué,Non communiqué,Non,,,,Non,Zone non inondable,,165.000 €,,,"Mechelsesteenweg, 92
2500 - LIER",Charlotte LEYSEN,,,Oui,,,,2,,,,,,,,,,,,,,,Non,Non,"nl :
Het goed zal door de kandidaat-kopers kunnen bezocht worden elke zaterdag van 10.00 uur tot 13.00 uur, en dit vanaf zaterdag 9 oktober 2021 tot en met zaterdag 30 oktober 2021.",Après la signature de l’acte,,Non,389 €,,270 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,À définir,,2,,,90 m²,Semi-équipée,3,1,,Non,,43 m²,,,,,141 kWh/m²,B,20190412-0002150584-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",229.000 €,Non,"Mechelbaan 500
2580 - Putte",spir1685,,1,,,,Bon,,,,,,Non,,Non,,,Non,Gaz,Non,Non,300 €,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,,3,1,,154 m²,Équipée,3,1,,Non,,395 m²,,,,,613 kWh/m²,F,20190910-0002194078-RES-1,Non communiqué,Non communiqué,Non,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",255.000 €,Non,"Mechelbaan 500
2580 - Putte",spir1749,,1,Nord-est,,,À rénover,,,,,,Non,Oui,Non,,Oui,Non,Mazout,Non,Non,446 €,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,Urbain,32 m²,6 m²,10 m²,8 m²,,,,Non,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,72 m²,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",289.000 €,601 €,"Dorpsstraat 34 Bus 1
2590 - Berlaar",TB 2762,,Semi-équipée,,Non communiqué,,,À rénover,,5,13 m²,15 m²,15 m²,1,,14 m²,188 m²,Sud,,,,Non,Non,,,,,,,,,4.5 m,155 m²,16 m²,Non,Oui,Non,Non,Non,Non connecté,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,1938,,1,,Oui,3,Non,Non,,,,Non,491 kWh/m²,,,,E,Non communiqué,Non communiqué,Non communiqué,Oui,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",319.000 €,993 €,"Dorpsstraat 34 Bus 1
2590 - Berlaar",ML/2790,,,,,,,,,,,,,1,,202 m²,,,,,,Non,Oui,,,,,,,Équipée,,,177 m²,,,,Non,Non,Non,Non connecté,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,1975,4,,,391 m²,,4,2,Oui,Non,,18510 m²,Oui,,Oui,Oui,303 kWh/m²,D,2395443,Non communiqué,Non communiqué,Non,Oui,Oui,,Non,,,Zone agricole,1.995.000 €,Non,"Hovestraat 19
2650 - Edegem",Engel & Völkers Antwerpen-Zuid,,,,,,Excellent état,6,,,,,Oui,,Oui,,,,Mazout,,,,,,,,,,,,,,,,,,,,,Connecté,,1,Nord-ouest,Oui,Oui,Oui,Oui,I-00UO01-W-02LV3J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1960,4,1,Oui,,,1,Oui,779 m²,1059 kWh/m²,,,F,,,,,20210720-0002443832-RES-1,Non communiqué,Non communiqué,Non,Non,,,,Zone non inondable,288.000 €,,897 €,,,Ben VAN NUFFELEN,,,,,,,,,,,,,,,,,,,,,,,"Markt 87
2590 - Berlaar",Non,"nl :
elke woe. van 16u-18u en elke zat. van 10u-12u, vanaf 6/10",Après la signature de l’acte,,,Non,Équipée,,,Oui,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,25 m²,,18 m²,Non,,,,Non,Non communiqué,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",175.000 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",DV/13092021,,Oui,,,,,À rénover,,2,10 m²,Non,,1,,28 m²,119 m²,,,,,Non,,,,,,,,,,4 m,119 m²,,,,Non,Non,Non,4 m,Non,,,,,,,,,6 m²,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,À rénover,,114 m²,,,Oui,,Oui,Oui,115 m²,,,782 kWh/m²,,,F,,20210505-0002411615-RES-1,Non communiqué,Non communiqué,Non,Non,,,,Zone non inondable,200.000 €,,464 €,,,Nik DRIESSENS,,,,,,,,2,,,,,,,,Oui,,,,,,,"Binnenweg, 21
2220 - HEIST-OP-DEN-BERG",Non,"nl :
elke woensdag en zaterdag van 14u-16u vanaf 06.10.2021 tot en met 30.10.2021",Après la signature de l’acte,,,Non,4,Oui,,Oui,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,Urbain,53 m²,,12 m²,1,,,,Non,Oui,,,,E,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,85 m²,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2771,,8 m²,Non,11 m²,413 kWh/m²,,,,2,19 m²,Non,,1,,17 m²,,Sud-est,,,,Non,,,,,120 m²,,,,,5 m,120 m²,,,,Non,Non,Non,Non connecté,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,16 m²,15 m²,2,,,,,50 m²,Oui,185 kWh/m²,,B,20190730-0002181684-RES-1,Non communiqué,Non communiqué,Gaz,,424.000 €,,,,,,,364 €,"Italiëlei 93
2000 - Antwerpen",202103076C,,Oui,Non,,,,Fraîchement rénové,,4,10 m²,15 m²,11 m²,1,,26 m²,Non,,,Oui,,,Non,,,,,,,,,,27 m²,Non,,,Non,Non,Non,Connecté,Oui,,,,,,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,1978,4,1,,306 m²,,5,3,Oui,Non,,1712 m²,Oui,,Oui,Oui,469 kWh/m²,E,2459070,Non communiqué,Non communiqué,Non,Oui,Oui,Non,Non,,Zone non inondable,Zone d'extension d'habitat,790.000 €,Non,"Hovestraat 19
2650 - Edegem",Engel & Völkers Antwerpen-Zuid,,,,,,Bon,3,,,,,,,,,,,Mazout,,,,,,,,,,,,,,,,,,,,,,,1,Nord-ouest,,,Oui,Oui,I-00UJZ0-W-02GR94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,2,,,380 m²,,4,2,,Non,Non,396 m²,Oui,206 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,,,,,,825.000 €,Non,,,,2,Sud-ouest,,,,,,,,,Oui,,Non,,,,Gaz,Non,,,,,,,Non,,,,,,,,,Oui,Non,Non,Oui,Connecté,,,,,,,,,,,Non,Oui,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,Urbain,,,2,,,,,81 m²,Oui,,,,478 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Non,Oui,,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",199.000 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2795-TB-02,28 m²,,Est,,,À rénover,,,14 m²,10 m²,,Non,,Non,,Oui,,,,Non,541 €,,,,,,,,,,,,,,Non,Non,Non,Non,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,,6,,,,,1,15 m²,,,,,,,,,E,20210709-0002440106-RES-1,Non communiqué,Non communiqué,Gaz,,Non,,Non,Zone non inondable,,195.000 €,,,"Mechelsesteenweg, 92
2500 - LIER",Charlotte LEYSEN,,,,,,,,,,,,,,,,,,,Non,Non,,Non,Non,"nl :
Het goed zal door de kandidaat-kopers kunnen bezocht worden elke woensdag van 13 tot 15 uur en elke zaterdag van 10 tot 12 uur, en dit vanaf woensdag 13 oktober 2021 tot en met zaterdag 30 oktober 2021",Après la signature de l’acte,Oui,Oui,716 €,,Connecté,,,,,,,,,,402 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Après la signature de l’acte,1899,2,,,102 m²,Semi-équipée,3,1,,Non,,100 m²,Oui,,,,176 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",40972 - LIE-21-LVD-0,,1,,,,À rafraîchir,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Après la signature de l’acte,1899,2,,,126 m²,Équipée,2,1,Oui,Non,,74 m²,Oui,,,,143 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",40550 - LIE-21-LVD-0,,2,,6 m²,,Bon,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,1850,2,,Urbain,160 m²,Hyper équipée,2,1,Oui,Non,,144 m²,Oui,,,,338 kWh/m²,D,2293378,Non communiqué,Non communiqué,Non,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,Oui,"Antwerpsesteenweg 359
2500 - Lier",13639 - LIE-21-TLA-0,45 m²,2,,40 m²,,Bon,,,35 m²,20 m²,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Après la signature de l’acte,1954,3,1,,138 m²,Semi-équipée,3,1,Oui,Non,,256 m²,Oui,,,,450 kWh/m²,E,20210707-0002438913-RES-1,Non communiqué,Non communiqué,Non,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",36298 - LIE-21-LVD-0,,1,,,,Bon,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,1936,2,,Urbain,175 m²,Hyper équipée,3,1,,Non,,105 m²,,,,,326 kWh/m²,D,20210521-0002418357-RES-1,Non communiqué,Non communiqué,,,Oui,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",469.000 €,Non,"Hoogstraat 11
2800 - Mechelen",D2800-21038,,,,23 m²,,Bon,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Après la signature de l’acte,1972,4,6,,284 m²,Pas équipée,3,1,Oui,Non,,2995 m²,Oui,,Oui,,461 kWh/m²,E,2190717,Non communiqué,Non communiqué,Non,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",579.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",32302 - LIE-21-TLA-0,45 m²,2,Sud-ouest,,,À rafraîchir,,15 m²,18 m²,18 m²,13 m²,,,Oui,,Oui,,Mazout,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,À définir,,,,,124 m²,Équipée,3,,Oui,Non,,83 m²,Oui,,,,636 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,,,,265.000 €,Non,"Leopoldstraat 37
2800 - Mechelen",,15 m²,1,Ouest,,,Bon,,15 m²,11 m²,11 m²,7 m²,Non,,,,Oui,,Gaz,Non,,371 €,,,,,,,,Oui,,,,,,,,,,Connecté,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
28,Selon le locataire,1903,2,,,92 m²,Semi-équipée,2,,,Non,,141 m²,Oui,,,,548 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",199.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",36087 - LIE-21-LVD-0,,,Sud,,,À rénover,,,,,,,,,,Oui,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Après la signature de l’acte,1886,2,,Urbain,305 m²,Hyper équipée,7,5,,Non,,434 m²,Oui,,,,145 kWh/m²,B,20210327-0002380014-RES-1,Non communiqué,Non communiqué,Non,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.075.000 €,Oui,"Antwerpsesteenweg 359
2500 - Lier",34500 - LIE-21-LVD-0,,,,27 m²,,Fraîchement rénové,1,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,À définir,1971,2,,,158 m²,Équipée,3,1,Oui,Non,,236 m²,Oui,,,,249 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",335.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",38703 - LIE-21-LVD-0,,,,,,Bon,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,À définir,1950,2,,,,Semi-équipée,2,1,,Non,,,Oui,,,,398 kWh/m²,D,20210806-0002448932-RES-1,Non communiqué,Non communiqué,Non,,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",40594 - LIE-21-LVD-0,,1,,,,Bon,1,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 mai 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,
32,À la livraison,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,,,,Oui,"Antwerpsesteenweg 359
2500 - Lier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Après la signature de l’acte,,2,1,,160 m²,,2,1,,Non,,188 m²,Oui,,,,978 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",239.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",40122 - LIE-21-GLE-0,,1,,,,À rénover,,9 m²,20 m²,15 m²,,,,,,,,Électrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Après la signature de l’acte,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",120 m²,Hyper équipée,3,1,,Non,Non,85 m²,Oui,25 m²,,Non,132 kWh/m²,B,2470755,Non communiqué,Non communiqué,,Oui,Oui,,,,Zone non inondable,,339.000 €,Non,,,40 m²,2,,,,Fraîchement rénové,,22 m²,,,,Non,,Non,,,,Gaz,Non,,,,,,,Non,,,,4 m,,,,,Non,Non,Non,Non,Connecté,,,,Non,Non,Non,Non,,,,Non,Non,Non,,,,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,
35,À la livraison,2021,2,1,,162 m²,,3,1,,Non,,184 m²,Oui,107 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",336.000 €,Non,"Italiëlei 207
2000 - Antwerpen",34792 - NWB-21-DHE-2,18 m²,2,Sud-est,14 m²,30,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,À la livraison,2021,2,1,,186 m²,,3,1,,Non,,168 m²,Oui,79 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",359.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",34790 - NWB-21-DHE-2,23 m²,2,Nord-est,14 m²,30,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,À définir,1970,2,1,,201 m²,,4,,,Non,,,,,,,296 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",39799 - MOR-21-TLA-1,,,Nord,,,À rafraîchir,,,,,,,,,,Oui,,,,,,,,,,,,,,7 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,À définir,1998,6,2,,380 m²,Semi-équipée,4,1,,Non,Non,1485 m²,Oui,1100 m²,,Oui,193 kWh/m²,B,20210802-0002447120-RES-1,Non communiqué,Non communiqué,"Oui, conforme",Oui,Oui,Oui,,Non,Zone non inondable,Zone de récréation et de séjour,1.050.000 €,Non,,,30 m²,2,Sud-est,70 m²,140,Excellent état,6,23 m²,24 m²,15 m²,7 m²,Oui,Oui,Oui,16 m²,,,Gaz,Non,Non,1.741 €,,,,,Non,,,,105 m,,15 m²,,5 m²,Oui,Non,Non,Oui,Connecté,700 m²,1,Sud-ouest,Non,Non,Non,Non,,Oui,,Oui,Non,Non,Villa,,,Non,Non,Non,Non,Oui,Oui,5 m²,1,,,,,,,,,,,,,
39,Après la signature de l’acte,,2,,,105 m²,Équipée,3,1,,Non,,,Oui,,,,208 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",315.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",38521 - LIE-21-LVD-0,26 m²,,,,,Bon,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Après la signature de l’acte,1991,4,2,"Zone d'habitat (résidentiel, urbain ou rural)",260 m²,Hyper équipée,5,2,,Non,Non,740 m²,Oui,500 m²,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,,,,,,550.000 €,Non,,,55 m²,3,Sud-est,16 m²,,Bon,2,8 m²,16 m²,14 m²,10 m²,Oui,Oui,Non,,,,Électrique,Non,,1.417 €,,,,,Oui,,,Oui,14 m,,16 m²,13 m²,,Oui,Non,Oui,Oui,Connecté,,2,Sud-est,Non,Non,Non,Non,,Oui,,Non,Non,Non,Villa,1,,Non,Oui,Non,Non,Non,Oui,,,,,,,,,,,,,,,
41,,,,1,,211 m²,,2,,Oui,Non,,2050 m²,,1900 m²,,,664 kWh/m²,F,20210910-0002462588-RES-1,Non communiqué,Non communiqué,Non,,,,,,,,598.000 €,Non,"Kattendijkdok Westkaai 33
2000 - Antwerpen",2246 - KOO/21/074,,,Sud-ouest,,,,,,,,,,,,,,,Gaz,,,1.338 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Selon le locataire,,2,1,,111 m²,,3,1,,Non,,267 m²,Oui,,,,472 kWh/m²,E,20210607-0002425633-RES1,Non communiqué,Non communiqué,Non,Oui,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",259.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",34283 - LIE-21-GLE-0,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Selon le locataire,1977,2,1,,107 m²,,2,1,Oui,Non,,175 m²,Oui,,Oui,,350 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",41058 - LIE-21-LVD-0,,2,Sud-est,,,À rafraîchir,,,,,,,,,,Oui,,Électrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Après la signature de l’acte,1921,2,,Urbain,194 m²,Équipée,3,1,,Non,Non,127 m²,Oui,50 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,,Non,Non,Zone non inondable,,395.000 €,Non,,,,2,,9 m²,,Excellent état,,,,,,Non,Oui,Oui,,,,Gaz,Non,,,,,,16 m²,Non,,Oui,,,,,,,Oui,Non,Non,Non,,,,,,,,,,,,Oui,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,
45,,1968,2,1,,360 m²,,,,,Non,Non,1200 m²,Non,,,,326 kWh/m²,D,20210705-0002438152-RES-1,Non communiqué,Non communiqué,,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.145.000 €,Non,"Bergstraat 109
2220 - Heist-op-den-Berg",09/2161,,,,,,Excellent état,,,,,,,,Non,,,,,,,2.230 €,,,,,,,,,13.8 m,,,,,,,,,Non connecté,140 m²,,,,,,,,,13.8 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
