,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Chambres,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Adresse,À partir de,Quartier ou lieu-dit,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface du salon,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Salles de bains,Toilettes,Grenier,"Eau, gaz & électricité",Surface de la terrasse,Accès sécurisé / alarme,Prix,Revenu cadastral,Immeuble de rapport,Référence externe,Combien de feux ouverts ?,Type de cuisine,Surface de bureau,Bureau,Raccordement à l'égout,Jardin,Orientation du jardin,Piscine,Salles de douche,Meublé,Surface du jardin,Orientation de la terrasse,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Site internet,Visite virtuelle,Terrasse,Ascenseur,Type de zone inondable,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Nom de l'agent,Dressing,Espace professionnel,Surface de la cave,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Chauffe-eau commun,Salon,Cave,Surface de l'espace professionnel,Buanderie,Largeur du terrain à rue,Attestation de conformité des citernes à mazout,Disponible le,Droit d'achat prioritaire possible,Permis de bâtir obtenu,Type de construction,Obligation de construire,Surface constructible totale au sol,Surface du grenier,Nombre d'annexes,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Mise à prix
87,,Bon,,23 m²,14 m²,Connecté,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,,,,,,,,,,,,À définir,,,,1,,Équipée,,4,17 m²,16 m²,20 m²,Non,,,Oui,Non,Non communiqué,,,1.901 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,9 m²,,,Oui,,,,3,1073 m²,,,,499.000 €,,,,398 m²,,,,,,,,1,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
88,,À rafraîchir,,34 m²,20 m²,Connecté,F,20210203005243,Non communiqué,Non communiqué,Gaz,Non,255.000 €,,,,,,,,,,,À définir,,,,,,Semi-équipée,,3,16 m²,15 m²,Non,,,,Oui,,Oui,,,790 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,10 m²,,,Oui,,,,,407 m²,,,,Oui,,,,145 m²,438 kWh/m²,,,,,,,2,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
89,,Bon,,27 m²,12 m²,Connecté,G,20210218008597,Non communiqué,Non communiqué,Gaz,Non,257.500 €,,,,,,,,,,,À définir,,,,,,Équipée,,2,9 m²,Non,,,,,Oui,Non,Oui,,,1.046 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,14 m²,,,Oui,Nord-est,814 kWh/m²,,,338 m²,,,,Oui,,,,100 m²,,,,,,,,1,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
90,,Bon,,30 m²,12 m²,Connecté,G,20210628014384,Non communiqué,Non communiqué,Gaz,Non,349.000 €,,,,,,,,,,,À définir,,,1,1,,Équipée,,3,13 m²,9 m²,Non,,,,Oui,Non,Oui,,,2.057 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,14 m²,,,Oui,Sud-ouest,Oui,,,750 m²,,,,Oui,,,,100 m²,616 kWh/m²,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,Bon,,34 m²,13 m²,Connecté,C,20171012008155,Non communiqué,Non communiqué,Gaz,Non,365.000 €,,,,,,,,,,,À définir,,,1,,,Équipée,,4,15 m²,19 m²,23 m²,Non,,,Oui,,Oui,,,870 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,20 m²,,,Oui,,,,3,155 m²,,,,Oui,,,,178 m²,255 kWh/m²,,,,,,,2,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
92,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,"Rue Américaine, 158
1050 - Ixelles",,,,,14,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,4521345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 septembre 2023 - 00:00,,,,,,,,,,,
93,,Bon,,31 m²,17 m²,Connecté,C,20210629013492,Non communiqué,Non communiqué,Gaz,Non,375.000 €,,,,,,,,,,,À définir,,,1,1,,Équipée,,3,13 m²,12 m²,Non,,,,Non,,Oui,Est,,1.360 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,10 m²,,,Oui,Est,20 m²,,1,239 m²,,225 kWh/m²,,Oui,,,,128 m²,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,Excellent état,,23 m²,14 m²,Connecté,D,20210512002946,Non communiqué,Non communiqué,Mazout,Non,425.000 €,,,,,,,,,,,À définir,,,,,,Hyper équipée,,4,10 m²,14 m²,24 m²,Non,,,Non,,Oui,,,1.546 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,6 m²,,,Oui,,,,,500 m²,,,,Oui,,,,177 m²,273 kWh/m²,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,Bon,,38 m²,17 m²,Connecté,B,20210214000938,Non communiqué,Non communiqué,Gaz,Non,450.000 €,,,,,,,,,,,À définir,,,,,,Équipée,,4,14 m²,11 m²,9 m²,Non,,,Non,,Oui,,,1.531 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,11 m²,,,Oui,,,,,450 m²,,,,Oui,,,,143 m²,155 kWh/m²,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,Bon,,178 m²,4,986 m²,206 kWh/m²,C,20210318007616,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,,,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",À définir,,,,,,47 m²,,14 m²,18 m²,15 m²,13 m²,12 m²,,,3,,Oui,14 m²,,495.000 €,2.290 €,Non,,,Équipée,,,Connecté,Oui,Nord-est,,,Non,,Nord-est,Non,Non,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
97,,Bon,,34 m²,18 m²,Connecté,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,545.000 €,,,,,,,,,,,,,,1,1,,Équipée,,3,16 m²,14 m²,Oui,,,,Non,,Oui,,,2.287 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,13 m²,,,Oui,Sud-ouest,Oui,,,577 m²,,130 kWh/m²,,Oui,,,,124 m²,Sud-ouest,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1 mars 2022 - 00:00,,,,,,,,,,,
98,,Bon,,64 m²,40 m²,Connecté,B,20210528002828,Non communiqué,Non communiqué,Gaz,Non,1.250.000 €,,,,,,,,,,,À définir,,,,1,,Équipée,,4,18 m²,30 m²,15 m²,Oui,,,Oui,,37 m²,128 kWh/m²,,3.343 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,30 m²,,,Oui,,,,,2208 m²,,,,Oui,,,,440 m²,,,,,,,,3,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
99,2000,Excellent état,4,562 m²,5,,300 kWh/m²,D,20140304006965,77 kg CO₂/m²,194735 kWh/an,Mazout,Oui,,,,,,,,,,"Avenue du centenaire 53/4
1400 - Nivelles",À définir,,20 m,2,15,,48 m²,,17 m²,18 m²,18 m²,20 m²,12 m²,30 m²,4,5,,Non,,Oui,1.500.000 €,,Non,,,Hyper équipée,,Oui,Connecté,,,Oui,,,,,,,,,4372327,,Oui,,Zone non inondable,,,,,,,,,,,,,,,,,Oui,,,,,,Oui,,,,,,,,,,,13 m²,,,,,
100,,Excellent état,4,645 m²,5,3215 m²,134 kWh/m²,B,Non communiqué,43 kg CO₂/m²,67898 kWh/an,Mazout,,,,,,,,,,,"Avenue J. Burgers, 2 b24
1180 - Uccle",,,63 m,3,10,,80 m²,,,,,,,,5,,Oui,,,,1.950.000 €,3.832 €,Non,,,,,Oui,,,,,,,,,,,,,010/15770,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
101,,3,Oui,,1,566 kWh/m²,G,20210805003230,Non communiqué,76885 kWh/an,Gaz,Non,Non,,,,,,,,,,Nicolas LAMBERT,À rafraîchir,,,,,,,3,,,,,,,185 m²,,,,,,,Non,"rue de Tubize, 49
1440 - Braine-le-Chateau",,,,,,,,,,,,,,,Non,,Non,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",210.000 €,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,Non,Après la signature de l’acte,1.410 €
102,,Bon,,18 m²,21 m²,Connecté,E,20190404017213,Non communiqué,Non communiqué,Mazout,Non,239.000 €,,,,,,,,,,,À définir,,,,,,Équipée,,5,19 m²,14 m²,14 m²,13 m²,Non,,Oui,,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,18 m²,,,Oui,Nord-ouest,Oui,,,2400 m²,,380 kWh/m²,,Oui,,,,175 m²,Nord-ouest,,,,,,,1,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
103,,Bon,,20 m²,25 m²,Connecté,C,20210327012488,Non communiqué,Non communiqué,Gaz,Non,249.000 €,,,,,,,,,,,À définir,,,,,,Équipée,,3,13 m²,10 m²,Non,,,,Oui,,Oui,Ouest,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,15 m²,,,Oui,Ouest,16 m²,,,285 m²,,237 kWh/m²,,Oui,,,,128 m²,,,,,,,,1,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
104,,Bon,,29 m²,13 m²,Connecté,F,20210823012546,Non communiqué,Non communiqué,Gaz,Non,265.000 €,,,,,,,,,,,À définir,,,1,,,Équipée,,2,12 m²,Non,,,,,Oui,Non,Oui,Est,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,14 m²,,,Oui,Est,12 m²,,,490 m²,,473 kWh/m²,,Oui,,,,144 m²,,,,,,,,2,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
105,,Bon,,40 m²,17 m²,Connecté,D,21210526002120,Non communiqué,Non communiqué,Gaz,Non,265.000 €,,,,,,,,,,,À définir,,,,1,,Équipée,,3,15 m²,12 m²,Non,,,,Oui,,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,18 m²,,,Oui,Est,Oui,,2,1096 m²,,299 kWh/m²,,Oui,,,,163 m²,Est,,,,,,,1,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
106,,Bon,,28 m²,14 m²,Connecté,C,20210506016971,Non communiqué,Non communiqué,Gaz,Non,,,,,,,,,,,,À définir,,,1,,,Équipée,,3,14 m²,9 m²,Non,,,,Oui,Non,6 m²,187 kWh/m²,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,10 m²,,,Oui,,,,,283 m²,,,,275.000 €,,,,110 m²,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,Bon,,35 m²,14 m²,Connecté,F,20140305014499,Non communiqué,Non communiqué,Gaz,Non,330.000 €,,,,,,,,,,,À définir,,,1,,,Équipée,,3,14 m²,10 m²,Non,,,,Oui,Non,Oui,Sud,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,11 m²,,,Oui,Sud,12 m²,,,130 m²,,480 kWh/m²,,Oui,,,,120 m²,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,Excellent état,,26 m²,10 m²,Connecté,C,20210812009800,Non communiqué,Non communiqué,Gaz,Non,339.000 €,,,,,,,,,,,À définir,,,,,,Hyper équipée,,3,12 m²,34 m²,Non,,,,Oui,,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,10 m²,,,Oui,,,,,90 m²,,,,Oui,,,,110 m²,200 kWh/m²,,,,,,,2,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
109,,Bon,,32 m²,20 m²,Connecté,G,20210318013287,Non communiqué,Non communiqué,Gaz,Non,Zone non inondable,,,,,,,,,,,À définir,,,,,,Équipée,,4,10 m²,19 m²,11 m²,Non,,,Oui,Non,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,12 m²,,,Oui,Nord,Oui,,,299 m²,,551 kWh/m²,,Oui,,,,118 m²,Nord,,345.000 €,,,,,1,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
110,,Bon,,28 m²,19 m²,Connecté,G,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,350.000 €,,,,,,,,,,,À définir,,,1,1,,Équipée,,3,12 m²,12 m²,Non,,,,Oui,Non,Oui,Sud-ouest,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,6 m²,,,Oui,Sud-ouest,15 m²,,,1200 m²,,661 kWh/m²,,Oui,,,,120 m²,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,Bon,,35 m²,17 m²,Connecté,D,20210316012726,Non communiqué,Non communiqué,Non,Non,Non,,,,,,,,,,,,,,,,,Équipée,,3,21 m²,10 m²,Non,,,,Oui,Non,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,19 m²,,,Oui,Ouest,Oui,,,320 m²,,260 kWh/m²,Gaz,Oui,,,,229 m²,Ouest,,350.000 €,Non,Zone non inondable,,,2,,,,,,,,,,,,,,,,,,Oui,,,,,15 novembre 2021 - 00:00,Non,,,,,,,,,,
112,,Bon,,23 m²,28 m²,Connecté,C,20210502001436,Non communiqué,Non communiqué,Gaz,Non,385.000 €,,,,,,,,,,,À définir,,,1,1,,Équipée,,4,12 m²,10 m²,9 m²,Non,,,Non,,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,7 m²,,,Oui,,,,,201 m²,,,,Oui,,,,131 m²,180 kWh/m²,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,Bon,,48 m²,18 m²,Connecté,B,20181119000223,Non communiqué,Non communiqué,Gaz,Non,425.000 €,,,,,,,,,,,À définir,,,,1,,Équipée,,,18 m²,23 m²,Non,,,,Oui,,30 m²,136 kWh/m²,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,3,,,Oui,,,,2,210 m²,,,,Oui,,,,167 m²,,,,,,,,2,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
114,,Bon,,41 m²,24 m²,Connecté,D,20171109016307,Non communiqué,Non communiqué,Gaz,Non,425.000 €,,,,,,,,,,,À définir,,,1,,,Équipée,,4,16 m²,12 m²,11 m²,Oui,,,Oui,,Oui,Sud-est,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,10 m²,,,Oui,Sud-est,13 m²,,,143 m²,,269 kWh/m²,,Oui,,,,213 m²,,,,,,,,4,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
115,,Bon,,44 m²,24 m²,Connecté,C,20210506022460,Non communiqué,Non communiqué,Gaz,Non,425.000 €,,,,,,,,,,,À définir,,,,,,Équipée,,3,12 m²,10 m²,Non,,,,Non,,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,6 m²,,,Oui,Sud,Oui,,,330 m²,,202 kWh/m²,,Oui,,,,169 m²,Sud,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,Excellent état,,54 m²,13 m²,Connecté,D,20200908012326,Non communiqué,Non communiqué,Gaz,Non,Oui,,,,,,,,,,,À définir,,,,,,Équipée,,5,15 m²,16 m²,12 m²,15 m²,Non,,Non,,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,12 m²,,,Oui,Est,Oui,,,250 m²,,319 kWh/m²,,Oui,,,,205 m²,Est,,,460.000 €,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,
117,,Excellent état,,43 m²,13 m²,Connecté,C,10180710004531,Non communiqué,Non communiqué,Gaz,Non,495.000 €,,,,,,,,,,,À définir,,,1,1,,Équipée,,4,16 m²,8 m²,13 m²,Non,,,Oui,Non,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,14 m²,,,Oui,Sud-est,Oui,,,757 m²,,,,Oui,,,,174 m²,224 kWh/m²,,,,,,,2,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
118,,Bon,,40 m²,26 m²,Connecté,E,20210713014512,Non communiqué,Non communiqué,Gaz,Non,565.000 €,,,,,,,,,,,À définir,,,1,1,,Équipée,,5,18 m²,14 m²,14 m²,14 m²,Non,,Non,,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,14 m²,,,Oui,Sud-ouest,Oui,,2,750 m²,,379 kWh/m²,,Oui,,,,197 m²,Sud-ouest,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,Bon,,71 m²,20 m²,Connecté,C,20210226005052,Non communiqué,Non communiqué,Mazout,Non,675.000 €,,,,,,,,,,,À définir,,,,,,Équipée,,6,35 m²,14 m²,13 m²,12 m²,Non,,Non,,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,26 m²,,,Oui,,,,,1817 m²,,,,Oui,,,,399 m²,248 kWh/m²,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1966,À rafraîchir,3,200 m²,4,364 m²,286 kWh/m²,D,20210803009657,71 kg CO₂/m²,58978 kWh/an,Mazout,Oui,,,,,,,,,,"Chaussée de Bruxelles, 352
1410 - Waterloo",Après la signature de l’acte,,,1,4,,34 m²,,8 m²,32 m²,18 m²,14 m²,11 m²,,2,3,Oui,Oui,,,365.000 €,1.809 €,Non,,,Semi-équipée,,,Connecté,,,Non,,Non,,,,,,,4431927,,,Non,,,,,,,,,,,,,,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,
121,,Bon,,Équipée,Non,Connecté,D,20180910004630,Non communiqué,Non communiqué,Non,,,,,,,,,,,,,À définir,,,,1,,,,,,,,,,,Oui,,Oui,,,793 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,3,,,Oui,Sud-ouest,Oui,,2,215 m²,,325 kWh/m²,,365.000 €,,,,198 m²,Sud-ouest,,,,,,,1,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
122,,Bon,,50 m²,18 m²,Connecté,C,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,650.000 €,,,,,,,,,,,À définir,,,1,1,,Équipée,,6,16 m²,22 m²,19 m²,11 m²,Non,,Non,,28 m²,Non communiqué,,2.050 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,13 m²,,,Oui,,,,,3000 m²,,,,Oui,,,,300 m²,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,"Rue Américaine, 158
1050 - Ixelles",,,,,14,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,4521345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 septembre 2023 - 00:00,,,,,,,,,,,
124,2005,Excellent état,4,250 m²,4,629 m²,166 kWh/m²,B,20210925004043,31 kg CO₂/m²,50714 kWh/an,Gaz,Oui,,,,,,,,,,"Chaussée de Bruxelles, 352
1410 - Waterloo",Après la signature de l’acte,,,1,3,,44 m²,,18 m²,19 m²,15 m²,14 m²,12 m²,,2,3,Oui,Oui,30 m²,Oui,667.000 €,2.373 €,Non,,,Américaine hyper-équipée,,,Connecté,,,Non,,Non,500 m²,,,,,,4515356,,,Non,,,,,,,,,,,,,,,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,
125,1899,Excellent état,2,115 m²,2,240 m²,212 kWh/m²,C,20210920008829,39 kg CO₂/m²,29445 kWh/an,Gaz,Oui,,,,,,,,,,"Chaussée de Bruxelles, 352
1410 - Waterloo",À définir,,,,1,,30 m²,,11 m²,14 m²,20 m²,,,,2,3,Oui,Oui,10 m²,,310.000 €,773 €,Non,,,Hyper équipée,,,,,,,,Non,100 m²,,,,,,4513170,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
126,,Bon,,36 m²,15 m²,Connecté,C,20210325009736,Non communiqué,Non communiqué,Non,,295.000 €,,,,,,,,,,,À définir,,,,,,Équipée,,2,12 m²,Non,,,,,Oui,,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,11 m²,,,Oui,,,,,644 m²,,,,Oui,,,,113 m²,241 kWh/m²,,,,,,,1,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
127,,Bon,,37 m²,18 m²,Connecté,D,20210419021300,Non communiqué,Non communiqué,Non,,,,,,,,,,,,,À définir,,,,,,Équipée,,4,14 m²,13 m²,9 m²,Non,,,Oui,Non,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,9 m²,,,Oui,Sud-est,Oui,,,250 m²,,277 kWh/m²,,348.000 €,,,,140 m²,Sud-est,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,Bon,,36 m²,22 m²,,E,20210114007674,Non communiqué,Non communiqué,Mazout,Non,365.000 €,,,,,,,,,,,À définir,,,,,,Équipée,,3,15 m²,25 m²,Oui,,,,Oui,,25 m²,Nord,,733 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,18 m²,,,Oui,,,,,Connecté,,377 kWh/m²,,Oui,,,,175 m²,,,,,,,,2,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
129,1997,Excellent état,2,480 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,,,,"Avenue du centenaire 53/4
1400 - Nivelles",Après la signature de l’acte,,,4,,,,,,,,,,,,,,Oui,53 m²,Oui,650.000 €,9.685 €,Oui,,,Hyper équipée,,Oui,Connecté,,,Non,,,,,,,,,4357932,,,Oui,Zone non inondable,,Non,,,,,,Oui,,,,,,Oui,,,,,,,,,Oui,,,,,,Non,Oui,,,,,,,,,
130,,Bon,,29 m²,14 m²,Connecté,G,20210616027121,Non communiqué,Non communiqué,Non,,985.000 €,,,,,,,,,,,À définir,,,1,1,,Équipée,,5,17 m²,17 m²,18 m²,14 m²,Non,,Oui,Non,Oui,Nord-ouest,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,22 m²,,,Oui,Nord-ouest,18 m²,,,8080 m²,,594 kWh/m²,,Oui,,,,265 m²,,,,,,,,1,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
131,,Bon,,29 m²,32 m²,Connecté,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,395.000 €,,,,,,,,,,,À définir,,,,,,Équipée,,3,14 m²,14 m²,Non,,,,Oui,,Oui,Nord-est,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,13 m²,,,Oui,Nord-est,16 m²,,2,283 m²,,Non communiqué,,Oui,,,,150 m²,,,,,,,,1,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
132,,Bon,,31 m²,13 m²,Connecté,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,435.000 €,,,,,,,,,,,À définir,,,1,1,,Équipée,,3,13 m²,9 m²,Non,,,,Oui,Non,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,11 m²,,,Oui,,,,,411 m²,,,,Oui,,,,120 m²,Non communiqué,,,,,,,2,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
133,,Bon,,30 m²,14 m²,Connecté,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,475.000 €,,,,,,,,,,,À définir,,,1,1,,Équipée,,4,19 m²,14 m²,37 m²,Non,,,Non,,Oui,,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,7 m²,,,Oui,Ouest,Non communiqué,,2,992 m²,,,,Oui,,,,142 m²,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1952,Bon,4,190 m²,4,871 m²,382 kWh/m²,E,20210823019322,96 kg CO₂/m²,110714 kWh/an,Mazout,Oui,,,,,,,,,,"Chaussée de Bruxelles, 352
1410 - Waterloo",À définir,,,1,3,,77 m²,,14 m²,17 m²,13 m²,12 m²,9 m²,,1,1,Oui,Oui,140 m²,,425.000 €,1.358 €,Non,,,Américaine semi-équipée,10 m²,Oui,Connecté,,,,,Non,600 m²,,,,,,4452985,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,1 avril 2022 - 00:00,,,,,,,,,,,
135,1956,Excellent état,3,180 m²,4,234 m²,160 kWh/m²,B,20121215012002,Non communiqué,31513 kWh/an,Gaz,Oui,,,,,,,,,,"Chaussée de Bruxelles, 352
1410 - Waterloo",Après la signature de l’acte,,,,1,,35 m²,,11 m²,28 m²,17 m²,16 m²,12 m²,,2,2,Oui,Oui,20 m²,,450.000 €,1.713 €,Non,,,Hyper équipée,4 m²,Oui,Connecté,,,,,Non,30 m²,,,,,Oui,4507588,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
136,1991,Excellent état,4,540 m²,6,1500 m²,215 kWh/m²,C,20120801001813,52 kg CO₂/m²,100969 kWh/an,Mazout,Oui,,,,,,,,,,"Chaussée de Bruxelles, 352
1410 - Waterloo",Après la signature de l’acte,,,1,6,,64 m²,,22 m²,48 m²,14 m²,14 m²,14 m²,12 m²,6,4,Oui,,,Oui,1.125.000 €,6.621 €,Non,,,Hyper équipée,14 m²,Oui,,,,Oui,,Non,,,,,,,4417960,,Oui,Non,,,,,,,,,,,,,,,Oui,,,Oui,,,,,,Oui,,,,,,,,,,,,,,,,
137,,À rénover,,105 m²,2,,441 kWh/m²,F,20210730003200,Non communiqué,Non communiqué,Gaz,,,,,,,,,,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",À définir,,,,,,33 m²,,14 m²,17 m²,10 m²,,,,,1,Oui,Oui,,,160.000 €,,Non,,,Semi-équipée,,,Connecté,,,,1,Non,,,,Non,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
