,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Chambres,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Adresse,À partir de,Quartier ou lieu-dit,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface du salon,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Salles de bains,Toilettes,Grenier,"Eau, gaz & électricité",Surface de la terrasse,Accès sécurisé / alarme,Prix,Revenu cadastral,Immeuble de rapport,Référence externe,Combien de feux ouverts ?,Type de cuisine,Surface de bureau,Bureau,Raccordement à l'égout,Jardin,Orientation du jardin,Piscine,Salles de douche,Meublé,Surface du jardin,Orientation de la terrasse,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Site internet,Visite virtuelle,Terrasse,Ascenseur,Type de zone inondable,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Nom de l'agent,Dressing,Espace professionnel,Surface de la cave,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Chauffe-eau commun,Salon,Cave,Surface de l'espace professionnel,Buanderie,Largeur du terrain à rue,Attestation de conformité des citernes à mazout,Disponible le,Droit d'achat prioritaire possible,Permis de bâtir obtenu,Type de construction,Obligation de construire,Surface constructible totale au sol,Surface du grenier,Nombre d'annexes,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Mise à prix
30,1968,Bon,4,112 m²,3,1098 m²,484 kWh/m²,F,20210503013804,Non communiqué,55085 kWh/an,Gaz,,,,,,,,,,,"Avenue Reine Astrid, 54
1410 - Waterloo",,,,1,,,34 m²,,,,,,,,1,,,,11 m²,,495.000 €,1.715 €,Non,,10,Équipée,4 m²,Oui,,,,,,Non,,,Non,,,,25226 - 111135921,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
31,,Excellent état,4,Américaine équipée,Non,Connecté,C,20161021006086,Non communiqué,Non communiqué,Non,,Non,,,,,,,,,,WATERLOO-LF,,,,2,,,,,,,,,,,5,Non,,231 kWh/m²,,,Non,,"Rue Belle Vue, 11
7100 - La Louvière",,,5,,Oui,Oui,,,,,Non,,,Oui,,,,,664 m²,,,,Oui,3.900.000 €,,,5,,,5500 m²,,,,,,,,,,,,,,,Non,,,,,,Non,,,,,,,,,,
32,1960,Bon,4,170 m²,4,700 m²,Non communiqué,Non communiqué,E,Non communiqué,Non communiqué,Mazout,Non,,,,,,,,,,,Après la signature de l’acte,,,1,1,,40 m²,,,,,,,,1,,,Oui,,,545.000 €,1.600 €,Non,,1,,,Non,Connecté,,Sud,,1,Non,1 m²,,,Non,Non,Non,,,,,,,,,,Non,Non,,Non,Oui,Non,Oui,Non,,,,,,,,,Non,,,,,,,,,,Toutes sortes,,,,,,,,
33,2003,Excellent état,4,50 m²,17 m²,Oui,B,20210426005205,30 kg CO₂/m²,Non communiqué,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,2,8,,1,,8,16 m²,14 m²,23 m²,23 m²,5,Oui,,,,,161 kWh/m²,"Chaussée de Tervuren 186
1410 - Waterloo",,,,Hyper équipée,16 m²,,Oui,,Ouest,Oui,,,,,Oui,,,,,,300 m²,Ouest,,,,,820.000 €,,,,,,,,,,,,,,,,,,,,23 m²,,Oui,,,,,,,,,1682 m²,,,,,
34,,,2,250 m²,4,400 m²,254 kWh/m²,C,20150824012045,Non communiqué,Non communiqué,Gaz,Oui,600.000 €,125.000 €,1.800 €,Oui,Oui,Oui,2,"77, 79",12 ans,"Avenue des Petits Champs, 63
1410 - Waterloo",,,,,,,30 m²,Oui,9 m²,20 m²,14 m²,13 m²,12 m²,,2,3,,Oui,,,,1.350 €,,,1,Équipée,12 m²,Oui,Connecté,,,,1,Non,,,,,,,VERDONCK,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,Oui,,,,,,,,,,,Oui,,Oui,,,,,,,,,50 m²,,,,,
35,,Fraîchement rénové,4,927 m²,6,3723 m²,671 kWh/m²,G,20120902011904,166 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,,,,,,,"Rue de Saintes 11/3
1400 - Nivelles",Après la signature de l’acte,,,,20,,,Oui,,66 m²,18 m²,16 m²,15 m²,14 m²,3,,,Oui,,Oui,1.950.000 €,,,,3,Hyper équipée,,Oui,,,,,,Non,,,,,,,,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Oui,,,,,,,,,Oui,,,,,,,Oui,Oui,,Oui,,,,,,,,,,2,,,,
36,,Excellent état,4,207 m²,3,800 m²,248 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,,,,,,,"105 avenue Seghers
1081 - Bruxelles",Selon le locataire,,,1,,,46 m²,,16 m²,42 m²,13 m²,9 m²,,,2,5,,,28 m²,Oui,685.000 €,3.272 €,Non,,1,Équipée,,,,,,,,Non,,,Non,Non,Non,Non,475,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,Oui,,,16 m,,,,,,,,,,,,,
37,,Excellent état,2,,1,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,460.000 €,,,,,,,,,,,,4003730,Après la signature de l’acte,,,,,,,,,,,,,,Non,,,,,,Non,,"Drève Richelle 197
1410 - Waterloo",,,,,,,,,,,Non communiqué,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,Excellent état,4,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,"Place du champ de Mars 5
1050 - Bruxelles",,BELGIQUE,,,,,,,,,,,,,,,,,,,3.550.000 €,,Oui,3645284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,4,1000 m²,7,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,"Place du champ de Mars 5
1050 - Bruxelles",,,,,,,,,,,,,,,,,,,,,1.500.000 €,,Oui,3645292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1800,Bon,3,25 m²,11 m²,Non connecté,F,20210601029578,7922 kg CO₂/m²,43588 kWh/an,Non,Oui,Non,,,,,,,,,,4367068,Selon le locataire,Brabant Wallon,3.4 m,,,Isolé,Américaine équipée,,2,17 m²,1,,,,1,Non,,238 m²,435 kWh/m²,,711 €,Non,"Place Communale 8
1160 - Auderghem",,,7 m²,,,Oui,,,,1,323 m²,16 m²,,Gaz,,,,,97 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Zone non inondable,Faire offre à partir de 249.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,
