,Année de construction,Nombre de façades,Parkings intérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Salles de douche,Meublé,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Nom de l'agent,À partir de,Disponible le,État du bâtiment,Largeur de la façade à rue,Type d’environnement,Salon,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Toilettes,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface constructible totale au sol,Surface de la cuisine,Dressing,Buanderie,Bureau,Espace professionnel,Grenier,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Description libre du PEB,Attestation de conformité des citernes à mazout,Chauffe-eau commun,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Cave,Surface du jardin,Parkings extérieurs,Surface du grenier,Terrasse,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Largeur du terrain à rue,Type de construction,Obligation de construire,Visite virtuelle,Orientation du jardin,Référence externe,Salle à manger,Surface de bureau,Surface de l'espace professionnel,Quartier ou lieu-dit,Pourcentage loué,Revenu mensuel actuel,Surface de la chambre 5,Orientation de la terrasse,Combien de feux ouverts ?,Surface de la cave,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Nom du bien,Jardin
112,,2,,225 m²,,Semi-équipée,7,7,7,Non,20 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,Oui,469.000 €,1.415 €,Oui,"Avenue François Sebrechts 26
1080 - Molenbeek",4404911,,Selon le locataire,,À rafraîchir,,,,16 m²,16 m²,16 m²,16 m²,7,,Connecté,Oui,,,,,,,,,,,,,,Non,Oui,Oui,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 m²,,,,,,,,,,,
113,,,,74 m²,,,1,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,180.000 €,,Oui,"Volpestraat 18
1500 - Halle",2577 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,
114,,2,20,1643 m²,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,1.499.000 €,,Oui,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,,,Excellent état,,,Oui,,,,,,969 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,4508850,,,,,,,,,,,,,,,,,,
115,,Urbain,,,,,Non communiqué,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,MAISON A DEMOLIR - ARRETE DE DEMOLITION RENDU LE 19/08/2021,,,Non,"de Meeussquare, 1
1000 - Bruxelles ville",Muriel GEERTS,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,AUCUNE VISITE POSSIBLE - Risque d'effondrement du bien - A voir uniquement depuis la rue,À restaurer,35.000 €,438 €,,
116,1953,2,1,170 m²,23 m²,Semi-équipée,4,2,1,Non,,417 kWh/m²,G,Non communiqué,82 kg CO₂/m²,Non communiqué,,Gaz,Non,,,Non,359.000 €,1.556 €,Non,"Gentsesteenweg, 736
1080 - Molenbeek-St-Jean",JG35,,Immédiatement,,À rafraîchir,6 m,"Zone d'habitat (résidentiel, urbain ou rural)",,16 m²,15 m²,8 m²,40 m²,3,154 m²,,,,10 m²,Non,,Non,,,,,,,,,,,,,,,,,,,,Non,,,,,90 m²,,,,,,,Zone d'extension d'habitat,6 m,,Non,,Sud,,,,,,,,,,,,,,,,,,,
117,1953,2,,200 m²,,,3,,3,Non,10 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Oui,460.000 €,1.700 €,Oui,,,,Immédiatement,,Excellent état,9 m,,,14 m²,14 m²,11 m²,,3,80 m²,Connecté,Oui,,15 m²,Non,,Non,Non,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,,Oui,,Zone non inondable,,,,,,,,,,,Immeuble à appartements,,,,,,,,,,2000,,,,50 m²,,,,,,,,
118,2006,2,1,252 m²,30 m²,Hyper équipée,3,1,,Non,8 m²,106 kWh/m²,C,594141,Non communiqué,Non communiqué,,Gaz,,,,Oui,585.000 €,2.920 €,Non,"Sint-Annalaan 209
1853 - Strombeek-Bever",4433491,,Après la signature de l’acte,,Excellent état,,"Zone d'habitat (résidentiel, urbain ou rural)",,20 m²,17 m²,10 m²,,3,198 m²,Connecté,Oui,,10 m²,,,,,Oui,,,,,,,Non,Non,,Oui,,Oui,,,Non,,,,,,,Oui,,1,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
119,1966,2,44,,,,18,18,,,,331 kWh/m²,F,20210202-0000581878-01-0,66 kg CO₂/m²,Non communiqué,,Gaz,,,,,2.100.000 €,,Oui,"Boulevard de Waterloo 16
1000 - Bruxelles",,GOFFIN,,,Bon,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,1 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,Tazieaux 39,
120,,2,,150 m²,30 m²,Équipée,3,1,,Non,35 m²,400 kWh/m²,G,20210521-0000589198-01-8,79 kg CO₂/m²,Non communiqué,Non,Gaz,Non,Non,Non,Oui,350.000 €,1.526 €,Non,"Av. des Combattants 166
1470 - Bousval",1512,,,,,,,,,,,,2,107 m²,,,,1 m²,,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,,1 m²,,,,,,1 m,,,,,,,,,,,,,Sud-est,,,,,,,,,,
121,,,113,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3954592,,,Immédiatement,30 décembre 2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,33 kWh/m²,,,,,,Bruxelles,,,,,,,,,,,,,,
122,,2,,170 m²,,,5,3,,Non,,449 kWh/m²,G,20210901-000594916-01-0,Non communiqué,Non communiqué,Non,,,,,Oui,375.000 €,,Non,"Onkerzelestraat 272
9500 - Onkerzele",,,,,,,,,,,,,3,91 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,1568 - SVA2163,,,,,,,,,,,,,,,,,,
123,1930,2,,120 m²,18 m²,Équipée,3,1,1,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,325.000 €,500 €,Non,"Chaussée de Gand 331
1081 - Koekelberg",4526503,,À définir,,À rafraîchir,525 m,,,15 m²,11 m²,10 m²,,2,,Connecté,Oui,55 m²,125 m²,,,Oui,,,,,,,,,Non,Non,Oui,,,,,,,,,,,,Zone non inondable,,14 m²,,,,,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Oui,10 m²,,,,,,,,,,,,,,,,
124,,2,,,,Américaine semi-équipée,2,,1,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,Non,Non,300.000 €,,Non,,,,Immédiatement,,Bon,,,Oui,,,,,2,1 m²,,Oui,,,Non,,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,,Non,,,Oui,,,,,,,,,,Toutes sortes,,,,,Oui,,,,,,,,,,,,,,,,,
125,,2,,190 m²,18 m²,Équipée,4,2,2,Non,13 m²,676 kWh/m²,G,20170123-0000371576-01-0,145 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,375.000 €,1.202 €,Non,"Avenue Paul janson 54
1070 - Anderlecht",I-200103,,,,,5.5 m,,,,,,,,80 m²,Non connecté,Oui,,,Non,,Non,,,Non,,,,,Non,Non,Oui,Non,Non,,Non,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,2,,267 m²,66 m²,Équipée,4,1,2,Non,8 m²,310 kWh/m²,F,Non communiqué,89 kg CO₂/m²,Non communiqué,Non,Mazout,Non,Non,Non,Oui,459.000 €,,Non,"Rue Pierre Timmermans, 23
1090 - Jette",2963,,,,,,,,,,,,3,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,1,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
127,,,,150 m²,20 m²,,3,,1,Non,2 m²,458 kWh/m²,G,597003,Non communiqué,Non communiqué,Non,,,,,,Faire offre à partir de 235.000 €,,Non,"Place Dr. Schweitzer 18
1082 - Berchem-Ste-Agathe",1708 - 10000900,,Après la signature de l’acte,,,,,,21 m²,20 m²,13 m²,12 m²,3,,,,,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,2,,196 m²,30 m²,,5,2,2,Non,6 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,,Oui,350.000 €,,Oui,"Chaussée de Gand 331
1081 - Koekelberg",4374884,,À définir,,À rafraîchir,5.8 m,,,18 m²,18 m²,16 m²,16 m²,2,,Connecté,Oui,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,10 m²,,,,,,,,,,,
129,,2,,300 m²,,,,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Non,Oui,475.000 €,,Oui,"Boulevard du Neuvième de Ligne 35
1000 - Bruxelles",,,Selon le locataire,,,,,,,,,,,,Non connecté,Non,,,Non,,Non,,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,Non,,,Non,,,Non,Non,,,,,,,,,,,,,,,,,5905336,,,,,,,,,,,,,,,,,,
130,,,,230 m²,,,6,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,329.000 €,,Non,"Rue de Laeken 91
1000 - Bruxelles",,,À définir,,Bon,,,,,,,,,,,,,,,,Non,,,,,,,,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,798/17326,,,,,,,,,,,,,,,,,,
131,,4,,250 m²,,Équipée,,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Non,Non,450.000 €,,Oui,"Boulevard Louis Mettewie 262, Bte 18
1080 - Bruxelles",4919,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,4,,210 m²,30 m²,Équipée,5,,,Non,,213 kWh/m²,E,20210901-0000594910-01-3,42 kg CO₂/m²,Non communiqué,Non,Gaz,Non,Non,Non,Non,339.000 €,,Non,"Boulevard Louis Mettewie 262, Bte 18
1080 - Bruxelles",4946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,2,1,,,Équipée,,,,Non,,225 kWh/m²,E,20160402-0000333192-01-7,48 kg CO₂/m²,Non communiqué,Non,Gaz,Non,Non,Non,Non,639.000 €,,Oui,"Boulevard Louis Mettewie 262, Bte 18
1080 - Bruxelles",4938,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1978,2,1,44 m²,1,10 m²,18 m²,2,,,Sud,C,581026,31 kg CO₂/m²,Non communiqué,Gaz,,Oui,,,Oui,Oui,2.010 €,Non,"Rue des Dauphins 2/2
1080 - Molenbeek",,,,,,Excellent état,8 m,"Zone d'habitat (résidentiel, urbain ou rural)",,13 m²,8 m²,1,,Oui,Oui,Oui,111 m²,,3,,9 m²,176 m²,,,,Oui,,,8 m,,,,,,,,,,,,,,,,,,Sud,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,415.000 €,Connecté,,,179 m²,10 m²,,,Oui,,Quartier Karreveld / Fuschias,,,,151 kWh/m²,Américaine hyper-équipée,,,,,,,,,
