,Année de construction,Nombre de façades,Parkings intérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Salles de douche,Meublé,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Nom de l'agent,À partir de,Disponible le,État du bâtiment,Largeur de la façade à rue,Type d’environnement,Salon,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Toilettes,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface constructible totale au sol,Surface de la cuisine,Dressing,Buanderie,Bureau,Espace professionnel,Grenier,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Description libre du PEB,Attestation de conformité des citernes à mazout,Chauffe-eau commun,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Cave,Surface du jardin,Parkings extérieurs,Surface du grenier,Terrasse,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Largeur du terrain à rue,Type de construction,Obligation de construire,Visite virtuelle,Orientation du jardin,Référence externe,Salle à manger,Surface de bureau,Surface de l'espace professionnel,Quartier ou lieu-dit,Pourcentage loué,Revenu mensuel actuel,Surface de la chambre 5,Orientation de la terrasse,Combien de feux ouverts ?,Surface de la cave,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Nom du bien,Jardin
0,2005,2,2,750 m²,110 m²,Hyper équipée,5,3,2,Non,200 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Non,Non,1.450.000 €,4.000 €,Oui,"Chausse de St. Job, 546
1180 - Bruxelles",Nathalie Haim,1014941SBnH Rap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1930,2,,315 m²,,Semi-équipée,6,4,4,Non,,400 kWh/m²,G,Non communiqué,76 kg CO₂/m²,Non communiqué,,Gaz,,,,Oui,670.000 €,1.707 €,Oui,"Avenue Louise 160 Rez
1050 - Bruxelles",4512745,,Après la signature de l’acte,10 septembre 2021 - 00:00,À rénover,5.58 m,Urbain,Oui,18 m²,18 m²,18 m²,18 m²,4,86 m²,Connecté,Oui,315 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1939,2,,173 m²,31 m²,Américaine hyper-équipée,4,1,1,Non,10 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Oui,410.000 €,765 €,Non,,,,,,Excellent état,5 m,,,20 m²,12 m²,20 m²,10 m²,2,60 m²,Connecté,Oui,,15 m²,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,En cours,Non,Oui,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1942,2,,165 m²,30 m²,Américaine équipée,3,2,2,Non,24 m²,167 kWh/m²,D,Non communiqué,36 kg CO₂/m²,Non communiqué,,,,,,Oui,389.000 €,,Non,"Avenue Louise 160 Rez
1050 - Bruxelles",4447338,,Après la signature de l’acte,,Bon,5.86 m,Urbain,,20 m²,21 m²,23 m²,,2,192 m²,Connecté,Oui,,30 m²,,,,,,,,,,,,Non,Non,,Oui,,,,,Non,,,,,,,Oui,96 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1956,2,1,288 m²,45 m²,Hyper équipée,5,1,,,,325 kWh/m²,F,595769,Non communiqué,Non communiqué,,Gaz,,,,Oui,Faire offre à partir de 529.000 €,2.620 €,Non,"Assesteenweg 228
1742 - Ternat",4516118,,Après la signature de l’acte,,Excellent état,,,,17 m²,16 m²,10 m²,,,323 m²,Connecté,Oui,,12 m²,,,,,,,,,,,,,,Oui,,,,,,,,,,,Non,Zone non inondable,Oui,,1,55 m²,Oui,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,
5,1950,2,1,205 m²,,Américaine semi-équipée,4,3,,Non,10 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,Non,Oui,420.000 €,,Oui,,,,,,Excellent état,6 m,"Zone d'habitat (résidentiel, urbain ou rural)",,16 m²,16 m²,16 m²,10 m²,3,145 m²,Connecté,Oui,,,Non,,Non,Non,,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,,,Non,Non,,,40 m²,1,,,,,,,6 m,Toutes sortes,Non,,,,,,,,,,,,,,,,,,,,,
6,1950,2,1,Équipée,3,1,1,Oui,,60 m²,E,Non communiqué,70 kg CO₂/m²,Non communiqué,Non,Mazout,Oui,445.000 €,,,,1.507 €,Non,"Av. Delleur 17
1170 - Watermael Boitsfort",6127 - 5551,,,,Après la signature de l’acte,,Fraîchement rénové,6 m,,,,,,,Non,Ouest,,,,,,137 m²,,,,,,,,,,,,,,,,,,,,,,,,,,15 m²,,,,,,,,,,,50 m²,275 kWh/m²,,,,,,,,,,,,,,,,,,,
7,,,,300 m²,,Équipée,7,4,,Non,,344 kWh/m²,F,20210309-0000584245-01-2,Non communiqué,Non communiqué,,Gaz,,,,Oui,735.000 €,2.134 €,Oui,"Sint Rochusstraat 109
1500 - Halle",,,,,Fraîchement rénové,,Urbain,Oui,,,,,,450 m²,Connecté,Oui,,,Non,,Non,,,,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,Oui,,,Non,,,,,Non,,Oui,,,,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,,,Opbrengsteigendom An,,,,,,,,,,,,,,,,,,
8,1910,4,1,1620 m²,45 m²,Équipée,4,2,2,Non,,211 kWh/m²,D,E+,53 kg CO₂/m²,Non communiqué,,Mazout,,,,,1.640.000 €,,Oui,"Avenue Louise 231
1050 - Bruxelles-Quartier Louise",4312304,,Après la signature de l’acte,30 mars 2021 - 00:00,Bon,9.76 m,,,21 m²,23 m²,24 m²,26 m²,3,420 m²,Connecté,Non,1640 m²,25 m²,,,Oui,,Oui,,,,,,,Non,Non,Oui,Oui,,,,,Non,,,,,,,Oui,,4,,,Oui,Oui,Non,Zone d'habitat mixte (habitat & activité économique),9.76 m,,,,,,Oui,100 m²,285 m²,,,,,,,,,,,,,,,
9,1950,2,,230 m²,25 m²,Équipée,4,3,,Non,25 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Non,Non,489.000 €,,Oui,"Av. Houba de Strooper 618
1020 - Laeken",4378,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,3,136 m²,,,,1 m²,,Oui,,,,,,,,,,,,Oui,,,,,,,,,,,,,,38 m²,,,,,,,,1 m,,,,,,Oui,,,,,,,,,,,,,,,,,
10,1900,2,,225 m²,,,6,3,,Non,,252 kWh/m²,E,E,Non communiqué,Non communiqué,,Gaz,,,,,1.300.000 €,,Oui,"Avenue louise 523
1050 - Ixelles",,,Selon le locataire,,À rafraîchir,,Urbain,Oui,,,,,,375 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,7.2 m,,,,,4314793,,,,Bruxelles (19 communes),,,,,,,,,,,,,,
11,,2,,280 m²,,,4,4,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,Oui,599.000 €,,Oui,"Winderickxplein 25
1652 - Alsemberg",,,Après la signature de l’acte,,À rafraîchir,,Urbain,,,,,,4,150 m²,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,68 m²,,,Oui,,,,,,,,,,4075604,,,,Bruxelles Ville,,,,,,,,,,,,,,
12,1945,2,,,44 m²,Américaine équipée,3,2,,Non,,324 kWh/m²,F,20180929-0000536153-01-8,65 kg CO₂/m²,Non communiqué,Non,,,,,Oui,Faire offre à partir de 350.000 €,,Non,"Rond Point Schuman 6/5
1040 - Etterbeek",,,,,Bon,5.5 m,,,,,,,2,,Non connecté,Non,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,2_pommier43,,,,,,,,,,,,,,,,,,
13,1960,3,1,210 m²,,Équipée,3,1,,Non,10 m²,312 kWh/m²,F,20171206-0000517388-01-7,312 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,575.000 €,,Non,"Avenue Paul janson 54
1070 - Anderlecht",I-210313,,,,,6.85 m,,,,,,,,400 m²,Connecté,Non,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,Oui,250 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1960,2,,100 m²,,Équipée,3,1,,Non,25 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,Non,Oui,350.000 €,,Non,,,,Après la signature de l’acte,,,,,Oui,,,,,1,100 m²,,Non,,,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,,"Oui, conforme",Oui,,,Oui,12 m²,,,,,,,,,Toutes sortes,,,,,Oui,,,,,,,,,,,,,,,,,
15,,2,,120 m²,24 m²,Équipée,3,,1,Non,2 m²,423 kWh/m²,G,20201220-0000580105-01-2,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Non,Non,289.000 €,,Oui,"Rue Fransman 15
1020 - Laeken",,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,18 m²,17 m²,,,2,,,,,7 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 m,,,,,1462-1,,8 m²,,,,,,,,,,,,,,,,
16,,2,,125 m²,,Américaine équipée,3,1,,Non,14 m²,233 kWh/m²,E,20201124-0000578727-01-1,47 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,348.000 €,508 €,Non,"Avenue Paul janson 54
1070 - Anderlecht",I-210307,,,,,5.5 m,,,,,,,,120 m²,Non connecté,Non,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,,35 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1960,2,1,210 m²,31 m²,Équipée,5,,2,Non,,130 kWh/m²,C,20190702-0000552443-01-1,25 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,495.000 €,1.028 €,Non,"Avenue Paul janson 54
1070 - Anderlecht",I-190606,,,,,6 m,,,,,,,,141 m²,Non connecté,Oui,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,,70 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1930,2,,200 m²,,Équipée,3,,2,Non,,541 kWh/m²,G,Non communiqué,108 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,345.000 €,887 €,Non,"Avenue Paul janson 54
1070 - Anderlecht",I-200605,,,,,5.5 m,,,,,,,2,142 m²,Non connecté,Oui,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,Oui,65 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1932,2,,700 m²,,,,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Non,Oui,1.950.000 €,,Oui,"Boulevard du Neuvième de Ligne 35
1000 - Bruxelles",,Clothilde HACOURT,Après la signature de l’acte,,Fraîchement rénové,,,,,,,,,,Connecté,Non,,,Non,,Non,,,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,,Oui,,,Non,,,Non,Oui,,,,,,,,,,,,,,,,,6034003,,,,,,,,,,,,,,,,,,
20,,,1,165 m²,47 m²,Équipée,5,1,1,Non,,479 kWh/m²,G,Non communiqué,96 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,360.000 €,,Non,"Avenue Paul janson 54
1070 - Anderlecht",I-200911,,,,,4.65 m,,,,,,,1,,Non connecté,Non,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,,23 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1955,,2,360 m²,,Pas équipée,6,,3,Non,,495 kWh/m²,G,Non communiqué,99 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,899.000 €,,Oui,"Avenue Paul janson 54
1070 - Anderlecht",I-210906,,,,,,,,,,,,3,,Non connecté,Non,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,2,,,,,6,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,Oui,1.365.000 €,,Oui,"Boulevard de Waterloo 16
1000 - Bruxelles",,GOFFIN,Selon le locataire,,Bon,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,1 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lotto Park/ Saint-Guidon,100,66832,,,,,,,,,,,,
23,1930,2,,200 m²,,Hyper équipée,3,1,1,,36 m²,188 kWh/m²,D,20150208-000027021,39 kg CO₂/m²,Non communiqué,,,,,,,450.000 €,,Non,"Avenue d'Auderghem, 277
1040 - Etterbeek",4149320,,À définir,,,,,,18 m²,12 m²,14 m²,,1,210 m²,Connecté,Oui,,,,,Oui,,Oui,,,,,,,,,Oui,Oui,,Oui,,,,,,,,,Zone non inondable,Oui,130 m²,,,,,,,,,,,,,,,9 m²,,,,,,,,,,,,,,,,
24,,,1,210 m²,,Hyper équipée,5,,3,Non,,213 kWh/m²,E,20210811-0000593880-01-0,55 kg CO₂/m²,Non communiqué,Non,Mazout,,,,Oui,525.000 €,2.327 €,Non,"Avenue Paul janson 54
1070 - Anderlecht",I-210703,,,,,,,,,,,,3,,Non connecté,Non,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,Oui,65 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,2,,360 m²,,,6,6,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,1.270.000 €,4.538 €,Oui,"Ninoofsesteenweg 85
1700 - Dilbeek",4031980,,À définir,,Bon,,,Oui,,,,,,415 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,Oui,,Non,,,,,,,,,,,Anderlecht,,,,,,,,,,,,,,
26,,,,,,Hyper équipée,2,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,,,,490.000 €,,Non,"Bleekstraat, 19
2480 - Dessel",,,À définir,,Excellent état,,,,,,,,2,,Connecté,Oui,,,Non,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,2,,750 m²,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,795.000 €,,Oui,"Av. d’Hougoumont, 9 bte 2
1180 - Bruxelles",,,,,À rénover,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4402682,,,,,,,,,,,,,,,,,,
28,,2,1,300 m²,45 m²,,5,,2,Non,,409 kWh/m²,G,20210421-0000587144-01-7,79 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,595.000 €,,Non,"Avenue Paul janson 54
1070 - Anderlecht",I-210407,,,,,,,,,,,,,,Non connecté,Non,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,Hyper équipée,7,,6,Non,18 m²,401 kWh/m²,G,Non communiqué,105 kg CO₂/m²,Non communiqué,Non,Mazout,,,,Oui,895.000 €,,Non,"Avenue Paul janson 54
1070 - Anderlecht",I-210504,,,,,,,,,,,,6,,Non connecté,Non,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,Oui,300 m²,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,2,,150 m²,,,4,2,1,,,243 kWh/m²,E,20210205-00000000-00,48 kg CO₂/m²,Non communiqué,,Gaz,,,,Oui,290.000 €,,Non,"Avenue de Woluwe-Saint-Lambert 35
1200 - Woluwe-Saint-Lambert",798/17411,,Selon le locataire,,,,,,,,,,,,Connecté,Oui,,,,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,1,155 m²,,Pas équipée,3,1,,Non,20 m²,353 kWh/m²,G,20210226-00005834401-1,70 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,350.000 €,,Non,"Avenue Paul janson 54
1070 - Anderlecht",I-210204,,,,,6 m,,,,,,,1,,Non connecté,Non,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,,103 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,2,1,233 m²,,,6,3,,Non,,297 kWh/m²,F,201706090000505973-01-6,Non communiqué,Non communiqué,,,,,,,Faire offre à partir de 569.000 €,,Non,"Rue de Mons 63
1480 - Tubize",,,Après la signature de l’acte,,Excellent état,,,,,,,,,150 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Oui,,,,,,,,,,4402166,,,,,,,,,,,,,,,,,,
33,,2,,130 m²,26 m²,Semi-équipée,4,,,Non,,499 kWh/m²,G,20190611-0000-551158-01-9,131 kg CO₂/m²,Non communiqué,Non,,,,,Oui,298.000 €,659 €,Non,"Avenue Paul janson 54
1070 - Anderlecht",I-190603,,,,,4.8 m,,,,,,,,,Non connecté,Oui,,,Non,,Non,,,Non,,,,,Non,Non,Oui,Non,Non,,Non,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,3,1,135 m²,,,3,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,499.000 €,,Non,"Winderickxplein 25
1652 - Alsemberg",,,,,,,,,,,,,,342 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4518682,,,,,,,,,,,,,,,,,,
35,,2,,,,,4,3,,Non,,225 kWh/m²,E,20210622-0000591265-01-7,Non communiqué,Non communiqué,,,,,,,Faire offre à partir de 699.000 €,,Oui,"Rue de Mons 63
1480 - Tubize",,,Après la signature de l’acte,,Bon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,4500786,,,,,,,,,,,,,,,,,,
36,,2,,180 m²,,,3,2,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,475.000 €,,Oui,"Rue de Laeken 91
1000 - Bruxelles",,,Selon le locataire,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,798/17216,,,,,,,,,,,,,,,,,,
37,1965,,2,,,Pas équipée,,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,Oui,475.000 €,,Non,"Avenue Paul janson 54
1070 - Anderlecht",I-200203,,,,,14.5 m,,,,,,,,397 m²,Non connecté,Oui,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1891,2,,150 m²,31 m²,Pas équipée,4,1,1,Non,14 m²,195 kWh/m²,D,Non communiqué,39 kg CO₂/m²,Non communiqué,,Gaz,,,,,375.000 €,734 €,Non,"Rue Potaerdenberg 31
1070 - Anderlecht",4422077,,Après la signature de l’acte,15 mars 2021 - 00:00,À rénover,4.93 m,"Zone d'habitat (résidentiel, urbain ou rural)",,16 m²,13 m²,12 m²,10 m²,2,74 m²,Connecté,Oui,64 m²,6 m²,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,Oui,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",4.93 m,,,,,,,,,,,,,,,,,,,,,,,
39,1900,2,,190 m²,22 m²,Américaine hyper-équipée,3,2,2,Non,5 m²,298 kWh/m²,F,Non communiqué,59 kg CO₂/m²,Non communiqué,,Gaz,,,,Oui,389.000 €,699 €,Non,"Rue Potaerdenberg 31
1070 - Anderlecht",4452485,,Après la signature de l’acte,30 octobre 2021 - 00:00,Bon,5 m,Urbain,,12 m²,12 m²,12 m²,,2,50 m²,Connecté,Oui,46 m²,16 m²,,,Oui,,Oui,,,,,,,Non,Non,Oui,,,,,,Non,,,,,Non,Zone non inondable,Oui,,,,,Oui,Non,Non,,5 m,,,,,,Oui,7 m²,,Centre Bruxelles,,,,,,,,,,,,,,
40,1932,2,,206 m²,,Équipée,5,2,1,Non,18 m²,591 kWh/m²,G,Non communiqué,145 kg CO₂/m²,Non communiqué,,Mazout,,,,Oui,350.000 €,,Non,"Rue Potaerdenberg 31
1070 - Anderlecht",4320833,,Après la signature de l’acte,1 janvier 2021 - 00:00,À rafraîchir,5.5 m,Isolé,,20 m²,14 m²,10 m²,12 m²,2,114 m²,Connecté,Oui,206 m²,13 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Zone non inondable,Oui,45 m²,,,,,,,,5.5 m,,,,,,Oui,,,Bruxelles,,,9 m²,,,,,,,,,,,
41,1928,2,,40 m²,Américaine hyper-équipée,2,16 m²,1,3,300 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,,,215 m²,1.989 €,Oui,"Rue Potaerdenberg 31
1070 - Anderlecht",4420987,,,À définir,,Fraîchement rénové,6 m,Urbain,,16 m²,1,,,17 m²,6 m,Oui,65 m²,Zone non inondable,,,,Non,,,,,,,,,,,,,,,,,,,,,,,589.000 €,,60 m²,,,,,,,,Connecté,,,280 m²,,,,Oui,,Bruxelles,,,,,,,,,,,,,,
42,,2,,140 m²,25 m²,Équipée,4,1,,Non,7 m²,342 kWh/m²,F,2020708-000571337-01-7,68 kg CO₂/m²,Non communiqué,,Gaz,,,,,299.000 €,,Non,"Square Josepg Hanse 2 B19
1200 - Woluwe-Saint-Lambert",4369954,,Après la signature de l’acte,,À rénover,5.5 m,Urbain,,19 m²,13 m²,19 m²,13 m²,1,45 m²,Connecté,Oui,38 m²,7 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",5.5 m,,,,,,,,,,,,,,,,,,,,,,,
43,1920,2,,175 m²,,,,,3,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,,Oui,359.000 €,555 €,Oui,"Rue Alexandre Markelbach 78
1030 - Schaarbeek",1841 - 1044,,Après la signature de l’acte,,À rénover,,,,,,,,3,60 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,
44,,3,1,210 m²,37 m²,Hyper équipée,4,,1,Non,,382 kWh/m²,G,20210331-00004147001-5-4,82 kg CO₂/m²,Non communiqué,Non,,,,,Oui,425.000 €,1.189 €,Non,"Rue de Tervaete 35
1040 - Etterbeek",,,,,Bon,4.85 m,"Zone d'habitat (résidentiel, urbain ou rural)",,19 m²,11 m²,19 m²,19 m²,2,95 m²,Connecté,Non,,9 m²,Non,Oui,Oui,,,Non,,,,,Non,Non,Non,Non,Non,,Oui,,,Non,,,,,Non,,,27 m²,1,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,3808,,,,,,,,Sud,,,,,,,,,,
45,1934,2,,202 m²,,,,2,,Non,6 m²,500 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,Non,Oui,320.000 €,1.083 €,Oui,,,,Après la signature de l’acte,,À rénover,,,Oui,,,,,3,104 m²,Connecté,Oui,,,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,,,,,,,,,,,,,,Non,,,Oui,27 m²,,,,,,,,,Toutes sortes,,,,,Oui,,,,,,,,,,,,,,,,,
46,1930,2,,357 m²,,,7,,2,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,,Oui,365.000 €,1.936 €,Oui,"Avenue du Roi Albert 63 bt3
1082 - Berchem-Sainte-Agathe",,,Après la signature de l’acte,,À rénover,5.7 m,Urbain,,,,,,1,163 m²,Connecté,Oui,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,Non,,Oui,12 m²,,,,Oui,Oui,Non,,,,,,Ouest,0195,,,,Anderlecht,,,,,,,,,,,,,,
47,1975,2,,350 m²,,,7,,,,,239 kWh/m²,E,20200827-0000573874-01-5,Non communiqué,Non communiqué,,Gaz,,,,Oui,950.000 €,2.860 €,Oui,,,,Selon le locataire,,,,,,,,,,7,144 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,100,5250,,Nord-ouest,,,,,,,,,,
48,1920,2,,120 m²,40 m²,Semi-équipée,4,1,,Non,14 m²,314 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,,Oui,349.000 €,991 €,Non,"Rue de Neerpede 370
1070 - Anderlecht",2288 - 1036,,Après la signature de l’acte,,Bon,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,2,,Équipée,,4,1,1,1,150 m²,,G,202108260000594553-01-0,104 kg CO₂/m²,Non communiqué,Gaz,,Oui,,,,399.900 €,1.187 €,Non,"Rue Léon Debelle 60
7170 - Bois-d'Haine",4491289,,,À définir,,Bon,,,,,,,,Oui,Connecté,Oui,Oui,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,518 kWh/m²,,,,,,,,164 m²,,,,,,,,,,,,,,,,,,,,
50,,,,140 m²,26 m²,Semi-équipée,4,1,,Non,,509 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,,Oui,349.000 €,1.136 €,Non,"Rue de Neerpede 370
1070 - Anderlecht",2339 - 1076,,,,Bon,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,75 m²,,,,,,,,,,,,,,,,,Bizet,,,,,,,,,,,,,,
51,1928,,,Non,,,,,,Non,,G,20190518-0000549717-01-4,79 kg CO₂/m²,Non communiqué,Non,Non,,,,,675.000 €,2.565 €,Oui,"Rue de Tervaete 35
1040 - Etterbeek",3528,,,,,Bon,,,,,,,,,Connecté,Oui,Sud-est,,,Non,,Non,,,220 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317 m²,,,,,,,,,,474 kWh/m²,,,,,,,,,,
