,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Salles de bains,Toilettes,Surface de bureau,Bureau,Espace professionnel,Surface du grenier,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation de conformité des citernes à mazout,Type de chauffage,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Type de construction,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Buanderie,Surface de la cave,Revenu cadastral,Adresse,Nom de l'agent,Visite virtuelle,Surface de la chambre 5,Salles de douche,Grenier,Ascenseur,Accessible aux personnes avec un handicap,Surface constructible totale au sol,Jardin,Pompe à chaleur,Obligation de construire,Site internet,Terrasse,Cave,Attestation as-built,Référence externe,Surface de l'espace professionnel,Nombre d'annexes,Salon,Isolé,Disponible le,Concierge,Climatisation,Panneaux photovoltaïques,Panneaux solaires,Description libre du PEB,Quartier ou lieu-dit,Niveau E (performance énergétique globale),Charges mensuelles,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Pourcentage loué,Revenu mensuel actuel,Nom du bien,Étage,Nombre d'étages,Informations supplémentaires
135,Après la signature de l’acte,2004,Excellent état,,4,2,,,730 m²,125 m²,,,Hyper équipée,48 m²,8,42 m²,41 m²,37 m²,36 m²,,5,7,,Oui,,,,,3000 m²,,,,,,Connecté,Oui,,,,,,,,,,Oui,,236 kWh/m²,C,20120702008800,58 kg CO₂/m²,218074 kWh/an,,Mazout,,,,,,,,,,2.450.000 €,Non,,,9.010 €,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",,,35 m²,1,Oui,Non,,,,,,030/27541,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Après la signature de l’acte,2004,Excellent état,,4,2,,,730 m²,125 m²,,,Hyper équipée,48 m²,8,42 m²,41 m²,37 m²,36 m²,,5,7,25 m²,Oui,,,,Oui,3000 m²,,,,,,Connecté,Oui,2000 m²,,100 m²,,,Oui,Oui,,,,,236 kWh/m²,C,20120702008800,58 kg CO₂/m²,218074 kWh/an,,,,,,,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",2.450.000 €,Non,,,9.010 €,"Chaussée de Waterloo 1382
1180 - Uccle",,,35 m²,5,Oui,Non,Non,920 m²,,,,4408218,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Après la signature de l’acte,2018,Fraîchement rénové,,4,1,,,430 m²,82 m²,Oui,,,,3,40 m²,37 m²,32 m²,,Oui,2,2,,Oui,,,Non,Non,4250 m²,Non,Non,Non,Non,,Non connecté,Non,,,,,Non,Oui,Oui,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Mazout,Oui,Oui,,,Non,Non,Non,,,3.600.000 €,Non,,,,"Drève Richelle, 118
1410 - Waterloo",,,,,,Oui,Non,700 m²,,Non,,3264623,Oui,Oui,Non,,,,,,,Non,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
138,Après la signature de l’acte,1944,Excellent état,,4,5,,,741 m²,65 m²,,,Hyper équipée,,8,,,,,,5,4,,Oui,,,,,115000 m²,,,,,,Connecté,Oui,,,73 m²,,,,,,,,,334 kWh/m²,D,20170607027843,Non communiqué,Non communiqué,,Mazout,,,,,,,,,,5.750.000 €,Non,,,9.075 €,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",,,,,Oui,,,,,,,030/27660,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Après la signature de l’acte,1970,Bon,,4,2,4,,300 m²,,,1,,,4,,,,,,2,,,Oui,,,,,2200 m²,,,,,,Connecté,Non,,Ouest,,,Oui,,,,,,,574 kWh/m²,G,20210813008298,Non communiqué,Non communiqué,,Mazout,,Oui,,,,,,,,895.000 €,Non,,,,"4 route d’Ohain
1380 - Lasne",,,,,Oui,Non,,,Oui,,,102/5178,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Après la signature de l’acte,,À rénover,,4,2,,,300 m²,,,,Pas équipée,,5,,,,,,2,,,,,,Non,,49745 m²,,,,,,Non connecté,Non,49445 m²,,,,,,,,,Oui,,394 kWh/m²,E,20150508023932,Non communiqué,144725 kWh/an,,Mazout,,Oui,,,,,,,,2.100.000 €,Non,,,,"Chaussée de Louvain 433
1380 - Lasne",,,,,,Non,Non,,,,,4359939,Oui,,,,,,,,11 novembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Après la signature de l’acte,,Fraîchement rénové,,3,,4,,140 m²,,,,Équipée,,3,,,,,,1,2,,,,,Non,,435 m²,,,,,,,,,,,,,,,,,,,221 kWh/m²,C,202110422004460,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Oui,Non,,Zone non inondable,,430.000 €,Non,,,,"Route de Genval 14
1380 - Ohain",,,,,,,,,,,,762 - 021/009,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,À définir,1985,À rafraîchir,,,,,,191 m²,18 m²,Oui,1,,22 m²,4,18 m²,15 m²,15 m²,13 m²,Oui,3,,18 m²,Oui,,,Non,Non,1640 m²,Non,Non,Non,Non,,Non connecté,Non,,,,,Non,Non,Non,,,Oui,,543 kWh/m²,G,20210518005039,135 kg CO₂/m²,9 kWh/an,"Oui, conforme",Mazout,Non,Oui,,,Non,Non,Non,,,890.000 €,Non,,20 m²,5.444 €,"Drève Richelle, 118
1410 - Waterloo",,,,,,Non,Non,228 m²,,Non,,5357331,,,Non,,,,,,,Non,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
143,Après la signature de l’acte,2000,Excellent état,,4,2,30,,620 m²,50 m²,Oui,,,18 m²,7,26 m²,26 m²,18 m²,17 m²,,5,6,18 m²,Oui,,,Non,,15000 m²,,,,,,,,,,,,,,,,,Oui,,166 kWh/m²,B,20210612002985,Non communiqué,143216 kWh/an,,Mazout,,Oui,,,,,,,,2.750.000 €,Non,,,11.415 €,"rue de la Gendarmerie 1
1380 - Lasne",,,32 m²,2,,,,830 m²,,,,4507682,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Après la signature de l’acte,1918,Fraîchement rénové,25 m,4,2,20,,1750 m²,200 m²,Oui,,Équipée,35 m²,9,45 m²,31 m²,27 m²,23 m²,,7,,200 m²,Oui,,,Non,,80798 m²,,,,,,,Non,80978 m²,,500 m²,,Oui,,Oui,,,Oui,,342 kWh/m²,E,20170113008280,85 kg CO₂/m²,Non communiqué,,Mazout,,Oui,,,,,,,,6.500.000 €,Non,,,,"rue de la Gendarmerie 1
1380 - Lasne",,,26 m²,,Oui,Non,Non,2000 m²,,,,4058130,,Oui,,,200 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,1890,À restaurer,,4,,4,,297 m²,67 m²,,,Équipée,,5,35 m²,18 m²,18 m²,16 m²,,1,,,Non,,,Non,Non,1350 m²,,,,,,,,,,,,,,,,,,,250 kWh/m²,C,20210719001371,62 kg CO₂/m²,81820 kWh/an,,Mazout,,Oui,,,,,,,,580.000 €,Non,Oui,,1.879 €,"Rue des Saules, 31
1380 - Ohain",,,12 m²,1,Oui,,,,,,,1000866,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Après la signature de l’acte,1970,Fraîchement rénové,,4,2,6,,200 m²,50 m²,,,,,4,35 m²,20 m²,17 m²,12 m²,,2,2,,Oui,,,,,1900 m²,,,,,,Connecté,Non,,,,,,,,,,Oui,,256 kWh/m²,D,20210624007059,Non communiqué,105916 kWh/an,,Mazout,,Oui,,,,,,,,795.000 €,Non,,,,"rue de la Gendarmerie 1
1380 - Lasne",,,,2,Oui,,,,,,,4396981,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,Fraîchement rénové,,4,,4,,365 m²,57 m²,,,Hyper équipée,,5,23 m²,21 m²,20 m²,14 m²,,4,5,20 m²,Oui,,,Non,Non,2234 m²,,,,,,,,,,,,Oui,Non,Non,,,Non,,156 kWh/m²,B,20210806004507,39 kg CO₂/m²,56263 kWh/an,,Mazout,,Oui,,,,,,,,1.250.000 €,Non,Oui,,,"Rue des Saules, 31
1380 - Ohain",,,14 m²,,Oui,Non,Non,,,,,1000871,Oui,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,1999,Excellent état,,4,4,30,,800 m²,,,1,,,7,,,,,,4,,,Oui,,,,Oui,15000 m²,,,,,,,Oui,,,,,,Oui,,,,,,216 kWh/m²,B,20160612002985,Non communiqué,Non communiqué,,Mazout,,Oui,,,,,,,,2.750.000 €,Non,,,11.415 €,"Avenue J. Burgers, 2 b24
1180 - Uccle",,,,2,Oui,Oui,,,,,,010/15702,Oui,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,Excellent état,28 m,4,,6,,300 m²,62 m²,,,Équipée,,5,17 m²,16 m²,16 m²,14 m²,,4,3,,Oui,,,Non,Non,2220 m²,,,,,46.77 m,,,,,60 m²,,Oui,Non,Oui,,,Non,,243 kWh/m²,C,20210117003335,60 kg CO₂/m²,81210 kWh/an,,Mazout,,Oui,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.285.000 €,Non,Oui,,4.460 €,"Rue des Saules, 31
1380 - Ohain",,,,,,Non,Non,,,,,102889,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Oui,,,,,,,,,,,,3,,1,,,,,,1,2389 m²,,,,,,,Oui,,,,,,,,,1650 kWh/m²,,,,,,,,,,G,20210729005008,Non communiqué,136566 kWh/an,"Partiellement boisé. Idéal pour amoureux de la nature : large allée d’accès, pelouse plein Sud, sous-bois. Multiples possibilités",,,,,,,,,,,320.000 €,,"Boulevard de Waterloo, 16
1000 - Bruxelles",,,Non,Audrey LE JEUNE,,,,,,,,,Sud,,,,,,,,,,Équipée,,,,,,,,,,,Non,(àpd 11/9 au 09/10 incl.) : sam. de 16-18h et mercr. 12-15h. Les vendeurs sont également disposés à organiser des visites sur rendez-vous en prenant contact au 486/485.783 ou au 0484/246822. MASQUE OBLIGATOIRE,Après la signature de l’acte,710 €,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)"
