,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Salles de bains,Toilettes,Surface de bureau,Bureau,Espace professionnel,Surface du grenier,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation de conformité des citernes à mazout,Type de chauffage,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Type de construction,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Buanderie,Surface de la cave,Revenu cadastral,Adresse,Nom de l'agent,Visite virtuelle,Surface de la chambre 5,Salles de douche,Grenier,Ascenseur,Accessible aux personnes avec un handicap,Surface constructible totale au sol,Jardin,Pompe à chaleur,Obligation de construire,Site internet,Terrasse,Cave,Attestation as-built,Référence externe,Surface de l'espace professionnel,Nombre d'annexes,Salon,Isolé,Disponible le,Concierge,Climatisation,Panneaux photovoltaïques,Panneaux solaires,Description libre du PEB,Quartier ou lieu-dit,Niveau E (performance énergétique globale),Charges mensuelles,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Pourcentage loué,Revenu mensuel actuel,Nom du bien,Étage,Nombre d'étages,Informations supplémentaires
80,Après la signature de l’acte,2005,Excellent état,,4,2,,,450 m²,,,1,Équipée,,7,,,,,,2,4,,,,,Non,,1535 m²,,,,,,,,,Ouest,,,,Oui,,,,,,119 kWh/m²,B,20210604022522,Non communiqué,Non communiqué,,Mazout,,Oui,,,,,,,,800.000 €,Non,,,1.742 €,"Grand' Route 3
1435 - Mont Saint-Guibert",,,,3,,,,,Oui,,,,,,Non,8960 - 354904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Après la signature de l’acte,2021,,,3,,2,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Équipée,,3,,,,,,1,2,,,,,,,961 m²,,,,,,,Oui,,,,,,Oui,,,,,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,,,,,,Zone non inondable,,320.000 €,,,,,"Rue de l'école 7
5575 - Patignies",,,,,,,,,,,,Hotton Florence,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Après la signature de l’acte,2021,,,3,,2,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Équipée,,3,,,,,,1,2,,Oui,,,,,985 m²,,,,,,,Oui,,,,,,Oui,,,,,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,,,,,,Zone non inondable,,349.000 €,,,,,"Rue de l'école 7
5575 - Patignies",,,,,,,,,,,,Hotton Florence,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Après la signature de l’acte,1850,,,4,1,10,,40 m²,1,,Hyper équipée,25 m²,4,15 m²,15 m²,15 m²,12 m²,1,,Non,,,,,,7474 m²,,Oui,,,,,,,15 m²,,,Oui,,,285 kWh/m²,,,,,,D,20210205007556,71 kg CO₂/m²,87030 kWh/an,Non,,Oui,,Oui,Zone non inondable,,,,,850.000 €,,1.408 €,"Avenue Faculté d'Agronomie 41
5030 - Gembloux",,,Non,24955 - 19984/GIB,,375 m²,,,,,,,,,,,,,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,1827,,,4,,,,2000 m²,,,1,Équipée,,9,,,,,,3,6,,,,,Non,,10000 m²,,,,,70.5 m,,Oui,,Sud,,,,Oui,,,,,,242 kWh/m²,C,20210726010666,Non communiqué,Non communiqué,,Mazout,,Oui,Oui,,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.950.000 €,Non,,,,"Sint-Laurentuisstraat 50D
9130 - Verrebroek",,,,,,,,,Oui,,,4116 - 4026,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Après la signature de l’acte,2021,,,4,,2,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,3,,,,,,1,2,,,,,,,909 m²,,,,,,,Oui,,,,,,Oui,,,,,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,,,,,,Zone non inondable,,365.000 €,,,,,"Rue de l'école 7
5575 - Patignies",,,,,,,,,,,,Hotton Florence,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Après la signature de l’acte,1978,,,4,1,6,,150 m²,35 m²,,,Équipée,12 m²,4,14 m²,13 m²,11 m²,10 m²,,,,,,,,Non,,1016 m²,,,,Oui,,Connecté,,,,30 m²,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Électrique,,Non,,,,,,Zone non inondable,,319.000 €,Non,,,1.318 €,"Avenue des Combattants, 9
1370 - Jodoigne",,,,,,,,,,Oui,,1578,,Oui,Non,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
87,Après la signature de l’acte,2018,,,4,,6,,170 m²,50 m²,,,Hyper équipée,,4,40 m²,13 m²,12 m²,11 m²,,2,2,,,,,Non,,801 m²,,,,,,,Oui,,Sud,,,,,,,,,,104 kWh/m²,B,20190401504293,23 kg CO₂/m²,16504 kWh/an,,,,Oui,,,,,,Zone non inondable,,439.000 €,Non,,,1.086 €,"Avenue des Combattants, 21
1370 - Jodoigne",,,,,,,,,Oui,,,41815 - 20067/JMP,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,À définir,,,,3,1,,,120 m²,30 m²,,,Équipée,11 m²,3,16 m²,12 m²,10 m²,,,1,2,,,,,Non,,,,,,,,,,,,35 m²,,,,,,,,,Non communiqué,Non communiqué,20121008027694,Non communiqué,Non communiqué,"Oui, conforme",Mazout,,Oui,,,,,,,,290.000 €,Non,,,1.011 €,"Avenue des Combattants, 9
1370 - Jodoigne",,,,,,,,,,Non,,1583,,Oui,Non,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,4,,5,,600 m²,60 m²,,,Équipée,18 m²,8,30 m²,22 m²,18 m²,15 m²,,3,6,20 m²,Oui,,,Non,,1758 m²,,,,,,,Oui,,,,,,,,,,,,275 kWh/m²,D,20211003010414,-3 kg CO₂/m²,130494 kWh/an,,,,Oui,,,,,,,,950.000 €,Non,,30 m²,2.423 €,"Avenue des Combattants, 21
1370 - Jodoigne",,,15 m²,2,,,,,,,,41834 - 20048,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Après la signature de l’acte,,,,4,3,2,,270 m²,55 m²,,,Équipée,,5,40 m²,30 m²,12 m²,10 m²,,1,,10 m²,Oui,,,Non,,1266 m²,,,,,,,Oui,,,45 m²,,,,,,,,,455 kWh/m²,F,20210430004558,1000 kg CO₂/m²,140050 kWh/an,,Mazout,,Oui,,,,,,Zone non inondable,,350.000 €,Non,,160 m²,1.782 €,"Avenue des Combattants, 21
1370 - Jodoigne",,,9 m²,1,,,,,,,,22373 - 19873/JBC,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,4,,,"Zone d'habitat (résidentiel, urbain ou rural)",840 m²,,,,,,18,,,,,,,,,,,,,,1800 m²,,,,,,,Oui,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,1.500.000 €,Oui,,,,"Rue Abbé Cuypers 3
1040 - Etterbeek",,,,,,,,,,,,,,,,,,,,,,,,,,,jodoigne centre,,,,,,,,,,,,,,,,100,6622,,,,
92,,,,,4,1,3,,245 m²,66 m²,Oui,,Équipée,,3,15 m²,14 m²,9 m²,,,1,2,,,,,Non,,,,,,,,,,730 m²,Ouest,12 m²,Sud,,,,,,,,543 kWh/m²,G,20190222016257,Non communiqué,Non communiqué,,Mazout,,Oui,,,,,,,,465.000 €,Non,,,732 €,"Av. Henri Conscience 74
1140 - Evere",,,,1,,,,,,Non,,9682,,Oui,Non,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
93,Après la signature de l’acte,1966,À rafraîchir,16.14 m,4,1,3,Urbain,36 m²,Oui,Pas équipée,,6 m²,4,17 m²,10 m²,9 m²,12 m²,1,,1,20 m²,Oui,4 m²,,Non,1000 m²,,24.88 m,,,,,Connecté,Non,875 m²,25 m²,,529 kWh/m²,,,,,,,,,G,20210701015236,131 kg CO₂/m²,109886 kWh/an,Mazout,,Oui,,,125 m²,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 385.000 €,1.968 €,"Place Communale 8
1160 - Auderghem",,,Non,4397305,,166 m²,,,,,,Oui,,,,,,,,,,,,,,,,,,,Brabant Wallon,,,,,,,,,,,,,,,,,,,,,
94,Après la signature de l’acte,1850,Bon,10 m,4,,10,Isolé,28 m²,Oui,Équipée,,28 m²,5,16 m²,20 m²,16 m²,14 m²,10 m²,,2,Non,,,,,24687 m²,,145.31 m,,,,,Non connecté,Non,12753 m²,52 m²,,310 kWh/m²,,,,,,,,,D,20210709011403,772 kg CO₂/m²,85698 kWh/an,Mazout,,Oui,,Oui,404 m²,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 949.000 €,1.395 €,"Place Communale 8
1160 - Auderghem",,,Non,4401537,,300 m²,2,2,,,,Non,,,,,,,,,,,,,,,,,,,Brabant Wallon,,,,,,,,,,,,,,,,,,,,,
