,Disponible le,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de douche,Toilettes,Cave,Meublé,Surface du terrain,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Quartier ou lieu-dit,Autorisation de lotissement,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Salles de bains,Terrasse,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Procédure pour violation de la réglementation urbanistique,Mise à prix,Type d’environnement,Salon,Salle à manger,Terrain plat,Raccordement à l'égout,Panneaux solaires,Grenier,Surface du jardin,Bureau,Surface de la cave,Porte blindée,Surface constructible totale au sol,Surface de la chambre 4,Accès sécurisé / alarme,Surface de la chambre 5,Buanderie,Surface de bureau,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Largeur de la façade à rue,Largeur du terrain à rue,Dressing,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Orientation de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Description libre du PEB,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Obligation de construire,Isolé,Nom de l'agent,Visite virtuelle,Surface de l'espace professionnel,Surface du grenier,Nombre d'annexes,Niveau E (performance énergétique globale),Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente,Informations supplémentaires,Charges mensuelles,Pourcentage loué
68,,,,4,2,2,220 m²,35 m²,,,37 m²,5,13 m²,14 m²,17 m²,,2,,Non,382 m²,Non,,,,301 kWh/m²,D,20210905006939,Non communiqué,77986 kWh/an,,Oui,,,,,295.000 €,745 €,Non,"Avenue Reine Astrid 65
1300 - Wavre",4534181,À définir,,,,,,,2,,,Mazout,,,,,,,,Connecté,,,,,,,,16 m²,,32 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 m²,,,,,,,,,,,,,,,
69,,,,,,,40 m²,3,,,,2,,,,2,Oui,Non,323 m²,Oui,,,,,D,20210211015690,Non communiqué,62467 kWh/an,Non,390.000 €,,,,,,Non,,"chaussée de Wavre n°373
1390 - Grez-Doiceau",8104264 - 996465,,Après la signature de l’acte,,,,,,,,295 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175 m²,,,,,,,,,,,,,,,,,
70,,2021,,3,,2,,,,Équipée,,3,,,,,2,,,704 m²,Oui,,,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,,Oui,,,Zone non inondable,,330.000 €,,,"Rue de l'école 7
5575 - Patignies",Florence Hotton,Après la signature de l’acte,,,,,,,1,Oui,,Gaz,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,2005,Excellent état,4,2,,450 m²,,1,Équipée,,7,,,,3,4,,Non,1535 m²,,Oui,Ouest,,119 kWh/m²,B,20210604022522,Non communiqué,Non communiqué,Non,Oui,,,,,800.000 €,1.742 €,Non,"Grand' Route 3
1435 - Mont Saint-Guibert",,Après la signature de l’acte,,,8933 - 354870,,,,2,,,Mazout,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,1978,,4,1,6,276 m²,39 m²,1,Hyper équipée,,6,30 m²,18 m²,16 m²,,3,Oui,Non,2426 m²,,,,23 m²,451 kWh/m²,F,Non communiqué,82 kg CO₂/m²,124428 kWh/an,Non,Oui,Oui,,,,630.000 €,1.735 €,Non,"rue de Stalle 142
1180 - Uccle",21V2885c,Après la signature de l’acte,,,,,,,2,,,Gaz,Non,,,,,,,Connecté,Non,,2000 m²,Oui,,,,16 m²,,,Oui,23 m²,,,,,,,,,,,,,,Sud,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,4,190 m²,40 m²,,Semi-équipée,15 m²,4,23 m²,17 m²,16 m²,,1,Oui,Non,1200 m²,,,,30 m²,685 kWh/m²,G,20210909003495,Non communiqué,108608 kWh/an,Non,Oui,,,,,365.000 €,,Non,"Avenue des Combattants, 9
1370 - Jodoigne",1574-2,,,,,,,,1,,,Mazout,Non,,,,,,,,Non,,,,,,,13 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,
74,,,,4,2,2,250 m²,58 m²,,Équipée,10 m²,6,16 m²,16 m²,15 m²,1,3,Oui,Non,2400 m²,,Oui,Sud,,405 kWh/m²,E,20210927022549,100 kg CO₂/m²,75040 kWh/an,Non,Oui,,,,,495.000 €,1.457 €,Non,"Avenue des Combattants, 21
1370 - Jodoigne",41821 - 20045,,,,,,,,1,,,Mazout,,,,,,Oui,,,,,,Oui,,,,15 m²,,11 m²,,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,3,2,,133 m²,30 m²,,,14 m²,3,30 m²,18 m²,12 m²,1,1,,Non,200 m²,,Oui,Ouest,,341 kWh/m²,E,20151026009233,84 kg CO₂/m²,61608 kWh/an,Non,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",298.000 €,704 €,Non,"Rue de Tourinnes 14
1320 - Beauvechain",45 - 1306,,,,,,,,,,"Oui, pas conforme",Mazout,,,,,,Oui,,,,,,,33 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,3,2,4,209 m²,33 m²,,,15 m²,4,24 m²,17 m²,14 m²,,1,,Non,1729 m²,,,,25 m²,219 kWh/m²,C,20210929011936,Non communiqué,45961 kWh/an,Non,Oui,,,,,320.000 €,731 €,Non,"Avenue des Combattants, 9
1370 - Jodoigne",1581,Après la signature de l’acte,,,,,,,1,,,Pellets,Non,,,,,,,,Non,,,,,,,9 m²,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,Non,"30 Rue de Villers
4520 - Vinalmont",,,,,Quartier Champ Delvigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
