,Disponible le,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de douche,Toilettes,Cave,Meublé,Surface du terrain,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Quartier ou lieu-dit,Autorisation de lotissement,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Salles de bains,Terrasse,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Procédure pour violation de la réglementation urbanistique,Mise à prix,Type d’environnement,Salon,Salle à manger,Terrain plat,Raccordement à l'égout,Panneaux solaires,Grenier,Surface du jardin,Bureau,Surface de la cave,Porte blindée,Surface constructible totale au sol,Surface de la chambre 4,Accès sécurisé / alarme,Surface de la chambre 5,Buanderie,Surface de bureau,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Largeur de la façade à rue,Largeur du terrain à rue,Dressing,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Orientation de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Description libre du PEB,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Obligation de construire,Isolé,Nom de l'agent,Visite virtuelle,Surface de l'espace professionnel,Surface du grenier,Nombre d'annexes,Niveau E (performance énergétique globale),Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente,Informations supplémentaires,Charges mensuelles,Pourcentage loué
123,1 décembre 2022 - 00:00,,,,,20,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,2022,Non communiqué,Non communiqué,,,Oui,Non,Zone non inondable,,,,Non,"Avenue Reine Astrid, 92
1310 - La Hulpe",,À la livraison,Brabant Wallon,Non,4323008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,Oui,,,,,1,,1,,,,Oui,1124 m²,417 kWh/m²,,E,,,,,20210130003144,Non communiqué,90465 kWh/an,"Zone d'habitat (résidentiel, urbain ou rural)",280.000 €,,,,,,2.441 €,,"Koningin Astridlaan, 4
1950 - Kraainem",Aurian de LAMINNE de BEX,,,1,,,,Non,(à p. du 23/9) : jeudi 17h30-19h30 et sam. 14-16h. Masque obligatoire.,Après la signature de l’acte,1,,,,,,Non,,Équipée,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
125,,1975,Bon,3,1,5,165 m²,34 m²,,Équipée,,4,20 m²,11 m²,16 m²,,2,,Non,477 m²,,,,20 m²,258 kWh/m²,D,20210929011181,64 kg CO₂/m²,56370 kWh/an,,Oui,,,,,465.000 €,2.216 €,Non,"Avenue de Mérode , 4
1330 - Rixensart",,Après la signature de l’acte,,,4515380,,,,2,,,Mazout,,,,,,,,,,Oui,477 m²,Oui,,,,8 m²,,,,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,1967,Bon,4,1,3,166 m²,40 m²,,Pas équipée,10 m²,4,22 m²,11 m²,15 m²,,2,,Non,1148 m²,,,,,563 kWh/m²,G,20210910011359,139 kg CO₂/m²,117404 kWh/an,,Oui,,,,,499.000 €,2.645 €,Non,"Avenue de Mérode , 4
1330 - Rixensart",,Après la signature de l’acte,,,4492646,,,,1,,,Mazout,,,,,,,,,,Oui,1148 m²,,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,1,Oui,,,,,,,1,,,,Non communiqué,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,125.000 €,,,,,,,,Non,"Rue Yvonne Perin(JB) 1
5100 - NAMUR",Dominique BABUT DU MARES,,4,,,,Non,Visites à partir du 19 septembre les dimanches de 11 à 13 h et les mardis de 16 à 18 h (visites d’office pas besoin de rendez-vous préalable),Immédiatement,,,,,,,1.103 €,,Oui,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,2008,Excellent état,2,1,2,220 m²,31 m²,,Hyper équipée,16 m²,4,17 m²,16 m²,15 m²,,3,,Non,1066 m²,Oui,,Sud-est,80 m²,181 kWh/m²,C,20210105003275,Non communiqué,Non communiqué,,Oui,Oui,Non,Zone non inondable,Zone de récréation et de séjour,734.000 €,4.844 €,Non,,,,,Oui,,,,,2,,,Gaz,Non,Non,,Pays,,Oui,Non,Connecté,Non,,900 m²,Non,,Non,,18 m²,Oui,,Oui,,Non,Non,Oui,Non,Non,Non,17 m,,Oui,Non,Oui,Non,Oui,Sud-est,Non,Non,Non,Oui,,Non,Oui,,Non,Oui,,,,60 m²,,,,,,,,,,,,,,,
129,,1930,Bon,4,,2,35 m²,Oui,Équipée,16 m²,5,18 m²,18 m²,18 m²,17 m²,3,19 m²,,1000 m²,Oui,50 m²,,,221 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,655.000 €,,,,,2.496 €,Non,"Avenue du Hockey, 40
1150 - Woluwe-St-Pierre",6102 - 4598,,Après la signature de l’acte,Gare Rixensart,,,,,,1,,,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,1,,,,,,40 m²,Non,,,14 m²,,2,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,268 m²,,,,,,,,,,,,,,,,,
130,,1974,À rafraîchir,4,1,2,223 m²,,1,Équipée,8 m²,4,14 m²,16 m²,15 m²,2,2,,Non,950 m²,Oui,,Nord-ouest,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,Oui,Zone non inondable,,500.000 €,,Non,,,,,Oui,,,,,2,,,Gaz,Non,Non,,Pays,Oui,Oui,Oui,Connecté,Non,,700 m²,Oui,27 m²,Non,,12 m²,Non,,Oui,9 m²,Non,Non,Non,Non,Non,Non,12 m,,Non,Oui,Non,Non,Oui,,Non,Non,Oui,Oui,En cours d'analyse,Non,Oui,Toutes sortes,Non,,,,,,,,,,,,,,,,,,,,
131,,,Excellent état,4,1,2,125 m²,32 m²,1,Équipée,14 m²,3,14 m²,14 m²,7 m²,,1,,Non,585 m²,Oui,,,28 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,Zone non inondable,,435.000 €,,Non,,,Après la signature de l’acte,,,,,,,1,,,Gaz,Non,,,Isolé,,Oui,Non,Connecté,Non,,585 m²,Non,,Non,,,Non,,,,Non,Non,Non,Non,Non,Non,,,Non,Non,Non,Non,Non,,Non,Non,Non,Oui,,Non,Oui,Villa,,,,,,,,,,,,,,,,,,,,,
132,,1980,Bon,2,,,,,,Équipée,,1,10 m²,,,,2,,Non,50 m²,Oui,,,,Non communiqué,E,20181027000252,Non communiqué,Non communiqué,,Oui,,,Zone non inondable,,369.000 €,1.524 €,Oui,,,,,,,,,,1,,,Gaz,Non,,,Rue commerçante,,,Non,Connecté,Non,,,Non,15 m²,Non,,,Non,,,,Non,Non,Non,Non,Non,Non,6 m,,Non,Non,Non,Non,Non,,Oui,Non,Non,Non,,Oui,Non,,,,,,,,,359,1350,,,,,,,,,,,150 €,100
133,,,,4,1,4,225 m²,50 m²,,,,5,,,,,,,Non,960 m²,,,Sud-ouest,35 m²,95 kWh/m²,B,Non communiqué,Non communiqué,25938 kWh/an,Non,,,,,,649.000 €,,Non,"7 rue de Namur
1400 - Nivelles",,Après la signature de l’acte,,,3583 - 2013,,,,4,,,Gaz,,,,,,,,,,,600 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,1962,Bon,4,1,7,261 m²,31 m²,,Équipée,14 m²,5,11 m²,11 m²,12 m²,1,3,Oui,,568 m²,Oui,,,76 m²,338 kWh/m²,D,20210908002581,65 kg CO₂/m²,88077 kWh/an,,Oui,,,Zone non inondable,,594.000 €,,Non,"Rue Meyerbeer 7
1190 - Forest",,Après la signature de l’acte,,,4521593,,,,2,,,Gaz,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,Connecté,,Oui,,Oui,,,261 m²,10 m²,,17 m²,,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,45 m²,,,,,,,,,,,,,,,,
135,,,Bon,4,,2,187 m²,,,Équipée,10 m²,3,14 m²,14 m²,9 m²,,3,,Non,866 m²,Oui,,Ouest,42 m²,362 kWh/m²,E,20131128011869,90 kg CO₂/m²,67528 kWh/an,Non,Oui,,,,,549.000 €,679 €,Non,"Grand' Route 3
1435 - Mont Saint-Guibert",,Après la signature de l’acte,,,8984 - 354909,,,,2,,,Mazout,,,,,,Oui,,,,,866 m²,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,1991,Excellent état,4,4,4,270 m²,33 m²,1,Équipée,13 m²,4,23 m²,15 m²,15 m²,1,4,,Non,3652 m²,Oui,,,50 m²,Non communiqué,C,Non communiqué,Non communiqué,Non communiqué,,Oui,,,Zone non inondable,,1.234.567 €,,Non,,,Après la signature de l’acte,,,,,,,2,,,Gaz,Non,,,,,Oui,Non,Connecté,Non,,,Oui,90 m²,Non,,13 m²,Non,,Oui,15 m²,Non,Non,Oui,Non,Non,Non,,,Non,Oui,Non,Non,Oui,,Non,Non,Non,Oui,PEB C,Non,Oui,Villa,,Oui,,,,32 m²,,,,,,,,,,,,,Emprise par le sce puplic de Wallonie sur le côté du terrain ( égouts),,
137,,1961,À rénover,3,1,,140 m²,,1,Semi-équipée,8 m²,3,16 m²,12 m²,,1,,Oui,Non,363 m²,Oui,,,,394 kWh/m²,E,20210530002533,72 kg CO₂/m²,63790 kWh/an,Non,Oui,,,Zone non inondable,,350.000 €,1.170 €,Non,"Chaussée de Louvain 244
1300 - Wavre",,Après la signature de l’acte,,,41552 - 19956/WQDL,,,,,Oui,,Gaz,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,2000,Bon,4,1,3,350 m²,43 m²,,Hyper équipée,9 m²,2,17 m²,13 m²,,,2,,Non,850 m²,Oui,,Sud-est,24 m²,192 kWh/m²,C,20200210003019,36 kg CO₂/m²,60847 kWh/an,,Oui,Oui,Non,Zone non inondable,Zone de récréation et de séjour,695.000 €,3.299 €,Non,,,Après la signature de l’acte,,,,,,,2,,,Gaz,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Connecté,Non,,400 m²,Oui,,Non,180 m²,,Oui,,Oui,17 m²,Non,Non,Oui,Oui,Non,Non,11 m,17 m,Oui,Oui,Oui,Non,Non,Sud-est,Non,Non,Non,Oui,,Non,Oui,Villa,,,,,110 m²,70 m²,,,,,,,,,,,,,,,
139,,1977,Excellent état,4,4,11,650 m²,90 m²,,Américaine hyper-équipée,28 m²,6,34 m²,34 m²,34 m²,3,7,Oui,Non,2168 m²,Oui,,,26 m²,146 kWh/m²,B,2016129018898,Non communiqué,131883 kWh/an,,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.570.000 €,9.280 €,Oui,"16 rue Bois Lionnet
1380 - Lasne",4529780,Après la signature de l’acte,Brabant Wallon,,,,,,3,,,Gaz,,,,,,,,Connecté,Oui,,,Oui,,,270 m²,50 m²,Oui,15 m²,,235 m²,,,,Oui,Oui,,,22.46 m,,,,,,,,,,,,,,,,,,,270 m²,,,,,,,,,,,,,,,,
140,,1880,Bon,3,,3,218 m²,61 m²,,Équipée,19 m²,5,21 m²,10 m²,14 m²,1,2,Oui,Non,1056 m²,Oui,,,35 m²,222 kWh/m²,C,20210809010035,37 kg CO₂/m²,48219 kWh/an,,Oui,Oui,,Zone non inondable,,Faire offre à partir de 595.000 €,1.834 €,Non,"Chaussée d'Alsemberg 967
1420 - Braine l'Alleud",4498601,Après la signature de l’acte,Lasnes et environs,,,,,,2,,,Gaz,,,,Isolé,,,,Connecté,Oui,Oui,,Oui,,,35 m²,15 m²,Oui,14 m²,,7 m²,,Non,,,,,,,,,,,,,,,,,,,,,,,,,7 m²,,,,,,,,,,,,,,,,
141,29 septembre 2021 - 00:00,1920,Excellent état,4,,3,41 m²,Oui,,25 m²,3,20 m²,13 m²,11 m²,2,3,Oui,Oui,966 m²,Connecté,966 m²,,,,C,20210713017241,34 kg CO₂/m²,38531 kWh/an,Gaz,,Zone non inondable,,,1.280.000 €,,Non,,"Avenue Reine Astrid 215
1410 - Waterloo",4508612,,Après la signature de l’acte,,,,,,,2,Non,,Oui,,,,,,Hyper équipée,,Non,,Non,Oui,,,,,,Non,,,,,Non,Oui,,,181 kWh/m²,,,,,,,,,,,,,,,,,,,,254 m²,,,,,,,,,,,,,,,,,
142,5 novembre 2021 - 00:00,2000,Excellent état,4,2,2,Oui,,,3,,19 m²,14 m²,20 m²,2,3,Oui,,,Connecté,547 m²,,,,C,20210626003572,34 kg CO₂/m²,35315 kWh/an,Gaz,,675.000 €,,,,,2.550 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4375933,,Après la signature de l’acte,,,,,,,1,Non,,Oui,,,,,Oui,Équipée,,Non,,637 m²,Oui,,,,,,Non,,,,,Non,Oui,,,183 kWh/m²,13.84 m,,,,,,,,,,,,,,,,,,,160 m²,,,,,,,,,,,,,,,,,
143,1 novembre 2021 - 00:00,1991,À rafraîchir,4,1,3,52 m²,Équipée,,20 m²,5,21 m²,19 m²,18 m²,18 m²,3,Oui,Oui,4449 m²,Non connecté,4000 m²,,,Non,C,20210629020937,35 kg CO₂/m²,57243 kWh/an,Gaz,,Zone non inondable,,,845.000 €,,4.338 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4408390,,Après la signature de l’acte,,,,,,,1,,,Oui,,,,,,,,Non,,Non,17 m²,,,,,13 m²,,2,,,,Oui,Non,,,190 kWh/m²,18 m,,,,,,,,,,,,,,,,,,,315 m²,,,,,,,,,,,,,,,,,
144,1 juin 2022 - 00:00,1900,Excellent état,4,3,8,540 m²,75 m²,1,Équipée,25 m²,6,,,,,3,Oui,Non,5163 m²,,Oui,Sud,,254 kWh/m²,C,202110006017650,Non communiqué,127786 kWh/an,Non,Oui,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 1.500.000 €,3.807 €,Non,"Avenue Albert Ier, 304
1332 - Genval",5596 - 2286327,,,,,,,,3,Oui,,Mazout,,,,,,,,,,,,Oui,,,,,,,Oui,17 m²,,,,,,,14 m,51 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,1965,Excellent état,4,1,3,30 m²,1,Hyper équipée,15 m²,2,16 m²,14 m²,1,,2,Oui,Non,393 m²,Oui,300 m²,,16 m²,Non communiqué,D,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,465.000 €,,,,,1.428 €,Non,"Venelle de la réserve 2
1300 - Wavre",5565 - 5193,,Après la signature de l’acte,,,,,,,,,,Oui,,,,,,,,,,,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112 m²,,,,,,,,,,,,,,,,,
146,,1990,Bon,4,2,2,187 m²,51 m²,1,Hyper équipée,15 m²,4,18 m²,15 m²,13 m²,,2,,Non,1388 m²,,,Sud-ouest,84 m²,422 kWh/m²,E,20210818009724,104 kg CO₂/m²,73629 kWh/an,Non,Oui,Oui,,,,550.000 €,2.459 €,Non,"Boulevard de l'Europe 2-1
1300 - Wavre",1749 - 2766,Selon le locataire,,,,,,,1,,,Mazout,,,,,,,,,,,609 m²,,,,,12 m²,,,,,,,,,,,12 m,14 m,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,9 novembre 2021 - 00:00,1902,Excellent état,4,5,3,281 m²,35 m²,,Hyper équipée,16 m²,4,16 m²,16 m²,16 m²,,,Oui,Non,2219 m²,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",2.100.000 €,5.141 €,Non,"Chaussée de Louvain 433
1380 - Lasne",4408412,Après la signature de l’acte,,,,,,,3,Oui,,Mazout,,Non,,,,Oui,,Connecté,,,1938 m²,Oui,,,115 m²,12 m²,Oui,,,11 m²,,Non,Non,,,Non,12.5 m,75 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,Bon,,,,112 m²,Équipée,,58 m²,7,13 m²,12 m²,13 m²,12 m²,,Oui,Non,Connecté,,226 kWh/m²,,,,C,20150526010700,Non communiqué,Non communiqué,Gaz,,1.250.000 €,,,,,Oui,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,À définir,,,,,,,,,,Non,Oui,,,,,,,Oui,,,,,,,,13 m²,,Non,,,,,,,,,,,4,,,,,,,,,,,,,,,,,236 m²,,,,,,,,,,,,,,,,,
149,,,,2,,,220 m²,50 m²,,Américaine semi-équipée,18 m²,4,36 m²,14 m²,12 m²,,3,,Non,,Oui,,,40 m²,296 kWh/m²,D,Non communiqué,Non communiqué,53280 kWh/an,Non,Oui,,,,,625.000 €,,Non,"Venelle de la réserve 2
1300 - Wavre",4971 - 4834,Après la signature de l’acte,,,,,,,2,,,Gaz,,,,,,,,,,,,Oui,53 m²,,,11 m²,,,,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,21 septembre 2021 - 00:00,,Excellent état,4,,1,100 m²,27 m²,,Hyper équipée,,2,19 m²,12 m²,,,2,Oui,Non,139 m²,,,,20 m²,503 kWh/m²,F,20140917015805,92 kg CO₂/m²,53922 kWh/an,,Oui,,,,,385.000 €,1.103 €,Non,"Avenue de Mérode , 4
1330 - Rixensart",,Après la signature de l’acte,,,4505971,,,,1,,,Gaz,,,,,,,,,,,,,,,,,Oui,,,,,Non,Non,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,1962,Excellent état,4,1,2,205 m²,52 m²,1,Équipée,9 m²,3,22 m²,16 m²,7 m²,,2,,Non,1506 m²,Oui,Oui,Sud-est,40 m²,212 kWh/m²,C,20120109-645506-12-3,Non communiqué,Non communiqué,,Oui,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.100.000 €,3.197 €,,"Rue de Genval 7a/5
1310 - La Hulpe",,Après la signature de l’acte,,,,,,,2,,,Gaz,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,Non connecté,,,,,16 m²,Oui,,,Oui,,Oui,,,,,Oui,Oui,,20 m,,Oui,,,,,Sud-est,,,,,,,,,,,Anne de Patoul,,,,,,,,,,,,,,,,,,
152,,1900,Excellent état,3,2,2,305 m²,41 m²,,Hyper équipée,20 m²,5,26 m²,20 m²,14 m²,,4,Oui,Non,3430 m²,Oui,,,55 m²,396 kWh/m²,E,20210617008999,Non communiqué,133225 kWh/an,,Oui,,,Zone non inondable,,1.235.000 €,,Non,"Brusselsesteenweg, 518
3090 - Overijse",4372639,Après la signature de l’acte,,,,,,,3,,,Gaz,,,,,,Oui,,Connecté,,Oui,3230 m²,Oui,,,359 m²,23 m²,Oui,15 m²,,10 m²,,Non,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
