,Année de construction,Nombre de façades,Parkings extérieurs,Surface habitable,Chambres,Salles de bains,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Type d’environnement,Largeur de la façade à rue,Parkings intérieurs,Cave,Permis de bâtir obtenu,Surface constructible totale au sol,État du bâtiment,Visite virtuelle,Surface du salon,Type de cuisine,Toilettes,Largeur du terrain à rue,Surface du jardin,Surface de la terrasse,Attestation as-built,Combien de feux ouverts ?,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Buanderie,Surface de bureau,Bureau,Grenier,Isolé,Accès sécurisé / alarme,Piscine,Panneaux photovoltaïques,Nom de l'agent,Salles de douche,Orientation du jardin,Orientation de la terrasse,Porte blindée,Jardin,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Type de construction,Salon,Salle à manger,Dressing,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux solaires,Chauffe-eau commun,Référence externe,Surface de la cave,Niveau E (performance énergétique globale),Obligation de construire,Surface de la chambre 5,Attestation de conformité des citernes à mazout,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Surface du grenier,Nombre d'annexes,Quartier ou lieu-dit,Surface de l'espace professionnel,Nom du bien
48,1994,4,8,805 m²,6,5,Non,4850 m²,Connecté,Oui,,140 kWh/m²,B,0002236533-RES-1,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,Parc résidentiel,2.200.000 €,12.404 €,Non,"Turnhoutsebaan 149/151
2970 - Schilde",06/10317,,,,2,Oui,Oui,,Bon,,138 m²,,,50 m,,,,,32 m²,,,,,,,Non,,,Oui,Oui,,,,Sud-ouest,,Non,Oui,Non,Non,Non,Oui,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2021,4,2,242 m²,4,2,Non,900 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,Parc résidentiel,695.000 €,,Non,"Turnhoutsebaan 149/151
2970 - Schilde",06/10113,,,14 m,,,Oui,,Excellent état,,,,2,20 m,,,,,,,,,,,,Non,,,,,,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1969,4,,400 m²,5,2,Non,3980 m²,Non connecté,Non,,386 kWh/m²,D,20200308-0002257927-RES-1,Non communiqué,Non communiqué,,Non,Non,Non,Non,Zone non inondable,Parc résidentiel,1.095.000 €,4.997 €,Non,"Leopoldslei, 7
2930 - Brasschaat",MB1843,,,20 m,,,Oui,238 m²,,,80 m²,,3,44 m,3980 m²,,,,20 m²,,,,,,,Non,,,,,,,,Sud,,Non,,,,,,Villa,,,,,,,,,,,,,,,,,,60 m²,,,,,,,,,,,,,,
51,1957,,,5,2,3,Non,105 m,Oui,5126 m²,,F,20210505-0002411542-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,Parc résidentiel,1.250.000 €,3.150 €,Non,"Turnhoutsebaan 149/151
2970 - Schilde",06/10338,,,,,1,Non,Villa,Non,,390 m²,,,Non,Connecté,Sud-ouest,,,,,,,,,,,Oui,,,Non,559 kWh/m²,,,,Non,,Non,,Non,Oui,Oui,Non,210 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1957,,,390 m²,5,2,Non,9419 m²,Connecté,Oui,,559 kWh/m²,F,20210505-0002411542-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,Parc résidentiel,1.970.000 €,3.172 €,Non,"Turnhoutsebaan 149/151
2970 - Schilde",06/10230,,,,1,Oui,Oui,210 m²,,,,,3,105 m,9419 m²,,,,,,,,,,,Non,,,Oui,Non,,,,Sud-ouest,,Non,,Non,Non,Oui,Non,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2001,,,5,4,4,Non,31.5 m,Oui,2160 m²,,B,Non communiqué,Non communiqué,Non communiqué,Oui,,Oui,Non,Non,Zone non inondable,Parc résidentiel,1.390.000 €,7.878 €,Non,"Turnhoutsebaan 149/151
2970 - Schilde",06/9454,,,,16 m,6,,Villa,,,830 m²,,,Non,Non connecté,Sud-est,,,,,,,,,,,Non,,,Non,122 kWh/m²,,,,Non,,Non,,Non,Oui,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1999,,,800 m²,5,3,Non,6629 m²,Non connecté,Non,,141 kWh/m²,B,UC 0161005-0001898807-1,Non communiqué,Non communiqué,,Oui,Non,Non,Non,,Parc résidentiel,2.495.000 €,11.519 €,Non,"Leopoldslei, 7
2930 - Brasschaat",MB1833,,,30 m,2,,Oui,500 m²,,,110 m²,,5,55 m,6500 m²,,,,40 m²,,,,,,,Non,,,,,,,,Sud,,Non,,,,,,Villa,,,,,,,,,,,,,,,,,,50 m²,,,,,,,,,,,,,,
55,2008,4,,800 m²,4,2,Non,3672 m²,Non connecté,Non,,133 kWh/m²,B,In aanvraag,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,Parc résidentiel,1.745.000 €,,Non,"Leopoldslei, 7
2930 - Brasschaat",MB1750*,,,28 m,2,,Oui,346 m²,Bon,,75 m²,,3,42 m,3500 m²,,,,30 m²,,,,,,,Non,,,,,,,,Nord,,Non,,,,,,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,3,1,131 m²,2,1,Non,328 m²,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,385.000 €,,Non,,,Après la signature de l’acte,,,,,,,Bon,,,Hyper équipée,2,,150 m²,,,,,,,,,,,Non,,,,,Non,,,Sud,,Non,,,,,,Toutes sortes,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Oui,Non,,,,,,,,,,,,,,,,
57,1971,4,8,350 m²,4,2,,1980 m²,,,Oui,228 kWh/m²,C,2060295,Non communiqué,Non communiqué,Mazout,Oui,Oui,Non,Non,Zone non inondable,Parc résidentiel,1.350.000 €,,Non,"Turnhoutsebaan, 532
2970 - Schilde",4493123,À définir,,20 m,,,Oui,,Excellent état,,,,3,30 m,,,,,,,,,,,,Oui,Oui,,,Oui,,,,,,,,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2017,,,,4,2,Non,2820 m²,Non connecté,Non,,77 kWh/m²,A,11039-G2016_14932/EP00682/A001/D01/SD001,Non communiqué,Non communiqué,,Oui,,,Non,,,1.349.000 €,5.394 €,Non,"Leopoldslei, 7
2930 - Brasschaat",BM1844*,,,18 m,2,,,194 m²,,,60 m²,,3,32 m,,,,,30 m²,,,,,,,Non,,,,,,,,Nord-ouest,,Non,Oui,,,,,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,700 m²,8,8,Non,10650 m²,Non connecté,Non,,218 kWh/m²,C,20131215-0001499973-00000016-4,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,Parc résidentiel,2.950.000 €,11.510 €,Non,"Turnhoutsebaan 149/151
2970 - Schilde",06/10081,,,35 m,2,,Oui,680 m²,,,,,5,96 m,10650 m²,,,,,,,,,,,Non,,,,,,,,Sud-est,,Non,,,,,,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2019,4,,450 m²,4,3,Non,3690 m²,Non connecté,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Non,Non,Non,Zone non inondable,Parc résidentiel,1.500.000 €,,Non,"Leopoldslei, 7
2930 - Brasschaat",MB1787,,,23 m,,,,275 m²,Bon,,47 m²,,3,44 m,,,,,30 m²,,,,,,,Non,,,,,,,,,,Non,,,,,,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2021,3,2,200 m²,3,1,Non,,Connecté,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,,Parc résidentiel,629.000 €,,Non,"Turnhoutsebaan, 532
2970 - Schilde",4450054,À la livraison,,,1,,Oui,,Excellent état,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
62,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,,,,,Oui,"Grote Markt 10
2200 - HERENTALS",,À la livraison,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2021,3,2,200 m²,3,1,Non,,Connecté,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,,Parc résidentiel,599.000 €,,Non,"Turnhoutsebaan, 532
2970 - Schilde",4450053,À la livraison,,,1,,Oui,,Excellent état,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
64,2021,3,2,200 m²,3,2,Non,,Connecté,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,,Parc résidentiel,599.000 €,,Non,"Turnhoutsebaan, 532
2970 - Schilde",4450052,À la livraison,,,1,,Oui,,Excellent état,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
65,,4,,266 m²,3,1,Non,494 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,,,,795.000 €,,Non,"Prins Boudewijnlaan 53
2650 - Edegem",4194556,,,,1,,Oui,,,,,,,,300 m²,73 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,3,2,225 m²,3,2,Non,1000 m²,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,,Parc résidentiel,599.000 €,,Non,"Turnhoutsebaan, 532
2970 - Schilde",4237497,À la livraison,,,1,,,,Excellent état,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1987,4,,115 m²,2,1,Non,553 m²,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,1.350 €,Non,"Handelslei 156
2980 - Zoersel",1303 - TK21/433,Après la signature de l’acte,,10 m,1,,Oui,,À rafraîchir,,,Équipée,1,16 m,200 m²,30 m²,Non,,10 m²,14 m²,8 m²,8 m²,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1981,4,2,180 m²,3,2,Non,1433 m²,,Non,,648 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Zone non inondable,,775.000 €,3.574 €,Non,"Verbondstraat 116
2000 - Antwerpen",4518002,,Paysage,14.7 m,1,Oui,Oui,,Excellent état,,52 m²,Américaine hyper-équipée,4,,1313 m²,50 m²,,,18 m²,20 m²,16 m²,16 m²,,,10 m²,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 juin 2022 - 00:00,,,schilde & Omstreken,,
69,1978,3,3,156 m²,1,,Non,610 m²,,Oui,,Non communiqué,Non communiqué,20210508-0002411735-KNR-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",450.000 €,1.388 €,,"De Coninckplein 30
2060 - Antwerpen",,Après la signature de l’acte,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,Bon,,,,2,,454 m²,,,,,18 m²,,,,,,,,,,,,Angel YU,1,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1923,3,2,Oui,1,2,Non,15 m,Oui,698 m²,,D,20211003-0002462404-RES-2,Non communiqué,Non communiqué,Oui,,122 m²,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",587.000 €,827 €,Non,"Puttenhoflaan 24
2970 - Schilde",21/08/492,,,,10.5 m,1,,,Oui,Bon,260 m²,,6,Non,Connecté,Nord-est,362 kWh/m²,,,,,,,,,,22 m²,,,,,,,,38 m²,,859 m²,,,,,,,Équipée,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,
71,1928,4,4,217 m²,3,1,Non,2749 m²,,,,252 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",750.000 €,,Non,"Verbondstraat 116
2000 - Antwerpen",4518938,À définir,Isolé,22.5 m,1,Oui,Oui,217 m²,Bon,,63 m²,Hyper équipée,2,28.5 m,2500 m²,40 m²,,,10 m²,14 m²,13 m²,13 m²,,,10 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schilde & Omstreken,,
72,2017,4,,310 m²,4,2,Non,2328 m²,,,Oui,97 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,Zone non inondable,Parc résidentiel,1.075.000 €,3.995 €,Non,"Heidestatiestraat 2
2920 - Kalmthout-Heide",9497 - 2970.005 TH,,"Zone d'habitat (résidentiel, urbain ou rural)",,2,,Oui,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2007,3,,167 m²,4,2,,260 m²,Connecté,Oui,Oui,337 kWh/m²,D,1136789,Non communiqué,Non communiqué,Gaz,Oui,Non,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",535.000 €,,Non,"Handelslei 50
2980 - St Antonius Zoersel",4531219,Après la signature de l’acte,Urbain,,,Oui,Oui,,Excellent état,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1958,3,2,179 m²,3,1,Non,179 m²,,Oui,,Non communiqué,Non communiqué,Non communiqué,566 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,,,299.000 €,,Non,,,,,9 m,1,,,,À rafraîchir,,34 m²,,1,9 m,10 m²,14 m²,,,9 m²,8 m²,11 m²,14 m²,,Oui,,Non,,Oui,,,Non,,,Sud,,Non,,,,,,Toutes sortes,,Oui,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,,,,,,,38 m²,,,,
75,1967,4,,70 m²,1,1,Non,210 m²,Non connecté,Oui,,763 kWh/m²,F,20160615-0001871875-1,Non communiqué,Non communiqué,Électrique,Oui,Non,Non,Non,Zone d'inondation reconnue,Zone naturelle,69.000 €,183 €,Non,"Vrijheid 147
2320 - Hoogstraten",,À définir,,,,,,,Bon,,,Équipée,,,,,,,,,,,,,,,,,,,Non,,,,,Non,,,,,,,,,,,,,,,,,,,,Non,Non,Non,,,763,,,,,,,,,,,,,
76,1861,3,,172 m²,2,2,Non,1125 m²,,Non,Oui,174 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",595.000 €,,Non,"Turnhoutsebaan 324
2970 - Schilde",,Immédiatement,"Zone d'habitat (résidentiel, urbain ou rural)",,1,Oui,Oui,172 m²,Excellent état,,,Américaine hyper-équipée,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Oui,,,,,,,,,,,,,,,,,,4497763,,,,,,,,,,,,,,,
77,1969,4,,Oui,2,3,Non,50 m,Oui,4787 m²,Non,E,210210512-0002414392-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Villa,,Non,Zone non inondable,Parc résidentiel,849.500 €,Non,,"Puttenhoflaan 24
2970 - Schilde",21/08/490,,,Pays,17 m,1,,,Non,À rénover,300 m²,,5,Non,Connecté,Nord,,,,,,,,,,,8 m²,,,Non,439 kWh/m²,,,,Oui,,Non,,Non,Non,Oui,Non,175 m²,Équipée,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,
78,1964,4,,45 m²,2,1,Non,161 m²,Non connecté,Oui,,651 kWh/m²,F,20210415-0002401964-RES-1,Non communiqué,Non communiqué,Électrique,Oui,Non,Non,Non,Zone non inondable,Autre type de zone,22.500 €,247 €,Non,"Vrijheid 147
2320 - Hoogstraten",,Après la signature de l’acte,,,,,,,À rénover,,,,,10 m,,,,,,,,,,,,,,,,,Non,,,,,Non,,,,,,,,,,,,,,,,,,,,Non,Non,Non,,,651,,,,,,,,,,,,,
79,1981,4,,88 m²,1,1,Non,306 m²,Non connecté,Oui,,1501 kWh/m²,F,20210415-0002401982-RES-1,Non communiqué,Non communiqué,Électrique,Oui,Non,Non,Non,Zone non inondable,Autre type de zone,43.500 €,679 €,Non,"Vrijheid 147
2320 - Hoogstraten",,Après la signature de l’acte,,,,,,,À rafraîchir,,,,,13 m,,,,,,,,,,,,,,,,,Non,,,,,Non,,,,,,Bungalow,,,,,,,,,,,,,,Non,Non,Non,,,1501,,,,,,,,,,,,,
80,1967,4,,Oui,1,2,Non,34 m,Oui,34 m²,537 kWh/m²,F,20160203-0001832005-1,Non communiqué,Non communiqué,Non,,Villa,,Non,Zone d'extension d'habitat,,748.500 €,1.693 €,Non,"Puttenhoflaan 24
2970 - Schilde",21/06/482 - villa,,,,,1,Non,,,À rénover,188 m²,,2,Non,Non connecté,Sud-ouest,,,,,,,,,,,Oui,,,,,,,,Oui,,3955 m²,,,,,,Non,Pas équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1988,4,2,154 m²,3,2,Non,540 m²,Connecté,Oui,,153 kWh/m²,B,Certificaat-20210913-0002463336-RES-1.pdf,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",520.000 €,1.497 €,Non,"Ter Heydelaan 227
2100 - Antwerpen",4496361,Après la signature de l’acte,"Zone d'habitat (résidentiel, urbain ou rural)",9 m,1,,Oui,,,,,,2,15 m,,18 m²,,,16 m²,12 m²,14 m²,15 m²,,,,,Oui,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
82,,4,,330 m²,6,2,Non,4214 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,,,Zone non inondable,,950.000 €,6.271 €,Non,,,Immédiatement,Isolé,,,Oui,,330 m²,À restaurer,,,Semi-équipée,3,,4214 m²,,,2,,,,,,Oui,,Non,,,Non,Non,Non,,,Sud,,Non,,Non,Non,Non,Non,Villa,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,,,,,,Non,,,,,,,1,,,
83,,4,,116 m²,3,1,Non,255 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,387.500 €,,Non,,,Immédiatement,,8 m,,,,,Fraîchement rénové,,,,2,,,,,,15 m²,11 m²,8 m²,14 m²,,,,Non,,,,,Non,,,,,Non,,,,,,Toutes sortes,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,,,,,,,,1,,,
84,1969,4,,320 m²,4,2,,4962 m²,,Oui,Oui,439 kWh/m²,E,2414392,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,,Zone non inondable,Parc résidentiel,849.500 €,,Non,"Heidestatiestraat 53
2920 - Kalmthout",4433146,Après la signature de l’acte,,25 m,1,,Oui,,,,,,3,50 m,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,,,,,Oui,"Paalstraat 70
2900 - Schoten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1956,4,,,1,1,,Oui,,,461 kWh/m²,E,20200902-3332310223,Non communiqué,Non communiqué,Non,,,Non,Zone non inondable,,690.000 €,,1.732 €,Non,"Eugeen Dierckxlaan, 17
2970 - SCHILDE",Evy VERMEIREN,,Après la signature de l’acte,,,1,1956 m²,,,,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,2,,3,2,,1478 m²,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,799.000 €,3.324 €,Non,"Bredabaan, 840
2170 - MERKSEM",,Après la signature de l’acte,,,2,,,,Excellent état,,,Équipée,,,,,,,,,,,,,,Oui,,,,,,Stephanie OTTELOHE,,Sud,,,Oui,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,4,4,465 m²,3,3,,22500 m²,Connecté,Oui,,161 kWh/m²,B,2444306,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,,Parc résidentiel,1.975.000 €,,Non,"Heidestatiestraat 53
2920 - Kalmthout",4429837,Après la signature de l’acte,,29 m,2,Oui,Oui,,,,,,,110 m,24005 m²,95 m²,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2010,4,,360 m²,4,2,Non,790 m²,Connecté,Oui,,109 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Zone non inondable,,825.000 €,,Non,,,Après la signature de l’acte,,17 m,,,Oui,203 m²,Excellent état,,51 m²,Hyper équipée,3,,630 m²,,,,31 m²,31 m²,25 m²,25 m²,16 m²,,,Non,,,Oui,Oui,Oui,,3,Sud-est,,Non,,Non,Non,Non,Non,Villa,,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,,20 m²,,,,,,,,,,,1,,,
90,,4,4,238 m²,2,2,Non,2535 m²,,Oui,,539 kWh/m²,F,20210418-0002401669-RES-1,Non communiqué,Non communiqué,Mazout,Oui,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",630.000 €,1.425 €,Non,,,Après la signature de l’acte,Pays,36 m,2,,Oui,220 m²,Bon,,,Équipée,3,36 m,2130 m²,130 m²,,,,18 m²,21 m²,,,Oui,,Oui,Oui,,Non,Oui,Oui,,,Sud,Sud,Non,,Non,Non,Non,Non,Villa,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,,,,Non,,"Oui, conforme",,,,,,,3,,,
91,2001,4,2,150 m²,3,1,Non,807 m²,,Oui,,141 kWh/m²,B,20210805-0002448670-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,,,549.000 €,,Non,,,Après la signature de l’acte,,,2,,Oui,,Bon,,,Équipée,2,,1 m²,40 m²,,,,,,,,,,Non,,,Non,Non,Non,,,Sud,Sud,Non,,Non,Non,Oui,Non,Toutes sortes,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,,,,,,,,,,,,,,,,
92,,4,20,1079 m²,5,3,Non,148400 m²,,,Oui,201 kWh/m²,B,20190917-0002195769-RES-1,Non communiqué,Non communiqué,,,,,,,,4.950.000 €,,Non,"Chaussée de Louvain 433
1380 - Lasne",4233238,À définir,,,3,,,,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,,,,,Oui,"Grote Markt 10
2200 - HERENTALS",,À la livraison,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1787,,,Équipée,Non,Non,148400 m²,Non,Oui,Non,,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Zone non inondable,Zone naturelle,4.950.000 €,7.689 €,Non,"Kortrijksesteenweg 128
9830 - Sint Martens Latem",BFK1117,,,,,,,Toutes sortes,,,1079 m²,,5,,,,,,,,,,,,,,Non,,,Non,201 kWh/m²,,,,,,,,Non,Non,Oui,Non,Non,,,3,,Non,Non,Non,Non connecté,Oui,,,,,,,,,,,Non,,,,,,,,,,,,
95,1787,4,,1079 m²,5,3,,148400 m²,Connecté,Oui,Oui,201 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,,Zone naturelle,4.950.000 €,,Non,"Jordaenskaai, 21
2000 - Antwerpen",4392376,Après la signature de l’acte,,,3,Oui,Oui,,,,,Américaine hyper-équipée,,,,,,,,,,,,,,Oui,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4,Oui,,,1,Oui,,F,,,,20210816-0002451787-RES-1,Non communiqué,Non communiqué,Non,Oui,,,Zone d'inondation reconnue,180.000 €,,1.068 €,,,"Antwerpsesteenweg, 93
2390 - OOSTMALLE",Caroline CAENEN,,,1955,,,,788 m²,,,,Oui,,,Oui,,,,,,,,,,,,,,1324 kWh/m²,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,Non,"nl :
Elke zaterdag tussen 10u-12u",Après la signature de l’acte,Non,,,,,,
97,,4,,765 m²,5,3,Non,2000 m²,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1.295.000 €,,Non,"Leopoldstraat 49
2000 - Antwerpen",,Après la signature de l’acte,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Excellent état,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oui, conforme",,,,,,,,,,
98,,,,186 m²,3,1,Non,147 m²,Connecté,Oui,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",394.000 €,,Non,"Lage Kaart 371
2930 - Brasschaat",,,,6 m,,,Oui,,,,,Équipée,2,6 m,,,,,,,,,,Oui,,Non,,,,,,,,Nord-est,,,Oui,,,,,,Oui,,Non,,Non,Non,Non,Non,,,,,,,,,EZOE0100,,40,Non,,,,,,,,,,,,
