,Année de construction,Nombre de façades,Parkings extérieurs,Surface habitable,Chambres,Salles de bains,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Type d’environnement,Largeur de la façade à rue,Parkings intérieurs,Cave,Permis de bâtir obtenu,Surface constructible totale au sol,État du bâtiment,Visite virtuelle,Surface du salon,Type de cuisine,Toilettes,Largeur du terrain à rue,Surface du jardin,Surface de la terrasse,Attestation as-built,Combien de feux ouverts ?,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Buanderie,Surface de bureau,Bureau,Grenier,Isolé,Accès sécurisé / alarme,Piscine,Panneaux photovoltaïques,Nom de l'agent,Salles de douche,Orientation du jardin,Orientation de la terrasse,Porte blindée,Jardin,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Type de construction,Salon,Salle à manger,Dressing,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux solaires,Chauffe-eau commun,Référence externe,Surface de la cave,Niveau E (performance énergétique globale),Obligation de construire,Surface de la chambre 5,Attestation de conformité des citernes à mazout,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Surface du grenier,Nombre d'annexes,Quartier ou lieu-dit,Surface de l'espace professionnel,Nom du bien
124,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1931,2,,154 m²,3,1,Non,281 m²,,,,172 kWh/m²,B,20130722-0001413575-00000015-7,Non communiqué,Non communiqué,Gaz,,Non,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,508 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21052,,Urbain,,,,Oui,,Bon,,,Équipée,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1972,3,,281 m²,3,1,Non,281 m²,,Oui,,366 kWh/m²,D,202109070002461100RES2,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Zone non inondable,Zone d'extension d'habitat,145.000 €,686 €,Non,,,Après la signature de l’acte,Pays,6 m,,,Oui,80 m²,À rénover,,,,1,,109 m²,,,,9 m²,8 m²,14 m²,12 m²,,,,Non,,,Non,Oui,Non,,,,,Non,,Non,Non,Non,Non,,Oui,,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,,,,,,,,,,,,,,,,
127,2009,4,6,66 m²,2,3,Non,37 m,Non,Oui,,B,EP05035/A001/D01/SD001,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,1.250.000 €,2.048 €,Non,"Vrijheid, 205
2320 - Hoogstraten",02/8447,,,Pays,24.35 m,1,,Villa,,Excellent état,500 m²,Équipée,27 m²,Non,Non connecté,,,,,3,,,,,,,Non,,,,,,,,132.73 kWh/m²,,5367 m²,Sud-ouest,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2021,4,1,122 m²,3,1,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",374.722 €,,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21011-A2,,Urbain,,,,Oui,,Excellent état,,,Équipée,1,,66 m²,,,,,,,,,,,,,,,Non,,,,,,,,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2021,4,1,122 m²,3,1,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",374.722 €,,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21011-A1,,Urbain,,,,Oui,,Excellent état,,,Équipée,1,,60 m²,,,,,,,,,,,,,,,Non,,,,,,,,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2021,4,1,268 m²,3,1,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",465.120 €,,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21011-A4,,Urbain,,,,Oui,,Excellent état,,,Équipée,1,,47 m²,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,4,,262 m²,5,2,Non,30072 m²,,,Oui,521 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,,Zone d'inondation reconnue,Zone forestière,995.000 €,,Non,"Veltwijcklaan 5
2180 - Ekeren",20087 - SIE/21/044,Après la signature de l’acte,,,3,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2021,4,1,269 m²,3,1,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",465.120 €,,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21011-A3,,Urbain,,,,Oui,,Excellent état,,,Équipée,,,93 m²,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1963,4,,210 m²,3,1,,19359 m²,,Oui,,578 kWh/m²,F,2429727,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,,Zone d'intérêt paysager,575.000 €,664 €,Non,"Gasthuisstraat 21
2340 - Beerse",4389187,,Pays,20 m,1,Oui,Oui,,À rénover,,35 m²,Semi-équipée,1,,,,,,15 m²,15 m²,12 m²,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 m²,,,,
