,À partir de,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Surface du salon,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Surface de la cuisine,Surface du jardin,Orientation du jardin,Double vitrage,Largeur de la façade à rue,Parkings extérieurs,Salle à manger,Dressing,Salles de douche,Buanderie,Bureau,Espace professionnel,Surface de la cave,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Obligation de construire,Site internet,Type d’environnement,Combien de feux ouverts ?,Attestation de conformité des citernes à mazout,Parkings intérieurs,Grenier,Terrasse,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Salon,Mise à prix,Jardin,Isolé,Surface de la chambre 3,Orientation de la terrasse,Surface constructible totale au sol,Surface de la chambre 4,Quartier ou lieu-dit,Surface du grenier,Disponible le,Surface de bureau,Surface de l'espace professionnel,Nom de l'agent,Nombre d'annexes,Surface de la chambre 5,Charges mensuelles
74,Après la signature de l’acte,,,4,420 m²,48 m²,,4,16 m²,13 m²,,,Oui,,956 m²,40 m,Oui,786 kWh/m²,F,201912130002228306-RES-1,Non communiqué,Non communiqué,,Oui,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",695.000 €,,Non,"Kapellestraat 45
2630 - Aartselaar",4338961,19 m²,400 m²,,Oui,21 m,2,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,Urbain,,,2,Oui,Oui,,,,,,,,,12 m²,,242 m²,12 m²,,,,,,,,,
75,,2016,,,120 m²,,,3,,,1,,,,250 m²,,Non,Non communiqué,Non communiqué,E16128,Non communiqué,Non communiqué,,Oui,,Oui,,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,,Non,"Van Breestraat 3
2018 - Antwerpen",,,,Nord-est,Oui,,,,Non,,,Non,,,,Non,Non,Non,Non,Non connecté,,,,,,,,,,,,,,,,,,,,Non,spir 600,,,,1,,,,,,,Oui,,Oui,,,,79 m²,,,,,,,,,,
76,Après la signature de l’acte,1964,À rénover,3,132 m²,,Semi-équipée,3,,,1,2,Oui,Non,256 m²,9 m,Oui,595 kWh/m²,F,2021007-0002474173-RES-1,Non communiqué,Non communiqué,Non,,,,,Zone non inondable,,350.000 €,887 €,Non,"Léon Gilliotlaan 93
2630 - Aartselaar",,,40 m²,,Oui,6 m,,,,,,,,,,,,,,,20 m²,,,,,,,,,,,,,Mazout,,,,,,,421 - 1653,,,"Oui, conforme",2,,,,,,,,,,,,,,,,,,,,,,,
77,,1988,Excellent état,2,175 m²,30 m²,Équipée,3,20 m²,17 m²,1,2,,Non,455 m²,6 m,,155 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",475.000 €,1.155 €,Non,"Lodewijk van Berckenlaan 167
2140 - Borgerhout",1387 - 1214,11 m²,315 m²,Sud-ouest,Oui,6 m,2,,,,,,,,,,,,,,18 m²,,,,,,,,,,,,,Gaz,,,,,,,,,,,1,,,,,,,,,,,17 m²,,,,,,,,,,,,
78,,,Bon,,170 m²,,Équipée,3,18 m²,16 m²,1,2,,Non,177 m²,,,190 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,395.000 €,1.202 €,Non,"Strijdersstraat 8
2650 - Edegem",,25 m²,,Ouest,Oui,6 m,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,1772 - 21-20035,,,,3,,,,,,,,,Oui,,8 m²,,,,,,,,,,,,
79,,1969,Fraîchement rénové,2,150 m²,,Équipée,3,,,1,2,,Non,303 m²,6 m,Oui,354 kWh/m²,D,20141029-0001691573-00000001-2,Non communiqué,Non communiqué,,Oui,,,,Zone non inondable,,395.000 €,985 €,Non,,,,180 m²,Nord-ouest,Oui,6 m,2,,Non,,,Non,Non,,Non,Non,Non,Non,Non,Connecté,34 m²,,,,,,,,,,,,,Gaz,Non,Non,Non,Non,Toutes sortes,,,,1,,2,,,,,,,,,,,,Nord-ouest,,,,,,,,,,,
80,Après la signature de l’acte,1982,Bon,4,115 m²,33 m²,Semi-équipée,3,18 m²,8 m²,1,1,,Non,912 m²,16.5 m,Oui,523 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Faire offre à partir de 450.000 €,,Non,"Prins Boudewijnlaan, 112-114
2610 - Wilrijk",,13 m²,542 m²,,Oui,10 m,1,,,1,,,,,,,,,,Connecté,,,,,,,,,,,,,,Gaz,,,,,,,4406329,"Zone d'habitat (résidentiel, urbain ou rural)",,,1,Oui,,,,,,,,,,10 m²,,136 m²,,,,,,,,,,
81,Immédiatement,2002,Excellent état,4,36 m²,Oui,31 m²,35 m²,23 m²,13 m²,15 m²,,25 m²,,92 m,Oui,,C,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,,,,Non,,"Rumstsestraat 1
2840 - Reet",4515191,,5,,,1.495.000 €,20 m,3,Équipée,,,,Oui,,,,,,,,,,,,,,Oui,,,,,277 kWh/m²,,,Oui,,,,,,,,,,,2,,Oui,,,,468 m²,,,,,2,,,,Aartselaar,2991 m²,,Oui,,,,,
82,Après la signature de l’acte,1934,Bon,4,261 m²,40 m²,Équipée,4,20 m²,19 m²,1,2,,Non,430 m²,,,732 kWh/m²,F,2322774,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",445.000 €,1.187 €,,"Kapellestraat, 47
2630 - Aartselaar",,9 m²,,Sud-est,,8 m,4,Oui,,,,Oui,,85 m²,,,,,Oui,Connecté,10 m²,,,,,,,,,,,,,Mazout,,,,,,,,,,"Oui, conforme",2,,,,,,,,,Oui,,11 m²,Sud-est,,10 m²,,,,40 m²,,,1,,
83,,1953,Excellent état,2,196 m²,,Américaine équipée,5,18 m²,16 m²,2,2,,Non,172 m²,6 m,Oui,147 kWh/m²,B,20170529-0001965023-1,Non communiqué,Non communiqué,,,,,,,,475.000 €,879 €,Non,,,24 m²,72 m²,Sud-est,Oui,6 m,,,Non,,Oui,Non,Non,10 m²,Non,Oui,Non,Non,Non,Connecté,12 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Gaz,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1,,,,,,,,,,,,,15 m²,Sud-est,,15 m²,,,,,,,,14 m²,
