,À partir de,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Surface du salon,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Surface de la cuisine,Surface du jardin,Orientation du jardin,Double vitrage,Largeur de la façade à rue,Parkings extérieurs,Salle à manger,Dressing,Salles de douche,Buanderie,Bureau,Espace professionnel,Surface de la cave,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Obligation de construire,Site internet,Type d’environnement,Combien de feux ouverts ?,Attestation de conformité des citernes à mazout,Parkings intérieurs,Grenier,Terrasse,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Salon,Mise à prix,Jardin,Isolé,Surface de la chambre 3,Orientation de la terrasse,Surface constructible totale au sol,Surface de la chambre 4,Quartier ou lieu-dit,Surface du grenier,Disponible le,Surface de bureau,Surface de l'espace professionnel,Nom de l'agent,Nombre d'annexes,Surface de la chambre 5,Charges mensuelles
133,,1905,Bon,,160 m²,,,4,22 m²,13 m²,1,2,Oui,Non,,,,376 kWh/m²,D,20210812-0002450926-RES-1,Non communiqué,Non communiqué,Non,Oui,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",559.000 €,785 €,Non,"Fruithoflaan, 6
2600 - Berchem",,31 m²,100 m²,Sud-est,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,940 - 3641985,,,,,,,,,,,,,,,10 m²,,,10 m²,,,,,,,,,
134,Après la signature de l’acte,1957,À rafraîchir,2,224 m²,40 m²,Équipée,5,,,1,1,Oui,Non,184 m²,6 m,Oui,160 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,827 €,Non,"Oude-Godstraat 8
2650 - Edegem",467 - 1665580,,60 m²,Nord-ouest,Oui,6 m,,,,,,,,,,,,,,,20 m²,,,,,,,,,,,,,Gaz,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
135,Après la signature de l’acte,1963,À rénover,3,147 m²,34 m²,Équipée,5,14 m²,14 m²,1,2,Oui,Non,285 m²,10 m,Oui,398 kWh/m²,D,20210812-0002450705-RES-1,Non communiqué,Non communiqué,,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,1.065 €,Non,"Edegemsestraat 56
2640 - Mortsel",,8 m²,78 m²,,,6 m,,,,1,,,,,,,,,,,15 m²,,,,,,,,,,,,,,,,,,,,4447145,Isolé,,,1,Oui,,,,,,,,,,12 m²,,80 m²,11 m²,,,,,,,,6 m²,
136,À définir,1962,Bon,2,174 m²,48 m²,Américaine hyper-équipée,3,13 m²,14 m²,1,2,,Non,231 m²,6 m,Oui,266 kWh/m²,C,2439452,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,,450.000 €,1.105 €,Non,"Grote steenweg, 511
2600 - Berchem",4451335,7 m²,159 m²,,Oui,6 m,2,Oui,,1,,,,,,,,,,,9 m²,,Non,,Oui,Oui,,,,,Non,,,Gaz,,,,,,,,Isolé,,,1,,,,,,,,,,,24 m²,,54 m²,,Regio Zuidrand Antwerpen,,,,,,,,
137,Après la signature de l’acte,,Bon,2,205 m²,36 m²,Hyper équipée,2,15 m²,21 m²,1,3,,Non,70 m²,13.25 m,Oui,377 kWh/m²,D,2453737,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",466.000 €,,Non,"Grote steenweg, 511
2600 - Berchem",4447582,13 m²,,,Oui,5.35 m,,,,,,Oui,,70 m²,,,,,,Connecté,10 m²,,Non,,Oui,,,,,,,,,Gaz,,,,,,,,Urbain,,,,,,,,,,,,,,,,205 m²,,Regio Zuidrand Antwerpen,36 m²,,12 m²,,,,,
138,À définir,1962,Fraîchement rénové,2,128 m²,,Équipée,3,7 m²,12 m²,1,1,,Non,205 m²,6 m,,325 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.500 €,875 €,Non,"Antwerpsesteenweg, 88
2550 - Kontich",M30-M-1795,7 m²,90 m²,Nord-ouest,Oui,6 m,,,Non,1,,Non,,15 m²,,,,,,,,,,,,,,,,,,,,Gaz,Non,,,,,Non,,Urbain,,Non,,,,,,,,,,,,15 m²,,76 m²,,,,,,,,,,
139,Selon le locataire,1974,Bon,2,170 m²,40 m²,Américaine hyper-équipée,4,12 m²,12 m²,1,,,,,,,316 kWh/m²,D,1782247,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",365.000 €,,Non,"Plantin & Moretuslei 12
2018 - Antwerpen",,7 m²,100 m²,,Oui,7 m,2,,,,,Oui,,,,,,,,,,,Non,,Oui,,,,,,Non,,,Gaz,,,,,,,4514064,"Zone d'habitat (résidentiel, urbain ou rural)",,,2,,,,,,,,,,,7 m²,,,7 m²,,,,12 m²,,,,,
140,Après la signature de l’acte,,Excellent état,3,158 m²,33 m²,Équipée,3,9 m²,15 m²,1,2,,Non,340 m²,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",Oui,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,,Non,,,24 m²,170 m²,Sud-ouest,Non,635 m,1,,Non,,,Non,Non,20 m²,Non,Non,Non,Non,Non,Connecté,19 m²,,,,,,,,,,,,,Gaz,Non,Non,Non,Non,,Non,,,,,1,,,,,,,,,,,16 m²,Sud-ouest,,,,,,,,,,,
141,Après la signature de l’acte,1900,,2,165 m²,,Américaine équipée,4,18 m²,11 m²,2,2,Oui,Non,132 m²,5 m,Oui,177 kWh/m²,B,20210628-0002434772-RES-1,Non communiqué,Non communiqué,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,572 €,Non,"Ter Heydelaan 227
2100 - Antwerpen",,,61 m²,,Oui,,,,,,,Oui,,,,,,,,Connecté,,,,,,,,,,,,,,Gaz,,,,,,,4398327,Urbain,,,,,,,,,,,,,,18 m²,,71 m²,11 m²,,,,,,,,,
142,Après la signature de l’acte,1978,Excellent état,2,285 m²,,Équipée,6,17 m²,12 m²,3,3,,Non,,,,101 kWh/m²,A,0002440278,Non communiqué,Non communiqué,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",889.000 €,,Oui,"Marie-Josélaan 67
2600 - Berchem",spir1166,11 m²,,,Oui,7 m,3,,Non,1,,Non,,,,,,,,,3 m²,Non,Non,Non,Non,Non,,Oui,,,Non,,,Gaz,Non,,,,,Non,,,,Non,1,,,,,,,,,,,,,,,,,,,,,,,
143,Selon le locataire,,À rafraîchir,3,182 m²,35 m²,Équipée,2,11 m²,13 m²,1,2,,Non,252 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",365.000 €,,Non,"Antwerpsesteenweg, 88
2550 - Kontich",R20-M-1420H,7 m²,86 m²,Sud-est,Oui,6.8 m,,,Non,,,Oui,,,,,,,,,,Non,Non,Non,Oui,Non,,Non,,,Non,,,Mazout,Non,,,,,Non,,,,Non,1,,,,,,,,,,,,,61 m²,,,,,5 m²,,,,,
144,Après la signature de l’acte,,,3,175 m²,,,4,,,1,,,Non,198 m²,,Oui,300 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",465.000 €,,,"Britselei 56
2000 - Antwerpen",,,120 m²,,Oui,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,Urbain,,,1,,,,,,,,,,,,,,,,,,,,,,,
145,,,À rénover,2,165 m²,27 m²,,4,,,1,,,Non,150 m²,,Oui,657 kWh/m²,F,20210117-0002360166-RES-1,Non communiqué,Non communiqué,,,Non,Non,Non,Zone non inondable,Autre type de zone,249.900 €,428 €,Non,"Vrijheid 147
2320 - Hoogstraten",2021/164,26 m²,38 m²,,Oui,,,,,,,,,,Non,,,,,Non connecté,,,,,,,,,,,,,657,Gaz,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Après la signature de l’acte,1978,Excellent état,2,285 m²,,Équipée,6,17 m²,12 m²,3,3,,Non,,,,Non communiqué,Non communiqué,0002440278,Non communiqué,Non communiqué,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",889.000 €,,Oui,"Marie-Josélaan 67
2600 - Berchem",spir1165,11 m²,,,Oui,7 m,3,,Non,1,,Non,,,,,,,,,3 m²,Non,Non,Non,Non,Non,,Oui,,,Non,,,Gaz,Non,,,,,Non,,,,Non,1,,,,,,,,,,,,,,,,,,,,,,,
147,,1958,,,234 m²,,,6,19 m²,16 m²,3,,,,400 m²,16 m,Oui,216 kWh/m²,C,20210318-0002389083-RES-1,Non communiqué,Non communiqué,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,,Non,"Mechelsesteenweg 115
2640 - Mortsel",AMa098C,,,,Oui,13.5 m,,,Non,,,Non,,,,Non,Non,Non,Non,Connecté,,,,,,,,,,,,,,,,,,,,Non,,,,,,,Oui,,,,,,,,,16 m²,,,14 m²,,,,,,,,14 m²,
148,Après la signature de l’acte,,Excellent état,2,205 m²,41 m²,Hyper équipée,3,10 m²,14 m²,1,,,Non,,,Non,55.62 kWh/m²,A,11029-G-2012/0320/EP10170/A001/D08/SD001,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,,Non,"Grote steenweg, 511
2600 - Berchem",4520822,9 m²,,,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Oui,,,,,,,,,24 m²,,,,Regio Zuidrand Antwerpen,,,,,,,,
149,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,,,,,Non,"Van Peborghiel 26
2640 - Mortsel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
