,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Nombre de façades,Visite virtuelle,Salon,Salle à manger,Chambres,Salles de bains,Grenier,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,Année de construction,Type de cuisine,Toilettes,Bureau,Cave,Panneaux solaires,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,État du bâtiment,Surface habitable,Meublé,Terrasse,Attestation as-built,Type de chauffage,Prix,Site internet,Parkings intérieurs,Parkings extérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Orientation de la terrasse,Pompe à chaleur,Largeur de la façade à rue,Type d’environnement,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Largeur du terrain à rue,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Référence externe,Surface de la terrasse,Attestation de conformité des citernes à mazout,Obligation de construire,Disponible le,Jardin,Surface constructible totale au sol,Combien de feux ouverts ?,Salles de douche,Surface de l'espace professionnel,Surface de la cave,Surface du grenier,Surface de la chambre 5,Niveau E (performance énergétique globale),Quartier ou lieu-dit,Surface de bureau,Isolé,Nom de l'agent,Nom du bien
115,,,,À définir,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,,Non,"Ambachtenstraat 4
3210 - Lubbeek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,Immédiatement,3,198 m²,,Américaine hyper-équipée,20 m²,2,,10 m,C,20210914-0002463756-RES-1,Non communiqué,Non communiqué,"Oui, conforme",65 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,"Dorpsstraat 57
3050 - Oud-Heverlee",4416664,1970,13 m²,20 m²,,,,Oui,Non,Non,Bon,34 m²,269 m²,,,Oui,961 €,,1,1,Oui,3,13 m²,11 m²,1,,,Non,120 m²,44 m²,,,,7 m,Isolé,,,,,,,,,,,,,,,,,,,,,,Connecté,Zone inondable potentielle,396.000 €,,259 kWh/m²,Mazout,,,,Oui,,,,Non,,,,,,,,
117,,,,Après la signature de l’acte,2,,,,2,1,,54 m²,159 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,472 €,Non,"Vismarkt 10 c
3000 - Leuven",,Équipée,1,,,,Oui,,,Fraîchement rénové,84 m²,Non,,Non,Gaz,349.000 €,2457 - 2991845,,,,12 m²,13 m²,9 m²,9 m²,,,,,,Nord-ouest,,,9 m,,,,,,,,,,,,,,,,,,,,,,,9 m,,"Zone d'habitat (résidentiel, urbain ou rural)",,41 m²,,,,Oui,,,,,,,,159,,,,,
118,,,,,3,,,,2,1,,719 m²,1026 kWh/m²,F,20210817-0002452321-RES-1,Non communiqué,Non communiqué,,Zone non inondable,,,Oui,"Waversebaan 248
3050 - Oud-Heverlee",,Semi-équipée,,,,,Oui,,Non,À rénover,385 m²,Non,,Non,Mazout,440.000 €,1976572 - 2140,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 m,,"Zone d'habitat (résidentiel, urbain ou rural)",,,"Oui, conforme",,,,,,,,,,,,,,,,
119,,,,À définir,,,,,5,,Oui,1307 m²,195 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,Zone inondable potentielle,,2.072 €,Non,"Hoogstraat 2 bus 1
3360 - Bierbeek",,Équipée,2,,Oui,,Oui,Non,Non,Bon,300 m²,Non,Oui,Non,Mazout,595.000 €,,,,,,,,,,Non,Connecté,Oui,,Est,Est,Non,,,,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Oui,,,,,,,,,,,,,
120,,,,Après la signature de l’acte,4,,,,3,1,,420 m²,396 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,1.172 €,Non,"Jan Stasstraat 3
3000 - Leuven",1981,Équipée,2,Non,,,Oui,Non,Non,Bon,219 m²,Non,,Non,Gaz,485.000 €,Waversebaan132.2021,1,2,36 m²,13 m²,16 m²,15 m²,10 m²,,Non,,,350 m²,Ouest,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,21 m²,Non,Non,,,,1,1,,26 m²,34 m²,,,,,,,
121,Non,"nl :
elke woe. tussen 14u-16u, elke do. tussen 17u-19u en elke zat. tussen 10u-12u en dit vanaf woe. 6/10/2021 tem woe. 10/11/2021 (zonder afspraak)",Après la signature de l’acte,1952,,Équipée,4,,Oui,Oui,737 kWh/m²,F,20210502-0002409781-RES-1,Non communiqué,Non communiqué,Non,Non,,Non,"Waversebaan, 240
3050 - Oud-Heverlee",,Laura VERDUYN,,Oui,1,,,1027 m²,,,Zone inondable potentielle,280.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,4,,Oui,,3,2,,565 m²,546 kWh/m²,F,20210827-0002456979-RES-1,Non communiqué,Non communiqué,,Zone non inondable,,753 €,Non,"Tervuursevest 11
3000 - Leuven",1933,Équipée,2,Non,Oui,,Non,,Non,À rénover,140 m²,Non,,,Gaz,395.000 €,2021_OHV004,1,1,,,,,,,,Connecté,Oui,400 m²,Nord-ouest,,,9 m,,,,Non,,,,,,,,,,,,,,,,,,,15 m,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,105 m²,,,,,,,,,,,,
123,,,,Après la signature de l’acte,4,,,,10,3,Oui,4000 m²,422 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,3.222 €,Non,"Brusselsesteenweg 66
3000 - Leuven",1930,Hyper équipée,3,Oui,Oui,,,Oui,Non,À rénover,713 m²,,,,Mazout,1.295.000 €,4405637,1,9,,,,,,,,Connecté,Oui,4000 m²,,,,,Pays,,,,,,,,,,,,Oui,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,20 m²,,,,,,,1,,,,,,,,,,
124,,,,,4,,,,4,1,,378 m²,507 kWh/m²,F,2381230,Non communiqué,Non communiqué,,,,483 €,Non,"Naamsesteenweg 207
3001 - Heverlee",,,,,,,Oui,Non,Non,Bon,227 m²,,Oui,,Gaz,520.000 €,4531127,1,,60 m²,,13 m²,15 m²,18 m²,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,1 juin 2022 - 00:00,,,,,,21 m²,,,,Leuven en omgeving,,,,
