,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Nombre de façades,Visite virtuelle,Salon,Salle à manger,Chambres,Salles de bains,Grenier,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,Année de construction,Type de cuisine,Toilettes,Bureau,Cave,Panneaux solaires,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,État du bâtiment,Surface habitable,Meublé,Terrasse,Attestation as-built,Type de chauffage,Prix,Site internet,Parkings intérieurs,Parkings extérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Orientation de la terrasse,Pompe à chaleur,Largeur de la façade à rue,Type d’environnement,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Largeur du terrain à rue,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Référence externe,Surface de la terrasse,Attestation de conformité des citernes à mazout,Obligation de construire,Disponible le,Jardin,Surface constructible totale au sol,Combien de feux ouverts ?,Salles de douche,Surface de l'espace professionnel,Surface de la cave,Surface du grenier,Surface de la chambre 5,Niveau E (performance énergétique globale),Quartier ou lieu-dit,Surface de bureau,Isolé,Nom de l'agent,Nom du bien
0,Non,"nl :
zaterdag van 10u-12u uur vanaf zaterdag 16 oktober 2021 tot en met zaterdag 13 november 2021.",Après la signature de l’acte,2,Oui,Oui,3,1,Oui,110 m²,557 kWh/m²,F,20210702-0002436941-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,200.000 €,428 €,Non,"Baron A. de Becker-Remyplein, 61
3010 - Kessel-Lo",Joz WERCKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Trekschurenstraat 245
3500 - Hasselt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Non,"nl :
Elke zaterdag van 10 uur tot 12 uur, vanaf zaterdag 28/8/2021 tot en met zaterdag 2/10/2021",Après la signature de l’acte,1954,Oui,Oui,Équipée,3,1,Oui,F,,20210319-0002387918-RES-1,Non communiqué,Non communiqué,Non,Oui,,585 €,Non,"Leopold Ruelensstraat, 54
3010 - Kessel-Lo",Veronique Knapen,,2,1,Oui,Oui,605 kWh/m²,Non,Non,Zone non inondable,225.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Non,"nl :
’s zaterdags van 10u-12u vanaf zaterdag 11 september 2021 tot en met zaterdag 9 oktober 2021",Après la signature de l’acte,2,Oui,1,1,,Oui,Oui,205 kWh/m²,C,20210606-00002425419-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,240 €,Non,"Baron A. de Becker-Remyplein, 61
3010 - Kessel-Lo",Joz WERCKX,,,,,,60 m²,,,Zone non inondable,90.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,Après la signature de l’acte,2,,,,3,1,,110 m²,161 kWh/m²,B,20210116-0002357816-RES-1,Non communiqué,Non communiqué,,,,322 €,Non,"Vanderkelenstraat, 22
3000 - Louvain",,Équipée,1,,Oui,,Oui,,,Fraîchement rénové,100 m²,Non,Oui,Non,Gaz,349.000 €,20230 - 1441412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,À définir,3,,,,4,,Oui,290 m²,221 kWh/m²,C,20211007-0002473648-RES-1,Non communiqué,Non communiqué,,Zone non inondable,,,Non,"Leopoldstraat 37
2800 - Mechelen",,Équipée,2,,,,Oui,,,Bon,169 m²,Non,Oui,,Gaz,399.000 €,,1,1,31 m²,8 m²,12 m²,11 m²,11 m²,6 m²,Non,Connecté,Oui,200 m²,Sud-est,Sud-est,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,À définir,2,,,,3,1,,94 m²,148 kWh/m²,B,20210909-0002462379-RES-1,Non communiqué,Non communiqué,,Zone non inondable,,,Non,,2008,Équipée,2,Non,,Non,Oui,,,Excellent état,181 m²,Non,,,Gaz,540.000 €,,2,,,,10 m²,10 m²,14 m²,,Non,Connecté,Oui,30 m²,,,Non,6 m,Urbain,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,
7,,,,À définir,2,,,,3,1,,913 m²,273 kWh/m²,C,2468847,Non communiqué,Non communiqué,Oui,Zone non inondable,,,Non,"Honsemsestraat 20
3370 - Boutersem",1938,,2,,Oui,Oui,Oui,Non,Non,Bon,147 m²,Non,Oui,,Gaz,429.000 €,,1,1,28 m²,18 m²,36 m²,18 m²,14 m²,,,Connecté,Non,,,,,8 m,,,,,,,,,,,Oui,,,,,,,,,,,,8 m,Non,"Zone d'habitat (résidentiel, urbain ou rural)",4520819,,,,,,,,,,,,,,,,,,
8,,,,Après la signature de l’acte,3,,Oui,Oui,3,1,,223 m²,Non communiqué,Non communiqué,20211001-0002471222-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,1.070 €,Non,"Geldenaaksebaan 176 C
3001 - Heverlee",1971,,2,,,,Oui,Oui,Non,Bon,192 m²,Non,,,Gaz,442.000 €,Herman Snoeijs,1,1,,,17 m²,11 m²,8 m²,,,Connecté,Oui,150 m²,Nord-ouest,Nord-ouest,,7.2 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Oui,,,,Oui,,,,,,,,,,,7.5 m,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,
9,,,,,2,,,,4,1,,117 m²,427 kWh/m²,E,20201111-0002334930-Res-1,Non communiqué,Non communiqué,,Zone non inondable,,634 €,Non,,,,1,Non,,Non,Non,Non,,,216 m²,Non,,Non,Gaz,319.000 €,,,,,,,,,,Non,,Oui,56 m²,Sud-ouest,Sud-ouest,Non,5 m,,,Non,Non,Oui,Non,Non,Non,,,,,,,,,,,,Non,Non,,,Non,,,12 m²,Non,Non,,,,,,,,,,,,,,,
10,,,,,4,,Oui,,4,1,,1953 m²,633 kWh/m²,F,20210729-0002446032-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,1.544 €,Non,"Tervuursevest 11
3000 - Leuven",1961,Équipée,2,Non,Oui,,Oui,Non,Non,,150 m²,Non,,,,556.000 €,2021_KES191W,1,5,,,,,,,,Connecté,Non,,Ouest,,,14 m,Pays,,,Non,,,,,,,,,,,,,,,,,,Villa,,Non,Parc résidentiel,,,,,30 avril 2021 - 00:00,Oui,128 m²,,,,,,,,,,,,
11,,,,Après la signature de l’acte,4,,,,8,2,,2762 m²,320 kWh/m²,D,85/2020/74679/01:1,Non communiqué,Non communiqué,Oui,Zone non inondable,,,,"Bergenstraat 72
3053 - Haasrode",1982,Hyper équipée,,,Oui,,Oui,Oui,Non,Excellent état,,,,,Électrique,1.390.000 €,,2,,50 m²,,,,,,,Connecté,,2762 m²,Sud-ouest,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,3,1,200 m²,,,,,,,,,
12,,,,Après la signature de l’acte,2,,,,3,1,,297 m²,315 kWh/m²,D,20210606-0002425422-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,912 €,Non,"Tiensesteenweg 93
3010 - Kessel-Lo",1972,,2,,,,,Oui,,Bon,110 m²,,,,Mazout,359.000 €,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",4411513,,,,1 janvier 1900 - 00:00,,,,,,,,,,,,,,
13,,,,Après la signature de l’acte,3,,,,3,1,,289 m²,333 kWh/m²,D,2414206-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,1.405 €,Non,"Louis Melsensstraat 8
3000 - Leuven",1963,Équipée,2,Non,,,Oui,Non,Non,Bon,196 m²,Non,,,Gaz,450.000 €,spir5960,1,,,,,,,,Non,,,,,,Non,7 m,,,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,,,,,1,,,,,,,,,,
14,,,,Après la signature de l’acte,4,,,,3,1,,752 m²,196 kWh/m²,B,20210930-0002470974-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,1.132 €,Non,"Rijschoolstraat 31
3000 - Leuven",1998,Équipée,2,Non,,,Oui,Oui,Non,Bon,125 m²,Non,,,Gaz,485.000 €,spir1140,1,2,30 m²,12 m²,18 m²,11 m²,13 m²,,Non,,,,Nord-ouest,,Non,10.75 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,17 m,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,,Oui,,,,,,,,,,,,,
15,,,,À définir,2,,,,3,1,,374 m²,300 kWh/m²,C,20211001-0002471467-RES-1,Non communiqué,Non communiqué,,Zone non inondable,,1.022 €,,"Blauwesteenstraat 67
2550 - Kontich",1953,Équipée,,,,,Oui,,Non,Bon,133 m²,,Oui,,Gaz,399.000 €,Marc Van Den Bosch,,,,,,,,,,Connecté,Oui,276 m²,Est,Est,,6 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,49 m²,53 m²,,,,,,,
16,,,,Après la signature de l’acte,2,,,,4,1,Oui,301 m²,236 kWh/m²,C,20210910-0002461598-RES-2,Non communiqué,Non communiqué,Oui,,,1.098 €,Non,"Dorp 6
1933 - Sterrebeek",1963,,2,Oui,Oui,,Oui,Non,Non,,195 m²,Non,,,Gaz,465.000 €,4499731,1,1,,,16 m²,16 m²,13 m²,12 m²,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,
17,,,,Après la signature de l’acte,2,,,,3,2,,217 m²,300 kWh/m²,C,20120524-0001126929,Non communiqué,Non communiqué,Oui,Zone non inondable,,1.308 €,Non,"Holsbeeksesteenweg 133
3010 - Kessel-Lo",1992,Équipée,2,Non,,,Oui,Oui,Non,Bon,150 m²,Non,,,Gaz,425.000 €,,1,,40 m²,,,,,,Non,,,105 m²,Nord,,Non,,,,,,,,,,Non,Non,Non,Oui,Non,,Non,,,Non,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",spir542,,Non,Non,,,,,,,,,,,,,,,
18,,,,,2,,,,2,1,,82 m²,477 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Zone non inondable,,560 €,Non,"Diestsesteenweg 427 C
3010 - Kessel-Lo",1948,Pas équipée,1,Non,Oui,,Oui,Non,Non,À rénover,114 m²,Non,,,,298.000 €,,1,,35 m²,12 m²,,,,,,Connecté,Oui,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,7 m²,,,,,,,,,,,,,,,,,
19,,,,Après la signature de l’acte,2,,,,5,1,,156 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Zone non inondable,,922 €,Non,,1951,,2,Non,,Non,Non,Non,Non,,148 m²,Non,,Non,Gaz,415.000 €,,,,,,14 m²,14 m²,7 m²,14 m²,Oui,Connecté,Oui,54 m²,Nord-ouest,,Non,6 m,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,Non,Non,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,7 m²,,,,,,
20,,,,Après la signature de l’acte,3,,Oui,,2,,,74 m²,573 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Zone non inondable,,282 €,Non,"Tervuursesteenweg 353
3001 - Heverlee",,Équipée,1,Non,,,Oui,Non,Non,Bon,85 m²,Non,,,Gaz,238.000 €,spir3100,,,,,,,,,Non,,,16 m²,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,,,,,1,,,,,,,,,,
21,,,,,,,Oui,Oui,2,1,,150 m²,222 kWh/m²,C,20210819-0002453507-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,705 €,Non,"Tiensesteenweg 350
3000 - Leuven",1918,,1,Non,Oui,,Non,Non,Non,Excellent état,112 m²,,Oui,,,330.000 €,"Diestsesteenweg 778,",1,1,,,,,,,Non,Connecté,Oui,,,,,,,Oui,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,,,,,,,,,,,,,,,
22,,,,,2,,,Oui,3,2,,200 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,572 €,Non,,,Équipée,2,Non,,Non,Non,,,Bon,150 m²,Non,,,Gaz,368.000 €,,,,16 m²,12 m²,16 m²,16 m²,30 m²,,Non,,Non,140 m²,Nord-est,Nord-est,Non,,,,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,Non,Non,Toutes sortes,,,,,14 m²,,,,,,,,,34 m²,,,274,,,,,
23,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Ter Heidelaan 54 A
3200 - Aarschot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,station Leuven,,,,
24,,,,Après la signature de l’acte,2,,Oui,,6,2,Oui,155 m²,198 kWh/m²,B,20191029-0002212754-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,2.466 €,Oui,"Tiensesteenweg 93
3010 - Kessel-Lo",1945,Américaine hyper-équipée,3,,Oui,Oui,Oui,Non,Non,Bon,463 m²,,Oui,,Gaz,1.350.000 €,,,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,Oui,,,Oui,,,,,,,,10 m,,"Zone d'habitat (résidentiel, urbain ou rural)",4422825,,,,1 janvier 1900 - 00:00,,,,,,,,,,,,,,
25,,,,Après la signature de l’acte,3,,,,3,1,,495 m²,195 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,,468 €,Non,"Bondgenotenlaan 115
3000 - Louvain",,Équipée,2,,,,Oui,Non,Non,Fraîchement rénové,,,,Non,Gaz,365.000 €,Philippe Anthonis,1,1,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,1,,,,,,,,,,
26,,,,Après la signature de l’acte,2,,Oui,,3,3,,,432 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Zone non inondable,,,Non,"Naamsesteenweg 207
3001 - Heverlee",,,3,,,,,,,À rafraîchir,167 m²,Non,Oui,,,395.000 €,4426189,,,,,,,,,,Connecté,Oui,,,,,5 m,,,,,,,,,,,,,,,,,,,,,,,5 m,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,Leuven en omgeving,,,,
27,,,,,2,,Oui,,2,1,,70 m²,298 kWh/m²,C,20191029-0002212770-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,1.266 €,Oui,"Tiensesteenweg 93
3010 - Kessel-Lo",1942,,2,,,,Oui,Non,Non,,210 m²,,,,Gaz,369.000 €,,,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",4411432,,,,1 janvier 1900 - 00:00,,,,,,,,,,,,,,
28,,,,Après la signature de l’acte,4,,,,3,1,Oui,2762 m²,320 kWh/m²,D,85/20204679/01:1,Non communiqué,Non communiqué,Oui,Zone non inondable,,1.435 €,,"Bergenstraat 72
3053 - Haasrode",1982,,,,,,Oui,Oui,Non,Excellent état,266 m²,,,,Électrique,640.000 €,,2,8,50 m²,,,,,,,Connecté,,2762 m²,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,1,,,,,,,,,,,
29,,,,,2,,Oui,,3,1,Oui,141 m²,516 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Oui,,,1.110 €,Non,"Bondgenotenlaan 115
3000 - Louvain",,Équipée,2,,Oui,,Oui,,,,,,Oui,,Gaz,450.000 €,,1,1,,,,,,,,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,4,1,,,747 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,,Non,"Franz Tielemanslaan, 12
3000 - Louvain",,Équipée,1,Non,,,Oui,,Non,Excellent état,,Non,,,Électrique,349.000 €,VK21/22 [3058000],,,30 m²,12 m²,16 m²,13 m²,9 m²,8 m²,Non,Non connecté,Oui,112 m²,,,Non,,Urbain,Oui,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,6 m²,Non,Non,,,,,,,16 m²,,,,,,,,
31,,,,Après la signature de l’acte,3,,,,3,1,,433 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,937 €,Non,"Vismarkt 10 c
3000 - Leuven",1978,Équipée,2,,Oui,,Oui,,,Fraîchement rénové,130 m²,Non,,Non,Gaz,449.000 €,2740 - 2991887,2,3,28 m²,8 m²,12 m²,11 m²,10 m²,,,,,250 m²,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,13 m,,,,30 m²,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Trekschurenstraat 245
3500 - Hasselt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,À définir,3,185 m²,,,36 m²,,Non,Connecté,F,20180828-0002085560-1,Non communiqué,Non communiqué,Mazout,,295.000 €,,Non,"Leopoldstraat 37
2800 - Mechelen",,,12 m²,Oui,,Oui,,Zone non inondable,,,À rafraîchir,31 m²,550 m²,553 kWh/m²,,Non,319 €,,1,,Équipée,3,18 m²,14 m²,Non,,1,Oui,500 m²,Nord-ouest,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,Oui,Oui,3,3,,180 m²,131.09 kWh/m²,B,24062-G-RO2008/0646/EP10322/A001/D01/SD001,Non communiqué,Non communiqué,Oui,Zone non inondable,,,Non,"Naamsesteenweg 171/0001
3001 - Heverlee",2011,Équipée,1,Non,,,Oui,Non,Non,,227 m²,Non,Oui,,,495.000 €,PRINSSTR4C,,,,,,,,,Oui,Connecté,Non,,Nord-ouest,,,,,Oui,,,Non,Non,Non,Non,,,,,,,,,,,,,,Toutes sortes,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,1 septembre 2022 - 00:00,Oui,,,,,,,,,,,,,
35,,,,À la livraison,3,,,,4,2,,352 m²,58 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,"Culostraat, 44
3360 - Bierbeek",2021,Hyper équipée,,,,,,Oui,Non,Excellent état,189 m²,,,,,559.000 €,,1,1,37 m²,,,,,,Oui,Connecté,Oui,,Sud-est,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Oui,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Oui,,,,,,,,32,,,,,
36,,,,,3,,,,3,1,,446 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Zone non inondable,,,Non,"Tervuursevest 356
3000 - Leuven",,Équipée,,Oui,,Non,Oui,Non,Non,,160 m²,Non,,,Gaz,402.653 €,,,,,14 m²,,,,,,Non connecté,Non,,,,Non,8 m,,,Oui,Non,,,,,,,,,,,,,,,,Non,Non,,11 m,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,120 m²,,,,,,,,,11 m²,,,
37,Non,"nl :
Bezoeken vanaf zaterdag 9 oktober 2021 tot en met zaterdag 13 november 2021. ZONDER AFSPRAAK - op woensdagen van 14u tot 16u en op zaterdagen van 10u tot 12u",Immédiatement,3,,661 kWh/m²,,,F,,,,20210909-0002461996-RES-1,Non communiqué,Non communiqué,Non,Non,,396 €,Non,"L.E. van Arenbergplein, 8
3001 - Heverlee",Baudouin Benoit BLEECKX,,,,,,,,,Zone non inondable,150.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Non,"nl :
Bezoeken vanaf woensdag 18 augustus 2021 tot en met zaterdag 25 september 2021. ZONDER AFSPRAAK - op woensdagen van 14u tot 16u en op zaterdagen van 10u tot 12u",Immédiatement,3,4,669 kWh/m²,,,F,,,,20210713-0002441579-RES-1,Non communiqué,Non communiqué,Non,Non,,914 €,Non,"L.E. van Arenbergplein, 8
3001 - Heverlee",Eva VANHERLE,,,,,,,,,Zone non inondable,195.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,Après la signature de l’acte,4,,,Oui,3,2,,7800 m²,180 kWh/m²,B,20210707-0002438920-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,2.880 €,Non,,,Équipée,2,Non,,Non,Oui,Oui,Oui,À rafraîchir,165 m²,Non,,,Gaz,496.000 €,,1,1,40 m²,15 m²,14 m²,14 m²,10 m²,,Oui,Connecté,Oui,3000 m²,Sud,Sud,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,40 m²,"Oui, conforme",Non,,,165 m²,1,1,,50 m²,35 m²,,,,,Oui,,
40,,,,,3,,,,2,,,,135 kWh/m²,B,20200610-0002278870-RES-1,Non communiqué,Non communiqué,,,,,Oui,"Vanderkelenstraat, 22
3000 - Louvain",,Équipée,,,,,Oui,,,Bon,264 m²,Non,,Non,Gaz,819.000 €,20515 - 1441476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,À définir,3,,Oui,,3,1,Oui,850 m²,128 kWh/m²,B,20210927-0000361573-RES-3,Non communiqué,Non communiqué,Oui,Zone non inondable,,1.264 €,Non,,2005,Équipée,2,Non,,Non,Oui,Oui,Non,Excellent état,200 m²,Non,,,Gaz,529.000 €,,,2,,16 m²,20 m²,16 m²,12 m²,,Oui,Connecté,Oui,600 m²,Sud,Sud,Non,12 m,,,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,,12 m,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,70 m²,,Non,,,,,,,,,,,,,Oui,,
42,,,,À définir,3,,Oui,Oui,3,1,,130 m²,266 kWh/m²,C,20140430-0001571184-00000011-0,Non communiqué,Non communiqué,,Zone non inondable,,740 €,Non,,,Équipée,2,Non,Oui,Non,Oui,,Non,Excellent état,,Non,,,Gaz,385.000 €,,1,2,,,,,,,Non,,Oui,239 m²,Sud-ouest,Sud-ouest,Non,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Toutes sortes,,,,,35 m²,,,,,,,,,,,,,,,,,
43,,,,Après la signature de l’acte,4,,,,4,1,,470 m²,342 kWh/m²,D,20201104-0002334093--RES-1,Non communiqué,Non communiqué,,,,642 €,Non,"Herbert Hooverplein 14
3000 - Leuven",,Pas équipée,1,,,Oui,Oui,Non,Non,À rénover,120 m²,Non,,,Mazout,299.950 €,4393631,1,3,,,,,,,,Connecté,Non,,,,,13 m,,,,,,,,,,,,,,,,,,,,,,,37 m,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,
44,,,,,3,,Oui,,2,2,,65 m²,524 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,582 €,Non,"Tervuursesteenweg 353
3001 - Heverlee",,Semi-équipée,2,Non,,,Oui,,,Bon,140 m²,Non,,,Gaz,275.000 €,spir3120,1,1,,,,,,,Non,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,,,,,,,,,,,,,,,
45,,,,Après la signature de l’acte,2,,,,3,1,,360 m²,466 kWh/m²,E,20210809-0002449502-RES-1,Non communiqué,Non communiqué,,,,632 €,Non,"Naamsesteenweg 207
3001 - Heverlee",,Équipée,2,,,,Oui,,,Bon,145 m²,,,,Mazout,369.000 €,4521568,1,3,33 m²,16 m²,20 m²,14 m²,11 m²,,,Connecté,Oui,120 m²,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,10 m,,,,40 m²,,,,,,,,,20 m²,45 m²,,,,,,,
46,,,,Immédiatement,3,,,Oui,2,,Oui,9900 m²,663 kWh/m²,F,20140520-0001596495-00000006-2,Non communiqué,Non communiqué,,Zone non inondable,,,Non,"Brusselsestraat 41
3000 - Leuven",,Pas équipée,1,,Oui,,,Non,Non,À rénover,112 m²,,,,Gaz,294.000 €,4370898,,6,,16 m²,16 m²,16 m²,,,,,Non,9900 m²,,,,4.3 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,5.1 m,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,1,,,,,,,,,,
47,,,,Après la signature de l’acte,2,,,,3,1,,197 m²,218 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Vismarkt 10 c
3000 - Leuven",,Équipée,1,,,,Oui,,,Bon,102 m²,Non,,Non,Gaz,325.000 €,2711 - 2991896,2,,21 m²,14 m²,15 m²,12 m²,,,,,,105 m²,Nord-est,,,,,,,,,,,,,,,,,,,,,,,,,,3.81 m,,,,15 m²,,,,,,,,,,,,,,,,,
48,,,,,,,,,2,1,,64 m²,253 kWh/m²,C,20210430-0002409211,Non communiqué,Non communiqué,,,,,Non,"Vanderkelenstraat, 22
3000 - Louvain",,Équipée,2,,Oui,,Oui,,,Fraîchement rénové,114 m²,Non,,Non,Gaz,319.000 €,20513 - 1441477,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 janvier 2022 - 00:00,,,,,,,,,,,,,,
