,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Salles de bains,Salles de douche,Toilettes,Bureau,Espace professionnel,Surface du grenier,Isolé,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Disponible le,Quartier ou lieu-dit,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Adresse,Référence externe,Parkings intérieurs,Surface habitable,Combien de feux ouverts ?,Buanderie,Surface de bureau,Cave,Jardin,Terrasse,Attestation as-built,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Site internet,Grenier,Visite virtuelle,Surface de la chambre 5,Surface constructible totale au sol,Salon,Procédure pour violation de la réglementation urbanistique,Surface de la cave,Surface de l'espace professionnel,Nom de l'agent,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nombre d'annexes,Obligation de construire,Charges mensuelles,Niveau E (performance énergétique globale),Description libre du PEB
123,Après la signature de l’acte,2006,Excellent état,7 m,2,1,,42 m²,,Américaine équipée,,4,16 m²,16 m²,17 m²,17 m²,Oui,1,,2,Oui,Oui,75 m²,Oui,Non,Non,282 m²,Non,Non,Oui,Non,,Connecté,Oui,200 m²,Sud-ouest,35 m²,Sud-ouest,,,,,,,,,,,,124 kWh/m²,B,20210903012906,Non communiqué,Non communiqué,Gaz,Non,Non,Non,Oui,Oui,Zone non inondable,395.000 €,875 €,Non,,,,,,,,1,225 m²,,Oui,23 m²,,,,,,,,,,,,,,,,,Toutes sortes,,,,,,,,,
124,Après la signature de l’acte,2008,Bon,14 m,3,1,,38 m²,,Équipée,11 m²,3,22 m²,16 m²,16 m²,,,1,1,2,Oui,,,,Non,,1300 m²,,,,,14 m,,Oui,1100 m²,Sud,17 m²,,,,,,,,,,,,,132 kWh/m²,B,20210914002580,28 kg CO₂/m²,27862 kWh/an,Gaz,,,,,Oui,Zone non inondable,450.000 €,1.143 €,Non,,,Oui,,Non,"Place Albert 1er 9
5081 - Saint-Denis-Bovesse",,,207 m²,,,42 m²,,,,Non,,,1244 - 202518,,,,,,,,,,,,,,,,,,,
125,À définir,,Excellent état,,,,,Hyper équipée,,6,,9 m²,11 m²,21 m²,10 m²,12 m²,2,,,Oui,,,,,636 m²,,Connecté,,,,,,Oui,Oui,,Oui,,94 kWh/m²,,,,,,,,,,,,B,20201211503470,Non communiqué,Non communiqué,Gaz,Non,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,"Ch. de Charleroi 95
1360 - Thorembais-St-Trond",,,,,,,,,40 m²,,,,,Sud,Sud,,,395.000 €,,Non,169 m²,Non,,,,,,,,,,,,,,,,
126,À définir,,Bon,,,,,Équipée,,9 m²,2,15 m²,14 m²,Non,,,1,,,Oui,,,,,70 m²,,Connecté,,,,,,Oui,6 m²,,,Sud-est,396 kWh/m²,,,,,,,,,,,,E,20140204018953,Non communiqué,Non communiqué,Mazout,Non,Oui,,,,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",1.011 €,Non,"Ch. de Charleroi 95
1360 - Thorembais-St-Trond",,,,,,,,,28 m²,,,,Oui,,,,,229.000 €,,Non,161 m²,,,,,,,,,,,,,,,,,
127,Après la signature de l’acte,,À rénover,,4,,,,,,,11,,,,,,5,,,,,,,Non,,10250 m²,,,,,,,Oui,,,,,,,,,,,,,,,,186 kWh/m²,C,20201207002943,34 kg CO₂/m²,78974 kWh/an,Gaz,,,,,,Zone non inondable,1.620.000 €,1.250 €,Non,20 janvier 2022 - 00:00,,Oui,,Non,"Chaussée de Louvain 433
1380 - Lasne",,,1500 m²,,,,,,,,,Zone agricole,4507793,,,,,,,,,,,,,,,,,,,
128,Après la signature de l’acte,2021,,,3,2,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,3,,,,,,1,,2,,,,,,,230 m²,,,,,,,Oui,,,,,,,,,Oui,,,,,,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,325.000 €,,,,,,,,"Rue de l'école 7
5575 - Patignies",,,,,,,,,Oui,,,,Florence Hotton,,,,,,,,,,,,,,,,,,,
129,Après la signature de l’acte,,Bon,,,,,Oui,Équipée,11 m²,3,18 m²,14 m²,7 m²,1,,,17 m²,,,,,,,570 m²,,Oui,,,,,,,Oui,,Oui,,,,,,,,,,,,,,G,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,,,,275.000 €,,Non,,"Venelle de la réserve 2
1300 - Wavre",,,,,,5264 - 5023,,1,33 m²,,,,,Sud-ouest,701 kWh/m²,Mazout,,,,,133 m²,,,,,Non,,,,,,,,,,,,
130,Après la signature de l’acte,,Fraîchement rénové,7.5 m,3,2,,15 m²,Oui,Américaine hyper-équipée,7 m²,2,16 m²,10 m²,,,,1,1,1,,,,,Non,,225 m²,,,,,,Connecté,Oui,100 m²,,25 m²,,,Non,Oui,,,,,,,Non,,444 kWh/m²,F,20190704007908,111 kg CO₂/m²,43819 kWh/an,,,,,,Oui,Zone non inondable,Faire offre à partir de 219.000 €,485 €,Non,,,,Non,Non,"Place Communale 7A
6230 - Pont-à-celles",,1,100 m²,,,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",4405842,Oui,,,90 m²,,Non,,,,,,,,,,,,,
131,,,Bon,,4,,,40 m²,,Équipée,10 m²,2,14 m²,13 m²,,,,1,,,Oui,,,,Non,,1207 m²,,,,,,,Oui,,,,,,,,,,,,,,,,425 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Mazout,,,,,Oui,,300.000 €,,Non,,,,,,"Venelle de la réserve 2
1300 - Wavre",,,160 m²,,,15 m²,,,Oui,Non,,,4969 - 4866,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,,Brabant wallon,,,,"Avenue Reine Astrid 65
1300 - Wavre",,,,,,,,,,,,,4411086,,,,,,,,,,,,,,,,,,,
