,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Salles de bains,Salles de douche,Toilettes,Bureau,Espace professionnel,Surface du grenier,Isolé,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Disponible le,Quartier ou lieu-dit,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Adresse,Référence externe,Parkings intérieurs,Surface habitable,Combien de feux ouverts ?,Buanderie,Surface de bureau,Cave,Jardin,Terrasse,Attestation as-built,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Site internet,Grenier,Visite virtuelle,Surface de la chambre 5,Surface constructible totale au sol,Salon,Procédure pour violation de la réglementation urbanistique,Surface de la cave,Surface de l'espace professionnel,Nom de l'agent,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nombre d'annexes,Obligation de construire,Charges mensuelles,Niveau E (performance énergétique globale),Description libre du PEB
0,Après la signature de l’acte,1930,Fraîchement rénové,6 m,3,2,"Zone d'habitat (résidentiel, urbain ou rural)",19 m²,Oui,Hyper équipée,10 m²,4,14 m²,13 m²,13 m²,13 m²,Oui,1,1,3,Non,Non,12 m²,Oui,Non,Non,174 m²,Non,Non,Non,Oui,10 m,Connecté,Oui,57 m²,Sud-ouest,10 m²,Sud-ouest,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,100 kWh/m²,B,20210810016997,20 kg CO₂/m²,20367 kWh/an,Gaz,Non,Non,Non,Oui,Oui,Zone non inondable,450.000 €,761 €,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À la livraison,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,2022,Non communiqué,Non communiqué,,,,,,,Zone non inondable,,,Non,1 décembre 2022 - 00:00,Brabant Wallon,Oui,Non,Non,"Avenue Reine Astrid, 92
1310 - La Hulpe",4323008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,1920,,,4,5,,,,Pas équipée,,8,,,,,,4,,4,Oui,,,,Non,,1500 m²,,,,,,,Oui,,Sud-ouest,,,,,,,,,,,,,,329 kWh/m²,D,20210503009985,82 kg CO₂/m²,188555 kWh/an,Mazout,,,,,,,650.000 €,5.347 €,Non,,,Oui,,Non,"Avenue Albert Ier, 304
1332 - Genval",,3,350 m²,3,Oui,40 m²,Oui,Oui,Oui,Non,"Oui, conforme","Zone d'habitat (résidentiel, urbain ou rural)",5496 - 2286266,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,1970,À rafraîchir,20 m,4,5,,83 m²,,,50 m²,5,28 m²,20 m²,14 m²,13 m²,,3,,1,Oui,,,,,,5558 m²,,,,,,Connecté,Oui,5378 m²,,40 m²,,,Non,,,Oui,,,,,,,Non communiqué,A++,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,1.090.000 €,,Non,,,,,,"Av. Albert 1er 2a
1342 - Ottignies (Limelette)",,2,280 m²,1,,16 m²,Oui,,,,,,W6595,Oui,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,2011,,,3,2,Urbain,35 m²,,Hyper équipée,9 m²,4,16 m²,14 m²,12 m²,20 m²,,1,,2,,,,,Non,,521 m²,,,,,,Connecté,Oui,400 m²,,,,,,,,,,,,,,,169 kWh/m²,B,20120313032716,32 kg CO₂/m²,25086 kWh/an,Gaz,,,,,Oui,,375.000 €,1.357 €,Non,,Brabant Wallon,,,,"Rue de Rixensart 77
1332 - Genval",,1,185 m²,,,,,,Oui,,,,4454282,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,1954,À rénover,,4,1,,Oui,Semi-équipée,8 m²,3,16 m²,16 m²,12 m²,1,,,2,,Oui,,,,,772 m²,,Oui,,,,,,,Oui,,Oui,,,,,,,,,,,,,,G,20210423018856,Non communiqué,Non communiqué,Non,350.000 €,,,,,,,1.658 €,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",,,,,,335 - 3391277,,1,30 m²,,,,Non,Sud-est,585 kWh/m²,Mazout,,,,,133 m²,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,1850,À rafraîchir,,3,5,,21 m²,Oui,Hyper équipée,21 m²,5,10 m²,14 m²,15 m²,16 m²,,2,,2,Oui,,,,Non,,1012 m²,,,,,,Connecté,Oui,,,24 m²,,,Non,,,Oui,,,,,Non,,333 kWh/m²,D,20210908027673,61 kg CO₂/m²,77595 kWh/an,Gaz,,,,,Oui,Zone non inondable,520.000 €,1.036 €,Non,,,,,,"Place Albert 1er, 20
1300 - Limal",,,190 m²,,,7 m²,Oui,,,,,,4520233,Oui,,20 m²,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,2010,Bon,,2,2,,33 m²,,Hyper équipée,6 m²,4,14 m²,16 m²,15 m²,13 m²,,3,1,3,Oui,,,,Non,,152 m²,,,,,,Connecté,Oui,,,17 m²,,,,,,,,,,,,,159 kWh/m²,B,20210823016325,30 kg CO₂/m²,31261 kWh/an,Gaz,,,,,Oui,Zone non inondable,449.000 €,1.333 €,Non,,,,,Non,"Place Albert 1er, 20
1300 - Limal",,,160 m²,,,12 m²,Oui,,,,,,4451492,,,,160 m²,,,,,,,,,,,,,,,
8,Après la signature de l’acte,1830,À rafraîchir,,3,,,,Oui,,,4,,,,,Non,1,3,4,Oui,,,,Non,Non,2538 m²,Non,Non,Non,Oui,,Connecté,Non,,,,,Oui,Non,Oui,Non,Oui,,Non,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,Non,Non,Non,Oui,,749.000 €,2.196 €,Non,,,Oui,Non,Oui,"Drève Richelle, 118
1410 - Waterloo",,,300 m²,1,,75 m²,,,Oui,Non,"Oui, conforme",,5898709,,,,320 m²,Oui,Non,,,,,,,,,,,,,
9,À définir,2021,,,2,1,,48 m²,,Équipée,,3,,,,,,1,1,3,,,,,Non,,215 m²,,,,,,,Oui,146 m²,Est,,,,Oui,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,375.000 €,,Non,31 décembre 2022 - 00:00,,,,,"Grand' Route 69 A
1435 - Corbais",,,199 m²,,,,Oui,,,Non,,,8565 - 4443,,,,,,,,,,,,,,,,,,,
10,À définir,2020,,,2,1,,48 m²,,Équipée,,3,,,,,,1,1,3,,,,,Non,,220 m²,,,,,,,Oui,150 m²,Est,,,,Oui,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,410.000 €,,Non,31 décembre 2022 - 00:00,,,,,"Grand' Route 69 A
1435 - Corbais",,,199 m²,,,,Oui,,,Non,,,8566 - 4443,,,,,,,,,,,,,,,,,,,
11,À définir,2021,,,,1,,48 m²,,Équipée,,3,,,,,,1,1,3,,,,,Non,,173 m²,,,,,,,Oui,,Est,,,,Oui,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,410.000 €,,Non,31 décembre 2022 - 00:00,,,,,"Grand' Route 69 A
1435 - Corbais",,,199 m²,,,,Oui,Oui,,Non,,,8564 - 4443,,,,,,,,,,,,,,,,,,,
12,Après la signature de l’acte,2021,,,3,1,,50 m²,,Américaine hyper-équipée,,3,15 m²,12 m²,11 m²,,,1,1,2,,,,,Non,,,,,,,,Connecté,Oui,,,42 m²,,,Oui,,,,,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,430.000 €,,Non,,,,,,"Place Albert 1er, 20
1300 - Limal",,1,155 m²,,,,,,,,,,4509139,,,,,,,,,,,,,,,,,,,
13,,,Excellent état,,,1,,35 m²,,Hyper équipée,9 m²,3,18 m²,12 m²,10 m²,,Non,,1,2,,,,,Non,,1114 m²,,,,,,Connecté,Oui,1114 m²,Sud,10 m²,,,,,,,,,,,,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,,,Oui,,491.000 €,,Non,1 mars 2023 - 00:00,,Oui,,,"Rue Du Bosquet 3
1348 - Louvain-La-Neuve",,,188 m²,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,
14,Après la signature de l’acte,2011,Excellent état,,4,5,,60 m²,,Hyper équipée,29 m²,4,26 m²,22 m²,21 m²,28 m²,,2,,4,Oui,,,,Non,,1388 m²,,,,,,,,1388 m²,,40 m²,,,Non,Non,Oui,Oui,,Oui,,,Non,,247 kWh/m²,C,20210910009600,Non communiqué,45 kWh/an,Gaz,,,,,Oui,,1.085.000 €,4.856 €,Non,7 décembre 2021 - 00:00,,,,,"Avenue de Mérode , 4
1330 - Rixensart",4496404,1,388 m²,,,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
15,À définir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,,,,,,"Rue Du Bosquet 3
1348 - Louvain-La-Neuve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Après la signature de l’acte,,Bon,10 m,3,,,,Oui,Semi-équipée,8 m²,3,17 m²,11 m²,5 m²,,Non,1,,2,Non,Non,45 m²,,Non,Non,318 m²,Non,Non,Non,Oui,,Connecté,Oui,200 m²,Sud-est,10 m²,Sud-est,,,,,,,,,,,,559 kWh/m²,G,20140327010065,Non communiqué,Non communiqué,Gaz,Non,Non,Non,Oui,Oui,Zone non inondable,319.500 €,813 €,Non,,,,,,,,,137 m²,,Oui,,,,,,,,,,,,,,,21 m²,,,,,,,,,,,,
17,Après la signature de l’acte,2001,Excellent état,,4,8,,65 m²,,,,4,,,,,,4,,1,Oui,,,,,,12500 m²,,,,,,,,,,,,,,,,,,,,,,,235 kWh/m²,C,20210628019966,Non communiqué,94654 kWh/an,Mazout,,,,,,,1.490.000 €,,Non,,,,,,"Av. de Broqueville, 57 Bte 18
1200 - Bruxelles",649/1837,1,320 m²,1,,38 m²,Oui,,Oui,,,,,Oui,,,,,,,38 m²,,,,,,,,,,,
18,Après la signature de l’acte,1960,À rénover,9 m,4,1,"Zone d'habitat (résidentiel, urbain ou rural)",24 m²,,Pas équipée,,4,15 m²,15 m²,12 m²,12 m²,,1,,1,Oui,,30 m²,,Non,,457 m²,,,,Oui,,Connecté,Oui,,,,,,,,,,,,,,,,459 kWh/m²,F,20211007694,84 kg CO₂/m²,Non communiqué,Gaz,,,,,Oui,Zone non inondable,345.000 €,,,,,,,,"Avenue Pasteur 6
1300 - Wavre",,1,155 m²,,,8 m²,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Thomas Grosjean,,,,,,,80 m²,,,,,,,,,,,,
19,À la livraison,2020,Excellent état,,3,,Isolé,45 m²,,,,3,12 m²,12 m²,12 m²,,,2,,3,,,,,,,258 m²,,,,,,Connecté,,258 m²,,27 m²,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,385.000 €,,Non,,Brabant Wallon,Oui,,,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",,,199 m²,,,,,,,,,,4330444,Oui,,,,,,,,,,,,,,,,,,
20,À la livraison,2020,Excellent état,,3,,Isolé,45 m²,,,,3,12 m²,12 m²,12 m²,,,2,,3,,,,,,,258 m²,,,,,,Connecté,,258 m²,,27 m²,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,385.000 €,,Non,,Brabant Wallon,Oui,,,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",,,199 m²,,,,,,,,,,4290305,Oui,,,,,,,,,,,,,,,,,,
21,Après la signature de l’acte,2005,Bon,6 m,3,3,,,,,,3,22 m²,13 m²,12 m²,,,1,,2,Oui,Oui,,,Non,,550 m²,Oui,,,,9 m,Connecté,Oui,,Sud-est,30 m²,Sud-est,,,,,,,Oui,,,,,147 kWh/m²,B,20210723005215,27 kg CO₂/m²,Non communiqué,Gaz,,,,,Oui,,375.000 €,1.575 €,,,,Oui,,Non,"Rue Raymond Lebleux
1428 - Lillois",,1,160 m²,,Oui,10 m²,,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,,10 m²,LION Jonathan,,,,,,,,,,
22,Après la signature de l’acte,1972,À rafraîchir,,4,3,,,Oui,Semi-équipée,17 m²,3,14 m²,10 m²,9 m²,,,2,,2,Oui,,,,Non,,3295 m²,,,,,,,,,,14 m²,,,,,,,,,,,,,350 kWh/m²,E,20210929012025,Non communiqué,Non communiqué,Mazout,,,,,Oui,,725.000 €,3.353 €,Non,,,,,,"Grand' Route 3
1435 - Mont Saint-Guibert",9008 - 354914,3,170 m²,1,,,Oui,,,Non,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,
23,À définir,,Bon,,,,,24 m²,,Équipée,9 m²,3,11 m²,13 m²,16 m²,,Non,,,2,,,,,Non,,700 m²,,,,,,Connecté,Oui,,Ouest,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,,,Oui,,435.000 €,,Non,,,,,,"rue de Genval 7a Bt 5
1310 - La Hulpe",,1,150 m²,,,,Oui,Oui,,,,,,Oui,,,,,,,,,,,,,,,,,,
24,Après la signature de l’acte,,À rénover,,3,1,,30 m²,,,5 m²,3,9 m²,13 m²,16 m²,,,1,,2,,,27 m²,,Non,,240 m²,,,,Oui,,Connecté,Oui,,,,Sud-est,,,,,,,,,,,,352 kWh/m²,E,20160608006025,Non communiqué,Non communiqué,Mazout,,,,,Oui,,275.000 €,751 €,,,,,,,"Rue de la Gare 12B
1495 - Marbais",,,110 m²,1,,,,,,,,,,,,,,,,14 m²,,Wuyts julie,,,,,,,,,,
25,Immédiatement,1995,À rafraîchir,,4,15,Pays,,Oui,Semi-équipée,,5,,,,,Non,1,1,2,Oui,Oui,,,Non,Non,5000 m²,Non,Non,Oui,Oui,,Connecté,Oui,3500 m²,Sud,100 m²,,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,317 kWh/m²,D,20211002003261,Non communiqué,127083 kWh/an,Mazout,Non,Non,Non,Oui,Oui,Zone non inondable,1.250.000 €,3.129 €,Non,,,Oui,,,,,2,300 m²,1,,,Oui,,,,,,,,,,,Oui,Non,,,,Toutes sortes,,,,,,,,,
26,Selon le locataire,1965,À rafraîchir,15 m,4,1,Isolé,Semi-équipée,,10 m²,3,10 m²,13 m²,15 m²,1,,,1,,6 m²,,,Non,,712 m²,,25.52 m,,,,,Connecté,Oui,597 m²,26 m²,,577 kWh/m²,,,,,,,,,,,,,G,20210202013245,1052 kg CO₂/m²,99079 kWh/an,Gaz,Oui,,,,,Oui,,1.826 €,Non,"Place Communale 8
1160 - Auderghem",,Brabant Wallon,115 m²,Non,"Zone d'habitat (résidentiel, urbain ou rural)",4447717,,1,33 m²,,,,,,,,,325.000 €,,,127 m²,,Oui,,,18 m²,,,,,,,,,,,,
27,Après la signature de l’acte,1990,Bon,14 m,4,2,Isolé,Équipée,,11 m²,3,23 m²,10 m²,12 m²,1,,,2,,10 m²,12 m²,,878 m²,,,,20.48 m,,,,,Connecté,Oui,775 m²,1 m²,,Oui,,,,,,265 kWh/m²,,,,,,,D,20210816015262,49 kg CO₂/m²,52990 kWh/an,Gaz,Oui,,,,,Oui,,1.866 €,Non,"Place Communale 8
1160 - Auderghem",,Brabant Wallon,103 m²,Non,"Zone d'habitat (résidentiel, urbain ou rural)",4447203,,1,30 m²,,,Oui,,,,,,410.000 €,,,147 m²,,Oui,,,,,,,,,,,,,,,
28,Après la signature de l’acte,1978,Bon,10 m,4,2,Isolé,Semi-équipée,,15 m²,4,17 m²,18 m²,19 m²,16 m²,1,,1,4,13 m²,40 m²,,Oui,,,416 kWh/m²,16 m,,,,,Connecté,Oui,674 m²,32 m²,,Oui,,,,,,,,,,,,,E,20210523004385,962 kg CO₂/m²,121193 kWh/an,Gaz,Oui,,,,,Oui,,Non,,"Place Communale 8
1160 - Auderghem",,Brabant Wallon,150 m²,Non,"Zone d'habitat (résidentiel, urbain ou rural)",4358161,,1,60 m²,,,Oui,,,,,,520.000 €,,,243 m²,,Oui,,,6 m²,9 m²,,,,,,,,,,,
29,Après la signature de l’acte,,Bon,8 m,4,1,,Oui,1,13 m²,3,28 m²,13 m²,8 m²,1,,,1,1,8 m²,20 m²,,,,285 m²,,8.1 m,,,,,Oui,,90 m²,Est,20 m²,Oui,,,,,,694 kWh/m²,,,,,,,G,20210519010487,127 kg CO₂/m²,109242 kWh/an,Non,Oui,,,,,350.000 €,,Non,,"Venelle de la réserve 2
1300 - Wavre",,,,,,5534 -,,,61 m²,Américaine semi-équipée,,Oui,,,,Gaz,,,,,142 m²,,,,,Non,,,,,,,,,,,,
30,Après la signature de l’acte,1850,À rafraîchir,,3,5,,21 m²,Oui,Hyper équipée,21 m²,5,10 m²,14 m²,15 m²,16 m²,,2,,2,Oui,,,,Non,,1012 m²,,,,,,Connecté,Oui,,,24 m²,,,Non,,,Oui,,,,,Non,,333 kWh/m²,D,20210908027673,61 kg CO₂/m²,77595 kWh/an,Gaz,,,,,Oui,Zone non inondable,520.000 €,1.036 €,Non,,,,,,"Place Albert 1er, 20
1300 - Limal",,,190 m²,,,7 m²,Oui,,,,,,4526682,Oui,,20 m²,,,,,,,,,,,,,,,,
31,À définir,,Excellent état,,,1,,Hyper équipée,,8 m²,3,15 m²,14 m²,10 m²,Non,,2,,,Oui,,,,,1270 m²,,Connecté,,,,,,Oui,1270 m²,Ouest,114 kWh/m²,,,,,,,,,,,,,,B,RWPEB-065830,Non communiqué,Non communiqué,Gaz,Non,Oui,,,,415.476 €,,Non,,"Avenue Louise 251 (6ième étage)
1000 - Bruxelles",,,,,,,,1,33 m²,,,,,,,,,,,Non,131 m²,,,,,,,,,,,,,,,,,
32,,1976,Bon,,4,2,,1,,6,,2,,,,,,3,,Non,,,,,1200 m²,,Oui,,,,,,,Oui,,40 m²,402 kWh/m²,,,,,,,,,,,,,E,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,,,,500.000 €,,3.094 €,Non,"Venelle de la réserve 2
1300 - Wavre",,,,,,4805 - 2880,,,45 m²,Équipée,,,,Sud,,Mazout,,,,,275 m²,,,,,,,,,,,,,,,,,
33,,,Bon,,4,,,18 m²,Oui,Équipée,23 m²,4,56 m²,28 m²,12 m²,8 m²,,2,,2,,,,,Non,,3200 m²,,,,,,,Oui,,Sud-ouest,40 m²,,,,,,,,,,,Oui,,Non communiqué,F,Non communiqué,Non communiqué,Non communiqué,Mazout,,,,,Oui,,650.000 €,,Non,,,,,,"Venelle de la réserve 2
1300 - Wavre",,3,200 m²,,,,,Oui,,Non,,,5476 - 5136,,,,,,,89 m²,,,,,,,,,,,,
34,Après la signature de l’acte,,Bon,,4,3,,40 m²,,Hyper équipée,,5,,,,,Non,1,1,2,Oui,Oui,,,Non,Non,900 m²,Oui,Non,Non,Non,,Connecté,Oui,500 m²,,40 m²,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non communiqué,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Non,Non,Oui,Oui,,520.000 €,,Non,,,,,,,,2,250 m²,1,Oui,8 m²,,,,,,,,,,,,,,100 m²,,,Toutes sortes,,,,,,,,,
35,,1918,Bon,,3,2,,18 m²,,Semi-équipée,,2,16 m²,10 m²,,,,1,,1,,,,,Non,,646 m²,,,,,9.92 m,,Oui,421 m²,Ouest,88 m²,,,,,,,,,,,,,419 kWh/m²,E,20200626006906,80 kg CO₂/m²,37264 kWh/an,Gaz,,,,,Oui,,325.000 €,,Non,,,,,,"Place Albert 1er 9
5081 - Saint-Denis-Bovesse",,,115 m²,,,,Oui,,,Non,,,1235 - 202510,,,,,,,,,,,,,,,,,,,
36,À la livraison,2022,Excellent état,7.7 m,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",49 m²,,,,3,12 m²,12 m²,11 m²,,,2,2,2,,,,,,,,,,,,,Connecté,Oui,215 m²,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,Zone non inondable,375.000 €,,Non,30 décembre 2022 - 00:00,Brabant Wallon,,,,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",,,199 m²,,,,,,Oui,,,,4358448,Oui,,,,,,,,,,,,,,,,,,
37,À la livraison,2022,,7.96 m,3,1,"Zone d'habitat (résidentiel, urbain ou rural)",49 m²,,,,3,12 m²,12 m²,11 m²,,,2,2,2,,,,,,,,,,,,,Connecté,Oui,220 m²,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,410.000 €,,Non,30 décembre 2022 - 00:00,Brabant Wallon,,,,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",,,199 m²,,,,,,Oui,,,,4359157,Oui,,,,,,,,,,,,,,,,,,
38,À définir,1988,Bon,12 m,4,1,Urbain,Semi-équipée,,10 m²,3,17 m²,13 m²,14 m²,2,,,2,2,Non,,,,,752 m²,,20.65 m,,,,,Connecté,Non,676 m²,60 m²,,Non,,,Non,Oui,,Oui,,,,,459 kWh/m²,,F,20210227004335,Non communiqué,57644 kWh/an,"Oui, conforme",Oui,,,Oui,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",2.025 €,Non,"Place Communale 8
1160 - Auderghem",31 janvier 2022 - 00:00,Brabant Wallon,76 m²,Non,Non,4373154,,1,32 m²,,,,,,,Électrique,,440.000 €,,,120 m²,,Oui,,Zone non inondable,,,,,,,,,,,,,
39,À définir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Zone non inondable,,,Non,,,Oui,Oui,Non,"Rue Du Bosquet 3
1348 - Louvain-La-Neuve",,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,
40,À définir,1962,,,4,3,,34 m²,,Semi-équipée,12 m²,3,12 m²,18 m²,18 m²,,,1,,1,Oui,,,,Non,,1044 m²,,,,,,Connecté,Non,,,,,,,,,,,,,,,,609 kWh/m²,G,20210922020105,152 kg CO₂/m²,84990 kWh/an,Mazout,,,,,,Zone non inondable,360.000 €,2.109 €,Non,,,,,,"Place Albert 1er, 20
1300 - Limal",,1,130 m²,,,8 m²,Oui,,Oui,,,,4518755,Oui,,,,,Non,,,,,,,,,,,,,
41,1,,,,,,,,3,1,,613 m²,,,,,,453 kWh/m²,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,20211002001932,Non communiqué,42478 kWh/an,"Zone d'habitat (résidentiel, urbain ou rural)",210.000 €,,,,,,,,,"Square Ambiorix, 5
1000 - Bruxelles ville",Rosalie MARCHANT,,,,,,,,Oui,,,,,,,,,,1.383 €,,,Oui,,,Équipée,,,,,,Non,"lun. 11-25/10, mercr. 20/10, sam. 9-16-23-30/10 de 14-16h. MASQUE OBLIGATOIRE.",Après la signature de l’acte,Non,,,,,
42,À définir,,Excellent état,,,,,,,Hyper équipée,,3,,,,,Non,,,1,,,,,Non,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,,,Oui,,549.000 €,,Non,,,,,,"Rue Du Bosquet 3
1348 - Louvain-La-Neuve",,,180 m²,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
43,À définir,,Excellent état,,,,,,,Équipée,,3,,,,,Non,,,1,,,,,Non,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,,,595.000 €,,Non,,,,,,"Rue Du Bosquet 3
1348 - Louvain-La-Neuve",,,221 m²,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
44,Après la signature de l’acte,1958,Bon,,4,8,,,,Hyper équipée,,7,,,,,Oui,3,2,4,Oui,Oui,,,Non,,20000 m²,,,,,,,Oui,19000 m²,,200 m²,Sud-ouest,,,,Oui,Oui,,Oui,,,,,458 kWh/m²,F,20201125003255,Non communiqué,270783 kWh/an,Gaz,Oui,,,,Oui,,1.500.000 €,,,,,,,,"Rue Marché au Charbon 77
1000 - Bruxelles",,4,400 m²,1,Oui,140 m²,,,,,,,,Oui,,,,,,50 m²,100 m²,Paklons,,,,,,2,,,,
45,,1979,,,4,2,,50 m²,Oui,Équipée,,3,17 m²,12 m²,12 m²,,,1,1,3,,,,,Non,,822 m²,,,,,,,Oui,,Sud,,,,,,,Oui,,,,,,,214 kWh/m²,C,20210724005052,39 kg CO₂/m²,41229 kWh/an,Gaz,,,,,Oui,,Faire offre à partir de 418.000 €,1.544 €,Non,,,,,,"Chaussée de Louvain 244
1300 - Wavre",41833 - 20046/WAD,1,125 m²,1,,,Oui,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,
46,Après la signature de l’acte,1989,,,4,,,27 m²,,Équipée,8 m²,3,18 m²,12 m²,10 m²,,,1,,2,,,,,Non,,695 m²,,,,,,Connecté,Oui,,,16 m²,,,,,,Oui,,,,,,,413 kWh/m²,E,20210903007385,Non communiqué,53189 kWh/an,Gaz,,,,,Oui,,Faire offre à partir de 399.000 €,,Non,,,,,,"Avenue Reine Astrid 65
1300 - Wavre",,1,106 m²,,,,,,,,,,4455448,,,,,,,,,,,,,,,,,,,
47,,1958,,,4,10,,75 m²,Oui,Semi-équipée,16 m²,8,30 m²,30 m²,26 m²,20 m²,,4,1,,Oui,,,,Non,,20000 m²,,,,,,,Oui,,,80 m²,,,,,,,,,,,,,458 kWh/m²,F,20201125003255,116 kg CO₂/m²,270783 kWh/an,Mazout,,,,,,Zone non inondable,1.500.000 €,,Non,,,,,,"Chaussée de Louvain 244
1300 - Wavre",23515 - 19961/WQDL,5,520 m²,1,,55 m²,Oui,,,Non,,,,,,18 m²,,,,,,,,,,,,,,,,
