,À partir de,Quartier ou lieu-dit,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Surface constructible totale au sol,Type de zone inondable,Prix,Immeuble de rapport,Adresse,Site internet,Disponible le,Visite virtuelle,Permis de bâtir obtenu,Surface de la chambre 4,Surface de la chambre 5,Dressing,Cave,Grenier,Orientation du jardin,Type de chauffage,Pompe à chaleur,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Attestation as-built,Panneaux photovoltaïques,Panneaux solaires,Année de construction,Revenu cadastral,Buanderie,Informations supplémentaires,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Largeur de la façade à rue,Terrasse,Procédure pour violation de la réglementation urbanistique,Salon,Autorisation de lotissement,Droit d'achat prioritaire possible,Jardin,Largeur du terrain à rue,Surface de la cave,Référence externe,Bureau,Niveau E (performance énergétique globale),Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Chauffe-eau commun,Type de construction,Obligation de construire,Attestation de conformité des citernes à mazout,Combien de feux ouverts ?,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Surface de bureau,Description libre du PEB,Pourcentage loué,Revenu mensuel actuel,Surface de l'espace professionnel,Nombre d'annexes,Nom de l'agent,Charges mensuelles,Nom du bien,Isolé,Surface du grenier
68,Après la signature de l’acte,,Bon,3,1,,,260 m²,42 m²,,Équipée,,4,,,,1,1,2,Non,,,,Oui,3 m²,,,,,,,,416 kWh/m²,G,Non communiqué,82 kg CO₂/m²,Non communiqué,Oui,,,339.000 €,Non,"Avenue L. Mahillon , 58
1030 - Schaerbeek",,,,,,,,Oui,,,Gaz,,,Non,,,,,,,,,,,,,,,,,,,,3401 - 1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,2,,,,182 m²,34 m²,,Équipée,,4,21 m²,17 m²,16 m²,1,,2,Non,,,,,27 m²,,,,Oui,,,,518 kWh/m²,G,20210414-0000586756-01-4,102 kg CO₂/m²,Non communiqué,Oui,,,389.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",9476-1-1,,,,11 m²,,,Oui,,Ouest,,Non,,Non,Non,Non,1936,1.690 €,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,8 m²,,,,,,,,,,
70,,,,3,,,,232 m²,36 m²,,Équipée,,5,,,,1,2,3,Non,,,,,,38 m²,,,,,,,343 kWh/m²,F,20150616-0000284264-01-8,76 kg CO₂/m²,Non communiqué,Oui,,,475.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",9628,,,,,,,Oui,,,,Non,,Non,Non,Non,1930,1.856 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,2,,2,,500 m²,55 m²,,Équipée,,2,28 m²,15 m²,,1,1,3,Non,,,,,,18 m²,,,Oui,Oui,,,821 kWh/m²,G,20150623-000093101-01-6,248 kg CO₂/m²,Non communiqué,Oui,,,790.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",9974,,,,,,,Oui,,,Mazout,Non,,Non,Non,Non,1960,6.392 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Sud,,,,,,,,,,,,,,,,
72,,,,2,1,,,141 m²,28 m²,,Équipée,,3,18 m²,16 m²,12 m²,,1,1,Non,,,,,14 m²,13 m²,,,,,,,690 kWh/m²,G,20210726-0000593113-01-6,137 kg CO₂/m²,Non communiqué,Oui,,,369.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",8346,,,,,,,Oui,,Sud,,Non,,Non,Non,Non,1960,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,1,,,,,,,5 m²,,,,,,,,,,
73,,,,2,,,,190 m²,38 m²,,,,4,,,,1,,2,Non,,,,,192 m²,11 m²,,,,,,,464 kWh/m²,G,20210602-0000589959-01-1,93 kg CO₂/m²,Non communiqué,Non,,,415.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",9661-1-1,,,,,,,Oui,,Nord,,Non,,Non,Non,Non,1935,1.056 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
74,,,,2,,,,180 m²,32 m²,,Équipée,,4,16 m²,16 m²,15 m²,1,1,2,Non,,,,,15 m²,,,,,,,,390 kWh/m²,G,202104150000586850-01-2,78 kg CO₂/m²,Non communiqué,Oui,,,389.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",10045,,,,15 m²,,,Oui,,Sud,,Non,,Non,Non,Non,,1.166 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,2,1,,,190 m²,47 m²,Oui,Équipée,,3,22 m²,13 m²,13 m²,1,1,2,Non,,,,,94 m²,11 m²,,,,,,,232 kWh/m²,E,20210713-0000592585-01-4,56 kg CO₂/m²,Non communiqué,Oui,,,499.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",9580-1,,,,,,,,,Sud,Mazout,Non,,Non,Non,Non,,2.277 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
76,,,,2,,,,177 m²,30 m²,,Équipée,,2,,,,1,,1,Non,,,,,,15 m²,,,,,,,446 kWh/m²,G,20210509-TEST,89 kg CO₂/m²,Non communiqué,Oui,,,449.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",9771,,,,,,,,,,,Non,,Non,Non,Non,1960,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
77,,,,2,,,,170 m²,42 m²,,,,5,,,,1,1,2,Non,,250 m²,,,150 m²,30 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,475.000 €,Non,"Av. Henri Conscience 170
1140 - Evere",,,,,,,,,,,,Non,,Non,Non,Non,,1.900 €,,,,,,,,,,,,,,,,3266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
