,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Chambres,Salles de bains,Surface de bureau,Bureau,Cave,Grenier,Surface du terrain,Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Parkings intérieurs,Salon,Salle à manger,Dressing,Toilettes,Buanderie,Espace professionnel,Isolé,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Largeur de la façade à rue,Salles de douche,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Orientation de la terrasse,Obligation de construire,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Niveau E (performance énergétique globale),Disponible le,Surface de la cuisine,Surface de la cave,Surface du grenier,Largeur du terrain à rue,Attestation as-built,Visite virtuelle,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Permis de bâtir obtenu,Surface de la chambre 4,Surface de la chambre 5,Orientation du jardin,Nom de l'agent,Surface constructible totale au sol,Autorisation de lotissement,Revenu mensuel actuel,Site internet,Jardin,Description libre du PEB,Charges mensuelles,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Nombre d'annexes,Nom du bien,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
59,Après la signature de l’acte,,1910,Bon,2,,,222 m²,47 m²,,Équipée,4,2,,Oui,Oui,,330 m²,245 m²,Oui,327 kWh/m²,F,Non communiqué,65 kg CO₂/m²,Non communiqué,Gaz,Oui,715.000 €,1.777 €,Non,"Avenue du Hockey, 40
1150 - Woluwe-St-Pierre",,1,,,,3,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Sud-ouest,,,,,6279 - 4707,,,,,,,,,,,,,,,,,,,,
60,Après la signature de l’acte,Bruxelles (19 communes),,Excellent état,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",200 m²,35 m²,,,4,2,6 m²,Oui,,,268 m²,175 m²,,198 kWh/m²,D,593274,39 kg CO₂/m²,Non communiqué,,Oui,745.000 €,1.973 €,Non,"Oppemlaan, 32
1950 - Kraainem",,1,,,,3,,,,Non,,,,,,Connecté,,,,,,,,,15 m²,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,Zone non inondable,,,9 m²,,6 m²,,,,24 m²,16 m²,14 m²,Oui,,,,,,Non,,4496466,,,,16 m²,,,,,,,,,,,,,,,,
61,Selon le locataire,,,Bon,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,30 m²,,Américaine équipée,4,1,16 m²,Oui,,,250 m²,60 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,690.000 €,,Non,,,,,Oui,Non,3,Oui,Oui,,Non,Non,Oui,Non,Non,Non,Connecté,Oui,Non,Non,Non,Oui,Toutes sortes,,1,6 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,,20 m²,,,,,,16 m²,20 m²,20 m²,,14 m²,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,
62,À la livraison,,,,,,,,,,,,,,,,,,,,45 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Rue Defacqz 40
1050 - Ixelles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 décembre 2022 - 00:00,,,,,,,,,,,,,,,,,,4362393,,,,,,,,,,,,,,,,,,,,
63,Immédiatement,,,,,,,600 m²,300 m²,,,12,6,35 m²,Oui,,,3400 m²,2000 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,2.450.000 €,,Non,"Avenue Reine Astrid, 54
1410 - Waterloo",,,,,,8,,,,Non,,,,,,,,,,,,,,,100 m²,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,25377 - 111136048,,,,,,,,,,,,,,,,,,,,
64,Après la signature de l’acte,,1932,Bon,2,,"Zone d'habitat (résidentiel, urbain ou rural)",145 m²,,,,3,2,,,,,275 m²,210 m²,Oui,530 kWh/m²,G,20180614-0000529894-01-4,106 kg CO₂/m²,Non communiqué,Gaz,,410.000 €,706 €,Oui,"Rue Abbé Cuypers 3
1040 - Etterbeek",,,Oui,,,2,,,,,,,,,,,Oui,,,,,,5 m,,,,,,Oui,,,,,,,,,,Sud-ouest,,,,,,,,50 m²,,,,,20 m²,16 m²,20 m²,,,,Sud-ouest,,,,,,,,,,,,,,,1,,,,,,,,,,
65,Après la signature de l’acte,,1930,Fraîchement rénové,2,,"Zone d'habitat (résidentiel, urbain ou rural)",3,,,,21 m²,2,,,,,Oui,,,F,Non communiqué,59 kg CO₂/m²,Non communiqué,Gaz,Oui,Oui,Oui,,"Avenue Louise 65 bte 11
1050 - Bruxelles",PILOTIMMO,,1,,,,45 m²,,,,133 m²,,,,,,,18 m²,,,,,,,4,Oui,,,,Oui,Oui,,296 kWh/m²,,,,,,,,,,599.000 €,,,,,10 m²,Non,,,307 m²,13 m²,11 m²,2,Oui,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,
66,Après la signature de l’acte,FAIRE OFFRE A PARTIR DE 785000,1936,Bon,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Équipée,6,2,,Oui,Oui,,165 m²,,Oui,288 kWh/m²,F,20210927-0000596359-01-6,57 kg CO₂/m²,Non communiqué,Gaz,Oui,785.000 €,,Non,"Avenue Louise 143/4
1050 - Ixelles",,,Oui,Oui,Oui,3,Oui,,,Non,,,,,,Connecté,Oui,,,,,,,,,,,,Oui,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,Zone non inondable,,,,,,,,,,,,Oui,,,Ouest,,,,,Une Française à Bruxelles,Oui,,,,,,,,,,FAIRE OFFRE A PARTIR DE 785000,,,,,,,,,
67,Après la signature de l’acte,,,Bon,2,2,,180 m²,16 m²,,Équipée,5,2,13 m²,Oui,,,214 m²,,,414 kWh/m²,G,20200922-0000575208-01-3,Non communiqué,Non communiqué,Gaz,Oui,599.000 €,1.259 €,Non,"Avenue Général Mellier 20
5030 - Gembloux",,1,,Oui,Non,3,,,,Non,,,,,,,,Non,,,,,,1,40 m²,Non,Non,Non,Oui,Non,,Non,,,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,,,Zone non inondable,,,11 m²,60 m²,36 m²,,,,20 m²,11 m²,11 m²,,20 m²,11 m²,Nord-ouest,,,,,spir1872,Oui,,,,,,,,,,,,,,,,,,,
68,Après la signature de l’acte,FAIRE OFFRE A PARTIR DE 785000,1936,Bon,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Hyper équipée,6,2,,Oui,Oui,,165 m²,,,288 kWh/m²,F,20210927-0000596359-01-6,57 kg CO₂/m²,Non communiqué,Gaz,Oui,785.000 €,,Oui,"Avenue Louise 143/4
1050 - Ixelles",,,Oui,Oui,Oui,3,Oui,Oui,,Non,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Ouest,,,Non,,,,,,,,,,,,,Oui,,,Ouest,,,,1050,Une Française à Bruxelles,Oui,,,,,,,,,,FAIRE OFFRE A PARTIR DE 785000,,,,,,,,,
