,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Chambres,Salles de bains,Surface de bureau,Bureau,Cave,Grenier,Surface du terrain,Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Parkings intérieurs,Salon,Salle à manger,Dressing,Toilettes,Buanderie,Espace professionnel,Isolé,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Largeur de la façade à rue,Salles de douche,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Orientation de la terrasse,Obligation de construire,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Niveau E (performance énergétique globale),Disponible le,Surface de la cuisine,Surface de la cave,Surface du grenier,Largeur du terrain à rue,Attestation as-built,Visite virtuelle,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Permis de bâtir obtenu,Surface de la chambre 4,Surface de la chambre 5,Orientation du jardin,Nom de l'agent,Surface constructible totale au sol,Autorisation de lotissement,Revenu mensuel actuel,Site internet,Jardin,Description libre du PEB,Charges mensuelles,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Nombre d'annexes,Nom du bien,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
115,Après la signature de l’acte,,1954,Bon,2,,Isolé,175 m²,30 m²,,Américaine hyper-équipée,3,1,,,Oui,Oui,,74 m²,Oui,299 kWh/m²,F,20210426-0000587550-01-4,60 kg CO₂/m²,Non communiqué,,Oui,600.000 €,,Non,"Avenue de la chasse 159
1040 - Etterbeek",,,,Oui,,2,,,,,,,,,,Connecté,Oui,,,,,,,1,,,Non,Oui,,Oui,,,,,Non,,,,,,,,Zone non inondable,,21 avril 2021 - 00:00,6 m²,,,,,,17 m²,13 m²,17 m²,,,,,,70 m²,,,4341323,,,,,,,,,,,,,,,,,,,,
116,Immédiatement,,1964,À rafraîchir,2,1,,200 m²,33 m²,1,,4,2,,Non,,Oui,230 m²,105 m²,,274 kWh/m²,E,202110080000597165014,53 kg CO₂/m²,Non communiqué,Gaz,Oui,785.000 €,2.500 €,Non,,,1,,Oui,Non,3,,Non,,Non,Non,Oui,Non,Oui,Oui,Connecté,Oui,Non,Non,Non,Oui,Toutes sortes,7 m,,5 m²,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,,,Sud,,,,Zone non inondable,274,,11 m²,,,,,,14 m²,12 m²,12 m²,,24 m²,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,
117,Immédiatement,,1905,À rénover,2,,,140 m²,,,,4,,,Non,,,84 m²,44 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,475.000 €,790 €,Non,,,,,,Non,,,Non,,Non,Non,Non,Non,Non,Non,Connecté,Oui,Non,Non,Non,Non,Toutes sortes,5 m,,,,,,,,,,,,,,,,,Non,Non,Non,Zone non inondable,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Après la signature de l’acte,"Bruxelles EST (SCHUMAN, ETBK, WST, AUD, WMBF,)",,Bon,2,,Isolé,,,,Équipée,3,3,,,,,,,,1000 kWh/m²,G,G,Non communiqué,Non communiqué,Gaz,,Faire offre à partir de 475.000 €,775 €,Oui,"Chaussée de Wavre 1430
1160 - Auderghem",4491339,,,,,3,,,,Non,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Après la signature de l’acte,Bruxelles (19 communes),,À rénover,2,,"Zone d'habitat (résidentiel, urbain ou rural)",95 m²,30 m²,,,3,1,,,Oui,Oui,,,,509 kWh/m²,G,Non communiqué,102 kg CO₂/m²,Non communiqué,Gaz,Oui,345.000 €,,Non,"Boulevard du Souverain 105
1160 - Auderghem",,,,,,1,,,,Non,,,,,,Connecté,Oui,,,,,,,,9 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,10 m²,13 m²,13 m²,,,,,,,,,4392269,,,,,,,,,,,,,,,,,,,,
120,,Keym,1908,À rénover,,,,140 m²,40 m²,,Équipée,3,1,,,Oui,,130 m²,55 m²,,311 kWh/m²,F,20120526-0000089077-01-3,64 kg CO₂/m²,Non communiqué,Gaz,Oui,445.000 €,,Non,"Avenue Brugmann 424
1180 - Uccle",2189 - 798,,,,,1,,,,Non,,Non,,,,,,,,,,,,,10 m²,,,,,,,,,,,,,,,,,,,,,15 m²,,,,Non,,18 m²,14 m²,12 m²,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,2,,,595 m²,,,,12,8,,Non,Oui,,420 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,2.695.000 €,6.884 €,Oui,"Avenue Louise 380
1050 - Bruxelles",776/18012,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Après la signature de l’acte,,1913,Excellent état,2,,Urbain,,,,Américaine équipée,3,1,,Non,Oui,,65 m²,,,461 kWh/m²,G,20211007-0000597073-01-2,92 kg CO₂/m²,Non communiqué,Gaz,Oui,415.000 €,881 €,Non,,,,,,Non,1,,Non,,Non,Non,Non,Non,Non,Non,Connecté,Oui,Non,Non,Non,Oui,Toutes sortes,4 m,,12 m²,,,,,,,,,,,,,,Est,,,,,,,5 m²,,,,,,14 m²,14 m²,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,À définir,,1929,Bon,2,,Urbain,180 m²,,,Hyper équipée,4,1,,Oui,Oui,,120 m²,30 m²,,234 kWh/m²,E,Non communiqué,48 kg CO₂/m²,Non communiqué,Gaz,Oui,675.000 €,1.864 €,Non,"Bld. Brand Whitlock 108
1200 - Woluwe-Saint-Lambert",4517211,,Oui,,,2,,,,Non,,,,,,Connecté,Oui,,,,,,5 m,1,10 m²,,,,,,,,,,,,,,,,,,Zone non inondable,,6 décembre 2021 - 00:00,,,,,,,20 m²,20 m²,14 m²,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Immédiatement,Bruxelles,,,,5,,,,,,,,,,,,,,,B,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3834763,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 avril 2021 - 00:00,,,,,,79 kWh/m²,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,À la livraison,Bruxelles Sud,,,,,,,,,,,,,,,,,,,96 kWh/m²,B,Non communiqué,29 kg CO₂/m²,Non communiqué,,,,,Non,"Boulevard de la Woluwe 62 boîte 3
1200 - Woluwe-St-Lambert",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone inondable potentielle,,1 avril 2021 - 00:00,,,,,,,,,,,,,,,,,,4408838,,,,,,,,,,,,,,,,,,,,
126,À la livraison,Bruxelles,,,,,,,,,,,,,,,,,,,Non communiqué,FB,Non communiqué,Non communiqué,Oui,,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3834790,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 avril 2021 - 00:00,,,,,,Non communiqué,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Après la signature de l’acte,Bruxelles Sud,2001,Bon,3,4,Isolé,19 m²,Oui,,15 m²,26 m²,1,,,Oui,Non,Connecté,30 m²,,D,201405170000228773-01-7,36 kg CO₂/m²,Non communiqué,Gaz,Oui,Zone non inondable,1 €,Non,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4490605,,2,,Hyper équipée,,Oui,,,,267 m²,,,,,,Non,190 m²,,,,,,8.2 m,3,170 kWh/m²,,,,,,,,,,,,,,,,,,795.000 €,,1 septembre 2021 - 00:00,4,,,,,176 m²,12 m²,12 m²,40 m²,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Immédiatement,,2004,Bon,3,2,"Zone d'habitat (résidentiel, urbain ou rural)",295 m²,30 m²,,Hyper équipée,6,2,10 m²,Oui,,,330 m²,106 m²,,213 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,859.000 €,2.653 €,Non,"Rue Xavier De Bue 1
1180 - Uccle",,2,,Oui,,3,,Oui,,Non,,,,,,Connecté,Oui,,,,,,6 m,,47 m²,,,,,,,Oui,,,,,Non,,Nord,,,,,,,11 m²,,,,,,13 m²,13 m²,12 m²,,10 m²,10 m²,Nord,,,,,jeremy maitre,,,,20 m²,,,,,,,,,,,,,,,,
129,Immédiatement,Bruxelles,1981,À rénover,2,1,Isolé,18 m²,Oui,,4 m²,12 m²,2,,,,Non,5 m,10 m²,,G,20210701-0000591796-01-3,74 kg CO₂/m²,Non communiqué,Gaz,46 m²,,Non,,"Place Communale 8
1160 - Auderghem",4426615,,1,,Pas équipée,,2 m²,,,,310 m²,,,,,,Oui,264 m²,,,,,,5 m,,371 kWh/m²,,,,,,,,,,,,,,,,,,Faire offre à partir de 449.000 €,,1 septembre 2021 - 00:00,3,Oui,,Connecté,,120 m²,11 m²,7 m²,1,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,
130,Après la signature de l’acte,,1879,À rénover,3,,,332 m²,38 m²,1,,5,4,55 m²,Oui,,,1136 m²,,,172 kWh/m²,D,20200731­0000572576­01­1,118 kg CO₂/m²,Non communiqué,Gaz,Non,1.350.000 €,3.287 €,Non,"Avenue Louise 404a
1050 - Ixelles",,1,,Oui,Non,5,,,,Non,Non,Non,Non,Non,Oui,Connecté,Non,Non,Non,Non,Non,,14 m,,,Non,Non,Non,Oui,Non,,Non,,,Non,,Non,,,,Non,Non,,,,21 m²,,,,Non,,24 m²,18 m²,18 m²,,17 m²,10 m²,,,653 m²,Non,,4080221,,,,,,,,,,,,,,,,,,,,
131,Après la signature de l’acte,,1990,Bon,3,1,"Zone d'habitat (résidentiel, urbain ou rural)",210 m²,42 m²,1,Hyper équipée,4,1,,,,,332 m²,270 m²,,251 kWh/m²,E,2011008-0000597169-01-6,50 kg CO₂/m²,Non communiqué,Gaz,,630.000 €,2.030 €,Non,"Sint-Jansbergdreef 2
3090 - Overijse",,1,,,,2,Oui,,,Non,,,,,,,,,,,,,,1,7 m²,,,,,Oui,,,,,,,,,,,,,,,,9 m²,,,12.42 m,Non,,21 m²,20 m²,15 m²,,15 m²,,Sud-ouest,,,,,17441 - 195010475,,,100 €,,,,,,,,,,,,,,,,,
132,Après la signature de l’acte,,1963,Bon,4,3,"Zone d'habitat (résidentiel, urbain ou rural)",145 m²,40 m²,1,Équipée,3,,,,,Oui,650 m²,,,367 kWh/m²,G,202108190000594293018,Non communiqué,Non communiqué,Gaz,Oui,495.000 €,1.137 €,Non,"Rue de la Culée 14
1380 - Ohain",,1,,,,1,,,Oui,,,Oui,,,,Connecté,Oui,,,,,,8.6 m,1,,,,,,,,,,,,,,,Sud,,,,Zone non inondable,,,12 m²,15 m²,,12 m,,,15 m²,13 m²,13 m²,,,,Sud-ouest,,,,,,Oui,,,,,,,,,1,,,,,,,,,,
133,Après la signature de l’acte,Prince d'Orange,1947,Bon,4,1,"Zone d'habitat (résidentiel, urbain ou rural)",773 m²,75 m²,1,Hyper équipée,6,5,15 m²,Oui,Oui,,3571 m²,,,219 kWh/m²,E,20191216-0000561867-01-0,43 kg CO₂/m²,Non communiqué,Gaz,Oui,3.700.000 €,11.484 €,Non,"Avenue Ten Horen 24
1180 - Uccle",,1,,Oui,Oui,5,Oui,Oui,,,Oui,,,,,Connecté,Oui,,,,,,85 m,,50 m²,,,,Oui,Oui,,,,Oui,Oui,,,,Sud,,,,,,,25 m²,,,100 m,,,50 m²,25 m²,20 m²,,23 m²,18 m²,Sud,,,,,Goldbrenner Marc,Oui,,,,,,,,,,,,,,,,,,,
134,Immédiatement,,1969,À rénover,2,,,150 m²,45 m²,1,Équipée,3,1,,Non,,,165 m²,70 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,405.000 €,1.500 €,Non,,,,,Oui,Non,2,,Non,,Non,Non,Non,Non,Non,Non,Connecté,Oui,,,,,Toutes sortes,7 m,,8 m²,,,,Oui,Non,,Non,Non,Non,Non,Non,Non,,Nord,Non,,Non,Zone non inondable,,,8 m²,,,,,,17 m²,13 m²,13 m²,,,,Nord,,,,,,,,,,,,,,,,,,,,,,,,,
135,Après la signature de l’acte,Bruxelles,1953,Excellent état,4,1,"Zone d'habitat (résidentiel, urbain ou rural)",35 m²,Américaine hyper-équipée,,27 m²,2,40 m²,,,,,14.5 m,18 m²,,C,Non communiqué,29 kg CO₂/m²,Non communiqué,Gaz,Oui,84 m²,Non,,"Place Communale 8
1160 - Auderghem",4501435,,1,,,,,,,,Oui,Non,,,,,Oui,107 m²,,,Oui,,,9.5 m,,Non,,Non,Oui,,Oui,,,,,145 kWh/m²,,,,,,,,Faire offre à partir de 599.000 €,,1 novembre 2021 - 00:00,4,Non,,Connecté,,150 m²,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,
136,Selon le locataire,,1956,À rafraîchir,2,2,Isolé,250 m²,,,Semi-équipée,4,3,,,,,100 m²,150 m²,,592 kWh/m²,G,Non communiqué,119 kg CO₂/m²,Non communiqué,Gaz,,690.000 €,,Non,"Avenue des Cerisiers, 95
1200 - Woluwe-St-Lambert",,1,,,,3,,,,Non,,,,,,,,,,,,,,3,25 m²,,,,,,,,,,,,,,,,,,,,1 septembre 2021 - 00:00,,,,,,,14 m²,14 m²,14 m²,,14 m²,,,,,,,4344000,,,,,,,,,,,,,,,,,,,,
137,À définir,,1930,Bon,4,,,22 m²,Oui,,,1,Oui,,,Non,,Connecté,24 m²,,C,20140205-0000210552-01-6,31 kg CO₂/m²,Non communiqué,148,Non,Villa,4.447 €,Non,"Ch. de Waterloo 1302
1180 - Uccle",,,,,26 m²,,,,,,Non,148 kWh/m²,,,,,Oui,150 m²,Non,Non,Non,Oui,Non,26 m,,Non,,Non,Oui,,Non,,,,,,,Gaz,1.550.000 €,,,Non,Zone non inondable,Autre type de zone,Non,,3,,,,,355 m²,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,
138,Après la signature de l’acte,,2002,Excellent état,4,,,468 m²,,1,,5,5,12 m²,Oui,,,1100 m²,,,208 kWh/m²,D,20150828-0000302195-01-8,44 kg CO₂/m²,Non communiqué,Gaz,Oui,2.390.000 €,8.038 €,Non,"Avenue Louise 404a
1050 - Ixelles",,1,,,Oui,1,,,,Non,Oui,Non,Non,Non,Oui,Connecté,Non,Non,Non,Non,Non,,,,,Non,Non,Non,Non,Oui,,Oui,,,Non,,"Oui, pas conforme",,,,Non,Non,,,1 juillet 2021 - 00:00,,,,,Non,,25 m²,25 m²,20 m²,Oui,,,,,,Non,,5180035,,,,,,,,,,,,,,,,,,,,
139,Après la signature de l’acte,Bruxelles Sud,1988,Bon,3,1,,215 m²,27 m²,,,4,2,18 m²,Oui,,,332 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,630.000 €,2.030 €,Non,"Av. du Prince de Ligne, 18
1180 - Uccle",,1,,,,2,,,,,,,,,,,,,,,,,11 m,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,15 m²,15 m²,10 m²,,10 m²,,,,,,,4534508,,,100 €,,,,,,,,,,,,,,,,,
140,,,1961,Fraîchement rénové,2,2,,220 m²,,,Américaine hyper-équipée,5,1,,Non,,,200 m²,100 m²,,132 kWh/m²,C,20130107-0000137237-01-0,28 kg CO₂/m²,Non communiqué,Gaz,Oui,840.000 €,2.089 €,Oui,,,1,,,Oui,2,,Non,,Non,Non,Non,Non,Non,Non,Connecté,Oui,Non,Non,Non,Oui,Immeuble à appartements,,2,30 m²,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,,14 m²,9 m²,9 m²,Oui,16 m²,9 m²,,,,Oui,,,,PEB C,,,,,,,,,,,,,,,,,,
141,Après la signature de l’acte,Prince d'Orange,1980,Excellent état,4,,"Zone d'habitat (résidentiel, urbain ou rural)",600 m²,55 m²,2,Hyper équipée,5,4,,Oui,Oui,,2000 m²,2000 m²,,115 kWh/m²,C,201709190000512355010,Non communiqué,Non communiqué,Gaz,Oui,2.950.000 €,12.441 €,Non,"Rue Alphonse Renard 1
1050 - Ixelles",,4,,Oui,,9,Oui,Oui,,Non,Oui,,,,Oui,Connecté,Oui,,,,,,,2,30 m²,,,,Oui,Oui,,Oui,,,,,,,Sud-ouest,,,,,,,35 m²,,,,,,35 m²,16 m²,45 m²,,20 m²,16 m²,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,
142,Après la signature de l’acte,Uccle,1892,Excellent état,2,,"Zone d'habitat (résidentiel, urbain ou rural)",36 m²,Équipée,,35 m²,18 m²,1,,Oui,270 m²,,Oui,,351 kWh/m²,G,20210923-0000596184-01-7,70 kg CO₂/m²,Non communiqué,Gaz,Oui,790.000 €,1.547 €,Non,"rue du Monastère 12
1000 - Bruxelles ville",811/6860,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4,,,,,220 m²,18 m²,16 m²,8 m²,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,1930,Bon,2,,,Oui,,,,2,12 m²,Oui,Oui,Non,,Non connecté,,Non,G,20210708-0000592301-01-6,73 kg CO₂/m²,Non communiqué,366,Non,Non,Non,,"Ch. de Waterloo 1302
1180 - Uccle",,,,,4,,,,Oui,,Oui,366 kWh/m²,,,,,Oui,Oui,Non,Non,Non,Oui,,5 m,,,,Non,Non,,Oui,,,,,,,Gaz,795.000 €,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)","Oui, conforme",,,,,,,189 m²,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,
144,Après la signature de l’acte,,1928,Fraîchement rénové,2,1,,90 m²,Oui,,6,40 m²,2,Oui,Oui,Oui,Non,8 m,15 m²,,D,Non communiqué,38 kg CO₂/m²,Non communiqué,Gaz,Oui,1.975.000 €,5.467 €,Non,"Place Georges Brugmann, 11
1050 - Ixelles",4530518,,1,,Hyper équipée,,55 m²,,,,Oui,Oui,,,,,Oui,80 m²,,,,,,8 m,4,Oui,Oui,Oui,Oui,Oui,Oui,,Non,,,179 kWh/m²,,,,,,,,,,28 septembre 2018 - 00:00,,,,Connecté,,780 m²,15 m²,15 m²,13 m²,,35 m²,4,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Après la signature de l’acte,Bruxelles Sud,1988,Bon,3,1,,215 m²,27 m²,,,4,2,18 m²,Oui,,,332 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,630.000 €,2.030 €,Non,"Av. du Prince de Ligne, 18
1180 - Uccle",,1,,,,2,,,,,,,,,,,,,,,,,11 m,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,15 m²,15 m²,10 m²,,10 m²,,,,,,,4532536,,,100 €,,,,,,,,,,,,,,,,,
146,À définir,,2006,À rafraîchir,3,2,"Zone d'habitat (résidentiel, urbain ou rural)",166 m²,,,Semi-équipée,5,2,,Non,,,468 m²,,,192 kWh/m²,D,202108290000594704013,Non communiqué,Non communiqué,Gaz,Oui,549.000 €,1.962 €,Non,"Avenue Louise, 523
1050 - Ixelles",,1,,,Non,2,,,,Non,,,,,,,,Non,,,,,,,,,,,,,,,,,,,Non,Zone d'extension d'habitat,,Non,,,,,,8 m²,,,,,,20 m²,9 m²,9 m²,,18 m²,22 m²,Sud-ouest,,,,,1683,Oui,,,,,,,,,,,,,,,,,,,
147,Après la signature de l’acte,Fort-Jaco,1930,Bon,4,2,"Zone d'habitat (résidentiel, urbain ou rural)",350 m²,,1,Hyper équipée,3,1,100 m²,Oui,Oui,,517 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,1.550.000 €,3.307 €,,"Avenue Georges Lecointe 50
1180 - Uccle",,,,,,3,,Oui,,Non,,,Oui,,,,Oui,,,,,,26 m,,,,,,Oui,Oui,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Après la signature de l’acte,,,Bon,4,,,400 m²,,1,,5,1,24 m²,Oui,,,1025 m²,900 m²,,173 kWh/m²,D,201506240000293319017,36 kg CO₂/m²,Non communiqué,Gaz,Oui,1.700.000 €,4.501 €,Non,"Avenue Louise 404a
1050 - Ixelles",,1,,,Non,1,,,,Non,Non,Non,Non,Non,Oui,Connecté,Non,Non,Non,Non,Non,,20 m,1,,Non,Non,Non,Oui,Oui,,Oui,,,Non,,Non,,,,Non,Non,,,,27 m²,80 m²,,,Non,,35 m²,25 m²,21 m²,,14 m²,13 m²,,,597 m²,Non,,5163766,,,,,,,,,,,,,,,,,,,,
149,Après la signature de l’acte,Uccle,1920,Excellent état,4,1,"Zone d'habitat (résidentiel, urbain ou rural)",450 m²,70 m²,,Hyper équipée,7,3,,Oui,Oui,,2600 m²,,Oui,487 kWh/m²,G,20130805-0000178040-01-6,105 kg CO₂/m²,Non communiqué,Gaz,,2.750.000 €,4.462 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",,2,,,,4,,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030/3795,,,,,,,,,,,,,,,,,,,,
150,Après la signature de l’acte,,1900,À rénover,4,5,,588 m²,,,Équipée,6,4,20 m²,Oui,,,1300 m²,1000 m²,Oui,485 kWh/m²,G,20190614-0000551393-01,125 kg CO₂/m²,Non communiqué,Gaz,,1.980.000 €,,Non,"Avenue Louise 200
1050 - Bruxelles",,1,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 m²,16 m²,16 m²,,16 m²,12 m²,,,,,,3866810,,,,,,,,,,,,,,,,,,,,
151,Après la signature de l’acte,,1922,Bon,3,2,,390 m²,,,Hyper équipée,5,3,,,,,900 m²,500 m²,,562 kWh/m²,G,20170606-0000505656-01,148 kg CO₂/m²,Non communiqué,Mazout,,2.275.000 €,,Non,"Avenue Louise 200
1050 - Bruxelles",,1,Oui,,,4,,,,Oui,,,,,,,,,,,,,,,40 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,20 m²,19 m²,18 m²,,16 m²,,,,,,,4420784,,,,,,,,,,,,,,,,,,,,
152,Après la signature de l’acte,,1928,Excellent état,2,2,,780 m²,90 m²,,Hyper équipée,6,4,55 m²,Oui,Oui,,300 m²,100 m²,,179 kWh/m²,D,Non communiqué,47 kg CO₂/m²,Non communiqué,Gaz,Oui,1.975.000 €,,Non,"Rue Berkendael 19
1190 - Vorst",,1,,Oui,,5,,,,Non,Oui,,,,,Connecté,Oui,,,,,,8 m,4,23 m²,,Oui,Oui,Oui,Oui,,Oui,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,Zone non inondable,,15 décembre 2021 - 00:00,10 m²,,,8 m,,,40 m²,15 m²,15 m²,Oui,13 m²,35 m²,,,780 m²,,,4520965,,,,30 m²,,,,,,,,,,,,,,,,
153,Après la signature de l’acte,,1932,À rafraîchir,4,1,,230 m²,22 m²,,Hyper équipée,4,1,14 m²,Oui,Oui,Oui,514 m²,270 m²,,601 kWh/m²,G,20200210-0000564574-01-1,158 kg CO₂/m²,Non communiqué,,,895.000 €,2.687 €,Non,"Place Georges Brugmann, 11
1050 - Ixelles",,1,,Oui,,2,,,,Non,,,,,,Connecté,Oui,,,,,,6 m,1,,,Non,Non,Oui,,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,Zone non inondable,,4 septembre 2021 - 00:00,16 m²,,,14 m,,,16 m²,12 m²,12 m²,Oui,12 m²,,,,230 m²,Non,,4532003,,,,14 m²,,,,,,,,,,,,,,,,
