,Largeur de la façade à rue,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Salles de bains,Toilettes,Bureau,Surface du grenier,Meublé,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Double vitrage,Permis de bâtir obtenu,Surface constructible totale au sol,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Disponible le,Procédure pour violation de la réglementation urbanistique,Année de construction,État du bâtiment,Nombre de façades,Type d’environnement,Surface de la chambre 4,Salles de douche,Surface de l'espace professionnel,Espace professionnel,Surface de la cave,Porte blindée,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Salle à manger,Parkings intérieurs,Parkings extérieurs,Surface du jardin,Surface de la chambre 5,Cave,Quartier ou lieu-dit,Référence externe,Terrasse,Grenier,Salon,Orientation du jardin,Orientation de la terrasse,Niveau E (performance énergétique globale),Surface de bureau,Jardin,Buanderie,Isolé,Combien de feux ouverts ?,Visite virtuelle,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nombre d'annexes,Nom du bien,Nom de l'agent
58,21 m,282 m²,,Équipée,,4,21 m²,12 m²,13 m²,Oui,1,2,Non,,Non,1061 m²,Non,Non,Non,Non,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Électrique,Non,Oui,,,,,,,,499.000 €,,Non,,,,,,1979,,4,"Zone d'habitat (résidentiel, urbain ou rural)",9 m²,,,Non,,Non,,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Toutes sortes,Oui,,,,,Oui,,,,,Oui,,,,,,Oui,,1,,,,,,,,
59,7 m,,,Équipée,14 m²,3,18 m²,15 m²,8 m²,,1,2,,,Non,349 m²,,,,,10 m,,,731 kWh/m²,F,20210218-0002375654-RES-1,Non communiqué,Non communiqué,Non,,Électrique,,Oui,Oui,,,Oui,,Zone non inondable,Zone d'extension d'habitat,369.000 €,860 €,Non,"Liersesteenweg , 394
2800 - Mechelen",4070 - d6640,Après la signature de l’acte,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Oui,,,,,,,,,,,,,,,,,,
60,,,,,,Non,,,,1,2,Non,Oui,,,Non,Non,Non,Non,Non connecté,,Non,431 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,,,,,Oui,Toutes sortes,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",549.000 €,Non,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2665 IRC,,,,,,À rafraîchir,,,,,,,,,,,,,,,,,,,,,,,,Non,4,2,,,,1320 m²,,,,,Oui,,,,,,,,,Oui,,,,,,,
61,50 m,250 m²,2921 m²,Américaine hyper-équipée,25 m²,5,20 m²,10 m²,11 m²,,2,4,Oui,,Non,23000 m²,,,,,118 m,Connecté,Oui,295 kWh/m²,C,20210305-0002381251-RES-1,75 kg CO₂/m²,Non communiqué,,,Gaz,,Oui,,1466 m²,,,,Zone inondable potentielle,,Faire offre à partir de 1.650.000 €,,Non,"Pikdorenveld 8
1950 - Kraainem",4297136,À définir,,,1996,Excellent état,4,,9 m²,2,,,,,,Oui,,,Oui,Oui,,,,,,,,,,,Oui,2,23,20000 m²,14 m²,,Bruxelles Nord,,,,,,,,25 m²,,,,,,,,,,,,
62,,150 m²,31 m²,Équipée,,3,,,,,1,,,,Non,112 m²,Non,,,,6.2 m,,,148 kWh/m²,B,20210912-0002463125-RES-1,Non communiqué,Non communiqué,Non,,Gaz,,Oui,Oui,,,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",389.000 €,,Non,"Dorpshart 10
2870 - Puurs",9134 - TK/19113/6,Après la signature de l’acte,,Non,2011,Bon,2,,,,,,,,7 m²,,,,,,,,,,,,,,,,,1,,,,,,,,,,Sud-est,,,,Oui,,,,,,,,,,,
63,,73 m²,Équipée,15 m²,3,9 m²,11 m²,18 m²,1,,1,Connecté,,,,,,,,,,Oui,56 m²,B,2167587,Non communiqué,Non communiqué,Non,Gaz,,Oui,,Oui,Non,,,,,325.000 €,,728 €,Non,"Stationstraat 79
1861 - Wolvertem",4413124,,,,Zone non inondable,1998,Bon,3,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,,Oui,,,,,Non,,,135 kWh/m²,,,,,,,1,1,,,,,,,,,,,,,,,,,180 m²,,,,,,,
64,23 m,55 m²,Semi-équipée,26 m²,5,34 m²,14 m²,10 m²,9 m²,,,Oui,,,763 m²,40 m,,,,,Oui,,680 m²,F,20201030-0002334275-RES-1,1000 kg CO₂/m²,Non communiqué,Non,Gaz,,Oui,,Zone non inondable,,,,,,598.000 €,,Non,,"Dr. Persoonslaan 15 b
2830 - Willebroek",16757 - 3140TK L,,Après la signature de l’acte,,,,À rénover,4,,2,,,,,,657 kWh/m²,,,,,,,,,,,,,,,,,3,,Nord-est,,Non,,,,,,20 m²,,,,,,,,243 m²,,,,,,,
65,,145 m²,,,8 m²,3,20 m²,15 m²,8 m²,,1,1,,,Non,212 m²,,,,,,,,538 kWh/m²,F,20210704-0002437031-RES-1,Non communiqué,Non communiqué,Non,,Électrique,,,,,,,,,,265.000 €,409 €,Non,"Valkebeekstraat 24
1861 - Wolvertem",296 - V21LON/056,Après la signature de l’acte,,,,À rénover,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
66,,260 m²,47 m²,Hyper équipée,14 m²,5,15 m²,11 m²,11 m²,,2,2,,30 m²,Non,2870 m²,,,Oui,Oui,20 m,Connecté,Oui,217 kWh/m²,C,0001890709,Non communiqué,Non communiqué,,,Gaz,,Oui,Oui,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",595.000 €,1.114 €,,"Oppuursdorp 1
2890 - Puurs-Sint-Amands",Van Aken Geert,À définir,,Non,1994,Fraîchement rénové,4,"Zone d'habitat (résidentiel, urbain ou rural)",9 m²,2,,,,,50 m²,,,,,,,,,,,,,,,,,2,2,1800 m²,9 m²,,Liezele,,,,,Sud-ouest,Sud-ouest,,,,,,,,,,,,2,,
67,,192 m²,41 m²,,10 m²,3,16 m²,14 m²,10 m²,,1,1,,,,654 m²,,,,,,Connecté,Oui,327 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,Gaz,,Oui,,,,,,,,349.000 €,676 €,Non,"Emile Vanderveldelaan 1
2845 - Niel",4533981,Après la signature de l’acte,,,1975,Bon,3,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,Oui,,,,,,,,,,,,,,,,,
68,6 m,162 m²,,Hyper équipée,,3,,,,Oui,,2,Oui,36 m²,,470 m²,Oui,,Oui,Oui,9.55 m,Connecté,Oui,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Gaz,,Oui,,,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",398.500 €,,,"Wateringstraat 40
2400 - Mol",,À la livraison,,Non,2021,Excellent état,3,"Zone d'habitat (résidentiel, urbain ou rural)",,1,,Oui,,,,,,,,,,,,,,,Oui,,,,Oui,,2,,,,,,,,Oui,Ouest,,,10 m²,Oui,Oui,,,,,,,,,HALF OPEN BEBOUWING Lot 9A,
69,6 m,162 m²,,Hyper équipée,,3,,,,Oui,1,2,Oui,36 m²,,432 m²,Oui,,Oui,Oui,9.55 m,Connecté,Oui,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Gaz,,Oui,,,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",398.500 €,,,"Wateringstraat 40
2400 - Mol",,À la livraison,,Non,2021,Excellent état,3,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,,,,,,,,,,,,,,,Oui,,,,,,2,,,,,,,,,,,,10 m²,,Oui,,,,,,,,,HALF OPEN BEBOUWING Lot 8A,
70,6 m,162 m²,,Hyper équipée,,3,,,,Oui,1,2,Oui,36 m²,,432 m²,Oui,,Oui,Oui,9.55 m,Connecté,Oui,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Gaz,,Oui,,,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",398.500 €,,,"Wateringstraat 40
2400 - Mol",,À la livraison,,Non,2021,Excellent état,3,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,,,,,,,,,,,,,,,Oui,,,,,,2,,,,,,,,,Ouest,,,10 m²,Oui,Oui,,,,,,,,,HALF OPEN BEBOUWING Lot 17b,
71,6 m,162 m²,,Hyper équipée,,3,,,,,,2,Oui,36 m²,,470 m²,Oui,,Oui,Oui,9.55 m,Connecté,Oui,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Gaz,,Oui,,,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",398.500 €,,,"Wateringstraat 40
2400 - Mol",,À la livraison,,Non,2021,Excellent état,3,"Zone d'habitat (résidentiel, urbain ou rural)",,1,,Oui,,,,,,,,,,,,,,,Oui,,,,,,2,,,,,,,,,Ouest,,,8 m²,Oui,Oui,,,,,,,,,6 LOTEN HALF OPEN NIEUWBOUW-WONINGEN,
72,,670 m²,48 m²,Équipée,,7,,,,,4,,,,Non,17441 m²,Non,,,,,,,264 kWh/m²,C,2357185,Non communiqué,Non communiqué,Non,"Oui, conforme",Mazout,,Oui,Oui,,,Non,Oui,Zone d'inondation reconnue,Zone agricole,1.145.000 €,1.112 €,Non,"Dorpshart 10
2870 - Puurs",9062 - TK-21004-9,Après la signature de l’acte,,Non,1930,Bon,4,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,Oui,,,Oui,,,Est,,,,Oui,,,1,,,,,,,,
73,6 m,162 m²,,Hyper équipée,,3,,,,Oui,,2,Oui,36 m²,,426 m²,Oui,,Oui,Oui,9.55 m,Connecté,Oui,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Gaz,,,,,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",398.500 €,,,"Wateringstraat 40
2400 - Mol",,À la livraison,,Non,2021,Excellent état,3,"Zone d'habitat (résidentiel, urbain ou rural)",,1,,,,,,,,,,,,,,,,,Oui,,,,,,2,,,,,,,,,,,,10 m²,,Oui,,,,,,,,,HALF OPEN BEBOUWING Lot 8b,
74,,Oui,,2,,2,,,,,Oui,Oui,,,,E,,,,,,,,20210814-0002451554-RES-1,Non communiqué,Non communiqué,Zone non inondable,180.000 €,,,,,,,,,,,294 €,,,"Fabrieksstraat 17
2830 - WILLEBROEK",Sophie VAN NOTEN,,,1931,,,Fraîchement rénové,3,171 m²,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,100 m²,,,,481 kWh/m²,Équipée,,,,,,,,,Oui,Non,"nl :
iedere zaterdagochtend tussen 10u-12u",Après la signature de l’acte,Non,,,
75,6 m,,,Hyper équipée,,3,,,,Oui,1,2,Oui,36 m²,,436 m²,Oui,,Oui,Oui,9.55 m,Connecté,Oui,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Gaz,,Oui,,,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",398.500 €,,,"Wateringstraat 40
2400 - Mol",,À la livraison,,Non,2021,Excellent état,3,"Zone d'habitat (résidentiel, urbain ou rural)",,1,,Oui,,,,,,,,,,,,,,,Oui,,,,,,2,,,,,,,,,,,,10 m²,,Oui,,,,,,,,,HALF OPEN BEBOUWING Lot 7a,
76,7 m,245 m²,63 m²,Pas équipée,,4,20 m²,9 m²,17 m²,Non,2,2,Non,,Non,316 m²,Non,Non,Non,Non,7 m,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,Oui,,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,,Non,"Molenstraat 10 bus 1
2840 - Reet",,,,,2021,,,Pays,16 m²,,,,,,28 m²,,,,,,,,,,,,,,,,,1,,,,,,Breendonk-Dorp 26 -,,,,Est,,30,,Oui,,,,,,,,,,,
77,,303 m²,,,22 m²,4,24 m²,17 m²,17 m²,Non,1,1,Oui,75 m²,,791 m²,Non,Non,Non,Non,,Connecté,Non,128 kWh/m²,B,20210921-0002466853-RES-1,Non communiqué,Non communiqué,,,,,Non,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",687.000 €,1.505 €,Non,"Oude Vest 90/1
9200 - Dendermonde",Keten 67,,,Non,1996,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,9 m²,,,,,,,,,,,,
78,7 m,245 m²,63 m²,Pas équipée,,4,20 m²,9 m²,17 m²,Non,2,2,Non,,Non,309 m²,Non,Non,Non,Non,7 m,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,Oui,,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,,Non,"Molenstraat 10 bus 1
2840 - Reet",,,,,2021,,,Pays,16 m²,,,,,,28 m²,,,,,,,,,,,,,,,,,1,,,,,,Breendonk-Dorp 28 -,,,,Est,,30,,Oui,,,,,,,,,,,
79,,80 m²,,,,2,,,,Non,1,1,Non,,,723 m²,Non,Non,Non,Non,,Connecté,Oui,98 kWh/m²,A,12030-G-DBA_2017062210/EP06922/A001/D01/SD001,Non communiqué,Non communiqué,,,,,Non,,,Non,,,,,277.000 €,,Non,"Kortrijksesteenweg 241A
9830 - Sint-Martens-Latem",ADB2021-042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toutes sortes,Oui,,1,,,,,,Oui,,Oui,Sud,,42,,Oui,,,,,,,,,,,
80,,80 m²,,,,2,,,,Non,1,1,Non,,,894 m²,Non,Non,Non,Non,,Connecté,Oui,99 kWh/m²,A,12030-G-2016_18494/EP06922/A001/D01/SD001,Non communiqué,Non communiqué,,,,,Non,,,Non,,,,,293.000 €,,Non,"Kortrijksesteenweg 241A
9830 - Sint-Martens-Latem",ADB2021-043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toutes sortes,Oui,,1,,,,,,Oui,,Oui,Sud,,42,,Oui,,,,,,,,,,,
81,,80 m²,,,,2,,,,Non,1,1,Non,,,1110 m²,Non,Non,Non,Non,,Connecté,Oui,99 kWh/m²,A,1230-G-2016_18494/EP06922/A001/D01/SD001,Non communiqué,Non communiqué,,,,,Non,,,Non,,,,,293.000 €,,Non,"Kortrijksesteenweg 241A
9830 - Sint-Martens-Latem",ADB2021-044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toutes sortes,Oui,,1,,,,,,Oui,,Oui,,,42,,,,,,,,,,,,,
82,,80 m²,,,,2,,,,Non,1,1,Non,,,898 m²,Non,Non,Non,Non,,Connecté,Oui,106 kWh/m²,B,1230-G-2016_18512/EP06922/A001/D01/SD001,Non communiqué,Non communiqué,,,,,Non,,,Non,,,,,293.000 €,,Non,"Kortrijksesteenweg 241A
9830 - Sint-Martens-Latem",ADB2021-045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toutes sortes,Oui,,1,,,,,,Oui,,Oui,Sud,,45,,Oui,,,,,,,,,,,
83,,280 m²,,,,4,,,,Non,2,2,Non,,,227 m²,Non,Non,Non,Non,,Non connecté,Non,370 kWh/m²,D,20180503--000205481-1--1,Non communiqué,Non communiqué,,,,,Non,Oui,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",319.000 €,1.848 €,Oui,"Kasteelstraat 198
9255 - Buggenhout",4180,,,Non,1964,Excellent état,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,Oui,,Oui,,,,,,,,,,,,,,,,
84,,670 m²,,Équipée,,7,,,,Oui,4,,,,Non,17441 m²,,,,,,Connecté,Oui,193 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,,Mazout,,Oui,Oui,,,Non,Non,,Zone agricole,1.145.000 €,,Non,"Hovestraat 19
2650 - Edegem",Engel & Völkers Antwerpen-Zuid,,,Non,1920,Bon,3,,,,,,,,,,,,,Oui,Oui,,,,Oui,,,,,,,2,5,,,Oui,,,Oui,,,,Nord-ouest,193,,,Oui,,1,,,,,,,,I-00UMIW-W-02KWZ5
85,7.68 m,184 m²,,,,4,,,,Non,1,1,Non,,,320 m²,Non,Non,Non,Non,18.5 m,Non connecté,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,Oui,,Non,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,,Non,"Kasteelstraat 198
9255 - Buggenhout",4191,,,Non,2022,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,1,,,,,,,,,Oui,Sud-est,,,,Oui,Oui,,,,,,,,,,
86,7.68 m,184 m²,,,,4,,,,Non,1,1,Non,,,453 m²,Non,Non,Non,Non,10.68 m,Non connecté,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,Oui,,Non,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",429.000 €,,Non,"Kasteelstraat 198
9255 - Buggenhout",4188,,,Non,2022,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,1,,,,,,,,,Oui,Sud-ouest,,,,Oui,Oui,,,,,,,,,,
87,7.68 m,184 m²,,,,4,,,,Non,1,1,Non,,,620 m²,Non,Non,Non,Non,16.2 m,Non connecté,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,Oui,,Non,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,,Non,"Kasteelstraat 198
9255 - Buggenhout",4189,,,Non,2022,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,1,,,,,,,,,Oui,Sud-ouest,,,,Oui,Oui,,,,,,,,,,
88,7.5 m,170 m²,,,,4,,,,Non,1,1,Non,,,832 m²,Non,Non,Non,Non,23 m,Non connecté,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,Oui,,Non,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,,Non,"Kasteelstraat 198
9255 - Buggenhout",4190,,,Non,2022,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,1,,,,,,,,,Oui,Sud-ouest,,,,Oui,Oui,,,,,,,,,,
89,,154 m²,26 m²,Américaine hyper-équipée,,3,16 m²,11 m²,11 m²,,1,,Oui,,,272 m²,,,,,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Gaz,,Oui,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,,Non,"Provinciale Steenweg 354
2627 - Schelle",4154824,,,Non,,,2,,,,,,,,22 m²,,,,,,,,,,,,,Oui,,,,,1,,,,,,,,,,,30,8 m²,,,,,,,,,,,,
90,,153 m²,26 m²,Américaine hyper-équipée,,3,15 m²,11 m²,11 m²,,1,,Oui,,,272 m²,,,,,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Gaz,,Oui,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,,Non,"Provinciale Steenweg 354
2627 - Schelle",4154810,,,Non,,,2,,,,,,,,22 m²,,,,,,,,,,,,,Oui,,,,,1,,,,,,,,,,,30,7 m²,,,,,,,,,,,,
91,,156 m²,24 m²,Américaine hyper-équipée,,3,17 m²,11 m²,11 m²,,1,,Oui,,,271 m²,,,,,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Gaz,,Oui,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,,Non,"Provinciale Steenweg 354
2627 - Schelle",4154802,,,Non,,,2,,,,,,,,22 m²,,,,,,,,,,,,,Oui,,,,,1,,,,,,,,,,,30,15 m²,,,,,,,,,,,,
92,,159 m²,40 m²,Américaine hyper-équipée,,4,14 m²,10 m²,11 m²,,1,,,,,408 m²,,,,,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Gaz,,Oui,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,,Non,"Provinciale Steenweg 354
2627 - Schelle",4154739,,,Non,,,3,,13 m²,,,,,,23 m²,,,,,,,,,,,,,Oui,,,,,1,,,,,,,,,,,30,,,,,,,,,,,,,
93,,140 m²,,,,3,,,,Non,1,2,Non,,,283 m²,Non,Non,Non,Non,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Gaz,,Oui,Oui,,Non,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",310.000 €,,Non,"Kasteelstraat 198
9255 - Buggenhout",4323,,,Non,1973,Excellent état,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,,,,Non,"Heilig Hartplaats 3
2870 - Puurs",D2870-21001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,8 m,280 m²,41 m²,,14 m²,4,,,,,2,,Oui,,Non,619 m²,,,,,16 m,Non connecté,Non,249 kWh/m²,C,20200707-0002291113-RES-1,Non communiqué,Non communiqué,,,Mazout,Non,Non,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",475.000 €,1.021 €,Non,"Kerkhofstraat 76
1840 - Londerzeel",,Selon le locataire,,Non,1972,À rafraîchir,4,,,,,Oui,,Non,,,Non,Non,,Oui,,,,,,,Oui,Oui,Non,,,,,,,,,,,,,,,249,6 m²,,,,,,,,,,,,
96,,147 m²,,Semi-équipée,9 m²,3,14 m²,10 m²,5 m²,,1,1,,,Non,133 m²,,,,,6 m,,Oui,470 kWh/m²,E,20210707-0002438895-res-1,Non communiqué,Non communiqué,Non,,Mazout,,,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,,Non,"Korenmarkt 55
2800 - Mechelen",37212 - LIE-21-GLE-0,Après la signature de l’acte,,,,À rafraîchir,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,30 m²,,,,,,,,Ouest,,,,,,,,,,,,,,,
97,,590 m²,60 m²,Hyper équipée,24 m²,4,24 m²,22 m²,22 m²,,3,5,,,,831 m²,,,,,,,Oui,59 kWh/m²,A,12030-G-DBA_2017016305-EP06487/A001/D01/SD001,Non communiqué,Non communiqué,,,Gaz,,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1.598.000 €,,Non,"Emile Vanderveldelaan 1
2845 - Niel",4456034,Après la signature de l’acte,,,2020,Excellent état,4,,30 m²,,,,,,,,Oui,,Oui,Oui,,,,,,,,,,,,2,2,,,Oui,,,Oui,Oui,,,,39,,,,,,,,,,,,,
98,8 m,730 m²,,Américaine équipée,,2,,,,Non,1,1,Non,,Non,740 m²,Oui,Non,Non,Oui,,,Oui,49 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,"Oui, conforme",Gaz,Non,Oui,Oui,,Non,Oui,,,Zone de récréation et de séjour,279.000 €,,Non,,,Après la signature de l’acte,,Non,2020,Excellent état,4,Pays,,1,,Non,,Non,,,,,,,,,,,,,Non,Oui,Non,,Oui,,2,740 m²,,,,,,,Oui,,,,,,Oui,,,,,,,,1,,
99,10 m,88 m²,,Américaine équipée,,2,,,,Non,1,1,Non,,Non,780 m²,Oui,Non,Non,Oui,,,Oui,49 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,"Oui, conforme",Gaz,Non,Oui,Oui,780 m²,Non,Oui,,,Zone de récréation et de séjour,293.000 €,,Non,,,Après la signature de l’acte,,Non,2020,Excellent état,4,Pays,,1,,Non,,Non,,,,,,,,,,,,,Non,Oui,Non,,Oui,,2,780 m²,,,,,,,Oui,,,49,,,Oui,,,,,,,,1,,
100,10 m,88 m²,,Américaine équipée,,2,,,,Non,1,1,Non,,Non,830 m²,Oui,Non,Non,Oui,,,Oui,49 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,"Oui, conforme",Gaz,Non,Oui,Oui,,Non,Oui,,,Zone de récréation et de séjour,293.000 €,,Non,,,Après la signature de l’acte,,Non,2020,Excellent état,4,Pays,,1,,Non,,Non,20 m²,,,,,,,,,,,,Non,Oui,Non,,Oui,,2,830 m²,,,,,,,Oui,,,,,,Oui,,,,,,,,,,
101,10 m,88 m²,,Américaine équipée,,2,,,,Non,1,1,Non,,Non,1100 m²,Oui,Non,Non,Oui,,,Oui,49 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,"Oui, conforme",Gaz,Non,Oui,Oui,,Non,Oui,Non,,Zone de récréation et de séjour,293.000 €,,Non,,,Après la signature de l’acte,,Non,2020,Excellent état,4,Pays,,1,,Non,,Non,20 m²,,,,,,,,,,,,Non,Oui,Non,,Oui,1,3,1100 m²,,,,,,,Oui,,,49,,,Oui,,,,,,,,,,
102,6 m,126 m²,,Équipée,,3,,,,,1,2,,,Non,470 m²,,,,,10.3 m,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Gaz,,Oui,,,,Oui,Non,Zone d'inondation reconnue,Zone d'extension d'habitat,400.900 €,,Non,"Bredabaan, 896
2170 - Merksem",18768 - SIN/20/005,,,,2022,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,35,,,,,,,,,,,,,
103,,192 m²,41 m²,,10 m²,3,16 m²,14 m²,10 m²,,1,1,,,,654 m²,,,,,,Connecté,Oui,327 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,Gaz,,Oui,,,,,,,,349.000 €,676 €,Non,"Emile Vanderveldelaan 1
2845 - Niel",4527445,Après la signature de l’acte,,,1975,Bon,3,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,Oui,,,,,,,,,,,,,,,,,
104,,,28 m²,Équipée,16 m²,3,18 m²,10 m²,25 m²,Non,1,1,Non,,Non,405 m²,Oui,Non,Non,Non,,,Oui,271 kWh/m²,C,20210105-0002356364-RES-2,Non communiqué,Non communiqué,,,Gaz,Non,Oui,,,,,,,,349.000 €,,Non,,,À définir,,,,Excellent état,3,,,,,Non,10 m²,Non,43 m²,,,,,,,,,,,,Non,Non,Non,Toutes sortes,,,,160 m²,,,,,,,,Sud,Sud,,,,,,,,,,,,,,
