,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Année de construction,Nombre de façades,Visite virtuelle,Salon,Salle à manger,Type de cuisine,Chambres,Dressing,Salles de bains,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,État du bâtiment,Parkings intérieurs,Surface habitable,Toilettes,Bureau,Cave,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Double vitrage,Obligation de construire,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Site internet,Buanderie,Jardin,Orientation du jardin,Surface du salon,Surface du grenier,Surface du jardin,Nom du bien,Meublé,Niveau E (performance énergétique globale),Largeur de la façade à rue,Type d’environnement,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Surface constructible totale au sol,Parkings extérieurs,Largeur du terrain à rue,Nombre d'annexes,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de chauffage,Attestation as-built,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Espace professionnel,Porte blindée,Disponible le,Quartier ou lieu-dit,Surface de la chambre 4,Surface de la chambre 5,Surface de l'espace professionnel,Grenier,Surface de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Type de construction,Surface de la cave,Combien de feux ouverts ?,Salles de douche,Isolé,Orientation de la terrasse,Surface de bureau,Référence externe,Nom de l'agent
0,Non,"nl :
van maa. tot vrij. tijdens de kantooruren van 9u-18u, mits afhaling v/d sleutel op het kantoor Notaris Ann De Block - mits voorafgaande telefonische afspraak op 052/33.30.46 en mits voorleggen v/d identiteitskaart",Après la signature de l’acte,2017,4,Oui,Oui,Pas équipée,4,Oui,2,Oui,184 kWh/m²,B,20210303-0002381536-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone inondable potentielle,390.000 €,1.234 €,Non,"Kaai, 28
2890 - SINT-AMANDS",Helena NEIRINCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,À définir,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,,Zone non inondable,,,Non,"Leopoldstraat 37
2800 - Mechelen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,Oui,Oui,,2,Non,1,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,,,545 €,Non,"Kasteelstraat 198
9255 - Buggenhout",Excellent état,1,137 m²,1,Non,Oui,458 m²,Non,Non,Non,Non,Non connecté,Non,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,4202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,Oui,Oui,,3,Non,1,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,,,,Non,"Kasteelstraat 198
9255 - Buggenhout",Excellent état,1,164 m²,1,Non,,798 m²,Non,Non,Non,Non,Connecté,Non,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,4309,Oui,Oui,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,2021,,,,,,3,Non,1,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,,,,Non,"Kasteelstraat 198
9255 - Buggenhout",,,184 m²,2,Non,,137 m²,Non,Non,Non,Non,Connecté,Oui,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",384.000 €,3900C,,,Sud-est,57 m²,44 m²,59 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,2021,,,,,,3,Non,1,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,,,,Non,"Kasteelstraat 198
9255 - Buggenhout",,,191 m²,2,Non,,154 m²,Non,Non,Non,Non,Connecté,Oui,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",394.000 €,3893C,,,Ouest,64 m²,44 m²,70 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,2021,,,,,,3,Non,1,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,,,,Non,"Kasteelstraat 198
9255 - Buggenhout",,,181 m²,2,Non,,200 m²,Non,Non,Non,Non,Connecté,Oui,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",394.000 €,3903C,,,Sud-est,57 m²,37 m²,121 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,Oui,,,3,Non,1,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,,,,Non,"Kasteelstraat 198
9255 - Buggenhout",À rafraîchir,,170 m²,1,Non,,230 m²,Non,Non,Non,Non,Connecté,Oui,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",229.000 €,4256,Oui,Oui,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,3,Non,1,,80.06 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,,,,Non,"Amelia Earhartlaan 19 bus 301
9051 - Sint-Denijs-Westrem",,,160 m²,1,Non,,152 m²,Non,Non,Non,Non,Non connecté,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",339.300 €,42185001,,,,,,,Het BoerenHof,Non,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,2021,,,,Oui,,4,Non,2,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,,,,Non,"Oude Vest 90/1
9200 - Dendermonde",,1,260 m²,,Oui,,650 m²,Non,Non,Non,Non,Connecté,Oui,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",597.000 €,Kruisstraat 18,,,,,,,,,,7 m,Pays,Non,Non,Non,Oui,Oui,Oui,Non,120 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,Immédiatement,,4,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,517 €,Non,,À rénover,1,,,,,9405 m²,Oui,Oui,Oui,Oui,,Non,Non,,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",739.000 €,,,,Sud,,,2400 m²,,,,18 m,Paysage,,,,,,,,,2,40 m,1,"Oui, conforme",Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,Oui,,3,Non,1,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,,Non,"Oude Vest 90/1
9200 - Dendermonde",Excellent état,,210 m²,2,Non,,150 m²,Non,Non,Non,Non,Connecté,Oui,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",410.000 €,Benedenstraat 47,,,,,,,,,,,Pays,Non,Non,Non,Non,Oui,Non,Non,84 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,Oui,,,4,Non,2,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Zone non inondable,,,Non,"Kasteelstraat 198
9255 - Buggenhout",,1,182 m²,1,Non,,805 m²,Non,Non,Non,Non,Connecté,Oui,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",595.000 €,4314,,Oui,Sud-est,,,,,,,7.6 m,,,,,,,,,,,10.6 m,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,2021,,,Oui,,,3,Non,1,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,,,,Non,"Kasteelstraat 198
9255 - Buggenhout",Excellent état,1,206 m²,2,Oui,,,Non,Non,Non,Non,Non connecté,Non,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",390.000 €,4174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,1996,2,,,,Équipée,3,,1,Oui,173 kWh/m²,B,20210526-0002420200-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,923 €,Non,"Stationsstraat 97
9100 - Sint-Niklaas",Bon,1,142 m²,2,,,208 m²,,,,,,,Oui,,,Autre type de zone,375.000 €,1851 -,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,Gaz,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,2020,4,,,,Hyper équipée,2,,2,Oui,Non communiqué,Non communiqué,12007-G-DBA2017052291/EP08081/A001/D01/SD001,Non communiqué,Non communiqué,Oui,Oui,Oui,Zone inondable potentielle,,,Non,"Heilig Hartplaats 3
2870 - Puurs",Excellent état,,510 m²,3,,,1150 m²,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.850.000 €,D2870-21019,,,,,,,,Non,,,Urbain,,Oui,Oui,,,,Oui,,5,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,Après la signature de l’acte,1935,3,,,Oui,Pas équipée,3,Non,1,,675 kWh/m²,F,20210908-0002461723-RES-1,Non communiqué,Non communiqué,Oui,,Non,Zone non inondable,,307 €,Non,,À rénover,,116 m²,1,Non,Oui,168 m²,Non,Non,Non,Non,Connecté,Oui,Non,,,,194.000 €,,,,Est,28 m²,32 m²,90 m²,,Non,,5 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,168 m²,,,,,Non,Non,Non,Non,Gaz,,6 m²,12 m²,10 m²,6 m²,Non,Non,,,,,,,,,,,,,,,,,,,,
17,,,,À définir,1963,2,,,,Semi-équipée,5,,2,Oui,522 kWh/m²,F,2461976,Non communiqué,Non communiqué,,,Non,Zone non inondable,,1.771 €,Oui,"Onze-Lieve-Vrouwstraat 12
9280 - Lebbeke",À rafraîchir,,445 m²,2,,Oui,465 m²,,,,,Connecté,Oui,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",430.000 €,4427253,,,,34 m²,11 m²,110 m²,,,,6.2 m,Urbain,,Non,,Oui,,,,312 m²,3,6.2 m,,,,,,,Gaz,,15 m²,19 m²,12 m²,7 m²,,,15 décembre 2022 - 00:00,Regio Sint-Amands-Bornem,16 m²,6 m²,65 m²,,,,,,,,,,,,,,,
18,,,,,1989,4,,,,,3,,1,,388 kWh/m²,D,2163395,Non communiqué,Non communiqué,Oui,,Non,,,1.160 €,Non,"Frankrijklei, 94
2000 - Antwerpen",,,257 m²,,,,1515 m²,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",649.000 €,20955 - SID289,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,À définir,2013,3,,Oui,Oui,,4,Non,2,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,,,,963 €,Non,,Excellent état,,330 m²,2,Non,Oui,456 m²,Non,Non,Non,Non,Connecté,Oui,Oui,,Non,,479.000 €,,Oui,,Sud,,,324 m²,,Non,68,6 m,Aménagé,Non,Non,Non,Non,Non,Oui,Oui,,,,,,Non,Non,Non,Non,Gaz,,28 m²,28 m²,16 m²,9 m²,Non,Non,,,15 m²,,,Oui,30 m²,Non,Oui,Non,Oui,,,,,,,,,
20,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Non,"Heilig Hartplaats 3
2870 - Puurs",,,,,,,,,,,,,,,,,,,D2000-FI211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,Après la signature de l’acte,1918,2,,,,,2,,1,,876 kWh/m²,F,20210531-0002422426-RES-1,Non communiqué,Non communiqué,,,,,,292 €,Non,"Emile Vanderveldelaan 1
2845 - Niel",À rénover,,93 m²,1,,Oui,120 m²,,,,,,,,,,,199.000 €,4421627,,,,24 m²,,35 m²,,,,,,,,,,,,,,,,,,,,,,Gaz,,15 m²,15 m²,13 m²,,,,,,,,,,,,,,,,,,,,,,,
22,,,,À définir,,2,,Oui,Oui,,3,Non,1,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,,,,,Non,,Excellent état,1,196 m²,,Oui,,167 m²,Non,Non,Non,Non,Connecté,Oui,Oui,,,,375.000 €,,Oui,,,,,93 m²,,Non,,685 m,,Non,Non,Non,Non,Non,Non,Non,,22,,1,,Non,Non,Oui,Non,Gaz,"Oui, conforme",,,,,Oui,Non,,,,,,Oui,,Non,Non,Non,Oui,Maison bel-étage,,,,,,,,
23,,,,,2020,2,,,,,4,,2,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Oui,Zone non inondable,,,Non,"Heilig Hartplaats 3
2870 - Puurs",Bon,,145 m²,3,,,,,,,,,,,,Non,Zone de parc,595.000 €,D2870-FI15.0062,,,,,,,,Non,,,Urbain,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,17 m²,,,,,,,,,,,,,
24,,,,À la livraison,,4,,,,,3,,1,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Zone non inondable,,,,"Absveldstraat 21
2880 - Bornem",,,200 m²,2,,,1100 m²,,,,,,,Oui,,,,690.000 €,,,Oui,Sud,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,22 m,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,1900,4,,,,Semi-équipée,2,,1,Oui,837 kWh/m²,F,20210107-00002357158-res-1,Non communiqué,Non communiqué,,Non,Non,Zone non inondable,,689 €,Non,"Dorpshart 10
2870 - Puurs",À rénover,2,196 m²,,,,3481 m²,Non,,,,,,,,Non,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",695.000 €,8853 - TK-20092-6,,Oui,Sud-ouest,30 m²,,,,Non,,7 m,,,,,,,,,,3,38 m,,,,,,,Gaz,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,Après la signature de l’acte,1955,2,,,,Équipée,3,,1,Oui,172 kWh/m²,B,20210502-0002409779-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,,,686 €,Non,"Antwerpsestraat 36/38
2850 - Boom",Fraîchement rénové,,200 m²,2,,Oui,376 m²,,,,,,Oui,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,2233 - 21/21051/123,,Oui,Sud-ouest,,,,,Non,,,,,,,,,,,,,,,,,,,,Gaz,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,Après la signature de l’acte,,2,,,,Semi-équipée,3,,1,Oui,345 kWh/m²,D,20210825-0002455370-RES-2,Non communiqué,Non communiqué,,Non,Oui,Zone non inondable,,387 €,Non,"Mechelsestraat 20
1840 - Londerzeel",À rénover,,105 m²,1,,,390 m²,,,,,,Oui,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",237.000 €,1411 - 1888,,,,26 m²,,300 m²,,Non,,,Pays,,,,,,,,,,5.5 m,,,,,,,Gaz,Non,13 m²,15 m²,14 m²,7 m²,,,,,,,,,,,,,,,6 m²,,,,,,,
28,,,,Après la signature de l’acte,1975,4,,,,,3,,1,Oui,318 kWh/m²,D,20210521-0002418577-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,1.090 €,Non,"F. De Merodestraat, 111
2800 - Mechelen",,,147 m²,,,,800 m²,,,,,Connecté,Oui,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",445.000 €,BOVK.2021.05.08,,,,42 m²,,,,Non,318,10 m,,,,,,,,,,,20 m,,,Non,Non,Non,Non,Gaz,,15 m²,,,,,Non,,,,,,,,,,,,Bungalow,,,,,,,,
29,,,,Après la signature de l’acte,2006,4,,,,Hyper équipée,4,Oui,2,,221 kWh/m²,C,20210509-000241287-1,Non communiqué,Non communiqué,Oui,Oui,,Zone non inondable,,1.980 €,Non,,Excellent état,2,300 m²,3,Non,,1361 m²,Oui,Non,Oui,Oui,Connecté,Oui,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",645.000 €,,Oui,,Sud-est,35 m²,,500 m²,,Non,,10 m,Pays,,,,Oui,Oui,Oui,Non,1361 m²,4,17 m,1,,,,,,Gaz,"Oui, conforme",17 m²,13 m²,20 m²,18 m²,Non,Non,,,30 m²,,23 m²,Oui,100 m²,,Non,Non,Oui,Toutes sortes,9 m²,1,2,Oui,Sud-est,,,
30,,,,Après la signature de l’acte,1934,3,,,,Hyper équipée,3,,1,,497 kWh/m²,E,20210219-0002376163-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,523 €,Non,"Gentse Baan 45A
9100 - Sint-Niklaas",À rafraîchir,,147 m²,,,,128 m²,,,,,Connecté,Oui,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",225.000 €,2021/301,,,,15 m²,,36 m²,,Non,497,20 m,,,,,,,,,,,28 m,,"Oui, conforme",Non,Non,Non,Non,Gaz,,21 m²,,,,,Non,,,,,,,,,,,,,12 m²,,,,,,,
31,,,,Après la signature de l’acte,,2,,,,Équipée,3,,1,Oui,409 kWh/m²,E,20160609-0001869983-1,Non communiqué,Non communiqué,,,,Zone non inondable,,455 €,Non,"Antwerpsestraat 36/38
2850 - Boom",Bon,,,1,,,83 m²,,,,,,Oui,Oui,,,,216.000 €,2243 - 21/21068/123,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,Gaz,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,À définir,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,,Zone non inondable,,,Non,"Leopoldstraat 37
2800 - Mechelen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,À définir,2006,,,Oui,Oui,Équipée,3,,1,Oui,625 kWh/m²,F,20170802-001982385-1,Non communiqué,Non communiqué,Oui,Non,,Zone non inondable,,987 €,Non,"Molenstraat, 6/B
2870 - PUURS",Excellent état,,,2,,,5942 m²,,,,,,,Oui,,,,775.000 €,Vicky MOONS,Oui,Oui,Sud,,,,,,,,Pays,,,,,,,,,,,,,Non,,Non,,Gaz,,,20 m²,16 m²,16 m²,,,,,,,,,,,,,,,,,1,,,,,
34,,,,Après la signature de l’acte,1899,2,240 m²,,,12 m²,2,,10 m²,,E,20200715-000294275-RES-1,Non communiqué,Non communiqué,410,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,"Gentse Baan 45A
9100 - Sint-Niklaas",2021/158,Bon,,Équipée,,,,9 m,,,,,Oui,210 m²,Oui,,Zone non inondable,374.000 €,618 €,,,,,,,410 kWh/m²,,Non,Mazout,9 m,,,,,,,,,,,Connecté,,,Non,Non,Non,Oui,Non,,3,,,,,354 m²,,,,,,,,,,,,,Non,,,,,,,
35,,,,À définir,1988,4,,,,Hyper équipée,3,,1,Oui,398 kWh/m²,D,2447748-RES-1,Non communiqué,Non communiqué,,,,,,1.244 €,Non,"Boomstraat 93
2880 - Bornem",Bon,1,,2,Oui,Oui,663 m²,,,,,Connecté,Non,Oui,,,,509.000 €,4407994,,,,36 m²,,,,,,11.4 m,Urbain,,,,,,,,,,,,,,,,,Électrique,,18 m²,22 m²,16 m²,16 m²,,,,Regio Sint-Amands-Bornem,,,,,,,,,,,,,,,,18 m²,,
36,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,,Non,".
2880 - Bornem",,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,À la livraison,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,Non,"Puursesteenweg 21
2880 - Bornem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4317591,
38,,,,,,3,,,,Semi-équipée,2,,1,Oui,589 kWh/m²,F,20210427-0002407641-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,,,,Non,"Antwerpsestraat 36/38
2850 - Boom",Bon,,,1,,Oui,427 m²,,,,,,Oui,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,2236 - 21/21065/123,,,,,,280 m²,,Non,,,,,,,,,,,,,,,,,,,,Gaz,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,Après la signature de l’acte,1957,2,226 m²,Équipée,,3,1,,2,,F,20210630-0002436039-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,247.000 €,,Non,"Sint-Amandsesteenweg, 176
2880 - BORNEM",Charlotte VAN DEN NIEUWENHUIZEN,,1,Oui,Oui,,Oui,563 kWh/m²,,,,,,,,,,,572 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105 m²,,,,,,,,,,,,,,
40,,,,À définir,1930,3,,,,Équipée,3,,1,Oui,426 kWh/m²,E,2446677,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,561 €,Non,"Bovenstraat 162
2880 - Bornem",Bon,1,163 m²,1,,Oui,261 m²,,,,,,Oui,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",330.000 €,,,,,36 m²,,,,,,8 m,,,,,,,,,163 m²,,8 m,,,,,,,Gaz,,22 m²,21 m²,16 m²,16 m²,,,,,,,,,,,,,,,,,,,,,4437503,
41,,,,,,3,,,,Équipée,3,,2,Oui,163 kWh/m²,B,20201029-0002333666-RES-2,Non communiqué,Non communiqué,Oui,Oui,Non,,,,Non,"Antwerpsestraat 36/38
2850 - Boom",Excellent état,2,,2,,Oui,1131 m²,,,,,,Oui,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",695.000 €,2234 - 21/21014/123,,Oui,Sud,,,,,Non,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,Selon le locataire,,2,,,,,2,,1,,513 kWh/m²,F,2409750-RES-1,Non communiqué,Non communiqué,,,,,,,Non,"Boomstraat 93
2880 - Bornem",À rénover,,,1,,,52 m²,,,,,Connecté,Oui,,,,,159.000 €,4319496,,,,32 m²,11 m²,,,,,4 m,,,,,,,,,,,4 m,,,,,,,Gaz,,,,,,,,,Regio Sint-Amands-Bornem,,,,,,,,,,,,,,,,,,
43,,,,À définir,1985,4,,,,Hyper équipée,3,,1,Oui,622 kWh/m²,F,2464309,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,1.316 €,Non,"Bovenstraat 162
2880 - Bornem",,2,245 m²,2,,,939 m²,,,,,,Non,Oui,,Non,,449.000 €,,,,,32 m²,,,,,,,,,,,,,,,245 m²,2,40 m,,,,,,,Électrique,,14 m²,14 m²,14 m²,12 m²,,,,,,,,Oui,,,,,,,,,,,,,4506911,
44,,,,À définir,1973,2,,,,Hyper équipée,3,,1,,483 kWh/m²,E,2467434,Non communiqué,Non communiqué,Oui,Non,Non,Zone inondable potentielle,,962 €,Non,"Bovenstraat 162
2880 - Bornem",,2,142 m²,2,Oui,Oui,295 m²,,,,,,Oui,Oui,,Non,,348.000 €,,,,,35 m²,,,,,,8 m,,,,,,,,,142 m²,,8 m,,,,,,,Gaz,,13 m²,14 m²,12 m²,7 m²,,,,,,,,,22 m²,,,,,,,,,,,10 m²,4509583,
45,,,,À définir,1962,2,,,,Semi-équipée,2,,1,Oui,637 kWh/m²,F,2373444,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,686 €,Non,"Bovenstraat 162
2880 - Bornem",,1,170 m²,2,,Oui,312 m²,,,,,,Oui,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",279.000 €,,,,,32 m²,,,,,,6 m,,,,,,,,,170 m²,,6 m,,,,,,,Gaz,,14 m²,16 m²,16 m²,,,,,,,,,Oui,,,,,,,,,,,,,4276037,
46,,,,,1991,4,,,,Hyper équipée,3,,2,Oui,274 kWh/m²,C,2434753,Non communiqué,Non communiqué,Oui,Non,Oui,Zone non inondable,,2.202 €,Non,"Bovenstraat 162
2880 - Bornem",,3,352 m²,4,,Oui,2820 m²,,,,,,,Oui,,Non,,1.149.000 €,,,,,57 m²,,,,,,17.5 m,,,,,,Oui,,,352 m²,6,27.5 m,,,,,,,,,34 m²,20 m²,20 m²,10 m²,,,1 avril 2022 - 00:00,,,,,Oui,,,,,,,,,2,,,,4497732,
47,,,,,1970,2,,,Oui,Semi-équipée,4,,1,,366 kWh/m²,D,2463296,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Oui,"Bovenstraat 162
2880 - Bornem",,,267 m²,3,,Oui,265 m²,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,,,,,26 m²,,,,,,7.15 m,,,,,,,,,,,7.15 m,,,,,,,Mazout,,9 m²,20 m²,14 m²,13 m²,,,,,12 m²,,,,64 m²,,,,,,,,,,,,4526726,
48,,,,,1967,3,,Oui,,Équipée,4,,1,Oui,368 kWh/m²,D,1927670,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,1.425 €,Oui,"Bovenstraat 162
2880 - Bornem",,1,282 m²,2,,Oui,161 m²,,,,,,,Oui,,Non,,375.000 €,,,,,,,,,,,,,,,,,,,,282 m²,,8.5 m,,,,,,,Gaz,,,17 m²,14 m²,12 m²,,,,,9 m²,,,Oui,,,,,,,,,,,,,4518424,
49,,,,,1969,4,,,,Équipée,3,,1,,441 kWh/m²,E,2459116,Non communiqué,Non communiqué,Oui,Non,Non,,,,Non,"Aarschotsesteenweg 201
2500 - Lier",Bon,1,,,Non,Oui,15000 m²,,,,,Non connecté,Non,Oui,,Non,Zone agricole,1.400.000 €,,,,,56 m²,,,,Non,,15.15 m,,,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,22 m²,22 m²,16 m²,15 m²,,Non,,,,,,,,,,,,,,1,,,,,IF-3070,
50,,,,Après la signature de l’acte,1975,4,,,,,1,,1,Oui,1072 kWh/m²,F,20210929-0002470374-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,773 €,Non,"Dokter De Putterplein, 30/GVL
2880 - BORNEM",À rénover,,,1,,,899 m²,,,,Oui,,,Non,,,,Faire offre à partir de 365.000 €,,,,,,,,,,,,Pays,,,,,,,,,,21 m,,,Non,,Non,,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,Olivier MAEYENS
