,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Année de construction,Nombre de façades,Visite virtuelle,Salon,Salle à manger,Type de cuisine,Chambres,Dressing,Salles de bains,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,État du bâtiment,Parkings intérieurs,Surface habitable,Toilettes,Bureau,Cave,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Double vitrage,Obligation de construire,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Site internet,Buanderie,Jardin,Orientation du jardin,Surface du salon,Surface du grenier,Surface du jardin,Nom du bien,Meublé,Niveau E (performance énergétique globale),Largeur de la façade à rue,Type d’environnement,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Surface constructible totale au sol,Parkings extérieurs,Largeur du terrain à rue,Nombre d'annexes,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de chauffage,Attestation as-built,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Espace professionnel,Porte blindée,Disponible le,Quartier ou lieu-dit,Surface de la chambre 4,Surface de la chambre 5,Surface de l'espace professionnel,Grenier,Surface de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Type de construction,Surface de la cave,Combien de feux ouverts ?,Salles de douche,Isolé,Orientation de la terrasse,Surface de bureau,Référence externe,Nom de l'agent
124,,,,À définir,1956,3,,Oui,Oui,Équipée,4,Non,1,,296 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,1.435 €,Non,,Fraîchement rénové,,,2,Oui,Oui,670 m²,Oui,Non,Non,Oui,Connecté,Oui,Oui,,Non,,615.000 €,,Oui,,,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Non,Non,Oui,Non,Non,,,,,,Non,Non,Non,Non,Gaz,,,,,,Oui,Non,,,,,,Oui,,Non,Non,Non,Non,,,,,,,,,
125,,,,À définir,1932,2,,,,,5,,,,225 kWh/m²,C,20210617-0002430289-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone d'inondation reconnue,,,Non,"Kloosterstraat 89-93
2180 - Ekeren",,,185 m²,,Oui,,106 m²,,,,,,Oui,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",309.000 €,33957 - EKE-21-JDH-0,,Oui,Nord,30 m²,,,,Non,,,,,,,,,,,,,5 m,,,,,,,Gaz,Non,18 m²,34 m²,19 m²,13 m²,,,,,11 m²,10 m²,,,15 m²,,,,,,40 m²,,,,,,,
126,,,,Après la signature de l’acte,1925,2,,,,,4,Non,1,,244 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,800 €,Non,,Bon,1,185 m²,2,Non,,285 m²,Oui,Non,Oui,Non,,Oui,Oui,Non,Non,,349.000 €,,,,Est,,,160 m²,,Non,,5 m,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Non,Non,Non,Non,Non,,1,57 m,,,Non,Non,Non,Non,Gaz,Non,,12 m²,19 m²,12 m²,Non,Non,,,19 m²,,,,25 m²,Non,Non,Non,Oui,,11 m²,,,,Est,,,
127,,,,À définir,1972,3,,,Oui,Équipée,3,Non,1,,Non communiqué,Non communiqué,in aanvraag,Non communiqué,Non communiqué,Oui,,,,,909 €,Non,,Bon,,222 m²,2,Oui,,293 m²,Oui,Non,Non,Oui,Connecté,Oui,Oui,Non,Non,,385.000 €,,Oui,,Nord,21 m²,54 m²,144 m²,,Non,,9 m,,Non,Non,Non,Non,Non,Non,Non,,,9 m,,,Non,Non,Non,Non,Gaz,Non,9 m²,15 m²,12 m²,6 m²,Oui,Non,,,,,,,19 m²,Non,Non,Non,Oui,,,,,,,,,
128,,,,,1987,4,,,,Pas équipée,2,,1,,260 kWh/m²,C,20160922-0001896840-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,3.373 €,Non,"Turnhoutsebaan 149/151
2970 - Schilde",Bon,2,384 m²,2,Non,,1070 m²,,,,,Connecté,Oui,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",675.000 €,06/10216,,Oui,Sud,75 m²,,,,Non,,,,,,,,,,,252 m²,,41 m,,,,,,,,,,,,,,Non,,,,,,,,,,,,,25 m²,,,,,,,
129,,,,Après la signature de l’acte,1933,2,130 m²,,,20 m²,2,,10 m²,,B,20210710-0002440209-RES-1,Non communiqué,Non communiqué,198,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,"Lambrechtshoekenlaan 169
2170 - Merksem",2021/048,Bon,,26 m²,,,,Connecté,,,,,Oui,46 m²,Oui,,Zone non inondable,375.000 €,Non,,,,,Hyper équipée,,8 m²,,Non,Gaz,5 m,,,,,,,,,,,,,,Non,Non,Non,Oui,Non,,4,,,,,151 m²,,,,,,,198 kWh/m²,,,,,,Non,,,,,,,
130,,,,Après la signature de l’acte,1981,2,,,,,2,,1,,196 kWh/m²,B,20211001-0002471308-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone d'inondation reconnue,,1.011 €,Non,"Lambrechtshoekenlaan 169
2170 - Merksem",Bon,,105 m²,,,,180 m²,,,,,Non connecté,Oui,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,,,,,38 m²,,,,Non,196,,,,,,,,,,,,,,,Non,Non,Non,Non,Gaz,,6 m²,,,,,Non,,,,,,,8 m²,,,,,Maison bel-étage,,,,,,,2021-064,
131,,,,À définir,1992,4,,Oui,,,3,,2,,177 kWh/m²,B,20210916-0002464945-RES-1,Non communiqué,Non communiqué,Oui,Oui,,Zone non inondable,,,Non,"Lange Lobroekstraat 67
2060 - Antwerpen",Excellent état,,240 m²,2,Oui,Oui,5746 m²,,,,,Connecté,,,,,,895.000 €,,,,,,,5746 m²,,,,,Pays,,,,,,,,240 m²,,80 m,,,,,,,Gaz,,,15 m²,15 m²,20 m²,,,1 juin 2022 - 00:00,,,,,,50 m²,,,,,,,,1,,,,4520483,
132,,,,,,,,Oui,,Hyper équipée,3,Oui,2,,212 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Non,"Bredabaan 133
2930 - Brasschaat",Fraîchement rénové,,205 m²,3,Non,Oui,666 m²,Non,Non,Non,Non,Connecté,Oui,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,Rodeborgstraat 79 -,Oui,,Nord-est,,,530 m²,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,À définir,1962,4,,,,Équipée,5,Non,4,,Non communiqué,Non communiqué,20210610-0002425910-RES-3,Non communiqué,Non communiqué,Oui,,,,,,Non,,Excellent état,,550 m²,5,Non,,2559 m²,Oui,Non,Non,Non,,Oui,Non,,,,975.000 €,,,,Sud,,,2359 m²,,Non,104,20 m,,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Électrique,,,,,,Non,Oui,,,,,,,,Non,Non,Non,Oui,Villa,,,,,,,,
