,Année de construction,Nombre de façades,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Salles de douche,Toilettes,Meublé,Surface du terrain,Surface du jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,État du bâtiment,Parkings intérieurs,Parkings extérieurs,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Bureau,Grenier,"Eau, gaz & électricité",Surface de la terrasse,Accès sécurisé / alarme,Piscine,Attestation de conformité des citernes à mazout,Permis de bâtir obtenu,Référence externe,Type d’environnement,Largeur de la façade à rue,Surface de la chambre 4,Buanderie,Surface du grenier,Terrain à front de rue,Terrain boisé,Largeur du terrain à rue,Raccordement à l'égout,Jardin,Orientation de la terrasse,Accessible aux personnes avec un handicap,Salon,Quartier ou lieu-dit,Surface de la chambre 5,Surface de bureau,Espace professionnel,Surface de la cave,Porte blindée,Niveau E (performance énergétique globale),Chauffe-eau commun,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Terrain arrière,Terrain plat,Type de construction,Disponible le,Combien de feux ouverts ?,Ascenseur,Dressing,Nombre d'annexes,Concierge,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Type de zone inondable,Visite virtuelle,Cave,Terrasse,Pourcentage loué,Nom de l'agent,Isolé,Surface constructible totale au sol,Informations supplémentaires,Surface de l'espace professionnel,Description libre du PEB,Obligation de construire,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Charges mensuelles,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
96,,4,180 m²,40 m²,Semi-équipée,5,1,,1,Non,537 m²,,Sud-est,551 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Non,Électrique,,,,Oui,320.000 €,,Non,"Rue De Mons 46
1480 - Tubize",2937 - 2354,Après la signature de l’acte,À rénover,1,2,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,2,206 m²,48 m²,Équipée,4,1,,1,Non,256 m²,150 m²,Nord-ouest,190 kWh/m²,C,20210727008694,Non communiqué,62334 kWh/an,Non,,Non,Non,Non,Non,199.000 €,416 €,Non,"rue des Forges, 287
1480 - Tubize",028DET-1-1,,,1,,,,21 m²,19 m²,18 m²,,,,,,,,,,,,16 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,3,100 m²,37 m²,,2,,1,1,Non,185 m²,,,296 kWh/m²,D,20180311006856,Non communiqué,32323 kWh/an,Non,,Non,Non,Non,Non,220.000 €,225 €,Non,"rue des Forges, 287
1480 - Tubize",DIF119,,,1,,,,12 m²,10 m²,,,,,40 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
99,1974,4,200 m²,40 m²,Équipée,5,2,1,4,Non,593 m²,,,422 kWh/m²,E,20161024010746,Non communiqué,Non communiqué,Non,,Non,Non,Non,Oui,345.000 €,922 €,Non,"Grand Place 8
1480 - Tubize",5327-1-1,,,,2,,,,,,,,,50 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1985,,990 m²,,,14,4,2,,,25000 m²,,,Non communiqué,E,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,,,1.750.000 €,3.213 €,Non,"Rue Kindermans 3/19
1050 - Bruxelles-Quartier Louise",654/2760,,,,,,,,,,Oui,,Non,,,,,,,,,,,,,,,Non connecté,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,
101,,2,154 m²,,,5,1,,,Non,,,,444 kWh/m²,F,20210413013694,Non communiqué,68260 kWh/an,,,,,,,Faire offre à partir de 189.000 €,285 €,Non,"Rue de Mons 63
1480 - Tubize",,Après la signature de l’acte,À rafraîchir,1,,,,,,,,,,,,,,,4509381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
102,,3,200 m²,,,4,2,,,,900 m²,,,154 kWh/m²,B,2017111900161,Non communiqué,36522 kWh/an,,,,,,,300.000 €,,Non,"Rue de Mons 63
1480 - Tubize",,Après la signature de l’acte,Excellent état,,,,,,,,,,,,,,,,3747724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
103,1999,4,65 m²,Américaine hyper-équipée,18 m²,15 m²,5,,8 m²,3601 m²,Non connecté,170 m²,,C,20201029001435,48 kg CO₂/m²,87311 kWh/an,Mazout,,769.000 €,,,,,2.350 €,Non,"Rue de la déportation 61 bte 12
1480 - Tubize",4533908,,,Excellent état,,6,,5,33 m²,14 m²,16 m²,70 m²,Non,3000 m²,Non,Non,192 kWh/m²,,,,Pays,,8 m²,,,,,,Non,,,Oui,,,2,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,,,454 m²,,,,,,,,Oui,,,,,,,,,,,,,,,,
104,1960,2,115 m²,40 m²,Équipée,3,1,1,1,Non,80 m²,,,449 kWh/m²,F,20210330008178,Non communiqué,48410 kWh/an,,Gaz,,,,Oui,Faire offre à partir de 175.000 €,690 €,Non,"Rue du Virginal 83
7090 - Hennuyères",4350605,Après la signature de l’acte,Bon,,,Oui,20 m²,20 m²,18 m²,,,Oui,Oui,,,Non,,,,,5 m,,,,,,5 m,Connecté,,,Oui,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,Zone non inondable,,Oui,,,,,115 m²,,,,,,,,,,,,,,,,,,
105,1950,4,129 m²,28 m²,Équipée,2,1,1,2,Non,320 m²,,,597 kWh/m²,G,20150410007408,Non communiqué,125637 kWh/an,,Gaz,,,,Oui,230.000 €,315 €,Non,"Rue du Virginal 83
7090 - Hennuyères",4422378,Après la signature de l’acte,À rafraîchir,,,,13 m²,12 m²,14 m²,,,,Non,25 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,2,145 m²,,Équipée,3,1,,1,Non,300 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,Oui,230.000 €,500 €,,"Rue de Mons 156
1480 - Tubize",,Après la signature de l’acte,Bon,,,Oui,18 m²,20 m²,13 m²,23 m²,,,Oui,15 m²,,,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,Connecté,,,,Oui,,,,,30 m²,,,,,,,,,Oui,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
