,Année de construction,Nombre de façades,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Salles de douche,Toilettes,Meublé,Surface du terrain,Surface du jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,État du bâtiment,Parkings intérieurs,Parkings extérieurs,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Bureau,Grenier,"Eau, gaz & électricité",Surface de la terrasse,Accès sécurisé / alarme,Piscine,Attestation de conformité des citernes à mazout,Permis de bâtir obtenu,Référence externe,Type d’environnement,Largeur de la façade à rue,Surface de la chambre 4,Buanderie,Surface du grenier,Terrain à front de rue,Terrain boisé,Largeur du terrain à rue,Raccordement à l'égout,Jardin,Orientation de la terrasse,Accessible aux personnes avec un handicap,Salon,Quartier ou lieu-dit,Surface de la chambre 5,Surface de bureau,Espace professionnel,Surface de la cave,Porte blindée,Niveau E (performance énergétique globale),Chauffe-eau commun,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Terrain arrière,Terrain plat,Type de construction,Disponible le,Combien de feux ouverts ?,Ascenseur,Dressing,Nombre d'annexes,Concierge,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Type de zone inondable,Visite virtuelle,Cave,Terrasse,Pourcentage loué,Nom de l'agent,Isolé,Surface constructible totale au sol,Informations supplémentaires,Surface de l'espace professionnel,Description libre du PEB,Obligation de construire,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Charges mensuelles,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
0,1930,2,165 m²,32 m²,Équipée,3,1,1,1,Non,202 m²,115 m²,Est,Non communiqué,Non communiqué,20210510013455,Non communiqué,47396 kWh/an,Non,Mazout,Non,Non,Non,Non,375.000 €,1.001 €,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",6632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,Non,"Rue du Bailli, 18
1480 - Tubize",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1980,4,335 m²,24 m²,,3,2,,3,,2676 m²,,,277 kWh/m²,D,2021061423228,Non communiqué,Non communiqué,,Mazout,,,,Oui,Faire offre à partir de 675.000 €,3.081 €,Non,"Rue de Nivelles 1
1440 - Braine-le-Château",,Après la signature de l’acte,Excellent état,1,4,Oui,12 m²,16 m²,15 m²,12 m²,Oui,Oui,Non,80 m²,Oui,Oui,"Oui, conforme",Oui,4534860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1933,3,130 m²,40 m²,Équipée,3,,1,1,Non,311 m²,100 m²,Sud,477 kWh/m²,F,20210507007642,Non communiqué,72672 kWh/an,Non,,Non,Non,Non,Non,197.500 €,835 €,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",6575-2021,,,,,,,,,,,,,20 m²,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1998,2,93 m²,32 m²,Équipée,4,1,1,2,Non,139 m²,,Sud,192 kWh/m²,C,20210726012907,Non communiqué,24820 kWh/an,,Gaz,,,,Oui,330.000 €,2.691 €,,"Ch. de Bruxelles 548
1410 - Waterloo",,Après la signature de l’acte,Bon,1,,,,7 m²,9 m²,12 m²,,,Oui,18 m²,,,,,,,6 m,13 m²,Oui,30 m²,Oui,Oui,6 m,Connecté,Oui,Sud,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1900,2,230 m²,,Équipée,4,2,2,2,Non,260 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Non,Non,550.000 €,1.318 €,Oui,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",6314-2021,,,5,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1997,4,167 m²,32 m²,Équipée,3,1,1,3,Non,2100 m²,1800 m²,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Non,Non,525.000 €,1.779 €,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",6736-BLA -1,,,1,3,,,,,,,,,50 m²,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1967,4,220 m²,40 m²,,5,1,,2,,999 m²,,,381 kWh/m²,E,20210707026730,Non communiqué,Non communiqué,,Gaz,,,,Oui,Faire offre à partir de 649.000 €,3.834 €,Non,"Rue de Nivelles 1
1440 - Braine-le-Château",,Après la signature de l’acte,,3,3,Oui,12 m²,16 m²,14 m²,13 m²,,Oui,Oui,110 m²,Oui,,,,4417059,"Zone d'habitat (résidentiel, urbain ou rural)",17 m,12 m²,,,,,,,,,,,Brabant Wallon,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1987,4,308 m²,,,4,1,,,Non,2457 m²,,,496 kWh/m²,F,20210506026340,Non communiqué,Non communiqué,,Électrique,Non,Non,Non,Oui,745.000 €,3.098 €,Non,"Alsembergsesteenweg 570
1653 - Dworp",,,,,,,17 m²,,,,Oui,,Non,,,,,Oui,304,,,,,,,,,Connecté,,,,,,,7 m²,Oui,124 m²,Non,496,Non,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1900,3,,,,,,,,,1934 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,1.700.000 €,,Oui,,,Après la signature de l’acte,À rafraîchir,,,,,,,,,,Oui,,,,,,,,,,,,Oui,Non,,,,,,,,,,,,,,Non,,,,,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1997,4,155 m²,37 m²,,3,1,,1,,600 m²,600 m²,Ouest,205 kWh/m²,C,20131014007678,1 kg CO₂/m²,35279 kWh/an,,Gaz,,,,Oui,450.000 €,,Non,"Drève Richelle, 274
1410 - Waterloo",861/4560,,,2,2,,12 m²,22 m²,10 m²,10 m²,Non,,Oui,20 m²,Oui,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,30 septembre 2027 - 00:00,1,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,2,400 m²,,Pas équipée,8,,1,,Non,448 m²,170 m²,Ouest,425 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,460.000 €,1.993 €,Oui,,,Après la signature de l’acte,À rénover,2,2,,15 m²,21 m²,16 m²,15 m²,Non,,Oui,15 m²,Non,Non,Non,,,,9 m,14 m²,,,Non,Non,9 m,,,Ouest,Non,,,14 m²,,Non,30 m²,Non,,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Oui,Toutes sortes,,,Non,Non,2,Non,Non,Non,Non,Non,Non,Oui,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,
12,1963,3,32 m²,Oui,10 m²,18 m²,1,2,Oui,197 m²,8.5 m,,Oui,D,20210831007583,1000 kg CO₂/m²,42555 kWh/an,Non,Gaz,Oui,,,,Non,1.108 €,Non,"Rue d'Incourt 37
1315 - Opprebais",3811 - 4856,,Après la signature de l’acte,,1,1,1,4,12 m²,10 m²,8 m²,,,Oui,,,,,,,,6 m,1,,,,,Oui,,Ouest,,,,,,,,,,,,,Zone riveraine délimitée,,299.995 €,,,,,Américaine équipée,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",141 m²,Non,334 kWh/m²,,,,,,,,,,,,,,,,,,,,,,
13,1930,2,725 m²,155 m²,Équipée,15,5,,5,Non,2300 m²,850 m²,Est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Non,Non,Non,Non,1.150.000 €,,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",6512,,,,10,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1800,3,350 m²,50 m²,,,,,,Non,600 m²,300 m²,Sud-ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Non,Non,Non,Non,400.000 €,1.850 €,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",3004-2021,,,10,,,,,,,,,,50 m²,,,,,,Pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2021,3,146 m²,30 m²,,3,1,1,2,Non,250 m²,180 m²,Est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,436.200 €,,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",Ferme Rose - Lot 1 - BLA,,,,2,,,,,,,,,18 m²,,,,,,Pays,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,1 janvier 2023 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021,2,146 m²,37 m²,,3,1,1,2,Non,220 m²,150 m²,Est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,440.000 €,,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",Ferme Rose - Lot 3 - BLA-1-1,,,1,1,,,,,,,,,18 m²,,,,,,Pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 janvier 2023 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2021,2,146 m²,37 m²,,3,1,1,2,Non,220 m²,150 m²,Est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,440.000 €,,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",Ferme Rose - Lot 2 - BLA,,,1,1,,,,,,,,,18 m²,,,,,,Pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 janvier 2023 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2021,3,146 m²,30 m²,,3,1,1,2,Non,320 m²,250 m²,Sud-est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,459.600 €,,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",Ferme Rose - Lot 4 - BLA,,,,2,,,,,,,,,18 m²,,,,,,Pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 janvier 2023 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2021,3,336 m²,30 m²,,4,2,2,2,Non,414 m²,254 m²,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,892.700 €,,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",Ferme Rose - Lot 5-6 - BLA,,,2,,,,,,,,,,36 m²,,,,,,Pays,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,1 janvier 2023 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1974,4,450 m²,,Hyper équipée,5,3,1,,Non,46000 m²,,,296 kWh/m²,D,20210910012683,Non communiqué,Non communiqué,Non,,,,,,1.250.000 €,,Non,"Chaussée de Waterloo, 238
1410 - Waterloo",219839 - 52,Après la signature de l’acte,Excellent état,2,2,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,22 m²,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,
21,,,159 m²,,Pas équipée,3,,,,,,,,931 kWh/m²,F,20120201007553,Non communiqué,71890 kWh/an,,,,,,Oui,Faire offre à partir de 275.000 €,2.554 €,Oui,"Rue de la Montagne, 46
1460 - ITTRE",,,Bon,,,,,14 m²,14 m²,17 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,50,Nataline SAINTDENIS,,,,,,,,,,,,,,,,,,,,
22,,2,148 m²,30 m²,,3,1,,2,Non,100 m²,1 m²,Sud,136 kWh/m²,B,20210611004131,Non communiqué,20245 kWh/an,Non,,Non,Oui,Non,Oui,375.000 €,,Non,"rue des Forges, 287
1480 - Tubize",029PIV,,,1,2,,,11 m²,11 m²,,,,,,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,Oui,,30 septembre 2022 - 00:00,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
23,2021,2,229 m²,46 m²,,3,1,1,2,Non,910 m²,805 m²,Ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Non,Non,Non,Oui,463.250 €,383 €,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",GF - LOT 10 - BRAINE,,,,2,Oui,1 m²,,,,,,,15 m²,,,,,,,,,,,,,1 m,,,Est,,,,,,,,,,,,,,,,,,1 décembre 2021 - 00:00,,,Oui,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2021,3,308 m²,63 m²,,3,1,1,2,Non,1060 m²,838 m²,Ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Non,Non,Non,Oui,560.000 €,383 €,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",GF - LOT 9 - BRAINE,,,,2,,1 m²,,,,,,,30 m²,,Oui,,,,,,,,,,,1 m,,,,,,,,,,5 m²,,,,,,,,,,,1 décembre 2021 - 00:00,,,Oui,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,2,170 m²,42 m²,,3,1,,2,Non,210 m²,85 m²,Sud,Non communiqué,Non communiqué,20210817011471,Non communiqué,442 kWh/an,Non,,Non,Non,Non,Oui,250.000 €,778 €,Non,"Avenue de l'Orée 17 b71
1050 - Ixelles",,,,,,,,,,,,,,9 m²,,,,,3004553PDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2021,2,222 m²,57 m²,,3,1,1,2,Non,302 m²,192 m²,Nord-ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Non,Non,Non,Oui,430.800 €,,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",GF - LOT 13 - BRAINE- 2021,,,,2,,1 m²,,,,,,,15 m²,,,,,,,,,Oui,,,,1 m,,,Sud-ouest,,,,,,,,,,,,,,,,,,1 décembre 2021 - 00:00,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1874,3,,39 m²,,5,,3,2,Non,1678 m²,,,202 kWh/m²,C,20210804021760,36 kg CO₂/m²,5 kWh/an,Non,Gaz,Non,Non,Non,Oui,595.000 €,1.160 €,Non,"Route de Trazegnies 106
6031 - Charleroi",,Après la signature de l’acte,Excellent état,,1,,,34 m²,19 m²,17 m²,Non,,Oui,37 m²,Oui,Oui,Non,Oui,6169890,,,16 m²,,,Non,Non,,Connecté,,Sud,Non,,,15 m²,,,83 m²,Non,,Non,Non,Non,Non,,Non,Oui,,,1,Non,Oui,,Non,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1974,4,161 m²,50 m²,,5,2,,,Non,749 m²,,Sud-ouest,157 kWh/m²,C,20210322020363,30 kg CO₂/m²,33733 kWh/an,,Gaz,,,,,595.000 €,1.983 €,,"Chaussée de Tervuren 186
1410 - Waterloo",,Après la signature de l’acte,Excellent état,2,5,,13 m²,14 m²,11 m²,10 m²,,Oui,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,Oui,,,,Oui,Sud-ouest,,,Braine l'Alleud,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1978,2,115 m²,26 m²,Équipée,3,1,,2,Non,146 m²,,,167 kWh/m²,B,20210727006023,31 kg CO₂/m²,24697 kWh/an,,Gaz,,,,Oui,330.000 €,1.378 €,,"Rue Raymond Lebleux
1428 - Lillois",,À définir,Bon,1,2,Oui,7 m²,13 m²,10 m²,8 m²,Oui,Oui,Oui,24 m²,,,,Oui,,,6 m,,Oui,,Oui,,6 m,Connecté,,,,,,,8 m²,Oui,,,,,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,Oui,,,,,,Zone non inondable,,,,,LION Jonathan,Oui,,,,,,,,,,,,,,,,,,,
30,1977,3,156 m²,32 m²,Pas équipée,3,1,,2,Non,580 m²,440 m²,Sud-ouest,450 kWh/m²,F,20210423001206,Non communiqué,Non communiqué,,Gaz,,,,Oui,380.000 €,1.499 €,,"Rue du Hainaut 35
1420 - Braine-l'Alleud",,Après la signature de l’acte,Bon,1,1,,6 m²,7 m²,12 m²,14 m²,,,Oui,,,,,,,,6.5 m,,,52 m²,Oui,,,Connecté,,Sud-ouest,,,,,,,9 m²,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,Oui,,Goffaux Sylvie,,,,,,,,,,,,,,,,,,,,
31,,2,,16 m²,,4,,1,1,Non,,110 m²,Sud,309 kWh/m²,D,202005180097799,57 kg CO₂/m²,6 kWh/an,Non,Gaz,Non,Non,Non,Oui,337.500 €,575 €,Non,"Route de Trazegnies 106
6031 - Charleroi",,Après la signature de l’acte,Excellent état,,,,,13 m²,12 m²,10 m²,Non,Oui,Non,36 m²,Non,Non,Non,,5924491,,6 m,6 m²,,,Non,Non,,Connecté,,Sud,Oui,,,,,,21 m²,Non,,Non,,,,,Non,Oui,,,1,Non,Non,,Non,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,Non,"Rue du Bailli, 18
1480 - Tubize",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1957,2,250 m²,20 m²,Équipée,3,1,1,2,Non,320 m²,170 m²,,540 kWh/m²,G,Non communiqué,Non communiqué,45697 kWh/an,,Gaz,,,,Oui,379.000 €,882 €,Non,"Avenue Louise 390
1050 - Ixelles",4397198,,À rafraîchir,1,2,Oui,10 m²,20 m²,17 m²,7 m²,,Oui,Oui,30 m²,,,,,,,6.5 m,,,,,,6.5 m,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,70 m²,,,,,,,,,,,,,,,,,,
34,1960,3,Oui,,7 m²,17 m²,2,,Non,366 m²,Oui,,366 kWh/m²,E,Non communiqué,1000 kg CO₂/m²,79630 kWh/an,Non,Gaz,350.000 €,,,,,1.762 €,Non,"Place Albert 1er 9
5081 - Saint-Denis-Bovesse",1225 - 202502,,Après la signature de l’acte,À rénover,1,,1,3,10 m²,1,,,,Oui,,,,,,,,,,,,,,,,Ouest,,,,,,,,,,,,,,,,,,,,Semi-équipée,,,,,,,,,,,,218 m²,,,,,,,,,,,,,,,,,,,,,,,,
35,,3,,,Américaine semi-équipée,3,1,,,Non,6 m²,1 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,50.000 €,,Non,,,,,,,Oui,,,,,Non,,Oui,,,,,,,,,,,,Non,Non,,,,,,Oui,,,,Non,,Non,,Non,,,,,Oui,Non,Maison bel-étage,,,,Non,,,,,,,,,Zone non inondable,,Oui,,,,,,Excellente situation à Braine l'Alleud,,,,,,,,,,,,,,,,,
36,2020,2,222 m²,55 m²,Hyper équipée,3,1,1,2,Non,20000 m²,192 m²,Nord,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Non,Oui,465.800 €,,Non,"rue de Stalle 142
1180 - Uccle",20L2779-BLA,À définir,Excellent état,,2,,,15 m²,12 m²,10 m²,,,,20 m²,,,,,,,,,Oui,,,,,Connecté,,Nord,,,,,,,,,,,,,,,Oui,,,1 octobre 2021 - 00:00,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
37,,4,,37 m²,Hyper équipée,6,3,2,3,Non,2163 m²,,,413 kWh/m²,E,20210616019541,Non communiqué,119872 kWh/an,,,,,,Oui,1.095.000 €,,Non,"Allée du Bois de Bercuit 77
1390 - Grez-Doiceau",,Après la signature de l’acte,Excellent état,,,Oui,22 m²,17 m²,10 m²,22 m²,,,Non,,Oui,,,,4396676,,18 m,50 m²,,,,,30 m,Connecté,,,,,,44 m²,,,,,,,,,,,,,,,,Non,,,,,,,,,,Zone non inondable,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,
38,,3,220 m²,,Semi-équipée,4,1,,2,Non,383 m²,60 m²,,318 kWh/m²,D,20210923011925,79 kg CO₂/m²,69918 kWh/an,,Mazout,,,,,Faire offre à partir de 330.000 €,,Non,"Chaussée Paul Houtart 232
7110 - Houdeng-Goegnies",4490010,Après la signature de l’acte,Bon,1,2,,21 m²,15 m²,18 m²,10 m²,Oui,Oui,Non,95 m²,,,,,,,11 m,15 m²,,,,,,Connecté,,,Oui,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1997,4,43 m²,Équipée,16 m²,33 m²,1,3,13 m²,1601 m²,23 m,30 m²,,A,20210513009087,21 kg CO₂/m²,Non communiqué,Oui,,,,,Oui,240 m²,2.354 €,Non,"Avenue Louise 433
1050 - Bruxelles",4373796,,Après la signature de l’acte,Excellent état,1,4,,6,28 m²,16 m²,16 m²,,Non,1300 m²,Non,Non,73 kWh/m²,,,,,17 m,13 m²,,,,,Connecté,Non,,,Oui,,,2,,,,,,,,,,,,,,1 septembre 2021 - 00:00,,Non,,,,,,,,,,750.000 €,247 m²,,,,,,Bien immobilier situé entièrement ou partiellement dans une zone potentiellement inondable et dans une zone riveraine délimitée,,Oui,,,,,,,,,,,,,,,,
40,1978,4,180 m²,38 m²,Équipée,3,1,1,2,Non,821 m²,,,417 kWh/m²,E,20210809011917,90 kg CO₂/m²,75620 kWh/an,Non,Gaz,,,,Oui,379.000 €,1.824 €,Non,"Av. de la Belle Province 101
1420 - Braine-l Alleud",78316 - cv23,,À rénover,1,2,,10 m²,14 m²,10 m²,10 m²,,,,,,,,,,,15 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1988,4,186 m²,35 m²,Équipée,4,2,,2,Non,744 m²,,,453 kWh/m²,F,20210609003722,83 kg CO₂/m²,92878 kWh/an,,Gaz,,,,Oui,Faire offre à partir de 450.000 €,,Non,"Avenue du centenaire 53/4
1400 - Nivelles",4447009,Selon le locataire,Bon,2,3,,18 m²,19 m²,18 m²,15 m²,Oui,,Oui,62 m²,,Non,,,,,12 m,9 m²,,,,,,Connecté,,,Oui,,,,,,,,,,Oui,,,,,,,,,Non,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,
42,1992,4,54 m²,Hyper équipée,20 m²,32 m²,3,,16 m²,3596 m²,42 m,Oui,,C,20210518014884,Non communiqué,99898 kWh/an,Oui,,,,,,Zone non inondable,Non,,"Chaussée d'Alsemberg 4
1420 - Braine-l'Alleud",4425459,,Après la signature de l’acte,À rafraîchir,1,3,,6,23 m²,19 m²,17 m²,20 m²,,2500 m²,,Non,250 kWh/m²,,,,,21 m,14 m²,,,,,Connecté,Oui,,,Oui,,,3,Oui,,Non,,,,,,,,,,,,,Non,,,,,,,,,,840.000 €,302 m²,,Non,,,,,,,,,,,,,,,,,,,,,,
43,1960,3,167 m²,16 m²,Semi-équipée,3,1,1,1,Non,217 m²,,,303 kWh/m²,D,20140227012701,55 kg CO₂/m²,50151 kWh/an,,Gaz,,,,Oui,295.000 €,,Non,"Avenue du centenaire 53/4
1400 - Nivelles",4319728,Selon le locataire,Excellent état,2,2,Oui,9 m²,16 m²,12 m²,8 m²,,Oui,Oui,40 m²,,,,,,,6.5 m,,,,,,,,,,,,,,,,24 m²,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,292 m²,,,,,,,,,,,,,,,,,,
44,1918,2,170 m²,45 m²,Équipée,3,2,2,2,,400 m²,300 m²,,290 kWh/m²,D,20210511000181,Non communiqué,42926 kWh/an,,Gaz,,,Oui,Oui,395.000 €,599 €,Non,"Avenue Louise 367
1050 - Ixelles",,Après la signature de l’acte,Excellent état,,,,20 m²,16 m²,14 m²,11 m²,,,Oui,20 m²,,,,,4406927,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
45,1977,4,30 m²,Hyper équipée,20 m²,15 m²,1,2,Oui,1074 m²,20 m,150 m²,,C,20181227009837,39 kg CO₂/m²,35474 kWh/an,Gaz,,Oui,,,Oui,Zone non inondable,1.541 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4496394,,Après la signature de l’acte,Excellent état,1,4,,3,15 m²,10 m²,2,,,250 m²,Non,,223 kWh/m²,,,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,595.000 €,148 m²,Non,,,,,,,,,,,,,,,,,,,,,,,
46,,4,135 m²,35 m²,Équipée,3,1,1,2,Non,817 m²,,,224 kWh/m²,C,20210925002787,37 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,445.000 €,1.621 €,Non,"Av. de la Belle Province 101
1420 - Braine-l Alleud",78357 - B15,Immédiatement,Excellent état,1,,,9 m²,21 m²,13 m²,9 m²,Oui,,Oui,,Oui,,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
