,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Salles de bains,Toilettes,Buanderie,Surface de la cave,Meublé,Surface du terrain,Terrain plat,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Parlophone,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Largeur de la façade à rue,Parkings extérieurs,Combien de feux ouverts ?,Dressing,Salles de douche,Bureau,Espace professionnel,Porte blindée,Terrain arrière,Raccordement à l'égout,Attestation as-built,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Parkings intérieurs,Grenier,Isolé,Attestation de conformité des citernes à mazout,Jardin,Terrasse,Climatisation,Panneaux photovoltaïques,Accessible aux personnes avec un handicap,Nom du bien,Ascenseur,Accès sécurisé / alarme,Interphone vidéo,Surface de bureau,Salon,Surface du grenier,Terrain à front de rue,Terrain boisé,Pompe à chaleur,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Cave,Concierge,Jacuzzi,Sauna,Piscine,Internet,Obligation de construire,Visite virtuelle,Largeur du terrain à rue,Mise à prix,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Disponible le,Niveau E (performance énergétique globale),Valeur du bien,Bouquet,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Surface de l'espace professionnel,Nombre d'annexes,Surface constructible totale au sol,Informations supplémentaires,Charges mensuelles
20,Après la signature de l’acte,,1967,Excellent état,4,,38 m²,Oui,Américaine hyper-équipée,22 m²,5,32 m²,21 m²,20 m²,18 m²,13 m²,2,2,Oui,,,Oui,Connecté,,740 m²,25 m²,,Non,,,C,Non communiqué,Non communiqué,Non communiqué,Gaz,1.250.000 €,,,,,4.191 €,Non,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4457951,,10 m,3,,,3,Oui,,Non,,Oui,,,,,1,Non,,,,,,,Oui,,Non,Oui,,,,,,,,,,,,Oui,,,,265 kWh/m²,,,354 m²,,,,,,,,,,,,,,,,,,,,
21,,,2005,,,,423 m²,47 m²,,Hyper équipée,50 m²,3,30 m²,17 m²,14 m²,,,,4,Oui,,,,Non,Oui,,,240 m²,,Oui,105 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.250.000 €,3.400 €,Non,"Tramlaan 249
1933 - Sterrebeek",698C,,,,Oui,,Oui,,,Non,Non connecté,,Oui,,,1,,,,,,,,Non,,Oui,Non,Oui,10 m²,,,Non,Non,,,,,,Oui,Non,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,mercr. 15-22-29/9 et 6-13/10 de 12h30-14h30 et sam. 18-25/9 et 2-9-16/10 de 11h30-13h30. MASQUE ET GEL OBLIGATOIRES (NON FOURNIS) et par 2 personnes à la fois.,,,,,,,,,,,Après la signature de l’acte,,,,,,,,5,450 m²,228 kWh/m²,C,Non communiqué,,,,,,,Non communiqué,225.000 €,1.636 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,Non communiqué,Non,,,,,,,,,,,,,,,,,
23,4,,,,,,,,,,,132 kWh/m²,,,,,,,,,,,B,,,,,,,,Non communiqué,Non communiqué,Non communiqué,311.000 €,1.315 €,,,,,,,"Boulevard de Waterloo, 16
1000 - Bruxelles",Isabelle DROMET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156 m²,,Non,,Non,(àpd 1/9 au 6/10 incl.) : sam. de 14-16h et mercr. de 15-17h.,Après la signature de l’acte,,,,,,,,,,,,,,
24,1949,,À rénover,3,1,,,,,1,,Oui,,,,,,Oui,,,,,611 kWh/m²,,,,,,,,20210331-0002395172-RES-1,Non communiqué,Non communiqué,Non,Non,,,,1.022 €,,,"Hector Henneaulaan, 105
1930 - Zaventem",Evelyne VAN LIL,,,,,,,,Oui,,,,,,,Zone non inondable,290.000 €,Oui,Oui,,,,F,,,,,,,,,3,,,,,,,,,2492 m²,,,,,,,Pas équipée,,Non,,Non,"nl :
elke zat. vanaf zat. 25/9 tem zat. 16/10, telkens van 10u-11u, enkel en alleen mogelijk mits het dragen v/e mondmasker",Après la signature de l’acte,,,,,,,,,,,,,,
25,,,,,,,,,,2005,,Bon,,,,,,2,,,,1,Urbain,,,101 m²,,,,,Américaine hyper-équipée,2,1,Non,55 m²,30 m²,,Non communiqué,Non communiqué,Gaz,Oui,,Oui,Non,Non,,,,,,,,,,,,216 kWh/m²,C,20211012-0002467856-RES-1,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,À définir,,1987,3,1,1,Urbain,215 m²,,,38 m²,11 m²,,,,17 m²,,2,,,,,Oui,357 m²,Connecté,Non,Oui,Non,Oui,Oui,,20210430-0002409302-RES-1,,Non communiqué,,Non communiqué,Gaz,Oui,,,,,Hyper équipée,,,,,13 m²,,,252 kWh/m²,C,,19 m²,,,,1,,,,,2,Oui,,,,,,,,,,,Oui,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,À définir,,,,,,164 m²,,,,,4,,,,,,1,2,,,Non,95 m²,,,32 m²,,,,,188 kWh/m²,B,Certificaat-20210607-0002425650-RES-1.pdf,Non communiqué,Non communiqué,Gaz,Oui,,,,379.000 €,,Non,"Leuvensesteenweg 417
3070 - Kortenberg",4173 - VK 630 WS,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,1 mars 2022 - 00:00,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Après la signature de l’acte,1,250 m²,3,,,Oui,Non,294 m²,538 kWh/m²,F,20210805-0002448566-RES-1,Non communiqué,Non communiqué,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Après la signature de l’acte,,2007,Excellent état,2,Isolé,32 m²,Hyper équipée,,8 m²,4,26 m²,13 m²,11 m²,9 m²,1,,2,Non,,,192 m²,Oui,,90 m²,24 m²,,Non,,,B,2342876,Non communiqué,Non communiqué,Gaz,Oui,Oui,,549.000 €,,1.315 €,Non,"Parvis Sainte-Alix 37
1150 - Woluwe-Saint-Pierre",4364325,,6 m,1,,,,,,,,,,Oui,Zone non inondable,,1,,,,,,,,,,Oui,131 kWh/m²,,,,,,,,,,,,,,,,,,,186 m²,,,,,,,,,,,,,,,,,,,,
