,État du bâtiment,Salon,Type de cuisine,Chambres,Dressing,Toilettes,Bureau,Meublé,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO?,Consommation théorique totale d'énergie primaire,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Double vitrage,Permis de bâtir obtenu,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Année de construction,Nombre de façades,Visite virtuelle,Surface habitable,Salles de bains,Espace professionnel,Cave,Porte blindée,Raccordement à l'égout,"Eau, gaz & électricité",Ascenseur,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Niveau E (performance énergétique globale),Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Revenu cadastral,Surface du salon,Surface de la cuisine,Surface de la cave,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Buanderie,Surface de bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Nombre d'annexes,Concierge,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Salle à manger,Largeur du terrain à rue,Quartier ou lieu-dit,Surface de la chambre 4,Grenier,Surface constructible totale au sol,Disponible le,Salles de douche,Terrasse,Surface du grenier,Référence externe,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Combien de feux ouverts ?,Jardin,Surface de l'espace professionnel,Attestation as-built,Isolé,Surface de la chambre 5,Nom de l'agent,Pourcentage loué
92,Bon,,,4,,,,Non,663 m²,232 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Oui,Oui,,Non,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",439.000 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,1991,4,,205 m²,2,,,Non,Connecté,Oui,,,,232,Non,Non,Non,1.484 €,38 m²,13 m²,,11 m,,,,,,,,,,,,,,,,,,,,,,,,,,,20 m,,,,,,,,,,Villa,,,,,,,,,,,,
93,Bon,,Équipée,4,,2,,Non,641 m²,405 kWh/m²,E,20210610-0002426402-RES-1,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,Oui,"Geraardsbergenstraat 13A
9570 - Lierde",924 - DS21/026,Après la signature de l’acte,,4,,212 m²,1,,Oui,,,Oui,,,,,,,,1.276 €,37 m²,11 m²,,11 m,2,4,,21 m²,18 m²,14 m²,,,Non,,,,,Sud-ouest,,,,,,,,,,,,,18.6 m,,13 m²,,,,,,,,,,,,,,Oui,,Non,,,,
94,Bon,,Équipée,4,,2,,Non,641 m²,405 kWh/m²,E,20210610-0002426402-RES-1,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,Non,"Geraardsbergenstraat 13A
9570 - Lierde",913 - DS21/026,Après la signature de l’acte,,4,,212 m²,1,,Oui,,,Oui,,,,,,,,1.276 €,37 m²,11 m²,,11 m,2,4,,21 m²,18 m²,14 m²,,,Non,,,,,Sud-ouest,,,,,,,,,,,,,18.6 m,,13 m²,,,,,,,,,,,,,,Oui,,Non,,,,
95,À rénover,,,3,,,,Non,1200 m²,456 kWh/m²,E,20160612-0001870589-1,Non communiqué,Non communiqué,,Mazout,Non,Oui,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Non,"Alsembergsesteenweg 570
1653 - Dworp",,,1931,4,,192 m²,1,,,Non,Connecté,Oui,,,,456,Non,Non,Non,522 €,,22 m²,7 m²,,,,,,,,,,,,,,,,182 m²,,,,,,,,,,,,,,,,,,,,,353,,,,,,,,,,,,,
96,À rafraîchir,,Semi-équipée,3,Non,2,Non,Non,398 m²,347 kWh/m²,D,20210830-0002457663-RES-1,Non communiqué,Non communiqué,,Mazout,Non,Oui,Oui,Non,Oui,,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,Non,,,,1979,3,,238 m²,1,Non,,Non,,Non,,,,,Non,Non,Non,,40 m²,10 m²,,,3,1,Pays,16 m²,16 m²,12 m²,Oui,,Non,Non,Non,Non,,,,,1,,,,,,,,,,,,,,,,,,36 m²,,,,,,,,,,,Oui,,,
97,À rénover,,Équipée,2,,,,,350 m²,881 kWh/m²,F,20120902-0001197375-00000008-5,Non communiqué,Non communiqué,,Mazout,,Oui,,,,Non,,Zone non inondable,,230.000 €,Non,"Bevrijdingsplein 2
1500 - Halle",4492780,,,3,,112 m²,1,,Oui,,Connecté,Non,,,,,,,,570 €,40 m²,10 m²,,10 m,1,,Urbain,21 m²,22 m²,,,,,,,,,,18 m²,,,,,,,,,,,,16 m,,,Oui,,,,,,,,,,,,,,,,,,,
98,À rénover,,Semi-équipée,4,,1,,Non,1920 m²,715 kWh/m²,F,20210428-0002408290-RES-1,Non communiqué,Non communiqué,,Gaz,,Oui,,,,Non,,Zone non inondable,,295.000 €,Non,"Edingsesteenweg 341
1755 - Kester",2577 - 21/000040/506,Après la signature de l’acte,1900,4,,310 m²,1,,Oui,,,,,,,,,,,495 €,,9 m²,,,5,5,,35 m²,18 m²,16 m²,,,,,,,,Sud,,,,,,,,,,,,,,,15 m²,,,,,,,,,,,,,,Oui,,Non,,,,
99,À rafraîchir,,,3,,1,,,341 m²,450 kWh/m²,E,2454446,Non communiqué,Non communiqué,,Gaz,,Oui,,,,,,Zone non inondable,,258.000 €,Non,"Basiliekstraat 135
1500 - Halle",4425555,Après la signature de l’acte,1964,3,,183 m²,1,,Oui,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,204 m²,,30 m²,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,
100,Excellent état,Oui,Équipée,4,Non,3,Oui,Non,330 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Oui,,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",708.000 €,Non,,,,,3,,286 m²,1,Oui,,Non,Connecté,Oui,Non,Non,Non,,Non,Oui,Non,594 €,,18 m²,50 m²,7 m,,4,Aménagé,20 m²,13 m²,20 m²,Oui,9 m²,Oui,Non,Non,Oui,166 m²,,30 m²,,1,Non,Oui,Non,Non,Non,Non,Non,Oui,,16 m,,13 m²,,160 m²,,1,,24 m²,,,,,,,,,35 m²,"Oui, conforme",,,,
101,,,Hyper équipée,3,,,,Non,273 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",Gaz,Non,Oui,Oui,,Non,Non,Non,,Zone agricole,394.900 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,À la livraison,2020,3,,158 m²,1,,,Non,Connecté,Oui,,,,,Oui,Oui,Non,,,,,,,,,,,,,,,,,,121 m²,,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,Hyper équipée,3,,,,Non,274 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",Gaz,Non,Oui,Oui,,Non,Non,Non,,Zone agricole,394.900 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,À la livraison,2020,3,,158 m²,1,,,Non,Connecté,Oui,,,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,121 m²,,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,Hyper équipée,3,,,,Non,272 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",Gaz,Non,Oui,Oui,,Non,Non,Non,,Zone agricole,394.900 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,À la livraison,2020,3,,158 m²,1,,,Non,Connecté,Oui,,,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,118 m²,,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,Hyper équipée,3,,,,Non,274 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",Gaz,Non,Oui,Oui,,Non,Non,Non,,Zone agricole,394.900 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,À la livraison,2020,3,,158 m²,1,,,Non,Connecté,Oui,,,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,121 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Fraîchement rénové,,Équipée,2,,2,Oui,,243 m²,486 kWh/m²,E,20200220-0002251156-RES-1,Non communiqué,Non communiqué,,Gaz,Non,Oui,Oui,,Non,Non,,Zone non inondable,,410.000 €,Oui,"Poststraat 51
1500 - Halle",,À définir,1955,3,,112 m²,1,,,,Connecté,,,,,,,Non,,1.675 €,42 m²,14 m²,,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",16 m²,9 m²,,,36 m²,,,,,,,,,,,,,,,,,,,22 m,,,,,,,Oui,,,,,,,,,,,,,,Bob TEURLINGS,
106,,,,3,Non,,Non,,150 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,,,,,,,,387.000 €,Non,"206 Moorselestraat
8930 - Menen",,,,,,,,,,,Non connecté,Non,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,LEERBEEK,,,,,,,,,,,,,
107,,,,,,,,,,Non communiqué,Non communiqué,1234,Non communiqué,Non communiqué,,,,,,,,,,Zone non inondable,,,Non,"Burchtstraat 12
9400 - Ninove",4057791,À la livraison,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,À rafraîchir,,Équipée,3,,2,,Non,1162 m²,377 kWh/m²,D,2330724,Non communiqué,Non communiqué,,Mazout,,Oui,Oui,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,Non,"Burchtstraat 12
9400 - Ninove",4449995,Immédiatement,1985,4,,249 m²,1,,,,,Non,,,,,,,,,30 m²,19 m²,,,1,,Pays,23 m²,15 m²,14 m²,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,1,Oui,,,,,,,,,,,,,,,
109,Excellent état,,Américaine hyper-équipée,3,,2,,,120 m²,Non communiqué,Non communiqué,123456,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Oui,Non,Non,Zone non inondable,,378.950 €,Non,"Burchtstraat 12
9400 - Ninove",4180442,À la livraison,2022,3,,172 m²,1,,,,,,Non,Oui,,30,,,,,55 m²,,,,,1,Isolé,14 m²,13 m²,14 m²,,,,,,,120 m²,,20 m²,,,,,,,,,Non,,,,,,,,,2,,,,,,,,,,,,,,,,
110,Bon,,43 m²,18 m²,,40 m²,,,2000 m²,E,2429025,Non communiqué,Non communiqué,Mazout,,Oui,,Oui,Non,,Non,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",855.000 €,Non,"Astridlaan 1
1700 - Dilbeek",4527907,,Après la signature de l’acte,1977,4,404 m²,55 m²,1,,,,,,Non,Oui,Oui,,,,,,Hyper équipée,6,2539 m²,,2,4,"Zone d'habitat (résidentiel, urbain ou rural)",11 m²,12 m²,3,,,,,,,Oui,,,,,,,,Non,,,456 kWh/m²,,,,,,,,,3,Non,,,,,,,,,,,,,,,
111,Bon,,Équipée,3,,2,,Non,108 m²,158 kWh/m²,B,20210907-0002460707-RES-1,Non communiqué,Non communiqué,,Gaz,,Oui,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",310.000 €,,"Brusselsesteenweg 89
9400 - Ninove",,Après la signature de l’acte,1963,2,,167 m²,1,,Oui,,Connecté,,,,,,,,,718 €,47 m²,,,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",15 m²,14 m²,40 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,40 m²,,,,,,,,,,Non,,,,
112,Oui,Équipée,1,1,,Oui,Oui,,,202110816-0002452095-RES-1,Non communiqué,Non communiqué,Gaz,Non,,Non,Oui,,Non,,Zone non inondable,190.000 €,,875 €,,,Maria RISTUCCIA,,,Bon,,,Oui,,Oui,,625 kWh/m²,,,,,,,,,Non,,"Boulevard Edmond Machtens 57/17
1080 - Molenbeek-Saint-Jean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,F,,,,Non,"Chaque dimanche de 14h00 à 16h00 et chaque mardi de 10h00 à 12h00, à partir du mardi 05 octobre 2021 jusqu’au mardi 02 novembre 2021 inclus.",Après la signature de l’acte,Non,,,,,,,,
113,Fraîchement rénové,,Équipée,2,Non,1,Non,Non,462 m²,151 kWh/m²,B,UC:2419124-RES-1,Non communiqué,Non communiqué,Non,Gaz,Non,Oui,Oui,Non,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",370.000 €,Non,"Marktplein 16
1570 - Galmaarden",spir1423,Après la signature de l’acte,,3,,151 m²,1,,,,,,,,,,,,,743 €,25 m²,24 m²,17 m²,,1,2,,16 m²,47 m²,,,,,,,,,Sud-est,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,Oui,,,,,,
114,,,,Oui,,,,,531 kWh/m²,20210922-0002467623-RES-1,Non communiqué,Non communiqué,Oui,Oui,,,,,Non,,Zone inondable potentielle,200.000 €,,1.561 €,,,Kim BORLOO,,,1978,4,1,2434 m²,,,,,,,,,,,,,,,"Kapellestraat, 13
1760",,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,Non,"nl :
elke zaterdag van 2 oktober 2021 tot en met zaterdag 23 oktober 2021 van 14 tot 16 uur",Après la signature de l’acte,Non,,,,,,,,
115,Excellent état,,,3,,,,,464 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,470.101 €,Non,"Kerkstraat, 38
1755 - Oetingen",4512794,À la livraison,,3,,186 m²,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,7 m,,,,,,,,,,,,,,,,,,,,,,
116,Excellent état,,,3,,,,Non,269 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,405.044 €,Non,"Kerkstraat, 38
1755 - Oetingen",4401624,À la livraison,,3,,152 m²,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Excellent état,,,3,,,,,268 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,370.633 €,Non,"Kerkstraat, 38
1755 - Oetingen",4382267,À la livraison,,3,,135 m²,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,7 m,,,,,,,,,,,,,,,,,,,,,,
118,Excellent état,,,3,,,,,266 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,380.086 €,Non,"Kerkstraat, 38
1755 - Oetingen",4382286,À la livraison,,3,,138 m²,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,7 m,,,,,,,,,,,,,,,,,,,,,,
119,Excellent état,,,3,,,,Non,267 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,413.770 €,Non,"Kerkstraat, 38
1755 - Oetingen",4455330,À la livraison,,2,,146 m²,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Excellent état,,,3,,,,Non,293 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,466.188 €,Non,"Kerkstraat, 38
1755 - Oetingen",4455374,À la livraison,,3,,154 m²,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Excellent état,,,3,,,,Non,421 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,485.308 €,Non,"Kerkstraat, 38
1755 - Oetingen",4455411,À la livraison,,3,,154 m²,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Excellent état,,,3,,,,Non,235 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,484.019 €,Non,"Kerkstraat, 38
1755 - Oetingen",4453744,À la livraison,,3,,150 m²,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Excellent état,,,4,,,,Non,354 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,521.664 €,Non,"Kerkstraat, 38
1755 - Oetingen",4455391,À la livraison,,3,,166 m²,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,À rafraîchir,,Équipée,3,Non,2,Non,Non,835 m²,477 kWh/m²,E,20110712-0000879946-00000001-9,Non communiqué,Non communiqué,,Gaz,Non,Oui,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",310.000 €,Oui,,,Selon le locataire,,2,,396 m²,1,Non,,Non,Connecté,Oui,Non,Non,Non,477,Non,Non,Non,1.344 €,21 m²,11 m²,,14 m,,,"Zone d'habitat (résidentiel, urbain ou rural)",16 m²,14 m²,14 m²,,,Non,Non,Non,Oui,486 m²,Sud,8 m²,Sud,,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,21 m,,,,396 m²,,,,73 m²,,Toutes sortes,,,,,1,,280 m²,,Oui,,,50
125,À rénover,,Pas équipée,3,,1,,,670 m²,676 kWh/m²,F,20210401-0002395809-RES-1,Non communiqué,Non communiqué,,Mazout,,,Oui,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",335.000 €,Non,"Brusselsesteenweg 594
1731 - Zellik",4359684,Après la signature de l’acte,1963,4,,215 m²,,,Oui,,Connecté,Non,,,,,,,,1.351 €,40 m²,10 m²,,8.3 m,1,3,Urbain,15 m²,14 m²,7 m²,,,,,,,,,,,,,,,,,,,,,15 m,,,Oui,,,,,,,,,,,,,,,,,,,
126,À rafraîchir,,Équipée,3,Non,2,Non,Non,336 m²,584 kWh/m²,F,20140210-0001528904-00000019-3,Non communiqué,Non communiqué,,Gaz,Non,Oui,Oui,Non,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",235.000 €,Oui,,,Selon le locataire,,2,,175 m²,1,Non,Oui,Non,Connecté,Oui,Non,Non,Non,584,Non,Non,Non,,30 m²,8 m²,,4 m,,,"Zone d'habitat (résidentiel, urbain ou rural)",17 m²,17 m²,34 m²,Oui,,Non,Non,Non,Oui,197 m²,Sud,,Sud,,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,,,,,,,,Oui,92 m²,,,,,,,,,,,,,,100
127,Bon,,Équipée,3,,2,,Non,555 m²,255 kWh/m²,C,20150413-0001749290-1,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Oui,,,Zone inondable potentielle,Zone réservée,399.000 €,Non,"Ninoofsesteenweg 85
1700 - Dilbeek",4373145,Après la signature de l’acte,1980,3,,156 m²,1,,Oui,,Connecté,Oui,,,,,,,,,40 m²,16 m²,,,1,2,,22 m²,18 m²,11 m²,,,,,,,,,14 m²,,,,,,,,,,,,,Roosdaal,,Oui,,,,,,,,,,,,,,,,,,,
128,Bon,,Équipée,2,Non,1,Non,Non,40 m²,424 kWh/m²,E,2424282,Non communiqué,Non communiqué,"Oui, conforme",Mazout,Non,Oui,,,,Non,Non,Zone non inondable,,195.000 €,Non,,,Immédiatement,1947,2,,64 m²,1,Non,,Non,,Oui,Non,Non,Non,,Non,Non,Non,300 €,12 m²,10 m²,8 m²,4 m,,,"Zone d'habitat (résidentiel, urbain ou rural)",12 m²,10 m²,,,,Non,Non,Oui,Non,10 m²,Sud,,,,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,,21 m²,,Toutes sortes,,,,,,,,,,,,
129,,,Équipée,4,,2,,Non,150 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,Non,"Ninoofsesteenweg 67
1500 - Halle",564 - 336,Après la signature de l’acte,2020,2,,140 m²,1,,,,,Oui,,,,,,,,,39 m²,,,,,1,,,,,,,,,,,,Sud,,,,,,,,,,,,,5.25 m,,,,,,,Oui,,,,,,,,,Oui,,Non,,,,
130,,,Équipée,4,,2,,Non,150 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,Non,"Ninoofsesteenweg 67
1500 - Halle",547 - 336,Après la signature de l’acte,2020,2,,140 m²,1,,,,,Oui,,,,,,,,,39 m²,,,,,1,,,,,,,,,,,,Sud,,,,,,,,,,,,,5.25 m,,,,,,,Oui,,,,,,,,,Oui,,Non,,,,
131,,,Équipée,4,,2,,Non,150 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,Non,"Ninoofsesteenweg 67
1500 - Halle",546 - 336,Après la signature de l’acte,2020,2,,140 m²,1,,,,,Oui,,,,,,,,,39 m²,,,,,1,,,,,,,,,,,,Sud,,,,,,,,,,,,,5.25 m,,,,,,,Oui,,,,,,,,,Oui,,Non,,,,
132,,,,4,Non,,Non,Non,535 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Non,Non,,Non,,,,,Autre type de zone,387.812 €,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,
133,,,,4,Non,,Non,Non,931 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Non,Non,,Non,,,,,Autre type de zone,437.924 €,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 m,,,,,,,,,,,,,,,,,,,,,,
134,,,,4,Non,,Non,Non,450 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Non,Non,,Non,,,,,Autre type de zone,417.351 €,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 m,,,,,,,,,,,,,,,,,,,,,,
135,,,,3,Non,,Non,Non,1744 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Non,Non,,Non,,,,,Autre type de zone,481.825 €,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 m,,,,,,,,,,,,,,,,,,,,,,
136,,,,4,Non,,Non,Non,446 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Non,Non,,Non,,,,,Autre type de zone,406.851 €,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 m,,,,,,,,,,,,,,,,,,,,,,
137,,Oui,Hyper équipée,3,Non,2,Non,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,,,,,,,,461.154 €,Non,"Burgemeester De Cocklaan 10/1
9320 - Aalst",SDB 20052123,,,,,143 m²,1,,,,Non connecté,Oui,,,,,,,,,,,,7.2 m,1,,,,,,Oui,,Non,Non,Non,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
138,,,,3,Non,,Non,,448 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,,,,,,,,493.648 €,Non,"Burgemeester De Cocklaan 10/1
9320 - Aalst",TC21051907,,,,,202 m²,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,3,Non,,Non,Non,529 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,,,,,,,,542.862 €,Non,"Burgemeester De Cocklaan 10/1
9320 - Aalst",TC21060901,,,,,217 m²,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Fraîchement rénové,,,3,,2,,,189 m²,336 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,,,Non,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,Non,"Ninoofsesteenweg 84
1750 - Lennik",4380406,À définir,1955,3,,175 m²,,,,,,Non,,,,,,,,708 €,54 m²,15 m²,20 m²,8.5 m,,,Pays,26 m²,12 m²,12 m²,,,,,,,,,9 m²,,,,,,,,,,,Oui,8.5 m,Roosdaal,,,,,,,,,,,,,,,,,,,,,
141,Bon,,Américaine hyper-équipée,3,,2,Oui,,1084 m²,307 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,Non,"Ninoofsesteenweg 84
1750 - Lennik",4489939,À définir,1993,4,,168 m²,1,,,,,,,,,,,,,917 €,32 m²,11 m²,,,1,5,,11 m²,12 m²,14 m²,,7 m²,,,,,,,,,,,,,,,,,,,,Roosdaal,,,,,,,,,,,,,,,,,,,,,
142,Bon,,Américaine hyper-équipée,2,,,,,700 m²,300 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,Oui,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",385.000 €,Non,"Ninoofsesteenweg 84
1750 - Lennik",4456426,Après la signature de l’acte,1999,4,,168 m²,,,,,Connecté,,,,,,,,,1.058 €,32 m²,11 m²,,9 m,,,,16 m²,8 m²,,,,,,,,,,,,,,,,,,,,,,9 m,Roosdaal,,,,,,Oui,53 m²,,,,,,,,,,,,,,
143,À rénover,,Américaine semi-équipée,4,,,,,460 m²,726 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,"Ninoofsesteenweg 84
1750 - Lennik",4394183,Après la signature de l’acte,1960,4,,250 m²,2,,,,Connecté,,,,,,,,,1.100 €,45 m²,12 m²,,11.75 m,,,,17 m²,13 m²,12 m²,,,,,,,,,,,,,,,,,,,,,42 m,Roosdaal,12 m²,,,,,Oui,,,,,,,,,,,,,,,
