,État du bâtiment,Salon,Type de cuisine,Chambres,Dressing,Toilettes,Bureau,Meublé,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO?,Consommation théorique totale d'énergie primaire,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Double vitrage,Permis de bâtir obtenu,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Année de construction,Nombre de façades,Visite virtuelle,Surface habitable,Salles de bains,Espace professionnel,Cave,Porte blindée,Raccordement à l'égout,"Eau, gaz & électricité",Ascenseur,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Niveau E (performance énergétique globale),Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Revenu cadastral,Surface du salon,Surface de la cuisine,Surface de la cave,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Buanderie,Surface de bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Nombre d'annexes,Concierge,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Salle à manger,Largeur du terrain à rue,Quartier ou lieu-dit,Surface de la chambre 4,Grenier,Surface constructible totale au sol,Disponible le,Salles de douche,Terrasse,Surface du grenier,Référence externe,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Combien de feux ouverts ?,Jardin,Surface de l'espace professionnel,Attestation as-built,Isolé,Surface de la chambre 5,Nom de l'agent,Pourcentage loué
33,,,Équipée,3,,2,,Non,297 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",445.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",1782528 - 2021/341c/,,2021,3,,145 m²,1,,,,,Oui,,,,30,,,,,30 m²,,,,2,1,,,,,,,,,,,175 m²,Ouest,21 m²,,,,,,,,,,,,10.32 m,,,,,31 octobre 2022 - 00:00,,,,,,,,,,,,,Non,,,,
34,Excellent état,,Hyper équipée,2,,2,,,91 m²,318 kWh/m²,D,20190211-0001978525-RES2,Non communiqué,Non communiqué,,Gaz,,Oui,,,,,,Zone non inondable,,249.000 €,Non,"Marktstraat 5
1745 - Opwijk",4528432,Selon le locataire,,3,,83 m²,1,,Oui,,Connecté,Non,,,,,,,,,29 m²,7 m²,,5 m,,,,12 m²,10 m²,,,,,,,,,,34 m²,,,,,,,,,,,,,Opwijk,,,,,,,,,,,,,,,,,,,,,
35,Bon,,Équipée,3,,2,,,516 m²,830 kWh/m²,F,20210901-0002457953-RES-2,Non communiqué,Non communiqué,,Gaz,,Oui,,,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",359.000 €,Non,"Marktstraat 5
1745 - Opwijk",4493259,Après la signature de l’acte,1961,4,,175 m²,1,,,,Connecté,Oui,,,,,,,,984 €,34 m²,16 m²,,,1,2,,17 m²,15 m²,14 m²,,,,,,,,,,,,,,,,,,,,,,Opwijk,,Oui,,,,Oui,,,,,,,,,,,,,,,
36,,,Hyper équipée,2,,2,,Non,117 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,,,,,,Zone non inondable,,392.110 €,Non,"Marktstraat 5
1745 - Opwijk",4512685,À la livraison,2021,2,,160 m²,1,,,,Connecté,Oui,,,,,,,,,13 m²,11 m²,,,,1,,12 m²,9 m²,,,,,,,,34 m²,,21 m²,,,,,,,,,,,Oui,,,,Oui,,,1,,,,,,,,,,,,,,,,
37,,Oui,,3,Non,2,Non,,842 m²,185 kWh/m²,B,20210601-0002423208-RES-1,Non communiqué,Non communiqué,,,,Oui,Oui,Non,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",469.000 €,Non,"Kasteelstraat 198
9255 - Buggenhout",4220,,1999,,,174 m²,1,,,,Connecté,Non,Non,Non,Non,,,,,,,,,12 m,1,2,,,,,,,Non,Non,Non,Non,,Sud-ouest,,,,Non,Oui,,Oui,,,Non,,,,,,,,,,Oui,,,Toutes sortes,,,,,,Oui,,,,,,
38,,,Hyper équipée,2,,2,,Non,120 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,,,,,,Zone non inondable,,392.110 €,Non,"Marktstraat 5
1745 - Opwijk",4512683,À la livraison,2021,2,,160 m²,1,,,,Connecté,Non,,,,,,,,,13 m²,11 m²,,,,1,,12 m²,9 m²,,,,,,,,35 m²,,,,,,,,,,,,,Oui,,,,Oui,,,1,Oui,,,,,,,,,,,,,,,
39,,,Hyper équipée,2,,2,,Non,118 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,,,,,,Zone non inondable,,398.900 €,Non,"Marktstraat 5
1745 - Opwijk",4512686,À la livraison,2021,3,,164 m²,1,,,,Connecté,Oui,,,,,,,,,13 m²,11 m²,,,,1,,12 m²,9 m²,,,,,,,,35 m²,,,,,,,,,,,,,Oui,,,,Oui,,,1,Oui,,,,,,,,,,,,,,,
40,,,Hyper équipée,2,,2,,Non,120 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,,,,,,Zone non inondable,,392.110 €,Non,"Marktstraat 5
1745 - Opwijk",4512681,À la livraison,2021,2,,160 m²,1,,,,Connecté,Oui,,,,,,,,,13 m²,11 m²,,,,1,,12 m²,9 m²,,,,,,,,35 m²,,15 m²,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,
41,,,Hyper équipée,2,,2,,Non,151 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,,,,,,Zone non inondable,,407.364 €,Non,"Marktstraat 5
1745 - Opwijk",4512684,À la livraison,2021,3,,163 m²,1,,,,Connecté,Oui,,,,,,,,,13 m²,11 m²,,,,1,,12 m²,9 m²,,,,,,,,44 m²,,21 m²,,,,,,,,,,,Oui,,,,Oui,,,1,,,,,,,,,,,,,,,,
42,,,Pas équipée,3,,2,,Non,240 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,435.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",1782533 - 457,,,,,145 m²,1,,,,,Oui,,,,,,,,,30 m²,,,,2,1,,,,,,,,,,,100 m²,Ouest,21 m²,,,,,,,,,,,,10.32 m,,,,,,,,,,,,,,,,,,Non,,,,
