,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Toilettes,Surface de bureau,Bureau,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Accès sécurisé / alarme,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,À partir de,Site internet,Parkings extérieurs,Salles de douche,Surface du jardin,Surface de la terrasse,Surface constructible totale au sol,Type de zone inondable,Dressing,Espace professionnel,Cave,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation de la terrasse,Attestation as-built,Attestation de conformité des citernes à mazout,Type de construction,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Grenier,Parlophone,Piscine,Disponible le,Largeur de la façade à rue,Type d’environnement,Visite virtuelle,Surface de la chambre 5,Largeur du terrain à rue,Ascenseur,Accessible aux personnes avec un handicap,Quartier ou lieu-dit,Lieu de la vente,Séance unique,Modalités de visite,Orientation du jardin,Pompe à chaleur,Panneaux solaires,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Mise à prix,Surface de la cave,Concierge,Interphone vidéo,Panneaux photovoltaïques,Chauffe-eau commun,Procédure pour violation de la réglementation urbanistique,Combien de feux ouverts ?,Buanderie,Salon,Jardin,Nombre d'annexes,Climatisation,Isolé,Nom de l'agent,Revenu mensuel actuel,Surface de l'espace professionnel,Niveau E (performance énergétique globale),Obligation de construire,Jacuzzi,Sauna,Internet,Surface du grenier,Charges mensuelles
142,1995,Bon,4,2,360 m²,77 m²,,Équipée,40 m²,4,54 m²,17 m²,17 m²,26 m²,2,3,,Oui,Non,Non,1843 m²,Non connecté,Oui,,Oui,210 kWh/m²,C,20180608-0002065361-1,19041 kg CO₂/m²,Non communiqué,,Oui,1.425.000 €,4.588 €,Non,"Zoniënwoudlaan 51A
1640 - Rhode-St-Genèse",,,EA_0568,2,,1843 m²,80 m²,451 m²,,,,,,,,,,,,Villa,Zone naturelle,,Non,Oui,,11.43 m,,,,22 m,Non,Non,,,,,Nord-est,,,Oui,Oui,Oui,,45 m²,,Oui,,,Non,,,,,,,,,,,,,,,,,
143,1954,À rénover,4,1,1,,,,,18 m²,14 m²,12 m²,8 m²,2,1,Non,,,1555 m²,,18.5 m,,1430 m²,,,F,Non communiqué,1000 kg CO₂/m²,Non communiqué,Non,Oui,,2.010 €,Non,"Karrenberg 37
1170 - Watermael-Boitsfort",788 - 184,,Après la signature de l’acte,,1,2,Sud,856 kWh/m²,,,,,,,,,,,Mazout,,,,,,,,,,137 m²,,Oui,,,,,,,16 m²,,,590.000 €,,,,,,,,,,4,,,,,,,,,,,,,,,,
144,,À rafraîchir,3,3,204 m²,25 m²,Oui,Équipée,,4,10 m²,14 m²,12 m²,25 m²,2,,,Non,Non,Non,717 m²,Connecté,Oui,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,435.000 €,,Oui,,,Immédiatement,,4,1,600 m²,,,Zone non inondable,Non,Non,,Non,Non,Oui,Non,,,Non,Toutes sortes,,,Non,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,Non,,,,,,Non,Non,,,,,40 m²,Non,Non,Non,Oui,,1,Oui,,,,Non,,,,,,,Non,Non,Oui,,
145,,,3,3,130 m²,40 m²,,,,4,,,,,2,2,,,Non,,1200 m²,,Oui,,,667 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,475.000 €,1.189 €,Non,"Place Communale , 10A
1630 - Linkebeek",,Après la signature de l’acte,2106 - 2182,3,,,,,,,,Oui,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1800,Bon,4,,300 m²,,,Équipée,,3,,,,,3,,,Oui,Non,Non,12000 m²,Connecté,Non,Oui,Oui,479 kWh/m²,E,1248664,Non communiqué,Non communiqué,,Oui,1.150.000 €,,Non,"Aarschotsesteenweg 201
2500 - Lier",IF-3010,,,5,,,,,Zone non inondable,,,Oui,,,,,,,,,Parc résidentiel,,Non,Non,,,,,,,Non,Non,,,,,,,,Oui,Non,Oui,,,,Oui,,,Non,1,,Oui,,,,,,,,,,,,,,
147,1920,Bon,,2,65 m²,20 m²,,Américaine équipée,,1,,,,,,2,7 m²,Oui,Non,,,,,,,478 kWh/m²,E,EP08008,Non communiqué,Non communiqué,Électrique,Oui,250.000 €,332 €,Non,"Rue J. Hazard, 35
1180 - Uccle",,Après la signature de l’acte,220057 - 111115189,,1,,40 m²,,,,,,,,,,,Non,,,,,,,,6 m,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,
148,1963,À rénover,2,1,91 m²,25 m²,,Pas équipée,8 m²,2,14 m²,13 m²,,,1,,,Oui,Non,,210 m²,Connecté,Oui,,,476 kWh/m²,E,20200316-0002260376-RES-1,Non communiqué,Non communiqué,,Oui,229.000 €,,Non,"Avenue d'Itterbeek, 60
1070 - Anderlecht",,Après la signature de l’acte,4346871,,,121 m²,16 m²,,,,,,,,,,,,,,,,,,,,Isolé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 m²,
149,1963,À rénover,2,,151 m²,18 m²,,Pas équipée,8 m²,2,32 m²,15 m²,,,1,1,,Oui,,,212 m²,Connecté,Oui,,,265 kWh/m²,C,20200316-0002260369-RES-1,Non communiqué,Non communiqué,Gaz,Oui,219.000 €,,Non,"Avenue d'Itterbeek, 60
1070 - Anderlecht",,Après la signature de l’acte,4410931,,,121 m²,44 m²,,,,,,,,,,,,,,,,,,,,Isolé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 m²,
150,,À rafraîchir,4,,109 m²,,,Équipée,,3,,,,,1,,,,Non,,470 m²,,,,,841 kWh/m²,F,20210914-0002464146-RES-1,Non communiqué,Non communiqué,Gaz,,240.000 €,620 €,Non,"Tour & Taxis - Havenlaan 86c 106c
1000 - Brussels",,,D1000-21139,1,,,,,Zone non inondable,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Urbain,,,,,,,,,,,,,Oui,,Oui,,,,,,,Non,,,,,,,,,,,,,,,,,
151,,Fraîchement rénové,2,,110 m²,14 m²,,Équipée,14 m²,3,18 m²,9 m²,,,1,2,,,Non,,225 m²,,Oui,,,460 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Faire offre à partir de 270.000 €,428 €,Non,"Av. de la Belle Province 101
1420 - Braine-l Alleud",,Après la signature de l’acte,78364 - B19,,1,225 m²,,,,,,,,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
152,1919,,2,,245 m²,,,,,3,,,,,,,,,Non,,340 m²,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,299.000 €,712 €,Non,"Volpestraat 18
1500 - Halle",,,2594 -,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,Oui,,,,Équipée,5,,1,,,,,2,Oui,,,,,,,,828 kWh/m²,,F,20210728-0002445940-RES-1,Non communiqué,Non communiqué,Non,,Non,,Non,"Beerselsestraat, 63 / 1
1651 - Lot",Karolien VANDERVORST,,2,,,,Oui,,,115.000 €,,,360 m²,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
Vrij te bezoeken zonder afspraak op zaterdag 4, 11 en 18 september van 10u tot 12u en op woensdag 8, 15 en 22 september van 13u tot 15u.",Après la signature de l’acte,,,Oui,,Non,Zone d'inondation reconnue,472 €,,,,,,,,,Oui,,,,,,,,,,,,,,
154,,,,,,27 m²,,,9 m²,2,,,,,1,1,,Non,Non,Non,295 m²,Connecté,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,253.000 €,433 €,Non,"Basiliekstraat 136
1500 - Halle",,,5330,,,,3 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,
