,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Toilettes,Meublé,Surface du terrain,Terrain à front de rue,Terrain arrière,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Largeur de la façade à rue,Visite virtuelle,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Cave,Raccordement à l'égout,Surface du jardin,Surface constructible totale au sol,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Salle à manger,Surface de la chambre 4,Surface de la chambre 5,Surface de bureau,Bureau,Grenier,Porte blindée,Terrasse,Référence externe,Combien de feux ouverts ?,Dressing,Buanderie,Espace professionnel,Surface de la cave,Surface du grenier,Terrain boisé,Terrain plat,Nombre d'annexes,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Orientation de la terrasse,Salles de douche,Surface de l'espace professionnel,Quartier ou lieu-dit,Obligation de construire,Salon,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Isolé,Disponible le,Niveau E (performance énergétique globale),Nom du bien
139,À définir,1935,Bon,2,1,,,550 m²,Équipée,6,3,5,Non,488 m²,,,,,Oui,Est,,,318 kWh/m²,D,20210607-0002425568-RES-1,Non communiqué,Non communiqué,Non,Gaz,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",898.000 €,,Oui,"Bredabaan 260
2930 - Brasschaat",40719 - LIE-21-GLE-0,,,,,,,,Oui,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Immédiatement,2007,Excellent état,1,,,,340 m²,Équipée,6,2,3,Non,350 m²,Non,Non,11 m,Oui,,,,,229 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,,Zone non inondable,,675.000 €,1.632 €,Non,,,11 m,,,,,,,Oui,Connecté,100 m²,,,,Oui,,,,Oui,Oui,Non,,,,Oui,Oui,Oui,,,Non,Non,,,,,,,,,,,,,Non,Non,Non,Non,Toutes sortes,,,,,,Oui,,,,,,,,
141,Après la signature de l’acte,1965,Bon,3,1,4,,150 m²,Équipée,3,1,2,Non,356 m²,Non,Non,10 m,Oui,,,,Non,373 kWh/m²,D,20170329-0001947138-1,Non communiqué,Non communiqué,,Gaz,Oui,,,,,410.000 €,750 €,Non,,,10 m,,40 m²,9 m²,9 m²,10 m²,13 m²,Oui,,30 m²,,,,Oui,,,9 m²,Oui,Oui,Non,,,1,Non,,Oui,,,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Toutes sortes,,1,,,,,,,,,,,,
142,À définir,,Excellent état,,,,,56 m²,38 m²,25 m²,,Oui,187 m²,Connecté,,,,23 m²,,,Ouest,,D,20201021-0002330346-RES-1,Non communiqué,Non communiqué,Non,Gaz,Non,Oui,Non,Non,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",699.000 €,1.148 €,Non,"Leopoldstraat 37
2800 - Mechelen",,,,235 m²,Hyper équipée,4,16 m²,12 m²,10 m²,Non,Oui,,,,Zone non inondable,,Oui,,,,,,,,,3,,,,,,,,,,,,,,,,,,,Oui,Oui,Oui,,,350 kWh/m²,,,,,,,,,,,,,
143,Immédiatement,1903,Bon,2,,,Urbain,296 m²,Hyper équipée,4,3,3,,330 m²,,,5.4 m,Oui,,,,,91 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,Non,Zone non inondable,,598.000 €,1.289 €,Non,"Sint-Katelijnevest 24
2000 - Antwerpen",4318922,40 m,,,,,,,Oui,Connecté,280 m²,50 m²,Non,Non,,,,,,,,Oui,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,2,,Noorden van Antwerpen,,,,,,,,,,
144,Après la signature de l’acte,,À rénover,3,2,,,180 m²,Semi-équipée,3,1,1,Non,620 m²,,,10 m,,,Sud-est,,,967 kWh/m²,F,2358842-1,Non communiqué,Non communiqué,Non,,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",225.000 €,470 €,Non,"Keizerstraat 18B
2800 - Mechelen",,,,,13 m²,21 m²,11 m²,9 m²,Oui,,315 m²,,,Non,,,,,,,,,1699258 - 345345895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,À la livraison,2021,,2,1,,,162 m²,,3,1,2,Non,183 m²,,,,Oui,,Sud-est,14 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",336.000 €,,Non,"Antwerpsesteenweg 359
2500 - Lier",34788 - NWB-21-DHE-2,,,18 m²,,,,,,,88 m²,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,
146,À la livraison,2021,,3,,1,,228 m²,,4,,2,Non,341 m²,,,,Oui,,Nord-est,20 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",393.000 €,,Non,"Antwerpsesteenweg 359
2500 - Lier",34786 - NWB-21-DHE-2,,,29 m²,,,,,,,212 m²,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,
147,Après la signature de l’acte,1910,,2,1,,Isolé,180 m²,Américaine équipée,4,1,3,Non,220 m²,Oui,Non,,Oui,,Sud,25 m²,Non,208 kWh/m²,C,20210923-0002464149-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,Oui,,Zone non inondable,,365.000 €,580 €,Non,,,6 m,,18 m²,14 m²,16 m²,12 m²,10 m²,,Connecté,125 m²,,Oui,Non,,8 m²,,,Non,,Non,,,,Non,,Non,16 m²,,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,,Sud,1,,,,,,,,,,,,
148,À définir,,Excellent état,,1,1,,800 m²,Hyper équipée,4,,6,Non,6400 m²,,,,Oui,,,,Oui,115 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,,,,3.150.000 €,,Non,"Orteliuskaai, 8
2000 - Antwerpen",,,,,,,,,Oui,Connecté,,,Non,Non,,,,,,,,Oui,,,Oui,,,,,,,,Non,Non,,,Non,,,,,,,Non,,,,,,,,,,,,,,,,,,
149,Après la signature de l’acte,,À rénover,3,2,,,180 m²,Semi-équipée,3,1,1,Non,620 m²,,,10 m,,,Sud-est,,,967 kWh/m²,F,2358842-1,Non communiqué,Non communiqué,Non,,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",225.000 €,470 €,Non,"Keizerstraat 18B
2800 - Mechelen",,,,,13 m²,21 m²,11 m²,9 m²,Oui,,315 m²,,,Non,,,,,,,,,1699257 - 345345954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
