,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Toilettes,Meublé,Surface du terrain,Terrain à front de rue,Terrain arrière,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Largeur de la façade à rue,Visite virtuelle,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Cave,Raccordement à l'égout,Surface du jardin,Surface constructible totale au sol,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Salle à manger,Surface de la chambre 4,Surface de la chambre 5,Surface de bureau,Bureau,Grenier,Porte blindée,Terrasse,Référence externe,Combien de feux ouverts ?,Dressing,Buanderie,Espace professionnel,Surface de la cave,Surface du grenier,Terrain boisé,Terrain plat,Nombre d'annexes,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Orientation de la terrasse,Salles de douche,Surface de l'espace professionnel,Quartier ou lieu-dit,Obligation de construire,Salon,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Isolé,Disponible le,Niveau E (performance énergétique globale),Nom du bien
52,À définir,,Excellent état,,,,,190 m²,Équipée,3,,2,Non,184 m²,,,,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",307.805 €,,Non,"Kapelanielaan 9c
9140 - Temse",,,,,,,,,,Connecté,,,Oui,Non,,,,,,Oui,,Oui,,,Non,,,,,,,,,,,,,,,,,,,Non,Oui,Oui,,,,,,,,,,,,,,,35,
53,,2020,,,,,,8 m²,,20 m²,3,Oui,,Non,Non,Non,,Oui,Nord-ouest,Non communiqué,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",237.500 €,Non,,"Brasemstraat 8
2400 - Mol",M0046,,,225 m²,,4,15 m²,15 m²,13 m²,,Non,,,Non,Zone non inondable,,Oui,,,476 m²,,,,,,2,Non,,,,Non,Non connecté,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,
54,À la livraison,2021,,3,1,,Urbain,197 m²,,3,2,2,,242 m²,,,10.5 m,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",Gaz,Oui,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",255.750 €,,Non,"Markt 12
2470 - Retie",4521903,,,,,,,,,Connecté,,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,2,,,,,,,,,,,,
55,À la livraison,2021,,3,1,,,235 m²,,3,1,2,,270 m²,,,,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",264.400 €,,Non,"Markt 12
2470 - Retie",4522004,,,,,,,,,,170 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
56,À la livraison,2021,,3,1,,,235 m²,,3,1,2,,348 m²,,,,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",279.500 €,,Non,"Markt 12
2470 - Retie",4521970,,,,,,,,,,240 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
57,,,,3,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,4,,,,242 m²,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,261.500 €,,,"Molenhoek 47
2480 - Dessel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,Excellent état,4,,,,,,3,,,,400 m²,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,274.500 €,,,"Molenhoek 47
2480 - Dessel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Après la signature de l’acte,2005,Excellent état,4,2,2,,678 m²,Hyper équipée,5,2,3,Non,1373 m²,,,39.5 m,Oui,Oui,Sud-est,31 m²,,280 kWh/m²,C,20210513-0002415135-RES-1,Non communiqué,Non communiqué,Non,Mazout,Oui,Oui,Non,Zone non inondable,Parc résidentiel,1.195.000 €,2.364 €,Non,"Bredabaan 260
2930 - Brasschaat",40582 - HER-21-CVH-0,23 m,,73 m²,,,,,Oui,,,,Oui,Non,,,,28 m²,Oui,,,,,1,,,,,,,,,,,,,Oui,,Oui,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,,
60,À définir,,Bon,,,1,,153 m²,Équipée,3,,1,Non,5031 m²,,,,Oui,,,,,311 kWh/m²,D,2469680,Non communiqué,Non communiqué,,Mazout,Oui,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",334.000 €,754 €,Non,"Venlosesteenweg 56
3640 - Kinrooi",,,,,,,,,,Connecté,,,Non,Non,,,,,,Oui,,Oui,,,Non,,,,,,,,,,,,,,,,,,,Non,Oui,Oui,,,Nord-est,,,,,,,,,,,,,
61,À la livraison,2021,,4,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,3,,,,281 m²,,,,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,55 kg CO₂/m²,Non communiqué,,,,,,,,281.200 €,,,"Nijverheidsstraat 13
2260 - Oevel",Immo Thys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woonwijk Gabrielsdijk,,,,,,,,,,Gabrielsdijk - Lot 4
62,À définir,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,"Bleekstraat, 19
2480 - Dessel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Après la signature de l’acte,1966,À rafraîchir,4,,,,142 m²,Semi-équipée,3,1,1,Non,973 m²,,,,Oui,Oui,Nord,,,516 kWh/m²,F,20210416-0002402355,Non communiqué,Non communiqué,Non,Mazout,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,,Non,"Markt 20
2440 - Geel",40871 - TUR-21-KWO-0,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Après la signature de l’acte,1955,À rénover,4,,,,125 m²,Semi-équipée,2,1,,Non,850 m²,,,,Oui,,,,,1019 kWh/m²,F,20210713-0002441247-RES-1,Non communiqué,Non communiqué,"Oui, conforme",Mazout,Oui,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",199.000 €,,Non,"Markt 20
2440 - Geel",40868 - GEE-21-JVR-0,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Immédiatement,2000,Bon,4,,,,280 m²,Équipée,4,2,2,Non,1020 m²,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",389.000 €,,Non,"Markt 20
2440 - Geel",40872 - TUR-21-KWO-0,,,,,10 m²,14 m²,12 m²,,,,,Non,Non,,20 m²,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Après la signature de l’acte,1950,À rénover,2,,,,107 m²,,2,1,,Non,176 m²,,,,Oui,,,,,860 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",Charbon,Oui,Oui,Non,Zone non inondable,,205.000 €,,Non,"Markt 20
2440 - Geel",40870 - GEE-21-JVR-0,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Après la signature de l’acte,1961,À rénover,4,1,4,Pays,138 m²,Semi-équipée,3,1,1,Non,1994 m²,,,,Oui,,,,,1043 kWh/m²,F,20210720-0002443816-RES-1,Non communiqué,Non communiqué,Non,Mazout,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",255.000 €,,Non,"Markt 20
2440 - Geel",39135 - GEE-21-JVR-0,,,29 m²,17 m²,14 m²,11 m²,10 m²,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,À définir,1975,Fraîchement rénové,4,5,,,200 m²,Équipée,3,1,2,Non,2870 m²,,,,Oui,,,,,671 kWh/m²,F,20210715-0002442370-RES-1,Non communiqué,Non communiqué,Non,,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",380.000 €,,Non,"Markt 20
2440 - Geel",39164 - GEE-21-JVR-0,,,40 m²,,,,,Oui,,,,Non,Non,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Selon le locataire,2003,Excellent état,4,1,,,364 m²,Équipée,4,2,2,Non,1493 m²,,,,Oui,Oui,Ouest,70 m²,,209 kWh/m²,C,20121031-0001241061-0000022-5,Non communiqué,Non communiqué,Non,Mazout,Oui,Oui,Non,Zone non inondable,,464.000 €,,Non,"Kempenlaan 32
2300 - Turnhout",37112 - TUR-21-KWO-0,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Après la signature de l’acte,1964,Bon,3,1,3,,,Semi-équipée,3,1,2,Non,786 m²,,,,Oui,Oui,Sud,,,378 kWh/m²,D,20210315-0002387784-RES-1,Non communiqué,Non communiqué,Non,,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,,Non,"Markt 20
2440 - Geel",39983 - GEE-21-JVR-0,,,,,,,,Oui,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Immédiatement,1968,Excellent état,4,,,,125 m²,,3,1,1,Non,1524 m²,Non,Non,35 m,Oui,,Sud-ouest,,Non,613 kWh/m²,F,20181229-0002118470-2,Non communiqué,Non communiqué,,Mazout,Non,Oui,Oui,,,285.000 €,,Non,,,16 m,,28 m²,,14 m²,11 m²,11 m²,Oui,Connecté,1400 m²,,,Non,Oui,,,,Non,,Non,,,,Non,Oui,Non,,,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,"Oui, conforme",Non,Non,Non,Non,Toutes sortes,,1,,,,,,,,,,,,
72,Immédiatement,1974,À rafraîchir,4,2,3,"Zone d'habitat (résidentiel, urbain ou rural)",160 m²,,2,1,2,Non,1391 m²,Oui,Oui,30 m,Oui,,Sud,50 m²,Non,321 kWh/m²,D,30,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",315.000 €,1.050 €,Non,,,15 m,,48 m²,10 m²,18 m²,16 m²,,,Connecté,1200 m²,160 m²,Oui,Non,,,,,Non,,Non,,,,Non,,Non,42 m²,,Non,Oui,2,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,,Sud,,,,Non,,,,,,,,,
73,À définir,1930,Bon,4,,,,Oui,,1,Oui,,Non,Connecté,,,,344 kWh/m²,,,,,D,20210817-0002452209-RES-1,Non communiqué,Non communiqué,344,,Non,Non,,Non,Zone agricole,620.000 €,1.581 €,Non,"Geneinde 11
2260 - WESTERLO",VK2021042,,,317 m²,,,,,,Non,Oui,,,Non,Zone non inondable,1,,,,Oui,,3290 m²,,,,,,Oui,,,,,,,,,,,,,,,,,Non,Non,Non,Oui,,,,,,,,,,,,,,Mazout,
74,À définir,,Bon,3,,,"Zone d'habitat (résidentiel, urbain ou rural)",188 m²,Équipée,3,2,2,Non,311 m²,Non,Non,,Oui,,Sud-ouest,12 m²,Non,Non communiqué,Non communiqué,20110523-0000843109-00000011-6,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Oui,Zone non inondable,,279.000 €,430 €,Non,,,5 m,,25 m²,30 m²,22 m²,18 m²,18 m²,,Connecté,90 m²,,Oui,,Oui,,,,Non,,Non,,,,Oui,Oui,Non,14 m²,,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,,Sud-ouest,2,,,,,,,,,,,,
75,À définir,,Excellent état,,,,,42 m²,28 m²,26 m²,,Non,1200 m²,Connecté,,,,775 m²,,Non communiqué,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",475.000 €,Non,,"Leopoldstraat 37
2800 - Mechelen",,,,275 m²,Équipée,5,17 m²,15 m²,12 m²,,Oui,Nord-est,,,Zone non inondable,,12 m²,Oui,,,,,,,,3,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,
76,,2004,Bon,4,1,8,,384 m²,Équipée,3,1,3,Non,1219 m²,,,15 m,Oui,Oui,Nord,,Oui,122 kWh/m²,B,20210423-0002405758-RES-1,Non communiqué,Non communiqué,,,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",649.000 €,1.917 €,Non,"Graaf De Broquevillestraat 35
2400 - Mol",07/1908,9.2 m,,,,,,,Oui,Non connecté,,155 m²,Oui,Non,,,,,Non,,Oui,,,,,,,,,,,,,Non,Non,Non,Oui,,Non,,,,,,,,,Villa,,,,,,Oui,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,Non,,,,,Non,"Graatakker 91
2300 - Turnhout",4313384,,,,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Après la signature de l’acte,1964,Bon,4,,,,,Équipée,3,1,2,Non,864 m²,,,,,Oui,Sud,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",239.000 €,785 €,Non,"Herenthoutseweg 5
2200 - Herentals",TV-MOL66,,,,,10 m²,9 m²,8 m²,,,,,Non,Non,,,,,Non,,,,,,Non,,,30 m²,,,,,,,,,,,,,,,Non,Non,,,,,,,,,Non,,,,,,,,,
79,Après la signature de l’acte,1980,,3,,,,118 m²,,3,,2,Non,513 m²,,,,,,,,,491 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Mazout,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",279.000 €,,Non,"Herenthoutseweg 5
2200 - Herentals",TV-VIN8,,,,,12 m²,14 m²,13 m²,,,,,Non,Non,,,,,Non,,,,,,Non,,,10 m²,25 m²,,,,,,,,,,,,,,Non,Non,,,,,,,,,Non,,,,,,,,,
80,Après la signature de l’acte,,,4,,,Urbain,429 m²,,4,1,2,,2707 m²,,,20 m,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,,,,460.000 €,,Non,"Bisschopslaan 16
2340 - Beerse",,14 m,,71 m²,31 m²,30 m²,27 m²,21 m²,Oui,,,,,,,,,9 m²,Oui,Oui,,,4499112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,2021,,4,2,,,275 m²,,5,2,,Non,1203 m²,,,33 m,Non,Oui,Nord,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",475.000 €,451 €,Non,"Graaf De Broquevillestraat 35
2400 - Mol",07/1993,22 m,,,,,,,,Non connecté,,200 m²,Oui,Non,,,,,Non,,Non,,,,,,,,,,,,,Non,Non,Non,Oui,,Non,,,,,,,,,Villa,,,,,,Oui,,,,,,,,
82,,,,3,,,,162 m²,,34,1,,,650 m²,,,,,,,,,307 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,,,,,,222.000 €,,Non,"Zuiderring 106
2400 - Mol",4226846,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,4,,,,200 m²,,5,1,,,1527 m²,,,,,,,,,153 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,,,,,,349.000 €,,Non,"Zuiderring 106
2400 - Mol",4506169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,4,,,,,,3,1,,,1608 m²,,,,,,,,,829 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,,,,249.000 €,,Non,"Zuiderring 106
2400 - Mol",4500813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,3,,,,228 m²,,4,1,,,1384 m²,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,379.000 €,,Non,"Zuiderring 106
2400 - Mol",4495423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,Non,,,,,Non,"Graatakker 91
2300 - Turnhout",4380096,,,,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,3,,,,,,3,1,,,700 m²,,,,,,,,,596 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,,,,209.000 €,,Non,"Zuiderring 106
2400 - Mol",4516337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,4,,,,,,4,1,,,750 m²,,,,,,,,,538 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,,,,259.000 €,,Non,"Zuiderring 106
2400 - Mol",4456516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,3,,,,158 m²,,4,2,,,,,,,,,,,,235 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,,,,269.900 €,,Non,"Zuiderring 106
2400 - Mol",4508161,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,4,,,,,,3,1,,,1246 m²,,,,,,,,,161 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,,,,,,279.000 €,,Non,"Zuiderring 106
2400 - Mol",4497541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,2,,,,191 m²,,3,1,,,,,,,,,,,,76 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,,,,,,315.000 €,,Non,"Zuiderring 106
2400 - Mol",4512272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,3,1,,,,Non,Non,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,,,,,270.000 €,,Non,"Kersenlaan 4
2240 - Zandhoven",Balen-Kibores-half-o,,,,,,,,,Non connecté,,,,,,,,,Non,,,,,,Non,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,
93,,,,,,,,,,3,1,,,,Non,Non,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,,,,,316.000 €,,Non,"Kersenlaan 4
2240 - Zandhoven",Balen-Kibores-open-3,,,,,,,,,Non connecté,,,,,,,,,Non,,,,,,Non,,,,,Non,Non,,,,,,,,,,,,,,,,,Toutes sortes,,,,,Non,Oui,,,,,,,,
94,Après la signature de l’acte,1952,Bon,4,1,,,158 m²,Semi-équipée,3,2,3,Non,624 m²,,,,,Oui,Sud,,,217 kWh/m²,C,20200312-0002259131-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,535 €,Non,"De Heuvels 15
2430 - Laakdal",1065 - 1641,,,,,,,,Oui,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
95,Après la signature de l’acte,1968,Bon,4,1,,,160 m²,,3,1,1,Non,475 m²,,,16 m,Oui,,,,,556 kWh/m²,F,20180402-0002046582-1,Non communiqué,Non communiqué,Non,Mazout,Oui,Oui,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",227.000 €,904 €,Non,"Kerkhovensesteenweg, 447
3920 - Lommel",,,,42 m²,,,,,Oui,,,,Non,Non,,,,,,,,,2768 - 50902342,,,,,,,,,,,,,,,,,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,,
96,,2000,,4,2,2,,232 m²,Équipée,4,1,2,Non,1950 m²,,,,Oui,,,,,352 kWh/m²,D,20210819-0002452870-RES-2.,Non communiqué,Non communiqué,Non,Gaz,Oui,Oui,Non,Zone non inondable,,500.000 €,1.489 €,Non,"Voogdijstraat 12
2400 - Mol",2868 - 253,14 m,,46 m²,13 m²,33 m²,24 m²,18 m²,Oui,,,,Non,Non,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,1961,Bon,4,2,1,,,Équipée,2,1,1,Non,1329 m²,,,,Oui,,,,,338 kWh/m²,D,20210920-0002466374-RES-1.,Non communiqué,Non communiqué,Non,Bois,Oui,Oui,,Zone non inondable,,295.000 €,324 €,Non,"Voogdijstraat 12
2400 - Mol",2878 - 258,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,1937,À rafraîchir,3,,,,,Semi-équipée,3,2,2,Non,145 m²,,,,Oui,,,,,700 kWh/m²,F,20180809-0002081477-1,Non communiqué,Non communiqué,Non,Gaz,,,Non,Zone non inondable,,198.000 €,984 €,Non,"Voogdijstraat 12
2400 - Mol",2652 - 107,,,,,,,,Oui,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,À définir,,À rénover,,1,1,,158 m²,Semi-équipée,3,,1,Non,1405 m²,,,,Oui,,,,,647 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",256.000 €,,Non,"Statiestraat 47
2400 - Mol",,,,42 m²,12 m²,20 m²,14 m²,12 m²,Oui,Connecté,,,Non,Non,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
100,À définir,,Bon,,,,,211 m²,Équipée,3,,2,Non,1875 m²,,,,Oui,Oui,Sud,,,63 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",289.000 €,,Non,"Statiestraat 47
2400 - Mol",,,,68 m²,14 m²,20 m²,16 m²,15 m²,Oui,Connecté,,,Non,Non,,,,,,,,Oui,,,Non,,,,,,,,,,,,,,,,,,,Non,Oui,Oui,,,Sud,,,,,,,,,,,,,
101,À définir,1976,Fraîchement rénové,4,1,6,Isolé,145 m²,,4,1,1,Oui,670 m²,,,,Oui,,,,,346 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",359.000 €,,Non,"Heesakkers 2
2460 - Kasterlee",,,,32 m²,,22 m²,16 m²,8 m²,,Connecté,,,Oui,,,8 m²,,,Oui,Oui,,Oui,4515519,,,,,,,,,,,,Oui,,Oui,,,,,,,,,,,,,1,,,,,,,,,,,,
102,Après la signature de l’acte,1981,Bon,4,,,,218 m²,Équipée,3,1,1,Non,953 m²,,,,,,,30 m²,,402 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Mazout,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",319.000 €,1.199 €,Non,"Herenthoutseweg 5
2200 - Herentals",TV-AST47,,,,,12 m²,14 m²,13 m²,,,,,Oui,Non,,,,,Non,,,,,,Non,,,140 m²,70 m²,,,,,,,,,,,,,,Non,Non,,,,,,,,,Non,,,,,,,,,
103,,2005,,,,,,Hyper équipée,22 m²,22 m²,2,15 m²,,Non,Non,Non,,Oui,Nord-est,175 kWh/m²,,,B,20210914-0002464048-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,Oui,Toutes sortes,Non,"Zone d'habitat (résidentiel, urbain ou rural)",464.000 €,1.056 €,Non,"Brasemstraat 8
2400 - Mol",M0079,,,270 m²,,4,12 m²,12 m²,Non,,Oui,,,Non,Zone non inondable,,,,Oui,30 m²,,,,,,2,,,60 m²,716 m²,Non,Connecté,,,,,,,,,,,,,,,,,Non,,,,,Non,,,,,,,,,
104,À définir,,Bon,,,,,180 m²,Équipée,4,,1,Non,622 m²,,,,Oui,Oui,Est,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,229.000 €,,Non,"Statiestraat 47
2400 - Mol",,,,34 m²,24 m²,17 m²,12 m²,9 m²,,Connecté,,,,,,8 m²,,,,,,Oui,,,Non,,,,,,,,,,,,,,,,,,,Non,,,,,Est,,,,,,,,,,,,,
105,,1985,,,1,,,178 m²,Équipée,4,1,1,,2102 m²,Non,Non,,Oui,Oui,Nord,,,361 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",345.000 €,1.157 €,Non,"Binnensingel 70 / 2
3920 - Lommel",Molenstraat231balen,,,,,,,,Oui,Connecté,,,,,,,,,Oui,,,Oui,,,Non,Oui,,,,Non,Non,,,,,,,,,,,,,,,,,Toutes sortes,,,,,Non,Oui,,,,,,,,
106,,1950,Excellent état,,,,,158 m²,,3,1,,,501 m²,Non,Non,,Oui,Oui,Nord,,,240 kWh/m²,C,20170215--000193448-8--1,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",259.000 €,451 €,Non,"Brasemstraat 8
2400 - Mol",MH0075,,,,,,,,Oui,Connecté,,,Non,Non,,,,,Non,,,,,,Non,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,
